,STOMACH,OESOPHAGUS,LARGE_INTESTINE,OVARY,HAEMATOPOIETIC,KIDNEY,AERODIGESTIVE,BREAST,ENDOMETRIUM,SALIVARY,PROSTATE,PLEURA,BILIARY,THYROID,URINARY,PANCREAS,LIVER,SOFT_TISSUE,SKIN,NERVOUS,GANGLIA,BONE,LUNG
2885,0.0,1.0,4.0,2.0,3.0,10.0,5.0,6.0,7.0,8.0,22.0,21.0,9.0,11.0,20.0,12.0,16.0,17.0,18.0,19.0,13.0,15.0,14.0
2934,0.0,1.0,2.0,3.0,4.0,10.0,5.0,6.0,7.0,8.0,22.0,12.0,9.0,11.0,19.0,13.0,15.0,16.0,17.0,18.0,21.0,20.0,14.0
2983,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,20.0,7.0,16.0,17.0,18.0,22.0,19.0,15.0,21.0
3032,4.0,5.0,0.0,6.0,7.0,1.0,8.0,2.0,9.0,10.0,3.0,11.0,12.0,13.0,20.0,15.0,16.0,14.0,17.0,18.0,19.0,21.0,22.0
3081,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,18.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0
3130,3.0,4.0,0.0,5.0,6.0,1.0,7.0,2.0,8.0,9.0,11.0,10.0,12.0,13.0,20.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3179,0.0,1.0,7.0,2.0,3.0,8.0,4.0,9.0,5.0,6.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,22.0,17.0,18.0,19.0,20.0,21.0
3228,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,8.0,9.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3277,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,14.0,22.0
3326,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,8.0,9.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3375,2.0,3.0,0.0,4.0,5.0,6.0,7.0,1.0,8.0,9.0,10.0,11.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
3424,0.0,1.0,3.0,7.0,2.0,8.0,4.0,5.0,6.0,9.0,22.0,21.0,10.0,11.0,20.0,13.0,16.0,17.0,18.0,19.0,12.0,15.0,14.0
3473,0.0,7.0,8.0,1.0,9.0,2.0,10.0,3.0,4.0,11.0,13.0,5.0,16.0,14.0,15.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0,6.0
3522,3.0,4.0,5.0,6.0,7.0,8.0,0.0,9.0,10.0,1.0,12.0,11.0,14.0,13.0,16.0,19.0,17.0,18.0,20.0,21.0,15.0,22.0,2.0
3571,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,11.0,15.0,13.0,14.0,17.0,18.0,16.0,19.0,20.0,21.0,22.0,12.0
3620,0.0,1.0,9.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,12.0,13.0,14.0,15.0,11.0,18.0,19.0,20.0,21.0,22.0,16.0,17.0
3669,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,12.0,13.0,14.0,15.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0,16.0
3718,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0,16.0
3767,3.0,4.0,7.0,0.0,5.0,6.0,1.0,8.0,9.0,2.0,15.0,14.0,10.0,12.0,11.0,13.0,16.0,22.0,17.0,19.0,18.0,20.0,21.0
3816,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,14.0,15.0,21.0,17.0,18.0,19.0,20.0,16.0,22.0
3865,3.0,4.0,5.0,6.0,7.0,0.0,1.0,8.0,9.0,2.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,22.0,17.0,18.0,19.0,20.0,21.0
3914,2.0,4.0,7.0,5.0,0.0,6.0,8.0,1.0,10.0,9.0,11.0,14.0,12.0,13.0,3.0,16.0,18.0,19.0,20.0,22.0,21.0,15.0,17.0
3963,0.0,1.0,7.0,8.0,2.0,3.0,4.0,9.0,5.0,6.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
4012,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,8.0,11.0,15.0,13.0,14.0,16.0,12.0,9.0,19.0,20.0,21.0,22.0,18.0,17.0
4061,3.0,0.0,4.0,5.0,6.0,1.0,7.0,8.0,9.0,2.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
4110,0.0,1.0,7.0,8.0,2.0,3.0,4.0,9.0,5.0,6.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
4159,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,14.0,22.0
4208,3.0,4.0,0.0,5.0,6.0,7.0,8.0,1.0,9.0,10.0,11.0,2.0,12.0,13.0,14.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0,17.0
4257,0.0,1.0,7.0,8.0,2.0,3.0,4.0,9.0,5.0,6.0,10.0,11.0,12.0,13.0,15.0,14.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0
4306,0.0,1.0,7.0,8.0,2.0,3.0,4.0,9.0,5.0,6.0,10.0,11.0,12.0,13.0,15.0,14.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0
4355,0.0,3.0,4.0,5.0,6.0,1.0,7.0,9.0,11.0,2.0,10.0,12.0,13.0,14.0,15.0,8.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0
4404,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,20.0,17.0,21.0,15.0,16.0,18.0,19.0,13.0,22.0
4453,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,13.0,0.0,11.0,16.0,14.0,15.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0,12.0
4502,0.0,1.0,2.0,3.0,12.0,11.0,4.0,6.0,8.0,9.0,7.0,13.0,15.0,14.0,17.0,5.0,18.0,22.0,19.0,20.0,21.0,16.0,10.0
4551,0.0,1.0,2.0,7.0,3.0,8.0,9.0,4.0,5.0,10.0,6.0,12.0,13.0,14.0,15.0,11.0,18.0,19.0,20.0,21.0,22.0,16.0,17.0
4600,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,0.0,15.0,14.0,13.0,17.0,11.0,18.0,19.0,20.0,21.0,16.0,22.0,12.0
4649,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,0.0,11.0,12.0,13.0,16.0,15.0,17.0,20.0,21.0,22.0,18.0,14.0,19.0
4698,0.0,1.0,2.0,7.0,3.0,8.0,9.0,4.0,5.0,10.0,6.0,12.0,15.0,14.0,16.0,11.0,18.0,19.0,20.0,21.0,22.0,17.0,13.0
4747,7.0,8.0,9.0,0.0,1.0,2.0,3.0,11.0,5.0,4.0,13.0,12.0,15.0,14.0,16.0,10.0,17.0,18.0,19.0,21.0,22.0,20.0,6.0
4796,6.0,7.0,8.0,1.0,9.0,2.0,3.0,11.0,5.0,4.0,0.0,12.0,13.0,14.0,15.0,10.0,17.0,18.0,19.0,21.0,22.0,20.0,16.0
4845,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,10.0,0.0,11.0,12.0,13.0,20.0,17.0,14.0,15.0,16.0,18.0,19.0,21.0,22.0
4894,1.0,6.0,2.0,3.0,4.0,11.0,7.0,8.0,5.0,9.0,10.0,12.0,14.0,13.0,16.0,15.0,17.0,22.0,19.0,20.0,21.0,18.0,0.0
