,OVARY,HAEMATOPOIETIC,SKIN,NERVOUS,LUNG,LIVER,PANCREAS,BREAST,URINARY,LARGE_INTESTINE,STOMACH,ENDOMETRIUM,OESOPHAGUS,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
1223,0.0,1.0,6.0,2.0,7.0,5.0,4.0,9.0,8.0,10.0,11.0,3.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1272,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,8.0,9.0,10.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
1321,1.0,0.0,3.0,2.0,9.0,5.0,6.0,11.0,7.0,8.0,10.0,4.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,4.0,2.0,3.0,7.0,1.0,8.0,6.0,5.0,9.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,0.0,2.0,3.0,1.0,8.0,6.0,9.0,11.0,7.0,10.0,5.0,21.0,12.0,13.0,14.0,15.0,4.0,17.0,18.0,19.0,20.0,16.0,22.0
1468,3.0,1.0,2.0,0.0,8.0,7.0,9.0,10.0,11.0,6.0,5.0,4.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,2.0,4.0,6.0,7.0,5.0,1.0,8.0,3.0,12.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
1566,1.0,2.0,7.0,6.0,3.0,0.0,5.0,4.0,11.0,10.0,9.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1615,0.0,2.0,6.0,8.0,3.0,1.0,5.0,4.0,10.0,9.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1664,3.0,4.0,6.0,5.0,2.0,0.0,10.0,8.0,7.0,11.0,9.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,1.0,2.0,9.0,4.0,5.0,3.0,7.0,8.0,11.0,6.0,10.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
