,BARX2_DEL,TRIM49_DEL,CAMK2D_DEL,ITPR2_MUT,FAM106CP_AMP,AGMO_AMP,MLL3_MUT,TTTY22_DEL,RIMBP2_DEL,CDC73_DEL,THSD4_AMP,TP53_MUT,EPHA5_MUT,IFNA21_DEL,PCCB_DEL,FOCAD_DEL,PKHD1_MUT,FAM153A_DEL,SLC25A37_AMP,KIRREL3_DEL,LOC440970_DEL,LPA_AMP,ZNF285_AMP,NRG1-IT3_DEL,NAV3_MUT,USP32P1_AMP,TYW1_AMP,SACS_MUT,CES1_AMP,ODF3B_DEL
1699,9.0,40.0,6568.0,11.0,37.0,13677.0,8.0,5265.0,5256.0,33.0,67.0,99.0,22.0,90.0,29.0,75.0,16516.0,68.0,83.0,8456.0,153.0,136.0,50.0,84.0,7.0,147.0,21336.0,54.0,17487.0,131.0
1748,44.0,9.0,10.0,8.0,15469.0,46.0,48.0,5302.0,110.0,81.0,79.0,105.0,27.0,173.0,26.0,37.0,60.0,167.0,39.0,8396.0,87.0,196.0,136.0,20250.0,12.0,199.0,21366.0,70.0,17542.0,90.0
1797,9084.0,141.0,6570.0,16030.0,51.0,60.0,4.0,62.0,56.0,19.0,78.0,90.0,30.0,2571.0,58.0,185.0,7.0,68.0,94.0,8446.0,2269.0,106.0,162.0,17.0,20.0,101.0,21336.0,24.0,54.0,75.0
1846,75.0,10.0,6570.0,16030.0,15468.0,74.0,32.0,95.0,5265.0,49.0,78.0,101.0,16207.0,127.0,39.0,9180.0,2.0,106.0,94.0,8460.0,76.0,197.0,112.0,20248.0,107.0,17119.0,21365.0,19.0,72.0,2278.0
1895,0.0,36.0,6565.0,25.0,15463.0,66.0,14.0,47.0,5245.0,35.0,82.0,69.0,60.0,17.0,37.0,196.0,11.0,103.0,118.0,4.0,44.0,106.0,12748.0,20239.0,68.0,107.0,72.0,15957.0,51.0,39.0
1944,33.0,8.0,6570.0,16026.0,15466.0,73.0,25.0,10.0,5260.0,47.0,82.0,79.0,69.0,19.0,54.0,130.0,16516.0,84.0,127.0,8460.0,2271.0,114.0,16.0,95.0,5.0,41.0,21364.0,15961.0,17548.0,140.0
1993,16.0,69.0,6566.0,16024.0,77.0,53.0,35.0,116.0,11.0,127.0,91.0,68.0,21.0,28.0,9936.0,8.0,16512.0,186.0,22026.0,4.0,180.0,113.0,55.0,108.0,34.0,13119.0,48.0,15958.0,61.0,2277.0
2042,21.0,59.0,6575.0,16.0,70.0,110.0,83.0,111.0,63.0,64.0,65.0,119.0,28.0,50.0,9943.0,9177.0,16516.0,153.0,100.0,3.0,2270.0,85.0,143.0,20247.0,16412.0,17119.0,30.0,15944.0,44.0,2278.0
2091,22.0,19.0,6568.0,21.0,128.0,69.0,16597.0,83.0,87.0,82.0,98.0,67.0,41.0,39.0,148.0,3.0,16517.0,326.0,22027.0,14.0,73.0,114.0,168.0,20244.0,77.0,17117.0,49.0,15962.0,127.0,130.0
2140,123.0,16.0,55.0,16027.0,160.0,114.0,6.0,5306.0,45.0,121.0,98.0,84.0,94.0,2637.0,77.0,112.0,16515.0,920.0,183.0,5.0,87.0,62.0,60.0,20250.0,16414.0,17123.0,21.0,15962.0,17543.0,180.0
2189,40.0,27.0,6563.0,32.0,48.0,66.0,16620.0,50.0,5254.0,86.0,54.0,108.0,16202.0,4.0,107.0,46.0,14.0,149.0,96.0,0.0,125.0,78.0,12698.0,55.0,158.0,13121.0,62.0,69.0,17486.0,2275.0
2238,46.0,56.0,6562.0,16.0,79.0,54.0,105.0,5047.0,42.0,77.0,62.0,69.0,34.0,29.0,45.0,12.0,18.0,72.0,157.0,0.0,2265.0,83.0,76.0,20244.0,16408.0,15121.0,93.0,15960.0,87.0,2273.0
2287,18.0,57.0,6571.0,9.0,130.0,33.0,66.0,105.0,21.0,80.0,115.0,71.0,24.0,56.0,74.0,9177.0,16529.0,179.0,22031.0,8458.0,121.0,106.0,169.0,20249.0,16392.0,15124.0,61.0,15944.0,91.0,2281.0
2336,14.0,107.0,6566.0,20.0,75.0,98.0,67.0,22.0,44.0,68.0,79.0,106.0,90.0,52.0,9941.0,94.0,0.0,183.0,22025.0,7.0,58.0,85.0,111.0,66.0,16430.0,15121.0,32.0,87.0,62.0,59.0
2385,35.0,136.0,6572.0,18.0,64.0,42.0,16.0,5301.0,17.0,83.0,71.0,77.0,90.0,15.0,76.0,49.0,31.0,170.0,109.0,0.0,92.0,108.0,11.0,20248.0,16413.0,15126.0,152.0,5.0,173.0,2284.0
2434,9085.0,45.0,6571.0,27.0,36.0,101.0,15.0,73.0,5258.0,60.0,75.0,49.0,11.0,118.0,78.0,8.0,23.0,76.0,79.0,17.0,128.0,82.0,12755.0,20246.0,16409.0,17117.0,43.0,32.0,17515.0,2272.0
2483,9091.0,25.0,6582.0,16028.0,3.0,59.0,78.0,32.0,9.0,117.0,84.0,74.0,16207.0,198.0,9947.0,26.0,18.0,134.0,105.0,8399.0,81.0,63.0,12765.0,51.0,86.0,104.0,21395.0,15963.0,64.0,123.0
2532,1.0,8.0,6577.0,16.0,15471.0,71.0,109.0,119.0,5261.0,55.0,89.0,62.0,46.0,197.0,9939.0,118.0,16529.0,508.0,44.0,8394.0,92.0,156.0,12760.0,15.0,32.0,17124.0,33.0,103.0,17541.0,2039.0
2581,46.0,24.0,6580.0,19.0,15470.0,69.0,16581.0,166.0,5261.0,55.0,68.0,56.0,21.0,179.0,43.0,5.0,1.0,81.0,124.0,8445.0,77.0,138.0,12760.0,20247.0,35.0,17118.0,21351.0,112.0,17515.0,115.0
2630,74.0,11690.0,6571.0,16022.0,15464.0,67.0,42.0,94.0,5260.0,105.0,72.0,76.0,52.0,12.0,9938.0,43.0,9.0,118.0,59.0,0.0,111.0,64.0,15.0,20244.0,95.0,15121.0,21332.0,91.0,109.0,65.0
2679,48.0,27.0,78.0,1.0,15453.0,65.0,72.0,157.0,66.0,94.0,130.0,88.0,44.0,2718.0,9948.0,85.0,20.0,129.0,134.0,8465.0,99.0,147.0,12768.0,35.0,51.0,17131.0,21391.0,15964.0,17548.0,118.0
2728,14.0,32.0,6572.0,42.0,15405.0,70.0,130.0,157.0,34.0,45.0,80.0,60.0,94.0,2578.0,9944.0,7.0,9.0,113.0,106.0,2.0,98.0,103.0,12760.0,140.0,47.0,17124.0,21352.0,58.0,133.0,87.0
2777,9083.0,43.0,6571.0,15.0,15471.0,71.0,50.0,5058.0,10.0,83.0,77.0,54.0,28.0,136.0,9940.0,0.0,12.0,195.0,99.0,3.0,75.0,121.0,12757.0,20247.0,105.0,17122.0,89.0,22.0,157.0,91.0
2826,6.0,70.0,3.0,16027.0,15467.0,184.0,86.0,42.0,5261.0,56.0,67.0,58.0,136.0,124.0,9890.0,15.0,20.0,145.0,37.0,8.0,95.0,134.0,12755.0,29.0,27.0,52.0,10.0,63.0,92.0,54.0
2875,83.0,22.0,56.0,16027.0,15469.0,51.0,16602.0,67.0,5262.0,119.0,66.0,54.0,15.0,88.0,9941.0,59.0,23.0,102.0,141.0,4.0,184.0,170.0,31.0,38.0,24.0,166.0,21335.0,132.0,17489.0,52.0
2924,9092.0,32.0,6583.0,16031.0,15338.0,104.0,94.0,5306.0,5250.0,45.0,74.0,118.0,87.0,3.0,9948.0,27.0,10.0,115.0,60.0,96.0,102.0,167.0,108.0,20254.0,56.0,17124.0,21394.0,43.0,125.0,81.0
2973,102.0,23.0,12.0,18.0,51.0,31.0,83.0,64.0,5261.0,34.0,80.0,127.0,101.0,2706.0,9914.0,9172.0,16516.0,78.0,17.0,20.0,134.0,116.0,165.0,68.0,63.0,15124.0,54.0,151.0,126.0,81.0
3022,74.0,11698.0,6583.0,16035.0,24.0,65.0,49.0,154.0,127.0,83.0,100.0,117.0,3.0,162.0,104.0,32.0,16522.0,87.0,48.0,4.0,2301.0,84.0,85.0,26.0,38.0,146.0,23.0,67.0,185.0,36.0
3071,44.0,16.0,6569.0,16027.0,15462.0,33.0,26.0,122.0,108.0,76.0,118.0,90.0,10.0,204.0,63.0,9169.0,38.0,103.0,116.0,3.0,104.0,86.0,96.0,20243.0,62.0,128.0,21335.0,139.0,17485.0,101.0
3120,23.0,78.0,6567.0,42.0,39.0,21.0,48.0,97.0,5260.0,49.0,53.0,52.0,16208.0,120.0,9941.0,36.0,17.0,127.0,68.0,0.0,168.0,126.0,12755.0,20247.0,16411.0,184.0,57.0,157.0,17503.0,109.0
3169,142.0,30.0,6569.0,54.0,182.0,24.0,16598.0,58.0,49.0,100.0,105.0,91.0,12.0,2699.0,9936.0,9169.0,115.0,93.0,141.0,8458.0,2286.0,121.0,127.0,20244.0,16431.0,88.0,21336.0,15961.0,17486.0,2272.0
3218,9077.0,6.0,6562.0,16023.0,15461.0,141.0,16597.0,94.0,79.0,88.0,72.0,69.0,28.0,27.0,9931.0,21.0,0.0,75.0,53.0,33.0,103.0,64.0,12694.0,41.0,31.0,109.0,49.0,15959.0,17484.0,52.0
3267,9086.0,9.0,6574.0,31.0,35.0,29.0,120.0,121.0,5266.0,61.0,78.0,99.0,65.0,26.0,9914.0,189.0,16528.0,79.0,67.0,2.0,112.0,114.0,108.0,57.0,16391.0,51.0,21336.0,15940.0,90.0,2279.0
3316,7.0,102.0,12.0,110.0,19.0,96.0,84.0,78.0,14.0,40.0,67.0,62.0,32.0,2563.0,76.0,9169.0,4.0,69.0,22023.0,8452.0,81.0,115.0,173.0,20240.0,15.0,112.0,21331.0,15960.0,17513.0,70.0
3365,9086.0,15.0,6584.0,16029.0,32.0,86.0,94.0,121.0,112.0,135.0,177.0,67.0,21.0,179.0,65.0,137.0,0.0,90.0,68.0,40.0,80.0,146.0,73.0,20252.0,16433.0,190.0,21338.0,15944.0,155.0,175.0
3414,34.0,44.0,6577.0,23.0,53.0,87.0,16597.0,61.0,5263.0,65.0,69.0,88.0,31.0,14.0,48.0,13.0,16512.0,19.0,107.0,8441.0,2263.0,115.0,12757.0,59.0,16429.0,63.0,21.0,15959.0,17485.0,2271.0
3463,0.0,105.0,10.0,2.0,111.0,57.0,17.0,25.0,38.0,140.0,69.0,151.0,16209.0,16.0,132.0,237.0,16521.0,174.0,87.0,8467.0,60.0,108.0,26.0,7.0,16438.0,54.0,62.0,81.0,63.0,71.0
3512,83.0,8.0,11.0,109.0,15469.0,27.0,16599.0,58.0,78.0,124.0,139.0,114.0,97.0,86.0,9942.0,82.0,40.0,63.0,30.0,2.0,106.0,91.0,104.0,10.0,21.0,38.0,161.0,15961.0,66.0,2280.0
3561,9.0,19.0,7.0,16027.0,73.0,43.0,92.0,47.0,31.0,97.0,99.0,131.0,55.0,17.0,84.0,33.0,0.0,107.0,117.0,113.0,168.0,57.0,12757.0,20249.0,16434.0,20.0,21399.0,114.0,40.0,149.0
3610,29.0,11686.0,8.0,16025.0,67.0,59.0,122.0,48.0,18.0,76.0,107.0,127.0,16202.0,56.0,93.0,32.0,3.0,21.0,75.0,7.0,95.0,103.0,100.0,105.0,16411.0,66.0,58.0,43.0,64.0,2280.0
3659,4.0,11689.0,7.0,3.0,31.0,24.0,6.0,17.0,5.0,63.0,74.0,110.0,83.0,21.0,68.0,9173.0,16519.0,43.0,72.0,8460.0,70.0,76.0,62.0,15.0,61.0,17121.0,42.0,23.0,114.0,2278.0
3708,9087.0,11695.0,10.0,32.0,67.0,29.0,27.0,34.0,8.0,112.0,151.0,130.0,16207.0,86.0,42.0,170.0,16518.0,113.0,37.0,116.0,55.0,96.0,58.0,63.0,16435.0,48.0,52.0,125.0,155.0,79.0
3757,7.0,134.0,29.0,118.0,15473.0,44.0,26.0,94.0,40.0,110.0,111.0,131.0,16207.0,59.0,91.0,31.0,17.0,67.0,101.0,77.0,69.0,82.0,23.0,21.0,16393.0,50.0,68.0,15965.0,102.0,2284.0
3806,1.0,11670.0,6.0,4.0,121.0,42.0,36.0,45.0,5256.0,104.0,85.0,107.0,60.0,184.0,9941.0,9177.0,16512.0,397.0,169.0,8457.0,75.0,78.0,27.0,20245.0,90.0,55.0,21337.0,113.0,53.0,2279.0
3855,13.0,41.0,8.0,0.0,15468.0,36.0,70.0,17.0,43.0,111.0,98.0,92.0,16203.0,9.0,88.0,118.0,16516.0,37.0,114.0,8443.0,168.0,72.0,12751.0,95.0,119.0,31.0,16.0,44.0,75.0,2276.0
3904,10.0,11677.0,37.0,68.0,14.0,48.0,16603.0,64.0,21.0,109.0,132.0,170.0,46.0,116.0,9949.0,145.0,16519.0,91.0,92.0,104.0,38.0,53.0,87.0,20252.0,16413.0,26.0,119.0,54.0,82.0,2287.0
3953,12.0,123.0,57.0,72.0,93.0,95.0,16586.0,46.0,78.0,104.0,140.0,64.0,17.0,79.0,116.0,31.0,41.0,69.0,108.0,4.0,119.0,97.0,12778.0,20255.0,65.0,43.0,73.0,142.0,17547.0,200.0
4002,0.0,29.0,6571.0,16026.0,104.0,76.0,16598.0,69.0,5255.0,107.0,133.0,65.0,15.0,167.0,53.0,1.0,16515.0,105.0,178.0,8388.0,109.0,100.0,70.0,20245.0,16430.0,13122.0,52.0,15960.0,77.0,2267.0
4051,17.0,11690.0,6570.0,7.0,32.0,42.0,24.0,65.0,5260.0,121.0,162.0,80.0,110.0,85.0,70.0,60.0,11.0,108.0,22030.0,8456.0,107.0,74.0,98.0,20244.0,14.0,88.0,21337.0,53.0,143.0,73.0
4100,9075.0,11680.0,16.0,16024.0,15460.0,69.0,44.0,102.0,5242.0,85.0,80.0,46.0,16202.0,115.0,57.0,125.0,16510.0,73.0,64.0,7.0,53.0,95.0,12694.0,20238.0,16428.0,143.0,21326.0,15959.0,106.0,67.0
4149,44.0,11656.0,6574.0,59.0,50.0,32.0,99.0,63.0,5266.0,120.0,91.0,77.0,100.0,204.0,60.0,144.0,22.0,66.0,79.0,8463.0,78.0,49.0,12765.0,20254.0,30.0,71.0,42.0,15965.0,52.0,2287.0
4198,15.0,53.0,24.0,16027.0,38.0,64.0,16602.0,48.0,5262.0,149.0,79.0,49.0,42.0,109.0,97.0,60.0,18.0,47.0,160.0,8394.0,72.0,100.0,58.0,13.0,25.0,127.0,21333.0,15964.0,144.0,2270.0
4247,2.0,81.0,6574.0,16026.0,52.0,65.0,14.0,141.0,5265.0,126.0,157.0,108.0,19.0,138.0,9940.0,4.0,1.0,160.0,116.0,8448.0,75.0,76.0,89.0,20247.0,16432.0,97.0,21365.0,30.0,17486.0,129.0
4296,30.0,13.0,6577.0,16023.0,15465.0,35.0,63.0,60.0,5244.0,97.0,124.0,67.0,9.0,59.0,52.0,41.0,38.0,61.0,87.0,8441.0,62.0,65.0,12711.0,2.0,43.0,54.0,21329.0,15960.0,130.0,2262.0
4345,13.0,11647.0,31.0,37.0,74.0,13671.0,8.0,5263.0,6.0,88.0,100.0,68.0,14.0,119.0,76.0,2.0,4.0,78.0,32.0,8453.0,92.0,82.0,12750.0,20242.0,16430.0,70.0,20.0,15957.0,17513.0,2273.0
4394,7.0,29.0,13.0,16025.0,15.0,74.0,16617.0,79.0,5246.0,111.0,89.0,136.0,22.0,2694.0,92.0,52.0,16511.0,45.0,50.0,8453.0,44.0,95.0,54.0,20239.0,16426.0,137.0,21330.0,15957.0,17480.0,2262.0
4443,12.0,11684.0,13.0,26.0,19.0,33.0,32.0,47.0,23.0,140.0,99.0,56.0,27.0,2703.0,9933.0,131.0,105.0,86.0,22029.0,8455.0,134.0,13755.0,12752.0,15.0,136.0,96.0,135.0,68.0,104.0,73.0
4492,138.0,11696.0,6583.0,59.0,12.0,31.0,22.0,69.0,23.0,57.0,70.0,58.0,9.0,212.0,47.0,112.0,16521.0,209.0,165.0,2.0,201.0,141.0,120.0,20254.0,116.0,198.0,21393.0,126.0,108.0,2284.0
4541,2.0,30.0,55.0,46.0,51.0,29.0,130.0,64.0,5271.0,47.0,92.0,83.0,8.0,142.0,80.0,9180.0,16523.0,149.0,22034.0,68.0,95.0,166.0,168.0,18.0,98.0,17131.0,21366.0,120.0,104.0,180.0
4590,9.0,41.0,20.0,16027.0,39.0,37.0,118.0,48.0,29.0,123.0,77.0,73.0,19.0,2705.0,9938.0,50.0,11.0,134.0,187.0,8444.0,93.0,91.0,12758.0,61.0,70.0,119.0,21337.0,15962.0,131.0,30.0
4639,125.0,11687.0,6571.0,16024.0,85.0,87.0,16576.0,37.0,20.0,105.0,82.0,62.0,25.0,51.0,23.0,9171.0,16525.0,80.0,22029.0,8458.0,2291.0,100.0,12751.0,59.0,55.0,95.0,177.0,15959.0,179.0,8.0
4688,37.0,11692.0,36.0,15969.0,8.0,48.0,15.0,22.0,5273.0,141.0,78.0,58.0,60.0,172.0,9943.0,30.0,16526.0,76.0,40.0,8463.0,64.0,135.0,95.0,31.0,159.0,120.0,89.0,15924.0,17548.0,150.0
4737,9.0,93.0,25.0,12.0,16.0,54.0,8.0,18.0,30.0,77.0,69.0,103.0,95.0,74.0,9943.0,165.0,16520.0,56.0,132.0,71.0,116.0,94.0,47.0,28.0,16393.0,141.0,140.0,27.0,89.0,149.0
4786,10.0,32.0,12.0,16027.0,26.0,57.0,103.0,55.0,5.0,78.0,73.0,71.0,16205.0,51.0,9939.0,113.0,16517.0,81.0,92.0,21.0,148.0,130.0,12758.0,50.0,16411.0,87.0,19.0,68.0,94.0,63.0
4835,9083.0,170.0,21.0,12.0,63.0,32.0,16600.0,37.0,19.0,125.0,60.0,68.0,20.0,54.0,9943.0,74.0,22.0,97.0,79.0,30.0,2270.0,129.0,94.0,25.0,16434.0,17120.0,21352.0,15964.0,82.0,114.0
4884,1.0,43.0,14.0,25.0,11.0,44.0,28.0,30.0,3.0,48.0,73.0,69.0,20.0,2705.0,9911.0,9169.0,16516.0,146.0,119.0,135.0,181.0,116.0,68.0,17.0,31.0,88.0,21331.0,55.0,17487.0,105.0
