,hsa-miR-142-5p,hsa-let-7e,hsa-miR-150,hsa-miR-22,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-222,hsa-miR-24,hsa-miR-99a,hsa-miR-320d,hsa-miR-140-3p,hsa-miR-129-5p,hsa-miR-21,hsa-miR-30c,hsa-miR-520c-3p,hsa-miR-375,hsa-miR-217,hsa-miR-216a,hsa-miR-1975,hsa-miR-508-5p,hsa-miR-558,hsa-let-7a,hsa-miR-550,hsa-miR-484,hsa-miR-29c,hsa-miR-1469,hsa-miR-663,hsa-miR-137,hsv1-miR-H7,hsa-miR-30a,hsa-miR-891a
1391,1.0,15.0,16.0,68.0,48.0,9.0,10.0,22.0,100.0,7.0,46.0,4.0,71.0,544.0,130.0,144.0,132.0,59.0,531.0,62.0,26.0,81.0,52.0,14.0,392.0,57.0,115.0,241.0,45.0,34.0
1440,506.0,68.0,8.0,14.0,20.0,16.0,3.0,85.0,29.0,25.0,129.0,0.0,56.0,24.0,582.0,58.0,97.0,23.0,534.0,87.0,119.0,49.0,54.0,13.0,67.0,356.0,483.0,31.0,441.0,380.0
1489,6.0,0.0,372.0,29.0,52.0,9.0,58.0,107.0,105.0,13.0,471.0,396.0,11.0,535.0,600.0,32.0,60.0,81.0,22.0,172.0,232.0,38.0,21.0,574.0,379.0,301.0,41.0,89.0,568.0,138.0
1538,1.0,21.0,363.0,80.0,159.0,6.0,572.0,33.0,18.0,39.0,68.0,77.0,44.0,38.0,527.0,120.0,124.0,399.0,48.0,93.0,62.0,28.0,79.0,43.0,370.0,322.0,96.0,58.0,617.0,60.0
1587,6.0,25.0,19.0,1.0,8.0,84.0,136.0,38.0,50.0,385.0,475.0,34.0,12.0,27.0,604.0,13.0,70.0,2.0,59.0,183.0,23.0,81.0,43.0,60.0,4.0,334.0,46.0,130.0,68.0,261.0
1636,21.0,95.0,16.0,36.0,6.0,10.0,12.0,39.0,73.0,23.0,59.0,33.0,52.0,30.0,102.0,588.0,4.0,60.0,3.0,234.0,62.0,247.0,57.0,567.0,42.0,25.0,92.0,186.0,107.0,63.0
1685,40.0,18.0,105.0,595.0,5.0,33.0,587.0,41.0,85.0,29.0,61.0,411.0,62.0,64.0,100.0,59.0,13.0,23.0,1.0,89.0,73.0,122.0,67.0,576.0,48.0,51.0,433.0,98.0,79.0,26.0
1734,382.0,85.0,21.0,24.0,35.0,72.0,582.0,50.0,86.0,384.0,81.0,403.0,568.0,43.0,93.0,36.0,7.0,73.0,15.0,54.0,89.0,27.0,75.0,575.0,17.0,307.0,65.0,39.0,569.0,58.0
1783,457.0,26.0,5.0,99.0,52.0,35.0,6.0,78.0,73.0,79.0,36.0,397.0,39.0,57.0,24.0,109.0,15.0,61.0,530.0,63.0,12.0,134.0,48.0,13.0,454.0,331.0,90.0,41.0,95.0,168.0
1832,6.0,28.0,17.0,103.0,2.0,163.0,0.0,48.0,67.0,131.0,91.0,29.0,64.0,93.0,11.0,84.0,89.0,58.0,530.0,119.0,97.0,137.0,83.0,94.0,117.0,135.0,40.0,25.0,150.0,43.0
1881,0.0,19.0,43.0,581.0,7.0,2.0,33.0,24.0,45.0,71.0,79.0,30.0,624.0,15.0,36.0,20.0,129.0,56.0,55.0,227.0,120.0,61.0,47.0,597.0,40.0,44.0,27.0,32.0,106.0,37.0
1930,12.0,17.0,400.0,54.0,18.0,20.0,0.0,48.0,445.0,426.0,26.0,11.0,14.0,28.0,13.0,490.0,72.0,38.0,629.0,227.0,9.0,47.0,49.0,403.0,15.0,44.0,40.0,51.0,393.0,96.0
1979,0.0,458.0,375.0,18.0,3.0,132.0,584.0,62.0,45.0,60.0,469.0,400.0,7.0,538.0,602.0,89.0,110.0,79.0,560.0,239.0,30.0,34.0,147.0,573.0,8.0,268.0,116.0,249.0,127.0,287.0
2028,29.0,1.0,19.0,11.0,32.0,90.0,576.0,26.0,13.0,93.0,49.0,593.0,110.0,45.0,51.0,58.0,109.0,402.0,557.0,18.0,359.0,14.0,67.0,566.0,372.0,325.0,76.0,70.0,33.0,22.0
2077,396.0,0.0,487.0,483.0,104.0,22.0,68.0,35.0,57.0,26.0,97.0,75.0,65.0,517.0,589.0,70.0,24.0,91.0,9.0,17.0,58.0,27.0,48.0,72.0,16.0,23.0,71.0,88.0,121.0,66.0
2126,0.0,9.0,51.0,134.0,11.0,54.0,412.0,23.0,16.0,82.0,399.0,409.0,425.0,567.0,1.0,32.0,28.0,5.0,530.0,65.0,42.0,111.0,40.0,434.0,136.0,347.0,61.0,321.0,48.0,95.0
2175,1.0,24.0,40.0,56.0,5.0,16.0,583.0,66.0,625.0,13.0,64.0,395.0,86.0,34.0,69.0,67.0,50.0,54.0,559.0,209.0,42.0,85.0,49.0,571.0,376.0,52.0,381.0,223.0,597.0,72.0
2224,0.0,7.0,45.0,35.0,3.0,53.0,418.0,30.0,137.0,48.0,42.0,103.0,43.0,89.0,620.0,19.0,17.0,55.0,91.0,226.0,27.0,88.0,79.0,407.0,46.0,62.0,85.0,294.0,58.0,36.0
2273,1.0,21.0,31.0,82.0,19.0,25.0,425.0,346.0,108.0,36.0,38.0,386.0,118.0,7.0,626.0,41.0,37.0,69.0,520.0,197.0,22.0,48.0,92.0,415.0,93.0,14.0,79.0,49.0,120.0,363.0
2322,34.0,104.0,31.0,4.0,5.0,142.0,583.0,43.0,30.0,115.0,21.0,63.0,22.0,546.0,165.0,88.0,55.0,415.0,531.0,234.0,240.0,65.0,136.0,8.0,48.0,17.0,47.0,150.0,87.0,147.0
2371,25.0,0.0,49.0,31.0,1.0,112.0,429.0,48.0,53.0,452.0,36.0,390.0,123.0,563.0,600.0,117.0,42.0,63.0,523.0,201.0,82.0,24.0,114.0,15.0,449.0,338.0,97.0,23.0,35.0,33.0
2420,4.0,25.0,11.0,34.0,9.0,44.0,588.0,273.0,68.0,28.0,57.0,416.0,118.0,42.0,95.0,5.0,16.0,426.0,509.0,22.0,117.0,38.0,100.0,94.0,140.0,319.0,108.0,56.0,76.0,89.0
2469,24.0,76.0,376.0,16.0,72.0,592.0,586.0,74.0,43.0,25.0,82.0,89.0,19.0,23.0,599.0,50.0,6.0,414.0,558.0,51.0,359.0,212.0,116.0,575.0,382.0,86.0,66.0,48.0,38.0,114.0
2518,1.0,463.0,378.0,46.0,28.0,587.0,164.0,281.0,51.0,61.0,472.0,12.0,567.0,13.0,2.0,41.0,48.0,106.0,98.0,251.0,369.0,211.0,118.0,5.0,386.0,128.0,45.0,71.0,109.0,141.0
2567,375.0,8.0,364.0,3.0,34.0,73.0,98.0,239.0,617.0,84.0,465.0,390.0,621.0,47.0,75.0,42.0,25.0,48.0,0.0,139.0,353.0,36.0,51.0,569.0,372.0,100.0,5.0,29.0,82.0,96.0
2616,393.0,11.0,382.0,5.0,56.0,21.0,583.0,65.0,27.0,28.0,479.0,39.0,13.0,0.0,22.0,87.0,64.0,419.0,54.0,226.0,149.0,165.0,80.0,572.0,390.0,74.0,130.0,72.0,46.0,95.0
2665,0.0,17.0,32.0,35.0,34.0,40.0,405.0,349.0,412.0,18.0,6.0,3.0,7.0,25.0,1.0,29.0,65.0,484.0,26.0,200.0,66.0,119.0,45.0,9.0,464.0,81.0,186.0,117.0,42.0,114.0
2714,0.0,2.0,33.0,9.0,76.0,10.0,577.0,299.0,19.0,35.0,463.0,29.0,615.0,36.0,99.0,64.0,114.0,71.0,46.0,79.0,358.0,25.0,113.0,567.0,372.0,109.0,55.0,56.0,83.0,74.0
2763,24.0,3.0,377.0,12.0,36.0,586.0,52.0,292.0,58.0,11.0,473.0,399.0,56.0,14.0,604.0,55.0,89.0,66.0,9.0,209.0,22.0,53.0,49.0,31.0,59.0,75.0,386.0,177.0,68.0,74.0
2812,389.0,15.0,9.0,56.0,532.0,16.0,132.0,7.0,568.0,3.0,477.0,0.0,573.0,26.0,6.0,563.0,35.0,32.0,30.0,245.0,58.0,90.0,67.0,127.0,40.0,346.0,24.0,94.0,44.0,51.0
2861,6.0,13.0,464.0,4.0,1.0,88.0,388.0,357.0,61.0,29.0,55.0,32.0,15.0,19.0,34.0,117.0,83.0,78.0,68.0,222.0,35.0,33.0,99.0,438.0,544.0,60.0,493.0,56.0,70.0,81.0
2910,1.0,23.0,546.0,7.0,562.0,5.0,397.0,18.0,433.0,495.0,89.0,26.0,70.0,3.0,114.0,43.0,20.0,83.0,19.0,217.0,51.0,226.0,38.0,0.0,476.0,24.0,29.0,45.0,93.0,90.0
2959,22.0,131.0,14.0,4.0,91.0,81.0,148.0,18.0,12.0,17.0,53.0,37.0,65.0,542.0,9.0,590.0,52.0,7.0,562.0,27.0,230.0,60.0,87.0,1.0,121.0,11.0,61.0,106.0,56.0,342.0
3008,15.0,161.0,29.0,0.0,8.0,51.0,37.0,49.0,19.0,380.0,57.0,81.0,14.0,7.0,606.0,41.0,54.0,411.0,531.0,46.0,175.0,121.0,62.0,2.0,67.0,306.0,78.0,120.0,570.0,135.0
3057,33.0,40.0,22.0,2.0,123.0,56.0,583.0,252.0,105.0,50.0,28.0,25.0,9.0,11.0,565.0,102.0,79.0,5.0,557.0,88.0,228.0,53.0,133.0,13.0,375.0,362.0,80.0,130.0,15.0,336.0
3106,29.0,125.0,63.0,4.0,365.0,97.0,27.0,74.0,59.0,150.0,82.0,139.0,25.0,30.0,89.0,47.0,10.0,32.0,531.0,38.0,65.0,104.0,62.0,7.0,381.0,35.0,88.0,92.0,571.0,141.0
3155,16.0,26.0,12.0,3.0,96.0,15.0,578.0,249.0,47.0,25.0,67.0,99.0,598.0,6.0,19.0,589.0,23.0,408.0,5.0,13.0,219.0,22.0,116.0,86.0,374.0,39.0,30.0,82.0,53.0,18.0
3204,4.0,28.0,50.0,5.0,2.0,64.0,93.0,25.0,12.0,36.0,49.0,11.0,427.0,563.0,51.0,393.0,124.0,484.0,525.0,202.0,102.0,43.0,103.0,1.0,462.0,97.0,88.0,98.0,428.0,372.0
3253,6.0,22.0,57.0,0.0,495.0,72.0,18.0,292.0,8.0,40.0,48.0,59.0,11.0,50.0,34.0,68.0,73.0,12.0,530.0,52.0,39.0,46.0,61.0,2.0,3.0,357.0,70.0,108.0,37.0,253.0
3302,5.0,4.0,482.0,21.0,11.0,34.0,414.0,10.0,19.0,22.0,82.0,13.0,589.0,549.0,614.0,425.0,69.0,48.0,506.0,228.0,60.0,70.0,103.0,18.0,47.0,80.0,494.0,30.0,590.0,352.0
3351,35.0,60.0,24.0,2.0,358.0,22.0,117.0,79.0,48.0,381.0,40.0,396.0,5.0,536.0,83.0,589.0,9.0,411.0,52.0,182.0,168.0,85.0,94.0,12.0,69.0,299.0,43.0,145.0,102.0,330.0
3400,29.0,70.0,40.0,0.0,6.0,35.0,433.0,314.0,49.0,452.0,14.0,48.0,5.0,24.0,59.0,36.0,21.0,470.0,4.0,56.0,630.0,61.0,105.0,2.0,18.0,335.0,469.0,41.0,98.0,361.0
3449,1.0,109.0,6.0,9.0,219.0,27.0,0.0,25.0,30.0,23.0,40.0,394.0,49.0,534.0,600.0,590.0,37.0,47.0,559.0,32.0,16.0,117.0,139.0,36.0,374.0,95.0,378.0,13.0,64.0,26.0
3498,0.0,32.0,23.0,71.0,5.0,57.0,1.0,54.0,31.0,26.0,29.0,2.0,85.0,559.0,7.0,383.0,384.0,89.0,61.0,102.0,94.0,179.0,75.0,10.0,457.0,339.0,464.0,58.0,97.0,25.0
3547,384.0,8.0,376.0,37.0,537.0,36.0,5.0,82.0,74.0,16.0,58.0,12.0,88.0,544.0,52.0,63.0,30.0,415.0,1.0,25.0,366.0,125.0,90.0,576.0,18.0,66.0,387.0,35.0,115.0,129.0
3596,1.0,27.0,41.0,588.0,359.0,64.0,9.0,92.0,32.0,378.0,89.0,60.0,90.0,538.0,23.0,590.0,591.0,50.0,57.0,18.0,38.0,26.0,109.0,572.0,375.0,33.0,45.0,111.0,51.0,68.0
3645,1.0,81.0,366.0,0.0,21.0,28.0,33.0,14.0,106.0,376.0,73.0,496.0,597.0,6.0,24.0,585.0,134.0,70.0,68.0,31.0,47.0,3.0,138.0,29.0,16.0,351.0,378.0,17.0,38.0,111.0
3694,2.0,45.0,10.0,20.0,17.0,55.0,31.0,50.0,96.0,42.0,29.0,496.0,97.0,537.0,56.0,139.0,133.0,61.0,13.0,43.0,358.0,120.0,110.0,569.0,372.0,134.0,81.0,41.0,24.0,27.0
3743,1.0,17.0,4.0,12.0,11.0,10.0,578.0,25.0,46.0,26.0,103.0,7.0,113.0,539.0,601.0,62.0,590.0,407.0,66.0,16.0,74.0,95.0,88.0,85.0,54.0,346.0,47.0,36.0,64.0,78.0
3792,3.0,7.0,25.0,58.0,28.0,11.0,8.0,257.0,72.0,1.0,56.0,92.0,83.0,540.0,29.0,109.0,148.0,75.0,528.0,195.0,63.0,55.0,116.0,578.0,379.0,20.0,121.0,26.0,52.0,44.0
3841,1.0,23.0,33.0,491.0,0.0,46.0,451.0,59.0,133.0,38.0,54.0,50.0,12.0,524.0,31.0,497.0,112.0,68.0,15.0,72.0,88.0,65.0,99.0,410.0,409.0,28.0,420.0,320.0,82.0,35.0
3890,1.0,28.0,361.0,8.0,204.0,9.0,0.0,56.0,119.0,368.0,43.0,60.0,76.0,31.0,55.0,585.0,133.0,48.0,552.0,145.0,223.0,25.0,45.0,567.0,366.0,44.0,385.0,23.0,120.0,36.0
3939,1.0,59.0,19.0,12.0,10.0,483.0,3.0,15.0,39.0,100.0,36.0,504.0,31.0,518.0,126.0,492.0,83.0,62.0,82.0,118.0,98.0,542.0,81.0,405.0,46.0,123.0,281.0,319.0,128.0,86.0
3988,464.0,20.0,42.0,3.0,97.0,395.0,390.0,65.0,40.0,120.0,87.0,9.0,1.0,11.0,47.0,60.0,27.0,28.0,38.0,220.0,630.0,15.0,134.0,2.0,552.0,70.0,449.0,309.0,109.0,107.0
4037,2.0,9.0,65.0,25.0,554.0,75.0,1.0,18.0,42.0,256.0,405.0,0.0,8.0,3.0,12.0,19.0,64.0,54.0,62.0,235.0,630.0,87.0,97.0,436.0,467.0,79.0,462.0,303.0,427.0,120.0
4086,0.0,38.0,16.0,17.0,532.0,586.0,582.0,51.0,35.0,72.0,23.0,61.0,11.0,58.0,601.0,594.0,113.0,25.0,82.0,8.0,168.0,180.0,66.0,573.0,5.0,120.0,48.0,281.0,146.0,39.0
4135,9.0,2.0,18.0,50.0,74.0,128.0,14.0,17.0,53.0,124.0,96.0,4.0,42.0,19.0,12.0,588.0,145.0,46.0,28.0,58.0,365.0,48.0,127.0,570.0,381.0,34.0,23.0,280.0,597.0,342.0
4184,28.0,3.0,41.0,0.0,515.0,9.0,491.0,7.0,37.0,125.0,236.0,13.0,22.0,524.0,29.0,124.0,72.0,114.0,611.0,10.0,630.0,39.0,107.0,419.0,15.0,46.0,36.0,130.0,75.0,115.0
4233,1.0,57.0,8.0,72.0,364.0,12.0,5.0,100.0,16.0,106.0,63.0,7.0,36.0,2.0,603.0,44.0,139.0,416.0,530.0,192.0,30.0,118.0,117.0,579.0,126.0,62.0,93.0,361.0,42.0,262.0
4282,4.0,7.0,68.0,63.0,545.0,30.0,5.0,13.0,79.0,97.0,119.0,0.0,57.0,75.0,131.0,415.0,163.0,407.0,90.0,206.0,630.0,59.0,78.0,49.0,60.0,72.0,153.0,28.0,122.0,102.0
4331,23.0,69.0,20.0,2.0,31.0,7.0,44.0,15.0,58.0,464.0,74.0,5.0,68.0,49.0,54.0,24.0,36.0,106.0,41.0,162.0,82.0,93.0,97.0,434.0,460.0,76.0,467.0,98.0,51.0,52.0
4380,13.0,8.0,21.0,87.0,113.0,47.0,100.0,50.0,39.0,58.0,59.0,5.0,28.0,541.0,600.0,6.0,42.0,32.0,29.0,69.0,365.0,208.0,126.0,35.0,1.0,115.0,18.0,128.0,71.0,145.0
4429,1.0,79.0,23.0,16.0,85.0,13.0,0.0,285.0,29.0,380.0,82.0,90.0,25.0,541.0,14.0,108.0,60.0,35.0,21.0,46.0,15.0,215.0,147.0,72.0,27.0,55.0,124.0,192.0,568.0,94.0
4478,7.0,49.0,20.0,58.0,13.0,416.0,0.0,43.0,56.0,77.0,60.0,401.0,86.0,549.0,1.0,47.0,27.0,31.0,38.0,34.0,39.0,87.0,136.0,2.0,109.0,321.0,91.0,19.0,588.0,100.0
4527,6.0,37.0,44.0,1.0,73.0,21.0,591.0,2.0,5.0,22.0,483.0,106.0,89.0,24.0,611.0,46.0,111.0,23.0,18.0,201.0,53.0,209.0,122.0,583.0,394.0,19.0,58.0,94.0,90.0,52.0
4576,2.0,69.0,27.0,49.0,22.0,11.0,19.0,21.0,28.0,90.0,25.0,20.0,31.0,23.0,83.0,36.0,44.0,413.0,529.0,203.0,75.0,178.0,91.0,26.0,45.0,305.0,77.0,30.0,569.0,89.0
4625,0.0,115.0,380.0,1.0,10.0,17.0,56.0,73.0,68.0,391.0,58.0,39.0,77.0,549.0,607.0,123.0,88.0,13.0,44.0,53.0,75.0,212.0,136.0,587.0,3.0,24.0,43.0,143.0,109.0,156.0
4674,0.0,293.0,36.0,2.0,63.0,4.0,35.0,1.0,19.0,3.0,103.0,382.0,65.0,552.0,622.0,29.0,54.0,397.0,45.0,197.0,74.0,53.0,136.0,413.0,79.0,44.0,67.0,15.0,108.0,68.0
4723,4.0,144.0,16.0,2.0,6.0,78.0,106.0,10.0,32.0,453.0,47.0,70.0,118.0,19.0,1.0,110.0,14.0,73.0,17.0,12.0,84.0,66.0,113.0,421.0,448.0,34.0,108.0,133.0,89.0,65.0
4772,30.0,99.0,473.0,4.0,0.0,406.0,15.0,39.0,6.0,463.0,78.0,485.0,51.0,8.0,67.0,29.0,35.0,9.0,21.0,31.0,13.0,89.0,115.0,388.0,58.0,90.0,86.0,136.0,91.0,83.0
4821,11.0,462.0,377.0,0.0,3.0,20.0,43.0,53.0,34.0,50.0,472.0,402.0,18.0,8.0,57.0,66.0,91.0,59.0,561.0,15.0,77.0,180.0,81.0,7.0,384.0,44.0,389.0,49.0,147.0,339.0
4870,10.0,94.0,20.0,0.0,5.0,12.0,7.0,30.0,55.0,390.0,56.0,52.0,62.0,547.0,75.0,41.0,74.0,415.0,503.0,13.0,29.0,113.0,104.0,3.0,11.0,338.0,72.0,357.0,102.0,132.0
