,hsa-miR-296-5p,hsa-miR-105,hsa-miR-483-3p,hsa-miR-27b,hsa-miR-616,hsa-miR-892a,hsa-miR-26a,hsa-miR-744,hsa-miR-711,hsa-miR-34a,hsa-miR-192,hsa-miR-331-5p,hsa-miR-1977,hsa-miR-34c-5p,hsa-miR-579,hsa-miR-556-3p,hsa-miR-383,hsa-miR-148a,hsa-miR-550,hsa-miR-645,ebv-miR-BART20-5p,hsa-miR-323-5p,hsa-miR-924,hsa-miR-1236,hsv2-miR-H2,hsa-miR-504,kshv-miR-K12-7,hsa-miR-222,hsa-miR-761,hsv1-miR-H8
3202,15.0,8.0,17.0,1.0,14.0,2.0,0.0,13.0,6.0,19.0,7.0,3.0,12.0,25.0,10.0,20.0,43.0,16.0,23.0,5.0,35.0,28.0,60.0,9.0,4.0,109.0,18.0,40.0,48.0,73.0
3251,39.0,2.0,14.0,6.0,1.0,3.0,0.0,29.0,12.0,4.0,22.0,17.0,13.0,18.0,35.0,9.0,54.0,19.0,196.0,11.0,8.0,16.0,30.0,5.0,7.0,32.0,60.0,84.0,21.0,68.0
3300,23.0,6.0,12.0,8.0,3.0,1.0,0.0,22.0,28.0,7.0,4.0,5.0,2.0,10.0,36.0,9.0,49.0,13.0,30.0,16.0,15.0,27.0,19.0,14.0,71.0,63.0,31.0,11.0,52.0,40.0
3349,26.0,0.0,15.0,4.0,5.0,40.0,1.0,46.0,48.0,58.0,11.0,3.0,6.0,2.0,12.0,17.0,28.0,59.0,87.0,36.0,14.0,55.0,22.0,9.0,8.0,32.0,35.0,116.0,38.0,33.0
3398,21.0,1.0,10.0,30.0,2.0,6.0,9.0,3.0,5.0,12.0,26.0,16.0,0.0,4.0,22.0,56.0,31.0,20.0,32.0,8.0,7.0,33.0,51.0,11.0,37.0,23.0,39.0,19.0,34.0,42.0
3447,3.0,5.0,19.0,0.0,4.0,1.0,6.0,7.0,10.0,8.0,13.0,25.0,76.0,96.0,37.0,29.0,16.0,33.0,117.0,2.0,38.0,9.0,36.0,53.0,11.0,28.0,40.0,43.0,93.0,39.0
3496,65.0,8.0,4.0,1.0,2.0,0.0,7.0,6.0,13.0,17.0,5.0,14.0,32.0,30.0,16.0,27.0,9.0,78.0,136.0,15.0,41.0,21.0,24.0,88.0,22.0,26.0,10.0,44.0,102.0,31.0
3545,14.0,0.0,3.0,2.0,12.0,5.0,21.0,4.0,7.0,1.0,13.0,30.0,26.0,102.0,15.0,46.0,8.0,80.0,122.0,6.0,23.0,16.0,24.0,93.0,11.0,31.0,9.0,345.0,216.0,76.0
3594,7.0,2.0,10.0,8.0,4.0,0.0,1.0,6.0,36.0,5.0,3.0,21.0,41.0,109.0,11.0,16.0,28.0,14.0,172.0,9.0,32.0,12.0,43.0,72.0,15.0,22.0,20.0,44.0,67.0,54.0
3643,7.0,0.0,10.0,14.0,20.0,1.0,6.0,13.0,18.0,4.0,5.0,17.0,92.0,83.0,12.0,3.0,40.0,29.0,115.0,11.0,44.0,24.0,16.0,66.0,2.0,31.0,47.0,35.0,43.0,42.0
