,Bax,Annexin 1,VAV1,p21,p38_pT180_Y182,MEK1_pS217_S221,CDK1,Smac,Rab25,Transglutaminase,Cyclin_D1,MAPK_pT202_Y204,Chk1_pS345,p90RSK_pT573,Beclin,p70S6K_pT389,NF-kB-p65_pS536,Chk2,PTEN,AMPK_alpha,MSH6,PI3K-p85,AMPK_pT172,EGFR,ADAR1,PKC-alpha,INPP4B,Heregulin,SHP-2_pY542,GATA3
1032,0.0,2.0,5.0,10.0,1.0,13.0,6.0,4.0,7.0,3.0,12.0,14.0,8.0,19.0,9.0,32.0,18.0,82.0,21.0,23.0,40.0,74.0,29.0,25.0,28.0,11.0,79.0,31.0,22.0,20.0
1081,0.0,1.0,7.0,6.0,5.0,3.0,4.0,16.0,2.0,10.0,12.0,24.0,13.0,17.0,15.0,18.0,8.0,83.0,27.0,22.0,45.0,14.0,96.0,23.0,9.0,28.0,78.0,20.0,63.0,26.0
1130,0.0,2.0,4.0,5.0,3.0,7.0,8.0,12.0,9.0,13.0,1.0,33.0,25.0,11.0,10.0,22.0,14.0,16.0,15.0,19.0,35.0,28.0,29.0,38.0,30.0,17.0,32.0,18.0,67.0,6.0
1179,0.0,1.0,4.0,3.0,5.0,14.0,12.0,17.0,10.0,18.0,15.0,27.0,7.0,2.0,16.0,65.0,6.0,81.0,26.0,8.0,30.0,21.0,28.0,114.0,20.0,9.0,19.0,24.0,64.0,13.0
1228,0.0,3.0,10.0,2.0,5.0,17.0,7.0,11.0,1.0,4.0,25.0,19.0,14.0,6.0,8.0,29.0,20.0,21.0,24.0,9.0,34.0,15.0,100.0,36.0,33.0,16.0,28.0,27.0,67.0,23.0
1277,0.0,8.0,1.0,2.0,7.0,5.0,14.0,12.0,3.0,4.0,6.0,22.0,84.0,10.0,15.0,9.0,11.0,16.0,17.0,18.0,46.0,23.0,91.0,28.0,29.0,20.0,27.0,76.0,32.0,13.0
1326,0.0,22.0,8.0,2.0,1.0,4.0,3.0,14.0,11.0,16.0,7.0,17.0,5.0,6.0,9.0,32.0,20.0,98.0,23.0,24.0,43.0,33.0,81.0,15.0,19.0,13.0,27.0,10.0,29.0,12.0
1375,0.0,7.0,10.0,9.0,1.0,19.0,4.0,5.0,11.0,2.0,6.0,17.0,8.0,3.0,14.0,18.0,16.0,93.0,15.0,13.0,25.0,32.0,97.0,26.0,34.0,22.0,79.0,29.0,28.0,21.0
1424,1.0,2.0,5.0,3.0,9.0,11.0,0.0,4.0,8.0,29.0,6.0,25.0,7.0,17.0,10.0,23.0,13.0,18.0,72.0,34.0,38.0,30.0,100.0,117.0,36.0,19.0,33.0,12.0,24.0,16.0
1473,0.0,3.0,1.0,5.0,12.0,2.0,27.0,7.0,10.0,21.0,4.0,14.0,20.0,28.0,26.0,18.0,16.0,19.0,39.0,6.0,9.0,24.0,23.0,31.0,41.0,13.0,33.0,76.0,67.0,111.0
1522,0.0,2.0,6.0,1.0,18.0,3.0,4.0,9.0,23.0,16.0,12.0,36.0,8.0,15.0,34.0,19.0,27.0,17.0,32.0,5.0,14.0,25.0,26.0,10.0,20.0,13.0,24.0,29.0,72.0,107.0
1571,0.0,2.0,3.0,4.0,1.0,6.0,5.0,9.0,39.0,7.0,23.0,43.0,12.0,17.0,29.0,21.0,33.0,22.0,32.0,10.0,14.0,38.0,16.0,31.0,19.0,15.0,28.0,41.0,35.0,114.0
1620,0.0,7.0,4.0,1.0,5.0,3.0,12.0,15.0,18.0,21.0,10.0,29.0,14.0,23.0,24.0,37.0,34.0,92.0,31.0,2.0,8.0,27.0,30.0,13.0,20.0,19.0,82.0,40.0,65.0,38.0
1669,0.0,2.0,1.0,6.0,5.0,3.0,24.0,10.0,37.0,31.0,14.0,27.0,7.0,13.0,30.0,32.0,15.0,18.0,33.0,4.0,21.0,35.0,9.0,22.0,16.0,29.0,20.0,28.0,26.0,113.0
1718,0.0,1.0,3.0,4.0,11.0,5.0,92.0,28.0,26.0,7.0,2.0,32.0,12.0,17.0,16.0,6.0,36.0,20.0,38.0,10.0,8.0,71.0,30.0,23.0,13.0,14.0,24.0,76.0,15.0,33.0
1767,0.0,1.0,2.0,3.0,10.0,17.0,5.0,11.0,7.0,9.0,12.0,21.0,83.0,29.0,31.0,23.0,26.0,18.0,28.0,4.0,13.0,33.0,19.0,24.0,16.0,32.0,25.0,36.0,64.0,27.0
1816,0.0,3.0,1.0,5.0,10.0,2.0,24.0,70.0,9.0,17.0,4.0,55.0,15.0,14.0,25.0,30.0,21.0,6.0,39.0,12.0,20.0,22.0,36.0,8.0,11.0,13.0,88.0,122.0,27.0,111.0
1865,1.0,2.0,0.0,3.0,6.0,4.0,5.0,18.0,15.0,23.0,10.0,32.0,13.0,9.0,12.0,78.0,14.0,25.0,24.0,8.0,7.0,64.0,27.0,21.0,11.0,19.0,20.0,34.0,74.0,30.0
1914,0.0,7.0,2.0,6.0,10.0,4.0,8.0,15.0,67.0,21.0,16.0,14.0,17.0,29.0,18.0,19.0,5.0,9.0,46.0,1.0,3.0,27.0,23.0,13.0,101.0,12.0,25.0,32.0,65.0,114.0
1963,0.0,1.0,2.0,9.0,10.0,6.0,22.0,14.0,12.0,8.0,3.0,11.0,87.0,20.0,13.0,24.0,31.0,15.0,7.0,34.0,4.0,52.0,32.0,23.0,5.0,80.0,16.0,115.0,29.0,18.0
2012,0.0,4.0,8.0,10.0,7.0,3.0,16.0,20.0,14.0,1.0,18.0,2.0,27.0,15.0,100.0,22.0,29.0,6.0,5.0,81.0,9.0,53.0,82.0,11.0,31.0,35.0,28.0,80.0,21.0,112.0
2061,0.0,1.0,2.0,11.0,5.0,6.0,13.0,15.0,12.0,10.0,3.0,4.0,88.0,25.0,26.0,28.0,23.0,22.0,18.0,96.0,8.0,74.0,32.0,14.0,31.0,80.0,24.0,35.0,62.0,7.0
2110,0.0,1.0,3.0,6.0,5.0,10.0,11.0,13.0,12.0,2.0,4.0,7.0,87.0,9.0,21.0,24.0,42.0,28.0,19.0,83.0,8.0,65.0,20.0,33.0,30.0,64.0,15.0,105.0,74.0,23.0
2159,0.0,1.0,2.0,16.0,7.0,9.0,13.0,5.0,18.0,8.0,10.0,6.0,37.0,4.0,19.0,27.0,29.0,35.0,3.0,31.0,12.0,76.0,97.0,20.0,11.0,33.0,89.0,118.0,64.0,23.0
2208,0.0,2.0,5.0,13.0,12.0,6.0,11.0,20.0,14.0,1.0,9.0,3.0,87.0,24.0,10.0,8.0,25.0,21.0,18.0,30.0,4.0,78.0,29.0,16.0,27.0,77.0,84.0,26.0,28.0,115.0
2257,0.0,2.0,5.0,1.0,3.0,8.0,20.0,26.0,15.0,4.0,7.0,19.0,21.0,10.0,14.0,12.0,31.0,17.0,11.0,99.0,29.0,77.0,9.0,27.0,28.0,80.0,25.0,35.0,64.0,36.0
2306,0.0,1.0,2.0,3.0,6.0,10.0,16.0,23.0,15.0,8.0,7.0,4.0,36.0,21.0,32.0,22.0,18.0,31.0,11.0,101.0,5.0,80.0,25.0,13.0,17.0,79.0,26.0,35.0,9.0,30.0
2355,0.0,1.0,2.0,3.0,9.0,11.0,12.0,21.0,35.0,4.0,10.0,8.0,34.0,5.0,96.0,16.0,36.0,18.0,13.0,33.0,6.0,26.0,31.0,7.0,15.0,29.0,82.0,121.0,66.0,22.0
2404,0.0,2.0,4.0,16.0,20.0,19.0,10.0,25.0,11.0,22.0,18.0,7.0,86.0,6.0,24.0,5.0,15.0,34.0,12.0,104.0,1.0,75.0,21.0,8.0,13.0,74.0,23.0,117.0,30.0,9.0
2453,0.0,10.0,2.0,1.0,5.0,12.0,24.0,11.0,18.0,15.0,17.0,6.0,19.0,4.0,20.0,13.0,16.0,28.0,14.0,29.0,9.0,8.0,37.0,22.0,7.0,79.0,34.0,27.0,35.0,3.0
2502,0.0,7.0,3.0,2.0,15.0,6.0,10.0,16.0,21.0,23.0,9.0,1.0,4.0,22.0,12.0,8.0,19.0,34.0,18.0,98.0,17.0,26.0,97.0,30.0,13.0,76.0,88.0,25.0,62.0,5.0
2551,0.0,1.0,6.0,4.0,15.0,13.0,27.0,3.0,12.0,16.0,5.0,22.0,8.0,33.0,7.0,14.0,31.0,32.0,23.0,21.0,9.0,37.0,35.0,34.0,17.0,70.0,29.0,41.0,10.0,2.0
2600,0.0,23.0,7.0,1.0,2.0,19.0,10.0,11.0,22.0,3.0,8.0,20.0,16.0,13.0,15.0,9.0,42.0,26.0,18.0,99.0,5.0,4.0,36.0,21.0,6.0,76.0,33.0,31.0,17.0,12.0
2649,0.0,3.0,8.0,1.0,4.0,7.0,18.0,9.0,21.0,36.0,10.0,2.0,11.0,15.0,12.0,5.0,28.0,93.0,19.0,35.0,6.0,17.0,22.0,103.0,116.0,69.0,29.0,31.0,13.0,14.0
2698,0.0,2.0,13.0,3.0,6.0,25.0,19.0,17.0,5.0,12.0,4.0,30.0,18.0,11.0,9.0,7.0,10.0,32.0,24.0,33.0,15.0,16.0,23.0,27.0,14.0,69.0,31.0,35.0,8.0,1.0
2747,0.0,6.0,4.0,17.0,16.0,5.0,24.0,9.0,8.0,7.0,32.0,2.0,3.0,22.0,10.0,30.0,12.0,14.0,1.0,99.0,18.0,13.0,34.0,23.0,19.0,64.0,90.0,28.0,11.0,20.0
2796,0.0,24.0,9.0,12.0,14.0,34.0,3.0,15.0,2.0,1.0,4.0,11.0,16.0,20.0,32.0,7.0,26.0,85.0,10.0,39.0,31.0,30.0,5.0,22.0,13.0,19.0,17.0,33.0,18.0,6.0
2845,1.0,4.0,2.0,5.0,14.0,10.0,7.0,16.0,26.0,27.0,9.0,6.0,3.0,31.0,33.0,0.0,18.0,19.0,21.0,96.0,25.0,8.0,15.0,30.0,20.0,73.0,37.0,28.0,23.0,12.0
2894,0.0,20.0,4.0,10.0,3.0,6.0,9.0,5.0,8.0,7.0,16.0,2.0,17.0,25.0,12.0,19.0,27.0,21.0,13.0,86.0,15.0,18.0,14.0,103.0,22.0,75.0,73.0,80.0,11.0,1.0
2943,1.0,2.0,0.0,7.0,6.0,22.0,4.0,3.0,5.0,19.0,14.0,8.0,30.0,15.0,9.0,18.0,21.0,17.0,12.0,16.0,13.0,20.0,101.0,37.0,10.0,78.0,40.0,27.0,11.0,28.0
2992,0.0,4.0,1.0,13.0,20.0,37.0,3.0,6.0,32.0,9.0,17.0,2.0,25.0,5.0,8.0,34.0,7.0,12.0,10.0,15.0,40.0,26.0,24.0,27.0,39.0,30.0,125.0,28.0,22.0,23.0
3041,2.0,5.0,0.0,3.0,6.0,39.0,11.0,4.0,22.0,1.0,7.0,9.0,14.0,18.0,8.0,23.0,25.0,17.0,10.0,104.0,15.0,12.0,105.0,29.0,20.0,30.0,42.0,33.0,27.0,35.0
3090,1.0,2.0,0.0,11.0,14.0,23.0,7.0,5.0,4.0,6.0,3.0,15.0,16.0,9.0,13.0,29.0,17.0,19.0,10.0,8.0,28.0,71.0,27.0,25.0,100.0,79.0,82.0,18.0,22.0,108.0
3139,0.0,3.0,1.0,5.0,34.0,4.0,10.0,2.0,19.0,9.0,27.0,14.0,38.0,16.0,23.0,22.0,6.0,12.0,7.0,17.0,35.0,30.0,90.0,11.0,32.0,33.0,25.0,28.0,8.0,40.0
3188,1.0,5.0,3.0,0.0,27.0,22.0,6.0,2.0,8.0,25.0,15.0,4.0,38.0,7.0,29.0,28.0,11.0,12.0,17.0,20.0,13.0,9.0,18.0,31.0,19.0,77.0,123.0,114.0,10.0,37.0
3237,0.0,4.0,1.0,2.0,10.0,5.0,7.0,3.0,21.0,30.0,20.0,8.0,33.0,6.0,103.0,22.0,27.0,12.0,9.0,13.0,38.0,34.0,35.0,28.0,17.0,14.0,118.0,110.0,36.0,114.0
3286,1.0,0.0,6.0,5.0,4.0,33.0,8.0,3.0,2.0,17.0,12.0,27.0,16.0,35.0,32.0,22.0,14.0,19.0,31.0,26.0,50.0,21.0,9.0,28.0,25.0,34.0,37.0,108.0,20.0,40.0
3335,0.0,2.0,1.0,5.0,14.0,21.0,8.0,11.0,6.0,12.0,7.0,18.0,31.0,17.0,26.0,19.0,15.0,16.0,13.0,22.0,25.0,27.0,32.0,36.0,23.0,65.0,118.0,110.0,4.0,115.0
3384,3.0,4.0,0.0,2.0,19.0,22.0,13.0,1.0,14.0,5.0,21.0,10.0,33.0,12.0,11.0,16.0,8.0,35.0,7.0,20.0,28.0,79.0,23.0,119.0,99.0,37.0,25.0,118.0,6.0,34.0
3433,3.0,4.0,0.0,8.0,5.0,27.0,1.0,16.0,24.0,25.0,12.0,11.0,15.0,2.0,33.0,9.0,28.0,6.0,65.0,19.0,30.0,29.0,13.0,17.0,7.0,21.0,18.0,26.0,22.0,115.0
3482,2.0,4.0,1.0,6.0,7.0,14.0,0.0,3.0,19.0,25.0,15.0,10.0,32.0,17.0,12.0,13.0,24.0,8.0,22.0,18.0,5.0,34.0,30.0,16.0,35.0,11.0,9.0,29.0,26.0,112.0
3531,2.0,0.0,15.0,5.0,1.0,18.0,3.0,10.0,21.0,4.0,7.0,9.0,14.0,6.0,19.0,13.0,30.0,22.0,29.0,32.0,12.0,27.0,20.0,11.0,28.0,24.0,8.0,17.0,33.0,16.0
3580,1.0,3.0,2.0,25.0,8.0,12.0,0.0,5.0,15.0,10.0,23.0,4.0,35.0,7.0,18.0,16.0,24.0,6.0,11.0,27.0,26.0,20.0,9.0,29.0,17.0,22.0,19.0,13.0,64.0,115.0
3629,1.0,3.0,8.0,4.0,2.0,9.0,0.0,26.0,10.0,24.0,5.0,21.0,18.0,23.0,94.0,15.0,25.0,13.0,69.0,29.0,6.0,12.0,7.0,17.0,22.0,49.0,11.0,16.0,27.0,108.0
3678,1.0,3.0,5.0,2.0,4.0,22.0,0.0,10.0,13.0,6.0,16.0,19.0,11.0,14.0,32.0,12.0,29.0,8.0,61.0,17.0,23.0,26.0,30.0,18.0,101.0,7.0,27.0,24.0,33.0,120.0
3727,3.0,1.0,2.0,5.0,0.0,11.0,4.0,15.0,26.0,6.0,12.0,10.0,13.0,7.0,27.0,8.0,28.0,20.0,32.0,9.0,18.0,14.0,29.0,19.0,17.0,51.0,25.0,24.0,21.0,111.0
3776,1.0,4.0,3.0,2.0,5.0,22.0,0.0,17.0,7.0,9.0,8.0,12.0,24.0,11.0,36.0,13.0,26.0,16.0,72.0,18.0,10.0,21.0,33.0,19.0,23.0,14.0,31.0,6.0,30.0,29.0
3825,1.0,5.0,2.0,6.0,3.0,19.0,0.0,10.0,17.0,4.0,8.0,22.0,20.0,11.0,36.0,25.0,38.0,15.0,35.0,13.0,12.0,16.0,7.0,26.0,27.0,24.0,18.0,110.0,21.0,115.0
3874,1.0,3.0,2.0,8.0,5.0,34.0,0.0,29.0,6.0,7.0,9.0,15.0,16.0,14.0,26.0,12.0,4.0,18.0,60.0,10.0,11.0,21.0,30.0,22.0,17.0,19.0,13.0,35.0,32.0,117.0
3923,1.0,0.0,4.0,12.0,8.0,11.0,2.0,18.0,3.0,9.0,5.0,13.0,15.0,30.0,6.0,16.0,17.0,83.0,7.0,21.0,25.0,32.0,10.0,20.0,33.0,37.0,78.0,29.0,31.0,35.0
3972,0.0,1.0,6.0,5.0,10.0,9.0,3.0,4.0,7.0,26.0,24.0,11.0,17.0,30.0,2.0,31.0,15.0,22.0,8.0,16.0,25.0,18.0,12.0,37.0,100.0,78.0,123.0,13.0,23.0,19.0
4021,2.0,0.0,1.0,15.0,7.0,27.0,3.0,11.0,20.0,4.0,26.0,37.0,8.0,19.0,6.0,31.0,14.0,32.0,9.0,25.0,23.0,5.0,12.0,22.0,34.0,13.0,84.0,18.0,38.0,21.0
4070,4.0,2.0,1.0,18.0,6.0,11.0,3.0,7.0,10.0,9.0,19.0,8.0,13.0,21.0,0.0,20.0,28.0,35.0,5.0,22.0,48.0,24.0,12.0,122.0,36.0,16.0,79.0,121.0,17.0,15.0
4119,0.0,1.0,2.0,11.0,10.0,3.0,15.0,18.0,26.0,13.0,21.0,6.0,8.0,14.0,4.0,42.0,20.0,87.0,22.0,5.0,31.0,23.0,7.0,27.0,25.0,24.0,119.0,12.0,33.0,17.0
4168,2.0,0.0,4.0,6.0,5.0,3.0,1.0,10.0,7.0,8.0,33.0,20.0,11.0,17.0,12.0,14.0,19.0,84.0,9.0,15.0,39.0,27.0,28.0,116.0,37.0,16.0,32.0,13.0,62.0,21.0
4217,0.0,1.0,5.0,2.0,10.0,27.0,6.0,3.0,11.0,20.0,13.0,19.0,4.0,7.0,9.0,22.0,40.0,35.0,15.0,24.0,44.0,26.0,12.0,28.0,105.0,14.0,96.0,18.0,8.0,34.0
4266,4.0,0.0,3.0,11.0,5.0,9.0,8.0,6.0,10.0,12.0,2.0,31.0,14.0,23.0,1.0,35.0,32.0,24.0,33.0,22.0,26.0,13.0,7.0,37.0,100.0,20.0,87.0,15.0,21.0,28.0
4315,1.0,0.0,2.0,3.0,4.0,10.0,7.0,21.0,8.0,5.0,37.0,26.0,17.0,14.0,18.0,39.0,27.0,24.0,13.0,9.0,33.0,19.0,6.0,125.0,99.0,25.0,31.0,29.0,15.0,113.0
4364,3.0,0.0,2.0,11.0,6.0,15.0,1.0,16.0,17.0,12.0,13.0,23.0,7.0,39.0,8.0,36.0,26.0,5.0,14.0,10.0,42.0,32.0,4.0,93.0,19.0,20.0,28.0,24.0,30.0,31.0
4413,1.0,8.0,0.0,3.0,10.0,6.0,7.0,2.0,11.0,9.0,5.0,27.0,13.0,26.0,16.0,4.0,14.0,15.0,22.0,101.0,17.0,24.0,12.0,38.0,104.0,39.0,25.0,40.0,23.0,35.0
4462,1.0,10.0,0.0,2.0,4.0,8.0,3.0,12.0,14.0,15.0,13.0,29.0,25.0,34.0,9.0,5.0,23.0,7.0,16.0,104.0,30.0,26.0,11.0,18.0,17.0,27.0,6.0,21.0,78.0,111.0
4511,1.0,13.0,0.0,2.0,4.0,7.0,12.0,8.0,25.0,33.0,10.0,17.0,88.0,26.0,92.0,5.0,11.0,6.0,3.0,19.0,14.0,27.0,22.0,21.0,35.0,50.0,47.0,9.0,31.0,24.0
4560,1.0,3.0,0.0,2.0,13.0,15.0,4.0,10.0,8.0,5.0,124.0,14.0,12.0,31.0,33.0,19.0,25.0,6.0,21.0,27.0,7.0,9.0,32.0,30.0,99.0,17.0,26.0,16.0,63.0,112.0
4609,1.0,8.0,0.0,2.0,7.0,12.0,3.0,15.0,9.0,27.0,5.0,52.0,95.0,58.0,10.0,6.0,4.0,18.0,24.0,19.0,21.0,13.0,16.0,102.0,120.0,30.0,28.0,14.0,80.0,112.0
4658,2.0,16.0,0.0,1.0,5.0,3.0,6.0,10.0,8.0,13.0,7.0,11.0,4.0,49.0,12.0,19.0,14.0,17.0,29.0,20.0,26.0,24.0,31.0,27.0,21.0,34.0,35.0,9.0,60.0,23.0
4707,1.0,4.0,0.0,3.0,8.0,5.0,2.0,6.0,9.0,10.0,7.0,26.0,18.0,37.0,19.0,11.0,14.0,25.0,21.0,27.0,20.0,38.0,24.0,17.0,99.0,15.0,12.0,16.0,66.0,13.0
4756,1.0,16.0,0.0,7.0,6.0,2.0,3.0,4.0,8.0,56.0,17.0,11.0,10.0,21.0,9.0,5.0,20.0,35.0,24.0,32.0,28.0,76.0,14.0,120.0,19.0,33.0,18.0,110.0,78.0,23.0
4805,1.0,12.0,0.0,2.0,5.0,3.0,7.0,6.0,9.0,15.0,25.0,16.0,23.0,36.0,96.0,4.0,11.0,8.0,10.0,102.0,54.0,14.0,13.0,18.0,17.0,77.0,26.0,28.0,67.0,19.0
4854,0.0,14.0,1.0,15.0,8.0,4.0,3.0,2.0,18.0,10.0,16.0,21.0,9.0,25.0,29.0,7.0,5.0,13.0,6.0,19.0,33.0,20.0,17.0,122.0,35.0,27.0,26.0,22.0,32.0,113.0
