,RP11-902B17.1,ABCA12,ELF3,CNRIP1,EPPK1,GALNT3,NRSN2,DLG4,TSTD1,ANO9,MACC1,DAPP1,TMC6,AC002128.5,AP1M1,DIRAS1,C2orf54,RP11-44F14.2,C17orf51,DSC2,CD99L2,COPS8,LAMA5,ARMCX1,HMGA1P4,PRSS16,TUBA1A,STXBP2,BNC2,SYDE1
501,1.0,2.0,10.0,22.0,11.0,0.0,16.0,6.0,3.0,12.0,20.0,15.0,14.0,27.0,21.0,29.0,44.0,32.0,24.0,5.0,4.0,95.0,34.0,7.0,20519.0,8.0,9.0,137.0,18538.0,18.0
550,0.0,17.0,2.0,23.0,3.0,1.0,14.0,7.0,11.0,10.0,15.0,24.0,19.0,25.0,16.0,27.0,6.0,22.0,29.0,12.0,4.0,130.0,28.0,18.0,20535.0,8.0,5.0,366.0,34.0,9.0
599,0.0,5.0,8.0,20.0,6.0,12.0,9.0,2.0,1.0,39.0,14.0,15.0,47.0,33.0,24.0,16.0,1431.0,36.0,21.0,4.0,3.0,19.0,28.0,38.0,20485.0,7.0,5750.0,29.0,1171.0,45.0
648,1.0,3.0,7.0,14.0,9.0,0.0,16.0,15.0,2.0,6.0,13.0,20.0,8380.0,28.0,35.0,8.0,4.0,25.0,27.0,44.0,11.0,18.0,26.0,84.0,20485.0,12.0,5.0,23.0,29.0,22.0
697,0.0,11.0,10.0,16.0,14.0,4.0,5.0,1.0,2.0,9.0,24.0,12.0,165.0,26.0,25.0,13.0,250.0,22.0,36.0,61.0,3.0,13525.0,39.0,17.0,20553.0,15.0,7.0,11111.0,18.0,21.0
746,0.0,1.0,3.0,19.0,4.0,10.0,13.0,7.0,2.0,11.0,22.0,14.0,25.0,24.0,15.0,34.0,6.0,21.0,36.0,9.0,29.0,38.0,32.0,8883.0,20484.0,28.0,8.0,131.0,18524.0,12.0
795,0.0,8.0,6.0,1.0,2.0,10.0,13.0,3.0,4.0,7.0,19.0,15.0,25.0,22.0,16.0,32.0,12.0,26.0,29.0,11.0,5.0,98.0,28.0,31.0,20484.0,36.0,9.0,217.0,18529.0,49.0
844,2.0,11.0,10.0,4.0,8.0,1.0,41.0,0.0,3.0,7.0,20.0,30.0,11573.0,23.0,17.0,26.0,35.0,25.0,32.0,45.0,18.0,13552.0,58.0,7205.0,1370.0,15.0,5.0,7496.0,21.0,12.0
893,0.0,72.0,6.0,16.0,1.0,13.0,12.0,3.0,2.0,9.0,18.0,15.0,42.0,29.0,20.0,23.0,48.0,27.0,26.0,5.0,28.0,11.0,37.0,8.0,20541.0,57.0,4.0,133.0,18569.0,35.0
942,0.0,13.0,42.0,5.0,7.0,9.0,40.0,4.0,12.0,6.0,15.0,24.0,19.0,8.0,30.0,26.0,1.0,37.0,36.0,67.0,44.0,141.0,135.0,3.0,1712.0,10.0,38.0,35.0,17.0,11.0
991,0.0,2.0,5.0,1.0,9.0,3.0,37.0,8.0,4.0,12.0,16.0,34.0,14.0,17.0,19.0,6.0,12644.0,31.0,28.0,10.0,20.0,143.0,15.0,18.0,20557.0,11.0,7.0,38.0,18516.0,53.0
1040,0.0,2.0,8.0,10.0,6.0,4.0,14.0,5.0,1.0,23.0,15.0,36.0,12.0,20.0,31.0,13.0,45.0,24.0,28.0,11.0,21.0,9.0,25.0,8890.0,1682.0,3.0,7.0,91.0,354.0,66.0
1089,0.0,3.0,6.0,1.0,2.0,15.0,7.0,9.0,4.0,19.0,12.0,29.0,18.0,13.0,5.0,20.0,12652.0,34.0,28.0,8.0,128.0,24.0,22.0,37.0,21.0,41.0,33.0,11.0,18578.0,75.0
1138,1.0,0.0,3.0,4.0,7.0,2.0,18.0,8.0,10.0,42.0,24.0,21.0,213.0,22.0,26.0,6.0,47.0,30.0,20.0,9.0,108.0,14.0,17.0,624.0,20559.0,64.0,5.0,11.0,18521.0,7551.0
1187,0.0,1.0,48.0,4.0,2.0,5.0,8.0,11.0,7.0,53.0,24.0,20.0,11753.0,19.0,21.0,13.0,12594.0,30.0,15.0,6.0,3.0,17.0,18.0,25.0,12.0,47.0,26.0,9.0,18514.0,59.0
1236,0.0,7.0,5.0,22.0,6.0,2.0,9.0,15.0,12.0,27.0,13.0,23.0,11.0,25.0,28.0,17.0,54.0,38.0,30.0,3.0,101.0,43.0,10.0,8900.0,20498.0,35.0,1.0,4.0,18542.0,48.0
1285,0.0,1.0,3.0,28.0,4.0,2.0,6.0,12.0,8.0,29.0,16.0,22.0,55.0,15.0,27.0,21.0,57.0,23.0,18.0,9.0,123.0,11.0,13.0,11779.0,25.0,61.0,26.0,7.0,18508.0,83.0
1334,0.0,1.0,44.0,3.0,5.0,2.0,23.0,31.0,4.0,34.0,7.0,18.0,9.0,12.0,15.0,14.0,38.0,27.0,20.0,61.0,6.0,19.0,110.0,11.0,8.0,53.0,28.0,13.0,30.0,21.0
1383,0.0,5.0,3.0,12.0,2.0,1.0,9.0,10.0,19.0,11.0,24.0,28.0,7.0,22.0,14.0,13.0,17.0,29.0,23.0,4.0,61.0,13557.0,15.0,34.0,20536.0,25.0,6.0,35.0,18554.0,40.0
1432,1.0,0.0,33.0,3.0,49.0,4.0,39.0,10.0,5.0,7.0,20.0,18.0,16.0,17.0,21.0,9.0,12646.0,35.0,15.0,6.0,8.0,171.0,13.0,8888.0,1320.0,27.0,2.0,41.0,18501.0,25.0
1481,0.0,2.0,43.0,1.0,6.0,16.0,5.0,104.0,13.0,15.0,30.0,11.0,62.0,7.0,26.0,18.0,4.0,36.0,21.0,3.0,8685.0,9.0,27.0,48.0,8.0,50.0,58.0,10.0,18503.0,57.0
1530,0.0,5.0,3.0,2.0,37.0,13157.0,4.0,55.0,32.0,44.0,15.0,16.0,7.0,14.0,40.0,12.0,9.0,42.0,24.0,1.0,8737.0,8.0,13.0,6.0,27.0,70.0,6548.0,19.0,18579.0,54.0
1579,0.0,4.0,1.0,7.0,12.0,21.0,3.0,17.0,25.0,63.0,15.0,23.0,50.0,10.0,29.0,27.0,5.0,46.0,32.0,71.0,135.0,9.0,14.0,20.0,28.0,33.0,16.0,11.0,2.0,40.0
1628,0.0,17.0,7.0,13.0,5.0,2.0,8.0,10.0,11.0,14.0,19.0,29.0,12.0,6.0,25.0,38.0,3.0,28.0,33.0,67.0,9912.0,27.0,41.0,31.0,273.0,23.0,1.0,15.0,22.0,4.0
1677,0.0,95.0,15.0,5.0,6.0,31.0,2.0,10.0,3.0,16.0,8.0,22.0,12.0,13.0,19.0,4.0,53.0,50.0,28.0,12140.0,328.0,9.0,21.0,32.0,17.0,1.0,47.0,92.0,36.0,34.0
1726,0.0,3.0,5.0,1.0,6.0,16.0,14.0,100.0,17.0,9.0,19.0,22.0,8.0,13.0,28.0,12.0,60.0,10.0,11.0,4.0,195.0,2.0,7.0,33.0,29.0,15.0,46.0,112.0,18585.0,24.0
1775,0.0,4.0,7.0,9.0,6.0,16.0,37.0,15.0,26.0,10.0,19.0,25.0,11.0,13.0,20.0,2.0,5.0,17.0,33.0,42.0,176.0,12.0,24.0,35.0,379.0,47.0,8.0,29.0,38.0,49.0
1824,0.0,2.0,4.0,8.0,1.0,7.0,11.0,6.0,26.0,14.0,23.0,20.0,46.0,12.0,24.0,22.0,36.0,32.0,5.0,39.0,34.0,9.0,128.0,18.0,10.0,42.0,44.0,27.0,33.0,37.0
1873,0.0,19.0,2.0,8.0,6.0,1.0,15.0,35.0,16.0,13.0,5.0,21.0,7.0,18.0,24.0,9.0,3.0,38.0,12.0,26.0,43.0,29.0,44.0,4.0,11.0,56.0,50.0,10.0,31.0,22.0
1922,1.0,6.0,31.0,3.0,5.0,0.0,8.0,13.0,2.0,7.0,16.0,22.0,4.0,17.0,12.0,42.0,46.0,28.0,27.0,20.0,38.0,21.0,122.0,11.0,24.0,68.0,23.0,10.0,48.0,18.0
1971,0.0,5.0,65.0,9.0,4.0,10.0,6.0,45.0,23.0,17.0,15.0,18.0,7.0,2.0,38.0,19.0,67.0,35.0,25.0,105.0,29.0,12.0,115.0,20.0,20562.0,58.0,3.0,11.0,46.0,49.0
2020,1.0,0.0,43.0,16.0,2.0,4.0,14.0,22.0,40.0,53.0,28.0,9.0,11.0,20.0,21.0,19.0,15.0,7.0,32.0,86.0,3.0,37.0,6.0,8.0,36.0,25.0,29.0,41.0,27.0,12.0
2069,1.0,2.0,5.0,15.0,16.0,6.0,11.0,9.0,24.0,25.0,26.0,7.0,14.0,18.0,29.0,21.0,13.0,23.0,40.0,120.0,20.0,17.0,28.0,3.0,20487.0,73.0,0.0,8.0,36.0,43.0
2118,0.0,7.0,8.0,13.0,10.0,1.0,12.0,21.0,9.0,59.0,43.0,14.0,16.0,18.0,47.0,2.0,29.0,35.0,34.0,71.0,3.0,4.0,128.0,33.0,20538.0,20.0,5.0,11099.0,23.0,15.0
2167,0.0,1.0,27.0,2.0,8.0,30.0,9.0,40.0,15.0,6.0,10.0,18.0,36.0,23.0,22.0,4.0,1775.0,38.0,32.0,3.0,19.0,7.0,54.0,5.0,35.0,37.0,46.0,123.0,21.0,44.0
2216,0.0,4.0,34.0,2.0,5.0,24.0,25.0,44.0,48.0,20.0,14.0,16.0,13.0,10.0,38.0,7.0,22.0,32.0,47.0,83.0,39.0,11.0,29.0,1.0,20546.0,18.0,3.0,54.0,15.0,6.0
2265,0.0,1.0,3.0,8.0,4.0,1515.0,6.0,31.0,43.0,53.0,2.0,13.0,9.0,12.0,19.0,11.0,2467.0,34.0,32.0,82.0,28.0,70.0,71.0,5.0,20549.0,67.0,38.0,33.0,22.0,18.0
2314,0.0,5.0,7.0,2.0,3.0,6.0,10.0,1.0,8.0,32.0,19.0,4.0,33.0,13.0,25.0,12.0,13583.0,23.0,18.0,72.0,9.0,85.0,31.0,20.0,35.0,48.0,69.0,143.0,21.0,14.0
2363,0.0,9.0,7.0,1.0,23.0,5.0,44.0,66.0,11.0,37.0,2.0,17.0,6.0,19.0,20.0,28.0,16.0,26.0,25.0,82.0,27.0,15.0,152.0,24.0,1658.0,40.0,3.0,721.0,22.0,31.0
2412,0.0,1.0,6.0,13.0,36.0,8.0,9.0,19.0,2.0,4.0,20.0,21.0,10.0,14.0,16.0,12.0,1408.0,28.0,47.0,43.0,11.0,76.0,59.0,32.0,1069.0,52.0,5.0,84.0,34.0,23.0
2461,0.0,1.0,28.0,2.0,3.0,20.0,6.0,8.0,14.0,17.0,5.0,22.0,18.0,15.0,11.0,41.0,58.0,40.0,19.0,12473.0,29.0,38.0,33.0,37.0,46.0,13.0,66.0,12909.0,27.0,26.0
2510,0.0,15.0,7.0,1.0,6.0,23.0,9.0,10.0,5.0,17.0,25.0,12.0,11.0,14.0,26.0,42.0,2.0,29.0,13.0,74.0,16.0,21.0,4.0,3.0,38.0,18.0,39.0,8411.0,27.0,48.0
2559,0.0,3.0,42.0,1.0,5.0,16.0,2.0,13.0,34.0,11.0,4.0,12.0,9.0,10.0,32.0,23.0,43.0,28.0,8.0,7.0,15.0,22.0,20.0,17.0,31.0,26.0,46.0,114.0,18511.0,50.0
2608,0.0,1.0,51.0,8.0,10.0,22.0,6.0,7.0,4.0,5.0,21.0,3.0,11.0,19.0,23.0,41.0,47.0,25.0,13.0,112.0,9.0,16.0,27.0,33.0,31.0,2.0,60.0,179.0,38.0,12.0
2657,0.0,17.0,49.0,5.0,1.0,20.0,37.0,3.0,6.0,33.0,15.0,18.0,12.0,9.0,10.0,21.0,43.0,31.0,13.0,120.0,14.0,28.0,25.0,4.0,8.0,65.0,34.0,121.0,30.0,51.0
2706,0.0,2.0,42.0,1.0,18499.0,12.0,3.0,7.0,4.0,9.0,13.0,8.0,19.0,10.0,26.0,38.0,40.0,37.0,14.0,58.0,6.0,110.0,22.0,11.0,29.0,50.0,30.0,11057.0,32.0,60.0
2755,0.0,5.0,47.0,2.0,4.0,28.0,15.0,10.0,13.0,40.0,6.0,27.0,18.0,22.0,17.0,24.0,49.0,33.0,21.0,80.0,19.0,75.0,26.0,14.0,41.0,1.0,6628.0,141.0,7.0,32.0
2804,0.0,81.0,52.0,13.0,1518.0,8.0,3.0,6.0,16.0,4.0,14.0,11.0,47.0,20.0,15.0,29.0,12637.0,38.0,12.0,12113.0,32.0,71.0,161.0,24.0,22.0,56.0,35.0,113.0,7.0,42.0
2853,0.0,3.0,25.0,4.0,12.0,1.0,9.0,2.0,5.0,7.0,32.0,11.0,14.0,19.0,16.0,28.0,27.0,37.0,15.0,73.0,10.0,96.0,21.0,8.0,48.0,67.0,53.0,59.0,26.0,22.0
2902,0.0,12.0,9.0,1.0,4.0,10.0,14.0,21.0,3.0,17.0,8.0,6.0,7.0,26.0,19.0,33.0,5.0,28.0,2.0,34.0,20.0,15.0,25.0,29.0,58.0,50.0,61.0,147.0,11.0,24.0
2951,0.0,15.0,23.0,7.0,3.0,14.0,6.0,9.0,1.0,27.0,31.0,16.0,53.0,22.0,5.0,46.0,8.0,13.0,32.0,2.0,117.0,12646.0,35.0,10.0,21.0,4.0,6642.0,12.0,2377.0,41.0
3000,1.0,14.0,0.0,4.0,2.0,25.0,10.0,26.0,3.0,8.0,12.0,21.0,5.0,15.0,18.0,45.0,9.0,19.0,31.0,6.0,17.0,33.0,23.0,7.0,28.0,11.0,5754.0,13.0,233.0,27.0
3049,0.0,5.0,4.0,11.0,1.0,13.0,8.0,12.0,2.0,7.0,22.0,17.0,11893.0,24.0,19.0,48.0,61.0,34.0,28.0,3.0,144.0,18.0,54.0,20.0,25.0,15.0,1014.0,30.0,18577.0,51.0
3098,0.0,13.0,1.0,2.0,4.0,29.0,9.0,11.0,8.0,17.0,21.0,22.0,11761.0,6.0,19.0,41.0,37.0,25.0,18.0,5.0,14.0,23.0,151.0,28.0,43.0,44.0,6646.0,3.0,999.0,36.0
3147,1.0,2.0,5.0,0.0,9.0,38.0,7.0,4.0,13.0,10.0,15.0,25.0,16.0,23.0,19.0,17.0,3.0,22.0,21.0,8.0,84.0,143.0,203.0,11.0,30.0,6.0,6637.0,20.0,194.0,37.0
3196,0.0,1.0,32.0,2.0,4.0,15.0,8.0,6.0,16.0,20.0,17.0,18.0,11875.0,30.0,31.0,12.0,11.0,24.0,26.0,10.0,183.0,34.0,39.0,9.0,27.0,7.0,737.0,23.0,18516.0,5.0
3245,0.0,184.0,2.0,6.0,4.0,56.0,5.0,10.0,28.0,38.0,21.0,16.0,11805.0,27.0,33.0,30.0,120.0,17.0,23.0,7.0,35.0,15.0,65.0,39.0,20.0,73.0,5698.0,3.0,18571.0,12.0
3294,0.0,15.0,5.0,1.0,6.0,33.0,8.0,57.0,9.0,11.0,13.0,28.0,46.0,18.0,12.0,63.0,2.0,24.0,38.0,10.0,16.0,72.0,7616.0,4.0,20.0,52.0,6622.0,35.0,243.0,43.0
3343,0.0,6.0,5.0,11.0,4.0,12.0,10.0,12010.0,19.0,29.0,31.0,7.0,11626.0,35.0,13.0,27.0,23.0,22.0,28.0,1.0,60.0,9.0,162.0,7281.0,39.0,3.0,965.0,21.0,18527.0,44.0
3392,0.0,1.0,3.0,2.0,4.0,5.0,8.0,9.0,23.0,19.0,16.0,14.0,11837.0,22.0,18.0,15.0,10.0,26.0,12.0,7.0,37.0,109.0,114.0,30.0,2584.0,17.0,6641.0,13.0,18536.0,48.0
3441,0.0,8.0,40.0,1.0,65.0,5.0,46.0,10384.0,14.0,38.0,7.0,20.0,22.0,4.0,19.0,28.0,48.0,10.0,3.0,26.0,177.0,15.0,33.0,8899.0,17.0,18.0,6637.0,11.0,39.0,74.0
3490,1.0,2.0,48.0,3.0,66.0,7.0,9.0,15.0,12.0,11.0,13.0,24.0,4.0,23.0,21.0,31.0,19.0,27.0,6.0,0.0,37.0,100.0,30.0,8911.0,5.0,65.0,6664.0,22.0,18512.0,54.0
3539,0.0,7.0,2.0,1.0,6.0,4.0,10.0,14.0,8.0,15.0,13.0,9.0,114.0,21.0,18.0,30.0,44.0,19.0,34.0,5.0,8773.0,16.0,29.0,744.0,11.0,25.0,5784.0,3.0,18580.0,60.0
3588,0.0,5.0,30.0,2.0,6.0,4.0,8.0,7.0,3.0,27.0,10.0,16.0,271.0,26.0,19.0,9.0,23.0,20.0,17.0,11.0,423.0,127.0,35.0,94.0,21.0,51.0,5167.0,1.0,18576.0,100.0
3637,0.0,2.0,7.0,3.0,8.0,11.0,10.0,1.0,22.0,15.0,4.0,29.0,17.0,24.0,26.0,27.0,81.0,23.0,31.0,20.0,8781.0,14.0,152.0,5.0,6.0,34.0,6692.0,9.0,289.0,90.0
3686,1.0,17.0,5.0,0.0,7.0,3.0,29.0,60.0,12.0,15.0,18.0,9.0,23.0,19.0,4.0,14.0,2.0,13.0,40.0,8.0,36.0,21.0,27.0,8921.0,792.0,11.0,1473.0,16.0,501.0,58.0
3735,0.0,5.0,6.0,3.0,53.0,13.0,7.0,8.0,20.0,22.0,2.0,18.0,11.0,19.0,36.0,52.0,28.0,26.0,29.0,87.0,46.0,12.0,27.0,8881.0,1.0,15.0,6612.0,9.0,30.0,17.0
3784,1.0,12.0,2.0,4.0,9.0,6.0,10.0,14.0,0.0,13.0,8.0,20.0,24.0,23.0,27.0,16.0,7.0,19.0,26.0,11.0,2032.0,22.0,30.0,8917.0,25.0,18.0,1166.0,60.0,18580.0,54.0
3833,0.0,121.0,43.0,8.0,4.0,18.0,5.0,3.0,2.0,1.0,6.0,12.0,1067.0,10.0,25.0,16.0,7.0,22.0,45.0,35.0,20.0,17.0,37.0,11.0,23.0,30.0,62.0,13.0,34.0,48.0
3882,0.0,208.0,46.0,1.0,6.0,20.0,7.0,4.0,2.0,10.0,14.0,3.0,77.0,17.0,24.0,45.0,13566.0,23.0,29.0,8.0,177.0,12.0,73.0,8919.0,32.0,39.0,322.0,5.0,34.0,11.0
3931,0.0,5.0,4.0,1.0,7.0,2.0,8.0,6.0,11.0,10.0,9.0,17.0,16.0,14.0,29.0,38.0,3.0,35.0,22.0,12124.0,23.0,40.0,31.0,12.0,43.0,34.0,41.0,229.0,27.0,52.0
3980,1.0,0.0,3.0,16.0,5.0,8.0,7.0,9.0,11.0,13.0,2.0,6.0,69.0,12.0,18.0,35.0,4.0,25.0,39.0,11585.0,10.0,32.0,14.0,2903.0,22.0,17.0,21.0,130.0,31.0,67.0
4029,1.0,3.0,2.0,13.0,58.0,21.0,8.0,14.0,35.0,38.0,10.0,16.0,26.0,4.0,23.0,11352.0,0.0,29.0,19.0,36.0,9.0,18.0,22.0,8900.0,11.0,12.0,40.0,87.0,18515.0,39.0
4078,1.0,0.0,2.0,24.0,5.0,15.0,6.0,7.0,19.0,8.0,17.0,10.0,43.0,13.0,14.0,40.0,3.0,22.0,23.0,9.0,12.0,50.0,21.0,8905.0,31.0,46.0,45.0,39.0,18582.0,69.0
4127,0.0,9.0,1.0,7.0,4.0,5.0,29.0,11.0,14.0,26.0,3.0,16.0,18.0,8.0,17.0,31.0,2.0,38.0,22.0,69.0,13.0,46.0,24.0,8923.0,28.0,54.0,10.0,70.0,21.0,71.0
4176,0.0,2.0,4.0,1.0,9.0,17.0,27.0,29.0,21.0,5.0,12.0,18.0,69.0,13.0,39.0,28.0,6.0,34.0,66.0,15.0,14.0,36.0,33.0,8889.0,56.0,87.0,3.0,154.0,584.0,65.0
4225,0.0,1.0,3.0,5.0,47.0,11.0,2.0,10.0,19.0,20.0,13.0,4.0,16.0,8.0,17.0,9.0,7.0,35.0,44.0,32.0,18.0,114.0,152.0,42.0,12.0,55.0,36.0,25.0,18507.0,50.0
4274,0.0,5.0,1.0,17.0,7.0,2.0,10.0,19.0,11.0,8.0,12.0,6.0,24.0,13.0,14.0,29.0,4.0,23.0,35.0,46.0,9.0,165.0,31.0,8902.0,20524.0,44.0,3.0,210.0,18512.0,62.0
4323,0.0,1.0,4.0,2.0,3.0,11.0,8.0,25.0,9.0,10.0,12.0,19.0,17.0,15.0,14.0,5.0,7.0,27.0,35.0,65.0,26.0,23.0,38.0,30.0,22.0,74.0,33.0,1946.0,34.0,48.0
4372,0.0,4.0,3.0,6.0,5.0,1.0,24.0,25.0,37.0,8.0,10.0,7.0,17.0,16.0,9.0,33.0,2.0,12.0,11.0,23.0,15.0,44.0,31.0,1839.0,26.0,21.0,28.0,22.0,41.0,53.0
4421,2.0,1.0,0.0,3.0,6.0,8.0,12.0,14.0,5.0,7.0,21.0,22.0,16.0,19.0,9.0,37.0,26.0,15.0,38.0,44.0,13.0,24.0,20.0,71.0,20543.0,49.0,31.0,17.0,47.0,30.0
4470,0.0,38.0,1.0,11.0,10.0,20.0,9.0,10795.0,46.0,4.0,23.0,12.0,43.0,15.0,13.0,16.0,12635.0,35.0,58.0,3.0,28.0,19.0,7.0,2.0,37.0,27.0,25.0,17.0,18515.0,14.0
4519,1.0,14.0,0.0,6.0,2.0,10.0,13.0,20.0,49.0,17.0,4.0,19.0,11763.0,15.0,7.0,21.0,12657.0,12.0,9.0,53.0,5.0,27.0,106.0,8887.0,20558.0,43.0,25.0,3.0,34.0,29.0
4568,0.0,17.0,1.0,7.0,8.0,4.0,15.0,39.0,6.0,3.0,18.0,19.0,61.0,13.0,16.0,27.0,32.0,21.0,9.0,47.0,102.0,33.0,91.0,2.0,46.0,20.0,51.0,23.0,29.0,25.0
4617,0.0,8.0,2.0,3.0,1.0,7.0,13.0,10.0,21.0,5.0,16.0,25.0,14.0,22.0,12.0,51.0,37.0,23.0,39.0,33.0,24.0,15.0,26.0,9.0,20469.0,53.0,4.0,143.0,19.0,11.0
4666,0.0,1.0,4.0,2.0,7.0,10.0,8.0,5.0,11.0,3.0,9.0,13.0,48.0,30.0,18.0,21.0,47.0,35.0,23.0,25.0,24.0,103.0,12.0,37.0,20.0,52.0,43.0,58.0,36.0,19.0
4715,1.0,0.0,2.0,9.0,4.0,7.0,18.0,10.0,11.0,5.0,14.0,13.0,61.0,20.0,15.0,25.0,33.0,22.0,35.0,6.0,29.0,92.0,21.0,24.0,20542.0,19.0,12.0,95.0,157.0,8.0
4764,0.0,3.0,2.0,19.0,35.0,6.0,4.0,1.0,25.0,5.0,22.0,10.0,12.0,20.0,18.0,13.0,890.0,14.0,33.0,16.0,136.0,9.0,15.0,21.0,44.0,28.0,30.0,70.0,27.0,31.0
4813,0.0,1.0,3.0,8.0,10.0,2.0,9.0,4.0,20.0,12.0,5.0,22.0,44.0,28.0,24.0,26.0,33.0,23.0,37.0,6.0,58.0,13.0,116.0,7392.0,31.0,48.0,19.0,11.0,42.0,32.0
4862,1.0,0.0,4.0,2.0,7.0,3.0,9.0,17.0,22.0,5.0,11.0,14.0,13.0,15.0,20.0,24.0,27.0,16.0,23.0,46.0,8711.0,87.0,12.0,10.0,32.0,35.0,41.0,6.0,28.0,38.0
