,RSK1-2-3,4E-BP1_pS65,Src_pY416,4E-BP1_pT70,p21,MEK1_pS217_S221,STAT5-alpha,XBP1,Caveolin-1,Cyclin_D1,Transglutaminase,PI3K-p85,ACVRL1,CD49b,YB-1_pS102,Gab2,FRA1,Bcl-2,Bax,CD31,14-3-3_zeta,p38_MAPK,PDCD4,4E-BP1,MIG-6,4E-BP1_pT37_T46,c-Kit,Notch1,Annexin 1,PRDX1
1326,2.0,7.0,0.0,18.0,1.0,3.0,4.0,11.0,6.0,85.0,15.0,35.0,10.0,24.0,20.0,5.0,14.0,25.0,8.0,23.0,16.0,12.0,37.0,108.0,19.0,21.0,13.0,30.0,17.0,9.0
1375,0.0,3.0,4.0,10.0,1.0,2.0,6.0,20.0,9.0,116.0,19.0,15.0,25.0,84.0,18.0,5.0,7.0,23.0,22.0,11.0,32.0,21.0,33.0,108.0,12.0,13.0,8.0,14.0,102.0,16.0
1424,0.0,8.0,2.0,6.0,12.0,7.0,4.0,17.0,10.0,22.0,25.0,19.0,9.0,3.0,13.0,1.0,124.0,28.0,14.0,33.0,31.0,11.0,50.0,34.0,5.0,21.0,16.0,45.0,105.0,15.0
1473,4.0,0.0,6.0,8.0,22.0,1.0,12.0,11.0,9.0,2.0,3.0,5.0,21.0,7.0,35.0,116.0,118.0,14.0,15.0,23.0,20.0,49.0,16.0,17.0,36.0,10.0,13.0,28.0,101.0,70.0
1522,0.0,3.0,2.0,7.0,27.0,1.0,19.0,4.0,16.0,22.0,5.0,9.0,14.0,10.0,32.0,124.0,111.0,96.0,97.0,18.0,25.0,13.0,23.0,8.0,44.0,21.0,24.0,6.0,20.0,36.0
1571,4.0,1.0,0.0,5.0,13.0,2.0,9.0,11.0,14.0,12.0,8.0,6.0,28.0,7.0,29.0,27.0,31.0,15.0,3.0,93.0,26.0,20.0,30.0,19.0,50.0,18.0,16.0,21.0,88.0,23.0
1620,0.0,4.0,5.0,6.0,15.0,1.0,2.0,11.0,7.0,19.0,8.0,9.0,14.0,3.0,20.0,110.0,26.0,94.0,13.0,25.0,106.0,23.0,12.0,27.0,24.0,28.0,10.0,17.0,100.0,75.0
1669,2.0,3.0,0.0,18.0,25.0,4.0,5.0,13.0,6.0,12.0,1.0,21.0,14.0,23.0,124.0,22.0,24.0,11.0,33.0,17.0,108.0,19.0,9.0,8.0,32.0,7.0,20.0,27.0,35.0,29.0
1718,1.0,5.0,0.0,3.0,8.0,2.0,9.0,17.0,15.0,10.0,7.0,25.0,24.0,4.0,21.0,124.0,36.0,11.0,13.0,6.0,108.0,44.0,18.0,12.0,28.0,19.0,34.0,22.0,102.0,74.0
1767,1.0,2.0,0.0,11.0,4.0,9.0,19.0,23.0,14.0,7.0,3.0,24.0,8.0,5.0,83.0,32.0,18.0,12.0,31.0,17.0,113.0,10.0,20.0,13.0,29.0,6.0,25.0,28.0,105.0,52.0
1816,4.0,1.0,0.0,13.0,27.0,6.0,22.0,7.0,9.0,11.0,2.0,18.0,10.0,3.0,83.0,14.0,28.0,16.0,15.0,87.0,126.0,45.0,5.0,8.0,23.0,17.0,20.0,19.0,33.0,74.0
1865,2.0,0.0,1.0,11.0,6.0,3.0,13.0,8.0,15.0,7.0,4.0,10.0,29.0,5.0,30.0,118.0,25.0,9.0,18.0,26.0,106.0,17.0,21.0,12.0,36.0,19.0,87.0,16.0,99.0,71.0
1914,9.0,5.0,0.0,10.0,11.0,2.0,4.0,28.0,16.0,1.0,7.0,17.0,108.0,3.0,128.0,21.0,23.0,6.0,26.0,29.0,112.0,35.0,8.0,15.0,39.0,14.0,13.0,12.0,103.0,75.0
1963,5.0,3.0,10.0,0.0,7.0,6.0,4.0,13.0,28.0,26.0,20.0,1.0,12.0,2.0,11.0,22.0,15.0,17.0,14.0,23.0,9.0,8.0,27.0,104.0,48.0,31.0,30.0,35.0,103.0,25.0
2012,1.0,0.0,3.0,11.0,12.0,9.0,5.0,4.0,13.0,2.0,21.0,16.0,6.0,7.0,23.0,15.0,19.0,14.0,8.0,17.0,20.0,10.0,22.0,107.0,30.0,25.0,88.0,28.0,101.0,35.0
2061,4.0,1.0,11.0,13.0,0.0,14.0,3.0,6.0,8.0,5.0,9.0,2.0,10.0,17.0,34.0,26.0,7.0,99.0,22.0,23.0,15.0,12.0,20.0,110.0,28.0,29.0,35.0,25.0,33.0,73.0
2110,0.0,8.0,1.0,11.0,6.0,10.0,3.0,2.0,25.0,4.0,13.0,5.0,19.0,12.0,7.0,18.0,14.0,16.0,17.0,26.0,9.0,15.0,20.0,107.0,49.0,27.0,94.0,21.0,23.0,73.0
2159,2.0,6.0,16.0,7.0,4.0,12.0,13.0,1.0,5.0,0.0,24.0,10.0,20.0,3.0,15.0,19.0,14.0,9.0,17.0,28.0,8.0,27.0,11.0,113.0,47.0,22.0,86.0,26.0,25.0,68.0
2208,0.0,4.0,7.0,1.0,3.0,17.0,2.0,19.0,26.0,9.0,10.0,8.0,6.0,15.0,11.0,12.0,28.0,16.0,23.0,13.0,5.0,14.0,18.0,108.0,21.0,34.0,20.0,35.0,92.0,61.0
2257,0.0,2.0,5.0,4.0,12.0,7.0,1.0,3.0,16.0,8.0,27.0,6.0,9.0,10.0,29.0,106.0,11.0,20.0,22.0,17.0,19.0,28.0,15.0,102.0,39.0,34.0,21.0,32.0,113.0,35.0
2306,1.0,5.0,2.0,3.0,0.0,20.0,6.0,14.0,21.0,10.0,25.0,8.0,18.0,9.0,4.0,12.0,22.0,19.0,16.0,28.0,17.0,7.0,63.0,106.0,27.0,35.0,88.0,13.0,36.0,33.0
2355,4.0,3.0,10.0,8.0,2.0,5.0,0.0,12.0,14.0,1.0,17.0,6.0,19.0,16.0,7.0,29.0,20.0,18.0,103.0,25.0,13.0,9.0,21.0,102.0,40.0,15.0,83.0,11.0,95.0,28.0
2404,0.0,12.0,7.0,4.0,11.0,10.0,2.0,5.0,19.0,1.0,15.0,3.0,8.0,14.0,13.0,117.0,9.0,17.0,22.0,25.0,24.0,6.0,16.0,107.0,30.0,28.0,83.0,26.0,21.0,71.0
2453,8.0,10.0,2.0,1.0,11.0,0.0,6.0,5.0,9.0,15.0,4.0,77.0,13.0,3.0,25.0,7.0,12.0,23.0,18.0,17.0,26.0,36.0,32.0,24.0,50.0,108.0,90.0,40.0,27.0,20.0
2502,2.0,8.0,7.0,3.0,12.0,1.0,5.0,6.0,11.0,14.0,4.0,28.0,10.0,0.0,13.0,9.0,25.0,15.0,30.0,18.0,105.0,45.0,32.0,16.0,20.0,39.0,29.0,44.0,119.0,21.0
2551,1.0,2.0,6.0,7.0,3.0,0.0,4.0,14.0,12.0,5.0,9.0,26.0,30.0,8.0,16.0,10.0,24.0,18.0,23.0,19.0,34.0,21.0,22.0,17.0,25.0,108.0,92.0,15.0,13.0,28.0
2600,3.0,7.0,4.0,5.0,14.0,2.0,13.0,1.0,6.0,8.0,0.0,25.0,11.0,9.0,12.0,10.0,23.0,20.0,16.0,19.0,29.0,24.0,33.0,26.0,46.0,105.0,22.0,28.0,21.0,30.0
2649,2.0,5.0,1.0,6.0,9.0,0.0,10.0,3.0,8.0,15.0,4.0,35.0,12.0,7.0,82.0,16.0,19.0,21.0,14.0,20.0,107.0,43.0,36.0,27.0,11.0,28.0,26.0,23.0,17.0,22.0
2698,5.0,8.0,4.0,2.0,23.0,0.0,17.0,9.0,3.0,14.0,1.0,29.0,25.0,6.0,15.0,11.0,10.0,22.0,18.0,24.0,127.0,58.0,21.0,34.0,12.0,124.0,13.0,30.0,16.0,20.0
2747,4.0,3.0,7.0,2.0,5.0,0.0,13.0,9.0,15.0,31.0,1.0,14.0,12.0,6.0,11.0,10.0,18.0,23.0,8.0,19.0,109.0,30.0,22.0,108.0,17.0,107.0,21.0,40.0,26.0,16.0
2796,6.0,13.0,2.0,11.0,9.0,0.0,21.0,1.0,3.0,4.0,19.0,73.0,10.0,7.0,22.0,8.0,15.0,30.0,18.0,89.0,12.0,40.0,24.0,33.0,20.0,122.0,93.0,44.0,14.0,66.0
2845,1.0,3.0,0.0,6.0,13.0,4.0,14.0,2.0,16.0,11.0,8.0,21.0,26.0,15.0,112.0,5.0,12.0,32.0,9.0,20.0,37.0,50.0,27.0,33.0,17.0,29.0,92.0,34.0,7.0,53.0
2894,9.0,8.0,4.0,1.0,11.0,0.0,6.0,2.0,18.0,14.0,5.0,23.0,7.0,3.0,83.0,12.0,121.0,17.0,27.0,22.0,26.0,38.0,76.0,24.0,51.0,112.0,108.0,42.0,10.0,15.0
2943,0.0,3.0,1.0,12.0,2.0,4.0,8.0,11.0,5.0,9.0,13.0,30.0,16.0,89.0,6.0,20.0,10.0,19.0,21.0,15.0,14.0,36.0,17.0,31.0,18.0,32.0,22.0,50.0,26.0,23.0
2992,0.0,6.0,3.0,2.0,4.0,16.0,1.0,8.0,14.0,10.0,9.0,11.0,17.0,5.0,20.0,26.0,7.0,12.0,25.0,21.0,118.0,37.0,23.0,88.0,29.0,92.0,13.0,32.0,102.0,27.0
3041,1.0,0.0,3.0,4.0,2.0,17.0,7.0,45.0,86.0,9.0,13.0,6.0,15.0,31.0,18.0,5.0,8.0,11.0,12.0,10.0,110.0,39.0,23.0,27.0,21.0,109.0,29.0,54.0,102.0,14.0
3090,0.0,2.0,3.0,1.0,4.0,7.0,6.0,10.0,5.0,8.0,12.0,13.0,24.0,9.0,20.0,11.0,18.0,15.0,16.0,22.0,17.0,42.0,28.0,110.0,47.0,113.0,25.0,50.0,27.0,29.0
3139,0.0,5.0,2.0,4.0,8.0,11.0,10.0,3.0,7.0,1.0,9.0,22.0,15.0,34.0,17.0,14.0,6.0,13.0,18.0,32.0,117.0,43.0,20.0,114.0,19.0,115.0,12.0,39.0,21.0,33.0
3188,0.0,4.0,2.0,1.0,7.0,10.0,3.0,33.0,13.0,6.0,12.0,29.0,5.0,16.0,124.0,27.0,9.0,18.0,22.0,20.0,17.0,11.0,37.0,36.0,19.0,25.0,15.0,31.0,26.0,30.0
3237,0.0,1.0,7.0,4.0,9.0,6.0,2.0,22.0,15.0,5.0,11.0,3.0,10.0,12.0,13.0,14.0,8.0,16.0,33.0,18.0,21.0,20.0,64.0,107.0,24.0,106.0,26.0,31.0,99.0,25.0
3286,1.0,4.0,9.0,3.0,0.0,13.0,2.0,18.0,6.0,20.0,15.0,5.0,19.0,25.0,12.0,111.0,10.0,8.0,7.0,16.0,24.0,53.0,70.0,17.0,26.0,101.0,14.0,38.0,11.0,30.0
3335,0.0,1.0,10.0,5.0,3.0,13.0,2.0,14.0,12.0,11.0,7.0,17.0,9.0,19.0,4.0,8.0,18.0,20.0,24.0,25.0,26.0,43.0,50.0,111.0,22.0,112.0,16.0,47.0,21.0,6.0
3384,0.0,1.0,6.0,2.0,9.0,17.0,3.0,4.0,16.0,8.0,5.0,13.0,21.0,30.0,82.0,15.0,14.0,25.0,7.0,10.0,11.0,27.0,19.0,112.0,37.0,117.0,90.0,46.0,12.0,73.0
3433,3.0,4.0,2.0,6.0,5.0,12.0,8.0,11.0,0.0,20.0,7.0,1.0,16.0,30.0,13.0,29.0,23.0,33.0,100.0,35.0,15.0,17.0,24.0,14.0,53.0,31.0,10.0,32.0,105.0,76.0
3482,4.0,1.0,0.0,8.0,6.0,2.0,7.0,30.0,3.0,11.0,13.0,12.0,24.0,86.0,9.0,5.0,14.0,16.0,31.0,26.0,34.0,22.0,21.0,110.0,15.0,109.0,17.0,48.0,102.0,75.0
3531,3.0,0.0,2.0,5.0,1.0,7.0,8.0,52.0,6.0,15.0,9.0,4.0,12.0,88.0,10.0,11.0,16.0,97.0,98.0,17.0,107.0,25.0,24.0,20.0,21.0,14.0,13.0,42.0,22.0,71.0
3580,2.0,0.0,6.0,4.0,7.0,14.0,11.0,32.0,3.0,109.0,9.0,8.0,29.0,34.0,5.0,17.0,1.0,21.0,96.0,26.0,33.0,16.0,13.0,27.0,19.0,28.0,10.0,35.0,102.0,75.0
3629,2.0,1.0,0.0,3.0,13.0,9.0,10.0,5.0,4.0,14.0,8.0,12.0,21.0,31.0,7.0,6.0,15.0,20.0,110.0,86.0,109.0,34.0,16.0,25.0,29.0,28.0,11.0,41.0,103.0,73.0
3678,5.0,0.0,8.0,1.0,6.0,4.0,3.0,9.0,2.0,27.0,7.0,11.0,21.0,90.0,10.0,34.0,26.0,32.0,98.0,24.0,18.0,28.0,14.0,12.0,29.0,13.0,19.0,47.0,33.0,62.0
3727,3.0,6.0,2.0,8.0,0.0,5.0,1.0,17.0,4.0,23.0,7.0,21.0,32.0,38.0,10.0,13.0,29.0,20.0,15.0,14.0,27.0,25.0,24.0,108.0,53.0,107.0,12.0,36.0,22.0,30.0
3776,1.0,0.0,14.0,7.0,4.0,8.0,3.0,13.0,6.0,32.0,2.0,9.0,11.0,24.0,17.0,10.0,19.0,30.0,90.0,18.0,104.0,27.0,25.0,103.0,16.0,102.0,20.0,33.0,96.0,29.0
3825,8.0,2.0,12.0,3.0,7.0,1.0,9.0,18.0,11.0,17.0,0.0,10.0,34.0,29.0,6.0,23.0,5.0,27.0,95.0,16.0,108.0,35.0,38.0,26.0,22.0,31.0,4.0,47.0,20.0,74.0
3874,0.0,1.0,5.0,2.0,3.0,10.0,4.0,30.0,11.0,18.0,25.0,8.0,13.0,96.0,6.0,9.0,12.0,32.0,103.0,17.0,107.0,15.0,52.0,27.0,24.0,22.0,100.0,16.0,14.0,31.0
3923,3.0,14.0,13.0,11.0,0.0,1.0,28.0,9.0,2.0,4.0,5.0,7.0,17.0,85.0,31.0,12.0,120.0,16.0,19.0,15.0,29.0,8.0,32.0,24.0,6.0,10.0,23.0,30.0,108.0,22.0
3972,8.0,9.0,6.0,1.0,0.0,5.0,18.0,2.0,7.0,4.0,15.0,13.0,11.0,95.0,82.0,10.0,25.0,17.0,19.0,16.0,20.0,42.0,39.0,12.0,38.0,3.0,33.0,37.0,41.0,21.0
4021,0.0,10.0,6.0,2.0,1.0,5.0,4.0,3.0,9.0,7.0,16.0,17.0,11.0,83.0,80.0,14.0,27.0,18.0,96.0,15.0,12.0,31.0,26.0,13.0,23.0,8.0,89.0,50.0,101.0,25.0
4070,4.0,9.0,6.0,8.0,0.0,10.0,5.0,7.0,1.0,3.0,25.0,19.0,11.0,93.0,79.0,18.0,17.0,12.0,27.0,23.0,14.0,28.0,31.0,20.0,15.0,2.0,34.0,21.0,29.0,35.0
4119,1.0,13.0,11.0,3.0,0.0,8.0,12.0,5.0,2.0,6.0,56.0,18.0,19.0,92.0,30.0,10.0,23.0,7.0,14.0,15.0,29.0,37.0,27.0,16.0,28.0,4.0,26.0,44.0,17.0,24.0
4168,10.0,15.0,4.0,0.0,2.0,9.0,8.0,1.0,7.0,3.0,23.0,6.0,19.0,27.0,83.0,17.0,28.0,11.0,16.0,22.0,13.0,18.0,81.0,20.0,36.0,5.0,29.0,25.0,89.0,14.0
4217,3.0,14.0,13.0,5.0,0.0,1.0,4.0,2.0,10.0,8.0,17.0,15.0,11.0,20.0,82.0,18.0,9.0,21.0,16.0,24.0,7.0,27.0,79.0,23.0,31.0,6.0,84.0,45.0,32.0,33.0
4266,4.0,9.0,7.0,1.0,2.0,5.0,8.0,6.0,3.0,11.0,18.0,12.0,10.0,88.0,35.0,16.0,24.0,14.0,22.0,15.0,13.0,26.0,40.0,21.0,27.0,0.0,37.0,23.0,41.0,25.0
4315,0.0,5.0,17.0,2.0,1.0,4.0,15.0,8.0,6.0,7.0,31.0,24.0,12.0,87.0,79.0,27.0,19.0,21.0,26.0,11.0,13.0,20.0,77.0,9.0,42.0,3.0,92.0,10.0,16.0,25.0
4364,11.0,7.0,1.0,6.0,0.0,14.0,5.0,4.0,16.0,18.0,17.0,9.0,15.0,31.0,20.0,13.0,19.0,10.0,96.0,41.0,12.0,30.0,75.0,2.0,21.0,3.0,26.0,8.0,86.0,81.0
4413,9.0,4.0,3.0,2.0,7.0,0.0,30.0,14.0,13.0,26.0,21.0,8.0,11.0,5.0,1.0,113.0,22.0,101.0,35.0,6.0,10.0,31.0,25.0,19.0,18.0,23.0,28.0,15.0,94.0,63.0
4462,9.0,12.0,4.0,1.0,6.0,0.0,17.0,5.0,3.0,15.0,20.0,10.0,29.0,7.0,2.0,120.0,8.0,23.0,19.0,14.0,11.0,33.0,22.0,16.0,26.0,106.0,80.0,13.0,31.0,63.0
4511,14.0,1.0,4.0,2.0,15.0,0.0,9.0,6.0,5.0,11.0,43.0,7.0,12.0,10.0,3.0,118.0,18.0,25.0,24.0,13.0,8.0,29.0,17.0,27.0,26.0,32.0,96.0,40.0,94.0,60.0
4560,31.0,5.0,1.0,2.0,4.0,0.0,21.0,10.0,6.0,11.0,7.0,9.0,13.0,8.0,3.0,27.0,18.0,34.0,25.0,22.0,15.0,28.0,19.0,12.0,20.0,35.0,100.0,30.0,29.0,75.0
4609,19.0,5.0,0.0,4.0,1.0,3.0,6.0,9.0,8.0,26.0,20.0,17.0,7.0,18.0,2.0,39.0,100.0,24.0,27.0,14.0,15.0,51.0,21.0,12.0,29.0,65.0,54.0,10.0,34.0,22.0
4658,18.0,2.0,0.0,5.0,9.0,1.0,17.0,7.0,3.0,12.0,15.0,6.0,21.0,11.0,4.0,26.0,27.0,28.0,119.0,122.0,14.0,30.0,13.0,8.0,36.0,38.0,96.0,29.0,20.0,63.0
4707,9.0,5.0,2.0,1.0,4.0,0.0,16.0,6.0,12.0,14.0,11.0,3.0,10.0,13.0,7.0,18.0,19.0,28.0,102.0,8.0,17.0,56.0,27.0,25.0,20.0,110.0,32.0,29.0,100.0,60.0
4756,7.0,3.0,1.0,4.0,5.0,6.0,14.0,0.0,12.0,2.0,8.0,10.0,22.0,11.0,13.0,26.0,24.0,101.0,95.0,20.0,9.0,25.0,16.0,19.0,15.0,63.0,36.0,31.0,21.0,51.0
4805,4.0,2.0,1.0,3.0,7.0,0.0,24.0,8.0,15.0,11.0,16.0,9.0,28.0,14.0,5.0,120.0,21.0,33.0,104.0,10.0,6.0,46.0,22.0,13.0,52.0,110.0,98.0,43.0,23.0,30.0
4854,8.0,6.0,2.0,0.0,11.0,1.0,27.0,7.0,3.0,5.0,9.0,4.0,14.0,21.0,10.0,108.0,28.0,92.0,93.0,13.0,24.0,46.0,12.0,15.0,22.0,104.0,79.0,26.0,31.0,69.0
