,ENDOMETRIUM,HAEMATOPOIETIC,LUNG,BREAST,LARGE_INTESTINE,SKIN,NERVOUS,OVARY,OESOPHAGUS,PANCREAS,SOFT_TISSUE,LIVER,STOMACH,BONE,GANGLIA,URINARY,THYROID,AERODIGESTIVE,PROSTATE,PLEURA,KIDNEY,SALIVARY,BILIARY
3772,15.0,0.0,16.0,12.0,2.0,1.0,8.0,7.0,10.0,6.0,5.0,3.0,9.0,14.0,4.0,13.0,11.0,20.0,17.0,18.0,19.0,21.0,22.0
3821,1.0,13.0,6.0,5.0,2.0,11.0,8.0,7.0,10.0,0.0,4.0,14.0,9.0,18.0,3.0,15.0,12.0,16.0,17.0,20.0,19.0,21.0,22.0
3870,6.0,4.0,1.0,5.0,8.0,7.0,0.0,3.0,9.0,2.0,12.0,10.0,15.0,16.0,17.0,14.0,13.0,11.0,20.0,18.0,19.0,21.0,22.0
3919,10.0,1.0,12.0,8.0,9.0,15.0,4.0,5.0,6.0,3.0,2.0,14.0,0.0,11.0,16.0,13.0,7.0,20.0,17.0,18.0,19.0,21.0,22.0
3968,1.0,10.0,0.0,13.0,2.0,5.0,7.0,6.0,4.0,11.0,18.0,14.0,9.0,15.0,3.0,8.0,12.0,16.0,17.0,20.0,19.0,21.0,22.0
4017,4.0,14.0,12.0,10.0,5.0,1.0,0.0,3.0,6.0,7.0,8.0,16.0,2.0,11.0,9.0,15.0,19.0,17.0,18.0,20.0,13.0,21.0,22.0
4066,1.0,0.0,12.0,11.0,14.0,6.0,3.0,4.0,13.0,10.0,7.0,8.0,2.0,9.0,5.0,19.0,17.0,15.0,16.0,20.0,18.0,21.0,22.0
4115,1.0,8.0,15.0,5.0,3.0,0.0,10.0,9.0,12.0,7.0,4.0,2.0,11.0,14.0,6.0,13.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
4164,15.0,8.0,16.0,5.0,14.0,0.0,12.0,9.0,11.0,7.0,4.0,2.0,10.0,1.0,3.0,13.0,6.0,20.0,17.0,18.0,19.0,21.0,22.0
4213,10.0,1.0,0.0,12.0,8.0,7.0,4.0,5.0,9.0,6.0,13.0,14.0,2.0,11.0,19.0,3.0,15.0,17.0,20.0,18.0,16.0,21.0,22.0
4262,2.0,1.0,0.0,6.0,3.0,16.0,11.0,8.0,10.0,7.0,5.0,12.0,9.0,13.0,4.0,14.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
4311,12.0,0.0,17.0,15.0,7.0,1.0,4.0,5.0,6.0,13.0,8.0,10.0,2.0,11.0,9.0,3.0,14.0,20.0,16.0,18.0,19.0,21.0,22.0
4360,15.0,0.0,16.0,12.0,2.0,1.0,14.0,7.0,10.0,6.0,5.0,4.0,9.0,3.0,13.0,8.0,11.0,20.0,17.0,18.0,19.0,21.0,22.0
4409,11.0,4.0,2.0,14.0,8.0,6.0,3.0,19.0,1.0,20.0,7.0,9.0,0.0,10.0,5.0,12.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
4458,4.0,12.0,0.0,3.0,6.0,7.0,9.0,1.0,2.0,13.0,19.0,5.0,11.0,16.0,8.0,10.0,14.0,18.0,20.0,17.0,15.0,21.0,22.0
4507,9.0,14.0,12.0,8.0,11.0,10.0,5.0,6.0,0.0,7.0,15.0,1.0,3.0,19.0,2.0,4.0,13.0,18.0,20.0,16.0,17.0,21.0,22.0
4556,6.0,0.0,19.0,5.0,12.0,13.0,1.0,16.0,18.0,4.0,2.0,7.0,3.0,10.0,11.0,17.0,14.0,8.0,20.0,9.0,15.0,21.0,22.0
4605,4.0,0.0,1.0,3.0,7.0,11.0,14.0,9.0,6.0,2.0,8.0,5.0,10.0,17.0,12.0,15.0,13.0,19.0,20.0,18.0,16.0,21.0,22.0
4654,9.0,1.0,4.0,2.0,14.0,12.0,0.0,7.0,3.0,8.0,11.0,10.0,5.0,16.0,15.0,6.0,13.0,19.0,20.0,17.0,18.0,21.0,22.0
4703,11.0,0.0,1.0,8.0,15.0,7.0,4.0,5.0,9.0,6.0,13.0,10.0,2.0,14.0,16.0,3.0,17.0,12.0,20.0,19.0,18.0,21.0,22.0
4752,1.0,11.0,0.0,3.0,5.0,6.0,9.0,8.0,2.0,13.0,7.0,4.0,10.0,17.0,15.0,12.0,14.0,19.0,20.0,18.0,16.0,21.0,22.0
4801,9.0,1.0,11.0,8.0,12.0,13.0,6.0,0.0,2.0,7.0,16.0,15.0,4.0,17.0,3.0,5.0,14.0,10.0,20.0,18.0,19.0,21.0,22.0
4850,4.0,2.0,3.0,13.0,5.0,6.0,0.0,8.0,1.0,14.0,7.0,11.0,12.0,17.0,9.0,10.0,15.0,19.0,20.0,18.0,16.0,21.0,22.0
4899,1.0,5.0,0.0,13.0,6.0,11.0,15.0,4.0,12.0,14.0,3.0,2.0,8.0,17.0,9.0,7.0,10.0,19.0,20.0,18.0,16.0,21.0,22.0
