,Akt_pS473,VHL,Caspase-7_cleavedD198,A-Raf_pS299,RAD51,Bcl-2,GATA3,Raptor,HER2,FOXO3a,Bax,Akt,4E-BP1,ACC1,p21,YAP_pS127,Chk1,PKC-alpha,JNK_pT183_Y185,Src_pY416,HER3,Stathmin,Acetyl-a-Tubulin (Lys40),MSH6,Porin,Lck,Heregulin,Notch1,NDRG1_pT346,PRDX1
1916,2.0,92.0,49.0,32.0,11.0,1.0,30.0,128.0,13.0,18.0,10.0,111.0,126.0,23.0,136.0,31.0,21.0,101.0,53.0,5.0,28.0,52.0,60.0,58.0,104.0,72.0,29.0,73.0,16.0,69.0
1965,5.0,75.0,3.0,88.0,19.0,48.0,47.0,112.0,27.0,141.0,1.0,18.0,111.0,33.0,158.0,110.0,11.0,68.0,49.0,14.0,30.0,59.0,38.0,51.0,108.0,57.0,46.0,34.0,162.0,82.0
2014,9.0,130.0,15.0,46.0,22.0,7.0,24.0,83.0,49.0,19.0,94.0,64.0,3.0,14.0,93.0,0.0,4.0,23.0,28.0,11.0,35.0,41.0,61.0,26.0,156.0,56.0,29.0,5.0,138.0,80.0
2063,5.0,123.0,9.0,26.0,53.0,29.0,23.0,16.0,27.0,11.0,6.0,14.0,21.0,54.0,4.0,13.0,20.0,56.0,35.0,112.0,40.0,52.0,41.0,32.0,45.0,138.0,55.0,10.0,133.0,106.0
2112,9.0,20.0,25.0,74.0,22.0,12.0,70.0,0.0,138.0,156.0,109.0,83.0,37.0,72.0,10.0,11.0,55.0,27.0,39.0,30.0,53.0,33.0,119.0,40.0,71.0,108.0,56.0,161.0,146.0,7.0
2161,6.0,53.0,16.0,34.0,74.0,45.0,63.0,26.0,54.0,85.0,36.0,9.0,80.0,108.0,61.0,1.0,5.0,88.0,13.0,57.0,14.0,17.0,15.0,31.0,82.0,8.0,44.0,146.0,55.0,110.0
2210,4.0,3.0,57.0,24.0,41.0,117.0,15.0,13.0,111.0,146.0,0.0,47.0,30.0,43.0,151.0,10.0,48.0,27.0,110.0,2.0,17.0,59.0,49.0,29.0,74.0,68.0,40.0,92.0,122.0,31.0
2259,6.0,27.0,10.0,76.0,20.0,108.0,23.0,24.0,15.0,99.0,79.0,7.0,48.0,53.0,94.0,1.0,17.0,57.0,164.0,3.0,87.0,21.0,36.0,93.0,30.0,25.0,68.0,161.0,44.0,2.0
2308,7.0,131.0,2.0,3.0,66.0,13.0,61.0,159.0,1.0,11.0,105.0,24.0,123.0,46.0,54.0,133.0,84.0,15.0,32.0,4.0,108.0,16.0,18.0,25.0,89.0,33.0,57.0,69.0,141.0,154.0
2357,4.0,2.0,28.0,14.0,70.0,1.0,22.0,15.0,130.0,42.0,77.0,50.0,60.0,122.0,81.0,112.0,108.0,39.0,73.0,56.0,19.0,20.0,123.0,23.0,51.0,27.0,34.0,144.0,141.0,38.0
2406,4.0,6.0,11.0,30.0,22.0,27.0,39.0,59.0,127.0,85.0,16.0,12.0,87.0,57.0,100.0,0.0,42.0,15.0,17.0,3.0,29.0,26.0,44.0,35.0,7.0,14.0,31.0,149.0,5.0,62.0
2455,7.0,116.0,71.0,12.0,48.0,26.0,36.0,2.0,141.0,17.0,22.0,83.0,82.0,10.0,1.0,114.0,42.0,101.0,68.0,62.0,72.0,25.0,31.0,13.0,64.0,49.0,108.0,6.0,147.0,104.0
2504,7.0,49.0,14.0,66.0,24.0,2.0,29.0,38.0,31.0,1.0,25.0,53.0,13.0,11.0,15.0,129.0,65.0,59.0,23.0,9.0,33.0,46.0,61.0,26.0,44.0,162.0,51.0,139.0,87.0,72.0
2553,7.0,39.0,32.0,35.0,16.0,2.0,19.0,112.0,144.0,6.0,80.0,31.0,64.0,78.0,17.0,37.0,61.0,41.0,24.0,3.0,15.0,28.0,51.0,60.0,50.0,57.0,38.0,109.0,33.0,30.0
2602,7.0,34.0,22.0,30.0,13.0,0.0,19.0,162.0,138.0,29.0,77.0,36.0,32.0,23.0,83.0,54.0,38.0,87.0,164.0,14.0,6.0,63.0,106.0,37.0,55.0,12.0,62.0,5.0,141.0,25.0
2651,3.0,22.0,10.0,14.0,45.0,7.0,43.0,1.0,148.0,37.0,71.0,16.0,35.0,93.0,54.0,5.0,41.0,52.0,70.0,8.0,50.0,32.0,25.0,82.0,39.0,66.0,29.0,88.0,135.0,20.0
2700,18.0,33.0,24.0,32.0,43.0,112.0,50.0,68.0,107.0,10.0,52.0,67.0,28.0,23.0,1.0,132.0,41.0,96.0,4.0,13.0,45.0,35.0,75.0,134.0,39.0,95.0,80.0,161.0,16.0,56.0
2749,7.0,30.0,15.0,45.0,38.0,22.0,18.0,1.0,32.0,8.0,9.0,17.0,11.0,39.0,4.0,104.0,23.0,102.0,87.0,27.0,24.0,46.0,59.0,78.0,155.0,36.0,19.0,107.0,135.0,73.0
2798,9.0,35.0,13.0,47.0,21.0,113.0,28.0,2.0,0.0,16.0,36.0,1.0,61.0,20.0,137.0,92.0,79.0,30.0,29.0,31.0,11.0,34.0,19.0,39.0,46.0,72.0,76.0,15.0,53.0,10.0
2847,3.0,20.0,39.0,18.0,34.0,22.0,35.0,6.0,94.0,5.0,28.0,86.0,88.0,14.0,24.0,130.0,99.0,12.0,31.0,52.0,17.0,56.0,8.0,79.0,44.0,0.0,25.0,15.0,33.0,21.0
2896,9.0,46.0,36.0,87.0,53.0,139.0,20.0,41.0,47.0,14.0,5.0,2.0,55.0,0.0,81.0,113.0,67.0,98.0,39.0,29.0,24.0,49.0,63.0,92.0,38.0,145.0,16.0,7.0,22.0,64.0
2945,8.0,17.0,49.0,25.0,7.0,39.0,14.0,4.0,34.0,6.0,1.0,38.0,37.0,89.0,23.0,115.0,113.0,32.0,103.0,30.0,102.0,66.0,85.0,51.0,40.0,48.0,31.0,161.0,9.0,62.0
2994,10.0,12.0,89.0,50.0,49.0,8.0,57.0,22.0,24.0,3.0,110.0,62.0,29.0,27.0,15.0,5.0,38.0,53.0,127.0,113.0,52.0,84.0,86.0,61.0,60.0,39.0,45.0,6.0,152.0,2.0
3043,7.0,22.0,32.0,18.0,15.0,51.0,36.0,1.0,21.0,3.0,49.0,44.0,30.0,25.0,101.0,11.0,35.0,19.0,33.0,90.0,76.0,2.0,43.0,77.0,31.0,42.0,55.0,147.0,9.0,149.0
3092,11.0,4.0,41.0,31.0,5.0,10.0,18.0,159.0,8.0,26.0,13.0,29.0,25.0,19.0,12.0,132.0,67.0,51.0,1.0,98.0,71.0,42.0,44.0,36.0,32.0,22.0,27.0,147.0,3.0,97.0
3141,9.0,23.0,22.0,27.0,25.0,19.0,67.0,3.0,24.0,159.0,28.0,39.0,59.0,2.0,17.0,5.0,63.0,29.0,108.0,10.0,79.0,36.0,45.0,15.0,54.0,80.0,40.0,139.0,42.0,51.0
3190,4.0,23.0,27.0,83.0,13.0,89.0,24.0,6.0,57.0,1.0,42.0,66.0,51.0,17.0,3.0,37.0,78.0,34.0,73.0,53.0,14.0,68.0,31.0,69.0,19.0,154.0,28.0,67.0,20.0,91.0
3239,2.0,4.0,52.0,48.0,34.0,67.0,35.0,21.0,115.0,131.0,46.0,49.0,31.0,7.0,144.0,117.0,53.0,45.0,32.0,37.0,114.0,27.0,76.0,38.0,28.0,95.0,40.0,65.0,139.0,11.0
3288,10.0,18.0,39.0,38.0,7.0,77.0,30.0,1.0,6.0,4.0,12.0,94.0,53.0,5.0,110.0,66.0,69.0,63.0,75.0,11.0,162.0,44.0,81.0,31.0,40.0,157.0,49.0,2.0,26.0,87.0
3337,7.0,16.0,40.0,20.0,13.0,155.0,27.0,53.0,8.0,5.0,47.0,12.0,37.0,14.0,28.0,2.0,38.0,96.0,64.0,119.0,83.0,45.0,43.0,39.0,19.0,85.0,48.0,1.0,78.0,151.0
3386,11.0,4.0,31.0,58.0,49.0,6.0,40.0,7.0,29.0,16.0,14.0,30.0,24.0,21.0,147.0,2.0,68.0,57.0,69.0,9.0,44.0,97.0,19.0,35.0,103.0,79.0,64.0,145.0,8.0,149.0
3435,2.0,35.0,23.0,51.0,21.0,7.0,12.0,161.0,5.0,93.0,3.0,65.0,40.0,131.0,11.0,60.0,47.0,53.0,31.0,115.0,39.0,9.0,76.0,24.0,89.0,49.0,45.0,139.0,57.0,155.0
3484,5.0,126.0,45.0,13.0,64.0,38.0,14.0,1.0,4.0,75.0,11.0,18.0,37.0,25.0,53.0,47.0,32.0,88.0,31.0,128.0,9.0,20.0,39.0,27.0,48.0,52.0,28.0,87.0,141.0,15.0
3533,6.0,5.0,11.0,15.0,48.0,24.0,86.0,91.0,8.0,28.0,10.0,73.0,22.0,25.0,145.0,80.0,38.0,106.0,47.0,96.0,69.0,67.0,77.0,56.0,13.0,62.0,85.0,20.0,19.0,88.0
3582,1.0,128.0,13.0,45.0,27.0,23.0,14.0,82.0,32.0,150.0,7.0,50.0,15.0,127.0,21.0,44.0,20.0,37.0,54.0,114.0,12.0,22.0,60.0,68.0,36.0,34.0,79.0,30.0,18.0,96.0
3631,3.0,7.0,8.0,88.0,26.0,11.0,13.0,2.0,65.0,155.0,39.0,34.0,9.0,12.0,6.0,1.0,62.0,85.0,5.0,114.0,29.0,18.0,16.0,32.0,33.0,31.0,58.0,133.0,21.0,93.0
3680,9.0,16.0,15.0,51.0,34.0,31.0,10.0,22.0,70.0,60.0,3.0,115.0,62.0,113.0,157.0,82.0,17.0,99.0,44.0,7.0,63.0,65.0,120.0,26.0,52.0,54.0,18.0,14.0,161.0,55.0
3729,5.0,10.0,17.0,16.0,23.0,2.0,14.0,147.0,158.0,109.0,46.0,49.0,19.0,72.0,138.0,30.0,40.0,73.0,38.0,43.0,9.0,42.0,3.0,45.0,61.0,78.0,26.0,35.0,63.0,95.0
3778,2.0,19.0,30.0,42.0,45.0,23.0,28.0,70.0,78.0,115.0,16.0,3.0,25.0,87.0,90.0,88.0,14.0,36.0,58.0,105.0,27.0,48.0,91.0,71.0,50.0,17.0,86.0,49.0,133.0,72.0
3827,4.0,1.0,24.0,19.0,78.0,3.0,10.0,71.0,9.0,30.0,34.0,44.0,46.0,83.0,18.0,5.0,90.0,55.0,164.0,61.0,17.0,38.0,127.0,40.0,57.0,66.0,29.0,139.0,136.0,36.0
3876,3.0,4.0,15.0,23.0,31.0,7.0,28.0,147.0,8.0,140.0,17.0,62.0,116.0,48.0,73.0,14.0,27.0,55.0,11.0,121.0,20.0,47.0,52.0,85.0,1.0,71.0,64.0,53.0,2.0,42.0
3925,2.0,1.0,77.0,23.0,22.0,8.0,29.0,27.0,20.0,41.0,107.0,87.0,86.0,112.0,17.0,39.0,11.0,89.0,65.0,16.0,31.0,63.0,26.0,37.0,44.0,9.0,55.0,88.0,4.0,13.0
3974,3.0,11.0,70.0,64.0,34.0,35.0,36.0,6.0,39.0,139.0,48.0,28.0,108.0,86.0,22.0,103.0,27.0,19.0,40.0,14.0,8.0,59.0,74.0,127.0,56.0,60.0,61.0,43.0,142.0,77.0
4023,3.0,17.0,8.0,46.0,31.0,48.0,59.0,132.0,34.0,23.0,40.0,126.0,111.0,128.0,29.0,113.0,4.0,67.0,82.0,0.0,57.0,24.0,81.0,49.0,27.0,64.0,74.0,21.0,42.0,10.0
4072,3.0,6.0,18.0,21.0,5.0,11.0,49.0,104.0,109.0,33.0,94.0,78.0,111.0,55.0,43.0,114.0,41.0,151.0,69.0,4.0,40.0,47.0,38.0,28.0,154.0,39.0,59.0,89.0,32.0,57.0
4121,5.0,7.0,30.0,19.0,48.0,16.0,42.0,4.0,43.0,10.0,109.0,35.0,98.0,81.0,136.0,3.0,31.0,0.0,164.0,12.0,82.0,36.0,37.0,88.0,78.0,13.0,72.0,15.0,34.0,6.0
4170,6.0,44.0,28.0,19.0,33.0,4.0,61.0,159.0,73.0,12.0,77.0,39.0,119.0,134.0,138.0,0.0,32.0,23.0,68.0,56.0,34.0,38.0,81.0,54.0,17.0,40.0,92.0,52.0,60.0,30.0
4219,5.0,2.0,20.0,18.0,24.0,13.0,45.0,4.0,47.0,0.0,42.0,41.0,29.0,127.0,27.0,130.0,19.0,17.0,65.0,9.0,6.0,67.0,36.0,136.0,16.0,139.0,52.0,50.0,110.0,98.0
4268,2.0,91.0,29.0,44.0,6.0,5.0,12.0,162.0,45.0,118.0,3.0,7.0,26.0,131.0,11.0,99.0,24.0,8.0,25.0,37.0,28.0,36.0,59.0,73.0,21.0,0.0,56.0,51.0,52.0,15.0
4317,8.0,95.0,30.0,19.0,7.0,3.0,43.0,134.0,1.0,150.0,101.0,62.0,130.0,31.0,33.0,22.0,46.0,0.0,164.0,71.0,26.0,25.0,44.0,90.0,16.0,65.0,67.0,63.0,92.0,69.0
4366,1.0,25.0,55.0,18.0,26.0,20.0,66.0,46.0,3.0,8.0,12.0,81.0,37.0,140.0,24.0,120.0,10.0,34.0,71.0,6.0,35.0,70.0,45.0,36.0,27.0,5.0,63.0,86.0,41.0,19.0
4415,10.0,7.0,24.0,17.0,28.0,15.0,38.0,9.0,140.0,78.0,4.0,2.0,125.0,25.0,46.0,5.0,80.0,41.0,33.0,27.0,81.0,19.0,34.0,35.0,14.0,8.0,89.0,146.0,136.0,92.0
4464,12.0,5.0,57.0,36.0,63.0,7.0,34.0,160.0,29.0,111.0,14.0,25.0,61.0,71.0,101.0,131.0,19.0,150.0,20.0,87.0,30.0,54.0,26.0,64.0,58.0,35.0,89.0,80.0,153.0,22.0
4513,5.0,98.0,33.0,14.0,28.0,26.0,37.0,107.0,143.0,53.0,42.0,43.0,111.0,30.0,100.0,15.0,25.0,12.0,38.0,120.0,41.0,35.0,24.0,48.0,151.0,61.0,59.0,29.0,131.0,69.0
4562,17.0,10.0,68.0,7.0,27.0,3.0,55.0,114.0,59.0,72.0,56.0,12.0,125.0,123.0,8.0,20.0,75.0,58.0,74.0,11.0,54.0,31.0,49.0,60.0,43.0,19.0,48.0,69.0,18.0,22.0
4611,14.0,21.0,36.0,12.0,20.0,16.0,81.0,108.0,2.0,28.0,0.0,13.0,22.0,15.0,51.0,1.0,17.0,23.0,30.0,111.0,6.0,34.0,56.0,68.0,39.0,65.0,71.0,25.0,37.0,64.0
4660,10.0,3.0,18.0,26.0,22.0,47.0,44.0,134.0,7.0,90.0,5.0,4.0,11.0,16.0,33.0,0.0,85.0,36.0,60.0,14.0,20.0,32.0,63.0,72.0,102.0,30.0,51.0,146.0,81.0,48.0
4709,7.0,15.0,65.0,62.0,34.0,45.0,33.0,147.0,112.0,14.0,25.0,4.0,126.0,76.0,26.0,6.0,9.0,46.0,3.0,115.0,60.0,20.0,21.0,37.0,158.0,30.0,59.0,27.0,84.0,42.0
4758,4.0,49.0,36.0,10.0,24.0,20.0,41.0,93.0,47.0,28.0,2.0,5.0,31.0,23.0,96.0,3.0,16.0,40.0,42.0,125.0,21.0,37.0,25.0,131.0,94.0,53.0,55.0,60.0,54.0,157.0
4807,6.0,0.0,41.0,46.0,29.0,102.0,49.0,155.0,28.0,66.0,52.0,14.0,36.0,16.0,143.0,2.0,77.0,48.0,20.0,57.0,34.0,33.0,23.0,60.0,11.0,40.0,59.0,7.0,139.0,153.0
4856,11.0,127.0,45.0,7.0,10.0,1.0,17.0,8.0,141.0,49.0,16.0,52.0,30.0,21.0,71.0,111.0,22.0,31.0,59.0,70.0,41.0,39.0,20.0,15.0,43.0,2.0,65.0,38.0,160.0,156.0
