,ENPP1,NRSN2,CD99L2,TENC1,GPR3,TUBA1A,MAP3K12,DAPP1,HSPB8,TMC6,C17orf51,PRSS16,HOXC6,MAP3K8,CNRIP1,CPE,HCFC2,SLC38A6,IKBIP,KRT16,RAB30,TRIM3,MON2,NFASC,DSC2,EFR3B,IGFBP5,RP11-140A10.3,C1orf86,KLK10
1187,0.0,6.0,25.0,4.0,8.0,15.0,18.0,7.0,17.0,216.0,111.0,30.0,46.0,225.0,71.0,1.0,12.0,97.0,7121.0,20.0,4735.0,141.0,137.0,103.0,12233.0,24.0,5.0,603.0,16126.0,76.0
1236,0.0,2.0,22.0,5.0,70.0,34.0,242.0,44.0,9.0,11850.0,1653.0,7.0,1.0,183.0,17137.0,3.0,41.0,6.0,53.0,260.0,143.0,106.0,154.0,81.0,31.0,14.0,205.0,1543.0,16112.0,189.0
1285,0.0,2.0,61.0,5.0,7.0,374.0,108.0,26.0,8.0,1.0,9865.0,21.0,4.0,51.0,15.0,22.0,79.0,109.0,99.0,101.0,184.0,55.0,6469.0,175.0,23.0,192.0,173.0,19728.0,232.0,20.0
1334,1.0,3.0,104.0,0.0,103.0,8.0,194.0,9.0,13.0,21.0,11.0,19.0,31.0,20496.0,128.0,15.0,6865.0,129.0,6.0,109.0,2536.0,66.0,133.0,189.0,548.0,10.0,517.0,19665.0,214.0,39.0
1383,0.0,2.0,219.0,3.0,253.0,13.0,1.0,67.0,9.0,980.0,141.0,73.0,17.0,311.0,49.0,5.0,6.0,51.0,83.0,110.0,5015.0,341.0,155.0,293.0,418.0,39.0,55.0,1165.0,2762.0,347.0
1432,0.0,1.0,70.0,22.0,5.0,4.0,174.0,20.0,49.0,11833.0,103.0,37.0,148.0,67.0,2.0,14.0,62.0,323.0,553.0,233.0,4586.0,7.0,101.0,12.0,765.0,28.0,13789.0,168.0,338.0,463.0
1481,51.0,4.0,0.0,2.0,3.0,11.0,8.0,1.0,6947.0,11859.0,79.0,28.0,6749.0,5.0,1607.0,14481.0,112.0,16.0,35.0,161.0,4747.0,1313.0,44.0,145.0,12244.0,6.0,13787.0,19724.0,270.0,8432.0
1530,2.0,0.0,5.0,1.0,50.0,18.0,6.0,37.0,6964.0,799.0,101.0,8.0,16.0,67.0,159.0,20.0,13.0,152.0,19.0,171.0,4754.0,31.0,157.0,125.0,1143.0,36.0,54.0,108.0,16106.0,2579.0
1579,8.0,2.0,6.0,1.0,0.0,6669.0,5.0,4.0,1956.0,14.0,83.0,155.0,666.0,9.0,26.0,13.0,11.0,70.0,175.0,238.0,4759.0,423.0,266.0,3.0,12258.0,16912.0,72.0,19723.0,60.0,8455.0
1628,2.0,4.0,3.0,0.0,16.0,108.0,121.0,9.0,6923.0,33.0,9874.0,85.0,12.0,32.0,440.0,1.0,124.0,23.0,34.0,46.0,65.0,62.0,118.0,188.0,12231.0,41.0,31.0,116.0,69.0,8411.0
1677,2.0,0.0,242.0,19.0,1.0,6712.0,28.0,35.0,182.0,22.0,45.0,13.0,6790.0,55.0,157.0,12.0,138.0,3727.0,158.0,198.0,67.0,19782.0,207.0,110.0,12249.0,14.0,23.0,508.0,178.0,230.0
1726,0.0,105.0,3.0,1.0,2.0,5152.0,4.0,16.0,148.0,821.0,40.0,17.0,19.0,412.0,1251.0,11.0,37.0,6522.0,79.0,458.0,113.0,19785.0,136.0,17398.0,803.0,51.0,321.0,19723.0,61.0,498.0
1775,44.0,2.0,9.0,4.0,14.0,6713.0,110.0,0.0,6852.0,252.0,9916.0,50.0,1645.0,155.0,65.0,3.0,81.0,113.0,117.0,143.0,4753.0,19775.0,43.0,263.0,2784.0,684.0,914.0,25.0,661.0,8353.0
1824,2.0,9.0,46.0,0.0,45.0,4.0,3.0,13.0,6861.0,31.0,10117.0,32.0,162.0,22.0,49.0,10.0,8.0,62.0,23.0,207.0,4766.0,75.0,93.0,11.0,1320.0,25.0,164.0,17.0,16131.0,363.0
1873,6.0,202.0,2.0,4.0,7.0,145.0,9.0,1.0,6928.0,87.0,18.0,3.0,6727.0,12.0,207.0,36.0,272.0,115.0,319.0,103.0,82.0,118.0,2013.0,57.0,71.0,44.0,351.0,396.0,16116.0,8462.0
1922,6.0,2.0,0.0,5.0,8.0,3.0,9.0,41.0,217.0,1.0,29.0,119.0,22.0,21.0,108.0,573.0,110.0,118.0,7060.0,164.0,78.0,5311.0,105.0,198.0,412.0,415.0,111.0,101.0,711.0,8276.0
1971,0.0,4.0,3.0,1.0,36.0,213.0,184.0,50.0,12.0,2.0,51.0,88.0,113.0,81.0,92.0,364.0,174.0,30.0,6.0,10483.0,4743.0,19751.0,48.0,829.0,257.0,491.0,150.0,183.0,118.0,544.0
2020,0.0,2.0,284.0,230.0,4.0,6646.0,6725.0,62.0,321.0,348.0,9868.0,5.0,6755.0,20499.0,119.0,149.0,97.0,41.0,43.0,10344.0,4762.0,12.0,6606.0,872.0,20.0,146.0,42.0,29.0,170.0,450.0
2069,7.0,5.0,10.0,404.0,8.0,18.0,116.0,65.0,376.0,3.0,2550.0,62.0,297.0,208.0,74.0,14498.0,14.0,47.0,7105.0,287.0,192.0,455.0,6615.0,20.0,0.0,16925.0,104.0,156.0,659.0,128.0
2118,0.0,1.0,12.0,17.0,2.0,21.0,195.0,75.0,19.0,52.0,120.0,8.0,34.0,108.0,189.0,3.0,7.0,26.0,7095.0,363.0,71.0,292.0,6.0,54.0,28.0,179.0,13780.0,25.0,14.0,134.0
2167,0.0,2.0,83.0,178.0,1.0,23.0,6799.0,126.0,15.0,639.0,70.0,6.0,6748.0,435.0,128.0,33.0,124.0,35.0,7104.0,362.0,4754.0,482.0,682.0,17381.0,369.0,145.0,13868.0,515.0,93.0,19.0
2216,0.0,3.0,68.0,12.0,16498.0,36.0,6856.0,80.0,21.0,1.0,363.0,62.0,19.0,20419.0,17168.0,7.0,9.0,14.0,216.0,527.0,386.0,269.0,2186.0,17390.0,292.0,16909.0,296.0,825.0,120.0,270.0
2265,0.0,6.0,12.0,3.0,10.0,141.0,13.0,2.0,270.0,4.0,8.0,138.0,496.0,433.0,34.0,14498.0,536.0,91.0,6573.0,10458.0,206.0,234.0,33.0,609.0,354.0,284.0,16.0,180.0,2999.0,383.0
2314,0.0,3.0,5.0,1.0,13.0,5165.0,131.0,43.0,19.0,2.0,9899.0,58.0,191.0,230.0,282.0,794.0,776.0,28.0,5626.0,289.0,227.0,19775.0,5693.0,17849.0,647.0,16935.0,32.0,320.0,121.0,677.0
2363,0.0,2.0,13.0,58.0,1.0,5880.0,260.0,5.0,38.0,4.0,35.0,14.0,5906.0,488.0,109.0,69.0,17.0,24.0,146.0,670.0,6837.0,4002.0,180.0,159.0,393.0,332.0,262.0,220.0,79.0,32.0
2412,0.0,1.0,7.0,30.0,4.0,3.0,139.0,31.0,121.0,9.0,66.0,2.0,1220.0,20440.0,137.0,21.0,6862.0,13.0,148.0,11370.0,110.0,6113.0,6582.0,339.0,209.0,53.0,338.0,22.0,16071.0,615.0
2461,0.0,30.0,6.0,56.0,4.0,5.0,3.0,28.0,1.0,371.0,91.0,118.0,6825.0,121.0,17174.0,39.0,497.0,266.0,181.0,130.0,90.0,1368.0,102.0,220.0,20.0,152.0,322.0,98.0,164.0,138.0
2510,0.0,2.0,69.0,925.0,1.0,4.0,40.0,31.0,109.0,483.0,186.0,120.0,5887.0,88.0,47.0,14545.0,16.0,2932.0,5576.0,94.0,216.0,5.0,106.0,225.0,11.0,164.0,226.0,19736.0,2851.0,105.0
2559,4.0,0.0,106.0,36.0,3.0,5.0,302.0,19.0,1.0,6.0,23.0,159.0,6698.0,94.0,482.0,803.0,7031.0,21.0,107.0,286.0,121.0,110.0,141.0,138.0,299.0,16.0,15.0,19666.0,58.0,115.0
2608,0.0,1.0,2.0,7509.0,4.0,13.0,6.0,18.0,138.0,419.0,70.0,139.0,666.0,709.0,377.0,14503.0,22.0,1496.0,6947.0,17.0,146.0,25.0,45.0,131.0,9.0,3.0,386.0,19729.0,257.0,8896.0
2657,0.0,9.0,1.0,411.0,10.0,2.0,3.0,45.0,8.0,7.0,72.0,13.0,7419.0,21.0,82.0,71.0,172.0,93.0,6943.0,198.0,97.0,132.0,104.0,141.0,445.0,6.0,12.0,19719.0,16124.0,9116.0
2706,0.0,5.0,1.0,237.0,2.0,6.0,8.0,24.0,13.0,17.0,28.0,138.0,4795.0,4.0,189.0,14528.0,14.0,6320.0,185.0,48.0,37.0,19769.0,145.0,11.0,337.0,7.0,113.0,19747.0,674.0,8463.0
2755,9.0,1.0,0.0,449.0,15.0,2.0,191.0,21.0,7.0,12.0,96.0,58.0,76.0,13.0,124.0,89.0,11.0,126.0,61.0,139.0,4765.0,34.0,817.0,405.0,8.0,6.0,41.0,19725.0,113.0,194.0
2804,5.0,4.0,1.0,7343.0,972.0,14.0,2.0,76.0,3.0,521.0,12435.0,218.0,141.0,185.0,27.0,707.0,33.0,386.0,2118.0,309.0,163.0,19784.0,82.0,0.0,9.0,117.0,351.0,83.0,61.0,331.0
2853,0.0,1.0,82.0,6789.0,6.0,3.0,11.0,29.0,9.0,2.0,16.0,23.0,6746.0,1123.0,35.0,14516.0,8.0,588.0,414.0,5.0,213.0,28.0,182.0,22.0,27.0,21.0,13810.0,19661.0,322.0,24.0
2902,1.0,0.0,4.0,4950.0,3.0,256.0,55.0,15.0,8.0,11930.0,47.0,17.0,6650.0,20445.0,5.0,2.0,314.0,3433.0,139.0,26.0,183.0,65.0,190.0,93.0,424.0,159.0,13754.0,44.0,185.0,8270.0
2951,0.0,2.0,6.0,1.0,306.0,125.0,26.0,11.0,88.0,421.0,2501.0,126.0,61.0,43.0,112.0,14474.0,1008.0,100.0,5294.0,145.0,33.0,9.0,5113.0,192.0,49.0,22.0,13863.0,213.0,1831.0,341.0
3000,0.0,1.0,3.0,32.0,16509.0,4.0,40.0,2.0,549.0,15.0,104.0,65.0,79.0,20474.0,165.0,14488.0,260.0,118.0,172.0,184.0,19.0,386.0,131.0,157.0,158.0,27.0,13800.0,236.0,48.0,47.0
3049,1.0,0.0,2.0,3.0,46.0,70.0,21.0,4.0,9.0,5.0,23.0,27.0,10.0,20.0,17167.0,14477.0,77.0,15.0,250.0,10470.0,24.0,78.0,11.0,17381.0,12.0,147.0,43.0,1471.0,90.0,8420.0
3098,5.0,2.0,3.0,1.0,1075.0,33.0,199.0,7.0,19.0,9.0,21.0,46.0,0.0,140.0,179.0,14542.0,120.0,42.0,69.0,351.0,80.0,376.0,255.0,17438.0,14.0,243.0,13850.0,18.0,2314.0,438.0
3147,6.0,7.0,0.0,12.0,16467.0,232.0,3.0,17.0,308.0,8799.0,41.0,220.0,170.0,20474.0,17182.0,450.0,6981.0,4974.0,27.0,300.0,29.0,377.0,144.0,672.0,24.0,16895.0,1673.0,66.0,16106.0,9325.0
3196,1.0,5.0,0.0,9.0,1514.0,190.0,208.0,34.0,2.0,661.0,166.0,111.0,80.0,20496.0,269.0,14531.0,240.0,92.0,381.0,98.0,71.0,262.0,11.0,143.0,37.0,25.0,13810.0,58.0,170.0,358.0
3245,0.0,3.0,4.0,7.0,201.0,6.0,1.0,31.0,9.0,8.0,75.0,122.0,5.0,63.0,17145.0,14486.0,190.0,191.0,5560.0,165.0,70.0,142.0,95.0,13.0,106.0,33.0,13798.0,50.0,103.0,262.0
3294,0.0,3.0,1.0,2.0,43.0,4.0,41.0,6.0,71.0,21.0,45.0,38.0,34.0,20368.0,17163.0,14561.0,18.0,228.0,137.0,36.0,110.0,51.0,315.0,80.0,528.0,5.0,13875.0,19719.0,68.0,174.0
3343,6.0,2.0,3.0,0.0,16484.0,8.0,35.0,33.0,162.0,326.0,1450.0,84.0,9.0,89.0,26.0,14364.0,165.0,431.0,125.0,224.0,48.0,4130.0,123.0,176.0,4.0,44.0,128.0,270.0,86.0,141.0
3392,0.0,5.0,71.0,4.0,351.0,79.0,75.0,1.0,3.0,6.0,119.0,9.0,10.0,19501.0,105.0,473.0,1201.0,137.0,4972.0,10370.0,38.0,59.0,5788.0,146.0,28.0,172.0,1307.0,48.0,33.0,248.0
3441,3.0,0.0,1.0,2.0,56.0,4.0,95.0,34.0,9.0,141.0,40.0,32.0,29.0,10.0,42.0,7.0,50.0,116.0,76.0,278.0,19.0,5324.0,6558.0,17363.0,74.0,16866.0,20.0,94.0,5.0,358.0
3490,1.0,2.0,0.0,153.0,25.0,3.0,12.0,51.0,58.0,7.0,22.0,66.0,88.0,256.0,214.0,4.0,76.0,157.0,84.0,43.0,6545.0,40.0,269.0,17391.0,48.0,28.0,30.0,18.0,127.0,8465.0
3539,15.0,3.0,25.0,1.0,2.0,11.0,0.0,59.0,13.0,542.0,28.0,104.0,5.0,20490.0,146.0,130.0,19.0,22.0,53.0,10488.0,157.0,14.0,5018.0,218.0,23.0,2134.0,625.0,211.0,10.0,61.0
3588,0.0,1.0,3.0,2.0,12.0,4.0,8.0,11.0,10.0,282.0,44.0,55.0,28.0,20489.0,131.0,7.0,54.0,3128.0,103.0,10426.0,4709.0,90.0,6509.0,17382.0,170.0,304.0,26.0,89.0,91.0,16.0
3637,0.0,6.0,1.0,4.0,29.0,9.0,3.0,68.0,15.0,11867.0,70.0,106.0,2.0,142.0,67.0,20.0,143.0,3340.0,111.0,50.0,1369.0,8.0,6692.0,31.0,118.0,1087.0,349.0,139.0,16090.0,224.0
3686,0.0,2.0,5.0,37.0,3.0,6.0,50.0,1.0,5397.0,20.0,28.0,34.0,21.0,160.0,26.0,92.0,132.0,6259.0,5091.0,48.0,1055.0,131.0,5739.0,19.0,24.0,16789.0,89.0,203.0,136.0,141.0
3735,0.0,2.0,3.0,1.0,9.0,20.0,17.0,55.0,167.0,409.0,13.0,61.0,5.0,131.0,180.0,25.0,12.0,48.0,81.0,191.0,4747.0,224.0,6590.0,10.0,581.0,16904.0,8.0,121.0,45.0,8416.0
3784,0.0,4.0,2.0,6.0,52.0,10.0,7.0,3.0,13.0,12.0,35.0,40.0,1.0,1207.0,44.0,8.0,57.0,3032.0,23.0,11476.0,5281.0,53.0,6604.0,1046.0,352.0,16880.0,13759.0,70.0,27.0,9046.0
3833,0.0,1.0,8.0,48.0,16496.0,2.0,134.0,3.0,6.0,124.0,4.0,19.0,5.0,20496.0,110.0,682.0,17.0,169.0,7065.0,30.0,1462.0,168.0,14.0,675.0,261.0,16894.0,2517.0,25.0,16091.0,189.0
3882,4.0,1.0,0.0,7.0,27.0,166.0,5810.0,45.0,8.0,752.0,16.0,138.0,18.0,319.0,205.0,211.0,448.0,541.0,63.0,259.0,6812.0,56.0,4926.0,17588.0,182.0,16900.0,6.0,196.0,2.0,43.0
3931,0.0,4.0,1.0,6.0,2.0,3.0,101.0,19.0,94.0,62.0,20.0,141.0,6650.0,181.0,29.0,9.0,99.0,174.0,38.0,25.0,17.0,343.0,6523.0,17392.0,183.0,403.0,577.0,39.0,16135.0,42.0
3980,1.0,8.0,0.0,5.0,19.0,75.0,532.0,17.0,91.0,2.0,27.0,21191.0,179.0,20464.0,12.0,13.0,7005.0,512.0,62.0,110.0,33.0,1234.0,6501.0,3.0,447.0,16784.0,15.0,100.0,16114.0,433.0
4029,0.0,73.0,1.0,7.0,2.0,6652.0,247.0,23.0,518.0,709.0,19.0,17.0,6737.0,81.0,157.0,5.0,7065.0,172.0,168.0,151.0,204.0,1339.0,6587.0,283.0,62.0,16918.0,27.0,39.0,16115.0,621.0
4078,0.0,2.0,1.0,29.0,6.0,5640.0,5682.0,19.0,9.0,5.0,8.0,21267.0,5703.0,20476.0,142.0,14488.0,96.0,43.0,98.0,193.0,42.0,552.0,60.0,17393.0,12270.0,323.0,16.0,19709.0,16134.0,8446.0
4127,0.0,6.0,1.0,7.0,5.0,4926.0,686.0,3.0,4.0,364.0,28.0,21271.0,1721.0,20498.0,2.0,14488.0,10.0,62.0,40.0,131.0,24.0,3484.0,159.0,2137.0,830.0,179.0,236.0,1093.0,16116.0,382.0
4176,1.0,3.0,2.0,59.0,0.0,17.0,9.0,5.0,112.0,14.0,12.0,21222.0,6753.0,6.0,56.0,423.0,18.0,86.0,70.0,10440.0,101.0,5381.0,6600.0,235.0,85.0,440.0,13777.0,19664.0,776.0,92.0
4225,0.0,119.0,1.0,8.0,4.0,6651.0,14.0,7.0,6.0,65.0,44.0,138.0,6734.0,20500.0,83.0,231.0,7075.0,76.0,7108.0,16.0,51.0,466.0,6605.0,17829.0,730.0,16857.0,315.0,19692.0,1077.0,67.0
4274,0.0,3.0,2.0,5.0,1.0,11.0,18.0,4.0,8.0,11975.0,37.0,21196.0,5227.0,95.0,135.0,35.0,171.0,43.0,36.0,106.0,53.0,52.0,5245.0,17392.0,229.0,9.0,320.0,19734.0,16122.0,8451.0
4323,0.0,5.0,6.0,12.0,2.0,189.0,6812.0,10.0,4.0,37.0,24.0,21269.0,6802.0,15.0,69.0,286.0,7129.0,128.0,109.0,16.0,39.0,8.0,6530.0,239.0,185.0,16908.0,353.0,241.0,2720.0,8447.0
4372,0.0,7.0,1.0,11.0,41.0,6.0,8.0,16.0,3.0,94.0,49.0,156.0,17.0,20473.0,115.0,14467.0,6974.0,153.0,106.0,29.0,5719.0,53.0,428.0,17351.0,33.0,155.0,13811.0,19668.0,32.0,8386.0
4421,0.0,1.0,3.0,26.0,121.0,54.0,13.0,9.0,201.0,15.0,14.0,57.0,2.0,4.0,12.0,104.0,176.0,99.0,251.0,105.0,5237.0,5943.0,6613.0,81.0,10.0,8.0,23.0,19658.0,53.0,7.0
4470,0.0,1.0,2.0,3.0,986.0,74.0,93.0,4.0,11.0,5.0,81.0,27.0,28.0,48.0,24.0,14474.0,54.0,38.0,60.0,108.0,163.0,201.0,202.0,36.0,9.0,10.0,13803.0,2380.0,101.0,99.0
4519,0.0,1.0,6.0,2.0,9.0,32.0,10.0,3.0,6906.0,7.0,74.0,47.0,65.0,5.0,12.0,14474.0,28.0,100.0,56.0,118.0,70.0,27.0,6584.0,13.0,620.0,84.0,516.0,102.0,109.0,99.0
4568,0.0,14.0,10.0,1.0,103.0,70.0,40.0,3.0,125.0,7.0,12088.0,11.0,2.0,19.0,31.0,367.0,46.0,195.0,80.0,146.0,120.0,79.0,21.0,64.0,4.0,16911.0,6.0,19728.0,101.0,35.0
4617,1.0,4.0,0.0,6.0,41.0,9.0,58.0,2.0,7249.0,3.0,29.0,74.0,61.0,106.0,8.0,13636.0,23.0,6967.0,90.0,51.0,86.0,465.0,7.0,13.0,42.0,5.0,202.0,305.0,62.0,75.0
4666,1.0,3.0,4.0,5.0,16483.0,36.0,6.0,2.0,332.0,0.0,79.0,58.0,12.0,8.0,71.0,14479.0,60.0,95.0,33.0,115.0,159.0,146.0,305.0,7.0,20.0,16913.0,13.0,30.0,118.0,191.0
4715,0.0,6.0,4.0,1.0,85.0,106.0,9.0,42.0,31.0,2.0,10.0,105.0,3.0,69.0,8.0,14485.0,124.0,19.0,73.0,353.0,133.0,99.0,16.0,90.0,12198.0,16888.0,13.0,26.0,72.0,322.0
4764,0.0,2.0,6.0,3.0,9.0,77.0,15.0,1.0,171.0,4.0,42.0,14.0,7.0,11.0,20.0,127.0,38.0,95.0,86.0,149.0,47.0,104.0,27.0,22.0,256.0,222.0,8.0,72.0,39.0,135.0
4813,4.0,1.0,3.0,14.0,94.0,108.0,109.0,5.0,141.0,0.0,123.0,138.0,63.0,6.0,7.0,14554.0,150.0,88.0,140.0,131.0,4733.0,84.0,262.0,41.0,183.0,17.0,118.0,19702.0,16129.0,23.0
4862,0.0,4.0,3.0,20.0,78.0,16.0,5.0,12.0,191.0,1.0,27.0,44.0,35.0,41.0,6.0,14463.0,10.0,59.0,88.0,19.0,57.0,21.0,8.0,83.0,190.0,73.0,33.0,45.0,16108.0,219.0
