,hsa-miR-199b-5p,hsa-miR-22,hsa-miR-142-5p,hsa-miR-1910,hsa-miR-378,hsa-miR-31,hsa-let-7c,hsa-miR-99a,hsa-miR-193b,hsa-miR-200a,hsa-miR-1302,hsa-miR-548a-3p,hsa-miR-96,hsa-miR-499-3p,hsa-miR-600,hsa-miR-219-2-3p,hsa-miR-541,hsa-miR-210,ebv-miR-BART19-5p,hsa-miR-219-5p,hsa-miR-149,hsa-miR-567,hsa-miR-589,hsa-miR-1256,hsa-miR-28-5p,hsa-miR-140-3p,hcmv-miR-US5-1,hsa-miR-873,hcmv-miR-UL148D,hsa-miR-937
509,93.0,67.0,5.0,425.0,59.0,3.0,65.0,221.0,419.0,1.0,52.0,143.0,161.0,102.0,49.0,129.0,28.0,48.0,57.0,587.0,109.0,87.0,101.0,497.0,577.0,115.0,132.0,86.0,343.0,138.0
558,107.0,67.0,102.0,28.0,619.0,0.0,63.0,17.0,76.0,57.0,80.0,25.0,16.0,53.0,40.0,41.0,546.0,23.0,74.0,433.0,108.0,214.0,122.0,14.0,167.0,136.0,73.0,134.0,18.0,86.0
607,67.0,19.0,35.0,430.0,27.0,2.0,42.0,32.0,424.0,10.0,97.0,126.0,128.0,18.0,54.0,129.0,535.0,48.0,130.0,11.0,382.0,15.0,37.0,75.0,579.0,392.0,133.0,275.0,137.0,93.0
656,48.0,25.0,494.0,135.0,9.0,0.0,71.0,24.0,393.0,26.0,113.0,536.0,145.0,43.0,35.0,156.0,59.0,47.0,129.0,428.0,484.0,23.0,66.0,80.0,412.0,496.0,91.0,105.0,134.0,75.0
705,37.0,60.0,488.0,393.0,617.0,8.0,252.0,62.0,92.0,6.0,35.0,16.0,44.0,55.0,73.0,421.0,15.0,30.0,103.0,420.0,17.0,36.0,83.0,491.0,163.0,489.0,104.0,105.0,59.0,87.0
754,81.0,409.0,473.0,13.0,609.0,578.0,227.0,302.0,387.0,72.0,66.0,62.0,26.0,37.0,186.0,20.0,539.0,50.0,130.0,410.0,4.0,43.0,156.0,19.0,111.0,475.0,149.0,312.0,267.0,141.0
803,35.0,17.0,101.0,478.0,624.0,2.0,307.0,287.0,100.0,14.0,141.0,95.0,143.0,56.0,37.0,175.0,549.0,68.0,170.0,3.0,66.0,61.0,149.0,504.0,158.0,447.0,98.0,105.0,127.0,76.0
852,21.0,19.0,498.0,140.0,16.0,6.0,7.0,17.0,91.0,0.0,40.0,542.0,49.0,35.0,18.0,130.0,25.0,90.0,101.0,433.0,20.0,229.0,59.0,36.0,100.0,53.0,115.0,372.0,256.0,128.0
901,48.0,65.0,175.0,74.0,0.0,5.0,1.0,39.0,132.0,22.0,68.0,70.0,8.0,97.0,93.0,49.0,152.0,485.0,144.0,413.0,42.0,23.0,148.0,29.0,180.0,473.0,140.0,339.0,190.0,110.0
950,165.0,20.0,503.0,75.0,98.0,7.0,298.0,14.0,74.0,12.0,96.0,109.0,317.0,50.0,5.0,157.0,54.0,117.0,119.0,31.0,494.0,23.0,82.0,29.0,166.0,61.0,133.0,372.0,79.0,112.0
999,37.0,35.0,396.0,117.0,604.0,3.0,40.0,43.0,80.0,156.0,51.0,112.0,181.0,376.0,144.0,594.0,93.0,415.0,162.0,593.0,30.0,250.0,72.0,68.0,27.0,116.0,108.0,52.0,94.0,26.0
1048,19.0,48.0,4.0,470.0,37.0,152.0,61.0,90.0,88.0,18.0,115.0,571.0,70.0,66.0,278.0,2.0,9.0,39.0,57.0,503.0,430.0,41.0,228.0,71.0,176.0,576.0,103.0,132.0,294.0,388.0
1097,30.0,36.0,42.0,7.0,14.0,0.0,465.0,24.0,434.0,129.0,130.0,95.0,92.0,372.0,205.0,20.0,67.0,68.0,83.0,31.0,121.0,102.0,61.0,495.0,81.0,141.0,134.0,136.0,211.0,70.0
1146,34.0,16.0,15.0,41.0,10.0,599.0,44.0,54.0,75.0,3.0,111.0,21.0,33.0,372.0,219.0,2.0,53.0,147.0,85.0,13.0,72.0,103.0,236.0,23.0,577.0,389.0,70.0,71.0,291.0,86.0
1195,34.0,8.0,396.0,23.0,32.0,572.0,28.0,21.0,25.0,10.0,133.0,361.0,268.0,368.0,240.0,3.0,127.0,121.0,136.0,146.0,389.0,60.0,72.0,143.0,98.0,80.0,75.0,69.0,128.0,272.0
1244,35.0,62.0,399.0,41.0,179.0,75.0,464.0,47.0,421.0,3.0,63.0,60.0,260.0,115.0,339.0,4.0,130.0,156.0,105.0,33.0,378.0,276.0,92.0,142.0,180.0,143.0,42.0,146.0,296.0,128.0
1293,28.0,32.0,450.0,483.0,625.0,416.0,296.0,13.0,55.0,113.0,123.0,19.0,0.0,29.0,159.0,14.0,108.0,9.0,98.0,131.0,503.0,30.0,80.0,17.0,138.0,73.0,177.0,103.0,267.0,132.0
1342,80.0,86.0,15.0,39.0,1.0,0.0,459.0,77.0,416.0,408.0,61.0,47.0,83.0,362.0,157.0,22.0,342.0,124.0,88.0,590.0,45.0,239.0,120.0,162.0,21.0,27.0,96.0,132.0,31.0,56.0
1391,26.0,592.0,383.0,24.0,11.0,8.0,6.0,271.0,15.0,121.0,168.0,217.0,33.0,367.0,125.0,43.0,80.0,14.0,84.0,7.0,71.0,28.0,227.0,495.0,579.0,385.0,138.0,59.0,258.0,113.0
1440,37.0,11.0,386.0,32.0,81.0,90.0,133.0,6.0,20.0,412.0,147.0,80.0,287.0,77.0,209.0,62.0,98.0,12.0,120.0,2.0,381.0,44.0,136.0,433.0,118.0,388.0,85.0,52.0,363.0,132.0
1489,36.0,7.0,16.0,403.0,565.0,629.0,35.0,281.0,43.0,21.0,79.0,52.0,294.0,370.0,188.0,176.0,117.0,141.0,150.0,105.0,155.0,66.0,113.0,143.0,56.0,106.0,110.0,339.0,24.0,256.0
1538,24.0,14.0,461.0,66.0,32.0,420.0,299.0,164.0,42.0,10.0,97.0,19.0,358.0,94.0,62.0,11.0,13.0,36.0,157.0,394.0,29.0,143.0,115.0,162.0,440.0,83.0,61.0,135.0,268.0,109.0
1587,28.0,73.0,3.0,389.0,605.0,7.0,49.0,67.0,41.0,177.0,158.0,24.0,103.0,78.0,202.0,502.0,15.0,26.0,115.0,503.0,9.0,12.0,172.0,42.0,59.0,99.0,89.0,180.0,282.0,43.0
1636,17.0,85.0,28.0,38.0,37.0,567.0,59.0,260.0,32.0,148.0,467.0,22.0,25.0,56.0,225.0,12.0,84.0,9.0,99.0,592.0,149.0,195.0,79.0,434.0,29.0,69.0,128.0,49.0,78.0,160.0
1685,20.0,38.0,385.0,52.0,599.0,597.0,462.0,96.0,34.0,170.0,48.0,199.0,268.0,366.0,95.0,150.0,33.0,100.0,159.0,45.0,112.0,65.0,131.0,463.0,78.0,23.0,93.0,350.0,245.0,97.0
1734,67.0,28.0,0.0,24.0,52.0,13.0,79.0,100.0,69.0,410.0,58.0,65.0,264.0,371.0,189.0,111.0,90.0,12.0,42.0,173.0,51.0,27.0,44.0,112.0,94.0,10.0,98.0,132.0,11.0,25.0
1783,54.0,16.0,4.0,402.0,73.0,569.0,465.0,269.0,69.0,421.0,78.0,46.0,270.0,61.0,17.0,41.0,20.0,412.0,122.0,65.0,96.0,42.0,25.0,104.0,66.0,95.0,26.0,58.0,84.0,60.0
1832,17.0,11.0,26.0,72.0,600.0,569.0,120.0,28.0,36.0,416.0,42.0,29.0,268.0,368.0,114.0,591.0,13.0,115.0,134.0,7.0,98.0,58.0,95.0,79.0,103.0,39.0,117.0,144.0,99.0,122.0
1881,6.0,13.0,386.0,46.0,39.0,58.0,461.0,16.0,91.0,32.0,143.0,116.0,259.0,56.0,200.0,85.0,366.0,71.0,75.0,586.0,59.0,215.0,79.0,72.0,83.0,387.0,25.0,146.0,265.0,140.0
1930,0.0,23.0,385.0,93.0,530.0,597.0,45.0,267.0,111.0,27.0,83.0,48.0,21.0,365.0,85.0,78.0,50.0,77.0,97.0,592.0,75.0,231.0,110.0,58.0,64.0,387.0,126.0,16.0,46.0,2.0
1979,65.0,6.0,13.0,97.0,11.0,59.0,42.0,23.0,61.0,55.0,77.0,68.0,90.0,114.0,246.0,403.0,16.0,479.0,125.0,133.0,95.0,214.0,54.0,554.0,35.0,470.0,121.0,119.0,271.0,53.0
2028,43.0,7.0,142.0,396.0,4.0,566.0,53.0,69.0,422.0,40.0,151.0,23.0,262.0,363.0,31.0,29.0,16.0,403.0,251.0,6.0,147.0,39.0,72.0,45.0,48.0,65.0,89.0,100.0,297.0,70.0
2077,63.0,12.0,7.0,386.0,59.0,574.0,115.0,362.0,104.0,67.0,23.0,500.0,14.0,371.0,2.0,435.0,83.0,414.0,84.0,26.0,105.0,76.0,79.0,438.0,99.0,60.0,156.0,65.0,209.0,85.0
2126,47.0,11.0,0.0,423.0,3.0,596.0,460.0,148.0,55.0,60.0,101.0,158.0,7.0,363.0,232.0,589.0,26.0,25.0,57.0,33.0,36.0,236.0,69.0,79.0,39.0,381.0,78.0,138.0,273.0,105.0
2175,8.0,5.0,1.0,28.0,564.0,624.0,27.0,39.0,20.0,41.0,51.0,134.0,17.0,372.0,105.0,586.0,16.0,160.0,129.0,12.0,376.0,253.0,33.0,108.0,123.0,384.0,71.0,147.0,59.0,72.0
2224,41.0,123.0,0.0,60.0,3.0,6.0,13.0,39.0,174.0,80.0,83.0,73.0,77.0,371.0,7.0,502.0,47.0,412.0,121.0,165.0,384.0,36.0,78.0,109.0,10.0,392.0,87.0,307.0,199.0,106.0
2273,28.0,16.0,521.0,43.0,21.0,445.0,3.0,46.0,67.0,38.0,104.0,561.0,76.0,87.0,78.0,418.0,84.0,492.0,109.0,166.0,273.0,203.0,247.0,105.0,65.0,544.0,151.0,55.0,280.0,64.0
2322,44.0,38.0,105.0,150.0,616.0,47.0,122.0,37.0,408.0,102.0,46.0,543.0,175.0,379.0,57.0,56.0,50.0,69.0,109.0,419.0,10.0,26.0,107.0,78.0,88.0,68.0,113.0,87.0,286.0,118.0
2371,30.0,0.0,6.0,14.0,1.0,11.0,159.0,279.0,151.0,32.0,67.0,155.0,13.0,5.0,36.0,415.0,92.0,424.0,53.0,4.0,17.0,104.0,217.0,165.0,118.0,484.0,139.0,15.0,52.0,144.0
2420,79.0,41.0,391.0,428.0,566.0,0.0,2.0,47.0,63.0,1.0,85.0,537.0,55.0,374.0,81.0,93.0,70.0,34.0,100.0,10.0,383.0,54.0,211.0,80.0,127.0,28.0,162.0,72.0,15.0,141.0
2469,15.0,8.0,499.0,49.0,143.0,592.0,18.0,351.0,47.0,65.0,74.0,544.0,29.0,11.0,115.0,73.0,548.0,17.0,76.0,6.0,16.0,203.0,246.0,140.0,144.0,501.0,113.0,127.0,56.0,116.0
2518,25.0,95.0,45.0,40.0,564.0,7.0,0.0,12.0,8.0,34.0,62.0,90.0,349.0,81.0,16.0,10.0,64.0,406.0,91.0,593.0,378.0,184.0,135.0,463.0,101.0,82.0,158.0,119.0,203.0,80.0
2567,18.0,60.0,471.0,52.0,48.0,426.0,13.0,3.0,28.0,147.0,41.0,96.0,362.0,103.0,24.0,97.0,29.0,92.0,75.0,399.0,55.0,210.0,143.0,20.0,412.0,472.0,93.0,111.0,267.0,113.0
2616,16.0,1.0,95.0,45.0,604.0,567.0,13.0,37.0,21.0,32.0,71.0,50.0,293.0,88.0,25.0,135.0,536.0,407.0,89.0,8.0,38.0,220.0,87.0,73.0,81.0,112.0,142.0,281.0,349.0,98.0
2665,9.0,3.0,57.0,72.0,599.0,50.0,460.0,44.0,13.0,47.0,77.0,227.0,345.0,364.0,22.0,2.0,563.0,52.0,107.0,8.0,372.0,42.0,118.0,17.0,49.0,91.0,150.0,299.0,40.0,99.0
2714,58.0,18.0,483.0,124.0,117.0,0.0,263.0,68.0,52.0,381.0,150.0,146.0,318.0,41.0,133.0,62.0,541.0,20.0,115.0,30.0,101.0,110.0,162.0,160.0,26.0,485.0,128.0,51.0,153.0,83.0
2763,71.0,9.0,389.0,427.0,601.0,94.0,41.0,52.0,56.0,102.0,62.0,500.0,73.0,138.0,48.0,8.0,537.0,93.0,162.0,36.0,6.0,253.0,129.0,139.0,155.0,96.0,128.0,140.0,34.0,144.0
2812,24.0,40.0,465.0,5.0,32.0,1.0,298.0,67.0,115.0,17.0,36.0,45.0,355.0,99.0,127.0,71.0,82.0,405.0,94.0,390.0,455.0,42.0,148.0,88.0,87.0,122.0,75.0,9.0,51.0,49.0
2861,37.0,0.0,555.0,25.0,84.0,28.0,29.0,30.0,26.0,20.0,52.0,67.0,132.0,109.0,11.0,31.0,96.0,76.0,57.0,145.0,468.0,220.0,153.0,38.0,157.0,73.0,108.0,106.0,59.0,88.0
2910,26.0,59.0,6.0,21.0,597.0,2.0,13.0,22.0,18.0,34.0,69.0,71.0,239.0,152.0,150.0,72.0,114.0,405.0,148.0,593.0,379.0,241.0,97.0,466.0,105.0,388.0,116.0,92.0,37.0,101.0
2959,34.0,64.0,0.0,424.0,566.0,133.0,26.0,49.0,53.0,409.0,28.0,44.0,72.0,67.0,270.0,40.0,535.0,137.0,138.0,22.0,79.0,249.0,89.0,81.0,61.0,385.0,115.0,314.0,50.0,360.0
3008,109.0,45.0,21.0,39.0,7.0,0.0,20.0,62.0,13.0,1.0,157.0,97.0,71.0,78.0,76.0,28.0,540.0,172.0,83.0,595.0,40.0,220.0,247.0,156.0,147.0,154.0,155.0,170.0,12.0,357.0
3057,61.0,7.0,4.0,52.0,46.0,569.0,21.0,252.0,429.0,420.0,126.0,51.0,48.0,85.0,112.0,98.0,535.0,40.0,132.0,18.0,35.0,227.0,101.0,106.0,87.0,53.0,179.0,185.0,317.0,167.0
3106,67.0,32.0,27.0,423.0,600.0,5.0,461.0,262.0,156.0,6.0,3.0,133.0,47.0,61.0,99.0,148.0,366.0,401.0,87.0,590.0,107.0,96.0,40.0,494.0,75.0,51.0,115.0,118.0,236.0,299.0
3155,111.0,26.0,475.0,9.0,607.0,7.0,293.0,341.0,132.0,22.0,489.0,537.0,122.0,80.0,54.0,69.0,541.0,44.0,89.0,414.0,138.0,236.0,68.0,127.0,100.0,477.0,39.0,151.0,251.0,146.0
3204,102.0,44.0,110.0,7.0,616.0,14.0,9.0,284.0,142.0,143.0,484.0,52.0,26.0,28.0,156.0,43.0,126.0,168.0,79.0,116.0,35.0,219.0,53.0,12.0,66.0,136.0,105.0,69.0,314.0,162.0
3253,83.0,5.0,0.0,4.0,35.0,27.0,9.0,251.0,105.0,411.0,34.0,33.0,109.0,25.0,38.0,30.0,43.0,113.0,90.0,6.0,53.0,207.0,97.0,107.0,47.0,87.0,117.0,153.0,281.0,258.0
3302,17.0,54.0,3.0,52.0,85.0,11.0,38.0,273.0,56.0,21.0,182.0,111.0,69.0,373.0,224.0,79.0,540.0,415.0,138.0,90.0,35.0,184.0,132.0,112.0,67.0,401.0,104.0,144.0,250.0,181.0
3351,92.0,22.0,1.0,38.0,596.0,29.0,26.0,377.0,81.0,127.0,20.0,565.0,50.0,54.0,47.0,74.0,15.0,145.0,25.0,2.0,157.0,240.0,276.0,83.0,152.0,131.0,140.0,105.0,109.0,14.0
3400,49.0,55.0,0.0,41.0,20.0,10.0,461.0,243.0,417.0,92.0,67.0,178.0,244.0,30.0,75.0,6.0,43.0,400.0,50.0,142.0,72.0,205.0,228.0,74.0,33.0,54.0,106.0,71.0,68.0,247.0
3449,24.0,390.0,3.0,93.0,600.0,422.0,55.0,358.0,46.0,23.0,40.0,90.0,108.0,95.0,236.0,392.0,70.0,84.0,91.0,61.0,453.0,204.0,160.0,69.0,164.0,464.0,87.0,133.0,27.0,176.0
3498,10.0,86.0,46.0,14.0,524.0,42.0,0.0,258.0,1.0,39.0,165.0,55.0,51.0,366.0,181.0,153.0,367.0,126.0,97.0,131.0,368.0,19.0,12.0,41.0,167.0,140.0,145.0,345.0,44.0,21.0
3547,27.0,101.0,494.0,422.0,17.0,65.0,30.0,63.0,77.0,39.0,57.0,61.0,314.0,34.0,32.0,427.0,155.0,406.0,93.0,80.0,501.0,205.0,148.0,589.0,141.0,20.0,116.0,368.0,48.0,79.0
3596,47.0,69.0,485.0,39.0,9.0,17.0,3.0,346.0,400.0,1.0,22.0,30.0,35.0,71.0,59.0,430.0,543.0,97.0,127.0,429.0,493.0,231.0,110.0,74.0,104.0,40.0,33.0,46.0,68.0,350.0
3645,409.0,589.0,13.0,27.0,599.0,123.0,1.0,20.0,417.0,171.0,55.0,44.0,120.0,28.0,18.0,590.0,141.0,99.0,61.0,110.0,53.0,204.0,71.0,135.0,67.0,7.0,154.0,125.0,11.0,252.0
3694,10.0,408.0,0.0,84.0,39.0,14.0,211.0,63.0,100.0,68.0,78.0,545.0,109.0,79.0,44.0,382.0,549.0,124.0,52.0,381.0,17.0,143.0,139.0,152.0,90.0,454.0,128.0,167.0,1.0,127.0
3743,14.0,68.0,12.0,33.0,603.0,5.0,0.0,269.0,425.0,151.0,111.0,128.0,55.0,40.0,99.0,169.0,534.0,62.0,92.0,500.0,386.0,125.0,157.0,466.0,586.0,79.0,164.0,115.0,20.0,272.0
3792,410.0,23.0,0.0,53.0,564.0,38.0,78.0,42.0,87.0,120.0,51.0,37.0,65.0,372.0,50.0,60.0,116.0,135.0,96.0,151.0,378.0,258.0,112.0,494.0,129.0,31.0,47.0,136.0,2.0,105.0
3841,35.0,73.0,48.0,28.0,626.0,2.0,26.0,15.0,23.0,106.0,144.0,546.0,31.0,74.0,50.0,386.0,94.0,399.0,137.0,121.0,83.0,255.0,40.0,95.0,174.0,101.0,148.0,86.0,87.0,56.0
3890,20.0,79.0,8.0,26.0,18.0,42.0,0.0,360.0,486.0,97.0,128.0,119.0,44.0,90.0,139.0,396.0,2.0,58.0,85.0,143.0,453.0,225.0,261.0,32.0,445.0,12.0,118.0,48.0,267.0,169.0
3939,53.0,28.0,0.0,126.0,69.0,5.0,15.0,52.0,125.0,131.0,388.0,79.0,72.0,102.0,333.0,89.0,156.0,497.0,115.0,581.0,129.0,238.0,63.0,103.0,46.0,99.0,157.0,119.0,39.0,147.0
3988,6.0,31.0,41.0,65.0,7.0,596.0,20.0,352.0,22.0,412.0,176.0,51.0,114.0,54.0,96.0,123.0,143.0,405.0,155.0,17.0,378.0,36.0,90.0,151.0,582.0,388.0,101.0,130.0,82.0,122.0
4037,63.0,85.0,0.0,48.0,619.0,11.0,296.0,51.0,73.0,108.0,40.0,25.0,351.0,46.0,240.0,120.0,15.0,57.0,94.0,21.0,492.0,208.0,27.0,114.0,420.0,116.0,66.0,374.0,16.0,131.0
4086,21.0,38.0,1.0,14.0,12.0,13.0,300.0,17.0,36.0,45.0,66.0,56.0,78.0,37.0,212.0,129.0,114.0,420.0,71.0,46.0,396.0,32.0,131.0,75.0,590.0,111.0,138.0,112.0,16.0,341.0
4135,58.0,110.0,379.0,418.0,49.0,66.0,23.0,131.0,45.0,152.0,12.0,53.0,102.0,365.0,111.0,582.0,30.0,86.0,52.0,70.0,372.0,4.0,165.0,148.0,62.0,126.0,174.0,169.0,153.0,143.0
4184,15.0,52.0,87.0,60.0,4.0,14.0,59.0,10.0,48.0,43.0,61.0,203.0,290.0,64.0,41.0,126.0,563.0,160.0,94.0,37.0,5.0,40.0,30.0,124.0,17.0,98.0,156.0,70.0,69.0,67.0
4233,78.0,44.0,7.0,51.0,72.0,570.0,25.0,89.0,79.0,125.0,173.0,23.0,50.0,111.0,219.0,115.0,29.0,147.0,146.0,36.0,112.0,74.0,34.0,92.0,131.0,91.0,136.0,107.0,144.0,145.0
4282,35.0,63.0,0.0,36.0,43.0,424.0,29.0,355.0,163.0,124.0,25.0,22.0,327.0,94.0,255.0,114.0,98.0,40.0,118.0,33.0,453.0,34.0,109.0,152.0,442.0,102.0,176.0,174.0,11.0,360.0
4331,12.0,107.0,2.0,51.0,614.0,6.0,54.0,9.0,74.0,147.0,16.0,372.0,316.0,57.0,27.0,45.0,21.0,404.0,84.0,47.0,479.0,253.0,112.0,33.0,28.0,120.0,67.0,31.0,32.0,48.0
4380,16.0,40.0,28.0,8.0,565.0,2.0,463.0,52.0,29.0,89.0,12.0,64.0,49.0,630.0,95.0,169.0,48.0,30.0,133.0,26.0,167.0,153.0,129.0,21.0,171.0,383.0,44.0,112.0,34.0,131.0
4429,42.0,62.0,36.0,417.0,28.0,566.0,459.0,20.0,108.0,1.0,37.0,44.0,147.0,361.0,101.0,17.0,64.0,23.0,115.0,132.0,41.0,75.0,105.0,463.0,78.0,380.0,95.0,128.0,59.0,22.0
4478,98.0,3.0,15.0,429.0,601.0,70.0,464.0,82.0,87.0,110.0,183.0,71.0,291.0,370.0,39.0,84.0,42.0,179.0,33.0,79.0,171.0,250.0,43.0,90.0,61.0,140.0,106.0,144.0,355.0,156.0
4527,35.0,72.0,0.0,59.0,14.0,51.0,34.0,82.0,127.0,151.0,86.0,97.0,283.0,366.0,42.0,124.0,613.0,28.0,73.0,146.0,383.0,56.0,39.0,7.0,111.0,36.0,95.0,148.0,204.0,53.0
4576,394.0,117.0,14.0,151.0,27.0,590.0,304.0,58.0,110.0,112.0,62.0,77.0,85.0,630.0,35.0,21.0,134.0,99.0,89.0,79.0,504.0,41.0,45.0,127.0,420.0,500.0,145.0,130.0,94.0,320.0
4625,83.0,9.0,0.0,69.0,2.0,11.0,460.0,254.0,156.0,141.0,53.0,222.0,21.0,364.0,104.0,59.0,111.0,68.0,102.0,587.0,375.0,30.0,25.0,42.0,575.0,51.0,132.0,74.0,7.0,258.0
4674,52.0,13.0,455.0,488.0,1.0,507.0,296.0,10.0,481.0,163.0,166.0,20.0,66.0,80.0,140.0,110.0,131.0,46.0,132.0,23.0,18.0,37.0,70.0,63.0,43.0,34.0,105.0,158.0,3.0,74.0
4723,45.0,47.0,0.0,126.0,18.0,599.0,467.0,3.0,41.0,418.0,133.0,11.0,63.0,374.0,121.0,136.0,110.0,128.0,130.0,163.0,21.0,88.0,70.0,150.0,44.0,92.0,94.0,152.0,10.0,274.0
4772,21.0,63.0,502.0,458.0,9.0,445.0,304.0,16.0,18.0,57.0,56.0,559.0,31.0,123.0,34.0,22.0,103.0,100.0,81.0,102.0,7.0,24.0,84.0,151.0,118.0,76.0,135.0,46.0,124.0,30.0
4821,417.0,20.0,2.0,41.0,10.0,570.0,65.0,283.0,88.0,27.0,38.0,12.0,305.0,130.0,3.0,110.0,150.0,89.0,108.0,43.0,128.0,6.0,42.0,101.0,586.0,146.0,54.0,34.0,187.0,297.0
4870,23.0,55.0,3.0,48.0,22.0,7.0,459.0,1.0,38.0,148.0,387.0,217.0,288.0,362.0,171.0,112.0,25.0,81.0,99.0,101.0,96.0,80.0,124.0,150.0,139.0,61.0,108.0,72.0,0.0,292.0
