,FRA1,HER3,CD49b,MEK1_pS217_S221,Bax,E-Cadherin,CDK1,Gab2,Transglutaminase,YB-1_pS102,Annexin 1,Src_pY527,Shc_pY317,Src_pY416,XBP1,PDCD4,Notch1,p21,VAV1,Cyclin_E1,PKC-pan_BetaII_pS660,TIGAR,14-3-3_zeta,STAT5-alpha,Src,alpha-Catenin,Raptor,Syk,ACVRL1,HSP70
689,4.0,0.0,1.0,2.0,3.0,25.0,6.0,5.0,17.0,15.0,9.0,8.0,11.0,10.0,12.0,13.0,28.0,16.0,14.0,7.0,24.0,32.0,18.0,27.0,30.0,98.0,56.0,19.0,112.0,33.0
738,3.0,6.0,1.0,9.0,5.0,21.0,8.0,0.0,26.0,12.0,29.0,2.0,15.0,7.0,14.0,16.0,10.0,17.0,11.0,4.0,20.0,28.0,22.0,33.0,13.0,25.0,62.0,18.0,34.0,32.0
787,0.0,3.0,5.0,4.0,7.0,10.0,8.0,1.0,14.0,13.0,18.0,2.0,12.0,9.0,6.0,16.0,15.0,32.0,11.0,20.0,21.0,28.0,17.0,27.0,58.0,26.0,34.0,22.0,85.0,19.0
836,0.0,1.0,3.0,2.0,5.0,33.0,6.0,12.0,4.0,11.0,27.0,9.0,13.0,7.0,18.0,8.0,17.0,31.0,21.0,14.0,19.0,26.0,16.0,30.0,22.0,32.0,37.0,15.0,25.0,10.0
885,1.0,0.0,2.0,5.0,6.0,17.0,9.0,3.0,12.0,14.0,11.0,8.0,7.0,13.0,10.0,15.0,27.0,30.0,18.0,4.0,16.0,60.0,24.0,25.0,20.0,31.0,28.0,26.0,116.0,29.0
934,3.0,1.0,0.0,5.0,13.0,8.0,11.0,4.0,16.0,7.0,2.0,10.0,21.0,6.0,22.0,9.0,14.0,38.0,20.0,19.0,15.0,33.0,12.0,25.0,29.0,18.0,30.0,23.0,100.0,17.0
983,0.0,2.0,10.0,1.0,3.0,12.0,8.0,4.0,5.0,14.0,22.0,11.0,6.0,18.0,23.0,17.0,9.0,7.0,24.0,15.0,13.0,30.0,16.0,20.0,108.0,29.0,25.0,118.0,19.0,21.0
1032,0.0,3.0,6.0,2.0,8.0,12.0,7.0,11.0,10.0,5.0,26.0,13.0,16.0,4.0,1.0,20.0,9.0,14.0,21.0,15.0,19.0,22.0,17.0,24.0,31.0,27.0,34.0,36.0,28.0,18.0
1081,2.0,5.0,10.0,0.0,4.0,6.0,15.0,28.0,1.0,9.0,13.0,3.0,18.0,14.0,7.0,17.0,19.0,8.0,22.0,21.0,25.0,52.0,23.0,20.0,30.0,87.0,31.0,16.0,83.0,12.0
1130,1.0,10.0,2.0,13.0,4.0,14.0,0.0,17.0,7.0,8.0,5.0,6.0,3.0,36.0,26.0,15.0,9.0,12.0,18.0,19.0,20.0,24.0,16.0,34.0,23.0,91.0,30.0,22.0,11.0,21.0
1179,0.0,2.0,4.0,5.0,3.0,1.0,6.0,8.0,16.0,13.0,19.0,11.0,17.0,14.0,7.0,18.0,10.0,9.0,22.0,25.0,24.0,35.0,15.0,72.0,52.0,95.0,31.0,20.0,27.0,12.0
1228,0.0,7.0,12.0,2.0,10.0,3.0,5.0,11.0,8.0,6.0,1.0,9.0,34.0,17.0,15.0,31.0,4.0,14.0,13.0,21.0,22.0,41.0,18.0,16.0,28.0,24.0,26.0,23.0,19.0,20.0
1277,0.0,5.0,7.0,1.0,14.0,8.0,3.0,10.0,11.0,12.0,4.0,6.0,20.0,15.0,13.0,30.0,2.0,17.0,23.0,19.0,21.0,22.0,9.0,24.0,27.0,29.0,26.0,18.0,31.0,16.0
1326,0.0,6.0,4.0,2.0,1.0,3.0,10.0,5.0,11.0,7.0,12.0,8.0,16.0,22.0,17.0,34.0,9.0,15.0,13.0,24.0,23.0,33.0,14.0,72.0,18.0,85.0,29.0,25.0,19.0,21.0
1375,0.0,1.0,17.0,5.0,8.0,12.0,10.0,3.0,2.0,11.0,9.0,16.0,7.0,21.0,14.0,20.0,4.0,6.0,13.0,81.0,22.0,23.0,19.0,33.0,25.0,32.0,27.0,15.0,18.0,26.0
1424,3.0,0.0,2.0,1.0,6.0,12.0,7.0,5.0,8.0,4.0,23.0,20.0,9.0,10.0,13.0,33.0,11.0,16.0,14.0,22.0,19.0,32.0,17.0,28.0,24.0,25.0,30.0,26.0,18.0,15.0
1473,0.0,8.0,2.0,6.0,10.0,16.0,7.0,22.0,15.0,3.0,19.0,14.0,9.0,5.0,56.0,18.0,32.0,4.0,36.0,11.0,20.0,24.0,21.0,30.0,17.0,12.0,1.0,13.0,28.0,122.0
1522,0.0,2.0,18.0,8.0,10.0,1.0,5.0,21.0,3.0,4.0,14.0,12.0,29.0,17.0,6.0,38.0,24.0,9.0,11.0,31.0,35.0,20.0,19.0,13.0,16.0,15.0,7.0,33.0,25.0,65.0
1571,1.0,9.0,14.0,4.0,7.0,0.0,11.0,17.0,12.0,6.0,10.0,23.0,16.0,15.0,24.0,25.0,20.0,5.0,27.0,29.0,21.0,26.0,19.0,13.0,8.0,2.0,3.0,32.0,31.0,81.0
1620,3.0,1.0,25.0,0.0,5.0,2.0,8.0,20.0,4.0,14.0,16.0,6.0,7.0,10.0,11.0,23.0,22.0,17.0,19.0,24.0,26.0,58.0,30.0,13.0,18.0,12.0,9.0,29.0,15.0,69.0
1669,8.0,5.0,34.0,1.0,6.0,4.0,7.0,20.0,3.0,2.0,10.0,0.0,11.0,18.0,19.0,23.0,16.0,9.0,25.0,35.0,29.0,12.0,32.0,24.0,13.0,17.0,15.0,26.0,21.0,80.0
1718,3.0,6.0,14.0,0.0,2.0,5.0,13.0,18.0,17.0,1.0,8.0,7.0,16.0,9.0,21.0,15.0,33.0,11.0,19.0,29.0,27.0,30.0,107.0,12.0,20.0,4.0,10.0,59.0,28.0,83.0
1767,1.0,4.0,23.0,2.0,8.0,0.0,6.0,18.0,21.0,3.0,5.0,11.0,7.0,27.0,19.0,25.0,16.0,12.0,13.0,30.0,28.0,29.0,17.0,24.0,20.0,10.0,9.0,22.0,14.0,34.0
1816,0.0,3.0,5.0,2.0,1.0,7.0,4.0,15.0,9.0,6.0,8.0,10.0,18.0,20.0,25.0,30.0,49.0,27.0,22.0,24.0,26.0,21.0,17.0,12.0,14.0,16.0,11.0,62.0,31.0,118.0
1865,8.0,3.0,6.0,0.0,4.0,1.0,10.0,5.0,16.0,2.0,19.0,14.0,11.0,22.0,20.0,28.0,25.0,15.0,32.0,122.0,23.0,34.0,18.0,12.0,17.0,9.0,7.0,21.0,24.0,30.0
1914,1.0,0.0,15.0,3.0,2.0,12.0,9.0,10.0,4.0,6.0,8.0,29.0,14.0,5.0,17.0,13.0,21.0,7.0,22.0,30.0,34.0,27.0,18.0,28.0,16.0,19.0,11.0,20.0,23.0,24.0
1963,0.0,1.0,2.0,4.0,12.0,10.0,3.0,8.0,6.0,21.0,14.0,16.0,5.0,20.0,22.0,11.0,52.0,9.0,27.0,18.0,13.0,23.0,28.0,17.0,15.0,24.0,19.0,7.0,26.0,31.0
2012,0.0,3.0,1.0,2.0,9.0,6.0,5.0,8.0,7.0,12.0,4.0,11.0,10.0,32.0,17.0,36.0,41.0,19.0,15.0,22.0,26.0,13.0,30.0,31.0,14.0,21.0,24.0,18.0,23.0,27.0
2061,0.0,2.0,1.0,3.0,30.0,10.0,7.0,9.0,4.0,8.0,6.0,14.0,20.0,15.0,48.0,21.0,47.0,31.0,17.0,29.0,16.0,5.0,25.0,19.0,11.0,23.0,18.0,13.0,12.0,24.0
2110,0.0,3.0,1.0,5.0,10.0,11.0,4.0,2.0,7.0,13.0,8.0,14.0,6.0,26.0,21.0,16.0,28.0,18.0,9.0,24.0,20.0,12.0,30.0,23.0,15.0,31.0,25.0,17.0,33.0,29.0
2159,1.0,2.0,0.0,9.0,20.0,14.0,7.0,5.0,6.0,18.0,4.0,12.0,3.0,28.0,11.0,19.0,32.0,10.0,13.0,15.0,17.0,21.0,31.0,53.0,16.0,24.0,25.0,8.0,23.0,30.0
2208,0.0,2.0,3.0,1.0,15.0,11.0,5.0,7.0,10.0,16.0,6.0,8.0,4.0,14.0,22.0,13.0,42.0,21.0,36.0,27.0,17.0,12.0,18.0,23.0,20.0,26.0,28.0,9.0,25.0,19.0
2257,0.0,1.0,2.0,3.0,14.0,15.0,11.0,4.0,7.0,22.0,5.0,6.0,10.0,27.0,29.0,9.0,28.0,20.0,21.0,13.0,12.0,18.0,109.0,24.0,8.0,25.0,33.0,16.0,34.0,17.0
2306,0.0,2.0,1.0,4.0,3.0,12.0,8.0,7.0,5.0,14.0,9.0,30.0,11.0,10.0,15.0,21.0,36.0,32.0,13.0,20.0,17.0,19.0,16.0,31.0,6.0,37.0,27.0,22.0,28.0,24.0
2355,0.0,5.0,1.0,11.0,17.0,7.0,2.0,3.0,4.0,22.0,24.0,15.0,12.0,13.0,8.0,14.0,32.0,16.0,30.0,20.0,21.0,6.0,33.0,25.0,10.0,9.0,23.0,18.0,38.0,26.0
2404,0.0,6.0,1.0,8.0,21.0,15.0,2.0,7.0,5.0,35.0,3.0,16.0,11.0,18.0,24.0,12.0,27.0,23.0,34.0,22.0,4.0,10.0,29.0,14.0,13.0,20.0,28.0,9.0,17.0,37.0
2453,0.0,1.0,5.0,6.0,3.0,22.0,20.0,15.0,19.0,14.0,7.0,10.0,12.0,4.0,2.0,27.0,13.0,11.0,21.0,17.0,32.0,9.0,8.0,23.0,16.0,36.0,35.0,26.0,97.0,54.0
2502,2.0,11.0,3.0,6.0,14.0,4.0,9.0,13.0,22.0,15.0,8.0,23.0,7.0,0.0,1.0,20.0,12.0,27.0,24.0,16.0,17.0,18.0,5.0,10.0,28.0,29.0,19.0,71.0,21.0,32.0
2551,11.0,2.0,3.0,6.0,7.0,4.0,12.0,9.0,16.0,15.0,1.0,23.0,17.0,0.0,5.0,24.0,13.0,18.0,10.0,8.0,74.0,20.0,14.0,25.0,31.0,21.0,19.0,30.0,22.0,101.0
2600,0.0,3.0,21.0,7.0,1.0,18.0,10.0,11.0,17.0,9.0,4.0,15.0,19.0,2.0,5.0,76.0,8.0,20.0,14.0,6.0,24.0,13.0,22.0,16.0,25.0,23.0,28.0,54.0,12.0,29.0
2649,4.0,0.0,1.0,10.0,9.0,12.0,2.0,22.0,21.0,5.0,7.0,15.0,8.0,3.0,6.0,17.0,13.0,16.0,18.0,11.0,27.0,14.0,19.0,25.0,20.0,28.0,23.0,50.0,97.0,24.0
2698,1.0,0.0,10.0,2.0,8.0,7.0,11.0,23.0,16.0,9.0,5.0,29.0,6.0,4.0,3.0,21.0,13.0,31.0,19.0,20.0,28.0,17.0,12.0,22.0,15.0,24.0,18.0,14.0,27.0,33.0
2747,0.0,3.0,4.0,2.0,7.0,10.0,8.0,23.0,5.0,6.0,20.0,15.0,13.0,1.0,9.0,31.0,25.0,14.0,18.0,11.0,26.0,16.0,17.0,28.0,12.0,27.0,19.0,34.0,33.0,47.0
2796,2.0,7.0,0.0,11.0,3.0,12.0,5.0,10.0,4.0,27.0,8.0,9.0,16.0,1.0,18.0,22.0,45.0,19.0,21.0,13.0,29.0,14.0,20.0,6.0,32.0,26.0,23.0,59.0,24.0,28.0
2845,5.0,4.0,8.0,1.0,3.0,6.0,11.0,17.0,9.0,10.0,2.0,31.0,18.0,0.0,13.0,12.0,14.0,24.0,7.0,20.0,23.0,16.0,19.0,21.0,33.0,25.0,22.0,30.0,29.0,15.0
2894,4.0,0.0,3.0,1.0,6.0,19.0,10.0,20.0,18.0,25.0,5.0,22.0,9.0,2.0,14.0,24.0,21.0,17.0,11.0,15.0,30.0,23.0,8.0,7.0,36.0,32.0,26.0,13.0,28.0,16.0
2943,2.0,1.0,5.0,0.0,8.0,3.0,12.0,4.0,7.0,11.0,9.0,14.0,20.0,15.0,23.0,6.0,18.0,21.0,13.0,24.0,19.0,36.0,26.0,10.0,37.0,16.0,25.0,61.0,28.0,108.0
2992,1.0,5.0,17.0,3.0,13.0,0.0,11.0,12.0,4.0,2.0,7.0,23.0,20.0,6.0,8.0,10.0,25.0,16.0,18.0,30.0,9.0,21.0,28.0,14.0,27.0,22.0,36.0,19.0,34.0,37.0
3041,4.0,0.0,5.0,7.0,6.0,3.0,11.0,2.0,10.0,1.0,15.0,14.0,21.0,27.0,13.0,28.0,17.0,19.0,9.0,32.0,8.0,31.0,20.0,12.0,26.0,18.0,22.0,34.0,16.0,30.0
3090,0.0,5.0,3.0,2.0,6.0,1.0,22.0,9.0,14.0,8.0,4.0,12.0,7.0,15.0,11.0,16.0,28.0,21.0,20.0,24.0,10.0,27.0,19.0,13.0,26.0,18.0,29.0,25.0,17.0,47.0
3139,1.0,2.0,10.0,3.0,8.0,6.0,12.0,11.0,5.0,14.0,0.0,15.0,9.0,21.0,18.0,16.0,17.0,19.0,35.0,79.0,26.0,31.0,7.0,4.0,45.0,13.0,20.0,24.0,28.0,34.0
3188,0.0,2.0,4.0,6.0,11.0,8.0,10.0,13.0,5.0,7.0,3.0,18.0,26.0,16.0,14.0,19.0,23.0,27.0,17.0,29.0,12.0,21.0,9.0,1.0,59.0,20.0,69.0,58.0,15.0,88.0
3237,0.0,2.0,9.0,1.0,10.0,6.0,15.0,18.0,4.0,16.0,3.0,22.0,12.0,5.0,14.0,7.0,21.0,24.0,13.0,20.0,8.0,36.0,19.0,11.0,28.0,30.0,17.0,35.0,26.0,33.0
3286,1.0,5.0,10.0,3.0,0.0,2.0,18.0,8.0,7.0,9.0,4.0,16.0,22.0,13.0,6.0,12.0,32.0,19.0,20.0,14.0,11.0,36.0,17.0,15.0,60.0,23.0,26.0,34.0,33.0,100.0
3335,0.0,6.0,5.0,1.0,3.0,4.0,11.0,10.0,22.0,2.0,7.0,30.0,14.0,8.0,23.0,12.0,17.0,24.0,27.0,13.0,15.0,21.0,9.0,18.0,26.0,33.0,65.0,32.0,19.0,107.0
3384,2.0,1.0,4.0,3.0,5.0,9.0,8.0,7.0,10.0,6.0,0.0,13.0,21.0,20.0,14.0,15.0,12.0,36.0,23.0,19.0,16.0,34.0,31.0,11.0,26.0,29.0,18.0,24.0,28.0,22.0
3433,3.0,1.0,10.0,9.0,4.0,5.0,11.0,0.0,8.0,15.0,17.0,2.0,7.0,6.0,14.0,20.0,33.0,28.0,23.0,12.0,13.0,16.0,27.0,18.0,78.0,88.0,24.0,37.0,36.0,21.0
3482,1.0,2.0,7.0,4.0,3.0,10.0,11.0,0.0,8.0,14.0,15.0,5.0,6.0,9.0,12.0,13.0,20.0,19.0,26.0,17.0,70.0,16.0,33.0,29.0,34.0,31.0,21.0,37.0,23.0,25.0
3531,1.0,2.0,11.0,8.0,3.0,6.0,9.0,0.0,7.0,20.0,17.0,10.0,5.0,4.0,13.0,16.0,12.0,21.0,14.0,37.0,15.0,18.0,109.0,35.0,30.0,33.0,31.0,19.0,27.0,23.0
3580,4.0,0.0,14.0,6.0,3.0,2.0,5.0,1.0,7.0,10.0,8.0,9.0,11.0,16.0,26.0,21.0,17.0,25.0,27.0,13.0,19.0,15.0,31.0,28.0,58.0,105.0,20.0,57.0,22.0,18.0
3629,1.0,2.0,6.0,5.0,7.0,10.0,4.0,0.0,3.0,12.0,13.0,14.0,8.0,9.0,24.0,25.0,17.0,23.0,29.0,22.0,81.0,15.0,28.0,16.0,56.0,95.0,19.0,40.0,11.0,27.0
3678,2.0,0.0,13.0,11.0,5.0,6.0,9.0,1.0,3.0,23.0,15.0,8.0,4.0,7.0,12.0,25.0,18.0,17.0,31.0,21.0,24.0,14.0,33.0,28.0,72.0,98.0,10.0,35.0,19.0,16.0
3727,3.0,1.0,10.0,12.0,2.0,7.0,5.0,0.0,4.0,20.0,11.0,8.0,9.0,6.0,13.0,18.0,16.0,45.0,25.0,24.0,21.0,15.0,107.0,14.0,57.0,30.0,19.0,56.0,22.0,26.0
3776,7.0,2.0,11.0,4.0,1.0,9.0,14.0,0.0,5.0,6.0,17.0,8.0,3.0,10.0,12.0,20.0,29.0,13.0,52.0,32.0,22.0,15.0,107.0,28.0,23.0,25.0,30.0,41.0,24.0,21.0
3825,1.0,3.0,8.0,9.0,5.0,6.0,4.0,0.0,2.0,19.0,7.0,10.0,11.0,12.0,26.0,27.0,53.0,21.0,20.0,31.0,16.0,14.0,17.0,24.0,32.0,105.0,18.0,65.0,25.0,23.0
3874,1.0,2.0,11.0,4.0,12.0,7.0,5.0,0.0,3.0,16.0,9.0,13.0,10.0,6.0,8.0,17.0,14.0,20.0,32.0,23.0,27.0,15.0,103.0,19.0,57.0,30.0,24.0,18.0,22.0,77.0
3923,0.0,6.0,1.0,21.0,15.0,20.0,17.0,10.0,22.0,16.0,3.0,11.0,19.0,8.0,7.0,14.0,4.0,9.0,18.0,5.0,12.0,31.0,2.0,13.0,24.0,26.0,68.0,56.0,32.0,83.0
3972,0.0,2.0,1.0,3.0,8.0,7.0,11.0,16.0,6.0,15.0,4.0,9.0,10.0,12.0,20.0,19.0,5.0,13.0,17.0,18.0,14.0,43.0,23.0,21.0,22.0,89.0,24.0,29.0,83.0,25.0
4021,5.0,0.0,3.0,8.0,18.0,9.0,7.0,17.0,6.0,2.0,1.0,10.0,16.0,26.0,24.0,15.0,11.0,14.0,20.0,21.0,4.0,22.0,27.0,13.0,12.0,35.0,62.0,42.0,29.0,31.0
4070,1.0,0.0,4.0,7.0,12.0,16.0,18.0,21.0,6.0,5.0,8.0,2.0,11.0,14.0,3.0,9.0,15.0,10.0,31.0,20.0,13.0,51.0,19.0,17.0,23.0,30.0,22.0,24.0,85.0,29.0
4119,1.0,0.0,2.0,10.0,16.0,19.0,14.0,11.0,3.0,9.0,6.0,13.0,12.0,21.0,18.0,8.0,5.0,15.0,32.0,7.0,4.0,78.0,23.0,17.0,25.0,30.0,26.0,76.0,116.0,35.0
4168,3.0,5.0,0.0,16.0,8.0,24.0,21.0,6.0,11.0,1.0,9.0,2.0,19.0,14.0,20.0,10.0,4.0,18.0,12.0,17.0,13.0,66.0,32.0,25.0,7.0,30.0,64.0,46.0,23.0,29.0
4217,0.0,2.0,4.0,6.0,12.0,10.0,9.0,18.0,13.0,8.0,14.0,17.0,15.0,1.0,5.0,7.0,11.0,3.0,27.0,22.0,16.0,19.0,29.0,30.0,33.0,25.0,24.0,71.0,20.0,23.0
4266,1.0,9.0,0.0,22.0,5.0,15.0,4.0,8.0,12.0,7.0,2.0,3.0,13.0,10.0,16.0,6.0,25.0,17.0,20.0,21.0,11.0,29.0,19.0,18.0,23.0,31.0,27.0,77.0,89.0,26.0
4315,1.0,0.0,2.0,16.0,15.0,10.0,11.0,22.0,12.0,6.0,4.0,7.0,23.0,14.0,13.0,5.0,3.0,8.0,19.0,21.0,9.0,34.0,24.0,29.0,17.0,28.0,20.0,27.0,25.0,77.0
4364,2.0,1.0,3.0,13.0,11.0,8.0,15.0,0.0,7.0,14.0,5.0,6.0,12.0,17.0,9.0,10.0,4.0,18.0,28.0,16.0,20.0,36.0,19.0,23.0,22.0,35.0,26.0,31.0,24.0,21.0
4413,0.0,7.0,1.0,6.0,12.0,2.0,4.0,8.0,11.0,3.0,21.0,27.0,5.0,24.0,10.0,18.0,9.0,20.0,19.0,17.0,15.0,14.0,114.0,22.0,43.0,25.0,26.0,28.0,23.0,50.0
4462,0.0,2.0,1.0,11.0,6.0,3.0,5.0,14.0,9.0,4.0,17.0,30.0,8.0,15.0,12.0,10.0,7.0,13.0,20.0,23.0,18.0,24.0,28.0,16.0,25.0,19.0,58.0,42.0,22.0,29.0
4511,0.0,2.0,4.0,5.0,8.0,11.0,6.0,3.0,7.0,1.0,10.0,27.0,21.0,23.0,12.0,14.0,18.0,25.0,9.0,29.0,13.0,15.0,107.0,30.0,16.0,22.0,28.0,20.0,26.0,77.0
4560,0.0,4.0,3.0,8.0,9.0,1.0,2.0,6.0,14.0,5.0,18.0,31.0,12.0,22.0,7.0,16.0,10.0,19.0,13.0,20.0,28.0,11.0,33.0,30.0,23.0,27.0,24.0,52.0,15.0,32.0
4609,0.0,2.0,1.0,4.0,5.0,8.0,7.0,9.0,10.0,3.0,30.0,28.0,17.0,26.0,11.0,14.0,6.0,23.0,12.0,21.0,16.0,13.0,32.0,22.0,20.0,19.0,18.0,40.0,114.0,27.0
4658,1.0,4.0,0.0,7.0,6.0,3.0,2.0,9.0,11.0,5.0,22.0,31.0,14.0,23.0,8.0,16.0,25.0,18.0,13.0,29.0,17.0,10.0,101.0,12.0,28.0,21.0,75.0,43.0,15.0,19.0
4707,0.0,3.0,1.0,10.0,11.0,4.0,8.0,6.0,18.0,2.0,32.0,27.0,9.0,19.0,7.0,12.0,5.0,14.0,13.0,28.0,24.0,17.0,30.0,20.0,29.0,15.0,25.0,45.0,22.0,23.0
4756,0.0,6.0,1.0,11.0,17.0,7.0,3.0,10.0,8.0,2.0,13.0,51.0,9.0,28.0,4.0,12.0,5.0,21.0,14.0,23.0,20.0,16.0,101.0,15.0,27.0,26.0,25.0,33.0,22.0,38.0
4805,0.0,4.0,1.0,6.0,11.0,2.0,7.0,5.0,9.0,3.0,26.0,24.0,12.0,29.0,8.0,16.0,22.0,10.0,19.0,15.0,25.0,14.0,21.0,17.0,41.0,30.0,20.0,42.0,27.0,81.0
4854,0.0,2.0,1.0,4.0,9.0,6.0,5.0,18.0,7.0,3.0,17.0,39.0,14.0,8.0,11.0,20.0,15.0,21.0,19.0,33.0,22.0,12.0,24.0,16.0,30.0,23.0,54.0,25.0,13.0,50.0
