,NERVOUS,BONE,HAEMATOPOIETIC,OESOPHAGUS,LARGE_INTESTINE,PANCREAS,LUNG,BREAST,SKIN,LIVER,ENDOMETRIUM,STOMACH,OVARY,URINARY,GANGLIA,AERODIGESTIVE,PROSTATE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
2595,1.0,2.0,4.0,0.0,11.0,6.0,9.0,7.0,12.0,10.0,13.0,20.0,8.0,5.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2644,0.0,15.0,1.0,11.0,10.0,2.0,9.0,4.0,3.0,6.0,8.0,20.0,5.0,7.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2693,0.0,14.0,5.0,1.0,4.0,3.0,6.0,10.0,8.0,11.0,7.0,20.0,9.0,19.0,2.0,12.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
2742,0.0,15.0,2.0,1.0,9.0,3.0,4.0,6.0,5.0,8.0,10.0,20.0,7.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2791,0.0,1.0,3.0,2.0,6.0,4.0,5.0,10.0,7.0,11.0,8.0,20.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2840,0.0,1.0,4.0,3.0,6.0,7.0,11.0,5.0,13.0,8.0,12.0,20.0,9.0,10.0,2.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2889,0.0,15.0,3.0,1.0,8.0,5.0,4.0,6.0,9.0,11.0,7.0,20.0,12.0,10.0,2.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2938,1.0,0.0,5.0,2.0,4.0,3.0,11.0,6.0,10.0,8.0,9.0,20.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2987,1.0,15.0,4.0,0.0,5.0,3.0,2.0,7.0,8.0,11.0,9.0,10.0,6.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3036,3.0,1.0,6.0,12.0,5.0,4.0,8.0,9.0,7.0,11.0,21.0,2.0,10.0,20.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,0.0,22.0
3085,1.0,14.0,2.0,0.0,5.0,3.0,4.0,6.0,9.0,7.0,12.0,20.0,8.0,19.0,10.0,11.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
3134,1.0,14.0,2.0,0.0,5.0,4.0,8.0,7.0,9.0,6.0,10.0,20.0,3.0,19.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
3183,0.0,15.0,3.0,11.0,1.0,4.0,2.0,5.0,10.0,6.0,8.0,9.0,7.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3232,0.0,15.0,2.0,11.0,7.0,8.0,1.0,4.0,6.0,3.0,9.0,10.0,5.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3281,2.0,15.0,5.0,11.0,4.0,3.0,6.0,8.0,9.0,10.0,21.0,1.0,7.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,0.0,22.0
3330,2.0,1.0,5.0,12.0,4.0,3.0,7.0,9.0,10.0,11.0,6.0,20.0,8.0,19.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,0.0,22.0
3379,0.0,2.0,4.0,12.0,3.0,5.0,7.0,9.0,11.0,8.0,21.0,6.0,10.0,20.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,22.0
3428,1.0,15.0,2.0,0.0,8.0,7.0,5.0,3.0,9.0,4.0,10.0,11.0,6.0,20.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3477,0.0,1.0,3.0,16.0,7.0,2.0,11.0,4.0,12.0,13.0,10.0,5.0,9.0,8.0,15.0,14.0,17.0,21.0,18.0,19.0,20.0,6.0,22.0
3526,0.0,1.0,2.0,13.0,5.0,3.0,7.0,4.0,8.0,11.0,12.0,6.0,9.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,0.0,1.0,3.0,12.0,7.0,2.0,5.0,4.0,10.0,8.0,9.0,20.0,11.0,6.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3624,0.0,2.0,3.0,15.0,4.0,5.0,12.0,7.0,10.0,9.0,8.0,6.0,13.0,11.0,14.0,16.0,17.0,21.0,18.0,19.0,20.0,1.0,22.0
3673,1.0,0.0,2.0,13.0,7.0,4.0,3.0,5.0,8.0,6.0,9.0,20.0,10.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,11.0,22.0
3722,0.0,1.0,4.0,14.0,5.0,3.0,2.0,7.0,13.0,6.0,10.0,8.0,12.0,11.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,9.0,22.0
3771,1.0,2.0,5.0,13.0,3.0,4.0,6.0,7.0,11.0,8.0,12.0,0.0,10.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,0.0,1.0,2.0,13.0,4.0,3.0,8.0,12.0,6.0,9.0,10.0,20.0,7.0,11.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,5.0,22.0
3869,1.0,2.0,3.0,0.0,11.0,5.0,4.0,6.0,12.0,14.0,7.0,10.0,13.0,9.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,8.0,22.0
3918,2.0,15.0,5.0,0.0,3.0,4.0,7.0,12.0,6.0,9.0,10.0,8.0,11.0,20.0,1.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3967,0.0,16.0,2.0,1.0,3.0,5.0,10.0,12.0,9.0,4.0,11.0,8.0,7.0,6.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,2.0,0.0,6.0,3.0,4.0,5.0,9.0,11.0,13.0,10.0,12.0,8.0,7.0,1.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,1.0,16.0,5.0,2.0,3.0,4.0,7.0,10.0,8.0,9.0,21.0,0.0,11.0,6.0,12.0,13.0,14.0,17.0,18.0,19.0,20.0,15.0,22.0
4114,0.0,14.0,3.0,10.0,1.0,2.0,8.0,7.0,6.0,9.0,4.0,20.0,5.0,19.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
4163,1.0,0.0,3.0,12.0,5.0,4.0,8.0,6.0,7.0,2.0,21.0,9.0,11.0,10.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
4212,2.0,0.0,4.0,1.0,3.0,6.0,10.0,7.0,8.0,9.0,13.0,20.0,5.0,19.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,21.0,22.0
4261,0.0,16.0,1.0,12.0,3.0,2.0,5.0,10.0,11.0,4.0,6.0,8.0,9.0,7.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,2.0,0.0,4.0,1.0,3.0,5.0,10.0,8.0,11.0,6.0,9.0,7.0,12.0,20.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4359,2.0,1.0,4.0,3.0,0.0,5.0,8.0,9.0,6.0,11.0,10.0,20.0,12.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4408,3.0,0.0,7.0,5.0,4.0,6.0,8.0,12.0,11.0,10.0,21.0,2.0,9.0,1.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
4457,4.0,2.0,5.0,3.0,0.0,9.0,8.0,7.0,11.0,10.0,6.0,20.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,1.0,22.0
4506,2.0,0.0,5.0,1.0,3.0,10.0,4.0,8.0,7.0,6.0,21.0,20.0,9.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,15.0,22.0
4555,1.0,3.0,4.0,0.0,5.0,11.0,10.0,6.0,7.0,8.0,2.0,20.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4604,2.0,0.0,6.0,1.0,3.0,7.0,4.0,10.0,5.0,8.0,9.0,20.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4653,2.0,1.0,7.0,3.0,4.0,8.0,5.0,10.0,9.0,12.0,6.0,20.0,11.0,19.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,0.0,22.0
4702,2.0,1.0,3.0,13.0,4.0,11.0,7.0,8.0,10.0,9.0,6.0,20.0,5.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,0.0,22.0
4751,2.0,15.0,4.0,0.0,3.0,7.0,5.0,8.0,6.0,9.0,1.0,20.0,11.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4800,0.0,1.0,4.0,2.0,9.0,6.0,5.0,11.0,8.0,7.0,10.0,20.0,3.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4849,1.0,0.0,3.0,12.0,2.0,5.0,7.0,4.0,9.0,8.0,6.0,20.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4898,1.0,0.0,5.0,2.0,3.0,4.0,6.0,9.0,10.0,8.0,7.0,20.0,11.0,19.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,21.0,22.0
