,alpha-glycerophosphate,pantothenate,C34:2 DAG,phosphocreatine,niacinamide,serine,DHAP/glyceraldehyde 3P,putrescine,C16:0 LPE,valerylcarnitine,adenosine,oxalate,uracil,5-HIAA,C56:5 TAG,cystathionine,uridine,beta-alanine,creatine,alpha-glycerophosphocholine,PEP,urate,cotinine,taurodeoxycholate,acetylcholine,UMP,isocitrate,alpha-hydroxybutyrate,creatinine,butyrylcarnitine/isobutyrylcarnitine
855,2.0,4.0,1.0,0.0,3.0,5.0,10.0,21.0,12.0,24.0,8.0,9.0,20.0,26.0,17.0,18.0,25.0,7.0,6.0,13.0,11.0,28.0,19.0,14.0,37.0,40.0,31.0,35.0,23.0,16.0
904,0.0,11.0,2.0,1.0,6.0,14.0,4.0,20.0,3.0,7.0,31.0,8.0,5.0,27.0,34.0,12.0,17.0,9.0,29.0,23.0,10.0,22.0,33.0,13.0,15.0,38.0,39.0,26.0,25.0,28.0
953,0.0,2.0,10.0,9.0,7.0,14.0,6.0,17.0,1.0,18.0,8.0,3.0,22.0,23.0,20.0,31.0,11.0,4.0,12.0,32.0,25.0,45.0,24.0,16.0,38.0,26.0,27.0,21.0,30.0,5.0
1002,0.0,1.0,3.0,2.0,11.0,19.0,15.0,6.0,4.0,20.0,12.0,14.0,18.0,8.0,38.0,16.0,28.0,37.0,7.0,22.0,13.0,9.0,17.0,33.0,32.0,40.0,36.0,34.0,48.0,42.0
1051,7.0,2.0,4.0,1.0,6.0,9.0,11.0,3.0,0.0,24.0,5.0,22.0,18.0,12.0,10.0,8.0,14.0,43.0,31.0,16.0,13.0,38.0,48.0,29.0,23.0,19.0,30.0,27.0,20.0,44.0
1100,0.0,2.0,5.0,6.0,10.0,3.0,7.0,13.0,1.0,12.0,4.0,18.0,19.0,24.0,16.0,8.0,9.0,32.0,29.0,14.0,15.0,11.0,35.0,26.0,30.0,23.0,28.0,53.0,42.0,45.0
1149,0.0,5.0,8.0,1.0,6.0,7.0,9.0,4.0,2.0,23.0,3.0,18.0,15.0,19.0,17.0,14.0,25.0,44.0,27.0,22.0,31.0,16.0,41.0,29.0,21.0,28.0,10.0,32.0,39.0,42.0
1198,0.0,2.0,1.0,6.0,7.0,9.0,4.0,24.0,3.0,26.0,5.0,15.0,11.0,35.0,12.0,8.0,16.0,20.0,18.0,17.0,21.0,10.0,32.0,30.0,33.0,25.0,14.0,23.0,40.0,49.0
1247,1.0,0.0,4.0,3.0,9.0,2.0,17.0,8.0,13.0,10.0,14.0,6.0,21.0,7.0,25.0,5.0,15.0,11.0,26.0,18.0,38.0,12.0,27.0,23.0,22.0,42.0,35.0,37.0,29.0,58.0
1296,0.0,1.0,2.0,12.0,9.0,8.0,15.0,10.0,3.0,34.0,6.0,24.0,19.0,36.0,17.0,4.0,11.0,26.0,21.0,29.0,31.0,7.0,33.0,30.0,16.0,25.0,35.0,22.0,32.0,42.0
1345,0.0,4.0,2.0,5.0,7.0,9.0,14.0,8.0,1.0,18.0,11.0,6.0,21.0,27.0,41.0,3.0,10.0,23.0,22.0,15.0,35.0,12.0,47.0,38.0,28.0,37.0,24.0,25.0,20.0,58.0
1394,0.0,3.0,1.0,4.0,17.0,12.0,5.0,8.0,2.0,13.0,20.0,14.0,9.0,26.0,16.0,6.0,10.0,33.0,18.0,24.0,15.0,22.0,36.0,11.0,19.0,30.0,21.0,35.0,31.0,47.0
1443,0.0,1.0,16.0,4.0,8.0,3.0,9.0,6.0,7.0,13.0,15.0,11.0,12.0,30.0,10.0,5.0,2.0,24.0,27.0,26.0,19.0,14.0,34.0,23.0,31.0,40.0,20.0,33.0,35.0,28.0
1492,2.0,0.0,9.0,7.0,1.0,14.0,17.0,4.0,3.0,11.0,6.0,15.0,16.0,30.0,18.0,5.0,26.0,12.0,8.0,21.0,23.0,38.0,13.0,32.0,28.0,20.0,25.0,34.0,22.0,24.0
1541,10.0,0.0,8.0,1.0,7.0,23.0,16.0,2.0,9.0,13.0,5.0,29.0,27.0,11.0,20.0,24.0,44.0,22.0,4.0,14.0,35.0,37.0,3.0,28.0,15.0,19.0,21.0,36.0,6.0,17.0
1590,1.0,0.0,21.0,5.0,4.0,7.0,3.0,6.0,15.0,26.0,2.0,8.0,25.0,30.0,12.0,13.0,24.0,9.0,20.0,27.0,16.0,14.0,22.0,42.0,23.0,19.0,11.0,43.0,18.0,28.0
1639,1.0,0.0,9.0,2.0,7.0,25.0,6.0,4.0,8.0,15.0,24.0,17.0,11.0,40.0,13.0,10.0,26.0,16.0,20.0,27.0,30.0,35.0,12.0,38.0,21.0,3.0,5.0,29.0,19.0,18.0
1688,1.0,2.0,0.0,3.0,5.0,18.0,14.0,4.0,19.0,9.0,6.0,21.0,11.0,12.0,8.0,15.0,22.0,10.0,31.0,23.0,20.0,41.0,30.0,26.0,40.0,36.0,16.0,34.0,13.0,7.0
1737,0.0,1.0,7.0,8.0,2.0,15.0,4.0,3.0,22.0,6.0,12.0,17.0,29.0,11.0,25.0,23.0,36.0,19.0,10.0,32.0,27.0,9.0,5.0,30.0,31.0,24.0,16.0,28.0,13.0,18.0
1786,2.0,0.0,17.0,5.0,7.0,10.0,9.0,1.0,8.0,3.0,13.0,14.0,28.0,21.0,24.0,18.0,22.0,16.0,25.0,20.0,27.0,31.0,12.0,34.0,11.0,15.0,6.0,30.0,4.0,38.0
1835,16.0,0.0,4.0,12.0,1.0,28.0,19.0,2.0,9.0,17.0,3.0,23.0,10.0,20.0,7.0,11.0,24.0,5.0,21.0,26.0,22.0,29.0,15.0,40.0,30.0,33.0,8.0,25.0,6.0,13.0
1884,5.0,0.0,2.0,6.0,1.0,14.0,10.0,3.0,15.0,27.0,9.0,24.0,21.0,16.0,26.0,4.0,12.0,17.0,13.0,37.0,35.0,23.0,8.0,41.0,25.0,11.0,7.0,30.0,18.0,19.0
1933,3.0,0.0,4.0,5.0,16.0,1.0,9.0,2.0,6.0,18.0,15.0,7.0,10.0,30.0,12.0,17.0,53.0,11.0,21.0,32.0,31.0,36.0,8.0,41.0,13.0,40.0,20.0,19.0,26.0,34.0
1982,2.0,0.0,1.0,5.0,3.0,6.0,9.0,4.0,29.0,20.0,7.0,11.0,15.0,8.0,14.0,10.0,17.0,28.0,32.0,44.0,21.0,13.0,24.0,33.0,43.0,19.0,23.0,36.0,12.0,22.0
2031,3.0,0.0,8.0,4.0,1.0,5.0,2.0,14.0,15.0,9.0,45.0,6.0,7.0,10.0,16.0,28.0,13.0,47.0,23.0,11.0,12.0,22.0,36.0,18.0,29.0,17.0,30.0,32.0,26.0,51.0
2080,0.0,2.0,3.0,5.0,1.0,6.0,7.0,16.0,11.0,4.0,27.0,9.0,26.0,15.0,34.0,28.0,12.0,19.0,20.0,10.0,8.0,36.0,22.0,13.0,21.0,32.0,38.0,30.0,18.0,25.0
2129,0.0,4.0,3.0,14.0,6.0,8.0,12.0,23.0,29.0,2.0,11.0,13.0,18.0,1.0,38.0,31.0,20.0,35.0,10.0,26.0,15.0,32.0,5.0,22.0,19.0,45.0,43.0,9.0,25.0,17.0
2178,5.0,1.0,4.0,0.0,3.0,15.0,11.0,9.0,14.0,6.0,31.0,2.0,18.0,8.0,34.0,17.0,23.0,37.0,42.0,32.0,7.0,57.0,29.0,16.0,21.0,22.0,38.0,26.0,20.0,45.0
2227,1.0,4.0,15.0,0.0,3.0,5.0,2.0,8.0,24.0,7.0,26.0,12.0,10.0,6.0,18.0,16.0,17.0,33.0,23.0,13.0,9.0,30.0,20.0,11.0,19.0,22.0,47.0,38.0,14.0,35.0
2276,2.0,5.0,4.0,0.0,1.0,3.0,7.0,16.0,11.0,10.0,21.0,6.0,22.0,31.0,12.0,18.0,13.0,17.0,29.0,9.0,14.0,25.0,48.0,20.0,28.0,23.0,15.0,34.0,38.0,41.0
2325,3.0,1.0,9.0,0.0,6.0,2.0,4.0,8.0,21.0,5.0,16.0,15.0,13.0,10.0,14.0,17.0,23.0,18.0,43.0,12.0,7.0,11.0,22.0,32.0,44.0,19.0,38.0,48.0,30.0,20.0
2374,1.0,7.0,5.0,3.0,0.0,2.0,6.0,16.0,20.0,8.0,19.0,13.0,10.0,4.0,27.0,26.0,12.0,14.0,11.0,21.0,17.0,35.0,18.0,32.0,55.0,24.0,39.0,30.0,29.0,41.0
2423,1.0,6.0,11.0,0.0,2.0,3.0,5.0,17.0,8.0,4.0,19.0,9.0,30.0,7.0,14.0,13.0,10.0,38.0,12.0,32.0,16.0,22.0,20.0,29.0,18.0,25.0,26.0,24.0,15.0,36.0
2472,1.0,0.0,6.0,7.0,4.0,2.0,12.0,5.0,17.0,16.0,28.0,9.0,14.0,18.0,26.0,36.0,19.0,24.0,8.0,29.0,30.0,22.0,11.0,3.0,38.0,15.0,57.0,13.0,34.0,25.0
2521,3.0,0.0,18.0,10.0,9.0,4.0,5.0,1.0,11.0,12.0,21.0,7.0,8.0,23.0,24.0,42.0,16.0,35.0,20.0,19.0,34.0,17.0,2.0,6.0,49.0,13.0,52.0,27.0,31.0,28.0
2570,1.0,0.0,24.0,12.0,4.0,2.0,15.0,7.0,5.0,11.0,22.0,6.0,8.0,28.0,21.0,25.0,3.0,18.0,14.0,26.0,38.0,34.0,13.0,10.0,33.0,17.0,63.0,9.0,36.0,46.0
2619,2.0,0.0,16.0,1.0,9.0,3.0,11.0,6.0,4.0,24.0,7.0,15.0,20.0,25.0,28.0,33.0,23.0,37.0,12.0,18.0,29.0,22.0,10.0,5.0,32.0,14.0,58.0,8.0,34.0,31.0
2668,1.0,0.0,11.0,5.0,2.0,3.0,18.0,6.0,4.0,12.0,15.0,10.0,16.0,9.0,27.0,32.0,14.0,20.0,8.0,29.0,25.0,30.0,7.0,13.0,38.0,17.0,62.0,22.0,31.0,24.0
2717,2.0,0.0,5.0,9.0,3.0,1.0,10.0,13.0,4.0,14.0,16.0,6.0,17.0,15.0,26.0,34.0,7.0,41.0,12.0,35.0,18.0,19.0,11.0,8.0,33.0,29.0,63.0,21.0,20.0,36.0
2766,0.0,3.0,18.0,7.0,6.0,4.0,16.0,8.0,11.0,2.0,19.0,12.0,5.0,25.0,23.0,39.0,27.0,31.0,10.0,35.0,29.0,15.0,9.0,1.0,24.0,20.0,55.0,17.0,30.0,40.0
2815,3.0,0.0,30.0,2.0,6.0,1.0,10.0,5.0,7.0,12.0,20.0,13.0,16.0,21.0,37.0,39.0,11.0,22.0,14.0,18.0,24.0,17.0,15.0,4.0,29.0,23.0,43.0,8.0,25.0,36.0
2864,1.0,0.0,15.0,6.0,9.0,3.0,21.0,5.0,10.0,14.0,16.0,8.0,7.0,26.0,32.0,44.0,22.0,20.0,2.0,17.0,36.0,43.0,11.0,4.0,25.0,19.0,55.0,12.0,31.0,37.0
2913,0.0,1.0,26.0,4.0,7.0,5.0,17.0,6.0,3.0,11.0,10.0,12.0,15.0,28.0,24.0,36.0,16.0,30.0,13.0,20.0,29.0,23.0,9.0,2.0,22.0,14.0,52.0,18.0,39.0,31.0
2962,1.0,3.0,0.0,2.0,14.0,11.0,5.0,17.0,25.0,24.0,38.0,26.0,6.0,8.0,4.0,7.0,23.0,13.0,18.0,21.0,49.0,37.0,30.0,28.0,15.0,35.0,12.0,19.0,22.0,46.0
3011,0.0,2.0,1.0,5.0,12.0,8.0,9.0,6.0,37.0,10.0,7.0,31.0,24.0,3.0,4.0,20.0,27.0,13.0,29.0,15.0,40.0,18.0,22.0,33.0,16.0,51.0,11.0,28.0,25.0,42.0
3060,0.0,3.0,1.0,2.0,8.0,9.0,7.0,5.0,16.0,21.0,14.0,18.0,10.0,6.0,4.0,12.0,28.0,11.0,38.0,31.0,45.0,30.0,20.0,25.0,32.0,40.0,26.0,19.0,37.0,13.0
3109,0.0,3.0,4.0,1.0,9.0,7.0,6.0,8.0,26.0,39.0,15.0,14.0,13.0,2.0,22.0,5.0,34.0,11.0,40.0,29.0,43.0,19.0,12.0,24.0,46.0,16.0,25.0,31.0,21.0,47.0
3158,2.0,1.0,5.0,0.0,4.0,9.0,3.0,6.0,12.0,24.0,13.0,20.0,26.0,7.0,8.0,23.0,29.0,18.0,30.0,15.0,53.0,38.0,32.0,10.0,25.0,21.0,17.0,16.0,14.0,37.0
3207,2.0,0.0,1.0,4.0,8.0,7.0,11.0,5.0,14.0,25.0,32.0,10.0,15.0,13.0,3.0,24.0,28.0,16.0,9.0,21.0,39.0,30.0,6.0,12.0,22.0,29.0,35.0,27.0,36.0,47.0
3256,0.0,4.0,1.0,5.0,12.0,8.0,10.0,2.0,18.0,34.0,14.0,16.0,30.0,9.0,3.0,19.0,37.0,11.0,28.0,15.0,38.0,29.0,17.0,31.0,22.0,21.0,6.0,33.0,36.0,24.0
3305,1.0,0.0,3.0,6.0,7.0,2.0,5.0,9.0,12.0,28.0,11.0,20.0,34.0,15.0,4.0,22.0,19.0,13.0,21.0,24.0,50.0,8.0,17.0,25.0,35.0,37.0,16.0,27.0,29.0,23.0
3354,0.0,1.0,3.0,2.0,6.0,10.0,12.0,4.0,34.0,22.0,28.0,11.0,25.0,8.0,7.0,18.0,19.0,16.0,50.0,14.0,46.0,20.0,5.0,32.0,17.0,30.0,15.0,27.0,21.0,31.0
3403,0.0,5.0,1.0,3.0,8.0,2.0,7.0,6.0,45.0,20.0,11.0,14.0,32.0,18.0,4.0,15.0,17.0,25.0,38.0,28.0,35.0,21.0,27.0,30.0,36.0,31.0,13.0,10.0,19.0,23.0
3452,0.0,1.0,4.0,12.0,2.0,3.0,7.0,5.0,14.0,8.0,9.0,20.0,15.0,19.0,6.0,35.0,21.0,17.0,24.0,23.0,11.0,10.0,32.0,28.0,13.0,16.0,34.0,38.0,18.0,36.0
3501,0.0,1.0,4.0,6.0,10.0,3.0,2.0,7.0,17.0,12.0,18.0,5.0,9.0,16.0,23.0,21.0,19.0,22.0,11.0,24.0,20.0,15.0,38.0,40.0,14.0,25.0,8.0,27.0,31.0,45.0
3550,0.0,1.0,2.0,6.0,4.0,3.0,5.0,26.0,19.0,15.0,24.0,7.0,9.0,10.0,8.0,12.0,13.0,38.0,14.0,18.0,21.0,11.0,25.0,22.0,17.0,29.0,53.0,41.0,30.0,16.0
3599,0.0,1.0,2.0,4.0,7.0,3.0,13.0,5.0,6.0,20.0,8.0,12.0,9.0,16.0,15.0,27.0,23.0,17.0,11.0,18.0,14.0,10.0,34.0,22.0,24.0,19.0,36.0,45.0,32.0,25.0
3648,0.0,2.0,1.0,8.0,3.0,6.0,7.0,9.0,5.0,20.0,31.0,19.0,11.0,13.0,4.0,32.0,10.0,30.0,24.0,36.0,12.0,26.0,27.0,16.0,23.0,14.0,29.0,28.0,22.0,15.0
3697,0.0,1.0,4.0,3.0,5.0,2.0,8.0,7.0,17.0,12.0,14.0,15.0,9.0,13.0,11.0,32.0,18.0,30.0,10.0,25.0,27.0,19.0,40.0,23.0,6.0,22.0,16.0,26.0,20.0,24.0
3746,0.0,1.0,2.0,7.0,3.0,6.0,9.0,10.0,11.0,24.0,21.0,5.0,8.0,12.0,15.0,25.0,16.0,29.0,22.0,19.0,14.0,4.0,27.0,13.0,20.0,30.0,18.0,32.0,31.0,28.0
3795,0.0,2.0,3.0,6.0,4.0,1.0,7.0,14.0,11.0,8.0,21.0,5.0,10.0,18.0,12.0,23.0,19.0,28.0,15.0,36.0,13.0,16.0,31.0,25.0,9.0,32.0,51.0,43.0,20.0,50.0
3844,1.0,0.0,2.0,4.0,6.0,3.0,10.0,7.0,23.0,17.0,12.0,9.0,8.0,16.0,5.0,26.0,24.0,30.0,14.0,18.0,13.0,11.0,32.0,20.0,19.0,15.0,46.0,38.0,29.0,28.0
3893,0.0,1.0,5.0,10.0,9.0,4.0,13.0,6.0,7.0,21.0,12.0,8.0,3.0,17.0,14.0,19.0,11.0,24.0,2.0,33.0,28.0,18.0,31.0,15.0,20.0,23.0,60.0,39.0,16.0,27.0
3942,2.0,0.0,7.0,4.0,8.0,3.0,1.0,5.0,6.0,11.0,20.0,14.0,30.0,21.0,13.0,15.0,16.0,12.0,31.0,28.0,10.0,17.0,23.0,26.0,18.0,40.0,36.0,41.0,39.0,38.0
3991,8.0,1.0,26.0,11.0,0.0,3.0,5.0,6.0,2.0,19.0,4.0,7.0,38.0,15.0,22.0,16.0,10.0,9.0,12.0,32.0,31.0,14.0,39.0,13.0,35.0,27.0,47.0,20.0,28.0,30.0
4040,0.0,2.0,10.0,14.0,4.0,1.0,6.0,11.0,15.0,16.0,8.0,9.0,44.0,13.0,29.0,12.0,5.0,21.0,25.0,22.0,37.0,18.0,19.0,24.0,39.0,28.0,20.0,35.0,34.0,31.0
4089,0.0,11.0,1.0,8.0,3.0,4.0,2.0,15.0,6.0,16.0,7.0,10.0,28.0,17.0,18.0,13.0,9.0,5.0,20.0,31.0,26.0,12.0,24.0,23.0,40.0,33.0,19.0,42.0,43.0,14.0
4138,3.0,0.0,13.0,9.0,6.0,1.0,2.0,8.0,4.0,23.0,24.0,5.0,33.0,14.0,18.0,10.0,7.0,15.0,16.0,30.0,19.0,17.0,26.0,11.0,34.0,28.0,12.0,46.0,32.0,47.0
4187,2.0,3.0,5.0,11.0,13.0,0.0,1.0,9.0,7.0,8.0,10.0,6.0,43.0,21.0,15.0,25.0,17.0,4.0,30.0,39.0,22.0,14.0,20.0,29.0,26.0,35.0,16.0,38.0,34.0,12.0
4236,3.0,7.0,5.0,8.0,0.0,2.0,21.0,13.0,1.0,12.0,9.0,11.0,26.0,6.0,18.0,16.0,19.0,4.0,17.0,14.0,15.0,10.0,22.0,24.0,44.0,37.0,20.0,35.0,32.0,42.0
4285,1.0,2.0,15.0,7.0,5.0,0.0,3.0,6.0,11.0,12.0,18.0,10.0,37.0,23.0,22.0,8.0,4.0,9.0,27.0,31.0,21.0,24.0,17.0,16.0,30.0,28.0,13.0,38.0,33.0,19.0
4334,0.0,4.0,17.0,3.0,5.0,1.0,2.0,13.0,7.0,8.0,9.0,11.0,37.0,27.0,15.0,12.0,6.0,14.0,35.0,41.0,10.0,20.0,40.0,16.0,22.0,42.0,23.0,21.0,26.0,25.0
4383,2.0,6.0,5.0,7.0,4.0,0.0,11.0,8.0,3.0,18.0,1.0,9.0,45.0,25.0,28.0,19.0,10.0,15.0,16.0,17.0,22.0,13.0,26.0,21.0,20.0,46.0,24.0,29.0,39.0,27.0
4432,0.0,1.0,9.0,2.0,5.0,10.0,4.0,15.0,14.0,3.0,8.0,31.0,35.0,13.0,11.0,18.0,7.0,29.0,38.0,21.0,12.0,24.0,20.0,26.0,6.0,32.0,25.0,17.0,30.0,28.0
4481,0.0,2.0,6.0,5.0,1.0,8.0,10.0,12.0,39.0,9.0,3.0,23.0,24.0,4.0,11.0,19.0,14.0,29.0,25.0,13.0,7.0,22.0,27.0,20.0,16.0,35.0,26.0,17.0,15.0,41.0
4530,3.0,0.0,16.0,1.0,2.0,7.0,4.0,13.0,8.0,18.0,5.0,6.0,34.0,25.0,20.0,15.0,9.0,35.0,12.0,21.0,10.0,22.0,11.0,17.0,14.0,27.0,30.0,24.0,36.0,19.0
4579,0.0,1.0,6.0,7.0,4.0,16.0,3.0,10.0,17.0,11.0,5.0,30.0,29.0,2.0,13.0,33.0,22.0,26.0,8.0,19.0,12.0,36.0,15.0,18.0,14.0,35.0,28.0,31.0,21.0,24.0
4628,0.0,2.0,14.0,1.0,6.0,8.0,5.0,12.0,18.0,4.0,3.0,28.0,29.0,10.0,9.0,17.0,21.0,13.0,30.0,25.0,11.0,19.0,22.0,31.0,7.0,36.0,23.0,16.0,24.0,32.0
4677,1.0,3.0,12.0,2.0,4.0,14.0,6.0,10.0,9.0,0.0,5.0,31.0,19.0,18.0,27.0,17.0,8.0,28.0,34.0,38.0,22.0,15.0,11.0,30.0,7.0,45.0,23.0,13.0,21.0,24.0
4726,0.0,2.0,13.0,1.0,3.0,11.0,5.0,10.0,23.0,8.0,6.0,22.0,25.0,7.0,31.0,15.0,38.0,37.0,24.0,19.0,14.0,21.0,12.0,17.0,4.0,18.0,29.0,9.0,16.0,32.0
4775,1.0,8.0,4.0,3.0,12.0,13.0,7.0,22.0,11.0,2.0,0.0,25.0,15.0,5.0,18.0,28.0,36.0,35.0,26.0,19.0,20.0,6.0,16.0,27.0,9.0,33.0,38.0,21.0,24.0,14.0
4824,0.0,4.0,10.0,9.0,15.0,12.0,25.0,18.0,33.0,1.0,2.0,19.0,26.0,8.0,27.0,11.0,31.0,22.0,24.0,21.0,17.0,13.0,5.0,23.0,7.0,35.0,3.0,6.0,28.0,14.0
4873,0.0,2.0,1.0,7.0,3.0,19.0,4.0,11.0,10.0,5.0,9.0,32.0,8.0,16.0,13.0,17.0,25.0,22.0,28.0,27.0,18.0,21.0,15.0,30.0,29.0,23.0,6.0,14.0,20.0,36.0
