,hsa-miR-142-5p,hsa-let-7e,hsa-miR-216a,hsa-miR-24,hsa-miR-222,hsa-miR-21,hsa-miR-22,hsa-miR-31,hsa-miR-574-5p,hsa-miR-92a,hsa-miR-130a,hsa-miR-150,hsa-let-7i,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-766,hsa-miR-30a,hsa-miR-663,hsa-let-7a,hsa-miR-320d,hsa-miR-224,hsa-miR-10a,hsa-miR-223,hsa-miR-151-3p,hsa-miR-218,hsa-miR-508-5p,hsa-miR-137,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-193a-5p,hsa-miR-210
508,0.0,1.0,3.0,4.0,12.0,5.0,9.0,8.0,11.0,30.0,15.0,36.0,22.0,70.0,17.0,2.0,25.0,18.0,56.0,14.0,24.0,6.0,23.0,7.0,32.0,26.0,28.0,29.0,31.0,10.0
557,0.0,1.0,2.0,4.0,7.0,6.0,3.0,11.0,9.0,17.0,8.0,10.0,38.0,35.0,23.0,5.0,39.0,18.0,16.0,13.0,15.0,19.0,70.0,14.0,28.0,67.0,106.0,29.0,94.0,31.0
606,0.0,1.0,3.0,5.0,2.0,6.0,9.0,15.0,11.0,7.0,19.0,13.0,22.0,14.0,91.0,4.0,28.0,54.0,27.0,66.0,24.0,17.0,64.0,8.0,39.0,41.0,67.0,53.0,23.0,32.0
655,0.0,1.0,5.0,3.0,11.0,8.0,6.0,2.0,4.0,9.0,12.0,10.0,32.0,13.0,20.0,14.0,15.0,40.0,27.0,22.0,17.0,36.0,16.0,7.0,198.0,210.0,28.0,37.0,41.0,49.0
704,1.0,0.0,2.0,3.0,4.0,6.0,5.0,10.0,19.0,30.0,13.0,23.0,265.0,24.0,15.0,9.0,21.0,22.0,18.0,47.0,31.0,36.0,17.0,8.0,33.0,12.0,37.0,29.0,7.0,65.0
753,0.0,1.0,3.0,5.0,2.0,4.0,9.0,12.0,11.0,25.0,10.0,7.0,19.0,67.0,17.0,6.0,16.0,111.0,44.0,21.0,99.0,15.0,76.0,8.0,82.0,48.0,54.0,141.0,14.0,65.0
802,0.0,1.0,3.0,4.0,2.0,9.0,5.0,8.0,11.0,22.0,14.0,20.0,33.0,10.0,12.0,7.0,55.0,32.0,75.0,18.0,76.0,13.0,21.0,6.0,194.0,314.0,38.0,112.0,23.0,83.0
851,0.0,1.0,2.0,4.0,3.0,15.0,18.0,21.0,34.0,9.0,8.0,14.0,5.0,10.0,68.0,7.0,77.0,16.0,6.0,29.0,13.0,25.0,90.0,11.0,52.0,74.0,12.0,31.0,17.0,22.0
900,0.0,2.0,3.0,5.0,1.0,4.0,6.0,7.0,10.0,8.0,9.0,18.0,147.0,52.0,12.0,20.0,27.0,14.0,22.0,169.0,41.0,49.0,30.0,16.0,47.0,40.0,60.0,21.0,13.0,126.0
949,0.0,1.0,2.0,4.0,13.0,6.0,9.0,3.0,5.0,15.0,7.0,8.0,41.0,24.0,20.0,19.0,31.0,74.0,25.0,52.0,14.0,10.0,32.0,12.0,43.0,116.0,27.0,21.0,18.0,118.0
998,0.0,2.0,3.0,5.0,1.0,4.0,7.0,10.0,22.0,97.0,339.0,36.0,28.0,9.0,8.0,17.0,37.0,6.0,12.0,26.0,11.0,121.0,85.0,113.0,14.0,171.0,139.0,30.0,24.0,158.0
1047,0.0,1.0,11.0,5.0,2.0,3.0,6.0,4.0,13.0,25.0,32.0,40.0,22.0,23.0,59.0,12.0,65.0,15.0,26.0,20.0,7.0,30.0,24.0,31.0,17.0,239.0,34.0,10.0,29.0,14.0
1096,1.0,0.0,19.0,4.0,2.0,3.0,6.0,15.0,16.0,17.0,13.0,12.0,5.0,8.0,37.0,11.0,23.0,84.0,26.0,25.0,7.0,33.0,30.0,41.0,36.0,230.0,21.0,50.0,335.0,20.0
