,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,GOLGA8A_DEL,SIRPB1_AMP,HLA-DQB1_DEL,KIAA1217_DEL,FAM35B_DEL,SORD_AMP,LINC00221_DEL,FFAR3_DEL,UNC13C_MUT,CFHR3_AMP,LOC728377_AMP,OR2A7_AMP,WRN_MUT,MIR1233-2_DEL,NRAS_MUT,FAM21A_DEL,MIR1233-1_DEL,ARHGEF5_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,ATG10_DEL,USP17L4_AMP,ZNF423_MUT,DOCK10_AMP
519,0.0,1.0,2.0,17.0,12.0,7.0,6.0,22.0,10.0,887.0,18.0,9.0,227.0,150.0,19.0,4.0,223.0,224.0,428.0,15.0,194.0,20.0,14.0,85.0,44.0,43.0,86.0,92.0,63.0,16.0
568,0.0,1.0,11.0,19.0,20.0,8.0,9.0,52.0,6.0,86.0,32.0,3.0,501.0,954.0,28.0,2.0,599.0,598.0,389.0,31.0,83.0,26.0,30.0,38.0,352.0,354.0,22.0,29.0,65.0,15.0
617,0.0,1.0,3.0,18.0,9.0,21.0,2.0,111.0,27.0,102.0,52.0,4.0,748.0,63.0,14.0,10.0,539.0,540.0,14124.0,5.0,66.0,20.0,6.0,100.0,72.0,74.0,114.0,30.0,141.0,22.0
666,0.0,1.0,2.0,45.0,29.0,4.0,3.0,11.0,17.0,52.0,31.0,12.0,156.0,284.0,34.0,5.0,1060.0,1061.0,194.0,20.0,149.0,42.0,21.0,108.0,86.0,89.0,74.0,54.0,51.0,8.0
715,0.0,1.0,21.0,12.0,7.0,3.0,17.0,24.0,98.0,1468.0,491.0,37.0,145.0,481.0,6.0,2.0,44.0,45.0,1721.0,67.0,97.0,22.0,66.0,48.0,55.0,56.0,34.0,246.0,28.0,9.0
764,0.0,1.0,4.0,17.0,13.0,2.0,3.0,20.0,11.0,21.0,9.0,7.0,88.0,315.0,8.0,15.0,557.0,558.0,251.0,28.0,107.0,24.0,27.0,74.0,169.0,172.0,186.0,23.0,53.0,14.0
813,0.0,1.0,2.0,96.0,74.0,3.0,5.0,8.0,6.0,423.0,22.0,12.0,105.0,167.0,11.0,7.0,500.0,499.0,343.0,16.0,112.0,444.0,15.0,41.0,78.0,77.0,24.0,63.0,115.0,14.0
862,0.0,2.0,1.0,24.0,12.0,7.0,20.0,10.0,21.0,88.0,34.0,9.0,184.0,205.0,44.0,3.0,702.0,703.0,686.0,61.0,70.0,14.0,62.0,104.0,77.0,76.0,82.0,58.0,40.0,8.0
911,0.0,1.0,3.0,13.0,6.0,5.0,4.0,145.0,9.0,42.0,73.0,61.0,343.0,108.0,15.0,14.0,117.0,116.0,953.0,26.0,150.0,860.0,25.0,27.0,94.0,93.0,154.0,23.0,138.0,24.0
960,0.0,2.0,9.0,19.0,13.0,6.0,12.0,16.0,38.0,67.0,21.0,14.0,151.0,58.0,22.0,1.0,75.0,74.0,344.0,35.0,84.0,40.0,36.0,32.0,138.0,139.0,78.0,48.0,155.0,17.0
1009,0.0,1.0,3.0,14.0,5.0,2.0,6.0,185.0,32.0,4.0,16.0,63.0,60.0,15.0,44.0,54.0,1010.0,1011.0,24.0,25.0,58.0,49.0,26.0,85.0,9.0,12.0,7.0,72.0,36.0,31.0
1058,0.0,1.0,10.0,3.0,7.0,5.0,9.0,33.0,102.0,8.0,154.0,43.0,36.0,28.0,165.0,120.0,39.0,40.0,55.0,27.0,50.0,30.0,26.0,12.0,16.0,17.0,24.0,126.0,23.0,2.0
1107,0.0,2.0,1.0,3.0,4.0,6.0,7.0,12.0,38.0,5.0,17.0,8.0,25.0,11.0,74.0,102.0,28.0,27.0,26.0,29.0,78.0,162.0,30.0,10.0,23.0,20.0,62.0,31.0,126.0,9.0
1156,0.0,2.0,3.0,5.0,9.0,11.0,4.0,40.0,28.0,32.0,15.0,214.0,30.0,6.0,63.0,31.0,20.0,21.0,24.0,7.0,44.0,33.0,8.0,17.0,67.0,66.0,18.0,57.0,22.0,1.0
1205,0.0,1.0,2.0,8.0,10.0,3.0,5.0,12.0,21.0,14.0,98.0,15.0,194.0,107.0,48.0,30.0,46.0,45.0,135.0,16.0,257.0,9.0,17.0,37.0,153.0,150.0,25.0,11.0,99.0,4.0
1254,0.0,1.0,3.0,2.0,4.0,5.0,7.0,23.0,31.0,6.0,49.0,13.0,25.0,8.0,21.0,525.0,16.0,17.0,22.0,20.0,42.0,28.0,19.0,11.0,44.0,46.0,43.0,34.0,30.0,24.0
1303,0.0,1.0,2.0,19.0,20.0,12.0,5.0,4.0,53.0,13.0,15.0,39.0,40.0,16.0,22.0,23256.0,443.0,442.0,49.0,42.0,28.0,385.0,41.0,36.0,8.0,9.0,21.0,82.0,121.0,72.0
1352,0.0,2.0,1.0,9.0,8.0,3.0,48.0,58.0,84.0,70.0,80.0,374.0,15.0,18.0,20.0,253.0,28.0,29.0,19.0,197.0,54.0,1274.0,198.0,16.0,10.0,11.0,33.0,86.0,27.0,52.0
1401,0.0,2.0,1.0,3.0,5.0,8.0,6.0,21.0,33.0,4.0,10.0,89.0,11.0,54.0,44.0,55.0,13.0,14.0,29.0,17.0,268.0,67.0,18.0,31.0,28.0,26.0,178.0,19.0,32.0,113.0
1450,0.0,1.0,2.0,3.0,4.0,10.0,7.0,55.0,14.0,8.0,47.0,85.0,15.0,6.0,130.0,25.0,65.0,64.0,19.0,40.0,58.0,163.0,39.0,20.0,353.0,354.0,76.0,12.0,27.0,5.0
1499,0.0,1.0,31.0,2.0,3.0,4.0,5.0,285.0,16.0,10.0,21.0,9.0,23.0,13.0,55.0,60.0,42.0,41.0,56.0,17.0,29.0,6.0,18.0,65.0,35.0,36.0,58.0,47.0,19.0,12.0
1548,0.0,1.0,18.0,2.0,3.0,4.0,6.0,28.0,59.0,13.0,50.0,22.0,16.0,11.0,47.0,10.0,64.0,63.0,27.0,32.0,26.0,8.0,31.0,357.0,45.0,46.0,82.0,48.0,7.0,15.0
1597,0.0,1.0,16.0,7.0,4.0,2.0,12.0,34.0,29.0,25.0,8.0,21.0,32.0,6.0,11.0,50.0,18.0,19.0,30.0,52.0,33.0,9.0,51.0,35.0,44.0,47.0,13.0,81.0,5.0,10.0
1646,0.0,1.0,18.0,3.0,2.0,4.0,11.0,50.0,16.0,5.0,9.0,7.0,27.0,17.0,21.0,8.0,155.0,154.0,26.0,33.0,23.0,6.0,34.0,251.0,73.0,72.0,43.0,31.0,14.0,12.0
1695,0.0,1.0,22.0,4.0,2.0,3.0,9.0,973.0,36.0,10.0,8.0,66.0,21.0,24.0,23.0,17.0,333.0,334.0,46.0,43.0,14.0,12.0,42.0,38.0,196.0,197.0,168.0,13.0,15.0,5.0
1744,0.0,1.0,15.0,2.0,3.0,6.0,16.0,190.0,24.0,7.0,4.0,45.0,8.0,26.0,44.0,5.0,41.0,40.0,13.0,123.0,29.0,28.0,122.0,142.0,39.0,38.0,166.0,50.0,12.0,36.0
1793,0.0,1.0,1193.0,3.0,2.0,15.0,33.0,19.0,200.0,55.0,232.0,9.0,773.0,28.0,26.0,11.0,5.0,6.0,5060.0,188.0,77.0,4.0,187.0,12.0,50.0,49.0,17.0,23.0,22.0,7.0
1842,0.0,1.0,10.0,9.0,18.0,2.0,3.0,33.0,4.0,36.0,29.0,5.0,8.0,11.0,32.0,27.0,25.0,24.0,34.0,20.0,13.0,23.0,19.0,76.0,45.0,46.0,41.0,31.0,6.0,30.0
1891,0.0,1.0,19.0,5.0,3.0,12.0,2.0,31.0,99.0,4.0,15.0,6.0,10.0,13.0,39.0,41.0,44.0,45.0,22.0,9.0,25.0,21.0,8.0,35.0,145.0,146.0,51.0,30.0,17.0,7.0
1940,0.0,1.0,7.0,3.0,4.0,2.0,6.0,1138.0,15.0,5.0,9.0,10.0,11.0,26.0,34.0,73.0,271.0,272.0,31.0,24.0,20.0,14.0,23.0,387.0,39.0,40.0,35.0,90.0,8.0,43.0
1989,0.0,1.0,2.0,3.0,5.0,4.0,18.0,8.0,48.0,555.0,74.0,64.0,23.0,20.0,19.0,34.0,13.0,14.0,9.0,86.0,101.0,32.0,87.0,6.0,21.0,22.0,7.0,51.0,206.0,330.0
2038,0.0,1.0,2.0,5.0,4.0,3.0,21.0,7.0,19.0,125.0,11.0,41.0,25.0,28.0,34.0,13.0,8.0,9.0,12.0,137.0,65.0,23.0,138.0,6.0,37.0,36.0,14.0,115.0,49.0,95.0
2087,0.0,1.0,2.0,42.0,56.0,3.0,8.0,11.0,21.0,200.0,135.0,213.0,43.0,103.0,26.0,15.0,6.0,5.0,12.0,64.0,33.0,114.0,65.0,7.0,52.0,53.0,4.0,118.0,87.0,310.0
2136,0.0,2.0,1.0,6.0,3.0,4.0,5.0,130.0,23.0,539.0,81.0,45.0,37.0,229.0,44.0,47.0,10.0,9.0,18.0,29.0,54.0,126.0,28.0,7.0,582.0,581.0,52.0,79.0,102.0,11.0
2185,0.0,1.0,5.0,4.0,3.0,2.0,10.0,38.0,27.0,31.0,93.0,70.0,17.0,7.0,28.0,37.0,12.0,13.0,11.0,51.0,43.0,29.0,52.0,8.0,61.0,65.0,6.0,112.0,91.0,413.0
2234,0.0,1.0,2.0,3.0,4.0,5.0,11.0,21.0,32.0,45.0,53.0,6.0,17.0,47.0,147.0,137.0,12.0,13.0,9.0,192.0,20.0,19.0,191.0,7.0,25.0,27.0,22.0,103.0,73.0,52.0
2283,0.0,1.0,2.0,12.0,13.0,3.0,14.0,11.0,64.0,56.0,28.0,10.0,46.0,41.0,32.0,15.0,8.0,7.0,23.0,175.0,26.0,45.0,174.0,4.0,17.0,18.0,6.0,318.0,27.0,247.0
2332,0.0,1.0,2.0,5.0,6.0,3.0,21.0,10.0,22.0,2531.0,2790.0,16.0,231.0,435.0,28.0,4.0,7.0,8.0,126.0,40.0,251.0,56.0,41.0,9.0,11.0,12.0,17.0,111.0,34.0,116.0
2381,0.0,2.0,1.0,4.0,3.0,14.0,22.0,10.0,7.0,1961.0,52.0,272.0,16.0,29.0,34.0,24.0,5.0,6.0,9.0,217.0,18.0,37.0,216.0,8.0,39.0,38.0,33.0,21.0,30.0,837.0
2430,0.0,1.0,4.0,11.0,12.0,3.0,7.0,2.0,13095.0,135.0,44.0,36.0,124.0,253.0,49.0,726.0,8.0,9.0,87.0,77.0,29.0,27.0,76.0,26.0,19.0,20.0,6.0,52.0,521.0,909.0
2479,0.0,1.0,5.0,9.0,19.0,7.0,4.0,2.0,6.0,8.0,11.0,3.0,20.0,29.0,32.0,67.0,13.0,12.0,46.0,40.0,10.0,90.0,39.0,16.0,26.0,23.0,38.0,51.0,59.0,313.0
2528,0.0,1.0,32.0,9.0,20.0,12.0,6.0,2.0,4.0,10.0,29.0,3.0,24.0,5.0,52.0,25.0,28.0,27.0,44.0,18.0,23.0,8.0,19.0,21.0,16.0,13.0,22.0,39.0,56.0,98.0
2577,0.0,1.0,19.0,4.0,11.0,7.0,8.0,2.0,10.0,13.0,17.0,9.0,23.0,6.0,36.0,120.0,26.0,25.0,44.0,35.0,14.0,18.0,34.0,16.0,29.0,30.0,15.0,21.0,33.0,53.0
2626,0.0,4.0,29.0,45.0,74.0,10.0,2.0,1.0,25.0,27.0,17.0,3.0,19.0,15.0,32.0,20.0,13.0,14.0,50.0,5.0,12.0,58.0,6.0,73.0,47.0,48.0,76.0,22.0,238.0,11.0
2675,0.0,1.0,7.0,8.0,18.0,5.0,4.0,2.0,6.0,23.0,10.0,16.0,62.0,14.0,29.0,36.0,619.0,620.0,51.0,22.0,17.0,35.0,21.0,140.0,45.0,46.0,13.0,43.0,116.0,768.0
2724,0.0,4.0,59.0,7.0,19.0,17.0,3.0,1.0,22.0,2.0,11.0,58.0,21.0,6.0,10.0,162.0,188.0,187.0,51.0,15.0,9.0,82.0,16.0,35.0,92.0,91.0,24.0,20.0,137.0,263.0
2773,0.0,1.0,54.0,6.0,15.0,2.0,25.0,3.0,9.0,19.0,84.0,14.0,22.0,5.0,26.0,41.0,13.0,12.0,47.0,242.0,11.0,219.0,243.0,8.0,32.0,29.0,7.0,602.0,36.0,107.0
2822,1.0,2.0,5.0,26.0,28.0,4.0,3.0,0.0,15.0,23.0,18.0,9.0,59.0,17.0,57.0,192.0,42.0,41.0,39.0,11.0,20.0,14.0,12.0,19.0,45.0,44.0,8.0,187.0,51.0,68.0
2871,0.0,1.0,4.0,9.0,14.0,8.0,3.0,2.0,6.0,52.0,56.0,5.0,1166.0,25.0,15.0,7.0,30.0,29.0,230.0,10.0,93.0,45.0,11.0,12.0,311.0,312.0,38.0,16.0,77.0,26.0
2920,0.0,3.0,58.0,5.0,8.0,21.0,6.0,2.0,66.0,11.0,14.0,1.0,40.0,13.0,15.0,128.0,51.0,52.0,169.0,18.0,32.0,7.0,17.0,10.0,45.0,43.0,22.0,80.0,79.0,145.0
2969,0.0,1.0,19.0,3.0,2.0,8.0,28.0,13.0,14.0,16.0,31.0,179.0,37.0,17.0,9.0,5.0,43.0,42.0,12.0,121.0,6.0,7.0,120.0,27.0,35.0,34.0,95.0,253.0,18.0,86.0
3018,0.0,1.0,2.0,3.0,4.0,10.0,11.0,8.0,21.0,6.0,497.0,5.0,539.0,304.0,135.0,14.0,13.0,12.0,258.0,83.0,274.0,22.0,82.0,23.0,16.0,18.0,49.0,32.0,15.0,7.0
3067,0.0,1.0,23.0,4.0,9.0,5.0,7.0,22.0,3.0,2.0,18.0,6.0,24.0,8.0,43.0,19.0,20.0,21.0,12.0,38.0,40.0,73.0,39.0,33.0,15.0,14.0,44.0,54.0,37.0,34.0
3116,0.0,1.0,7.0,6.0,8.0,5.0,4.0,11.0,30.0,10.0,9.0,18.0,19.0,34.0,33.0,29.0,3.0,2.0,26.0,43.0,16.0,105.0,42.0,17.0,21.0,20.0,44.0,39.0,32.0,13.0
3165,0.0,2.0,5.0,4.0,10.0,31.0,6.0,78.0,116.0,3.0,21.0,1.0,63.0,27.0,29.0,165.0,34.0,35.0,115.0,81.0,33.0,22.0,82.0,112.0,14.0,13.0,39.0,32.0,272.0,76.0
3214,0.0,1.0,61.0,6.0,8.0,7.0,3.0,2.0,17.0,4.0,14.0,18.0,25.0,22.0,41.0,5.0,97.0,98.0,28.0,33.0,24.0,127.0,32.0,26.0,9.0,10.0,80.0,37.0,60.0,40.0
3263,0.0,1.0,4.0,13.0,9.0,8.0,7.0,6.0,12.0,5.0,11.0,3.0,14.0,2.0,18.0,50.0,43.0,44.0,19.0,61.0,21.0,102.0,60.0,30.0,38.0,39.0,69.0,49.0,34.0,47.0
3312,0.0,1.0,20.0,7.0,6.0,4.0,3.0,5.0,9.0,2.0,37.0,8.0,34.0,12.0,17.0,43.0,22.0,23.0,19.0,41.0,11.0,10.0,40.0,13.0,31.0,29.0,48.0,84.0,24.0,234.0
3361,0.0,1.0,31.0,19.0,20.0,11.0,2.0,50.0,32.0,10.0,3.0,18.0,16.0,40.0,43.0,7.0,5.0,6.0,15.0,12.0,28.0,17.0,13.0,73.0,75.0,76.0,151.0,70.0,14.0,4.0
3410,0.0,1.0,2.0,10.0,13.0,6.0,3.0,152.0,48.0,12.0,25.0,94.0,29.0,31.0,47.0,86.0,381.0,382.0,23.0,18.0,58.0,67.0,17.0,63.0,121.0,120.0,419.0,81.0,33.0,5.0
3459,0.0,1.0,10.0,5.0,6.0,4.0,22.0,7.0,73.0,112.0,18.0,24.0,69.0,42.0,17.0,31.0,41.0,40.0,108.0,204.0,19.0,109.0,205.0,35.0,12.0,13.0,21.0,36.0,360.0,466.0
3508,0.0,2.0,7.0,9.0,12.0,11.0,14.0,1.0,18.0,118.0,45.0,311.0,16.0,666.0,15.0,92.0,127.0,128.0,10.0,110.0,8.0,105.0,109.0,81.0,22.0,23.0,43.0,160.0,35.0,78.0
3557,0.0,1.0,3.0,11.0,13.0,7.0,4.0,2.0,9.0,4362.0,19.0,60.0,37.0,18.0,67.0,12.0,325.0,324.0,36.0,22.0,5.0,962.0,23.0,35.0,499.0,498.0,93.0,46.0,34.0,15.0
3606,0.0,1.0,2.0,14.0,11.0,5.0,10.0,3.0,8.0,61.0,20.0,6.0,115.0,4884.0,40.0,4.0,190.0,189.0,99.0,38.0,105.0,44.0,39.0,81.0,17.0,16.0,33.0,49.0,30.0,60.0
3655,0.0,1.0,17.0,36.0,47.0,3.0,5.0,2.0,13.0,76.0,7.0,20.0,22.0,37.0,40.0,85.0,65.0,66.0,21.0,33.0,10.0,649.0,34.0,63.0,25.0,24.0,31.0,14.0,38.0,46.0
3704,0.0,1.0,2.0,15.0,16.0,8.0,4.0,6.0,37.0,9.0,7.0,3.0,10.0,59.0,50.0,343.0,158.0,159.0,47.0,32.0,5.0,187.0,33.0,51.0,14.0,13.0,77.0,44.0,29.0,36.0
3753,0.0,1.0,2.0,13.0,15.0,5.0,14.0,8.0,10.0,24.0,6.0,100.0,18.0,74.0,22.0,12.0,214.0,213.0,17.0,63.0,16.0,506.0,64.0,356.0,34.0,35.0,60.0,32.0,76.0,731.0
3802,0.0,1.0,6.0,23.0,17.0,4.0,7.0,3.0,36.0,52.0,10.0,53.0,64.0,51.0,46.0,91.0,1386.0,1387.0,31.0,33.0,9.0,65.0,34.0,134.0,19.0,20.0,24.0,15.0,47.0,71.0
3851,0.0,1.0,3.0,6.0,9.0,4.0,10.0,2.0,17.0,54.0,14.0,107.0,33.0,98.0,47.0,11.0,81.0,82.0,38.0,57.0,22.0,379.0,56.0,111.0,67.0,68.0,30.0,15.0,83.0,109.0
3900,0.0,3.0,2.0,13.0,15.0,5.0,16.0,1.0,9.0,33.0,6.0,12.0,34.0,48.0,120.0,11.0,9090.0,9091.0,14.0,78.0,8.0,183.0,79.0,455.0,23.0,22.0,38.0,47.0,76.0,17.0
3949,0.0,1.0,4.0,2.0,3.0,7.0,10.0,27.0,43.0,16.0,148.0,42.0,13.0,109.0,25.0,8.0,5.0,6.0,11.0,45.0,29.0,12.0,44.0,15.0,21.0,20.0,30.0,28.0,14.0,17.0
3998,0.0,2.0,1.0,4.0,3.0,6.0,11.0,7.0,30.0,22.0,127.0,20.0,106.0,47.0,23.0,5.0,10.0,9.0,69.0,41.0,2917.0,53.0,42.0,18.0,35.0,36.0,60.0,13.0,90.0,86.0
4047,0.0,1.0,4.0,3.0,2.0,11.0,7.0,26.0,13.0,8.0,29.0,14.0,12.0,9.0,34.0,85.0,6.0,5.0,20.0,22.0,17.0,19.0,23.0,56.0,49.0,48.0,72.0,15.0,32.0,18.0
4096,0.0,1.0,4.0,8.0,6.0,7.0,2.0,18.0,30.0,119.0,25.0,158.0,15.0,24.0,73.0,3.0,14.0,13.0,12.0,10.0,27.0,5.0,9.0,223.0,49.0,50.0,104.0,20.0,41.0,26.0
4145,0.0,1.0,2.0,3.0,4.0,19.0,9.0,38.0,10.0,17.0,81.0,40.0,20.0,8.0,130.0,16.0,6.0,7.0,18.0,29.0,34.0,30.0,28.0,21.0,22.0,23.0,48.0,5.0,24.0,45.0
4194,0.0,1.0,2.0,3.0,4.0,18.0,19.0,5.0,6.0,7.0,15.0,41.0,11.0,13.0,29.0,98.0,38.0,37.0,14.0,95.0,9.0,17.0,94.0,215.0,100.0,99.0,428.0,20.0,16.0,42.0
4243,0.0,2.0,1.0,5.0,13.0,7.0,3.0,32.0,4.0,105.0,26.0,10.0,11.0,20.0,35.0,19.0,18.0,17.0,15.0,8.0,41.0,89.0,9.0,14.0,500.0,501.0,289.0,6.0,25.0,29.0
4292,0.0,1.0,2.0,3.0,4.0,12.0,15.0,27.0,9.0,7.0,28.0,93.0,16.0,24.0,23.0,31.0,5.0,6.0,22.0,79.0,45.0,384.0,78.0,17.0,36.0,37.0,26.0,11.0,33.0,72.0
4341,0.0,4.0,15.0,2.0,3.0,106.0,5.0,18.0,168.0,56.0,30.0,20.0,37.0,8.0,44.0,31.0,7.0,6.0,72.0,12.0,40.0,1.0,11.0,22.0,35.0,36.0,91.0,14.0,92.0,136.0
4390,0.0,1.0,3.0,13.0,10.0,6.0,22.0,99.0,12.0,19.0,5.0,2.0,4.0,7.0,62.0,8.0,17.0,18.0,24.0,151.0,21.0,9.0,152.0,185.0,223.0,222.0,33.0,25.0,14.0,104.0
4439,0.0,2.0,17.0,6.0,4.0,8.0,1.0,40.0,417.0,3.0,5.0,75.0,27.0,7.0,23.0,9.0,22.0,21.0,69.0,11.0,38.0,16.0,10.0,325.0,45.0,44.0,29.0,20.0,133.0,34.0
4488,0.0,1.0,5.0,3.0,2.0,6.0,11.0,1019.0,116.0,4.0,49.0,89.0,51.0,52.0,9.0,81.0,14.0,15.0,67.0,74.0,32.0,18.0,75.0,44.0,23.0,22.0,17.0,60.0,109.0,65.0
4537,0.0,3.0,9.0,2.0,1.0,24.0,4.0,88.0,14.0,19.0,95.0,261.0,12.0,5.0,6.0,369.0,21.0,22.0,64.0,8.0,66.0,63.0,7.0,102.0,29.0,28.0,75.0,52.0,98.0,18239.0
4586,0.0,1.0,7.0,8.0,5.0,6.0,2.0,3.0,73.0,64.0,19.0,272.0,24.0,10.0,4.0,649.0,50.0,49.0,188.0,12.0,51.0,324.0,11.0,33.0,28.0,27.0,38.0,29.0,92.0,4082.0
4635,0.0,1.0,6.0,5.0,2.0,10.0,3.0,74.0,35.0,7.0,30.0,68.0,70.0,13.0,14.0,90.0,118.0,119.0,126.0,9.0,45.0,12.0,8.0,210.0,50.0,49.0,17.0,34.0,99.0,54.0
4684,0.0,1.0,26.0,4.0,3.0,8.0,16.0,176.0,38.0,2.0,6.0,17.0,37.0,7.0,5.0,116.0,53.0,54.0,97.0,73.0,141.0,9.0,74.0,113.0,13.0,11.0,25.0,24.0,109.0,462.0
4733,0.0,1.0,7.0,16.0,13.0,3.0,9.0,97.0,84.0,11.0,24.0,129.0,15.0,2.0,6.0,199.0,4.0,5.0,117.0,53.0,20.0,8.0,52.0,71.0,33.0,34.0,17.0,12.0,121.0,505.0
4782,0.0,1.0,10.0,5.0,9.0,7.0,4.0,3.0,15.0,48.0,97.0,46.0,407.0,213.0,18.0,6.0,26.0,25.0,579.0,17.0,997.0,27.0,16.0,138.0,32.0,34.0,51.0,12.0,184.0,137.0
4831,0.0,1.0,6.0,3.0,2.0,7.0,4.0,84.0,12.0,13.0,30.0,88.0,41.0,5.0,11.0,10.0,40.0,39.0,97.0,9.0,44.0,110.0,8.0,65.0,77.0,76.0,142.0,14.0,138.0,106.0
4880,0.0,1.0,65.0,9.0,6.0,13.0,5.0,58.0,118.0,2.0,12.0,107.0,71.0,4.0,64.0,254.0,10.0,11.0,289.0,17.0,19.0,3.0,16.0,56.0,22.0,20.0,29.0,18.0,172.0,158.0
