,hsa-miR-507,hsa-miR-130a,hsa-miR-210,hsa-miR-96,hsa-miR-151-3p,hsa-miR-22,ebv-miR-BART19-5p,hsa-miR-605,hsa-miR-1978,hsa-miR-574-5p,hsa-miR-483-3p,hsa-miR-149,hsa-miR-24,hsa-miR-150,hsa-miR-323-5p,hsa-miR-486-3p,hsa-miR-611,hsa-miR-545,hsa-miR-663,hsa-miR-1302,hsa-miR-142-5p,hsa-miR-449c,hsa-let-7a,hsa-miR-196a,hsa-miR-30a,hsa-miR-520c-3p,hsa-miR-193a-5p,hsa-miR-324-5p,hsa-miR-21,hsa-miR-2117
553,137.0,0.0,141.0,2.0,3.0,96.0,8.0,155.0,57.0,5.0,10.0,29.0,156.0,13.0,12.0,130.0,6.0,1.0,120.0,416.0,282.0,240.0,105.0,35.0,71.0,250.0,220.0,52.0,90.0,33.0
602,20.0,2.0,578.0,1.0,38.0,180.0,221.0,28.0,100.0,34.0,0.0,42.0,31.0,373.0,11.0,108.0,228.0,33.0,40.0,103.0,257.0,17.0,109.0,24.0,61.0,312.0,32.0,3.0,287.0,50.0
651,13.0,0.0,12.0,25.0,7.0,73.0,132.0,43.0,167.0,60.0,33.0,5.0,122.0,18.0,147.0,324.0,51.0,24.0,9.0,119.0,34.0,19.0,21.0,16.0,184.0,131.0,36.0,45.0,63.0,64.0
700,0.0,1.0,220.0,8.0,25.0,32.0,11.0,7.0,54.0,222.0,27.0,35.0,39.0,166.0,4.0,91.0,150.0,243.0,55.0,31.0,560.0,123.0,71.0,5.0,514.0,188.0,97.0,89.0,520.0,152.0
749,1.0,7.0,19.0,0.0,12.0,153.0,36.0,427.0,38.0,9.0,30.0,8.0,15.0,46.0,3.0,29.0,2.0,4.0,13.0,53.0,278.0,283.0,50.0,66.0,14.0,477.0,47.0,257.0,101.0,35.0
798,15.0,1.0,20.0,2.0,12.0,53.0,0.0,56.0,3.0,32.0,5.0,7.0,8.0,6.0,166.0,42.0,271.0,19.0,13.0,171.0,27.0,337.0,93.0,14.0,70.0,151.0,170.0,320.0,79.0,48.0
847,1.0,0.0,64.0,22.0,50.0,5.0,11.0,4.0,6.0,2.0,27.0,107.0,3.0,76.0,26.0,151.0,42.0,37.0,564.0,21.0,28.0,301.0,31.0,264.0,321.0,405.0,182.0,456.0,519.0,272.0
896,0.0,1.0,23.0,28.0,43.0,6.0,4.0,3.0,12.0,53.0,13.0,99.0,21.0,69.0,123.0,128.0,49.0,7.0,151.0,446.0,48.0,9.0,40.0,15.0,389.0,64.0,376.0,186.0,93.0,173.0
945,0.0,10.0,16.0,23.0,68.0,31.0,3.0,267.0,2.0,52.0,11.0,36.0,34.0,339.0,7.0,41.0,32.0,5.0,150.0,472.0,47.0,103.0,66.0,310.0,28.0,58.0,486.0,38.0,440.0,59.0
994,3.0,0.0,13.0,408.0,15.0,11.0,1.0,163.0,2.0,27.0,28.0,209.0,41.0,250.0,86.0,536.0,80.0,91.0,453.0,132.0,60.0,29.0,298.0,254.0,77.0,98.0,87.0,520.0,57.0,307.0
1043,3.0,18.0,4.0,21.0,152.0,14.0,10.0,37.0,0.0,2.0,41.0,193.0,8.0,261.0,55.0,72.0,5.0,19.0,316.0,107.0,7.0,49.0,20.0,83.0,1.0,70.0,151.0,589.0,200.0,86.0
