,MIR744_DEL,FAM84B_AMP,CDRT4_DEL,FAM66D_DEL,MYH4_DEL,PRODH_DEL,LOC100133267_DEL,LOC727677_AMP,COX10_DEL,GRM5_DEL,USP17L7_DEL,TMEM88_DEL,BMPR2_AMP,FAM64A_DEL,MAP2K4_DEL,FAM18B2-CDRT4_DEL,TEKT3_DEL,PPFIBP1_AMP,FAM86B1_DEL,SPRR2G_AMP,DERL1_AMP,ZNF705D_DEL,OR4N2_DEL,CDRT7_DEL,LOC284344_DEL,OR4K5_DEL,NRXN3_DEL,METTL20_AMP,PGLYRP3_AMP,PRR5-ARHGAP8_DEL
522,35.0,69.0,44.0,13.0,67.0,135.0,100.0,267.0,1629.0,29.0,11.0,19.0,200.0,34.0,0.0,19081.0,52.0,15.0,2.0,18.0,137.0,26.0,17.0,42.0,113.0,119.0,12.0,552.0,117.0,21.0
571,25.0,1.0,36.0,158.0,41.0,111.0,50.0,23542.0,176.0,138.0,86.0,21.0,31.0,62.0,132.0,174.0,175.0,30.0,926.0,32.0,73.0,63.0,11.0,97.0,160.0,12.0,9511.0,791.0,51.0,8.0
620,114.0,1.0,8.0,10.0,23.0,18.0,138.0,23546.0,9.0,26.0,426.0,5.0,7.0,136.0,37.0,58.0,47.0,385.0,1268.0,89.0,278.0,21.0,28.0,9478.0,2669.0,2.0,998.0,405.0,4.0,429.0
669,127.0,236.0,0.0,10.0,38.0,44.0,46.0,293.0,1.0,3577.0,5.0,214.0,523.0,334.0,27.0,310.0,116.0,32.0,167.0,74.0,598.0,2.0,79.0,66.0,61.0,1055.0,994.0,130.0,133.0,176.0
718,9.0,6.0,14.0,89.0,22.0,2.0,268.0,23565.0,56.0,1110.0,163.0,5.0,35.0,4.0,59.0,32.0,84.0,241.0,28.0,18.0,11.0,34.0,55.0,80.0,956.0,1.0,425.0,924.0,70.0,10.0
767,9.0,5.0,39.0,45.0,12.0,0.0,93.0,53.0,106.0,2.0,209.0,58.0,158.0,21.0,108.0,192.0,193.0,402.0,204.0,75.0,13.0,31.0,70.0,161.0,347.0,860.0,1463.0,169.0,72.0,24.0
816,8.0,52.0,174.0,28.0,44.0,17.0,15.0,24012.0,183.0,222.0,67.0,16.0,235.0,91.0,4.0,80.0,24.0,160.0,264.0,68.0,6.0,29.0,35.0,148.0,1150.0,7587.0,33.0,64.0,78.0,85.0
865,2.0,8.0,13.0,106.0,56.0,9.0,2532.0,338.0,185.0,51.0,957.0,316.0,14.0,359.0,795.0,18.0,27.0,79.0,513.0,293.0,83.0,253.0,421.0,97.0,168.0,2085.0,2205.0,1473.0,17.0,0.0
914,2.0,3.0,29.0,12.0,42.0,11.0,305.0,15.0,59.0,138.0,25.0,6.0,41.0,81.0,16.0,156.0,152.0,102.0,124.0,62.0,5.0,315.0,329.0,135.0,134.0,77.0,7615.0,198.0,10.0,110.0
963,12.0,78.0,24.0,18890.0,23.0,31.0,36.0,24016.0,116.0,110.0,2.0,4.0,19.0,17.0,95.0,84.0,37.0,23160.0,1.0,23751.0,433.0,13.0,251.0,117.0,92.0,145.0,249.0,103.0,173.0,82.0
1012,34.0,14.0,125.0,101.0,25.0,18.0,249.0,100.0,5.0,36.0,7.0,32.0,1.0,6.0,94.0,130.0,126.0,38.0,15.0,825.0,416.0,10.0,769.0,9487.0,6693.0,252.0,346.0,14288.0,18003.0,1245.0
1061,57.0,27.0,5.0,134.0,24.0,6.0,54.0,3.0,2.0,0.0,44.0,7.0,8.0,29.0,431.0,49.0,87.0,2058.0,1.0,154.0,103.0,38.0,31.0,32.0,58.0,17.0,60.0,482.0,25.0,10741.0
1110,215.0,96.0,32.0,1.0,35.0,0.0,4.0,71.0,18.0,34.0,8.0,308.0,44.0,69.0,161.0,46.0,173.0,198.0,59.0,41.0,186.0,33.0,16.0,79.0,3492.0,38.0,436.0,181.0,62.0,12272.0
1159,187.0,51.0,153.0,1479.0,49.0,60.0,52.0,37.0,15.0,71.0,21.0,280.0,10.0,296.0,290.0,154.0,89.0,327.0,2.0,67.0,19.0,237.0,28.0,35.0,1029.0,11.0,115.0,38.0,93.0,26.0
1208,3265.0,516.0,50.0,2.0,106.0,19.0,5.0,8.0,0.0,61.0,6.0,20.0,9.0,26.0,1170.0,38.0,78.0,74.0,84.0,45.0,119.0,11.0,41.0,7791.0,392.0,37.0,39.0,57.0,51.0,448.0
1257,17.0,56.0,11.0,2.0,39.0,89.0,5.0,357.0,8.0,205.0,10.0,195.0,15.0,207.0,462.0,12.0,23.0,23123.0,4.0,51.0,246.0,3.0,4954.0,107.0,650.0,155.0,896.0,72.0,55.0,636.0
1306,108.0,60.0,8.0,50.0,18.0,89.0,66.0,16.0,7.0,10.0,2.0,227.0,6.0,19.0,69.0,23.0,40.0,85.0,54.0,53.0,326.0,75.0,80.0,24.0,3429.0,62.0,17.0,14409.0,48.0,90.0
1355,187.0,22.0,31.0,116.0,30.0,29.0,292.0,21.0,16.0,290.0,112.0,40.0,3.0,41.0,3357.0,304.0,156.0,37.0,98.0,77.0,237.0,378.0,56.0,35.0,1129.0,137.0,11.0,44.0,17986.0,64.0
1404,71.0,301.0,165.0,11.0,6.0,196.0,63.0,22.0,1.0,460.0,4611.0,219.0,3.0,46.0,2816.0,190.0,39.0,88.0,469.0,312.0,36.0,2.0,40.0,61.0,308.0,91.0,9540.0,34.0,311.0,32.0
1453,158.0,25.0,131.0,2483.0,37.0,232.0,54.0,104.0,8.0,19.0,2.0,47.0,5.0,10.0,485.0,130.0,15.0,145.0,14.0,60.0,65.0,28.0,325.0,9494.0,127.0,64.0,23.0,283.0,75.0,101.0
1502,9.0,83.0,176.0,76.0,47.0,0.0,623.0,105.0,177.0,123.0,266.0,18.0,56.0,13.0,126.0,89.0,28.0,42.0,5.0,40.0,342.0,633.0,29.0,148.0,15.0,63.0,3.0,99.0,259.0,22.0
1551,19676.0,918.0,672.0,25.0,721.0,0.0,382.0,84.0,13.0,153.0,6.0,690.0,615.0,266.0,14.0,48.0,404.0,12.0,91.0,36.0,744.0,307.0,23.0,89.0,255.0,3.0,52.0,451.0,192.0,402.0
1600,29.0,206.0,227.0,34.0,28.0,3.0,23.0,75.0,24.0,92.0,189.0,2.0,140.0,7.0,32.0,19.0,146.0,44.0,2761.0,100.0,70.0,35.0,355.0,1622.0,38.0,4.0,353.0,1331.0,88.0,680.0
1649,27.0,165.0,186.0,2.0,71.0,1.0,3.0,68.0,103.0,13.0,0.0,21.0,1046.0,16.0,655.0,184.0,182.0,150.0,15.0,43.0,123.0,60.0,22.0,7161.0,169.0,34.0,7.0,14324.0,24.0,36.0
1698,14.0,67.0,577.0,104.0,31.0,4.0,5.0,48.0,116.0,22.0,295.0,7.0,173.0,43.0,11869.0,63.0,66.0,119.0,0.0,19.0,105.0,3001.0,264.0,34.0,273.0,426.0,6.0,239.0,69.0,2.0
1747,10.0,17305.0,98.0,277.0,21.0,303.0,266.0,11.0,100.0,3250.0,207.0,4.0,24.0,3.0,37.0,99.0,51.0,35.0,46.0,342.0,416.0,112.0,7.0,58.0,411.0,32.0,9492.0,684.0,491.0,17.0
1796,20.0,101.0,144.0,0.0,40.0,15.0,5.0,125.0,143.0,67.0,2.0,6.0,3.0,9.0,109.0,58.0,60.0,44.0,32.0,30.0,16.0,963.0,417.0,38.0,136.0,216.0,36.0,14290.0,120.0,139.0
1845,11.0,214.0,1931.0,212.0,27.0,4.0,336.0,81.0,37.0,465.0,2574.0,5.0,21833.0,6.0,89.0,71.0,66.0,1968.0,17.0,39.0,23815.0,1844.0,22.0,859.0,3253.0,38.0,10.0,14297.0,325.0,7.0
1894,32.0,16.0,6730.0,47.0,57.0,7.0,83.0,5.0,58.0,0.0,2.0,20.0,66.0,4.0,85.0,235.0,233.0,123.0,14.0,93.0,31.0,8824.0,37.0,194.0,77.0,7585.0,26.0,14400.0,130.0,30.0
1943,271.0,49.0,15.0,3.0,11312.0,2.0,4.0,7.0,18.0,76.0,0.0,261.0,1891.0,22.0,228.0,18977.0,85.0,133.0,300.0,29.0,74.0,1.0,53.0,438.0,41.0,446.0,37.0,120.0,18013.0,314.0
1992,59.0,27.0,169.0,25.0,62.0,35.0,18.0,16.0,204.0,49.0,2.0,96.0,77.0,400.0,52.0,68.0,325.0,74.0,43.0,80.0,31.0,125.0,121.0,326.0,44.0,200.0,455.0,128.0,133.0,87.0
2041,8.0,25.0,34.0,0.0,37.0,1.0,4.0,82.0,169.0,385.0,272.0,63.0,9.0,72.0,35.0,19101.0,171.0,47.0,309.0,73.0,95.0,77.0,350.0,139.0,1208.0,12.0,55.0,26.0,125.0,31.0
2090,38.0,12.0,314.0,11.0,86.0,4.0,17.0,178.0,28.0,381.0,59.0,65.0,397.0,114.0,144.0,42.0,315.0,23402.0,112.0,57.0,29.0,108.0,3.0,67.0,323.0,36.0,129.0,49.0,102.0,7.0
2139,13.0,1.0,1017.0,0.0,58.0,2.0,187.0,33.0,223.0,598.0,27.0,71.0,1974.0,77.0,135.0,97.0,93.0,414.0,170.0,88.0,197.0,213.0,212.0,178.0,458.0,136.0,4.0,56.0,386.0,5.0
2188,5.0,41.0,3.0,2.0,264.0,26.0,33.0,278.0,89.0,22.0,0.0,66.0,1.0,25.0,16.0,48.0,227.0,18.0,292.0,379.0,97.0,105.0,1028.0,179.0,53.0,190.0,996.0,161.0,108.0,13.0
2237,1.0,72.0,15.0,122.0,75.0,44.0,12.0,9.0,296.0,46.0,48.0,118.0,541.0,64.0,24.0,19036.0,32.0,5.0,37.0,55.0,352.0,10003.0,1323.0,50.0,147.0,7.0,185.0,17.0,18034.0,0.0
2286,444.0,17342.0,6852.0,13.0,11652.0,1.0,3.0,161.0,2130.0,260.0,32.0,760.0,48.0,10907.0,418.0,18976.0,9119.0,22.0,65.0,90.0,495.0,259.0,17.0,2083.0,341.0,5.0,432.0,23.0,317.0,0.0
2335,5.0,158.0,358.0,0.0,23.0,75.0,15.0,122.0,24.0,359.0,62.0,83.0,7.0,10545.0,187.0,6.0,357.0,81.0,74.0,54.0,56.0,30.0,52.0,78.0,25.0,37.0,21.0,17.0,39.0,18.0
2384,13.0,42.0,231.0,322.0,66.0,127.0,3445.0,72.0,24.0,38.0,97.0,397.0,2811.0,531.0,64.0,12.0,19.0,56.0,114.0,23650.0,8.0,314.0,334.0,50.0,102.0,36.0,86.0,25.0,504.0,0.0
2433,86.0,208.0,568.0,18.0,1540.0,32.0,67.0,241.0,242.0,57.0,4994.0,8950.0,14.0,10330.0,144.0,1064.0,12225.0,21.0,257.0,23641.0,113.0,234.0,442.0,9446.0,41.0,58.0,140.0,38.0,106.0,5.0
2482,32.0,2.0,11.0,3.0,62.0,54.0,87.0,14.0,52.0,0.0,4906.0,72.0,499.0,40.0,141.0,155.0,76.0,205.0,25.0,23624.0,23821.0,280.0,358.0,51.0,29.0,466.0,9.0,201.0,18044.0,17.0
2531,88.0,5.0,28.0,361.0,596.0,69.0,78.0,13.0,92.0,939.0,89.0,423.0,23668.0,12972.0,241.0,459.0,8586.0,31.0,8.0,23655.0,130.0,300.0,268.0,26.0,584.0,569.0,1086.0,12.0,441.0,11848.0
2580,26.0,10.0,5.0,6.0,16.0,384.0,1.0,32.0,54.0,3.0,70.0,11.0,35.0,118.0,14.0,49.0,78.0,33.0,86.0,23688.0,42.0,8.0,294.0,135.0,546.0,21.0,57.0,90.0,18494.0,177.0
2629,43.0,96.0,20.0,4.0,97.0,3.0,0.0,6.0,271.0,3122.0,42.0,392.0,270.0,419.0,10.0,18.0,13.0,11.0,33.0,23648.0,1125.0,2.0,16.0,219.0,49.0,32.0,137.0,8.0,18508.0,442.0
2678,18.0,19.0,14.0,11.0,30.0,3.0,2.0,9.0,75.0,278.0,4498.0,61.0,23649.0,32.0,83.0,214.0,43.0,23.0,0.0,21.0,99.0,308.0,250.0,95.0,15.0,132.0,71.0,6.0,18458.0,127.0
2727,57.0,9.0,22.0,24.0,60.0,66.0,62.0,129.0,47.0,1.0,89.0,92.0,415.0,377.0,48.0,2539.0,199.0,16.0,4.0,562.0,37.0,87.0,1002.0,198.0,30.0,11.0,8.0,150.0,182.0,0.0
2776,5.0,119.0,49.0,30.0,47.0,493.0,6.0,28.0,48.0,145.0,327.0,4163.0,66.0,12704.0,9.0,65.0,22.0,4.0,2.0,1081.0,140.0,110.0,89.0,82.0,4055.0,13.0,781.0,57.0,18511.0,942.0
2825,3.0,13.0,158.0,24.0,19.0,7.0,5.0,50.0,57.0,45.0,44.0,15.0,1896.0,16.0,2145.0,82.0,157.0,30.0,1.0,2761.0,23774.0,6.0,2190.0,34.0,6725.0,139.0,250.0,71.0,17165.0,87.0
2874,59.0,15.0,57.0,10.0,11291.0,251.0,1.0,23601.0,214.0,7.0,14.0,8950.0,855.0,505.0,58.0,18986.0,270.0,6.0,18.0,396.0,20.0,104.0,235.0,9451.0,23.0,11.0,9486.0,120.0,18498.0,8.0
2923,193.0,26.0,6.0,0.0,81.0,5.0,4.0,3.0,11.0,13.0,12.0,9003.0,198.0,10362.0,48.0,158.0,8.0,2.0,34.0,100.0,40.0,55.0,83.0,29.0,135.0,178.0,2681.0,275.0,390.0,143.0
2972,24.0,17366.0,11.0,25.0,69.0,246.0,10.0,80.0,31.0,59.0,7.0,256.0,98.0,67.0,155.0,33.0,203.0,23411.0,262.0,769.0,177.0,1.0,18.0,9498.0,6.0,2051.0,133.0,13.0,169.0,433.0
3021,4.0,160.0,10.0,117.0,219.0,339.0,122.0,267.0,11.0,184.0,5.0,501.0,718.0,438.0,73.0,51.0,56.0,1974.0,10324.0,23676.0,404.0,8897.0,84.0,225.0,15.0,80.0,9550.0,179.0,329.0,2059.0
3070,10.0,256.0,6832.0,31.0,95.0,4.0,7.0,740.0,20.0,26.0,55.0,9027.0,511.0,10533.0,2.0,317.0,12258.0,515.0,982.0,21834.0,204.0,5.0,327.0,3317.0,0.0,7673.0,551.0,18.0,265.0,786.0
3119,59.0,85.0,12.0,108.0,81.0,17.0,10.0,83.0,6.0,321.0,8.0,373.0,29.0,10375.0,167.0,16.0,4.0,48.0,1698.0,23639.0,97.0,27.0,73.0,87.0,60.0,7636.0,9494.0,61.0,42.0,10655.0
3168,2.0,164.0,4.0,701.0,302.0,247.0,6.0,109.0,35.0,469.0,470.0,9597.0,123.0,11688.0,34.0,44.0,47.0,5.0,18.0,22652.0,51.0,20.0,281.0,46.0,21.0,9374.0,1261.0,12.0,158.0,11088.0
3217,28.0,281.0,43.0,36.0,130.0,7.0,4.0,23568.0,22.0,53.0,5.0,389.0,253.0,409.0,8466.0,51.0,9.0,75.0,10369.0,950.0,23953.0,0.0,71.0,194.0,13.0,120.0,255.0,10.0,361.0,12499.0
3266,74.0,341.0,18.0,254.0,328.0,54.0,2006.0,2718.0,0.0,5650.0,4.0,99.0,35.0,24.0,42.0,76.0,196.0,137.0,452.0,22185.0,21563.0,1689.0,3813.0,61.0,8.0,112.0,9703.0,10.0,370.0,172.0
3315,24.0,66.0,19.0,48.0,294.0,12449.0,12.0,283.0,7.0,28.0,59.0,91.0,2751.0,370.0,125.0,16.0,64.0,23145.0,1386.0,168.0,76.0,69.0,454.0,9472.0,14.0,2041.0,460.0,95.0,119.0,32.0
3364,16.0,9.0,6.0,5.0,21.0,19.0,84.0,0.0,2.0,46.0,22.0,11.0,1.0,60.0,80.0,19075.0,111.0,224.0,162.0,36.0,52.0,7.0,5254.0,41.0,64.0,7716.0,38.0,83.0,37.0,10687.0
3413,35.0,321.0,8.0,89.0,176.0,347.0,4.0,571.0,2.0,227.0,487.0,70.0,88.0,76.0,167.0,72.0,60.0,330.0,87.0,23647.0,507.0,277.0,233.0,372.0,0.0,77.0,778.0,67.0,427.0,124.0
3462,33.0,41.0,210.0,2306.0,3.0,80.0,22.0,259.0,52.0,7.0,100.0,103.0,8.0,213.0,148.0,231.0,54.0,250.0,21.0,458.0,72.0,9368.0,25.0,2858.0,0.0,301.0,193.0,75.0,437.0,129.0
3511,141.0,183.0,143.0,381.0,15.0,0.0,216.0,209.0,8.0,52.0,1111.0,77.0,40.0,304.0,102.0,275.0,139.0,29.0,558.0,342.0,28.0,46.0,19.0,9514.0,138.0,7658.0,3.0,27.0,106.0,160.0
3560,18.0,44.0,20.0,3.0,10.0,80.0,76.0,23610.0,24.0,149.0,55.0,61.0,35.0,265.0,111.0,18995.0,147.0,388.0,10192.0,516.0,105.0,8.0,11.0,9551.0,48.0,263.0,25.0,31.0,128.0,99.0
3609,151.0,43.0,20.0,153.0,57.0,24.0,588.0,100.0,33.0,81.0,3361.0,76.0,0.0,10379.0,83.0,169.0,7.0,428.0,2952.0,459.0,172.0,8872.0,30.0,9481.0,251.0,488.0,2.0,594.0,102.0,10752.0
3658,4.0,26.0,150.0,29.0,15.0,131.0,872.0,57.0,16.0,70.0,277.0,51.0,13.0,262.0,18.0,1270.0,152.0,2.0,482.0,23665.0,23860.0,34.0,5.0,10470.0,9.0,121.0,17.0,47.0,6.0,63.0
3707,135.0,34.0,85.0,27.0,46.0,93.0,149.0,20.0,6.0,7.0,5262.0,70.0,1.0,69.0,87.0,31.0,41.0,21.0,10337.0,44.0,564.0,215.0,162.0,10106.0,163.0,1940.0,37.0,241.0,140.0,220.0
3756,27.0,11.0,230.0,31.0,32.0,273.0,44.0,5.0,16.0,95.0,117.0,100.0,181.0,10329.0,29.0,19035.0,85.0,45.0,1199.0,174.0,49.0,23.0,48.0,201.0,249.0,271.0,18.0,78.0,52.0,10691.0
3805,3.0,14.0,140.0,40.0,207.0,81.0,13.0,49.0,42.0,520.0,9.0,212.0,192.0,182.0,57.0,19042.0,74.0,75.0,326.0,70.0,61.0,102.0,157.0,122.0,25.0,2322.0,31.0,286.0,299.0,7.0
3854,19.0,76.0,7589.0,408.0,12.0,55.0,36.0,127.0,25.0,82.0,66.0,45.0,0.0,71.0,119.0,18816.0,160.0,18.0,10510.0,21488.0,80.0,303.0,98.0,141.0,252.0,2379.0,52.0,7.0,220.0,298.0
3903,27.0,6.0,147.0,52.0,17.0,55.0,142.0,15.0,14.0,3.0,7.0,50.0,71.0,321.0,32.0,418.0,145.0,246.0,670.0,26.0,61.0,69.0,13.0,360.0,0.0,177.0,31.0,21.0,383.0,29.0
3952,42.0,3.0,6770.0,1481.0,39.0,8.0,314.0,38.0,235.0,115.0,13.0,8990.0,249.0,61.0,11844.0,5.0,234.0,65.0,63.0,23625.0,19.0,8665.0,58.0,50.0,718.0,188.0,664.0,336.0,655.0,183.0
4001,11.0,8.0,36.0,232.0,61.0,2620.0,22.0,13.0,178.0,16.0,752.0,84.0,42.0,374.0,51.0,180.0,66.0,43.0,4.0,111.0,207.0,99.0,4860.0,101.0,3458.0,373.0,156.0,40.0,102.0,11836.0
4050,36.0,15.0,16.0,46.0,104.0,1432.0,469.0,4.0,50.0,275.0,70.0,484.0,23656.0,628.0,202.0,5.0,29.0,48.0,55.0,38.0,23918.0,217.0,5103.0,201.0,1312.0,1297.0,12.0,88.0,79.0,114.0
4099,17.0,1254.0,45.0,844.0,53.0,50.0,1210.0,10.0,55.0,81.0,99.0,102.0,0.0,131.0,152.0,48.0,8.0,91.0,11.0,19.0,83.0,2315.0,1068.0,179.0,928.0,77.0,25.0,46.0,9.0,4.0
4148,9.0,37.0,4.0,14.0,98.0,1372.0,3.0,5.0,58.0,31.0,336.0,268.0,45.0,468.0,62.0,27.0,82.0,25.0,1454.0,100.0,38.0,99.0,161.0,92.0,3390.0,96.0,55.0,324.0,125.0,43.0
4197,34.0,24.0,60.0,18790.0,5.0,14.0,117.0,252.0,57.0,30.0,2487.0,87.0,21833.0,92.0,53.0,206.0,10.0,130.0,403.0,112.0,32.0,641.0,83.0,44.0,782.0,47.0,1.0,90.0,401.0,69.0
4246,9.0,23.0,20.0,1363.0,30.0,45.0,3374.0,58.0,133.0,2.0,4690.0,21.0,1339.0,16.0,65.0,78.0,132.0,6.0,4734.0,23752.0,72.0,9778.0,393.0,73.0,8.0,305.0,7.0,111.0,76.0,15.0
4295,8.0,1.0,16.0,196.0,78.0,106.0,24.0,36.0,66.0,9.0,421.0,71.0,330.0,61.0,26.0,19030.0,70.0,74.0,79.0,331.0,33.0,8636.0,118.0,30.0,1385.0,87.0,1132.0,502.0,13.0,107.0
4344,114.0,24.0,35.0,36.0,139.0,12.0,9.0,145.0,165.0,42.0,350.0,40.0,15.0,11667.0,30.0,85.0,57.0,334.0,23.0,127.0,59.0,276.0,473.0,84.0,17.0,9333.0,542.0,8.0,851.0,1.0
4393,145.0,4.0,17.0,60.0,29.0,555.0,6.0,0.0,11.0,42.0,199.0,18.0,905.0,150.0,122.0,2509.0,90.0,157.0,253.0,91.0,16.0,40.0,3872.0,51.0,50.0,221.0,53.0,64.0,32.0,10.0
4442,137.0,6.0,7.0,100.0,22.0,146.0,555.0,177.0,5.0,2.0,223.0,10.0,37.0,191.0,65.0,14.0,44.0,60.0,10492.0,27.0,202.0,291.0,57.0,77.0,48.0,375.0,9822.0,16395.0,15.0,2667.0
4491,9.0,44.0,5.0,8.0,13.0,336.0,65.0,70.0,133.0,711.0,1.0,32.0,0.0,23.0,76.0,24.0,134.0,53.0,1344.0,50.0,209.0,909.0,28.0,112.0,2157.0,320.0,111.0,177.0,12.0,12246.0
4540,11.0,54.0,12.0,262.0,1.0,11794.0,4.0,10.0,89.0,31.0,43.0,5.0,20.0,18.0,32.0,14.0,73.0,806.0,2048.0,3.0,151.0,488.0,394.0,74.0,0.0,188.0,2832.0,457.0,18005.0,40.0
4589,24.0,4.0,32.0,5.0,11.0,637.0,2.0,10.0,170.0,37.0,6.0,13.0,0.0,25.0,11800.0,35.0,175.0,2940.0,160.0,20.0,17.0,12.0,26.0,128.0,335.0,83.0,15.0,564.0,294.0,10782.0
4638,38.0,14.0,105.0,5.0,266.0,12361.0,0.0,39.0,88.0,446.0,21.0,115.0,24.0,1367.0,42.0,86.0,18.0,640.0,1759.0,56.0,23881.0,2.0,169.0,220.0,49.0,1331.0,9409.0,6.0,126.0,1192.0
4687,5.0,1.0,16.0,19557.0,17.0,2071.0,2642.0,29.0,50.0,11.0,1293.0,7.0,2.0,6.0,76.0,36.0,69.0,185.0,300.0,306.0,103.0,236.0,40.0,91.0,0.0,311.0,33.0,216.0,201.0,105.0
4736,20.0,3.0,157.0,6.0,9.0,1625.0,24.0,1.0,46.0,19.0,15.0,45.0,13.0,187.0,113.0,406.0,120.0,74.0,96.0,312.0,600.0,362.0,4803.0,9377.0,0.0,17.0,1872.0,14375.0,126.0,770.0
4785,91.0,332.0,26.0,27.0,21.0,16.0,80.0,514.0,20422.0,589.0,12.0,1.0,0.0,143.0,10.0,146.0,12325.0,291.0,10246.0,65.0,313.0,85.0,32.0,122.0,7.0,48.0,381.0,86.0,266.0,362.0
4834,12.0,9.0,7.0,15.0,5.0,75.0,133.0,24.0,71.0,13.0,359.0,3.0,0.0,170.0,39.0,46.0,49.0,616.0,10255.0,72.0,110.0,22.0,4645.0,2031.0,11.0,69.0,187.0,30.0,57.0,182.0
4883,34.0,294.0,55.0,1443.0,40.0,87.0,120.0,20.0,202.0,5.0,77.0,3.0,2.0,13.0,57.0,80.0,201.0,1673.0,441.0,25.0,24.0,239.0,348.0,7086.0,18.0,214.0,611.0,14260.0,267.0,750.0
