,hsa-miR-885-3p,hsa-miR-574-5p,hsv2-miR-H3,hsa-miR-1233,hsa-miR-616,hsa-miR-625,hsa-miR-548j,hsa-miR-921,hsa-miR-143,hsa-miR-759,hsa-miR-628-5p,hsa-miR-212,hsa-miR-1908,hsa-miR-299-3p,hsa-miR-550,hsa-miR-30a,hsa-miR-548d-3p,hsa-miR-33b,hsa-miR-223,hsa-miR-1284,hsa-miR-186,hsa-miR-450a,hsa-miR-126,hsa-miR-148a,hsa-miR-657,hsa-miR-139-5p,hsa-miR-134,hsa-miR-892a,hsa-miR-222,hsa-miR-591
2514,2.0,1.0,11.0,4.0,72.0,21.0,18.0,24.0,64.0,0.0,65.0,7.0,8.0,10.0,3.0,13.0,62.0,15.0,22.0,41.0,6.0,57.0,14.0,114.0,112.0,28.0,152.0,12.0,42.0,53.0
2563,41.0,0.0,58.0,1.0,12.0,6.0,14.0,26.0,62.0,5.0,11.0,74.0,15.0,134.0,3.0,22.0,16.0,29.0,68.0,89.0,35.0,19.0,2.0,325.0,101.0,115.0,33.0,64.0,173.0,13.0
2612,16.0,7.0,2.0,6.0,32.0,170.0,13.0,12.0,41.0,18.0,25.0,4.0,10.0,9.0,1.0,8.0,22.0,11.0,19.0,54.0,0.0,118.0,3.0,75.0,51.0,46.0,184.0,14.0,55.0,105.0
2661,19.0,6.0,56.0,23.0,43.0,9.0,30.0,5.0,39.0,7.0,31.0,8.0,4.0,22.0,1.0,11.0,10.0,12.0,2.0,75.0,21.0,55.0,34.0,88.0,68.0,73.0,275.0,0.0,42.0,26.0
2710,34.0,0.0,150.0,5.0,21.0,2.0,37.0,9.0,87.0,4.0,39.0,45.0,8.0,20.0,10.0,12.0,17.0,16.0,11.0,80.0,3.0,27.0,1.0,155.0,152.0,38.0,30.0,70.0,60.0,44.0
2759,19.0,2.0,0.0,3.0,133.0,12.0,15.0,4.0,54.0,1.0,78.0,14.0,13.0,35.0,37.0,23.0,7.0,17.0,33.0,79.0,24.0,49.0,6.0,195.0,48.0,112.0,103.0,5.0,53.0,36.0
2808,9.0,12.0,19.0,2.0,49.0,13.0,24.0,16.0,109.0,6.0,56.0,28.0,8.0,37.0,1.0,23.0,0.0,10.0,35.0,80.0,3.0,103.0,15.0,129.0,106.0,96.0,162.0,14.0,55.0,43.0
2857,48.0,2.0,36.0,17.0,54.0,18.0,34.0,22.0,27.0,4.0,127.0,14.0,8.0,32.0,30.0,11.0,3.0,7.0,0.0,90.0,9.0,51.0,10.0,162.0,79.0,123.0,97.0,28.0,146.0,6.0
2906,1.0,6.0,29.0,4.0,17.0,5.0,33.0,11.0,16.0,9.0,28.0,20.0,75.0,8.0,0.0,48.0,176.0,34.0,87.0,49.0,3.0,96.0,23.0,24.0,207.0,12.0,76.0,7.0,13.0,15.0
2955,5.0,13.0,6.0,2.0,22.0,10.0,36.0,12.0,3.0,8.0,0.0,25.0,18.0,33.0,17.0,26.0,29.0,38.0,7.0,56.0,111.0,31.0,100.0,19.0,1.0,4.0,69.0,144.0,11.0,21.0
3004,6.0,4.0,1.0,5.0,0.0,69.0,12.0,47.0,16.0,14.0,9.0,50.0,33.0,103.0,7.0,22.0,56.0,13.0,11.0,34.0,17.0,42.0,43.0,72.0,3.0,2.0,101.0,15.0,53.0,77.0
3053,6.0,9.0,1.0,15.0,16.0,30.0,13.0,46.0,0.0,8.0,4.0,48.0,2.0,58.0,7.0,21.0,73.0,24.0,18.0,92.0,32.0,17.0,121.0,29.0,5.0,3.0,69.0,38.0,27.0,10.0
3102,19.0,5.0,0.0,64.0,1.0,11.0,17.0,58.0,9.0,4.0,2.0,65.0,8.0,60.0,10.0,18.0,70.0,37.0,7.0,39.0,22.0,36.0,154.0,20.0,15.0,14.0,38.0,54.0,23.0,12.0
3151,5.0,30.0,6.0,23.0,16.0,33.0,20.0,4.0,0.0,7.0,49.0,147.0,2.0,51.0,15.0,45.0,11.0,40.0,28.0,90.0,22.0,26.0,59.0,9.0,1.0,27.0,53.0,31.0,57.0,25.0
3200,17.0,3.0,0.0,5.0,1.0,14.0,27.0,6.0,18.0,7.0,2.0,73.0,20.0,156.0,15.0,26.0,94.0,10.0,46.0,32.0,51.0,83.0,53.0,24.0,8.0,25.0,220.0,13.0,12.0,28.0
3249,32.0,30.0,1.0,17.0,0.0,3.0,12.0,37.0,19.0,5.0,2.0,13.0,6.0,25.0,10.0,62.0,47.0,44.0,42.0,64.0,49.0,16.0,121.0,26.0,7.0,22.0,100.0,31.0,4.0,56.0
3298,19.0,18.0,0.0,10.0,4.0,11.0,67.0,37.0,3.0,12.0,1.0,50.0,20.0,28.0,30.0,25.0,46.0,48.0,7.0,43.0,13.0,39.0,196.0,16.0,23.0,22.0,59.0,34.0,6.0,58.0
3347,8.0,14.0,24.0,3.0,22.0,0.0,10.0,43.0,17.0,13.0,7.0,2.0,1.0,56.0,12.0,25.0,67.0,48.0,23.0,46.0,11.0,5.0,92.0,39.0,4.0,9.0,223.0,18.0,30.0,51.0
3396,1.0,12.0,5.0,19.0,2.0,20.0,13.0,125.0,0.0,21.0,17.0,105.0,41.0,52.0,7.0,217.0,233.0,69.0,10.0,4.0,46.0,53.0,49.0,77.0,8.0,6.0,28.0,142.0,197.0,3.0
3445,11.0,32.0,0.0,19.0,31.0,34.0,7.0,5.0,35.0,170.0,76.0,10.0,72.0,20.0,1.0,13.0,28.0,85.0,61.0,27.0,6.0,29.0,24.0,23.0,17.0,12.0,43.0,108.0,26.0,128.0
3494,12.0,58.0,0.0,150.0,55.0,7.0,3.0,34.0,9.0,49.0,29.0,135.0,8.0,32.0,63.0,14.0,25.0,129.0,13.0,10.0,31.0,38.0,92.0,1.0,50.0,17.0,18.0,80.0,28.0,19.0
3543,7.0,6.0,0.0,50.0,42.0,1.0,5.0,23.0,9.0,29.0,64.0,51.0,11.0,94.0,45.0,3.0,40.0,46.0,12.0,18.0,25.0,15.0,105.0,10.0,48.0,20.0,8.0,112.0,38.0,14.0
3592,39.0,1.0,12.0,16.0,23.0,4.0,2.0,29.0,24.0,60.0,3.0,38.0,0.0,79.0,112.0,7.0,40.0,44.0,25.0,27.0,36.0,83.0,33.0,8.0,10.0,67.0,13.0,166.0,28.0,18.0
3641,23.0,10.0,0.0,8.0,4.0,2.0,1.0,15.0,17.0,34.0,26.0,45.0,20.0,69.0,63.0,18.0,120.0,112.0,21.0,19.0,44.0,79.0,221.0,3.0,11.0,85.0,7.0,134.0,98.0,32.0
3690,28.0,4.0,2.0,25.0,6.0,34.0,1.0,20.0,51.0,59.0,23.0,61.0,54.0,46.0,69.0,19.0,48.0,81.0,14.0,39.0,40.0,43.0,13.0,0.0,58.0,35.0,7.0,203.0,8.0,31.0
3739,23.0,13.0,0.0,14.0,22.0,17.0,4.0,10.0,15.0,21.0,42.0,121.0,11.0,76.0,1.0,3.0,36.0,72.0,12.0,26.0,54.0,31.0,53.0,2.0,8.0,56.0,9.0,160.0,18.0,25.0
3788,7.0,20.0,5.0,1.0,19.0,11.0,2.0,6.0,10.0,12.0,121.0,33.0,23.0,69.0,17.0,13.0,117.0,115.0,31.0,67.0,70.0,76.0,80.0,4.0,92.0,14.0,18.0,24.0,87.0,15.0
3837,2.0,25.0,0.0,18.0,52.0,1.0,7.0,16.0,10.0,107.0,12.0,28.0,4.0,44.0,27.0,6.0,196.0,92.0,8.0,119.0,43.0,50.0,79.0,3.0,32.0,22.0,24.0,19.0,61.0,36.0
3886,0.0,4.0,2.0,10.0,24.0,29.0,15.0,5.0,37.0,46.0,8.0,38.0,25.0,215.0,129.0,1.0,7.0,22.0,34.0,23.0,67.0,28.0,20.0,32.0,9.0,60.0,3.0,93.0,40.0,30.0
3935,40.0,32.0,16.0,1.0,10.0,4.0,34.0,11.0,24.0,35.0,2.0,0.0,8.0,44.0,69.0,9.0,39.0,22.0,26.0,28.0,21.0,51.0,7.0,3.0,88.0,59.0,52.0,6.0,36.0,126.0
3984,2.0,6.0,43.0,0.0,3.0,4.0,11.0,51.0,41.0,44.0,1.0,7.0,5.0,19.0,25.0,10.0,48.0,16.0,40.0,26.0,17.0,96.0,54.0,8.0,14.0,36.0,37.0,9.0,23.0,53.0
4033,3.0,88.0,27.0,9.0,0.0,26.0,16.0,63.0,39.0,65.0,2.0,1.0,36.0,19.0,28.0,33.0,32.0,38.0,11.0,7.0,13.0,30.0,8.0,12.0,14.0,5.0,4.0,45.0,62.0,120.0
4082,4.0,10.0,19.0,6.0,0.0,13.0,44.0,27.0,16.0,7.0,18.0,9.0,3.0,24.0,30.0,12.0,17.0,11.0,14.0,112.0,34.0,32.0,108.0,1.0,33.0,20.0,40.0,5.0,42.0,53.0
4131,15.0,11.0,55.0,0.0,16.0,14.0,41.0,5.0,32.0,12.0,1.0,2.0,8.0,24.0,7.0,9.0,10.0,23.0,13.0,30.0,19.0,60.0,22.0,46.0,85.0,167.0,4.0,6.0,91.0,84.0
4180,32.0,18.0,46.0,5.0,7.0,3.0,11.0,48.0,35.0,30.0,8.0,2.0,0.0,66.0,14.0,27.0,13.0,4.0,34.0,126.0,15.0,9.0,31.0,6.0,26.0,58.0,64.0,1.0,49.0,59.0
4229,3.0,2.0,84.0,7.0,6.0,12.0,23.0,14.0,15.0,25.0,18.0,11.0,9.0,29.0,0.0,87.0,77.0,5.0,16.0,54.0,32.0,63.0,51.0,40.0,45.0,67.0,30.0,1.0,36.0,90.0
4278,0.0,1.0,7.0,6.0,8.0,30.0,25.0,34.0,5.0,27.0,10.0,18.0,17.0,23.0,2.0,45.0,58.0,14.0,20.0,67.0,28.0,104.0,36.0,84.0,15.0,57.0,38.0,55.0,26.0,101.0
4327,2.0,1.0,7.0,53.0,13.0,40.0,49.0,32.0,42.0,54.0,74.0,4.0,5.0,63.0,50.0,25.0,15.0,9.0,19.0,73.0,28.0,24.0,0.0,3.0,43.0,68.0,44.0,37.0,88.0,35.0
4376,0.0,7.0,16.0,10.0,4.0,105.0,28.0,2.0,51.0,26.0,8.0,6.0,22.0,44.0,87.0,57.0,1.0,12.0,114.0,32.0,42.0,31.0,29.0,50.0,17.0,91.0,18.0,23.0,65.0,66.0
4425,9.0,1.0,62.0,6.0,14.0,2.0,18.0,84.0,5.0,86.0,31.0,47.0,45.0,8.0,25.0,46.0,13.0,29.0,27.0,21.0,20.0,3.0,94.0,28.0,15.0,55.0,44.0,22.0,0.0,37.0
4474,28.0,1.0,95.0,13.0,38.0,8.0,101.0,12.0,19.0,48.0,4.0,85.0,58.0,2.0,93.0,22.0,31.0,16.0,11.0,29.0,18.0,10.0,3.0,73.0,27.0,49.0,15.0,64.0,0.0,40.0
4523,14.0,0.0,51.0,3.0,8.0,13.0,2.0,90.0,55.0,43.0,23.0,60.0,45.0,33.0,27.0,7.0,5.0,38.0,49.0,29.0,22.0,6.0,30.0,42.0,41.0,19.0,21.0,113.0,1.0,10.0
4572,10.0,3.0,118.0,0.0,20.0,4.0,30.0,43.0,14.0,41.0,9.0,44.0,13.0,6.0,17.0,76.0,19.0,27.0,7.0,22.0,47.0,8.0,92.0,141.0,1.0,35.0,5.0,42.0,15.0,24.0
4621,17.0,2.0,88.0,5.0,16.0,8.0,87.0,4.0,20.0,22.0,61.0,70.0,65.0,15.0,116.0,23.0,1.0,9.0,86.0,26.0,13.0,3.0,79.0,143.0,54.0,113.0,29.0,25.0,0.0,90.0
4670,76.0,58.0,56.0,7.0,70.0,23.0,13.0,27.0,42.0,108.0,8.0,62.0,37.0,3.0,125.0,28.0,1.0,18.0,72.0,2.0,26.0,4.0,98.0,47.0,21.0,90.0,0.0,11.0,6.0,52.0
4719,16.0,2.0,55.0,13.0,40.0,25.0,30.0,3.0,12.0,14.0,24.0,7.0,38.0,10.0,39.0,36.0,20.0,56.0,44.0,17.0,8.0,15.0,66.0,64.0,0.0,110.0,4.0,29.0,1.0,46.0
4768,10.0,3.0,58.0,4.0,9.0,6.0,27.0,190.0,28.0,191.0,0.0,72.0,11.0,19.0,47.0,35.0,51.0,52.0,17.0,20.0,15.0,25.0,130.0,101.0,8.0,56.0,48.0,23.0,1.0,73.0
4817,28.0,4.0,98.0,2.0,12.0,3.0,22.0,73.0,56.0,119.0,1.0,40.0,120.0,34.0,88.0,20.0,19.0,39.0,31.0,13.0,71.0,26.0,203.0,35.0,14.0,65.0,0.0,23.0,5.0,7.0
4866,6.0,11.0,21.0,30.0,9.0,124.0,45.0,76.0,15.0,83.0,33.0,32.0,35.0,13.0,14.0,68.0,43.0,38.0,39.0,0.0,8.0,10.0,19.0,145.0,1.0,16.0,2.0,66.0,7.0,44.0
