,PDLIM4,NDN,RP11-834C11.4,BHLHE41,CTD-2231H16.1,NUP210,FBXL7,PRKCQ-AS1,DYRK4,GGT6,RP11-745O10.2,CASC9,SLIT3,BMPR1B,DACH1,UNC5B,GLB1L2,PRDM5,VSIG2,AUTS2,ZNF853,GPR35,CP,RPL30P14,LXN,LGALS9,AP001258.4,ACOT1,TWIST2,KBTBD11
1529,3.0,19.0,0.0,16.0,10.0,2.0,53.0,12.0,1.0,72.0,8.0,13.0,11.0,4.0,118.0,77.0,280.0,37.0,5.0,126.0,15.0,64.0,38.0,49.0,173.0,335.0,134.0,358.0,129.0,39.0
1578,8.0,0.0,3.0,2.0,4.0,5.0,60.0,53.0,6.0,18.0,9.0,31.0,1.0,12.0,21.0,13.0,64.0,49.0,16.0,76.0,63.0,27.0,10.0,124.0,351.0,33.0,114.0,252.0,55.0,67.0
1627,0.0,16.0,10.0,9.0,1.0,3.0,32.0,6.0,2.0,43.0,5.0,57.0,4.0,22.0,17.0,11.0,55.0,12.0,52.0,48.0,7.0,51.0,20.0,132.0,27.0,36.0,260.0,423.0,63.0,35.0
1676,12.0,49.0,13.0,2.0,1.0,0.0,17.0,9.0,11.0,119.0,22.0,124.0,33.0,21.0,4.0,25.0,19.0,3.0,16.0,20.0,15.0,39.0,24.0,6.0,117.0,42.0,191.0,54.0,36.0,91.0
1725,6.0,17.0,8.0,83.0,2.0,1.0,21.0,14.0,0.0,91.0,71.0,1434.0,1362.0,405.0,675.0,280.0,94.0,4.0,7.0,281.0,10.0,28.0,2444.0,106.0,57.0,99.0,518.0,295.0,64.0,24.0
1774,10.0,8.0,3.0,13.0,4.0,0.0,73.0,2.0,5.0,11.0,7.0,41.0,1.0,17.0,28.0,31.0,118.0,26.0,6.0,119.0,16.0,44.0,9.0,30.0,50.0,70.0,194.0,178.0,21.0,53.0
1823,1.0,19.0,12.0,4.0,3.0,0.0,28.0,29.0,2.0,22.0,16.0,62.0,6.0,40.0,11.0,35.0,36.0,33.0,9.0,63.0,13.0,54.0,382.0,135.0,27.0,44.0,437.0,217.0,194.0,79.0
1872,30.0,19.0,4.0,16.0,5.0,0.0,62.0,20.0,8.0,66.0,34.0,21.0,1.0,17.0,9.0,139.0,137.0,36.0,91.0,72.0,3.0,25.0,15.0,42.0,917.0,29.0,84.0,33.0,165.0,26.0
1921,0.0,2.0,18.0,4.0,8.0,1.0,22.0,5.0,3.0,39.0,11.0,181.0,6.0,15.0,24.0,34.0,40.0,51.0,25.0,57.0,9.0,21.0,12.0,288.0,513.0,155.0,55.0,140.0,284.0,32.0
1970,4.0,1.0,9.0,0.0,6.0,73.0,5.0,19.0,39.0,25.0,33.0,102.0,18.0,10.0,3.0,8.0,7.0,12.0,62.0,2.0,566.0,88.0,119.0,20.0,13.0,266.0,91.0,55.0,28.0,187.0
2019,3.0,0.0,14.0,1.0,6.0,30.0,4.0,23.0,61.0,13.0,69.0,11.0,7.0,5.0,8.0,2.0,39.0,17.0,46.0,18.0,701.0,87.0,42.0,21.0,172.0,78.0,52.0,45.0,16.0,79.0
2068,2.0,0.0,3.0,1.0,14.0,167.0,6.0,11.0,22.0,7.0,84.0,68.0,65.0,12.0,9.0,5.0,19.0,83.0,34.0,29.0,92.0,178.0,127.0,76.0,18.0,60.0,110.0,80.0,353.0,20.0
2117,0.0,2.0,15.0,25.0,36.0,1.0,4.0,41.0,16.0,6.0,154.0,823.0,7.0,42.0,19.0,3.0,8.0,51.0,24.0,12.0,247.0,54.0,141.0,10.0,65.0,723.0,47.0,143.0,212.0,101.0
2166,2.0,22.0,1.0,0.0,20.0,3.0,5.0,41.0,18.0,12.0,8.0,309.0,11.0,13.0,4.0,6.0,159.0,196.0,73.0,10.0,632.0,56.0,7.0,40.0,31.0,150.0,61.0,16.0,129.0,171.0
2215,0.0,2.0,1.0,4.0,3.0,21.0,5.0,24.0,10.0,9.0,100.0,98.0,20.0,11.0,7.0,15.0,17.0,22.0,261.0,41.0,1041.0,60.0,102.0,18.0,431.0,123.0,34.0,26.0,57.0,111.0
2264,0.0,3.0,2.0,1.0,6.0,9.0,11.0,106.0,22.0,17.0,10.0,4.0,29.0,13.0,5.0,16.0,41.0,15.0,271.0,14.0,19.0,193.0,1013.0,24.0,272.0,262.0,139.0,247.0,58.0,108.0
2313,3.0,0.0,7.0,4.0,1.0,29.0,6.0,15.0,26.0,20.0,47.0,554.0,11.0,36.0,5.0,2.0,9.0,169.0,187.0,14.0,460.0,41.0,135.0,43.0,220.0,481.0,116.0,19.0,98.0,21.0
2362,0.0,4.0,21.0,6.0,15.0,189.0,14.0,26.0,68.0,1.0,20.0,10.0,186.0,95.0,27.0,17.0,8.0,42.0,39.0,16.0,2535.0,70.0,128.0,150.0,18.0,83.0,49.0,110.0,87.0,28.0
2411,1.0,0.0,4.0,12.0,106.0,15.0,16.0,18.0,10.0,2.0,174.0,186.0,14.0,83.0,17.0,7.0,13.0,32.0,36.0,8.0,24.0,425.0,37.0,140.0,49.0,118.0,341.0,96.0,312.0,112.0
2460,1.0,0.0,2.0,3.0,16.0,7.0,8.0,36.0,124.0,14.0,83.0,94.0,25.0,34.0,5.0,45.0,4.0,430.0,75.0,10.0,117.0,50.0,139.0,221.0,17.0,13.0,64.0,152.0,355.0,103.0
2509,0.0,1.0,4.0,3.0,494.0,2.0,10.0,69.0,50.0,30.0,104.0,44.0,6.0,197.0,5.0,57.0,12.0,37.0,26.0,122.0,78.0,372.0,908.0,2363.0,294.0,485.0,76.0,64.0,329.0,799.0
2558,1.0,4.0,6.0,3.0,9.0,2.0,5.0,41.0,17.0,16.0,180.0,67.0,231.0,12.0,15.0,97.0,19.0,328.0,7.0,88.0,21.0,85.0,18.0,433.0,8.0,13.0,215.0,405.0,82.0,176.0
2607,1.0,4.0,2.0,3.0,18.0,6.0,21.0,58.0,135.0,5.0,13.0,15.0,40.0,104.0,7.0,131.0,0.0,26.0,10.0,72.0,1086.0,62.0,147.0,589.0,343.0,51.0,121.0,60.0,153.0,77.0
2656,1.0,0.0,8.0,2.0,85.0,6.0,14.0,12.0,248.0,104.0,42.0,174.0,16.0,60.0,4.0,58.0,7.0,3.0,131.0,65.0,61.0,22.0,368.0,72.0,15.0,32.0,212.0,52.0,509.0,584.0
2705,0.0,1.0,5.0,4.0,24.0,2.0,9.0,3.0,71.0,10.0,7.0,46.0,30.0,6.0,11.0,64.0,13.0,81.0,15.0,12.0,29.0,113.0,39.0,613.0,139.0,22.0,48.0,86.0,751.0,263.0
2754,0.0,4.0,1.0,9.0,353.0,3.0,11.0,86.0,19.0,6.0,119.0,5.0,8.0,30.0,38.0,20.0,22.0,2.0,16.0,12.0,27.0,123.0,322.0,297.0,17.0,71.0,218.0,60.0,108.0,154.0
2803,0.0,1.0,5.0,2.0,16.0,18.0,3.0,34.0,38.0,4.0,60.0,57.0,11.0,49.0,7.0,25.0,44.0,13.0,41.0,24.0,276.0,143.0,1604.0,520.0,223.0,33.0,53.0,76.0,377.0,664.0
2852,0.0,1.0,5.0,4.0,23.0,8.0,9.0,22.0,60.0,18.0,29.0,31.0,54.0,43.0,7.0,82.0,14.0,6.0,48.0,88.0,47.0,16.0,90.0,189.0,142.0,21.0,51.0,56.0,1567.0,275.0
2901,0.0,2.0,6.0,4.0,1346.0,9.0,31.0,77.0,46.0,20.0,34.0,1.0,175.0,10.0,24.0,233.0,78.0,74.0,12.0,210.0,70.0,69.0,634.0,194.0,136.0,55.0,287.0,263.0,116.0,236.0
