,Caspase-7_cleavedD198,Lck,Chk1,IRS1,Rb,PDK1_pS241,Paxillin,NDRG1_pT346,Porin,Bim(EP1036),Beclin,MSH6,ADAR1,Fibronectin,4E-BP1,A-Raf_pS299,4E-BP1_pT37_T46,Acetyl-a-Tubulin (Lys40),PEA15,YAP_pS127,AMPK_pT172,PAI-1,PDK1,PDCD4,Stathmin,p70S6K_pT389,PI3K-p110-alpha,PI3K-p85,p90RSK_pT359_S363,PEA15_pS116
839,22.0,0.0,13.0,36.0,17.0,16.0,48.0,1.0,3.0,8.0,24.0,144.0,26.0,21.0,4.0,30.0,35.0,117.0,44.0,37.0,31.0,49.0,15.0,12.0,70.0,52.0,42.0,43.0,5.0,40.0
888,98.0,1.0,0.0,2.0,78.0,23.0,24.0,7.0,20.0,30.0,35.0,143.0,6.0,22.0,114.0,39.0,9.0,37.0,64.0,27.0,33.0,44.0,48.0,47.0,5.0,42.0,66.0,65.0,43.0,92.0
937,9.0,0.0,130.0,33.0,15.0,7.0,12.0,4.0,1.0,103.0,98.0,144.0,35.0,21.0,114.0,117.0,2.0,5.0,25.0,72.0,34.0,52.0,46.0,3.0,32.0,37.0,41.0,40.0,56.0,43.0
986,0.0,6.0,14.0,3.0,84.0,19.0,51.0,17.0,24.0,99.0,15.0,144.0,29.0,27.0,2.0,4.0,35.0,40.0,46.0,63.0,123.0,25.0,49.0,50.0,71.0,11.0,48.0,43.0,55.0,45.0
1035,98.0,35.0,23.0,139.0,20.0,58.0,18.0,1.0,19.0,103.0,3.0,133.0,0.0,21.0,31.0,39.0,115.0,4.0,47.0,62.0,123.0,54.0,49.0,50.0,32.0,9.0,43.0,59.0,12.0,42.0
1084,1.0,5.0,146.0,0.0,83.0,4.0,7.0,9.0,22.0,13.0,23.0,143.0,6.0,19.0,34.0,117.0,115.0,27.0,17.0,35.0,124.0,14.0,54.0,47.0,63.0,43.0,39.0,42.0,3.0,40.0
1133,6.0,25.0,11.0,5.0,17.0,20.0,43.0,30.0,88.0,14.0,2.0,27.0,8.0,159.0,114.0,32.0,35.0,7.0,19.0,58.0,122.0,46.0,44.0,1.0,38.0,22.0,62.0,63.0,18.0,61.0
1182,16.0,5.0,146.0,25.0,82.0,35.0,1.0,32.0,57.0,0.0,99.0,9.0,121.0,159.0,114.0,11.0,10.0,120.0,34.0,8.0,125.0,54.0,36.0,24.0,26.0,19.0,37.0,38.0,41.0,29.0
1231,5.0,25.0,2.0,10.0,76.0,49.0,42.0,1.0,21.0,0.0,9.0,11.0,8.0,7.0,114.0,34.0,28.0,12.0,61.0,59.0,124.0,41.0,44.0,43.0,31.0,38.0,62.0,90.0,45.0,63.0
1280,0.0,7.0,1.0,136.0,82.0,5.0,40.0,22.0,62.0,98.0,95.0,144.0,31.0,156.0,28.0,29.0,25.0,33.0,36.0,52.0,4.0,41.0,39.0,14.0,32.0,46.0,37.0,42.0,20.0,43.0
1329,0.0,3.0,146.0,5.0,91.0,18.0,21.0,4.0,74.0,26.0,9.0,143.0,28.0,13.0,113.0,29.0,2.0,8.0,16.0,72.0,122.0,54.0,48.0,52.0,32.0,49.0,40.0,39.0,24.0,42.0
1378,10.0,25.0,113.0,24.0,82.0,44.0,0.0,2.0,92.0,17.0,30.0,3.0,33.0,153.0,40.0,125.0,29.0,6.0,16.0,42.0,7.0,50.0,46.0,47.0,37.0,22.0,80.0,66.0,19.0,57.0
1427,3.0,9.0,13.0,2.0,80.0,45.0,21.0,6.0,91.0,19.0,0.0,133.0,32.0,157.0,26.0,117.0,8.0,33.0,7.0,56.0,123.0,42.0,37.0,39.0,4.0,5.0,41.0,62.0,44.0,40.0
1476,0.0,3.0,8.0,6.0,88.0,51.0,15.0,29.0,78.0,106.0,1.0,5.0,4.0,2.0,127.0,31.0,30.0,34.0,21.0,76.0,118.0,56.0,54.0,59.0,39.0,42.0,47.0,46.0,53.0,49.0
1525,16.0,0.0,20.0,35.0,86.0,18.0,14.0,129.0,1.0,10.0,106.0,3.0,122.0,158.0,33.0,118.0,116.0,40.0,48.0,74.0,127.0,11.0,51.0,54.0,6.0,47.0,41.0,46.0,50.0,57.0
1574,15.0,5.0,130.0,39.0,16.0,41.0,3.0,146.0,21.0,11.0,106.0,31.0,30.0,1.0,114.0,32.0,27.0,118.0,44.0,37.0,123.0,18.0,42.0,43.0,40.0,12.0,54.0,75.0,50.0,45.0
1623,7.0,0.0,11.0,28.0,73.0,24.0,45.0,1.0,30.0,102.0,37.0,29.0,41.0,19.0,115.0,2.0,34.0,121.0,23.0,61.0,38.0,25.0,43.0,44.0,84.0,27.0,65.0,93.0,26.0,52.0
1672,2.0,28.0,15.0,26.0,13.0,19.0,21.0,0.0,12.0,103.0,4.0,132.0,38.0,16.0,1.0,117.0,3.0,41.0,17.0,57.0,125.0,50.0,48.0,20.0,87.0,45.0,31.0,91.0,24.0,65.0
1721,2.0,0.0,9.0,20.0,76.0,44.0,17.0,27.0,14.0,10.0,26.0,143.0,127.0,6.0,114.0,31.0,1.0,120.0,50.0,37.0,28.0,43.0,25.0,47.0,38.0,39.0,62.0,89.0,46.0,63.0
1770,3.0,26.0,29.0,2.0,8.0,46.0,5.0,0.0,27.0,102.0,41.0,143.0,42.0,17.0,36.0,31.0,37.0,118.0,52.0,43.0,39.0,23.0,18.0,21.0,77.0,62.0,78.0,65.0,24.0,63.0
1819,12.0,6.0,13.0,8.0,15.0,5.0,23.0,14.0,3.0,106.0,26.0,133.0,34.0,158.0,39.0,37.0,126.0,33.0,45.0,36.0,120.0,24.0,42.0,46.0,28.0,7.0,62.0,94.0,49.0,50.0
1868,14.0,2.0,18.0,16.0,90.0,26.0,12.0,29.0,27.0,8.0,0.0,3.0,121.0,157.0,127.0,33.0,31.0,4.0,53.0,65.0,37.0,9.0,58.0,43.0,40.0,46.0,51.0,50.0,44.0,52.0
1917,11.0,9.0,27.0,19.0,13.0,0.0,1.0,14.0,4.0,102.0,8.0,144.0,127.0,6.0,114.0,32.0,34.0,35.0,20.0,38.0,29.0,45.0,41.0,40.0,82.0,7.0,61.0,90.0,25.0,76.0
1966,97.0,0.0,28.0,23.0,2.0,5.0,4.0,38.0,14.0,103.0,1.0,144.0,33.0,27.0,31.0,117.0,115.0,120.0,6.0,30.0,36.0,21.0,19.0,41.0,37.0,47.0,91.0,18.0,46.0,67.0
2015,0.0,140.0,3.0,22.0,13.0,6.0,19.0,76.0,15.0,4.0,27.0,25.0,2.0,157.0,1.0,5.0,115.0,31.0,16.0,34.0,124.0,42.0,18.0,40.0,78.0,41.0,62.0,77.0,45.0,51.0
2064,1.0,4.0,12.0,6.0,72.0,0.0,17.0,29.0,8.0,28.0,33.0,26.0,10.0,161.0,31.0,117.0,115.0,9.0,62.0,2.0,36.0,19.0,43.0,42.0,86.0,38.0,63.0,90.0,45.0,91.0
2113,106.0,7.0,11.0,0.0,76.0,18.0,24.0,21.0,2.0,12.0,3.0,10.0,1.0,159.0,113.0,29.0,114.0,28.0,40.0,4.0,123.0,33.0,32.0,42.0,71.0,39.0,58.0,90.0,37.0,57.0
2162,13.0,1.0,10.0,33.0,4.0,5.0,15.0,16.0,56.0,99.0,95.0,3.0,25.0,18.0,113.0,21.0,22.0,17.0,39.0,70.0,32.0,42.0,12.0,53.0,27.0,44.0,38.0,36.0,43.0,35.0
2211,11.0,9.0,129.0,25.0,76.0,27.0,4.0,7.0,86.0,104.0,35.0,1.0,5.0,2.0,36.0,33.0,34.0,6.0,16.0,41.0,30.0,0.0,39.0,40.0,3.0,48.0,62.0,91.0,45.0,92.0
2260,0.0,39.0,21.0,32.0,6.0,59.0,7.0,3.0,62.0,105.0,10.0,1.0,30.0,12.0,26.0,5.0,126.0,29.0,44.0,76.0,35.0,48.0,19.0,47.0,65.0,11.0,40.0,41.0,46.0,43.0
2309,3.0,37.0,1.0,16.0,94.0,33.0,19.0,0.0,11.0,21.0,2.0,6.0,7.0,158.0,12.0,27.0,25.0,30.0,4.0,18.0,34.0,46.0,56.0,20.0,63.0,49.0,39.0,44.0,48.0,40.0
2358,0.0,1.0,19.0,17.0,3.0,59.0,18.0,4.0,61.0,13.0,9.0,134.0,34.0,10.0,27.0,5.0,29.0,36.0,2.0,26.0,40.0,15.0,52.0,53.0,25.0,55.0,46.0,45.0,56.0,47.0
2407,6.0,37.0,14.0,40.0,13.0,15.0,3.0,34.0,88.0,99.0,8.0,5.0,0.0,2.0,113.0,26.0,115.0,24.0,18.0,36.0,27.0,47.0,44.0,57.0,35.0,11.0,43.0,54.0,49.0,42.0
2456,11.0,3.0,10.0,25.0,14.0,17.0,8.0,2.0,84.0,107.0,27.0,0.0,31.0,159.0,38.0,114.0,4.0,33.0,75.0,42.0,121.0,43.0,20.0,40.0,78.0,22.0,90.0,18.0,45.0,62.0
2505,6.0,30.0,17.0,9.0,15.0,0.0,2.0,32.0,7.0,100.0,95.0,127.0,117.0,157.0,1.0,3.0,31.0,115.0,23.0,33.0,122.0,12.0,14.0,47.0,60.0,11.0,53.0,40.0,51.0,44.0
2554,2.0,32.0,0.0,30.0,84.0,55.0,1.0,7.0,10.0,11.0,3.0,26.0,4.0,159.0,8.0,33.0,23.0,117.0,19.0,47.0,123.0,48.0,45.0,15.0,29.0,25.0,42.0,36.0,51.0,38.0
2603,6.0,2.0,10.0,3.0,5.0,11.0,18.0,55.0,1.0,13.0,94.0,27.0,35.0,161.0,0.0,4.0,112.0,32.0,61.0,54.0,121.0,41.0,16.0,47.0,9.0,43.0,86.0,85.0,39.0,60.0
2652,7.0,1.0,0.0,5.0,59.0,15.0,48.0,96.0,35.0,4.0,3.0,29.0,33.0,163.0,6.0,28.0,26.0,31.0,46.0,74.0,122.0,49.0,8.0,47.0,63.0,17.0,57.0,42.0,50.0,45.0
2701,13.0,10.0,12.0,4.0,71.0,20.0,1.0,27.0,11.0,108.0,96.0,3.0,2.0,19.0,9.0,115.0,7.0,32.0,62.0,37.0,122.0,38.0,18.0,46.0,83.0,44.0,89.0,88.0,43.0,63.0
2750,9.0,12.0,129.0,136.0,84.0,1.0,5.0,14.0,11.0,7.0,97.0,144.0,0.0,33.0,114.0,6.0,4.0,8.0,39.0,24.0,32.0,42.0,36.0,55.0,62.0,45.0,35.0,26.0,44.0,37.0
2799,4.0,22.0,16.0,5.0,80.0,1.0,46.0,28.0,14.0,9.0,30.0,25.0,0.0,158.0,31.0,35.0,3.0,118.0,45.0,60.0,123.0,40.0,41.0,42.0,79.0,61.0,77.0,64.0,47.0,50.0
2848,101.0,4.0,1.0,5.0,86.0,6.0,43.0,9.0,19.0,107.0,8.0,3.0,27.0,13.0,2.0,116.0,11.0,10.0,36.0,37.0,26.0,44.0,34.0,17.0,69.0,48.0,38.0,39.0,47.0,42.0
2897,16.0,8.0,7.0,1.0,18.0,2.0,50.0,43.0,3.0,99.0,26.0,93.0,9.0,157.0,5.0,29.0,30.0,117.0,45.0,59.0,123.0,14.0,48.0,15.0,70.0,24.0,37.0,39.0,52.0,55.0
2946,9.0,140.0,2.0,6.0,13.0,25.0,19.0,30.0,32.0,10.0,97.0,8.0,1.0,20.0,0.0,29.0,31.0,117.0,4.0,33.0,122.0,54.0,39.0,3.0,24.0,16.0,37.0,38.0,42.0,36.0
2995,0.0,34.0,14.0,36.0,15.0,1.0,8.0,92.0,24.0,4.0,95.0,3.0,30.0,158.0,2.0,116.0,27.0,120.0,7.0,26.0,123.0,55.0,49.0,50.0,38.0,53.0,41.0,21.0,56.0,44.0
3044,3.0,23.0,98.0,6.0,82.0,4.0,8.0,0.0,18.0,14.0,27.0,2.0,31.0,157.0,115.0,5.0,34.0,33.0,17.0,39.0,32.0,45.0,41.0,42.0,73.0,50.0,43.0,51.0,49.0,46.0
3093,0.0,2.0,10.0,21.0,82.0,45.0,18.0,11.0,92.0,7.0,26.0,22.0,30.0,14.0,39.0,36.0,34.0,32.0,44.0,58.0,33.0,50.0,46.0,4.0,35.0,52.0,42.0,54.0,19.0,43.0
3142,0.0,139.0,10.0,3.0,1.0,13.0,16.0,25.0,74.0,7.0,100.0,9.0,2.0,157.0,22.0,26.0,24.0,115.0,39.0,21.0,119.0,18.0,38.0,36.0,15.0,55.0,37.0,35.0,41.0,33.0
3191,0.0,42.0,22.0,1.0,95.0,15.0,13.0,132.0,37.0,12.0,8.0,30.0,29.0,10.0,6.0,31.0,125.0,33.0,18.0,63.0,36.0,47.0,14.0,57.0,2.0,40.0,53.0,51.0,54.0,55.0
3240,1.0,28.0,3.0,25.0,81.0,0.0,5.0,6.0,29.0,14.0,97.0,12.0,10.0,163.0,113.0,2.0,115.0,120.0,24.0,13.0,26.0,40.0,38.0,54.0,60.0,22.0,33.0,34.0,39.0,32.0
3289,0.0,34.0,21.0,5.0,83.0,2.0,15.0,82.0,14.0,9.0,96.0,23.0,1.0,158.0,114.0,7.0,116.0,120.0,6.0,24.0,123.0,43.0,40.0,42.0,68.0,46.0,41.0,38.0,45.0,39.0
3338,3.0,27.0,15.0,1.0,18.0,13.0,12.0,29.0,95.0,6.0,14.0,136.0,0.0,5.0,127.0,32.0,30.0,34.0,54.0,28.0,38.0,45.0,24.0,59.0,44.0,49.0,51.0,50.0,52.0,62.0
3387,5.0,141.0,18.0,12.0,80.0,1.0,7.0,26.0,0.0,2.0,95.0,13.0,118.0,158.0,20.0,115.0,113.0,116.0,19.0,17.0,122.0,45.0,38.0,42.0,29.0,8.0,35.0,34.0,48.0,36.0
3436,1.0,12.0,7.0,11.0,2.0,25.0,0.0,28.0,4.0,20.0,26.0,8.0,35.0,160.0,9.0,117.0,115.0,32.0,47.0,30.0,31.0,39.0,43.0,42.0,77.0,36.0,92.0,93.0,37.0,60.0
3485,7.0,6.0,1.0,3.0,18.0,0.0,24.0,80.0,9.0,103.0,25.0,29.0,5.0,23.0,114.0,118.0,116.0,121.0,48.0,27.0,34.0,12.0,51.0,54.0,62.0,49.0,44.0,22.0,50.0,45.0
3534,31.0,21.0,2.0,3.0,10.0,58.0,16.0,35.0,59.0,1.0,5.0,30.0,6.0,23.0,24.0,28.0,125.0,123.0,19.0,75.0,119.0,15.0,47.0,18.0,64.0,49.0,45.0,44.0,46.0,13.0
3583,13.0,6.0,30.0,1.0,8.0,62.0,20.0,0.0,12.0,29.0,9.0,2.0,11.0,18.0,114.0,117.0,5.0,127.0,14.0,59.0,4.0,37.0,45.0,35.0,36.0,22.0,89.0,88.0,40.0,90.0
3632,0.0,35.0,33.0,2.0,86.0,36.0,21.0,16.0,77.0,14.0,97.0,144.0,118.0,160.0,9.0,24.0,7.0,28.0,41.0,32.0,121.0,55.0,43.0,40.0,63.0,13.0,8.0,10.0,46.0,42.0
3681,100.0,2.0,13.0,1.0,21.0,38.0,44.0,96.0,93.0,14.0,109.0,6.0,119.0,158.0,3.0,26.0,24.0,117.0,39.0,73.0,128.0,16.0,56.0,43.0,7.0,8.0,32.0,29.0,46.0,40.0
3730,7.0,1.0,0.0,3.0,2.0,53.0,17.0,19.0,27.0,9.0,99.0,144.0,121.0,23.0,29.0,116.0,33.0,120.0,16.0,61.0,126.0,25.0,54.0,55.0,71.0,52.0,57.0,39.0,45.0,46.0
3779,12.0,0.0,129.0,2.0,4.0,16.0,44.0,24.0,19.0,102.0,97.0,10.0,1.0,160.0,9.0,115.0,3.0,30.0,5.0,70.0,31.0,45.0,42.0,43.0,57.0,48.0,36.0,8.0,47.0,37.0
3828,9.0,26.0,2.0,3.0,0.0,16.0,56.0,7.0,4.0,99.0,21.0,37.0,1.0,159.0,114.0,35.0,116.0,27.0,19.0,20.0,33.0,24.0,42.0,13.0,66.0,14.0,43.0,40.0,46.0,41.0
3877,2.0,16.0,107.0,11.0,17.0,1.0,22.0,55.0,5.0,14.0,26.0,8.0,7.0,159.0,9.0,0.0,111.0,115.0,6.0,31.0,120.0,24.0,36.0,43.0,4.0,40.0,60.0,86.0,39.0,87.0
3926,105.0,1.0,110.0,36.0,84.0,21.0,45.0,2.0,77.0,99.0,6.0,9.0,0.0,8.0,114.0,29.0,7.0,120.0,10.0,60.0,33.0,44.0,38.0,56.0,69.0,49.0,41.0,53.0,48.0,18.0
3975,8.0,1.0,130.0,2.0,9.0,19.0,21.0,97.0,92.0,104.0,38.0,0.0,5.0,6.0,126.0,32.0,35.0,36.0,18.0,39.0,42.0,49.0,45.0,47.0,86.0,65.0,52.0,27.0,23.0,44.0
4024,98.0,2.0,0.0,22.0,5.0,6.0,36.0,146.0,74.0,102.0,9.0,143.0,30.0,160.0,24.0,116.0,115.0,120.0,34.0,72.0,124.0,54.0,37.0,35.0,61.0,43.0,25.0,38.0,40.0,39.0
4073,11.0,7.0,10.0,2.0,4.0,8.0,42.0,79.0,3.0,104.0,109.0,144.0,6.0,27.0,33.0,36.0,5.0,1.0,47.0,61.0,31.0,41.0,45.0,44.0,77.0,48.0,78.0,64.0,19.0,63.0
4122,116.0,2.0,111.0,1.0,0.0,17.0,49.0,134.0,41.0,9.0,3.0,137.0,28.0,11.0,69.0,34.0,32.0,37.0,40.0,65.0,29.0,16.0,47.0,48.0,21.0,53.0,18.0,7.0,52.0,35.0
4171,2.0,40.0,16.0,140.0,23.0,0.0,60.0,1.0,13.0,10.0,17.0,133.0,3.0,8.0,115.0,4.0,29.0,118.0,50.0,27.0,36.0,61.0,56.0,58.0,41.0,59.0,46.0,45.0,12.0,49.0
4220,2.0,22.0,130.0,27.0,3.0,6.0,44.0,1.0,17.0,105.0,7.0,8.0,119.0,159.0,34.0,33.0,0.0,38.0,48.0,36.0,5.0,47.0,39.0,41.0,80.0,26.0,20.0,19.0,42.0,62.0
4269,101.0,1.0,18.0,36.0,0.0,3.0,24.0,14.0,26.0,8.0,15.0,133.0,33.0,157.0,5.0,29.0,28.0,31.0,17.0,62.0,2.0,12.0,52.0,53.0,73.0,58.0,47.0,43.0,50.0,48.0
4318,2.0,20.0,11.0,5.0,15.0,6.0,37.0,81.0,89.0,103.0,24.0,144.0,0.0,18.0,3.0,117.0,115.0,33.0,39.0,56.0,28.0,36.0,38.0,43.0,27.0,46.0,42.0,77.0,60.0,40.0
4367,3.0,8.0,0.0,136.0,80.0,23.0,10.0,27.0,25.0,98.0,7.0,143.0,6.0,22.0,9.0,116.0,114.0,118.0,45.0,58.0,31.0,24.0,46.0,38.0,33.0,44.0,40.0,41.0,43.0,37.0
4416,14.0,0.0,4.0,15.0,1.0,25.0,20.0,28.0,21.0,12.0,22.0,133.0,128.0,23.0,9.0,116.0,33.0,119.0,39.0,34.0,31.0,48.0,42.0,43.0,75.0,51.0,78.0,92.0,50.0,53.0
4465,106.0,0.0,16.0,18.0,14.0,25.0,44.0,9.0,5.0,10.0,7.0,15.0,3.0,158.0,2.0,8.0,33.0,117.0,42.0,28.0,121.0,37.0,41.0,40.0,30.0,23.0,60.0,90.0,35.0,47.0
4514,16.0,10.0,2.0,9.0,0.0,36.0,6.0,18.0,22.0,103.0,8.0,144.0,1.0,28.0,12.0,117.0,115.0,127.0,35.0,30.0,32.0,39.0,37.0,25.0,5.0,44.0,62.0,63.0,41.0,60.0
4563,13.0,2.0,3.0,4.0,82.0,54.0,44.0,6.0,23.0,1.0,0.0,9.0,32.0,159.0,10.0,116.0,26.0,118.0,43.0,25.0,123.0,5.0,12.0,22.0,62.0,48.0,38.0,39.0,47.0,40.0
4612,1.0,2.0,0.0,21.0,5.0,16.0,37.0,23.0,9.0,15.0,3.0,11.0,33.0,157.0,4.0,30.0,114.0,117.0,39.0,35.0,29.0,18.0,43.0,17.0,78.0,7.0,60.0,90.0,42.0,46.0
4661,12.0,3.0,31.0,5.0,10.0,20.0,48.0,0.0,29.0,100.0,2.0,28.0,8.0,158.0,1.0,35.0,38.0,118.0,46.0,33.0,123.0,22.0,44.0,6.0,7.0,24.0,92.0,63.0,39.0,62.0
4710,107.0,0.0,6.0,3.0,17.0,8.0,14.0,36.0,23.0,101.0,16.0,7.0,35.0,19.0,2.0,116.0,114.0,32.0,44.0,28.0,123.0,13.0,46.0,15.0,70.0,43.0,37.0,54.0,51.0,38.0
4759,19.0,2.0,4.0,7.0,82.0,43.0,47.0,93.0,9.0,102.0,25.0,143.0,3.0,160.0,10.0,116.0,114.0,23.0,20.0,72.0,122.0,12.0,45.0,46.0,61.0,54.0,37.0,36.0,52.0,41.0
4808,5.0,8.0,2.0,7.0,17.0,26.0,14.0,11.0,58.0,12.0,27.0,18.0,120.0,21.0,10.0,30.0,114.0,119.0,39.0,29.0,124.0,51.0,47.0,16.0,70.0,54.0,35.0,15.0,53.0,36.0
4857,98.0,1.0,6.0,24.0,11.0,42.0,21.0,0.0,89.0,18.0,2.0,134.0,36.0,157.0,3.0,117.0,37.0,119.0,44.0,59.0,38.0,39.0,40.0,20.0,31.0,46.0,64.0,19.0,43.0,45.0
