,hsa-miR-24,hsa-miR-663,hsa-miR-148a,bkv-miR-B1-5p,hsa-miR-449b,hsa-miR-658,hsa-miR-155,hsa-miR-10a,hsa-miR-130a,hsa-miR-581,hsa-miR-584,hsa-miR-586,hsa-miR-583,hsa-miR-582-5p,hsa-miR-588,hsa-miR-587,hsa-miR-582-3p,hsa-miR-574-5p,hsa-miR-589,hsa-miR-579,hsa-miR-578,hsa-miR-577,hsa-miR-580,hsa-miR-576-5p,hsa-miR-576-3p,hsa-miR-590-3p,hsa-miR-626,hsa-miR-625,hsa-miR-627,hsa-miR-591
2127,1.0,259.0,17.0,0.0,541.0,6.0,13.0,35.0,7.0,2.0,95.0,94.0,67.0,57.0,90.0,93.0,43.0,5.0,89.0,47.0,50.0,3.0,46.0,52.0,54.0,88.0,62.0,61.0,63.0,86.0
2176,5.0,0.0,43.0,9.0,3.0,1.0,41.0,2.0,8.0,23.0,46.0,58.0,47.0,48.0,13.0,4.0,49.0,55.0,17.0,51.0,52.0,53.0,50.0,24.0,54.0,45.0,30.0,67.0,66.0,26.0
2225,1.0,11.0,342.0,2.0,541.0,7.0,16.0,432.0,357.0,22.0,49.0,45.0,64.0,51.0,48.0,41.0,52.0,63.0,43.0,56.0,58.0,60.0,54.0,61.0,62.0,47.0,44.0,46.0,42.0,65.0
2274,4.0,10.0,5.0,17.0,13.0,25.0,22.0,434.0,31.0,38.0,42.0,44.0,54.0,46.0,52.0,53.0,47.0,85.0,58.0,56.0,55.0,51.0,49.0,57.0,48.0,50.0,71.0,70.0,72.0,43.0
2323,0.0,13.0,8.0,2.0,541.0,7.0,24.0,37.0,44.0,28.0,49.0,45.0,48.0,60.0,90.0,61.0,53.0,55.0,26.0,50.0,59.0,58.0,52.0,57.0,56.0,63.0,77.0,76.0,78.0,84.0
2372,1.0,40.0,5.0,12.0,542.0,309.0,0.0,431.0,358.0,35.0,78.0,79.0,77.0,68.0,100.0,98.0,57.0,49.0,101.0,54.0,53.0,52.0,55.0,58.0,51.0,102.0,277.0,276.0,278.0,105.0
2421,3.0,6.0,341.0,4.0,540.0,0.0,14.0,434.0,1.0,22.0,50.0,47.0,51.0,65.0,44.0,46.0,66.0,97.0,45.0,57.0,59.0,61.0,56.0,63.0,82.0,49.0,54.0,48.0,55.0,30.0
2470,0.0,7.0,22.0,23.0,540.0,30.0,391.0,45.0,358.0,58.0,48.0,54.0,56.0,57.0,98.0,49.0,70.0,67.0,19.0,61.0,62.0,64.0,59.0,65.0,66.0,96.0,60.0,69.0,63.0,94.0
2519,0.0,1.0,20.0,21.0,16.0,11.0,35.0,3.0,28.0,14.0,50.0,59.0,51.0,49.0,46.0,47.0,52.0,86.0,45.0,54.0,55.0,56.0,53.0,57.0,58.0,60.0,75.0,74.0,76.0,62.0
2568,14.0,3.0,16.0,203.0,541.0,258.0,388.0,429.0,356.0,17.0,52.0,59.0,53.0,54.0,96.0,48.0,55.0,45.0,62.0,57.0,60.0,47.0,58.0,49.0,56.0,81.0,75.0,74.0,76.0,83.0
2617,0.0,6.0,5.0,202.0,18.0,2.0,388.0,432.0,357.0,8.0,43.0,47.0,46.0,45.0,44.0,42.0,59.0,55.0,60.0,50.0,51.0,52.0,49.0,53.0,54.0,89.0,74.0,73.0,75.0,82.0
2666,0.0,15.0,2.0,199.0,12.0,1.0,393.0,6.0,360.0,4.0,43.0,44.0,51.0,65.0,47.0,46.0,66.0,79.0,45.0,59.0,25.0,60.0,56.0,62.0,64.0,48.0,40.0,58.0,61.0,67.0
2715,611.0,260.0,17.0,200.0,15.0,256.0,30.0,431.0,357.0,41.0,49.0,59.0,51.0,52.0,46.0,47.0,53.0,165.0,50.0,55.0,56.0,57.0,54.0,58.0,98.0,60.0,71.0,70.0,72.0,62.0
2764,0.0,12.0,13.0,10.0,539.0,256.0,389.0,35.0,357.0,60.0,52.0,56.0,61.0,57.0,53.0,58.0,54.0,101.0,1.0,55.0,48.0,92.0,59.0,99.0,137.0,51.0,74.0,73.0,75.0,49.0
2813,1.0,21.0,4.0,199.0,0.0,38.0,389.0,430.0,356.0,5.0,45.0,44.0,46.0,49.0,80.0,41.0,51.0,39.0,66.0,53.0,64.0,55.0,52.0,57.0,60.0,92.0,50.0,48.0,56.0,88.0
2862,2.0,1.0,17.0,6.0,7.0,27.0,388.0,0.0,30.0,28.0,56.0,50.0,58.0,53.0,60.0,48.0,49.0,55.0,96.0,52.0,54.0,40.0,51.0,46.0,57.0,62.0,74.0,73.0,75.0,82.0
2911,14.0,2.0,344.0,22.0,538.0,258.0,392.0,41.0,358.0,23.0,54.0,53.0,58.0,59.0,50.0,51.0,61.0,55.0,97.0,67.0,27.0,68.0,65.0,62.0,60.0,71.0,47.0,66.0,64.0,94.0
2960,0.0,2.0,19.0,197.0,29.0,6.0,13.0,33.0,359.0,46.0,50.0,51.0,21.0,49.0,82.0,68.0,47.0,64.0,70.0,67.0,55.0,58.0,53.0,59.0,60.0,69.0,63.0,62.0,146.0,91.0
3009,7.0,3.0,17.0,21.0,542.0,41.0,1.0,34.0,27.0,45.0,98.0,70.0,68.0,54.0,96.0,97.0,46.0,57.0,15.0,48.0,50.0,51.0,47.0,55.0,56.0,95.0,38.0,58.0,61.0,93.0
3058,14.0,265.0,7.0,0.0,8.0,254.0,26.0,32.0,354.0,44.0,55.0,54.0,9.0,53.0,49.0,64.0,63.0,56.0,51.0,61.0,60.0,59.0,62.0,58.0,57.0,27.0,71.0,72.0,70.0,67.0
3107,0.0,2.0,27.0,25.0,1.0,5.0,23.0,4.0,355.0,38.0,56.0,54.0,58.0,59.0,57.0,45.0,60.0,46.0,15.0,55.0,32.0,52.0,62.0,50.0,48.0,53.0,74.0,73.0,75.0,51.0
3156,3.0,258.0,16.0,12.0,10.0,11.0,1.0,429.0,26.0,2.0,61.0,45.0,51.0,52.0,46.0,48.0,56.0,55.0,49.0,62.0,50.0,60.0,58.0,59.0,57.0,47.0,76.0,75.0,77.0,64.0
3205,5.0,256.0,15.0,26.0,6.0,8.0,1.0,28.0,37.0,58.0,57.0,56.0,51.0,60.0,45.0,55.0,59.0,47.0,50.0,53.0,52.0,61.0,54.0,48.0,42.0,49.0,74.0,73.0,75.0,44.0
3254,2.0,11.0,3.0,27.0,12.0,253.0,24.0,0.0,29.0,1.0,44.0,63.0,57.0,59.0,60.0,49.0,55.0,97.0,45.0,62.0,51.0,48.0,61.0,47.0,90.0,58.0,70.0,71.0,69.0,54.0
3303,571.0,257.0,340.0,200.0,540.0,35.0,15.0,41.0,28.0,67.0,58.0,56.0,60.0,61.0,52.0,53.0,63.0,156.0,50.0,55.0,54.0,48.0,68.0,84.0,33.0,49.0,59.0,38.0,64.0,99.0
3352,6.0,5.0,22.0,4.0,543.0,32.0,3.0,7.0,358.0,52.0,44.0,46.0,43.0,65.0,66.0,47.0,51.0,63.0,96.0,56.0,57.0,58.0,27.0,59.0,60.0,95.0,49.0,45.0,50.0,29.0
3401,3.0,2.0,19.0,22.0,5.0,29.0,1.0,36.0,356.0,65.0,57.0,50.0,58.0,61.0,47.0,49.0,64.0,45.0,46.0,54.0,63.0,60.0,66.0,59.0,48.0,84.0,55.0,53.0,67.0,70.0
3450,2.0,5.0,20.0,3.0,539.0,255.0,8.0,36.0,28.0,53.0,45.0,44.0,49.0,51.0,96.0,66.0,52.0,1.0,67.0,55.0,57.0,60.0,65.0,61.0,64.0,68.0,58.0,54.0,59.0,89.0
3499,26.0,27.0,22.0,6.0,540.0,28.0,23.0,2.0,354.0,72.0,68.0,66.0,69.0,70.0,64.0,65.0,71.0,34.0,63.0,74.0,167.0,109.0,73.0,176.0,145.0,62.0,82.0,47.0,90.0,59.0
3548,6.0,2.0,340.0,18.0,538.0,1.0,389.0,37.0,28.0,16.0,47.0,57.0,49.0,50.0,66.0,64.0,52.0,26.0,95.0,58.0,59.0,45.0,53.0,25.0,56.0,92.0,60.0,55.0,61.0,89.0
3597,1.0,2.0,19.0,13.0,6.0,12.0,9.0,4.0,42.0,35.0,60.0,58.0,50.0,61.0,54.0,57.0,59.0,49.0,62.0,55.0,63.0,53.0,56.0,52.0,51.0,44.0,68.0,69.0,67.0,46.0
3646,16.0,13.0,341.0,8.0,540.0,254.0,390.0,432.0,35.0,55.0,50.0,57.0,44.0,48.0,58.0,59.0,61.0,99.0,62.0,60.0,56.0,54.0,43.0,53.0,51.0,52.0,79.0,72.0,73.0,47.0
3695,592.0,8.0,20.0,2.0,541.0,269.0,389.0,0.0,3.0,50.0,53.0,54.0,52.0,51.0,56.0,55.0,57.0,35.0,67.0,47.0,46.0,45.0,48.0,44.0,49.0,76.0,22.0,183.0,274.0,96.0
3744,17.0,257.0,29.0,5.0,539.0,253.0,385.0,4.0,2.0,64.0,45.0,48.0,44.0,46.0,65.0,50.0,47.0,27.0,15.0,52.0,53.0,54.0,22.0,58.0,59.0,67.0,49.0,38.0,51.0,92.0
3793,614.0,1.0,339.0,20.0,542.0,256.0,386.0,36.0,29.0,23.0,67.0,97.0,50.0,48.0,93.0,69.0,22.0,2.0,92.0,53.0,66.0,55.0,49.0,59.0,62.0,90.0,60.0,58.0,61.0,87.0
3842,3.0,11.0,8.0,9.0,540.0,291.0,10.0,43.0,359.0,52.0,56.0,57.0,55.0,54.0,62.0,58.0,53.0,59.0,77.0,35.0,49.0,48.0,51.0,47.0,46.0,78.0,275.0,17.0,276.0,98.0
