,SYT17,SRPX,AF241725.6,IL16,RSPH1,CHST15,GDE1,AEBP1,DAAM1,VPS33B,TMCC1,EXD2,KCND2,TSC22D2,CNFN,BCL2A1,RP11-458D21.1,CLCN4,PITX1,ST8SIA4,FA2H,ELF3,HIST1H2BK,RP11-575H3.1,FLI1,ABLIM1,SIX2,CD46,LA16c-380H5.5,FAM86DP
3392,0.0,5.0,77.0,19.0,8.0,30.0,60.0,37.0,115.0,267.0,14.0,3357.0,4.0,163.0,151.0,56.0,84.0,9564.0,10.0,27.0,181.0,1.0,21198.0,229.0,266.0,19936.0,29.0,17799.0,161.0,146.0
3441,0.0,429.0,10.0,19.0,163.0,57.0,116.0,70.0,119.0,148.0,14797.0,112.0,61.0,14845.0,113.0,139.0,443.0,9614.0,234.0,2195.0,97.0,231.0,169.0,758.0,155.0,69.0,16732.0,218.0,180.0,133.0
3490,3.0,31.0,9.0,1.0,15.0,4.0,11.0,21127.0,47.0,89.0,216.0,152.0,1097.0,17312.0,75.0,17.0,62.0,458.0,265.0,15473.0,52.0,0.0,58.0,515.0,94.0,19.0,188.0,10.0,546.0,53.0
3539,1.0,297.0,11.0,30.0,36.0,81.0,2.0,22100.0,50.0,62.0,125.0,111.0,176.0,14842.0,1105.0,287.0,159.0,24.0,234.0,657.0,127.0,13.0,124.0,16984.0,48.0,19990.0,56.0,453.0,175.0,12922.0
3588,7.0,12.0,23.0,42.0,10.0,31.0,283.0,23287.0,34.0,4886.0,458.0,3372.0,1255.0,117.0,11.0,4392.0,164.0,9840.0,14721.0,14246.0,72.0,13.0,3.0,17457.0,8.0,41.0,15814.0,179.0,4724.0,182.0
3637,4.0,8614.0,473.0,4048.0,3.0,36.0,3353.0,1438.0,22.0,77.0,7.0,94.0,18841.0,14571.0,155.0,558.0,15855.0,9602.0,132.0,153.0,24.0,1.0,44.0,565.0,23.0,53.0,16708.0,76.0,214.0,274.0
3686,0.0,170.0,18.0,425.0,23.0,41.0,7.0,36.0,15.0,123.0,103.0,3050.0,22484.0,14806.0,125.0,116.0,15745.0,7497.0,19.0,370.0,55.0,9.0,157.0,613.0,69.0,37.0,16733.0,113.0,3997.0,101.0
3735,2.0,7.0,26.0,5.0,30.0,21.0,2932.0,224.0,118.0,2628.0,50.0,601.0,23183.0,169.0,87.0,3.0,251.0,9952.0,14211.0,14364.0,194.0,4.0,36.0,627.0,93.0,19652.0,1790.0,135.0,4359.0,151.0
3784,0.0,7.0,405.0,33.0,11.0,6.0,407.0,456.0,69.0,4434.0,20.0,16.0,113.0,14860.0,182.0,181.0,242.0,9652.0,94.0,337.0,124.0,4.0,28.0,19.0,62.0,2444.0,16637.0,235.0,254.0,155.0
3833,0.0,240.0,4.0,8.0,11.0,1.0,73.0,22112.0,5.0,28.0,208.0,228.0,22474.0,2128.0,1090.0,239.0,132.0,900.0,45.0,817.0,145.0,91.0,6.0,410.0,32.0,12.0,16736.0,17797.0,192.0,152.0
