,BRAF_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,NRAS_MUT,PAXIP1_MUT,OR2T11_AMP,KANK1_AMP,FAM153C_AMP,MAST2_MUT,FRMPD2P1_AMP,GSTM1_DEL,TNK2_MUT,ZDHHC11_AMP,ATP13A5_MUT,OR2T10_AMP,FAM74A2_DEL,MITF_AMP,MIR548AI_DEL,RASA3_AMP,OR51A4_DEL,MIR4635_AMP,ALPK2_MUT,INHBA_MUT,PRKCE_DEL,ANKS1B_DEL,UNC13C_MUT,LOC284344_DEL,TP53_MUT
1600,0.0,1.0,2.0,4.0,6.0,10.0,21.0,18346.0,86.0,572.0,11.0,23.0,115.0,15.0,231.0,232.0,18348.0,36.0,130.0,37.0,240.0,359.0,273.0,2166.0,13.0,3244.0,331.0,72.0,179.0,3631.0
1649,0.0,1.0,4.0,2.0,3.0,5.0,50.0,243.0,14.0,64.0,122.0,2186.0,2336.0,157.0,188.0,18.0,3639.0,9.0,27.0,239.0,937.0,3637.0,16561.0,11.0,1822.0,40.0,7.0,36.0,10.0,198.0
1698,0.0,1.0,2.0,3.0,6.0,43.0,1037.0,1167.0,3255.0,40.0,19.0,81.0,764.0,63.0,24068.0,532.0,18197.0,35.0,29.0,5.0,992.0,32.0,334.0,4.0,6609.0,1548.0,191.0,1355.0,61.0,618.0
1747,0.0,2.0,5.0,1.0,4.0,29.0,3.0,50.0,395.0,139.0,13.0,22.0,379.0,305.0,1364.0,19.0,1360.0,92.0,278.0,49.0,16688.0,295.0,38.0,374.0,13837.0,9.0,3651.0,222.0,15.0,3055.0
1796,0.0,2.0,3.0,4.0,14.0,1.0,16917.0,3723.0,1416.0,7.0,50.0,23537.0,57.0,10.0,9.0,1453.0,18351.0,388.0,18.0,393.0,14174.0,24.0,78.0,207.0,29.0,36.0,2234.0,6.0,151.0,129.0
1845,0.0,1.0,2.0,5.0,3.0,10.0,108.0,78.0,60.0,20.0,84.0,4.0,256.0,65.0,64.0,7.0,18329.0,9.0,31.0,19096.0,1405.0,226.0,57.0,3090.0,43.0,9556.0,3712.0,6.0,12.0,292.0
1894,0.0,1.0,2.0,5.0,4.0,3.0,20.0,3331.0,1200.0,21.0,126.0,80.0,12.0,44.0,2915.0,1231.0,18332.0,64.0,8.0,908.0,1016.0,242.0,16.0,16800.0,27.0,647.0,268.0,56.0,102.0,106.0
1943,1.0,0.0,3.0,2.0,6.0,4.0,16.0,88.0,30.0,13.0,1064.0,53.0,129.0,1844.0,617.0,18002.0,2310.0,132.0,12.0,3295.0,17780.0,285.0,1505.0,272.0,125.0,46.0,2920.0,42.0,5.0,43.0
1992,0.0,2.0,1.0,3.0,36.0,5.0,12.0,32.0,2292.0,71.0,4.0,75.0,539.0,9.0,178.0,42.0,41.0,10493.0,245.0,1904.0,102.0,385.0,13.0,2712.0,69.0,12270.0,8791.0,3016.0,4288.0,106.0
2041,0.0,4.0,1.0,2.0,6.0,758.0,1082.0,466.0,8.0,14.0,16879.0,80.0,1399.0,5.0,22989.0,3.0,3547.0,10.0,211.0,386.0,34.0,35.0,16537.0,16792.0,13.0,12735.0,552.0,7.0,3382.0,249.0
2090,0.0,2.0,3.0,1.0,4.0,6.0,565.0,46.0,5.0,174.0,30.0,1024.0,81.0,9.0,75.0,145.0,1314.0,32.0,620.0,49.0,35.0,167.0,18.0,16813.0,62.0,212.0,1888.0,3012.0,1691.0,92.0
2139,0.0,1.0,3.0,4.0,2.0,7.0,5.0,15.0,23.0,149.0,39.0,89.0,985.0,34.0,46.0,17.0,675.0,255.0,14707.0,269.0,139.0,607.0,30.0,2932.0,10.0,9102.0,3109.0,58.0,472.0,207.0
