,PTPN13,DDB2,EDA2R,NDN,CITED4,CFH,PHLDA3,FAM101A,SNX18P16,FOXJ1,EMB,TRIM22,LINC00942,TGFA,BHLHE41,EVC2,ZMAT3,FDXR,ST6GALNAC5,PCDHB17,TUSC3,ANKRD19P,PRR16,HIST2H2BB,COL12A1,LINC01021,RASSF9,TLE4,PCDHB6,TMCC3
645,2.0,10.0,1.0,21.0,44.0,7.0,14.0,30.0,18.0,13.0,575.0,4.0,5.0,34.0,3.0,0.0,24.0,40.0,8.0,60.0,65.0,48.0,89.0,79.0,47.0,29.0,35.0,11.0,27.0,137.0
694,2.0,28.0,0.0,5.0,4.0,6.0,19.0,22.0,36.0,54.0,77.0,14.0,1.0,17.0,8.0,3.0,35.0,64.0,23.0,32.0,162.0,41.0,10.0,40.0,24.0,160.0,45.0,20.0,29.0,55.0
743,11.0,27.0,36.0,1.0,16.0,0.0,13.0,3.0,117.0,4.0,25.0,10.0,84.0,38.0,9.0,32.0,31.0,19.0,7.0,388.0,5.0,14.0,90.0,6.0,41.0,71.0,81.0,8.0,131.0,219.0
792,0.0,7.0,6.0,50.0,13.0,14.0,12.0,8.0,26.0,1.0,128.0,3.0,5.0,24.0,19.0,23.0,42.0,10.0,15.0,11.0,21.0,58.0,39.0,41.0,268.0,573.0,40.0,22.0,16.0,84.0
841,0.0,5.0,1.0,39.0,14.0,16.0,12.0,4.0,26.0,3.0,300.0,17.0,2.0,9.0,77.0,10.0,53.0,8.0,179.0,228.0,18.0,32.0,34.0,20.0,24.0,25.0,36.0,13.0,274.0,46.0
890,2.0,9.0,0.0,39.0,47.0,18.0,5.0,13.0,11.0,12.0,357.0,3.0,26.0,8.0,88.0,1.0,36.0,6.0,10.0,41.0,51.0,25.0,33.0,230.0,139.0,64.0,82.0,23.0,56.0,61.0
939,0.0,7.0,2.0,1.0,15.0,10.0,17.0,33.0,12.0,25.0,124.0,3.0,56.0,13.0,4.0,9.0,14.0,21.0,72.0,34.0,64.0,112.0,47.0,43.0,195.0,422.0,240.0,26.0,20.0,94.0
988,0.0,6.0,1.0,2.0,12.0,17.0,19.0,43.0,27.0,20.0,62.0,29.0,22.0,30.0,18.0,11.0,10.0,23.0,58.0,57.0,59.0,21.0,41.0,39.0,51.0,13.0,4.0,14.0,103.0,16.0
1037,0.0,1.0,4.0,25.0,7.0,16.0,5.0,424.0,10.0,2.0,39.0,11.0,47.0,320.0,13.0,8.0,9.0,18.0,45.0,56.0,27.0,37.0,24.0,21.0,54.0,3.0,20.0,17.0,58.0,6.0
1086,13.0,4.0,0.0,11.0,18.0,12.0,16.0,8.0,6.0,7.0,973.0,15.0,9.0,19.0,5.0,288.0,21.0,3.0,222.0,33.0,101.0,37.0,60.0,51.0,231.0,20.0,17.0,1.0,105.0,45.0
1135,1.0,16.0,20.0,5.0,4.0,7.0,3.0,25.0,13.0,6.0,27.0,37.0,2.0,22.0,28.0,38.0,24.0,35.0,185.0,14.0,23.0,8.0,34.0,10.0,39.0,41.0,54.0,15.0,31.0,0.0
1184,0.0,5.0,12.0,9.0,82.0,2.0,17.0,24.0,7.0,1.0,38.0,32.0,4.0,25.0,3.0,127.0,8.0,18.0,165.0,19.0,16.0,10.0,35.0,121.0,72.0,45.0,89.0,13.0,27.0,6.0
1233,0.0,6.0,8.0,17.0,7.0,50.0,3.0,137.0,40.0,2.0,136.0,37.0,44.0,25.0,24.0,31.0,41.0,15.0,652.0,30.0,5.0,10.0,20.0,56.0,309.0,9.0,35.0,4.0,36.0,11.0
1282,4.0,3.0,0.0,12.0,23.0,1.0,5.0,122.0,10.0,14.0,29.0,9.0,27.0,47.0,17.0,96.0,8.0,21.0,165.0,172.0,19.0,50.0,40.0,6.0,41.0,2.0,22.0,11.0,923.0,25.0
1331,2.0,4.0,0.0,3.0,8.0,16.0,5.0,32.0,7.0,1.0,20.0,13.0,28.0,62.0,248.0,46.0,10.0,15.0,189.0,35.0,114.0,12.0,40.0,11.0,56.0,14.0,93.0,24.0,57.0,9.0
1380,7.0,9.0,2.0,25.0,20.0,44.0,24.0,52.0,17.0,11.0,47.0,16.0,38.0,70.0,58.0,22.0,15.0,40.0,75.0,12.0,8.0,5.0,50.0,1.0,176.0,10.0,45.0,31.0,23.0,6.0
1429,0.0,5.0,2.0,13.0,27.0,9.0,6.0,4.0,3.0,17.0,150.0,28.0,1.0,154.0,72.0,86.0,10.0,15.0,56.0,119.0,37.0,8.0,60.0,19.0,407.0,7.0,23.0,20.0,52.0,25.0
1478,15.0,7.0,98.0,0.0,13.0,4.0,11.0,1.0,169.0,3.0,241.0,37.0,42.0,23.0,6.0,86.0,30.0,9.0,52.0,76.0,55.0,105.0,94.0,28.0,54.0,266.0,210.0,26.0,476.0,702.0
1527,20.0,2.0,47.0,8.0,14.0,12.0,1.0,0.0,31.0,3.0,77.0,152.0,267.0,13.0,28.0,254.0,23.0,6.0,102.0,914.0,26.0,278.0,17.0,9.0,212.0,5.0,24.0,33.0,64.0,1393.0
1576,22.0,7.0,18.0,0.0,125.0,5.0,12.0,3.0,13.0,8.0,76.0,48.0,84.0,52.0,25.0,165.0,102.0,1.0,30.0,68.0,4.0,168.0,14.0,87.0,203.0,38.0,86.0,39.0,19.0,96.0
1625,4.0,7.0,65.0,43.0,14.0,8.0,1.0,3.0,125.0,5.0,50.0,60.0,86.0,35.0,27.0,334.0,48.0,6.0,33.0,124.0,11.0,108.0,22.0,23.0,34.0,13.0,64.0,29.0,21.0,297.0
1674,51.0,7.0,80.0,6.0,10.0,8.0,3.0,0.0,47.0,2.0,22.0,53.0,44.0,23.0,218.0,374.0,100.0,21.0,69.0,84.0,29.0,178.0,52.0,27.0,161.0,18.0,317.0,1023.0,14.0,191.0
1723,18.0,13.0,36.0,219.0,93.0,1.0,12.0,7.0,40.0,31.0,48.0,76.0,275.0,77.0,49.0,8.0,23.0,11.0,61.0,435.0,6.0,240.0,56.0,0.0,99.0,5.0,43.0,29.0,101.0,1213.0
1772,0.0,8.0,14.0,1.0,189.0,2.0,4.0,12.0,95.0,6.0,114.0,24.0,214.0,59.0,20.0,314.0,16.0,7.0,873.0,99.0,15.0,26.0,35.0,25.0,53.0,44.0,130.0,47.0,115.0,43.0
1821,7.0,0.0,98.0,4.0,2.0,1.0,31.0,20.0,90.0,21.0,43.0,29.0,82.0,53.0,19.0,442.0,73.0,39.0,5.0,162.0,153.0,115.0,15.0,40.0,11.0,51.0,181.0,37.0,93.0,1283.0
1870,4.0,2.0,154.0,45.0,35.0,6.0,17.0,0.0,94.0,1.0,30.0,32.0,13.0,120.0,9.0,474.0,205.0,11.0,12.0,113.0,20.0,188.0,67.0,128.0,21.0,90.0,235.0,22.0,70.0,302.0
1919,24.0,3.0,2.0,6.0,292.0,67.0,10.0,0.0,249.0,30.0,1.0,16.0,204.0,17.0,200.0,303.0,18.0,4.0,45.0,22.0,5.0,9.0,39.0,133.0,59.0,13.0,337.0,90.0,41.0,283.0
1968,10.0,13.0,20.0,56.0,24.0,46.0,6.0,64.0,11.0,7.0,5.0,44.0,3.0,15.0,18.0,0.0,47.0,152.0,49.0,1.0,4.0,73.0,9.0,50.0,21.0,69.0,177.0,99.0,59.0,101.0
2017,43.0,19.0,10.0,3.0,0.0,9.0,18.0,45.0,69.0,127.0,21.0,33.0,4.0,26.0,7.0,13.0,290.0,322.0,2.0,22.0,5.0,44.0,1.0,28.0,15.0,284.0,41.0,177.0,32.0,23.0
2066,1.0,4.0,8.0,11.0,15.0,2.0,18.0,556.0,14.0,97.0,81.0,33.0,7.0,10.0,95.0,9.0,35.0,21.0,16.0,19.0,71.0,101.0,43.0,48.0,6.0,17.0,218.0,12.0,37.0,801.0
2115,5.0,17.0,3.0,128.0,48.0,2.0,1.0,297.0,15.0,302.0,27.0,67.0,22.0,88.0,63.0,72.0,13.0,19.0,76.0,97.0,4.0,118.0,18.0,12.0,49.0,59.0,328.0,21.0,29.0,541.0
2164,15.0,40.0,8.0,49.0,39.0,13.0,31.0,162.0,12.0,9.0,23.0,21.0,3.0,20.0,30.0,33.0,0.0,282.0,187.0,17.0,97.0,245.0,99.0,11.0,1.0,69.0,24.0,100.0,53.0,85.0
2213,8.0,10.0,0.0,43.0,16.0,3.0,9.0,120.0,5.0,37.0,52.0,11.0,6.0,64.0,28.0,1.0,15.0,57.0,88.0,2.0,7.0,181.0,14.0,69.0,26.0,4.0,29.0,91.0,36.0,79.0
2262,0.0,25.0,31.0,51.0,9.0,12.0,35.0,578.0,15.0,33.0,29.0,81.0,4.0,45.0,13.0,1.0,6.0,76.0,11.0,18.0,10.0,68.0,20.0,3.0,7.0,8.0,30.0,135.0,21.0,515.0
2311,6.0,28.0,21.0,11.0,39.0,0.0,15.0,427.0,27.0,80.0,25.0,10.0,4.0,63.0,23.0,5.0,53.0,188.0,41.0,50.0,29.0,445.0,7.0,67.0,3.0,1616.0,204.0,75.0,253.0,324.0
2360,4.0,0.0,8.0,11.0,10.0,18.0,3.0,94.0,12.0,9.0,15.0,148.0,71.0,46.0,32.0,139.0,44.0,24.0,22.0,69.0,2.0,218.0,1.0,5.0,102.0,20.0,81.0,34.0,235.0,57.0
2409,23.0,9.0,61.0,65.0,7.0,8.0,10.0,179.0,50.0,126.0,1.0,75.0,3.0,12.0,42.0,41.0,31.0,89.0,5.0,40.0,6.0,17.0,4.0,53.0,11.0,27.0,129.0,141.0,209.0,311.0
2458,1.0,3.0,2.0,108.0,0.0,5.0,4.0,19.0,15.0,43.0,20.0,22.0,8.0,11.0,13.0,147.0,31.0,47.0,46.0,12.0,42.0,27.0,162.0,245.0,7.0,76.0,146.0,55.0,17.0,213.0
2507,6.0,2.0,3.0,36.0,12.0,51.0,18.0,0.0,14.0,59.0,66.0,100.0,13.0,7.0,8.0,117.0,9.0,11.0,25.0,68.0,30.0,116.0,180.0,909.0,10.0,17.0,33.0,16.0,20.0,379.0
2556,2.0,1.0,6.0,284.0,12.0,21.0,3.0,81.0,13.0,9.0,26.0,58.0,0.0,8.0,27.0,62.0,31.0,41.0,155.0,17.0,91.0,148.0,39.0,545.0,18.0,78.0,10.0,32.0,5.0,536.0
2605,0.0,4.0,36.0,445.0,6.0,2.0,20.0,3.0,15.0,30.0,33.0,29.0,26.0,34.0,21.0,8.0,48.0,79.0,25.0,47.0,129.0,24.0,447.0,85.0,5.0,19.0,105.0,70.0,32.0,364.0
2654,2.0,15.0,0.0,1.0,3.0,6.0,19.0,24.0,8.0,119.0,26.0,13.0,23.0,87.0,16.0,113.0,20.0,135.0,22.0,14.0,52.0,10.0,416.0,260.0,28.0,27.0,7.0,25.0,36.0,107.0
2703,0.0,1.0,15.0,140.0,6.0,26.0,23.0,9.0,4.0,19.0,10.0,3.0,12.0,21.0,35.0,32.0,34.0,51.0,13.0,7.0,92.0,127.0,41.0,164.0,5.0,91.0,46.0,52.0,8.0,20.0
2752,0.0,4.0,15.0,41.0,1.0,12.0,11.0,51.0,14.0,36.0,5.0,3.0,37.0,21.0,9.0,17.0,13.0,247.0,34.0,10.0,195.0,68.0,29.0,81.0,8.0,7.0,45.0,89.0,6.0,182.0
2801,14.0,6.0,7.0,0.0,66.0,18.0,10.0,1.0,52.0,27.0,4.0,44.0,12.0,9.0,210.0,219.0,25.0,67.0,376.0,3.0,134.0,2.0,39.0,140.0,29.0,13.0,245.0,523.0,11.0,65.0
2850,3.0,1.0,6.0,2.0,0.0,62.0,7.0,44.0,4.0,110.0,5.0,8.0,9.0,27.0,40.0,352.0,22.0,158.0,18.0,10.0,36.0,23.0,28.0,120.0,61.0,57.0,75.0,128.0,29.0,38.0
2899,1.0,2.0,10.0,4.0,15.0,23.0,7.0,38.0,6.0,48.0,25.0,9.0,822.0,66.0,8.0,16.0,11.0,153.0,34.0,35.0,47.0,26.0,89.0,458.0,24.0,0.0,19.0,1132.0,20.0,129.0
2948,0.0,2.0,4.0,5.0,11.0,8.0,9.0,15.0,79.0,24.0,96.0,7.0,37.0,6.0,13.0,45.0,10.0,46.0,30.0,70.0,34.0,14.0,312.0,1.0,44.0,38.0,26.0,33.0,509.0,143.0
2997,0.0,20.0,11.0,3.0,14.0,76.0,9.0,1.0,41.0,129.0,33.0,27.0,15.0,6.0,63.0,8.0,22.0,36.0,65.0,69.0,113.0,34.0,143.0,5.0,37.0,102.0,47.0,29.0,193.0,10.0
3046,1.0,7.0,19.0,3.0,8.0,106.0,16.0,0.0,37.0,43.0,4.0,6.0,33.0,2.0,164.0,12.0,15.0,133.0,14.0,194.0,42.0,22.0,381.0,10.0,35.0,77.0,9.0,145.0,94.0,18.0
3095,3.0,9.0,2.0,0.0,14.0,10.0,12.0,8.0,7.0,21.0,13.0,5.0,20.0,17.0,51.0,60.0,4.0,25.0,15.0,123.0,27.0,79.0,67.0,1.0,90.0,46.0,19.0,35.0,100.0,30.0
3144,1.0,61.0,2.0,0.0,7.0,5.0,10.0,4.0,17.0,45.0,9.0,8.0,70.0,26.0,35.0,101.0,52.0,22.0,34.0,279.0,136.0,77.0,120.0,3.0,464.0,219.0,115.0,25.0,236.0,113.0
3193,0.0,1.0,14.0,10.0,2.0,44.0,3.0,7.0,93.0,40.0,56.0,11.0,5.0,9.0,54.0,90.0,67.0,32.0,4.0,86.0,61.0,13.0,364.0,21.0,33.0,12.0,8.0,85.0,38.0,19.0
3242,3.0,7.0,0.0,58.0,61.0,33.0,1.0,4.0,14.0,22.0,42.0,57.0,6.0,10.0,91.0,78.0,25.0,2.0,34.0,516.0,5.0,26.0,369.0,36.0,427.0,15.0,103.0,147.0,502.0,19.0
3291,1.0,6.0,3.0,13.0,28.0,9.0,4.0,2.0,19.0,44.0,575.0,5.0,12.0,7.0,131.0,20.0,8.0,11.0,27.0,310.0,22.0,39.0,226.0,0.0,123.0,16.0,15.0,68.0,260.0,114.0
3340,0.0,27.0,2.0,25.0,10.0,5.0,6.0,4.0,50.0,45.0,16.0,12.0,456.0,31.0,305.0,47.0,3.0,13.0,1.0,105.0,59.0,11.0,108.0,19.0,61.0,8.0,28.0,228.0,115.0,102.0
3389,2.0,6.0,1.0,5.0,52.0,16.0,18.0,19.0,28.0,223.0,25.0,3.0,15.0,24.0,109.0,7.0,14.0,82.0,139.0,382.0,55.0,26.0,239.0,13.0,54.0,12.0,36.0,209.0,454.0,31.0
3438,7.0,6.0,19.0,4.0,32.0,8.0,97.0,9.0,495.0,3.0,188.0,25.0,5.0,359.0,33.0,719.0,77.0,184.0,1.0,17.0,45.0,167.0,46.0,287.0,18.0,126.0,10.0,75.0,72.0,0.0
3487,3.0,82.0,0.0,37.0,74.0,46.0,89.0,47.0,18.0,49.0,6.0,29.0,91.0,263.0,116.0,1.0,40.0,22.0,5.0,2.0,64.0,14.0,8.0,1999.0,35.0,69.0,132.0,16.0,13.0,10.0
3536,7.0,8.0,0.0,33.0,38.0,15.0,26.0,1.0,371.0,25.0,14.0,194.0,208.0,49.0,373.0,20.0,189.0,23.0,9.0,19.0,4.0,11.0,44.0,10.0,67.0,43.0,58.0,24.0,31.0,5.0
3585,12.0,33.0,1.0,0.0,48.0,29.0,39.0,2.0,130.0,10.0,9.0,25.0,5.0,57.0,75.0,8.0,14.0,36.0,34.0,4.0,21.0,52.0,22.0,99.0,61.0,170.0,27.0,67.0,3.0,7.0
3634,4.0,18.0,2.0,7.0,103.0,5.0,45.0,11.0,52.0,21.0,49.0,22.0,0.0,34.0,92.0,30.0,33.0,27.0,1.0,3.0,25.0,14.0,90.0,64.0,15.0,142.0,32.0,65.0,6.0,40.0
3683,2.0,35.0,13.0,52.0,4.0,41.0,65.0,9.0,307.0,21.0,71.0,79.0,15.0,14.0,28.0,70.0,111.0,59.0,0.0,1.0,33.0,6.0,40.0,29.0,39.0,743.0,27.0,45.0,10.0,12.0
3732,4.0,28.0,22.0,11.0,15.0,3.0,23.0,138.0,159.0,13.0,0.0,61.0,30.0,5.0,113.0,59.0,82.0,57.0,2.0,8.0,1.0,12.0,48.0,41.0,17.0,867.0,26.0,64.0,33.0,62.0
3781,2.0,23.0,1.0,0.0,7.0,10.0,14.0,5.0,62.0,21.0,18.0,6.0,44.0,29.0,89.0,27.0,36.0,37.0,46.0,4.0,94.0,8.0,24.0,19.0,13.0,135.0,38.0,86.0,15.0,3.0
3830,14.0,37.0,18.0,11.0,17.0,40.0,39.0,235.0,242.0,98.0,5.0,13.0,177.0,129.0,233.0,19.0,75.0,69.0,0.0,8.0,2.0,86.0,6.0,1.0,79.0,134.0,120.0,271.0,4.0,78.0
3879,3.0,6.0,23.0,15.0,9.0,10.0,30.0,35.0,208.0,24.0,1.0,51.0,19.0,32.0,317.0,486.0,146.0,4.0,12.0,0.0,154.0,5.0,17.0,36.0,26.0,28.0,86.0,31.0,18.0,13.0
3928,56.0,4.0,1.0,18.0,68.0,27.0,22.0,26.0,3.0,0.0,34.0,62.0,128.0,46.0,105.0,5.0,10.0,2.0,1100.0,9.0,31.0,19.0,6.0,190.0,53.0,29.0,43.0,144.0,41.0,23.0
3977,10.0,2.0,3.0,97.0,73.0,50.0,16.0,325.0,5.0,4.0,15.0,6.0,211.0,397.0,167.0,0.0,12.0,25.0,305.0,17.0,18.0,85.0,1.0,21.0,40.0,26.0,11.0,31.0,7.0,19.0
4026,46.0,22.0,37.0,10.0,133.0,53.0,61.0,13.0,4.0,12.0,2.0,41.0,8.0,42.0,355.0,0.0,55.0,33.0,201.0,18.0,29.0,5.0,1.0,9.0,32.0,45.0,17.0,65.0,14.0,48.0
4075,14.0,5.0,18.0,20.0,1.0,34.0,45.0,105.0,3.0,27.0,11.0,9.0,67.0,44.0,29.0,0.0,10.0,32.0,293.0,17.0,161.0,141.0,2.0,7.0,40.0,8.0,22.0,19.0,73.0,80.0
4124,51.0,2.0,98.0,58.0,5.0,75.0,11.0,78.0,1.0,9.0,16.0,64.0,106.0,33.0,315.0,0.0,21.0,26.0,532.0,19.0,23.0,776.0,6.0,8.0,15.0,100.0,17.0,345.0,10.0,216.0
4173,32.0,6.0,4.0,245.0,19.0,102.0,11.0,58.0,1.0,7.0,5.0,38.0,422.0,28.0,172.0,0.0,10.0,21.0,503.0,44.0,13.0,12.0,2.0,22.0,18.0,15.0,3.0,55.0,47.0,20.0
4222,2.0,11.0,12.0,44.0,23.0,21.0,6.0,9.0,5.0,0.0,161.0,37.0,13.0,54.0,76.0,1.0,10.0,32.0,3100.0,30.0,169.0,93.0,18.0,71.0,25.0,39.0,4.0,401.0,61.0,3.0
4271,1.0,15.0,47.0,75.0,22.0,35.0,61.0,135.0,5.0,36.0,9.0,19.0,68.0,89.0,403.0,0.0,21.0,44.0,839.0,54.0,74.0,40.0,63.0,110.0,10.0,7.0,3.0,28.0,12.0,159.0
4320,12.0,46.0,43.0,13.0,9.0,10.0,105.0,48.0,4.0,24.0,7.0,71.0,1343.0,21.0,247.0,0.0,36.0,297.0,571.0,108.0,26.0,51.0,3.0,22.0,41.0,11.0,8.0,82.0,39.0,32.0
4369,16.0,5.0,74.0,111.0,1.0,57.0,23.0,260.0,27.0,4.0,22.0,109.0,43.0,125.0,152.0,15.0,101.0,32.0,98.0,11.0,84.0,60.0,0.0,8.0,69.0,19.0,2.0,86.0,37.0,35.0
4418,8.0,4.0,2.0,1.0,32.0,42.0,20.0,0.0,5.0,10.0,18.0,38.0,564.0,31.0,16.0,23.0,91.0,21.0,43.0,266.0,19.0,6.0,62.0,77.0,283.0,29.0,356.0,322.0,81.0,15.0
4467,0.0,17.0,2.0,1.0,88.0,51.0,149.0,5.0,8.0,120.0,21.0,15.0,141.0,18.0,30.0,3.0,63.0,128.0,12.0,229.0,69.0,7.0,37.0,190.0,74.0,89.0,289.0,365.0,48.0,20.0
4516,2.0,17.0,4.0,0.0,25.0,68.0,15.0,66.0,16.0,5.0,1.0,28.0,10445.0,438.0,13.0,7.0,26.0,51.0,21.0,3857.0,36.0,69.0,3.0,27.0,172.0,421.0,178.0,29.0,4006.0,56.0
4565,0.0,12.0,2.0,1.0,17.0,68.0,3.0,16.0,20.0,4.0,15.0,27.0,321.0,26.0,97.0,85.0,82.0,36.0,23.0,143.0,19.0,10.0,5.0,58.0,115.0,8.0,92.0,189.0,352.0,53.0
4614,16.0,10.0,0.0,2.0,12.0,50.0,25.0,15.0,13.0,8.0,22.0,27.0,3344.0,37.0,91.0,1.0,28.0,56.0,191.0,289.0,20.0,4.0,358.0,112.0,127.0,55.0,48.0,42.0,1027.0,49.0
4663,0.0,6.0,4.0,1.0,2.0,41.0,27.0,3.0,8.0,35.0,18.0,20.0,419.0,45.0,12.0,21.0,120.0,31.0,123.0,436.0,457.0,5.0,13.0,50.0,162.0,17.0,78.0,71.0,659.0,48.0
4712,8.0,7.0,1.0,5.0,21.0,9.0,6.0,0.0,4.0,12.0,118.0,191.0,225.0,32.0,16.0,22.0,83.0,13.0,293.0,58.0,24.0,3.0,27.0,65.0,284.0,45.0,53.0,85.0,99.0,2.0
4761,25.0,4.0,6.0,0.0,8.0,71.0,46.0,3.0,2.0,64.0,5.0,57.0,53.0,55.0,44.0,95.0,27.0,52.0,1.0,415.0,39.0,30.0,141.0,234.0,62.0,245.0,242.0,165.0,273.0,97.0
4810,29.0,8.0,2.0,0.0,18.0,237.0,5.0,6.0,1.0,9.0,162.0,23.0,303.0,37.0,14.0,3.0,62.0,36.0,15.0,208.0,58.0,4.0,97.0,421.0,281.0,139.0,67.0,319.0,105.0,22.0
4859,22.0,18.0,10.0,0.0,307.0,179.0,101.0,1.0,40.0,51.0,3.0,14.0,287.0,87.0,64.0,5.0,274.0,456.0,24.0,332.0,33.0,2.0,17.0,75.0,104.0,11.0,50.0,2628.0,109.0,4.0
