,hsa-miR-148a,hsa-miR-541,hsa-miR-766,hsa-miR-1977,hsa-miR-744,kshv-miR-K12-8,hsa-miR-630,hsa-miR-27b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-659,hsa-miR-99a,hsa-miR-769-3p,hsa-miR-93,hsa-miR-223,hsa-miR-147,hsa-miR-142-5p,hsa-miR-581,hsa-miR-1538,hsa-miR-892a,hsa-miR-380,hsv1-miR-H8,ebv-miR-BART15,hsa-miR-2115,hsa-miR-708,hsa-miR-301b,hsa-miR-615-3p,hsa-miR-423-5p,hsa-miR-497,hsa-miR-125a-3p,hsa-miR-508-5p
3103,2.0,3.0,6.0,38.0,1.0,24.0,29.0,0.0,9.0,8.0,10.0,12.0,27.0,4.0,25.0,55.0,13.0,30.0,62.0,203.0,35.0,93.0,82.0,32.0,31.0,15.0,16.0,43.0,59.0,36.0
3152,0.0,2.0,3.0,5.0,4.0,7.0,38.0,1.0,20.0,23.0,26.0,11.0,55.0,6.0,35.0,17.0,48.0,19.0,139.0,81.0,28.0,87.0,61.0,43.0,62.0,9.0,37.0,110.0,42.0,14.0
3201,0.0,4.0,5.0,6.0,1.0,28.0,14.0,2.0,15.0,10.0,21.0,40.0,16.0,13.0,41.0,25.0,19.0,8.0,50.0,109.0,47.0,55.0,7.0,20.0,59.0,27.0,45.0,33.0,23.0,12.0
3250,0.0,3.0,6.0,16.0,2.0,11.0,12.0,1.0,26.0,9.0,18.0,30.0,43.0,4.0,22.0,63.0,132.0,31.0,146.0,80.0,29.0,60.0,33.0,20.0,10.0,83.0,68.0,27.0,105.0,53.0
3299,0.0,2.0,4.0,42.0,6.0,1.0,13.0,15.0,14.0,23.0,7.0,10.0,44.0,5.0,16.0,51.0,32.0,45.0,46.0,237.0,33.0,34.0,21.0,22.0,84.0,8.0,55.0,20.0,24.0,18.0
3348,2.0,1.0,5.0,9.0,10.0,4.0,33.0,6.0,16.0,7.0,8.0,34.0,21.0,3.0,30.0,27.0,109.0,42.0,146.0,63.0,18.0,73.0,29.0,98.0,14.0,19.0,59.0,11.0,93.0,12.0
3397,0.0,5.0,2.0,44.0,1.0,7.0,64.0,3.0,108.0,9.0,19.0,25.0,35.0,11.0,34.0,83.0,48.0,12.0,53.0,143.0,27.0,51.0,89.0,31.0,13.0,20.0,63.0,37.0,66.0,24.0
3446,3.0,0.0,11.0,16.0,4.0,1.0,18.0,17.0,2.0,15.0,9.0,10.0,8.0,6.0,87.0,29.0,34.0,7.0,94.0,56.0,44.0,26.0,191.0,22.0,140.0,123.0,69.0,27.0,46.0,48.0
3495,2.0,0.0,8.0,13.0,39.0,3.0,31.0,4.0,1.0,11.0,5.0,43.0,9.0,27.0,20.0,7.0,104.0,18.0,29.0,46.0,17.0,44.0,57.0,54.0,75.0,51.0,62.0,10.0,15.0,65.0
3544,0.0,1.0,4.0,17.0,18.0,2.0,7.0,15.0,3.0,10.0,5.0,38.0,9.0,16.0,28.0,42.0,161.0,11.0,63.0,93.0,24.0,27.0,139.0,57.0,136.0,44.0,13.0,26.0,25.0,50.0
3593,0.0,1.0,4.0,6.0,21.0,7.0,5.0,2.0,3.0,18.0,12.0,67.0,10.0,25.0,43.0,9.0,97.0,27.0,46.0,118.0,23.0,33.0,36.0,51.0,103.0,28.0,15.0,16.0,66.0,55.0
3642,0.0,3.0,5.0,12.0,4.0,1.0,13.0,15.0,2.0,11.0,8.0,23.0,9.0,34.0,44.0,46.0,40.0,6.0,33.0,66.0,27.0,58.0,47.0,62.0,164.0,28.0,35.0,22.0,10.0,43.0
3691,4.0,1.0,9.0,7.0,3.0,0.0,31.0,15.0,2.0,18.0,5.0,25.0,22.0,8.0,10.0,36.0,101.0,16.0,19.0,38.0,34.0,13.0,63.0,100.0,79.0,69.0,54.0,11.0,90.0,46.0
3740,1.0,3.0,2.0,22.0,5.0,0.0,8.0,31.0,4.0,64.0,10.0,19.0,7.0,58.0,16.0,6.0,47.0,37.0,29.0,72.0,35.0,9.0,54.0,41.0,56.0,13.0,108.0,17.0,12.0,53.0
3789,4.0,1.0,5.0,7.0,8.0,2.0,10.0,0.0,3.0,24.0,11.0,9.0,25.0,16.0,22.0,18.0,50.0,19.0,17.0,85.0,15.0,21.0,13.0,72.0,86.0,70.0,53.0,54.0,27.0,63.0
3838,4.0,0.0,5.0,8.0,3.0,2.0,28.0,7.0,1.0,13.0,19.0,33.0,9.0,10.0,26.0,17.0,45.0,24.0,11.0,65.0,14.0,72.0,89.0,98.0,81.0,25.0,22.0,32.0,23.0,96.0
3887,8.0,2.0,3.0,1.0,33.0,0.0,7.0,4.0,6.0,55.0,36.0,35.0,28.0,5.0,70.0,29.0,75.0,16.0,77.0,130.0,11.0,113.0,56.0,73.0,71.0,13.0,32.0,44.0,24.0,30.0
3936,4.0,0.0,3.0,1.0,2.0,64.0,9.0,5.0,27.0,16.0,7.0,39.0,23.0,79.0,18.0,19.0,15.0,6.0,41.0,13.0,76.0,73.0,65.0,10.0,35.0,46.0,31.0,129.0,48.0,25.0
3985,2.0,0.0,4.0,5.0,1.0,32.0,24.0,6.0,8.0,3.0,16.0,45.0,18.0,69.0,10.0,23.0,17.0,28.0,33.0,27.0,81.0,77.0,35.0,64.0,31.0,12.0,14.0,152.0,29.0,71.0
4034,3.0,0.0,5.0,2.0,1.0,11.0,10.0,117.0,20.0,9.0,7.0,12.0,22.0,23.0,68.0,85.0,35.0,50.0,15.0,18.0,38.0,100.0,75.0,21.0,44.0,60.0,57.0,193.0,30.0,25.0
4083,1.0,3.0,6.0,0.0,2.0,35.0,48.0,4.0,22.0,12.0,8.0,26.0,32.0,11.0,46.0,21.0,79.0,33.0,9.0,7.0,24.0,104.0,70.0,89.0,94.0,80.0,63.0,129.0,174.0,40.0
4132,2.0,1.0,5.0,0.0,13.0,4.0,16.0,8.0,3.0,10.0,12.0,44.0,42.0,40.0,11.0,23.0,52.0,47.0,49.0,15.0,18.0,121.0,170.0,14.0,58.0,56.0,25.0,106.0,29.0,64.0
4181,1.0,0.0,6.0,4.0,3.0,27.0,5.0,18.0,7.0,2.0,10.0,48.0,30.0,37.0,88.0,40.0,14.0,31.0,17.0,23.0,32.0,111.0,125.0,46.0,59.0,65.0,34.0,98.0,36.0,39.0
4230,4.0,3.0,1.0,2.0,0.0,5.0,8.0,29.0,45.0,40.0,9.0,21.0,63.0,6.0,28.0,32.0,24.0,26.0,74.0,67.0,14.0,96.0,23.0,43.0,53.0,52.0,17.0,128.0,11.0,33.0
4279,12.0,0.0,6.0,2.0,1.0,53.0,25.0,34.0,8.0,5.0,10.0,95.0,11.0,61.0,29.0,13.0,17.0,49.0,14.0,3.0,51.0,168.0,59.0,75.0,67.0,26.0,50.0,163.0,45.0,33.0
4328,0.0,2.0,7.0,3.0,5.0,9.0,26.0,1.0,10.0,12.0,4.0,43.0,38.0,57.0,52.0,92.0,46.0,35.0,208.0,16.0,27.0,67.0,25.0,32.0,49.0,39.0,42.0,173.0,36.0,44.0
4377,1.0,0.0,4.0,2.0,20.0,6.0,10.0,35.0,24.0,5.0,3.0,7.0,23.0,32.0,16.0,93.0,27.0,11.0,55.0,30.0,14.0,82.0,115.0,37.0,74.0,43.0,18.0,85.0,107.0,81.0
4426,22.0,0.0,4.0,2.0,9.0,3.0,30.0,8.0,19.0,20.0,64.0,11.0,6.0,36.0,32.0,59.0,17.0,122.0,54.0,33.0,27.0,41.0,12.0,13.0,16.0,10.0,37.0,18.0,58.0,39.0
4475,16.0,8.0,0.0,3.0,1.0,5.0,12.0,38.0,2.0,10.0,104.0,6.0,11.0,66.0,68.0,67.0,17.0,73.0,20.0,37.0,23.0,36.0,14.0,13.0,18.0,48.0,28.0,7.0,21.0,91.0
4524,28.0,0.0,7.0,5.0,14.0,1.0,13.0,64.0,12.0,41.0,203.0,4.0,2.0,61.0,27.0,17.0,8.0,185.0,72.0,11.0,18.0,20.0,3.0,9.0,21.0,31.0,85.0,23.0,67.0,55.0
4573,17.0,1.0,4.0,3.0,0.0,2.0,14.0,30.0,5.0,10.0,210.0,12.0,6.0,147.0,54.0,64.0,7.0,123.0,9.0,31.0,16.0,21.0,22.0,11.0,24.0,13.0,23.0,32.0,111.0,43.0
4622,24.0,3.0,4.0,6.0,5.0,1.0,59.0,15.0,14.0,2.0,243.0,44.0,10.0,52.0,65.0,12.0,11.0,84.0,47.0,7.0,89.0,60.0,81.0,25.0,16.0,55.0,101.0,21.0,53.0,46.0
4671,36.0,2.0,4.0,1.0,9.0,0.0,35.0,13.0,3.0,34.0,107.0,31.0,6.0,68.0,21.0,10.0,20.0,45.0,52.0,15.0,24.0,18.0,26.0,12.0,5.0,19.0,72.0,23.0,78.0,53.0
4720,6.0,12.0,3.0,5.0,4.0,0.0,21.0,9.0,1.0,2.0,184.0,35.0,15.0,31.0,26.0,43.0,10.0,128.0,25.0,42.0,62.0,27.0,11.0,7.0,8.0,28.0,17.0,33.0,34.0,67.0
4769,3.0,0.0,1.0,4.0,7.0,2.0,17.0,48.0,8.0,10.0,52.0,6.0,16.0,58.0,32.0,47.0,9.0,104.0,44.0,11.0,31.0,38.0,14.0,15.0,29.0,12.0,24.0,25.0,45.0,49.0
4818,13.0,1.0,2.0,12.0,0.0,20.0,16.0,18.0,24.0,40.0,237.0,4.0,7.0,76.0,14.0,21.0,38.0,46.0,3.0,15.0,42.0,50.0,11.0,19.0,33.0,17.0,9.0,32.0,41.0,131.0
4867,34.0,5.0,2.0,3.0,1.0,0.0,21.0,6.0,13.0,51.0,155.0,25.0,4.0,29.0,109.0,27.0,28.0,45.0,15.0,14.0,35.0,164.0,17.0,10.0,12.0,7.0,22.0,36.0,8.0,64.0
