, TNFa, H2O2, JAK-STAT, MAPK_PI3K, TLR, TGFB, Wnt, MAPK_only, PI3K_only, VEGF, IL-1
3911,0.0,2.0,3.0,4.0,8.0,6.0,5.0,9.0,1.0,10.0,7.0
3960,6.0,5.0,3.0,1.0,4.0,8.0,7.0,10.0,9.0,2.0,0.0
4009,0.0,6.0,1.0,5.0,4.0,8.0,3.0,9.0,10.0,7.0,2.0
4058,2.0,1.0,4.0,3.0,6.0,8.0,7.0,9.0,5.0,10.0,0.0
4107,0.0,2.0,3.0,5.0,8.0,9.0,4.0,6.0,10.0,7.0,1.0
4156,0.0,3.0,1.0,5.0,8.0,4.0,9.0,10.0,6.0,2.0,7.0
4205,0.0,5.0,1.0,2.0,3.0,9.0,6.0,7.0,8.0,4.0,10.0
4254,1.0,0.0,9.0,5.0,6.0,8.0,3.0,4.0,10.0,7.0,2.0
4303,3.0,0.0,1.0,4.0,8.0,9.0,5.0,10.0,6.0,2.0,7.0
4352,0.0,1.0,2.0,4.0,6.0,8.0,3.0,9.0,10.0,5.0,7.0
4401,6.0,10.0,4.0,2.0,0.0,9.0,1.0,5.0,8.0,3.0,7.0
4450,0.0,8.0,6.0,4.0,3.0,1.0,5.0,10.0,2.0,7.0,9.0
4499,0.0,1.0,8.0,6.0,7.0,4.0,9.0,3.0,2.0,5.0,10.0
4548,1.0,4.0,3.0,5.0,8.0,2.0,6.0,7.0,0.0,9.0,10.0
4597,0.0,6.0,1.0,9.0,10.0,4.0,7.0,5.0,2.0,3.0,8.0
4646,3.0,1.0,2.0,6.0,7.0,0.0,9.0,8.0,5.0,4.0,10.0
4695,0.0,2.0,1.0,4.0,9.0,6.0,8.0,5.0,3.0,7.0,10.0
4744,0.0,2.0,1.0,6.0,5.0,3.0,10.0,7.0,4.0,8.0,9.0
4793,1.0,0.0,3.0,8.0,6.0,2.0,10.0,4.0,5.0,9.0,7.0
4842,1.0,3.0,10.0,5.0,8.0,9.0,4.0,0.0,2.0,7.0,6.0
4891,0.0,6.0,2.0,4.0,7.0,3.0,10.0,8.0,1.0,5.0,9.0
