,LUNG,PANCREAS,STOMACH,NERVOUS,OESOPHAGUS,OVARY,URINARY,HAEMATOPOIETIC,BREAST,LIVER,GANGLIA,LARGE_INTESTINE,BONE,ENDOMETRIUM,SOFT_TISSUE,AERODIGESTIVE,SKIN,PROSTATE,SALIVARY,THYROID,KIDNEY,PLEURA,BILIARY
538,2.0,9.0,3.0,11.0,1.0,4.0,10.0,12.0,0.0,7.0,5.0,14.0,8.0,21.0,6.0,15.0,13.0,16.0,18.0,19.0,20.0,17.0,22.0
587,17.0,3.0,4.0,5.0,0.0,6.0,14.0,13.0,1.0,2.0,15.0,7.0,9.0,21.0,11.0,8.0,10.0,16.0,19.0,20.0,12.0,18.0,22.0
636,16.0,1.0,3.0,4.0,7.0,5.0,10.0,6.0,2.0,0.0,11.0,13.0,9.0,21.0,8.0,15.0,12.0,14.0,18.0,19.0,20.0,17.0,22.0
685,0.0,8.0,1.0,9.0,2.0,5.0,4.0,10.0,3.0,7.0,6.0,11.0,13.0,21.0,12.0,14.0,18.0,15.0,17.0,19.0,20.0,16.0,22.0
734,17.0,1.0,2.0,3.0,6.0,4.0,14.0,5.0,0.0,10.0,7.0,9.0,15.0,11.0,8.0,12.0,13.0,16.0,18.0,19.0,20.0,22.0,21.0
783,2.0,9.0,3.0,0.0,1.0,5.0,4.0,6.0,10.0,8.0,11.0,12.0,13.0,21.0,7.0,14.0,18.0,15.0,17.0,19.0,20.0,16.0,22.0
832,8.0,0.0,1.0,3.0,11.0,14.0,15.0,13.0,2.0,6.0,7.0,4.0,5.0,21.0,16.0,17.0,10.0,18.0,19.0,20.0,12.0,9.0,22.0
881,22.0,0.0,2.0,4.0,1.0,5.0,3.0,6.0,7.0,9.0,15.0,8.0,11.0,21.0,13.0,10.0,12.0,16.0,19.0,20.0,14.0,18.0,17.0
930,3.0,7.0,4.0,0.0,2.0,5.0,9.0,1.0,8.0,14.0,10.0,13.0,6.0,20.0,12.0,15.0,11.0,16.0,22.0,18.0,19.0,17.0,21.0
979,3.0,2.0,4.0,0.0,6.0,11.0,10.0,5.0,9.0,1.0,12.0,7.0,8.0,21.0,18.0,14.0,13.0,15.0,17.0,19.0,20.0,16.0,22.0
1028,12.0,2.0,0.0,3.0,5.0,4.0,13.0,1.0,7.0,9.0,6.0,14.0,11.0,10.0,8.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0,21.0
1077,10.0,7.0,2.0,4.0,1.0,0.0,3.0,11.0,9.0,13.0,5.0,6.0,14.0,8.0,12.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
1126,2.0,1.0,3.0,4.0,6.0,5.0,10.0,11.0,14.0,8.0,7.0,0.0,13.0,9.0,12.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
1175,0.0,1.0,2.0,10.0,6.0,4.0,3.0,5.0,14.0,12.0,7.0,8.0,13.0,9.0,11.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
1224,11.0,2.0,3.0,0.0,4.0,5.0,19.0,6.0,10.0,8.0,14.0,1.0,13.0,9.0,7.0,15.0,12.0,16.0,22.0,17.0,18.0,20.0,21.0
1273,10.0,0.0,3.0,12.0,5.0,4.0,13.0,2.0,11.0,7.0,6.0,9.0,8.0,1.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1322,2.0,14.0,3.0,5.0,7.0,6.0,4.0,0.0,8.0,12.0,1.0,11.0,13.0,21.0,10.0,15.0,9.0,16.0,18.0,19.0,20.0,17.0,22.0
1371,8.0,16.0,2.0,3.0,5.0,13.0,14.0,0.0,1.0,7.0,6.0,15.0,4.0,9.0,19.0,10.0,11.0,17.0,18.0,20.0,12.0,21.0,22.0
1420,16.0,2.0,0.0,4.0,1.0,5.0,3.0,10.0,21.0,8.0,6.0,12.0,9.0,13.0,7.0,15.0,11.0,14.0,18.0,19.0,20.0,17.0,22.0
1469,3.0,13.0,10.0,5.0,1.0,11.0,4.0,0.0,2.0,12.0,6.0,7.0,16.0,9.0,8.0,14.0,18.0,15.0,17.0,19.0,20.0,21.0,22.0
1518,2.0,1.0,0.0,3.0,11.0,4.0,10.0,5.0,9.0,6.0,12.0,14.0,7.0,8.0,18.0,15.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0
1567,2.0,0.0,3.0,5.0,7.0,6.0,4.0,11.0,1.0,9.0,8.0,13.0,16.0,10.0,18.0,14.0,12.0,15.0,17.0,19.0,20.0,21.0,22.0
1616,9.0,14.0,3.0,0.0,7.0,5.0,4.0,1.0,2.0,10.0,12.0,16.0,8.0,6.0,19.0,15.0,11.0,17.0,18.0,20.0,13.0,21.0,22.0
1665,11.0,1.0,3.0,12.0,0.0,20.0,4.0,5.0,2.0,8.0,6.0,7.0,9.0,10.0,16.0,13.0,17.0,14.0,15.0,18.0,19.0,21.0,22.0
1714,2.0,10.0,0.0,4.0,1.0,16.0,3.0,15.0,7.0,17.0,5.0,6.0,11.0,8.0,22.0,9.0,13.0,12.0,21.0,19.0,14.0,18.0,20.0
1763,3.0,7.0,4.0,0.0,5.0,11.0,10.0,1.0,2.0,8.0,6.0,12.0,9.0,13.0,17.0,14.0,18.0,15.0,16.0,19.0,20.0,21.0,22.0
1812,10.0,0.0,2.0,3.0,6.0,4.0,11.0,5.0,1.0,8.0,7.0,13.0,16.0,9.0,18.0,14.0,12.0,15.0,17.0,19.0,20.0,21.0,22.0
1861,11.0,9.0,3.0,0.0,6.0,4.0,12.0,5.0,2.0,1.0,14.0,7.0,8.0,10.0,18.0,15.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0
1910,3.0,10.0,4.0,5.0,7.0,0.0,11.0,6.0,2.0,1.0,8.0,13.0,9.0,21.0,18.0,14.0,12.0,15.0,17.0,19.0,20.0,16.0,22.0
1959,0.0,6.0,9.0,1.0,2.0,10.0,4.0,5.0,3.0,7.0,11.0,12.0,13.0,8.0,17.0,14.0,18.0,15.0,16.0,19.0,20.0,21.0,22.0
2008,10.0,0.0,1.0,3.0,7.0,15.0,2.0,14.0,4.0,9.0,16.0,6.0,11.0,5.0,8.0,17.0,12.0,18.0,21.0,19.0,13.0,20.0,22.0
2057,9.0,2.0,3.0,5.0,0.0,10.0,4.0,11.0,8.0,1.0,12.0,6.0,14.0,7.0,13.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
2106,5.0,2.0,8.0,0.0,1.0,10.0,9.0,6.0,4.0,3.0,7.0,11.0,12.0,13.0,17.0,14.0,18.0,15.0,16.0,19.0,20.0,21.0,22.0
2155,10.0,0.0,13.0,3.0,6.0,11.0,12.0,5.0,8.0,4.0,7.0,14.0,2.0,1.0,9.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2204,2.0,1.0,3.0,4.0,5.0,11.0,10.0,0.0,9.0,13.0,12.0,6.0,14.0,8.0,7.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
2253,22.0,1.0,14.0,3.0,0.0,4.0,2.0,5.0,7.0,10.0,6.0,9.0,15.0,11.0,8.0,12.0,13.0,16.0,18.0,19.0,20.0,21.0,17.0
2302,9.0,8.0,2.0,20.0,3.0,1.0,10.0,19.0,0.0,6.0,4.0,12.0,7.0,21.0,5.0,14.0,13.0,15.0,17.0,18.0,11.0,16.0,22.0
2351,2.0,1.0,3.0,11.0,4.0,12.0,10.0,13.0,9.0,7.0,5.0,0.0,14.0,8.0,6.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
2400,0.0,15.0,1.0,3.0,6.0,4.0,13.0,5.0,2.0,10.0,12.0,14.0,9.0,8.0,7.0,16.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
2449,2.0,8.0,3.0,4.0,11.0,0.0,10.0,5.0,1.0,7.0,6.0,12.0,14.0,9.0,13.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
2498,1.0,10.0,2.0,12.0,6.0,4.0,3.0,5.0,0.0,8.0,7.0,14.0,9.0,11.0,13.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
2547,9.0,6.0,0.0,3.0,2.0,4.0,10.0,1.0,8.0,5.0,11.0,13.0,14.0,7.0,18.0,15.0,12.0,16.0,17.0,19.0,20.0,21.0,22.0
2596,0.0,6.0,14.0,1.0,8.0,7.0,13.0,9.0,10.0,12.0,5.0,4.0,3.0,2.0,11.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2645,1.0,0.0,2.0,14.0,7.0,4.0,15.0,13.0,9.0,8.0,16.0,5.0,6.0,3.0,11.0,17.0,10.0,18.0,19.0,22.0,12.0,20.0,21.0
2694,0.0,9.0,2.0,4.0,5.0,11.0,3.0,12.0,1.0,7.0,13.0,6.0,8.0,10.0,14.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
2743,0.0,13.0,4.0,1.0,2.0,6.0,5.0,9.0,3.0,12.0,14.0,11.0,7.0,8.0,18.0,15.0,10.0,16.0,17.0,19.0,20.0,21.0,22.0
2792,3.0,1.0,10.0,12.0,4.0,20.0,11.0,0.0,2.0,7.0,5.0,6.0,8.0,9.0,13.0,14.0,17.0,15.0,16.0,18.0,19.0,21.0,22.0
2841,0.0,8.0,20.0,2.0,1.0,3.0,11.0,4.0,10.0,6.0,13.0,5.0,7.0,9.0,18.0,15.0,14.0,16.0,17.0,19.0,12.0,21.0,22.0
2890,0.0,9.0,3.0,4.0,1.0,5.0,10.0,11.0,2.0,7.0,6.0,14.0,8.0,21.0,13.0,15.0,12.0,22.0,18.0,19.0,20.0,17.0,16.0
2939,2.0,15.0,3.0,4.0,1.0,5.0,13.0,6.0,8.0,9.0,12.0,14.0,7.0,0.0,11.0,16.0,10.0,17.0,22.0,18.0,19.0,20.0,21.0
2988,7.0,0.0,9.0,8.0,10.0,13.0,14.0,11.0,5.0,3.0,6.0,4.0,2.0,1.0,12.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3037,0.0,1.0,8.0,9.0,3.0,10.0,2.0,11.0,5.0,6.0,4.0,13.0,7.0,15.0,12.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3086,17.0,0.0,3.0,13.0,1.0,6.0,4.0,7.0,2.0,10.0,12.0,14.0,8.0,5.0,9.0,15.0,11.0,16.0,21.0,18.0,19.0,20.0,22.0
3135,12.0,0.0,1.0,14.0,13.0,4.0,2.0,5.0,7.0,15.0,6.0,9.0,10.0,3.0,8.0,11.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3184,3.0,1.0,9.0,0.0,6.0,5.0,4.0,10.0,2.0,8.0,7.0,13.0,17.0,15.0,12.0,14.0,11.0,16.0,18.0,19.0,20.0,21.0,22.0
3233,5.0,0.0,8.0,2.0,4.0,6.0,7.0,15.0,10.0,1.0,9.0,11.0,12.0,14.0,3.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3282,12.0,1.0,2.0,4.0,6.0,5.0,3.0,0.0,10.0,13.0,7.0,8.0,9.0,11.0,17.0,14.0,18.0,15.0,16.0,19.0,20.0,21.0,22.0
3331,12.0,5.0,2.0,4.0,0.0,14.0,3.0,13.0,6.0,10.0,9.0,11.0,7.0,1.0,8.0,19.0,15.0,21.0,20.0,17.0,18.0,16.0,22.0
3380,2.0,0.0,3.0,5.0,6.0,11.0,4.0,12.0,14.0,10.0,7.0,8.0,13.0,1.0,9.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
3429,16.0,2.0,3.0,0.0,1.0,11.0,4.0,5.0,10.0,8.0,6.0,12.0,13.0,9.0,7.0,15.0,18.0,14.0,17.0,19.0,20.0,21.0,22.0
3478,0.0,8.0,1.0,11.0,3.0,12.0,2.0,13.0,10.0,7.0,4.0,5.0,14.0,9.0,6.0,15.0,17.0,16.0,22.0,18.0,19.0,20.0,21.0
3527,12.0,0.0,2.0,14.0,5.0,1.0,3.0,4.0,6.0,9.0,8.0,16.0,18.0,10.0,7.0,11.0,15.0,17.0,22.0,19.0,13.0,20.0,21.0
3576,1.0,20.0,3.0,8.0,4.0,9.0,7.0,0.0,2.0,6.0,10.0,12.0,13.0,15.0,5.0,14.0,11.0,16.0,22.0,18.0,19.0,17.0,21.0
3625,1.0,10.0,0.0,2.0,5.0,3.0,12.0,4.0,14.0,8.0,6.0,7.0,9.0,11.0,13.0,15.0,17.0,16.0,22.0,18.0,19.0,20.0,21.0
3674,1.0,8.0,14.0,11.0,0.0,10.0,12.0,9.0,7.0,4.0,5.0,13.0,3.0,2.0,6.0,20.0,16.0,17.0,22.0,19.0,15.0,18.0,21.0
3723,0.0,9.0,2.0,4.0,7.0,5.0,3.0,6.0,1.0,8.0,10.0,12.0,14.0,15.0,17.0,13.0,11.0,16.0,22.0,18.0,19.0,20.0,21.0
3772,11.0,2.0,0.0,4.0,1.0,5.0,3.0,6.0,10.0,17.0,12.0,8.0,14.0,9.0,7.0,15.0,13.0,16.0,21.0,22.0,18.0,19.0,20.0
3821,9.0,0.0,1.0,12.0,3.0,11.0,13.0,6.0,10.0,5.0,7.0,8.0,4.0,2.0,14.0,16.0,15.0,17.0,22.0,18.0,19.0,20.0,21.0
3870,3.0,6.0,0.0,8.0,2.0,7.0,14.0,9.0,1.0,5.0,10.0,12.0,13.0,4.0,11.0,16.0,15.0,17.0,21.0,18.0,19.0,20.0,22.0
3919,2.0,1.0,3.0,11.0,0.0,5.0,4.0,12.0,10.0,8.0,6.0,7.0,14.0,9.0,13.0,15.0,17.0,16.0,22.0,18.0,19.0,20.0,21.0
3968,10.0,3.0,0.0,13.0,1.0,12.0,4.0,6.0,7.0,2.0,11.0,9.0,8.0,5.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4017,0.0,1.0,3.0,4.0,5.0,11.0,10.0,12.0,2.0,14.0,13.0,6.0,8.0,9.0,7.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
4066,10.0,7.0,3.0,5.0,1.0,6.0,4.0,0.0,13.0,8.0,11.0,2.0,12.0,9.0,17.0,14.0,18.0,15.0,16.0,19.0,20.0,21.0,22.0
4115,2.0,13.0,3.0,0.0,6.0,5.0,4.0,10.0,14.0,9.0,7.0,8.0,12.0,1.0,11.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
4164,3.0,13.0,4.0,6.0,1.0,0.0,5.0,9.0,14.0,7.0,10.0,2.0,8.0,20.0,12.0,15.0,11.0,16.0,17.0,18.0,19.0,22.0,21.0
4213,0.0,8.0,1.0,2.0,5.0,3.0,11.0,4.0,10.0,6.0,12.0,13.0,7.0,9.0,14.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
4262,11.0,1.0,2.0,4.0,7.0,5.0,13.0,6.0,0.0,9.0,14.0,3.0,10.0,21.0,8.0,16.0,15.0,17.0,19.0,20.0,12.0,18.0,22.0
4311,10.0,0.0,14.0,13.0,2.0,12.0,4.0,1.0,21.0,6.0,9.0,5.0,8.0,3.0,7.0,16.0,15.0,17.0,19.0,20.0,11.0,18.0,22.0
4360,3.0,2.0,0.0,10.0,1.0,11.0,4.0,5.0,9.0,17.0,12.0,6.0,7.0,8.0,14.0,15.0,13.0,16.0,22.0,18.0,19.0,20.0,21.0
4409,16.0,3.0,4.0,0.0,1.0,6.0,5.0,7.0,13.0,8.0,9.0,2.0,17.0,12.0,11.0,15.0,10.0,14.0,18.0,19.0,20.0,21.0,22.0
4458,3.0,13.0,9.0,10.0,1.0,5.0,4.0,0.0,2.0,12.0,6.0,7.0,8.0,14.0,18.0,15.0,11.0,16.0,17.0,19.0,20.0,21.0,22.0
4507,1.0,13.0,2.0,4.0,5.0,20.0,3.0,6.0,0.0,14.0,9.0,10.0,7.0,8.0,17.0,12.0,11.0,15.0,16.0,18.0,19.0,21.0,22.0
4556,11.0,5.0,3.0,4.0,0.0,18.0,21.0,1.0,2.0,16.0,20.0,19.0,10.0,6.0,12.0,8.0,13.0,7.0,17.0,14.0,15.0,9.0,22.0
4605,3.0,8.0,4.0,5.0,11.0,10.0,9.0,0.0,2.0,17.0,12.0,7.0,1.0,14.0,6.0,15.0,13.0,16.0,18.0,19.0,20.0,21.0,22.0
4654,3.0,12.0,10.0,5.0,11.0,1.0,4.0,2.0,0.0,16.0,6.0,13.0,8.0,9.0,7.0,14.0,18.0,15.0,17.0,19.0,20.0,21.0,22.0
4703,0.0,8.0,2.0,4.0,11.0,10.0,3.0,1.0,9.0,17.0,5.0,13.0,7.0,14.0,6.0,15.0,12.0,16.0,18.0,19.0,20.0,21.0,22.0
4752,0.0,8.0,1.0,3.0,5.0,11.0,10.0,4.0,2.0,17.0,12.0,14.0,7.0,9.0,6.0,15.0,13.0,16.0,22.0,18.0,19.0,20.0,21.0
4801,9.0,3.0,5.0,6.0,1.0,0.0,10.0,11.0,4.0,16.0,2.0,7.0,13.0,8.0,18.0,14.0,12.0,15.0,17.0,22.0,19.0,20.0,21.0
4850,0.0,2.0,3.0,1.0,4.0,9.0,8.0,10.0,7.0,17.0,5.0,13.0,6.0,14.0,12.0,15.0,11.0,16.0,18.0,19.0,20.0,21.0,22.0
4899,0.0,12.0,10.0,4.0,6.0,5.0,3.0,1.0,2.0,16.0,11.0,7.0,9.0,13.0,8.0,14.0,18.0,15.0,17.0,19.0,20.0,21.0,22.0
