,ZBTB20_AMP,GBP3_DEL,BRAF_MUT,GSTT1_AMP,LOC391322_AMP,SIRPB1_AMP,ADAM6_AMP,CFHR1_AMP,KIAA1217_DEL,CFHR3_AMP,CNTNAP3B_DEL,NSF_AMP,KIAA0125_AMP,OR51A2_DEL,USP32P2_DEL,DOCK10_AMP,SLC25A37_DEL,GSTTP1_DEL,TPTE_DEL,TTTY22_DEL,TXNRD1_DEL,LOC340357_DEL,EID3_DEL,DDT_DEL,FAM75A6_DEL,UGT2B28_DEL,FAM21A_DEL,LRRC37A2_AMP,LCE1D_AMP,CSMD3_MUT
814,3.0,46.0,29.0,36.0,35.0,50.0,20.0,4.0,21.0,2.0,32.0,19.0,25.0,11.0,22.0,13.0,10.0,5.0,96.0,49.0,41.0,39.0,42.0,34.0,63.0,53.0,15.0,43.0,30.0,379.0
863,0.0,79.0,1.0,3.0,2.0,85.0,8.0,67.0,4.0,25.0,18.0,24.0,10.0,11.0,28.0,6.0,102.0,56.0,7.0,5.0,142.0,15.0,141.0,63.0,50.0,52.0,12.0,36.0,55.0,61.0
912,0.0,39.0,59.0,23.0,24.0,82.0,2.0,20.0,14.0,5.0,41.0,3.0,1.0,4.0,90.0,8.0,15.0,55.0,17.0,46.0,27.0,44.0,28.0,13.0,80.0,79.0,6.0,10.0,40.0,407.0
961,1.0,176.0,22.0,16.0,17.0,15.0,2.0,5.0,10.0,6.0,32.0,25.0,4.0,13.0,12.0,23.0,31.0,26.0,42.0,20.0,35.0,48.0,36.0,27.0,58.0,8.0,3.0,53.0,24.0,397.0
1010,19.0,3.0,0.0,1.0,2.0,13.0,34.0,7.0,40.0,10.0,23.0,66.0,51.0,14.0,47.0,52.0,28.0,15.0,12.0,27.0,18.0,21.0,17.0,29.0,39.0,6.0,4.0,81.0,38.0,5.0
1059,4.0,1.0,6.0,2.0,3.0,0.0,284.0,5.0,1245.0,8.0,25.0,73.0,553.0,12.0,24.0,46.0,19.0,67.0,35.0,47.0,13.0,40.0,14.0,23.0,51.0,7.0,184.0,92.0,41.0,9.0
1108,7.0,0.0,10.0,2.0,1.0,15.0,67.0,3.0,220.0,5.0,33.0,17.0,115.0,51.0,54.0,113.0,6.0,109.0,11.0,58.0,12.0,28.0,13.0,29.0,40.0,9.0,32.0,26.0,23.0,4.0
1157,678.0,5.0,4.0,1.0,2.0,0.0,972.0,22.0,28.0,49.0,17.0,58.0,4207.0,53.0,25.0,1231.0,21.0,112.0,31.0,54.0,7.0,16.0,8.0,34.0,32.0,6.0,52.0,75.0,18.0,3.0
1206,36.0,3.0,53.0,1.0,0.0,2.0,155.0,6.0,226.0,17.0,10.0,33.0,221.0,7.0,30.0,62.0,31.0,4.0,8.0,26.0,12.0,34.0,13.0,11.0,23.0,95.0,49.0,38.0,25.0,9.0
1255,184.0,6.0,28.0,5.0,4.0,2.0,49.0,0.0,173.0,3.0,9.0,34.0,78.0,12.0,13.0,69.0,7.0,16.0,11.0,55.0,57.0,42.0,56.0,14.0,22.0,23.0,1.0,33.0,41.0,122.0
1304,1.0,0.0,27.0,16.0,15.0,25.0,18.0,3.0,152.0,24.0,7.0,68.0,21.0,48.0,8755.0,184.0,13.0,55.0,6.0,78.0,5.0,60.0,4.0,12.0,17.0,26.0,117.0,90.0,77.0,49.0
1353,12.0,22.0,1.0,2.0,3.0,6.0,73.0,0.0,1296.0,7.0,33.0,25.0,68.0,60.0,14.0,206.0,27.0,15.0,19.0,91.0,11.0,64.0,10.0,17.0,58.0,8.0,42.0,36.0,23.0,4.0
1402,32.0,6.0,11.0,17.0,16.0,23.0,34.0,0.0,592.0,1.0,29.0,72.0,37.0,138.0,18.0,157.0,44.0,113.0,56.0,33.0,8.0,39.0,9.0,21.0,63.0,5.0,54.0,102.0,13.0,19.0
1451,26.0,3.0,24.0,2.0,1.0,6.0,30.0,0.0,473.0,5.0,47.0,753.0,49.0,15.0,280.0,7.0,66.0,11.0,9.0,4.0,22.0,19.0,21.0,12.0,76.0,20.0,16.0,1212.0,10.0,8.0
1500,5.0,1.0,20.0,13.0,12.0,38.0,63.0,2.0,9.0,4.0,0.0,33.0,99.0,11.0,42.0,27.0,24.0,14.0,21.0,32.0,43.0,48.0,44.0,23.0,3.0,8.0,41.0,52.0,10.0,385.0
1549,0.0,4.0,1.0,27.0,26.0,49.0,19.0,3.0,12.0,7.0,2.0,13.0,29.0,30.0,9.0,10.0,16.0,34.0,20.0,5.0,41.0,24.0,40.0,143.0,6.0,23.0,193.0,17.0,18.0,22.0
1598,1.0,14.0,5.0,427.0,426.0,201.0,6.0,0.0,49.0,3.0,2.0,9.0,12.0,133.0,8.0,22.0,25.0,16.0,775.0,21.0,153.0,38.0,152.0,39.0,4.0,59.0,10.0,18.0,55.0,400.0
1647,0.0,2.0,6.0,85.0,86.0,27.0,7.0,4.0,60.0,3.0,1.0,8.0,15.0,23.0,11.0,25.0,20.0,12.0,39.0,18.0,33.0,138.0,32.0,46.0,5.0,19.0,378.0,14.0,9.0,91.0
1696,0.0,8.0,5.0,406.0,405.0,126.0,128.0,1.0,20.0,2.0,6.0,12.0,366.0,18.0,202.0,3.0,102.0,4.0,27.0,13.0,167.0,30.0,166.0,29.0,15.0,9.0,42.0,22.0,11.0,380.0
1745,7.0,2.0,3.0,48.0,49.0,28.0,11.0,21.0,154.0,10.0,0.0,6.0,22.0,4.0,30.0,20.0,24.0,15.0,89.0,8.0,40.0,32.0,39.0,37.0,1.0,5.0,333.0,12.0,9.0,139.0
1794,7.0,3.0,2.0,45.0,46.0,20.0,10.0,1.0,4.0,0.0,53.0,8.0,17.0,28.0,72.0,16.0,15.0,6.0,9.0,58.0,178.0,21.0,179.0,31.0,137.0,11.0,47.0,13.0,18.0,76.0
1843,8.0,7.0,6.0,556.0,555.0,5.0,12.0,2.0,22.0,3.0,0.0,4.0,14.0,50.0,13.0,25.0,31.0,17.0,29.0,20.0,100.0,48.0,101.0,35.0,1.0,24.0,19.0,9.0,26.0,214.0
1892,3.0,0.0,4.0,159.0,160.0,57.0,10.0,33.0,9.0,77.0,1.0,17.0,16.0,103.0,49.0,8.0,20.0,64.0,19.0,99.0,74.0,65.0,73.0,23.0,2.0,7.0,413.0,34.0,13.0,42.0
1941,3.0,0.0,1.0,262.0,261.0,2.0,39.0,5.0,17.0,6.0,4.0,19.0,57.0,74.0,24.0,59.0,26.0,25.0,33.0,9.0,55.0,87.0,56.0,36.0,8.0,7.0,151.0,44.0,12.0,32.0
1990,1.0,5.0,6.0,8.0,7.0,0.0,13.0,10.0,3.0,16.0,20.0,2.0,14.0,300.0,4.0,45.0,36.0,305.0,43.0,148.0,60.0,23.0,61.0,46.0,22.0,35.0,58.0,12.0,52.0,21.0
2039,24.0,14.0,8.0,0.0,1.0,38.0,3.0,205.0,16.0,172.0,11.0,40.0,2.0,31.0,6.0,144.0,10.0,49.0,9.0,77.0,22.0,33.0,21.0,35.0,13.0,42.0,222.0,59.0,39.0,12.0
2088,3.0,1.0,9.0,10.0,11.0,5.0,40.0,14.0,6.0,23.0,18.0,2.0,34.0,4.0,15.0,22.0,27.0,36.0,48.0,38.0,16.0,21.0,17.0,20.0,19.0,96.0,578.0,7.0,89.0,64.0
2137,6.0,7.0,1.0,12.0,13.0,0.0,2.0,58.0,8.0,83.0,31.0,5.0,4.0,109.0,16.0,19.0,30.0,398.0,3.0,40.0,14.0,47.0,15.0,49.0,35.0,56.0,71.0,20.0,53.0,41.0
2186,3.0,10.0,13.0,4.0,5.0,21.0,42.0,12.0,2.0,8.0,36.0,19.0,45.0,89.0,7.0,17.0,26.0,16.0,72.0,18.0,23.0,22.0,24.0,28.0,39.0,20.0,113.0,40.0,46.0,67.0
2235,0.0,7.0,4.0,6.0,5.0,13.0,3.0,67.0,1.0,93.0,35.0,56.0,2.0,45.0,15.0,31.0,23.0,47.0,9.0,62.0,21.0,49.0,22.0,41.0,38.0,39.0,30.0,80.0,82.0,36.0
2284,1.0,7.0,6.0,5.0,4.0,9.0,2.0,23.0,18.0,62.0,43.0,12.0,3.0,42.0,11.0,73.0,24.0,792.0,27.0,44.0,16.0,31.0,15.0,76.0,46.0,69.0,338.0,19.0,30.0,137.0
2333,0.0,29.0,2.0,9.0,10.0,3.0,16.0,363.0,6.0,267.0,144.0,8.0,23.0,40.0,1.0,19.0,38.0,56.0,4.0,15.0,68.0,21.0,69.0,33.0,158.0,237.0,18.0,12.0,58.0,25.0
2382,37.0,7.0,4.0,11.0,12.0,2.0,9.0,132.0,0.0,42.0,103.0,15.0,8.0,218.0,1.0,29.0,127.0,30.0,16.0,145.0,31.0,41.0,32.0,33.0,111.0,246.0,46.0,24.0,72.0,112.0
2431,1.0,8.0,3.0,20.0,19.0,0.0,25.0,4.0,34.0,12.0,80.0,7.0,32.0,47.0,6.0,68.0,9.0,146.0,41.0,27.0,23.0,43.0,24.0,36.0,81.0,15.0,240.0,16.0,44.0,54.0
2480,0.0,25.0,14.0,16.0,17.0,3.0,43.0,829.0,10.0,635.0,4.0,6.0,108.0,1.0,145.0,2.0,23.0,24.0,439.0,15.0,20.0,33.0,19.0,202.0,12.0,29.0,118.0,27.0,35.0,63.0
2529,4.0,33.0,6.0,1.0,0.0,173.0,54.0,82.0,25.0,16.0,64.0,8.0,96.0,2.0,12.0,22.0,51.0,19.0,73.0,121.0,20.0,37.0,21.0,119.0,153.0,47.0,14.0,10.0,61.0,17.0
2578,11.0,16.0,2.0,4.0,3.0,6.0,10.0,137.0,5.0,62.0,20.0,1.0,7.0,0.0,48.0,68.0,19.0,125.0,39.0,163.0,14.0,37.0,13.0,102.0,33.0,28.0,40.0,9.0,22.0,18.0
2627,0.0,65.0,19.0,4.0,3.0,52.0,8.0,122.0,7.0,70.0,21.0,1.0,13.0,15.0,219.0,64.0,2.0,48.0,50.0,40.0,18.0,23.0,17.0,125.0,36.0,12.0,33.0,5.0,11.0,20.0
2676,0.0,5.0,23.0,2.0,3.0,16.0,21.0,91.0,7.0,69.0,29.0,4.0,48.0,1.0,35.0,18.0,24.0,210.0,56.0,99.0,11.0,20.0,12.0,64.0,30.0,433.0,167.0,8.0,186.0,19.0
2725,3.0,21.0,6.0,0.0,1.0,17.0,69.0,161.0,14.0,97.0,23.0,7.0,144.0,2.0,22.0,31.0,55.0,158.0,160.0,59.0,15.0,19.0,16.0,47.0,58.0,41.0,204.0,12.0,25.0,10.0
2774,2.0,27.0,14.0,0.0,1.0,9.0,10.0,487.0,7.0,130.0,20.0,4.0,30.0,6.0,44.0,31.0,18.0,144.0,155.0,86.0,53.0,8.0,54.0,118.0,46.0,115.0,11.0,16.0,33.0,23.0
2823,4.0,15.0,19.0,1.0,2.0,10.0,11.0,37.0,3.0,28.0,114.0,38.0,9.0,0.0,469.0,234.0,144.0,52.0,87.0,36.0,20.0,26.0,21.0,91.0,449.0,105.0,13.0,85.0,39.0,12.0
2872,21.0,12.0,5.0,4.0,3.0,0.0,1470.0,255.0,2.0,172.0,7.0,45.0,2055.0,1.0,57.0,86.0,6.0,32.0,50.0,38.0,9.0,11.0,10.0,33.0,24.0,23.0,36.0,95.0,20.0,14.0
2921,0.0,18.0,6.0,16.0,15.0,5.0,7.0,54.0,8.0,82.0,50.0,41.0,13.0,1.0,68.0,346.0,20.0,48.0,87.0,89.0,45.0,27.0,46.0,138.0,125.0,12.0,28.0,98.0,17.0,108.0
2970,2.0,1.0,0.0,15.0,14.0,5.0,7.0,73.0,8.0,87.0,19.0,48.0,10.0,4.0,21.0,42.0,402.0,35.0,55.0,12.0,28.0,11.0,27.0,18.0,41.0,22.0,6.0,65.0,3.0,29.0
3019,7.0,0.0,1.0,41.0,40.0,29.0,18.0,30.0,116.0,42.0,2.0,25.0,22.0,33.0,24.0,70.0,19.0,48.0,158.0,20.0,4.0,6.0,5.0,36.0,10.0,16.0,46.0,56.0,12.0,23.0
3068,50.0,0.0,9.0,3.0,2.0,17.0,4.0,188.0,22.0,169.0,1.0,58.0,6.0,28.0,47.0,18.0,60.0,25.0,59.0,7.0,41.0,21.0,40.0,33.0,10.0,210.0,43.0,135.0,24.0,26.0
3117,8.0,0.0,7.0,55.0,54.0,36.0,2.0,40.0,13.0,120.0,1.0,6.0,5.0,34.0,27.0,47.0,45.0,37.0,72.0,92.0,24.0,14.0,23.0,26.0,3.0,30.0,52.0,10.0,12.0,19.0
3166,2.0,1.0,0.0,15.0,16.0,4.0,5.0,43.0,8.0,68.0,9.0,18.0,3.0,21.0,58.0,25.0,22.0,79.0,92.0,7.0,28.0,12.0,29.0,42.0,23.0,36.0,6.0,46.0,14.0,53.0
3215,450.0,0.0,10.0,5.0,4.0,70.0,38.0,26.0,12.0,57.0,15.0,259.0,60.0,3.0,33.0,164.0,32.0,27.0,20.0,13.0,9.0,21.0,8.0,14.0,45.0,29.0,31.0,737.0,6.0,11.0
3264,4.0,18.0,20.0,159.0,160.0,27.0,0.0,43.0,35.0,38.0,2.0,3.0,1.0,46.0,14.0,21.0,34.0,598.0,219.0,9.0,59.0,16.0,58.0,44.0,6.0,127.0,36.0,7.0,53.0,49.0
3313,0.0,3.0,1.0,28.0,27.0,11.0,38.0,44.0,131.0,129.0,9.0,2.0,66.0,14.0,36.0,16.0,140.0,254.0,166.0,4.0,31.0,34.0,32.0,101.0,15.0,314.0,24.0,6.0,52.0,21.0
3362,101.0,0.0,2.0,5.0,4.0,1.0,16.0,3.0,66.0,22.0,8.0,102.0,26.0,6.0,104.0,29.0,87.0,80.0,103.0,11.0,14.0,31.0,13.0,23.0,25.0,27.0,150.0,268.0,58.0,9.0
3411,40.0,0.0,1.0,9.0,8.0,13.0,56.0,114.0,3.0,130.0,5.0,10.0,62.0,4.0,2.0,6.0,129.0,20.0,89.0,15.0,18.0,16.0,17.0,22.0,14.0,141.0,23.0,26.0,50.0,30.0
3460,0.0,9.0,8.0,7.0,6.0,1.0,2.0,4.0,24.0,11.0,34.0,19.0,3.0,67.0,10.0,5.0,202.0,120.0,12.0,16.0,111.0,45.0,112.0,20.0,59.0,102.0,245.0,48.0,68.0,17.0
3509,2.0,11.0,32.0,28.0,27.0,10.0,1.0,0.0,4.0,5.0,37.0,7.0,3.0,20.0,22.0,16.0,40.0,56.0,23.0,9.0,25.0,14.0,24.0,73.0,68.0,189.0,8.0,13.0,131.0,694.0
3558,6.0,15.0,14.0,18.0,17.0,12.0,0.0,7.0,122.0,13.0,59.0,2.0,1.0,10.0,3.0,16.0,36.0,182.0,11.0,48.0,31.0,29.0,32.0,33.0,96.0,86.0,22.0,5.0,30.0,35.0
3607,11.0,14.0,151.0,35.0,36.0,4.0,2.0,0.0,92.0,1.0,23.0,15.0,3.0,18.0,12.0,7.0,20.0,483.0,21.0,17.0,85.0,8.0,86.0,47.0,44.0,72.0,29.0,37.0,34.0,249.0
3656,15.0,16.0,14.0,2.0,3.0,17.0,0.0,5.0,18.0,8.0,6.0,44.0,1.0,72.0,9.0,4.0,21.0,32.0,40.0,20.0,74.0,29.0,75.0,39.0,11.0,378.0,12.0,86.0,217.0,184.0
3705,3.0,5.0,19.0,11.0,10.0,6.0,1.0,2.0,7.0,4.0,49.0,15.0,0.0,36.0,28.0,12.0,102.0,34.0,13.0,18.0,41.0,29.0,42.0,33.0,104.0,311.0,9.0,25.0,14.0,118.0
3754,2.0,21.0,34.0,139.0,140.0,68.0,1.0,3.0,99.0,4.0,24.0,6.0,0.0,64.0,5.0,9.0,69.0,122.0,46.0,48.0,84.0,33.0,83.0,73.0,25.0,30.0,20.0,14.0,87.0,240.0
3803,1.0,2.0,10.0,25.0,26.0,8.0,28.0,3.0,48.0,4.0,23.0,119.0,34.0,30.0,21.0,0.0,51.0,38.0,12.0,31.0,44.0,5.0,43.0,96.0,47.0,81.0,6.0,296.0,20.0,33.0
3852,3.0,10.0,18.0,81.0,82.0,12.0,1.0,2.0,8.0,6.0,31.0,24.0,0.0,11.0,227.0,33.0,32.0,390.0,51.0,28.0,35.0,14.0,34.0,68.0,57.0,36.0,43.0,52.0,29.0,66.0
3901,2.0,3.0,69.0,11.0,10.0,14.0,0.0,4.0,16.0,7.0,20.0,81.0,1.0,15.0,40.0,41.0,32.0,117.0,13.0,51.0,27.0,23.0,28.0,76.0,33.0,150.0,216.0,171.0,18.0,5544.0
3950,13.0,2.0,12.0,1.0,0.0,9.0,4.0,26.0,5.0,24.0,3.0,25.0,8.0,6.0,17.0,14.0,48.0,11.0,23.0,21.0,41.0,39.0,40.0,27.0,10.0,30.0,152.0,36.0,76.0,45.0
3999,0.0,11.0,5.0,16.0,17.0,67.0,7.0,3.0,8.0,1.0,9.0,23.0,10.0,79.0,26.0,6.0,19.0,4.0,18.0,15.0,77.0,53.0,76.0,27.0,12.0,41.0,2.0,45.0,30.0,34.0
4048,18.0,3.0,6.0,16.0,15.0,7.0,2.0,39.0,8.0,26.0,0.0,84.0,5.0,62.0,9.0,35.0,13.0,11.0,17.0,29.0,51.0,64.0,52.0,77.0,1.0,27.0,4.0,193.0,97.0,48.0
4097,2.0,0.0,7.0,9.0,10.0,14.0,17.0,110.0,25.0,27.0,3.0,86.0,22.0,18.0,21.0,4.0,5.0,19.0,11.0,23.0,28.0,26.0,29.0,35.0,6.0,79.0,36.0,192.0,78.0,1.0
4146,6.0,3.0,14.0,1.0,0.0,18.0,27.0,17.0,9.0,8.0,10.0,716.0,25.0,22.0,28.0,36.0,11.0,15.0,13.0,55.0,50.0,38.0,49.0,31.0,23.0,20.0,32.0,2179.0,33.0,12.0
4195,30.0,7.0,10.0,5.0,4.0,2.0,0.0,26.0,6.0,13.0,3.0,257.0,1.0,17.0,59.0,19.0,11.0,12.0,27.0,47.0,35.0,32.0,34.0,56.0,8.0,33.0,14.0,681.0,52.0,31.0
4244,8.0,0.0,6.0,3.0,2.0,9.0,50.0,10.0,7.0,4.0,1.0,81.0,55.0,51.0,15.0,34.0,16.0,19.0,13.0,30.0,47.0,53.0,48.0,31.0,5.0,20.0,126.0,147.0,37.0,33.0
4293,7.0,6.0,0.0,5.0,4.0,16.0,3.0,40.0,2.0,20.0,1.0,37.0,9.0,64.0,27.0,23.0,14.0,15.0,18.0,30.0,45.0,32.0,44.0,51.0,8.0,25.0,102.0,65.0,13.0,10.0
4342,7.0,3.0,13.0,10.0,9.0,16.0,12.0,50.0,0.0,26.0,2.0,44.0,18.0,8.0,37.0,6.0,4.0,1.0,5.0,167.0,52.0,17.0,53.0,32.0,11.0,21.0,47.0,101.0,14.0,15.0
4391,18.0,8.0,12.0,3.0,2.0,9.0,15.0,5.0,10.0,1.0,0.0,225.0,19.0,60.0,14.0,11.0,31.0,16.0,46.0,22.0,71.0,23.0,70.0,30.0,7.0,38.0,4.0,302.0,73.0,13.0
4440,0.0,15.0,1.0,48.0,49.0,6.0,10.0,27.0,26.0,24.0,62.0,52.0,14.0,34.0,33.0,7.0,13.0,8.0,47.0,11.0,4.0,81.0,5.0,54.0,151.0,18.0,17.0,121.0,32.0,70.0
4489,0.0,15.0,16.0,9.0,8.0,40.0,11.0,3.0,455.0,1.0,17.0,26.0,36.0,35.0,89.0,5.0,29.0,4.0,25.0,2.0,6.0,51.0,7.0,110.0,24.0,161.0,12.0,54.0,332.0,41.0
4538,0.0,20.0,6.0,54.0,53.0,1.0,30.0,7.0,27.0,5.0,57.0,55.0,49.0,22.0,9.0,32.0,10.0,2.0,18.0,29.0,17.0,218.0,16.0,28.0,139.0,60.0,58.0,85.0,79.0,12.0
4587,0.0,33.0,2.0,36.0,35.0,9.0,51.0,16.0,651.0,10.0,133.0,58.0,131.0,108.0,181.0,39.0,5.0,1.0,6.0,77.0,4.0,34.0,3.0,31.0,457.0,27.0,305.0,103.0,83.0,14.0
4636,11.0,10.0,16.0,3.0,4.0,26.0,22.0,12.0,1491.0,61.0,83.0,120.0,49.0,20.0,6.0,39.0,40.0,0.0,19.0,25.0,8.0,72.0,9.0,35.0,261.0,17.0,384.0,340.0,146.0,2.0
4685,6.0,7.0,0.0,11.0,10.0,20.0,86.0,132.0,21.0,48.0,697.0,71.0,385.0,233.0,63.0,1.0,22.0,3.0,4.0,19.0,30.0,99.0,29.0,39.0,5211.0,38.0,53.0,160.0,699.0,5.0
4734,0.0,9.0,48.0,24.0,25.0,32.0,11.0,14.0,460.0,15.0,50.0,214.0,36.0,55.0,82.0,33.0,16.0,8.0,61.0,20.0,4.0,43.0,3.0,18.0,129.0,103.0,385.0,532.0,220.0,10.0
4783,22.0,23.0,4.0,6.0,7.0,11.0,55.0,88.0,48.0,65.0,44.0,411.0,143.0,24.0,26.0,17.0,25.0,1.0,9.0,107.0,3.0,79.0,2.0,27.0,101.0,32.0,70.0,410.0,72.0,21.0
4832,2.0,7.0,0.0,35.0,34.0,22.0,43.0,14.0,11.0,17.0,110.0,98.0,107.0,33.0,20.0,10.0,111.0,1.0,6.0,5.0,16.0,51.0,15.0,26.0,343.0,135.0,84.0,214.0,40.0,13.0
4881,0.0,10.0,9.0,56.0,57.0,21.0,35.0,20.0,75.0,16.0,12.0,43.0,109.0,45.0,27.0,34.0,4.0,2.0,259.0,13.0,5.0,53.0,6.0,29.0,23.0,19.0,54.0,82.0,120.0,37.0
