,alpha-glycerophosphate,C22:6 LPC,1-methylnicotinamide,C16:0 LPE,GABA,pantothenate,inositol,serotonin,putrescine,cytidine,cystathionine,C20:4 CE,3-phosphoglycerate,dCMP,malondialdehyde,oxalate,uracil,2-deoxyadenosine,DHAP/glyceraldehyde 3P,C34:2 DAG,C34:4 PC,uridine,UMP,pyroglutamic acid,C36:1 DAG,PEP,sarcosine,hypoxanthine,creatine,isocitrate
2863,0.0,14.0,27.0,2.0,39.0,5.0,16.0,10.0,48.0,38.0,51.0,1.0,3.0,25.0,9.0,6.0,23.0,11.0,50.0,34.0,49.0,35.0,20.0,13.0,12.0,4.0,40.0,29.0,46.0,18.0
2912,0.0,5.0,8.0,4.0,32.0,2.0,25.0,15.0,36.0,1.0,39.0,11.0,3.0,16.0,23.0,10.0,17.0,6.0,19.0,38.0,41.0,28.0,9.0,26.0,37.0,14.0,27.0,44.0,51.0,22.0
2961,1.0,2.0,0.0,6.0,12.0,3.0,7.0,4.0,13.0,10.0,24.0,59.0,43.0,8.0,11.0,63.0,16.0,9.0,26.0,30.0,18.0,14.0,19.0,48.0,17.0,49.0,15.0,39.0,21.0,40.0
3010,0.0,1.0,2.0,13.0,26.0,49.0,29.0,15.0,32.0,33.0,3.0,21.0,17.0,6.0,4.0,63.0,5.0,37.0,35.0,59.0,36.0,42.0,12.0,14.0,38.0,53.0,39.0,18.0,7.0,19.0
3059,0.0,2.0,1.0,4.0,5.0,7.0,22.0,33.0,40.0,35.0,19.0,59.0,20.0,63.0,15.0,54.0,25.0,41.0,21.0,53.0,16.0,8.0,6.0,24.0,14.0,42.0,11.0,9.0,3.0,36.0
3108,0.0,1.0,2.0,3.0,16.0,13.0,15.0,37.0,33.0,46.0,12.0,25.0,14.0,31.0,4.0,55.0,19.0,22.0,36.0,7.0,38.0,26.0,6.0,39.0,32.0,43.0,9.0,24.0,8.0,34.0
3157,0.0,1.0,3.0,2.0,4.0,40.0,26.0,6.0,10.0,9.0,63.0,17.0,66.0,33.0,7.0,51.0,13.0,14.0,53.0,29.0,25.0,56.0,27.0,30.0,20.0,28.0,36.0,5.0,15.0,39.0
3206,1.0,0.0,2.0,4.0,16.0,26.0,38.0,17.0,3.0,49.0,21.0,25.0,47.0,30.0,5.0,59.0,57.0,39.0,44.0,18.0,54.0,11.0,20.0,51.0,19.0,43.0,36.0,32.0,10.0,37.0
3255,0.0,1.0,3.0,7.0,53.0,39.0,54.0,4.0,10.0,31.0,11.0,5.0,8.0,12.0,16.0,42.0,9.0,15.0,64.0,20.0,2.0,22.0,18.0,17.0,34.0,28.0,13.0,6.0,46.0,61.0
3304,2.0,0.0,1.0,15.0,3.0,26.0,24.0,22.0,4.0,54.0,9.0,7.0,18.0,8.0,13.0,64.0,42.0,36.0,16.0,19.0,23.0,20.0,35.0,34.0,10.0,27.0,29.0,11.0,17.0,50.0
3353,2.0,0.0,1.0,16.0,5.0,49.0,10.0,44.0,3.0,27.0,43.0,14.0,47.0,56.0,8.0,51.0,34.0,15.0,20.0,22.0,28.0,24.0,12.0,25.0,11.0,54.0,35.0,19.0,4.0,7.0
3402,2.0,0.0,1.0,7.0,3.0,6.0,4.0,8.0,43.0,30.0,42.0,9.0,53.0,26.0,33.0,40.0,23.0,14.0,16.0,25.0,18.0,39.0,5.0,28.0,49.0,62.0,41.0,19.0,37.0,22.0
3451,0.0,3.0,11.0,1.0,20.0,22.0,13.0,28.0,8.0,31.0,17.0,15.0,27.0,21.0,2.0,14.0,33.0,39.0,25.0,10.0,9.0,4.0,36.0,19.0,66.0,12.0,34.0,5.0,7.0,63.0
3500,0.0,10.0,14.0,6.0,25.0,26.0,4.0,3.0,7.0,9.0,60.0,8.0,29.0,2.0,56.0,12.0,36.0,43.0,16.0,32.0,5.0,19.0,44.0,1.0,41.0,28.0,52.0,17.0,38.0,24.0
3549,0.0,22.0,11.0,1.0,6.0,28.0,3.0,2.0,15.0,27.0,10.0,51.0,5.0,52.0,37.0,13.0,8.0,35.0,32.0,58.0,20.0,7.0,23.0,16.0,14.0,49.0,59.0,30.0,42.0,60.0
3598,2.0,4.0,0.0,6.0,15.0,16.0,14.0,12.0,10.0,20.0,40.0,29.0,9.0,3.0,5.0,1.0,31.0,13.0,21.0,57.0,42.0,7.0,19.0,32.0,8.0,18.0,39.0,48.0,47.0,44.0
3647,2.0,3.0,35.0,0.0,43.0,4.0,13.0,16.0,31.0,26.0,65.0,18.0,11.0,22.0,5.0,10.0,38.0,6.0,7.0,19.0,24.0,21.0,47.0,30.0,1.0,46.0,17.0,15.0,12.0,48.0
3696,0.0,3.0,4.0,1.0,42.0,15.0,21.0,7.0,26.0,22.0,34.0,11.0,62.0,10.0,9.0,2.0,8.0,53.0,19.0,29.0,28.0,6.0,14.0,63.0,5.0,38.0,46.0,55.0,37.0,60.0
3745,0.0,1.0,2.0,56.0,39.0,8.0,6.0,10.0,4.0,28.0,23.0,12.0,11.0,24.0,15.0,17.0,34.0,19.0,9.0,44.0,33.0,25.0,7.0,37.0,60.0,3.0,38.0,30.0,35.0,21.0
3794,0.0,2.0,22.0,3.0,46.0,5.0,10.0,19.0,7.0,24.0,61.0,32.0,4.0,8.0,6.0,12.0,29.0,40.0,13.0,28.0,21.0,27.0,17.0,39.0,11.0,36.0,38.0,15.0,9.0,31.0
3843,1.0,0.0,3.0,2.0,4.0,31.0,54.0,32.0,7.0,15.0,66.0,25.0,8.0,18.0,9.0,10.0,12.0,37.0,11.0,40.0,44.0,6.0,14.0,24.0,36.0,17.0,28.0,35.0,5.0,19.0
3892,1.0,0.0,16.0,48.0,2.0,47.0,10.0,11.0,5.0,34.0,37.0,21.0,17.0,30.0,15.0,41.0,35.0,57.0,28.0,14.0,19.0,29.0,43.0,25.0,33.0,53.0,46.0,23.0,3.0,13.0
3941,8.0,0.0,1.0,2.0,6.0,7.0,9.0,23.0,22.0,17.0,42.0,5.0,36.0,10.0,33.0,4.0,24.0,28.0,26.0,12.0,3.0,21.0,51.0,11.0,29.0,32.0,13.0,27.0,18.0,40.0
3990,3.0,0.0,1.0,27.0,5.0,29.0,18.0,21.0,7.0,13.0,12.0,15.0,11.0,8.0,22.0,2.0,30.0,39.0,20.0,41.0,14.0,23.0,48.0,40.0,25.0,17.0,4.0,45.0,16.0,28.0
4039,2.0,0.0,1.0,39.0,13.0,24.0,19.0,7.0,3.0,5.0,14.0,11.0,12.0,20.0,21.0,4.0,29.0,64.0,50.0,35.0,6.0,8.0,36.0,16.0,37.0,45.0,43.0,9.0,48.0,34.0
4088,3.0,2.0,1.0,39.0,4.0,25.0,15.0,19.0,6.0,13.0,35.0,16.0,18.0,52.0,11.0,0.0,49.0,10.0,20.0,14.0,26.0,59.0,38.0,8.0,21.0,50.0,5.0,12.0,17.0,42.0
4137,2.0,0.0,1.0,17.0,4.0,6.0,14.0,8.0,21.0,11.0,10.0,48.0,9.0,13.0,5.0,3.0,7.0,18.0,54.0,46.0,15.0,51.0,32.0,16.0,47.0,23.0,56.0,12.0,28.0,57.0
4186,1.0,0.0,2.0,57.0,5.0,26.0,34.0,23.0,11.0,7.0,43.0,18.0,21.0,25.0,4.0,8.0,30.0,12.0,24.0,17.0,3.0,14.0,37.0,10.0,19.0,56.0,31.0,13.0,65.0,9.0
4235,0.0,5.0,1.0,14.0,2.0,17.0,11.0,7.0,12.0,10.0,37.0,52.0,31.0,15.0,4.0,6.0,3.0,21.0,38.0,28.0,27.0,41.0,34.0,8.0,64.0,23.0,25.0,9.0,18.0,57.0
4284,0.0,1.0,3.0,20.0,4.0,36.0,26.0,10.0,6.0,7.0,17.0,58.0,23.0,11.0,2.0,14.0,15.0,5.0,44.0,52.0,12.0,27.0,8.0,24.0,21.0,47.0,9.0,18.0,13.0,33.0
4333,3.0,1.0,0.0,4.0,2.0,23.0,5.0,11.0,6.0,9.0,19.0,35.0,14.0,8.0,20.0,12.0,29.0,22.0,51.0,26.0,44.0,17.0,13.0,7.0,61.0,49.0,31.0,16.0,38.0,25.0
4382,12.0,4.0,2.0,1.0,0.0,40.0,8.0,11.0,3.0,30.0,5.0,37.0,9.0,22.0,7.0,35.0,23.0,34.0,13.0,18.0,6.0,16.0,19.0,10.0,54.0,66.0,33.0,20.0,39.0,36.0
4431,0.0,1.0,3.0,4.0,29.0,31.0,2.0,7.0,27.0,13.0,5.0,12.0,32.0,28.0,10.0,20.0,9.0,6.0,52.0,8.0,55.0,37.0,35.0,19.0,17.0,11.0,43.0,36.0,51.0,14.0
4480,0.0,1.0,9.0,5.0,3.0,2.0,4.0,18.0,22.0,7.0,24.0,23.0,51.0,34.0,17.0,20.0,26.0,8.0,32.0,6.0,47.0,29.0,60.0,48.0,28.0,12.0,13.0,40.0,30.0,15.0
4529,0.0,7.0,1.0,11.0,9.0,13.0,18.0,26.0,17.0,4.0,36.0,40.0,29.0,14.0,3.0,6.0,31.0,15.0,30.0,45.0,38.0,10.0,44.0,24.0,2.0,19.0,5.0,27.0,21.0,25.0
4578,0.0,4.0,5.0,2.0,22.0,10.0,17.0,20.0,1.0,25.0,7.0,26.0,33.0,8.0,23.0,46.0,21.0,27.0,34.0,3.0,53.0,15.0,54.0,13.0,31.0,57.0,14.0,6.0,28.0,30.0
4627,0.0,2.0,16.0,5.0,4.0,10.0,3.0,30.0,25.0,6.0,11.0,39.0,66.0,19.0,8.0,7.0,38.0,31.0,23.0,40.0,26.0,12.0,36.0,29.0,9.0,21.0,1.0,22.0,44.0,14.0
4676,1.0,0.0,7.0,6.0,4.0,12.0,21.0,27.0,2.0,14.0,13.0,33.0,47.0,44.0,42.0,25.0,9.0,20.0,3.0,26.0,28.0,35.0,24.0,11.0,17.0,38.0,18.0,8.0,46.0,29.0
4725,0.0,1.0,8.0,4.0,5.0,3.0,2.0,25.0,6.0,17.0,9.0,32.0,35.0,43.0,21.0,12.0,10.0,40.0,19.0,11.0,53.0,45.0,23.0,54.0,28.0,26.0,18.0,27.0,38.0,22.0
4774,0.0,2.0,4.0,8.0,25.0,13.0,15.0,46.0,7.0,22.0,19.0,48.0,17.0,11.0,47.0,9.0,21.0,16.0,1.0,5.0,38.0,23.0,34.0,18.0,20.0,14.0,51.0,3.0,55.0,6.0
4823,1.0,0.0,5.0,13.0,32.0,3.0,21.0,28.0,9.0,31.0,12.0,16.0,61.0,26.0,4.0,7.0,11.0,52.0,20.0,2.0,25.0,50.0,37.0,42.0,17.0,34.0,27.0,6.0,30.0,10.0
4872,1.0,0.0,4.0,8.0,28.0,18.0,9.0,24.0,14.0,23.0,7.0,43.0,13.0,6.0,26.0,3.0,2.0,10.0,11.0,17.0,44.0,12.0,20.0,27.0,15.0,38.0,51.0,5.0,45.0,22.0
