,LUNG,HAEMATOPOIETIC,NERVOUS,LARGE_INTESTINE,SKIN,PANCREAS,OESOPHAGUS,LIVER,BONE,OVARY,GANGLIA,PLEURA,ENDOMETRIUM,BREAST,STOMACH,URINARY,AERODIGESTIVE,PROSTATE,SOFT_TISSUE,THYROID,KIDNEY,SALIVARY,BILIARY
1322,7.0,12.0,8.0,4.0,0.0,10.0,6.0,14.0,3.0,13.0,5.0,2.0,1.0,11.0,9.0,15.0,20.0,17.0,18.0,19.0,16.0,21.0,22.0
1371,17.0,1.0,8.0,0.0,2.0,6.0,15.0,13.0,14.0,7.0,11.0,4.0,3.0,5.0,10.0,9.0,12.0,16.0,18.0,19.0,20.0,21.0,22.0
1420,16.0,0.0,6.0,12.0,5.0,1.0,4.0,13.0,14.0,8.0,3.0,2.0,15.0,10.0,7.0,11.0,20.0,17.0,18.0,19.0,9.0,21.0,22.0
1469,1.0,5.0,3.0,8.0,7.0,11.0,13.0,0.0,9.0,4.0,6.0,10.0,15.0,20.0,2.0,12.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
1518,0.0,7.0,9.0,4.0,6.0,15.0,12.0,3.0,2.0,8.0,16.0,14.0,1.0,5.0,11.0,10.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
1567,2.0,20.0,0.0,6.0,12.0,7.0,4.0,14.0,15.0,1.0,5.0,8.0,9.0,10.0,11.0,3.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
1616,17.0,6.0,0.0,1.0,12.0,2.0,14.0,10.0,11.0,5.0,13.0,8.0,7.0,9.0,3.0,4.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1665,0.0,7.0,9.0,3.0,16.0,6.0,11.0,13.0,2.0,8.0,5.0,15.0,1.0,4.0,10.0,14.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
1714,1.0,7.0,0.0,5.0,6.0,11.0,10.0,4.0,14.0,8.0,16.0,3.0,2.0,12.0,15.0,9.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
1763,6.0,7.0,8.0,4.0,16.0,0.0,10.0,3.0,2.0,12.0,5.0,15.0,1.0,11.0,9.0,14.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
1812,2.0,9.0,1.0,0.0,16.0,6.0,5.0,13.0,3.0,7.0,10.0,14.0,15.0,4.0,8.0,11.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
1861,1.0,0.0,9.0,12.0,8.0,2.0,10.0,13.0,6.0,3.0,5.0,7.0,14.0,11.0,4.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1910,2.0,7.0,0.0,11.0,6.0,1.0,5.0,3.0,12.0,9.0,4.0,13.0,14.0,15.0,8.0,10.0,17.0,18.0,19.0,20.0,16.0,21.0,22.0
1959,5.0,10.0,7.0,2.0,16.0,0.0,11.0,1.0,13.0,6.0,4.0,14.0,15.0,3.0,9.0,8.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
2008,17.0,7.0,9.0,13.0,1.0,11.0,5.0,4.0,3.0,8.0,12.0,2.0,15.0,0.0,10.0,14.0,6.0,18.0,20.0,19.0,16.0,21.0,22.0
2057,17.0,8.0,1.0,2.0,0.0,7.0,11.0,5.0,4.0,9.0,10.0,14.0,3.0,6.0,15.0,13.0,12.0,16.0,20.0,18.0,19.0,21.0,22.0
2106,19.0,1.0,4.0,2.0,12.0,0.0,11.0,10.0,8.0,15.0,9.0,7.0,6.0,5.0,3.0,16.0,17.0,18.0,20.0,13.0,14.0,21.0,22.0
2155,0.0,1.0,3.0,5.0,14.0,15.0,4.0,7.0,8.0,19.0,13.0,9.0,10.0,11.0,12.0,2.0,6.0,16.0,20.0,17.0,18.0,21.0,22.0
2204,1.0,4.0,2.0,8.0,7.0,0.0,5.0,9.0,10.0,3.0,6.0,11.0,12.0,19.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,20.0,22.0
2253,1.0,0.0,4.0,5.0,6.0,7.0,3.0,8.0,9.0,19.0,11.0,17.0,10.0,13.0,2.0,16.0,12.0,14.0,21.0,18.0,15.0,20.0,22.0
2302,2.0,1.0,5.0,16.0,6.0,12.0,14.0,15.0,10.0,0.0,8.0,11.0,9.0,13.0,3.0,4.0,7.0,19.0,20.0,17.0,18.0,21.0,22.0
2351,7.0,12.0,8.0,5.0,10.0,0.0,9.0,4.0,14.0,13.0,6.0,3.0,2.0,1.0,16.0,15.0,19.0,17.0,21.0,18.0,11.0,20.0,22.0
2400,10.0,1.0,0.0,9.0,12.0,16.0,6.0,2.0,11.0,5.0,7.0,8.0,4.0,13.0,3.0,14.0,15.0,17.0,20.0,18.0,19.0,21.0,22.0
2449,16.0,0.0,9.0,13.0,1.0,7.0,11.0,4.0,14.0,8.0,6.0,3.0,2.0,12.0,15.0,10.0,5.0,17.0,20.0,18.0,19.0,21.0,22.0
2498,2.0,0.0,5.0,8.0,9.0,1.0,3.0,13.0,14.0,6.0,7.0,20.0,11.0,10.0,19.0,4.0,12.0,15.0,16.0,17.0,18.0,21.0,22.0
2547,3.0,0.0,11.0,6.0,1.0,2.0,4.0,8.0,9.0,19.0,12.0,14.0,10.0,7.0,20.0,5.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
2596,0.0,4.0,3.0,9.0,6.0,5.0,8.0,19.0,18.0,15.0,2.0,11.0,1.0,7.0,17.0,16.0,10.0,12.0,13.0,20.0,14.0,21.0,22.0
2645,0.0,2.0,1.0,6.0,12.0,7.0,3.0,8.0,9.0,11.0,5.0,14.0,20.0,10.0,19.0,4.0,13.0,15.0,16.0,17.0,18.0,21.0,22.0
2694,13.0,0.0,4.0,1.0,6.0,7.0,2.0,17.0,16.0,5.0,3.0,9.0,8.0,12.0,20.0,15.0,11.0,10.0,18.0,19.0,14.0,21.0,22.0
2743,3.0,1.0,0.0,8.0,13.0,5.0,7.0,18.0,10.0,16.0,4.0,6.0,19.0,2.0,17.0,20.0,9.0,11.0,12.0,14.0,15.0,21.0,22.0
2792,0.0,1.0,17.0,3.0,15.0,5.0,8.0,6.0,7.0,4.0,2.0,12.0,11.0,10.0,20.0,18.0,9.0,13.0,14.0,16.0,19.0,21.0,22.0
2841,2.0,1.0,0.0,6.0,12.0,14.0,3.0,7.0,8.0,4.0,5.0,9.0,15.0,10.0,20.0,11.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
2890,0.0,1.0,4.0,15.0,7.0,2.0,3.0,13.0,14.0,5.0,6.0,8.0,9.0,10.0,20.0,11.0,12.0,16.0,17.0,18.0,19.0,21.0,22.0
2939,19.0,7.0,9.0,6.0,12.0,1.0,0.0,4.0,14.0,8.0,13.0,3.0,15.0,2.0,16.0,10.0,5.0,18.0,20.0,11.0,17.0,21.0,22.0
2988,0.0,4.0,3.0,1.0,13.0,8.0,5.0,7.0,20.0,12.0,6.0,9.0,10.0,15.0,2.0,11.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3037,0.0,10.0,1.0,11.0,6.0,16.0,9.0,3.0,2.0,7.0,5.0,14.0,15.0,4.0,8.0,13.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
3086,12.0,3.0,0.0,7.0,6.0,10.0,4.0,8.0,9.0,2.0,5.0,15.0,20.0,11.0,1.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3135,1.0,12.0,4.0,9.0,11.0,16.0,6.0,10.0,5.0,0.0,7.0,3.0,2.0,8.0,14.0,13.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3184,0.0,9.0,7.0,2.0,6.0,10.0,5.0,13.0,1.0,11.0,4.0,15.0,16.0,3.0,14.0,8.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
3233,1.0,9.0,0.0,6.0,8.0,11.0,12.0,5.0,4.0,14.0,7.0,19.0,2.0,10.0,16.0,15.0,3.0,17.0,18.0,21.0,13.0,20.0,22.0
3282,0.0,10.0,7.0,1.0,15.0,6.0,5.0,12.0,2.0,11.0,16.0,13.0,14.0,4.0,9.0,8.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
3331,10.0,13.0,1.0,2.0,16.0,0.0,11.0,9.0,7.0,5.0,15.0,6.0,3.0,20.0,14.0,4.0,8.0,17.0,18.0,19.0,12.0,21.0,22.0
3380,0.0,2.0,1.0,4.0,16.0,6.0,9.0,3.0,12.0,10.0,11.0,13.0,20.0,5.0,8.0,7.0,14.0,17.0,18.0,19.0,15.0,21.0,22.0
3429,1.0,9.0,0.0,6.0,7.0,16.0,8.0,5.0,4.0,10.0,15.0,3.0,2.0,11.0,14.0,13.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
3478,10.0,14.0,0.0,16.0,19.0,12.0,6.0,8.0,7.0,1.0,2.0,5.0,4.0,9.0,3.0,15.0,17.0,18.0,11.0,20.0,13.0,21.0,22.0
3527,15.0,1.0,9.0,5.0,2.0,7.0,11.0,12.0,4.0,8.0,10.0,13.0,3.0,6.0,0.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3576,0.0,4.0,1.0,8.0,12.0,15.0,13.0,10.0,9.0,14.0,6.0,5.0,11.0,7.0,2.0,3.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3625,17.0,0.0,13.0,8.0,10.0,3.0,11.0,7.0,6.0,12.0,15.0,5.0,4.0,2.0,14.0,1.0,9.0,16.0,18.0,19.0,20.0,21.0,22.0
3674,0.0,9.0,7.0,1.0,5.0,10.0,4.0,3.0,14.0,6.0,16.0,2.0,20.0,12.0,8.0,13.0,15.0,17.0,18.0,19.0,11.0,21.0,22.0
3723,12.0,13.0,1.0,8.0,7.0,0.0,9.0,10.0,16.0,3.0,2.0,6.0,5.0,4.0,15.0,14.0,11.0,20.0,19.0,17.0,18.0,21.0,22.0
3772,15.0,1.0,12.0,5.0,7.0,0.0,8.0,4.0,3.0,11.0,10.0,13.0,2.0,6.0,14.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3821,1.0,8.0,0.0,12.0,7.0,16.0,10.0,5.0,4.0,9.0,6.0,3.0,2.0,11.0,15.0,14.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
3870,2.0,10.0,0.0,5.0,16.0,7.0,9.0,4.0,13.0,11.0,6.0,3.0,15.0,1.0,14.0,8.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
3919,2.0,1.0,8.0,0.0,16.0,7.0,13.0,5.0,4.0,11.0,6.0,3.0,14.0,10.0,9.0,20.0,12.0,17.0,18.0,19.0,15.0,21.0,22.0
3968,1.0,5.0,4.0,8.0,7.0,13.0,6.0,10.0,11.0,0.0,15.0,20.0,12.0,14.0,2.0,3.0,9.0,16.0,17.0,18.0,19.0,21.0,22.0
4017,0.0,7.0,12.0,5.0,15.0,6.0,9.0,4.0,3.0,2.0,16.0,13.0,14.0,10.0,8.0,1.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
4066,1.0,10.0,7.0,5.0,6.0,11.0,0.0,4.0,3.0,13.0,16.0,2.0,15.0,12.0,9.0,8.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
4115,17.0,11.0,8.0,4.0,7.0,0.0,6.0,14.0,3.0,13.0,12.0,20.0,1.0,5.0,10.0,9.0,2.0,16.0,18.0,19.0,15.0,21.0,22.0
4164,0.0,1.0,7.0,4.0,6.0,10.0,9.0,13.0,3.0,11.0,16.0,14.0,2.0,5.0,15.0,8.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
4213,0.0,11.0,1.0,6.0,15.0,7.0,10.0,5.0,4.0,8.0,16.0,14.0,3.0,2.0,9.0,13.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
4262,15.0,10.0,1.0,4.0,6.0,0.0,5.0,3.0,13.0,7.0,16.0,14.0,2.0,11.0,9.0,8.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
4311,14.0,2.0,16.0,0.0,4.0,12.0,10.0,6.0,7.0,1.0,11.0,8.0,13.0,5.0,18.0,17.0,3.0,9.0,19.0,20.0,15.0,21.0,22.0
4360,1.0,0.0,10.0,13.0,7.0,15.0,8.0,5.0,4.0,9.0,16.0,3.0,2.0,12.0,14.0,11.0,6.0,17.0,18.0,19.0,20.0,21.0,22.0
4409,0.0,7.0,1.0,4.0,15.0,6.0,10.0,12.0,3.0,8.0,16.0,2.0,14.0,5.0,13.0,9.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
4458,16.0,2.0,7.0,11.0,6.0,0.0,1.0,13.0,5.0,8.0,9.0,4.0,3.0,10.0,15.0,14.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
4507,0.0,6.0,4.0,1.0,7.0,12.0,2.0,13.0,8.0,5.0,15.0,9.0,14.0,10.0,20.0,3.0,11.0,16.0,17.0,18.0,19.0,21.0,22.0
4556,0.0,2.0,1.0,5.0,13.0,6.0,3.0,7.0,8.0,4.0,14.0,9.0,10.0,11.0,20.0,12.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4605,18.0,14.0,0.0,8.0,17.0,6.0,5.0,9.0,16.0,3.0,7.0,11.0,4.0,10.0,15.0,2.0,1.0,12.0,19.0,20.0,13.0,21.0,22.0
4654,1.0,0.0,10.0,6.0,16.0,3.0,2.0,20.0,7.0,11.0,5.0,8.0,4.0,13.0,19.0,9.0,12.0,14.0,15.0,17.0,18.0,21.0,22.0
4703,1.0,0.0,3.0,6.0,7.0,14.0,2.0,8.0,9.0,4.0,5.0,15.0,10.0,11.0,20.0,12.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
4752,2.0,4.0,12.0,1.0,6.0,7.0,3.0,8.0,9.0,0.0,5.0,10.0,14.0,15.0,20.0,11.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
4801,12.0,6.0,0.0,8.0,16.0,2.0,4.0,9.0,11.0,5.0,7.0,10.0,3.0,1.0,14.0,20.0,15.0,17.0,18.0,19.0,13.0,21.0,22.0
4850,12.0,4.0,2.0,6.0,7.0,0.0,15.0,8.0,9.0,3.0,5.0,10.0,11.0,1.0,20.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4899,0.0,5.0,3.0,7.0,17.0,9.0,1.0,11.0,14.0,4.0,6.0,12.0,13.0,10.0,20.0,2.0,8.0,15.0,16.0,18.0,19.0,21.0,22.0
