,PAI-1,Caveolin-1,TAZ,VAV1,p62 Lck ligand,Paxillin,RAD51,EGFR,MAPK_pT202_Y204,Collagen_VI,Akt,NF2,GATA3,Rb,PEA15,VEGFR2,YAP_pS127,Rab25,4E-BP1_pS65,Rb_pS807_S811,Transglutaminase,NF-kB-p65_pS536,Annexin 1,G6PD,N-Cadherin,Bax,PTEN,Chk1_pS345,PDCD4,p27_pT157
490,0.0,11.0,7.0,5.0,2.0,6.0,57.0,1.0,91.0,13.0,30.0,14.0,18.0,16.0,88.0,29.0,10.0,17.0,12.0,67.0,3.0,41.0,60.0,106.0,8.0,25.0,48.0,68.0,27.0,9.0
539,0.0,13.0,3.0,26.0,12.0,11.0,42.0,25.0,141.0,1.0,16.0,97.0,34.0,56.0,15.0,58.0,4.0,18.0,8.0,99.0,32.0,46.0,35.0,95.0,157.0,5.0,9.0,54.0,2.0,10.0
588,0.0,5.0,3.0,1.0,2.0,4.0,9.0,13.0,21.0,6.0,37.0,10.0,20.0,112.0,42.0,81.0,7.0,51.0,8.0,29.0,26.0,65.0,16.0,46.0,15.0,49.0,62.0,59.0,64.0,27.0
637,0.0,8.0,11.0,3.0,9.0,17.0,40.0,15.0,19.0,2.0,78.0,5.0,10.0,84.0,24.0,89.0,7.0,22.0,4.0,23.0,20.0,41.0,57.0,118.0,1.0,36.0,87.0,39.0,54.0,14.0
686,0.0,13.0,4.0,2.0,1.0,69.0,15.0,52.0,57.0,27.0,24.0,9.0,32.0,45.0,14.0,41.0,6.0,31.0,5.0,10.0,102.0,8.0,42.0,71.0,3.0,17.0,11.0,39.0,76.0,22.0
735,0.0,12.0,1.0,2.0,6.0,50.0,13.0,7.0,43.0,21.0,26.0,8.0,3.0,53.0,19.0,17.0,5.0,22.0,15.0,27.0,10.0,38.0,32.0,11.0,49.0,57.0,25.0,52.0,14.0,40.0
784,1.0,8.0,0.0,24.0,15.0,21.0,13.0,5.0,11.0,22.0,28.0,3.0,14.0,141.0,47.0,114.0,33.0,6.0,36.0,26.0,79.0,41.0,37.0,48.0,4.0,89.0,9.0,129.0,35.0,43.0
833,0.0,14.0,3.0,1.0,27.0,31.0,17.0,93.0,11.0,7.0,85.0,33.0,4.0,16.0,5.0,57.0,60.0,26.0,21.0,115.0,40.0,23.0,110.0,54.0,12.0,52.0,18.0,100.0,41.0,59.0
882,1.0,4.0,0.0,22.0,18.0,61.0,37.0,14.0,23.0,3.0,26.0,12.0,5.0,80.0,16.0,85.0,24.0,10.0,6.0,115.0,7.0,43.0,52.0,76.0,11.0,151.0,38.0,17.0,50.0,108.0
931,0.0,1.0,8.0,13.0,3.0,126.0,78.0,14.0,46.0,2.0,34.0,7.0,4.0,15.0,93.0,119.0,31.0,17.0,22.0,42.0,89.0,100.0,115.0,45.0,38.0,129.0,6.0,87.0,12.0,49.0
980,0.0,2.0,9.0,27.0,30.0,16.0,6.0,26.0,74.0,10.0,1.0,17.0,5.0,112.0,13.0,43.0,24.0,97.0,3.0,42.0,12.0,62.0,48.0,20.0,31.0,8.0,4.0,59.0,7.0,18.0
1029,0.0,1.0,7.0,4.0,12.0,93.0,3.0,31.0,6.0,84.0,18.0,14.0,8.0,23.0,55.0,10.0,26.0,79.0,15.0,17.0,53.0,67.0,38.0,5.0,63.0,2.0,13.0,25.0,24.0,113.0
1078,5.0,14.0,20.0,42.0,27.0,1.0,0.0,21.0,15.0,18.0,12.0,11.0,54.0,32.0,75.0,3.0,8.0,30.0,33.0,37.0,23.0,22.0,85.0,122.0,47.0,9.0,6.0,7.0,73.0,147.0
1127,1.0,7.0,8.0,4.0,2.0,3.0,0.0,28.0,12.0,16.0,20.0,86.0,34.0,15.0,54.0,11.0,22.0,21.0,24.0,13.0,130.0,120.0,18.0,158.0,33.0,5.0,35.0,6.0,110.0,43.0
1176,0.0,7.0,17.0,3.0,13.0,19.0,2.0,8.0,16.0,26.0,9.0,23.0,40.0,43.0,6.0,20.0,28.0,22.0,11.0,30.0,140.0,57.0,76.0,31.0,4.0,27.0,48.0,12.0,36.0,41.0
1225,1.0,5.0,74.0,9.0,64.0,11.0,0.0,12.0,44.0,4.0,30.0,82.0,45.0,2.0,35.0,14.0,7.0,25.0,109.0,6.0,51.0,76.0,21.0,77.0,13.0,22.0,20.0,10.0,128.0,98.0
1274,1.0,0.0,65.0,11.0,15.0,9.0,2.0,7.0,32.0,8.0,59.0,3.0,24.0,22.0,6.0,79.0,18.0,36.0,31.0,5.0,37.0,127.0,38.0,85.0,4.0,34.0,41.0,19.0,20.0,16.0
1323,0.0,7.0,98.0,4.0,5.0,11.0,2.0,33.0,8.0,34.0,24.0,45.0,30.0,19.0,47.0,17.0,6.0,9.0,48.0,26.0,37.0,21.0,1.0,25.0,60.0,27.0,58.0,38.0,10.0,153.0
1372,0.0,3.0,53.0,10.0,48.0,4.0,1.0,16.0,15.0,24.0,17.0,21.0,2.0,93.0,60.0,9.0,28.0,36.0,34.0,14.0,37.0,112.0,12.0,38.0,31.0,7.0,55.0,11.0,18.0,103.0
1421,1.0,4.0,21.0,43.0,110.0,7.0,0.0,134.0,25.0,37.0,8.0,66.0,2.0,24.0,52.0,13.0,3.0,132.0,22.0,12.0,53.0,6.0,9.0,118.0,137.0,10.0,14.0,34.0,19.0,155.0
1470,0.0,1.0,4.0,27.0,91.0,9.0,5.0,21.0,8.0,6.0,59.0,20.0,14.0,28.0,141.0,19.0,67.0,94.0,58.0,120.0,2.0,42.0,3.0,15.0,55.0,17.0,18.0,7.0,57.0,162.0
1519,0.0,6.0,4.0,7.0,3.0,12.0,11.0,1.0,17.0,27.0,9.0,18.0,8.0,23.0,21.0,20.0,15.0,13.0,79.0,19.0,5.0,47.0,10.0,33.0,66.0,42.0,14.0,46.0,30.0,36.0
1568,0.0,1.0,2.0,10.0,20.0,19.0,3.0,8.0,15.0,129.0,30.0,11.0,29.0,35.0,69.0,33.0,4.0,38.0,145.0,18.0,5.0,51.0,7.0,6.0,42.0,9.0,34.0,77.0,28.0,44.0
1617,0.0,4.0,7.0,3.0,14.0,55.0,36.0,1.0,27.0,2.0,9.0,22.0,44.0,16.0,127.0,6.0,34.0,86.0,31.0,43.0,25.0,85.0,8.0,5.0,70.0,11.0,15.0,32.0,19.0,38.0
1666,0.0,2.0,6.0,3.0,24.0,43.0,25.0,1.0,18.0,12.0,9.0,20.0,8.0,11.0,84.0,5.0,17.0,29.0,33.0,22.0,15.0,115.0,7.0,13.0,27.0,4.0,58.0,31.0,76.0,82.0
1715,0.0,1.0,5.0,9.0,6.0,15.0,3.0,2.0,8.0,19.0,16.0,151.0,18.0,7.0,65.0,52.0,64.0,12.0,10.0,93.0,105.0,118.0,45.0,36.0,69.0,13.0,77.0,41.0,29.0,27.0
1764,0.0,5.0,3.0,10.0,7.0,14.0,46.0,2.0,39.0,1.0,34.0,129.0,57.0,4.0,28.0,31.0,38.0,51.0,22.0,40.0,12.0,160.0,27.0,9.0,16.0,6.0,20.0,11.0,117.0,30.0
1813,0.0,2.0,4.0,10.0,1.0,19.0,20.0,3.0,26.0,14.0,24.0,51.0,37.0,5.0,41.0,91.0,52.0,25.0,98.0,12.0,29.0,31.0,43.0,9.0,11.0,38.0,103.0,94.0,93.0,71.0
1862,1.0,0.0,2.0,81.0,4.0,5.0,14.0,11.0,3.0,7.0,6.0,15.0,24.0,13.0,8.0,98.0,90.0,9.0,42.0,86.0,10.0,27.0,107.0,20.0,43.0,25.0,46.0,34.0,18.0,71.0
1911,0.0,2.0,1.0,30.0,7.0,33.0,20.0,19.0,12.0,71.0,8.0,45.0,48.0,5.0,10.0,87.0,38.0,9.0,116.0,83.0,79.0,78.0,4.0,6.0,50.0,14.0,21.0,101.0,22.0,23.0
1960,1.0,19.0,106.0,12.0,17.0,10.0,8.0,24.0,7.0,3.0,6.0,59.0,15.0,79.0,9.0,22.0,105.0,132.0,14.0,73.0,81.0,48.0,20.0,11.0,111.0,65.0,58.0,2.0,68.0,30.0
2009,0.0,7.0,52.0,15.0,16.0,3.0,1.0,27.0,4.0,24.0,12.0,113.0,19.0,67.0,2.0,78.0,41.0,23.0,13.0,115.0,123.0,21.0,17.0,74.0,9.0,8.0,37.0,6.0,35.0,56.0
2058,3.0,25.0,68.0,2.0,6.0,49.0,17.0,34.0,0.0,21.0,58.0,153.0,10.0,16.0,7.0,26.0,88.0,74.0,35.0,19.0,37.0,40.0,71.0,52.0,30.0,32.0,44.0,12.0,78.0,22.0
2107,0.0,21.0,147.0,2.0,14.0,26.0,7.0,29.0,5.0,10.0,3.0,40.0,92.0,9.0,12.0,11.0,28.0,63.0,13.0,49.0,58.0,27.0,18.0,39.0,60.0,88.0,16.0,48.0,118.0,25.0
2156,0.0,37.0,12.0,1.0,30.0,18.0,4.0,67.0,2.0,11.0,19.0,87.0,7.0,13.0,59.0,29.0,21.0,120.0,3.0,83.0,41.0,52.0,10.0,40.0,81.0,25.0,8.0,27.0,38.0,22.0
2205,0.0,9.0,74.0,1.0,17.0,24.0,11.0,19.0,6.0,8.0,55.0,76.0,51.0,4.0,15.0,22.0,49.0,45.0,38.0,7.0,32.0,78.0,26.0,47.0,12.0,43.0,14.0,16.0,111.0,3.0
2254,1.0,16.0,14.0,8.0,24.0,68.0,11.0,10.0,15.0,9.0,95.0,79.0,78.0,3.0,7.0,2.0,13.0,55.0,19.0,46.0,77.0,59.0,0.0,18.0,38.0,84.0,22.0,4.0,20.0,29.0
2303,2.0,19.0,32.0,0.0,11.0,71.0,1.0,34.0,7.0,58.0,35.0,39.0,12.0,13.0,23.0,6.0,24.0,50.0,18.0,3.0,78.0,37.0,30.0,29.0,17.0,38.0,40.0,15.0,54.0,147.0
2352,0.0,39.0,7.0,2.0,50.0,32.0,3.0,19.0,12.0,1.0,21.0,6.0,11.0,13.0,25.0,44.0,47.0,45.0,36.0,10.0,27.0,89.0,14.0,15.0,28.0,51.0,31.0,5.0,23.0,30.0
2401,0.0,19.0,12.0,3.0,59.0,18.0,1.0,17.0,61.0,28.0,10.0,22.0,103.0,8.0,57.0,6.0,30.0,114.0,36.0,26.0,38.0,55.0,13.0,2.0,4.0,91.0,39.0,9.0,35.0,14.0
2450,19.0,3.0,7.0,32.0,2.0,5.0,10.0,59.0,0.0,24.0,6.0,11.0,8.0,76.0,4.0,44.0,36.0,12.0,39.0,157.0,15.0,1.0,14.0,75.0,77.0,13.0,29.0,117.0,31.0,55.0
2499,5.0,19.0,4.0,9.0,23.0,2.0,12.0,136.0,0.0,3.0,17.0,13.0,25.0,79.0,11.0,46.0,37.0,8.0,24.0,91.0,14.0,1.0,15.0,131.0,92.0,132.0,6.0,35.0,29.0,54.0
2548,0.0,5.0,3.0,101.0,1.0,4.0,8.0,31.0,2.0,23.0,9.0,11.0,6.0,49.0,36.0,25.0,39.0,7.0,27.0,38.0,20.0,17.0,16.0,62.0,72.0,10.0,43.0,15.0,44.0,21.0
2597,9.0,6.0,1.0,60.0,4.0,0.0,10.0,3.0,8.0,17.0,5.0,2.0,7.0,59.0,52.0,27.0,12.0,14.0,24.0,51.0,20.0,29.0,46.0,100.0,143.0,16.0,103.0,78.0,50.0,22.0
2646,0.0,1.0,5.0,54.0,3.0,17.0,12.0,6.0,22.0,4.0,2.0,18.0,59.0,11.0,14.0,9.0,15.0,13.0,16.0,43.0,7.0,10.0,49.0,93.0,31.0,20.0,65.0,27.0,55.0,60.0
2695,16.0,6.0,3.0,25.0,10.0,5.0,12.0,14.0,2.0,66.0,4.0,0.0,20.0,32.0,49.0,8.0,7.0,13.0,1.0,36.0,11.0,28.0,65.0,48.0,38.0,56.0,18.0,19.0,51.0,69.0
2744,4.0,15.0,21.0,110.0,0.0,6.0,7.0,12.0,10.0,91.0,2.0,18.0,16.0,17.0,24.0,5.0,8.0,1.0,83.0,73.0,22.0,3.0,19.0,14.0,46.0,39.0,128.0,145.0,97.0,113.0
2793,13.0,21.0,49.0,97.0,0.0,5.0,1.0,11.0,4.0,7.0,2.0,3.0,17.0,15.0,6.0,27.0,65.0,39.0,36.0,9.0,57.0,12.0,74.0,46.0,19.0,41.0,8.0,131.0,44.0,47.0
2842,27.0,5.0,7.0,46.0,0.0,6.0,9.0,15.0,2.0,51.0,8.0,53.0,4.0,21.0,33.0,25.0,109.0,19.0,3.0,30.0,10.0,1.0,79.0,14.0,96.0,23.0,122.0,41.0,22.0,31.0
2891,13.0,1.0,4.0,163.0,10.0,14.0,5.0,27.0,3.0,32.0,8.0,0.0,9.0,42.0,2.0,63.0,29.0,6.0,19.0,131.0,7.0,16.0,58.0,11.0,38.0,31.0,72.0,140.0,81.0,103.0
2940,0.0,2.0,8.0,13.0,47.0,6.0,36.0,4.0,99.0,1.0,14.0,29.0,3.0,23.0,24.0,25.0,7.0,28.0,12.0,15.0,69.0,43.0,84.0,49.0,16.0,114.0,57.0,60.0,67.0,44.0
2989,1.0,2.0,10.0,8.0,124.0,70.0,39.0,7.0,46.0,0.0,14.0,27.0,35.0,37.0,32.0,21.0,19.0,30.0,86.0,149.0,16.0,57.0,11.0,17.0,55.0,105.0,49.0,42.0,15.0,22.0
3038,0.0,1.0,6.0,4.0,23.0,5.0,33.0,2.0,52.0,3.0,19.0,7.0,22.0,40.0,39.0,47.0,16.0,35.0,87.0,21.0,10.0,117.0,44.0,18.0,24.0,8.0,15.0,37.0,12.0,38.0
3087,1.0,3.0,6.0,20.0,7.0,78.0,22.0,2.0,40.0,0.0,8.0,28.0,51.0,14.0,31.0,37.0,34.0,13.0,27.0,24.0,36.0,93.0,29.0,58.0,17.0,108.0,41.0,32.0,77.0,35.0
3136,2.0,1.0,7.0,9.0,4.0,28.0,38.0,0.0,16.0,3.0,47.0,39.0,157.0,14.0,31.0,11.0,33.0,66.0,48.0,34.0,46.0,63.0,6.0,119.0,18.0,10.0,45.0,17.0,95.0,55.0
3185,0.0,1.0,4.0,9.0,5.0,22.0,14.0,3.0,148.0,10.0,19.0,35.0,26.0,34.0,44.0,55.0,30.0,110.0,36.0,86.0,16.0,69.0,46.0,43.0,68.0,17.0,24.0,38.0,52.0,2.0
3234,0.0,6.0,17.0,7.0,76.0,10.0,3.0,5.0,28.0,1.0,74.0,8.0,22.0,26.0,53.0,2.0,30.0,4.0,9.0,46.0,36.0,75.0,115.0,19.0,54.0,24.0,41.0,11.0,85.0,15.0
3283,0.0,2.0,19.0,1.0,3.0,6.0,77.0,5.0,17.0,4.0,22.0,58.0,7.0,47.0,59.0,50.0,9.0,14.0,10.0,103.0,15.0,49.0,128.0,114.0,100.0,28.0,31.0,11.0,24.0,53.0
3332,0.0,4.0,2.0,36.0,7.0,9.0,50.0,1.0,26.0,6.0,40.0,29.0,72.0,11.0,15.0,5.0,13.0,53.0,27.0,17.0,16.0,10.0,78.0,49.0,14.0,25.0,69.0,23.0,110.0,12.0
3381,1.0,0.0,5.0,31.0,4.0,3.0,11.0,2.0,33.0,8.0,32.0,20.0,21.0,17.0,28.0,26.0,42.0,15.0,57.0,25.0,18.0,9.0,95.0,80.0,46.0,38.0,16.0,22.0,59.0,43.0
3430,2.0,0.0,1.0,26.0,8.0,16.0,39.0,11.0,7.0,133.0,10.0,51.0,29.0,18.0,34.0,19.0,35.0,13.0,4.0,5.0,91.0,3.0,12.0,15.0,17.0,62.0,43.0,37.0,30.0,22.0
3479,5.0,1.0,8.0,83.0,7.0,9.0,15.0,3.0,12.0,24.0,14.0,17.0,31.0,44.0,11.0,0.0,20.0,71.0,19.0,46.0,18.0,2.0,25.0,51.0,85.0,91.0,84.0,134.0,123.0,33.0
3528,1.0,0.0,2.0,9.0,3.0,8.0,10.0,4.0,6.0,87.0,47.0,27.0,31.0,14.0,18.0,11.0,16.0,21.0,19.0,25.0,39.0,13.0,12.0,5.0,20.0,142.0,93.0,112.0,37.0,40.0
3577,0.0,1.0,5.0,6.0,2.0,10.0,35.0,4.0,11.0,127.0,24.0,7.0,52.0,34.0,42.0,30.0,31.0,8.0,49.0,22.0,75.0,36.0,21.0,19.0,28.0,29.0,57.0,67.0,25.0,41.0
3626,11.0,1.0,17.0,4.0,0.0,16.0,27.0,5.0,19.0,29.0,78.0,9.0,47.0,34.0,81.0,20.0,26.0,3.0,41.0,43.0,13.0,10.0,8.0,12.0,15.0,68.0,69.0,72.0,31.0,54.0
3675,0.0,2.0,7.0,4.0,1.0,21.0,18.0,5.0,22.0,26.0,56.0,8.0,36.0,40.0,12.0,10.0,11.0,51.0,16.0,37.0,15.0,19.0,3.0,31.0,29.0,164.0,60.0,76.0,17.0,112.0
3724,3.0,2.0,9.0,14.0,0.0,23.0,25.0,7.0,28.0,50.0,32.0,11.0,45.0,31.0,10.0,8.0,16.0,24.0,49.0,124.0,1.0,4.0,6.0,18.0,82.0,36.0,13.0,126.0,26.0,19.0
3773,1.0,3.0,10.0,4.0,0.0,19.0,11.0,2.0,37.0,105.0,100.0,16.0,26.0,12.0,6.0,14.0,44.0,33.0,8.0,111.0,18.0,5.0,9.0,36.0,34.0,134.0,13.0,121.0,15.0,24.0
3822,7.0,0.0,66.0,8.0,10.0,5.0,1.0,12.0,4.0,77.0,27.0,13.0,34.0,15.0,9.0,24.0,33.0,22.0,53.0,2.0,67.0,3.0,28.0,46.0,41.0,32.0,82.0,118.0,58.0,16.0
3871,3.0,2.0,25.0,6.0,0.0,10.0,4.0,12.0,64.0,31.0,99.0,11.0,15.0,7.0,32.0,40.0,55.0,16.0,21.0,70.0,43.0,9.0,26.0,8.0,36.0,92.0,46.0,147.0,35.0,14.0
3920,0.0,1.0,12.0,4.0,3.0,8.0,43.0,32.0,17.0,94.0,49.0,55.0,23.0,11.0,14.0,28.0,9.0,18.0,5.0,2.0,70.0,31.0,24.0,10.0,7.0,68.0,42.0,26.0,36.0,86.0
3969,0.0,1.0,16.0,11.0,19.0,3.0,10.0,41.0,7.0,91.0,34.0,20.0,5.0,2.0,4.0,97.0,30.0,12.0,15.0,8.0,14.0,28.0,63.0,31.0,24.0,21.0,84.0,81.0,18.0,6.0
4018,0.0,2.0,3.0,5.0,9.0,1.0,31.0,19.0,21.0,90.0,14.0,10.0,36.0,16.0,6.0,32.0,7.0,12.0,30.0,15.0,27.0,11.0,51.0,80.0,23.0,17.0,18.0,22.0,45.0,4.0
4067,0.0,1.0,2.0,3.0,64.0,9.0,6.0,35.0,12.0,28.0,21.0,43.0,34.0,5.0,27.0,18.0,10.0,60.0,8.0,4.0,61.0,20.0,72.0,13.0,19.0,15.0,32.0,7.0,25.0,16.0
4116,1.0,0.0,8.0,80.0,37.0,9.0,33.0,20.0,17.0,38.0,3.0,6.0,49.0,18.0,2.0,27.0,10.0,26.0,5.0,16.0,22.0,46.0,36.0,21.0,15.0,29.0,19.0,59.0,7.0,32.0
4165,0.0,2.0,4.0,27.0,55.0,21.0,58.0,5.0,44.0,7.0,25.0,118.0,9.0,24.0,12.0,10.0,32.0,84.0,66.0,8.0,6.0,3.0,28.0,13.0,19.0,40.0,45.0,11.0,1.0,26.0
4214,3.0,2.0,0.0,23.0,31.0,18.0,14.0,5.0,24.0,123.0,20.0,13.0,50.0,80.0,1.0,15.0,11.0,48.0,12.0,6.0,9.0,19.0,16.0,8.0,17.0,22.0,29.0,10.0,4.0,52.0
4263,0.0,26.0,5.0,15.0,34.0,4.0,37.0,88.0,2.0,13.0,10.0,14.0,3.0,6.0,21.0,19.0,20.0,16.0,8.0,1.0,71.0,9.0,61.0,17.0,24.0,33.0,59.0,7.0,12.0,70.0
4312,0.0,1.0,12.0,4.0,60.0,42.0,28.0,20.0,6.0,150.0,48.0,19.0,35.0,25.0,46.0,14.0,9.0,30.0,2.0,26.0,3.0,18.0,29.0,32.0,33.0,34.0,5.0,17.0,22.0,23.0
4361,0.0,3.0,10.0,16.0,59.0,20.0,2.0,87.0,1.0,37.0,6.0,34.0,50.0,28.0,14.0,24.0,38.0,42.0,66.0,8.0,27.0,49.0,4.0,60.0,13.0,21.0,94.0,7.0,5.0,31.0
4410,0.0,5.0,12.0,11.0,25.0,3.0,4.0,18.0,43.0,82.0,49.0,20.0,10.0,23.0,14.0,78.0,48.0,57.0,35.0,16.0,9.0,24.0,33.0,1.0,157.0,58.0,6.0,2.0,17.0,38.0
4459,0.0,7.0,1.0,31.0,8.0,4.0,10.0,3.0,48.0,91.0,61.0,6.0,77.0,32.0,27.0,11.0,21.0,15.0,12.0,19.0,5.0,16.0,23.0,2.0,47.0,36.0,9.0,51.0,14.0,20.0
4508,1.0,6.0,5.0,3.0,137.0,4.0,31.0,37.0,11.0,58.0,8.0,12.0,10.0,7.0,22.0,9.0,33.0,23.0,47.0,108.0,62.0,2.0,14.0,20.0,48.0,41.0,0.0,61.0,16.0,21.0
4557,1.0,16.0,3.0,12.0,29.0,0.0,5.0,69.0,4.0,18.0,8.0,37.0,11.0,42.0,9.0,23.0,34.0,76.0,21.0,17.0,38.0,2.0,22.0,10.0,50.0,109.0,7.0,6.0,20.0,14.0
4606,0.0,9.0,2.0,12.0,83.0,1.0,6.0,13.0,39.0,8.0,101.0,25.0,11.0,50.0,15.0,7.0,123.0,16.0,70.0,43.0,18.0,14.0,20.0,5.0,17.0,57.0,3.0,143.0,10.0,22.0
4655,4.0,3.0,1.0,6.0,28.0,0.0,20.0,59.0,14.0,17.0,24.0,12.0,35.0,21.0,8.0,7.0,16.0,66.0,22.0,25.0,19.0,5.0,39.0,10.0,29.0,102.0,2.0,32.0,9.0,15.0
4704,0.0,5.0,7.0,20.0,56.0,1.0,17.0,15.0,31.0,30.0,18.0,14.0,58.0,26.0,16.0,42.0,90.0,22.0,6.0,12.0,19.0,11.0,142.0,10.0,36.0,43.0,2.0,39.0,8.0,55.0
4753,8.0,2.0,6.0,19.0,13.0,0.0,23.0,4.0,3.0,10.0,15.0,29.0,17.0,37.0,14.0,21.0,48.0,52.0,83.0,11.0,46.0,18.0,74.0,7.0,25.0,73.0,1.0,59.0,33.0,16.0
4802,0.0,3.0,6.0,105.0,35.0,1.0,51.0,12.0,9.0,5.0,18.0,16.0,39.0,29.0,2.0,13.0,49.0,20.0,54.0,10.0,45.0,4.0,7.0,34.0,25.0,132.0,8.0,26.0,32.0,31.0
4851,4.0,2.0,12.0,3.0,6.0,1.0,9.0,15.0,34.0,8.0,17.0,7.0,10.0,89.0,5.0,31.0,27.0,37.0,160.0,18.0,19.0,25.0,70.0,123.0,13.0,28.0,0.0,60.0,20.0,74.0
