,Cyclin_D1,Porin,BRCA2,c-Myc,IRS1,C-Raf(MP05-739),Fibronectin,p38_MAPK,Caspase-7_cleavedD198,TFRC,RAD51,VEGFR2,ACC1,HSP70,P-Cadherin,alpha-Catenin,B-Raf,PI3K-p85,PI3K-p110-alpha,Paxillin,PDK1,PDCD4,p90RSK_pT359_S363,PEA15_pS116,PEA15,PDK1_pS241,PAI-1,p62 Lck ligand,p21,p90RSK_pT573
496,6.0,15.0,25.0,104.0,3.0,18.0,8.0,2.0,107.0,88.0,81.0,32.0,117.0,132.0,1.0,28.0,27.0,57.0,19.0,53.0,62.0,21.0,4.0,46.0,48.0,50.0,54.0,60.0,51.0,56.0
545,8.0,11.0,0.0,105.0,145.0,3.0,15.0,20.0,2.0,28.0,78.0,38.0,31.0,5.0,55.0,127.0,4.0,61.0,76.0,41.0,16.0,17.0,45.0,49.0,43.0,42.0,44.0,47.0,53.0,39.0
594,0.0,4.0,9.0,10.0,144.0,102.0,158.0,18.0,104.0,3.0,59.0,29.0,117.0,135.0,51.0,120.0,1.0,23.0,27.0,40.0,42.0,16.0,13.0,28.0,41.0,43.0,38.0,46.0,36.0,57.0
643,8.0,17.0,20.0,9.0,33.0,107.0,160.0,0.0,37.0,2.0,5.0,27.0,29.0,12.0,31.0,122.0,30.0,26.0,38.0,43.0,55.0,10.0,14.0,41.0,40.0,39.0,44.0,46.0,50.0,45.0
692,4.0,46.0,136.0,19.0,0.0,2.0,16.0,24.0,125.0,3.0,68.0,1.0,67.0,32.0,137.0,149.0,5.0,53.0,26.0,60.0,58.0,25.0,63.0,55.0,54.0,57.0,61.0,65.0,135.0,62.0
741,0.0,12.0,102.0,4.0,6.0,16.0,7.0,9.0,17.0,33.0,59.0,8.0,118.0,138.0,49.0,122.0,36.0,10.0,40.0,1.0,15.0,47.0,2.0,41.0,43.0,44.0,48.0,52.0,46.0,50.0
790,0.0,7.0,102.0,104.0,38.0,13.0,21.0,2.0,24.0,6.0,58.0,62.0,117.0,8.0,47.0,31.0,5.0,22.0,4.0,12.0,56.0,48.0,10.0,43.0,44.0,18.0,50.0,9.0,49.0,51.0
839,1.0,5.0,102.0,105.0,137.0,13.0,158.0,30.0,24.0,27.0,83.0,4.0,117.0,36.0,43.0,122.0,34.0,2.0,20.0,51.0,47.0,16.0,9.0,44.0,17.0,46.0,52.0,0.0,48.0,53.0
888,6.0,27.0,109.0,105.0,0.0,11.0,18.0,23.0,107.0,32.0,29.0,35.0,117.0,4.0,24.0,122.0,40.0,7.0,16.0,21.0,44.0,43.0,41.0,78.0,51.0,46.0,47.0,22.0,56.0,42.0
937,14.0,45.0,37.0,33.0,8.0,19.0,0.0,2.0,15.0,3.0,25.0,30.0,84.0,153.0,20.0,65.0,40.0,52.0,24.0,58.0,23.0,57.0,21.0,67.0,55.0,56.0,22.0,62.0,132.0,59.0
986,15.0,17.0,5.0,7.0,23.0,8.0,18.0,22.0,105.0,35.0,12.0,34.0,1.0,135.0,58.0,123.0,3.0,66.0,78.0,0.0,43.0,42.0,46.0,64.0,45.0,20.0,48.0,50.0,56.0,21.0
1035,152.0,88.0,8.0,102.0,40.0,104.0,158.0,24.0,106.0,38.0,59.0,31.0,5.0,133.0,36.0,35.0,2.0,37.0,45.0,54.0,51.0,53.0,10.0,46.0,48.0,18.0,12.0,49.0,47.0,50.0
1084,152.0,77.0,4.0,1.0,35.0,107.0,19.0,43.0,13.0,7.0,15.0,0.0,6.0,22.0,27.0,123.0,111.0,39.0,40.0,55.0,49.0,53.0,11.0,46.0,47.0,48.0,38.0,45.0,54.0,12.0
1133,10.0,90.0,19.0,6.0,4.0,100.0,163.0,27.0,9.0,5.0,32.0,38.0,0.0,143.0,53.0,33.0,3.0,64.0,43.0,21.0,48.0,49.0,55.0,44.0,46.0,47.0,23.0,25.0,28.0,54.0
1182,151.0,63.0,9.0,5.0,4.0,99.0,26.0,33.0,98.0,6.0,88.0,66.0,0.0,30.0,48.0,124.0,3.0,44.0,45.0,10.0,53.0,54.0,58.0,42.0,60.0,24.0,56.0,49.0,50.0,61.0
1231,23.0,60.0,5.0,0.0,140.0,102.0,13.0,37.0,18.0,34.0,88.0,2.0,29.0,143.0,28.0,124.0,1.0,32.0,44.0,14.0,3.0,48.0,46.0,45.0,59.0,47.0,49.0,52.0,30.0,50.0
1280,15.0,88.0,1.0,18.0,6.0,14.0,30.0,54.0,12.0,39.0,10.0,4.0,5.0,24.0,27.0,34.0,2.0,29.0,92.0,44.0,22.0,43.0,23.0,64.0,46.0,42.0,45.0,63.0,57.0,47.0
1329,28.0,0.0,17.0,1.0,2.0,12.0,157.0,25.0,14.0,37.0,8.0,3.0,117.0,134.0,27.0,36.0,5.0,19.0,64.0,24.0,43.0,23.0,40.0,62.0,50.0,21.0,46.0,61.0,54.0,41.0
1378,151.0,17.0,9.0,4.0,0.0,104.0,158.0,22.0,106.0,32.0,7.0,1.0,6.0,135.0,53.0,120.0,5.0,63.0,76.0,18.0,41.0,43.0,19.0,61.0,39.0,40.0,45.0,20.0,48.0,47.0
1427,19.0,22.0,1.0,10.0,35.0,99.0,25.0,53.0,97.0,4.0,60.0,34.0,0.0,134.0,59.0,30.0,2.0,76.0,44.0,6.0,48.0,49.0,15.0,45.0,43.0,58.0,11.0,56.0,32.0,54.0
1476,4.0,3.0,10.0,13.0,37.0,14.0,5.0,32.0,99.0,30.0,94.0,1.0,6.0,17.0,44.0,28.0,34.0,22.0,40.0,48.0,18.0,46.0,53.0,39.0,42.0,43.0,51.0,24.0,45.0,52.0
1525,3.0,1.0,9.0,0.0,39.0,12.0,4.0,55.0,99.0,5.0,94.0,2.0,36.0,31.0,43.0,32.0,38.0,22.0,20.0,13.0,15.0,49.0,53.0,42.0,46.0,19.0,11.0,26.0,57.0,52.0
1574,15.0,4.0,3.0,104.0,26.0,14.0,19.0,52.0,9.0,2.0,92.0,0.0,36.0,134.0,57.0,32.0,35.0,6.0,29.0,24.0,1.0,40.0,48.0,91.0,44.0,41.0,45.0,25.0,27.0,46.0
1623,2.0,1.0,6.0,103.0,30.0,7.0,20.0,47.0,106.0,8.0,84.0,3.0,0.0,137.0,28.0,9.0,5.0,4.0,21.0,46.0,18.0,45.0,50.0,41.0,42.0,39.0,14.0,57.0,32.0,48.0
1672,35.0,37.0,15.0,17.0,1.0,3.0,8.0,49.0,31.0,34.0,9.0,6.0,7.0,142.0,44.0,32.0,20.0,2.0,14.0,57.0,4.0,43.0,0.0,38.0,16.0,50.0,56.0,52.0,46.0,55.0
1721,5.0,15.0,1.0,99.0,24.0,6.0,29.0,25.0,97.0,33.0,77.0,34.0,0.0,23.0,62.0,123.0,3.0,89.0,91.0,52.0,43.0,44.0,22.0,67.0,65.0,46.0,47.0,54.0,59.0,21.0
1770,2.0,0.0,5.0,103.0,6.0,14.0,21.0,54.0,105.0,7.0,8.0,1.0,30.0,27.0,44.0,33.0,39.0,23.0,43.0,12.0,15.0,55.0,49.0,45.0,46.0,47.0,48.0,51.0,32.0,53.0
1819,4.0,33.0,8.0,0.0,7.0,20.0,1.0,12.0,97.0,34.0,85.0,28.0,5.0,139.0,53.0,10.0,11.0,56.0,38.0,19.0,17.0,55.0,45.0,41.0,40.0,39.0,18.0,47.0,51.0,44.0
1868,34.0,1.0,14.0,17.0,33.0,19.0,38.0,50.0,99.0,0.0,88.0,4.0,35.0,10.0,55.0,29.0,24.0,42.0,31.0,45.0,2.0,44.0,47.0,39.0,40.0,58.0,13.0,9.0,53.0,46.0
1917,4.0,14.0,7.0,9.0,1.0,10.0,5.0,22.0,103.0,34.0,83.0,2.0,118.0,133.0,47.0,30.0,38.0,45.0,17.0,54.0,20.0,53.0,57.0,49.0,19.0,51.0,21.0,59.0,24.0,56.0
1966,3.0,46.0,9.0,101.0,8.0,12.0,7.0,30.0,13.0,40.0,20.0,4.0,6.0,142.0,38.0,117.0,35.0,50.0,10.0,47.0,59.0,0.0,52.0,54.0,56.0,57.0,55.0,49.0,43.0,53.0
2015,28.0,27.0,15.0,101.0,2.0,18.0,156.0,29.0,23.0,66.0,32.0,72.0,30.0,20.0,57.0,118.0,113.0,19.0,5.0,43.0,7.0,1.0,48.0,58.0,44.0,14.0,46.0,50.0,55.0,47.0
2064,3.0,24.0,104.0,14.0,135.0,15.0,22.0,10.0,18.0,0.0,58.0,33.0,6.0,35.0,32.0,9.0,101.0,39.0,21.0,51.0,46.0,49.0,2.0,37.0,40.0,44.0,52.0,53.0,56.0,54.0
2113,0.0,18.0,29.0,13.0,4.0,99.0,2.0,25.0,97.0,65.0,30.0,40.0,5.0,134.0,6.0,31.0,33.0,20.0,21.0,24.0,22.0,23.0,3.0,44.0,42.0,41.0,46.0,64.0,57.0,48.0
2162,5.0,0.0,19.0,100.0,7.0,99.0,20.0,8.0,15.0,34.0,1.0,31.0,6.0,25.0,57.0,33.0,2.0,3.0,4.0,50.0,22.0,23.0,24.0,44.0,45.0,47.0,51.0,56.0,26.0,52.0
2211,15.0,9.0,109.0,2.0,4.0,14.0,160.0,21.0,13.0,37.0,1.0,57.0,0.0,23.0,27.0,122.0,111.0,3.0,6.0,17.0,5.0,53.0,20.0,89.0,90.0,65.0,47.0,49.0,54.0,18.0
2260,24.0,0.0,10.0,13.0,135.0,15.0,156.0,33.0,100.0,30.0,23.0,34.0,17.0,132.0,26.0,38.0,35.0,20.0,45.0,58.0,49.0,14.0,1.0,39.0,57.0,25.0,53.0,54.0,40.0,55.0
2309,0.0,1.0,6.0,8.0,24.0,100.0,17.0,25.0,9.0,33.0,4.0,59.0,35.0,3.0,49.0,128.0,127.0,18.0,57.0,21.0,47.0,48.0,22.0,44.0,45.0,46.0,64.0,23.0,55.0,53.0
2358,1.0,32.0,5.0,104.0,6.0,106.0,2.0,0.0,108.0,35.0,82.0,25.0,28.0,16.0,30.0,127.0,29.0,39.0,38.0,55.0,23.0,22.0,45.0,40.0,37.0,12.0,43.0,47.0,51.0,44.0
2407,2.0,23.0,31.0,127.0,18.0,125.0,14.0,66.0,30.0,80.0,48.0,74.0,0.0,155.0,101.0,132.0,39.0,22.0,53.0,58.0,21.0,20.0,61.0,55.0,56.0,57.0,59.0,63.0,19.0,60.0
2456,1.0,3.0,12.0,25.0,0.0,6.0,22.0,5.0,17.0,28.0,21.0,34.0,35.0,135.0,55.0,122.0,37.0,40.0,43.0,13.0,16.0,14.0,46.0,39.0,42.0,45.0,10.0,54.0,48.0,53.0
2505,0.0,1.0,17.0,4.0,6.0,19.0,157.0,25.0,100.0,29.0,22.0,33.0,117.0,12.0,39.0,121.0,36.0,42.0,41.0,20.0,48.0,18.0,51.0,45.0,46.0,57.0,58.0,53.0,31.0,50.0
2554,11.0,1.0,103.0,106.0,24.0,5.0,12.0,21.0,0.0,32.0,76.0,34.0,120.0,22.0,57.0,123.0,31.0,87.0,88.0,16.0,14.0,15.0,50.0,89.0,65.0,78.0,45.0,19.0,55.0,44.0
2603,2.0,7.0,105.0,103.0,6.0,12.0,158.0,1.0,101.0,38.0,18.0,64.0,33.0,140.0,45.0,128.0,0.0,20.0,44.0,14.0,50.0,49.0,11.0,47.0,17.0,58.0,52.0,55.0,51.0,53.0
2652,5.0,1.0,18.0,7.0,0.0,107.0,161.0,4.0,8.0,6.0,10.0,33.0,120.0,26.0,57.0,124.0,101.0,15.0,89.0,2.0,17.0,47.0,48.0,90.0,63.0,64.0,43.0,25.0,55.0,42.0
2701,12.0,14.0,25.0,101.0,136.0,9.0,158.0,1.0,2.0,0.0,5.0,53.0,29.0,133.0,59.0,35.0,125.0,65.0,78.0,18.0,43.0,44.0,20.0,52.0,45.0,47.0,46.0,63.0,57.0,62.0
2750,0.0,2.0,11.0,5.0,35.0,13.0,1.0,36.0,23.0,7.0,81.0,70.0,33.0,31.0,34.0,122.0,30.0,19.0,37.0,10.0,50.0,53.0,55.0,44.0,56.0,49.0,57.0,47.0,46.0,54.0
2799,12.0,76.0,2.0,9.0,1.0,106.0,17.0,0.0,107.0,6.0,83.0,11.0,10.0,22.0,47.0,30.0,7.0,35.0,36.0,13.0,41.0,54.0,52.0,37.0,38.0,19.0,46.0,34.0,50.0,55.0
2848,0.0,22.0,8.0,11.0,4.0,13.0,20.0,2.0,96.0,35.0,17.0,70.0,33.0,40.0,32.0,123.0,111.0,38.0,75.0,24.0,49.0,50.0,25.0,43.0,23.0,44.0,51.0,54.0,53.0,47.0
2897,0.0,27.0,132.0,25.0,4.0,128.0,15.0,31.0,126.0,22.0,26.0,74.0,43.0,5.0,18.0,37.0,39.0,52.0,2.0,59.0,57.0,58.0,29.0,54.0,55.0,56.0,60.0,64.0,101.0,61.0
2946,0.0,4.0,103.0,106.0,6.0,108.0,22.0,1.0,24.0,3.0,18.0,64.0,120.0,135.0,45.0,31.0,101.0,26.0,44.0,13.0,49.0,50.0,54.0,42.0,57.0,48.0,52.0,58.0,29.0,53.0
2995,5.0,0.0,103.0,15.0,25.0,106.0,163.0,26.0,8.0,88.0,79.0,35.0,1.0,4.0,28.0,2.0,111.0,20.0,78.0,23.0,49.0,50.0,63.0,64.0,48.0,44.0,46.0,24.0,59.0,47.0
3044,15.0,5.0,32.0,127.0,13.0,125.0,14.0,0.0,123.0,28.0,65.0,29.0,97.0,10.0,9.0,3.0,35.0,22.0,50.0,56.0,21.0,20.0,59.0,51.0,52.0,53.0,57.0,18.0,163.0,58.0
3093,1.0,3.0,5.0,101.0,137.0,102.0,157.0,0.0,15.0,67.0,20.0,30.0,27.0,133.0,28.0,6.0,26.0,45.0,40.0,46.0,44.0,18.0,51.0,39.0,41.0,42.0,49.0,10.0,35.0,50.0
3142,1.0,6.0,102.0,105.0,4.0,107.0,17.0,0.0,127.0,34.0,81.0,68.0,119.0,3.0,33.0,5.0,2.0,54.0,40.0,53.0,39.0,20.0,10.0,38.0,41.0,37.0,44.0,47.0,35.0,45.0
3191,12.0,8.0,108.0,0.0,2.0,105.0,160.0,1.0,6.0,33.0,91.0,29.0,117.0,137.0,37.0,34.0,111.0,35.0,42.0,20.0,46.0,47.0,55.0,39.0,43.0,19.0,50.0,52.0,40.0,53.0
3240,5.0,0.0,17.0,101.0,138.0,103.0,160.0,1.0,11.0,31.0,30.0,52.0,116.0,4.0,26.0,38.0,33.0,84.0,85.0,20.0,75.0,19.0,41.0,86.0,18.0,63.0,47.0,23.0,24.0,40.0
3289,3.0,0.0,102.0,17.0,134.0,99.0,159.0,2.0,97.0,36.0,84.0,29.0,34.0,22.0,58.0,35.0,25.0,77.0,61.0,47.0,45.0,60.0,50.0,44.0,42.0,43.0,48.0,52.0,33.0,49.0
3338,1.0,0.0,8.0,102.0,135.0,100.0,163.0,2.0,4.0,70.0,87.0,65.0,31.0,37.0,28.0,121.0,40.0,20.0,45.0,59.0,10.0,41.0,50.0,47.0,52.0,57.0,55.0,60.0,34.0,53.0
3387,23.0,0.0,9.0,11.0,41.0,102.0,163.0,5.0,26.0,29.0,21.0,66.0,42.0,1.0,31.0,33.0,37.0,22.0,59.0,12.0,18.0,55.0,50.0,51.0,19.0,53.0,57.0,39.0,49.0,60.0
3436,5.0,26.0,14.0,106.0,18.0,104.0,10.0,36.0,102.0,3.0,88.0,30.0,27.0,25.0,4.0,29.0,37.0,42.0,43.0,51.0,49.0,50.0,54.0,44.0,19.0,48.0,52.0,57.0,59.0,53.0
3485,152.0,0.0,6.0,100.0,21.0,98.0,159.0,11.0,38.0,34.0,16.0,4.0,28.0,135.0,55.0,33.0,111.0,39.0,37.0,44.0,19.0,43.0,47.0,41.0,40.0,57.0,45.0,49.0,53.0,46.0
3534,10.0,13.0,30.0,105.0,25.0,103.0,14.0,28.0,6.0,0.0,7.0,1.0,36.0,23.0,73.0,39.0,42.0,92.0,18.0,51.0,20.0,21.0,26.0,70.0,57.0,48.0,24.0,60.0,67.0,55.0
3583,12.0,6.0,7.0,8.0,141.0,102.0,24.0,61.0,9.0,1.0,84.0,36.0,33.0,20.0,43.0,29.0,115.0,42.0,44.0,17.0,49.0,50.0,57.0,45.0,46.0,47.0,19.0,59.0,48.0,56.0
3632,35.0,1.0,15.0,100.0,2.0,98.0,7.0,4.0,21.0,8.0,84.0,3.0,5.0,24.0,29.0,36.0,113.0,43.0,41.0,47.0,19.0,46.0,49.0,42.0,44.0,57.0,16.0,45.0,54.0,48.0
3681,2.0,12.0,0.0,103.0,28.0,105.0,21.0,27.0,15.0,4.0,76.0,9.0,6.0,135.0,57.0,3.0,1.0,63.0,23.0,43.0,24.0,25.0,46.0,38.0,39.0,40.0,44.0,48.0,29.0,45.0
3730,14.0,9.0,29.0,102.0,1.0,100.0,159.0,25.0,5.0,3.0,80.0,37.0,0.0,134.0,27.0,44.0,40.0,90.0,66.0,50.0,48.0,45.0,22.0,67.0,79.0,65.0,46.0,24.0,58.0,47.0
3779,12.0,20.0,52.0,128.0,0.0,126.0,8.0,66.0,2.0,4.0,48.0,29.0,38.0,154.0,135.0,37.0,151.0,44.0,68.0,32.0,56.0,57.0,5.0,53.0,54.0,55.0,59.0,63.0,132.0,60.0
3828,3.0,24.0,101.0,4.0,135.0,99.0,157.0,38.0,11.0,1.0,62.0,32.0,127.0,132.0,34.0,39.0,111.0,45.0,23.0,51.0,58.0,44.0,26.0,47.0,52.0,55.0,6.0,48.0,53.0,46.0
3877,21.0,2.0,100.0,13.0,38.0,104.0,159.0,7.0,16.0,37.0,58.0,63.0,35.0,26.0,43.0,8.0,30.0,3.0,20.0,51.0,47.0,48.0,54.0,40.0,44.0,46.0,10.0,49.0,56.0,53.0
3926,2.0,17.0,5.0,0.0,4.0,106.0,157.0,26.0,107.0,8.0,10.0,34.0,127.0,134.0,58.0,36.0,31.0,22.0,66.0,47.0,24.0,39.0,45.0,64.0,50.0,44.0,42.0,63.0,27.0,43.0
3975,24.0,57.0,12.0,4.0,0.0,15.0,21.0,6.0,17.0,65.0,56.0,35.0,10.0,33.0,55.0,7.0,119.0,2.0,39.0,13.0,3.0,48.0,27.0,40.0,41.0,54.0,53.0,31.0,42.0,43.0
4024,28.0,23.0,6.0,103.0,137.0,10.0,155.0,8.0,12.0,3.0,90.0,54.0,119.0,133.0,22.0,36.0,33.0,24.0,67.0,44.0,4.0,27.0,5.0,65.0,52.0,47.0,45.0,17.0,26.0,48.0
4073,0.0,22.0,102.0,19.0,1.0,99.0,10.0,7.0,4.0,39.0,3.0,30.0,121.0,139.0,55.0,124.0,40.0,11.0,23.0,46.0,45.0,20.0,48.0,42.0,43.0,57.0,47.0,44.0,37.0,15.0
4122,0.0,11.0,102.0,3.0,22.0,98.0,14.0,23.0,6.0,43.0,28.0,54.0,30.0,20.0,1.0,31.0,112.0,92.0,64.0,49.0,17.0,18.0,19.0,45.0,47.0,48.0,63.0,21.0,24.0,51.0
4171,1.0,14.0,8.0,9.0,3.0,11.0,17.0,21.0,4.0,31.0,12.0,37.0,117.0,144.0,23.0,123.0,36.0,27.0,87.0,18.0,7.0,0.0,19.0,88.0,63.0,62.0,44.0,20.0,22.0,43.0
4220,13.0,90.0,16.0,1.0,23.0,100.0,15.0,24.0,7.0,31.0,11.0,39.0,34.0,22.0,26.0,30.0,41.0,68.0,94.0,21.0,3.0,54.0,58.0,49.0,50.0,51.0,55.0,63.0,52.0,56.0
4269,5.0,6.0,103.0,106.0,145.0,108.0,160.0,38.0,24.0,36.0,1.0,29.0,118.0,135.0,34.0,27.0,39.0,37.0,75.0,54.0,11.0,10.0,46.0,43.0,47.0,49.0,53.0,58.0,56.0,52.0
4318,0.0,21.0,100.0,4.0,1.0,96.0,18.0,53.0,24.0,34.0,83.0,31.0,118.0,133.0,3.0,6.0,38.0,19.0,47.0,48.0,10.0,9.0,25.0,49.0,57.0,56.0,45.0,41.0,33.0,43.0
4367,4.0,0.0,41.0,47.0,3.0,37.0,18.0,102.0,21.0,2.0,29.0,77.0,5.0,9.0,138.0,56.0,40.0,31.0,32.0,34.0,61.0,33.0,66.0,58.0,59.0,60.0,64.0,68.0,20.0,35.0
4416,153.0,58.0,10.0,99.0,4.0,3.0,14.0,25.0,96.0,33.0,6.0,2.0,27.0,30.0,31.0,1.0,37.0,44.0,43.0,16.0,20.0,47.0,52.0,41.0,55.0,21.0,13.0,24.0,28.0,51.0
4465,149.0,58.0,14.0,6.0,35.0,7.0,163.0,49.0,21.0,1.0,86.0,2.0,3.0,26.0,30.0,0.0,5.0,40.0,23.0,52.0,47.0,51.0,4.0,44.0,57.0,46.0,53.0,19.0,37.0,54.0
4514,156.0,76.0,15.0,107.0,5.0,16.0,18.0,31.0,128.0,29.0,83.0,10.0,7.0,134.0,28.0,0.0,94.0,72.0,20.0,17.0,53.0,47.0,44.0,41.0,42.0,43.0,49.0,8.0,38.0,50.0
4563,35.0,79.0,23.0,19.0,40.0,20.0,0.0,4.0,98.0,36.0,59.0,29.0,118.0,9.0,34.0,37.0,25.0,58.0,12.0,42.0,11.0,14.0,47.0,45.0,43.0,44.0,33.0,16.0,53.0,57.0
4612,0.0,14.0,2.0,100.0,21.0,11.0,161.0,22.0,97.0,34.0,1.0,30.0,5.0,135.0,25.0,39.0,4.0,90.0,8.0,40.0,62.0,50.0,45.0,63.0,64.0,92.0,43.0,17.0,56.0,44.0
4661,110.0,42.0,129.0,19.0,2.0,3.0,13.0,62.0,122.0,5.0,65.0,4.0,34.0,10.0,100.0,35.0,151.0,38.0,23.0,54.0,52.0,53.0,57.0,49.0,66.0,51.0,55.0,22.0,99.0,56.0
4710,0.0,19.0,10.0,1.0,138.0,18.0,160.0,8.0,127.0,6.0,20.0,30.0,117.0,4.0,35.0,123.0,100.0,40.0,14.0,46.0,55.0,45.0,48.0,41.0,42.0,43.0,17.0,49.0,36.0,47.0
4759,152.0,88.0,8.0,11.0,2.0,13.0,160.0,35.0,108.0,3.0,15.0,31.0,120.0,136.0,4.0,34.0,119.0,75.0,5.0,57.0,21.0,48.0,55.0,46.0,44.0,45.0,52.0,1.0,56.0,54.0
4808,16.0,61.0,98.0,15.0,0.0,18.0,163.0,1.0,109.0,35.0,85.0,33.0,26.0,134.0,53.0,32.0,125.0,42.0,8.0,58.0,44.0,45.0,48.0,46.0,41.0,43.0,50.0,52.0,24.0,19.0
4857,11.0,92.0,31.0,1.0,23.0,4.0,156.0,2.0,131.0,39.0,12.0,3.0,35.0,22.0,82.0,40.0,114.0,81.0,66.0,49.0,18.0,45.0,65.0,52.0,48.0,47.0,44.0,24.0,62.0,43.0
