,DPP6_DEL,GSTTP1_AMP,SIRPB1_AMP,HERC2P2_AMP,CDC73_AMP,CERS6_DEL,HLA-DRB6_AMP,NF1P2_AMP,POTEB_AMP,GSTTP2_AMP,OR51A4_DEL,MYH1_MUT,OR51A2_DEL,USP32P2_DEL,GSTM1_DEL,HLA-DRB1_AMP,ARHGEF5_AMP,JAK2_AMP,SESTD1_AMP,LOC643650_DEL,MYO3B_MUT,NRXN1_DEL,HEATR4_DEL,LPA_AMP,BMPR2_AMP,EP300_MUT,ADAM6_AMP,APOBEC3A_B_DEL,LOC348120_AMP,KIAA0125_AMP
618,0.0,11.0,83.0,319.0,146.0,79.0,12.0,8.0,9.0,81.0,170.0,58.0,82.0,5.0,1258.0,3.0,29.0,40.0,172.0,41.0,47.0,13.0,1.0,4864.0,43.0,23.0,48.0,31.0,38.0,100.0
667,0.0,30.0,111.0,75.0,53.0,31.0,181.0,6.0,5.0,301.0,693.0,36.0,1339.0,1.0,20.0,64.0,92.0,18.0,127.0,24.0,45.0,11.0,21.0,217.0,57.0,14.0,370.0,56.0,27.0,390.0
716,0.0,30.0,383.0,2121.0,49.0,19.0,71.0,3.0,4.0,119.0,40.0,123.0,41.0,8.0,109.0,90.0,803.0,31.0,4258.0,55.0,35.0,9.0,7.0,21999.0,14.0,13.0,4201.0,150.0,5.0,4862.0
765,0.0,79.0,1502.0,9.0,63.0,23.0,21.0,15.0,14.0,131.0,539.0,62.0,1874.0,8.0,52.0,5.0,73.0,74.0,42.0,1.0,11.0,20.0,10.0,349.0,86.0,35.0,197.0,6.0,18.0,216.0
814,0.0,45.0,346.0,2058.0,100.0,109.0,684.0,19.0,20.0,363.0,63.0,28.0,213.0,3.0,4.0,89.0,25.0,21.0,2703.0,11.0,14.0,37.0,2.0,8704.0,1.0,150.0,39.0,33.0,75.0,40.0
863,0.0,44.0,61.0,74.0,105.0,62.0,70.0,10.0,9.0,17.0,39.0,52.0,148.0,7.0,18.0,19.0,382.0,27.0,1103.0,29.0,24.0,5.0,1.0,7621.0,69.0,40.0,113.0,143.0,65.0,134.0
912,2.0,8.0,26.0,125.0,197.0,110.0,693.0,7.0,6.0,57.0,18.0,40.0,51.0,38.0,100.0,216.0,58.0,15.0,342.0,32.0,19.0,10.0,0.0,446.0,193.0,16.0,22169.0,59.0,37.0,22005.0
961,0.0,92.0,2.0,39.0,8.0,51.0,12.0,79.0,80.0,913.0,25.0,1976.0,65.0,24.0,68.0,7.0,11.0,22.0,227.0,58.0,70.0,47.0,3.0,28.0,9.0,5.0,540.0,1980.0,264.0,162.0
1010,0.0,10.0,30.0,3.0,28.0,12.0,4.0,6.0,7.0,11.0,19.0,25.0,21.0,22.0,93.0,5.0,24.0,68.0,91.0,8.0,18.0,55.0,27.0,58.0,23.0,327.0,145.0,13.0,1.0,138.0
1059,0.0,108.0,52.0,83.0,34.0,11.0,1.0,782.0,781.0,155.0,42.0,5.0,51.0,65.0,14.0,2.0,21.0,22.0,780.0,9.0,15.0,59.0,4.0,275.0,17.0,110.0,53.0,219.0,4683.0,12.0
1108,1.0,40.0,22.0,0.0,28.0,4.0,15.0,88.0,87.0,19.0,93.0,10.0,94.0,23.0,7053.0,14.0,16.0,46.0,174.0,2.0,6.0,54.0,18.0,30.0,11.0,53.0,75.0,44.0,325.0,55.0
1157,5.0,15.0,37.0,13.0,0.0,16.0,3.0,21.0,20.0,18.0,22.0,7.0,9.0,325.0,212.0,4.0,6.0,38.0,100.0,29.0,51.0,57.0,94.0,850.0,8.0,89.0,347.0,33.0,35.0,285.0
1206,4.0,49.0,194.0,50.0,2.0,23.0,1.0,710.0,709.0,12.0,31.0,18.0,130.0,7.0,3.0,0.0,14.0,44.0,180.0,22.0,27.0,38.0,24.0,896.0,54.0,39.0,15.0,43.0,3057.0,11.0
1255,0.0,16.0,66.0,3.0,6.0,7.0,20.0,8.0,9.0,55.0,28.0,91.0,19.0,62.0,2.0,27.0,4.0,25.0,133.0,23.0,30.0,296.0,39.0,31.0,1.0,13.0,18.0,10.0,29.0,14.0
1304,3.0,33.0,40.0,2.0,16.0,7.0,0.0,93.0,92.0,12.0,35.0,14.0,31.0,15.0,69.0,1.0,4.0,17.0,39.0,5.0,13.0,41.0,6.0,25.0,27.0,174.0,195.0,51.0,240.0,102.0
1353,0.0,73.0,17.0,11.0,25.0,8.0,4.0,42.0,41.0,60.0,106.0,61.0,47.0,39.0,12.0,2.0,99.0,19.0,7657.0,18.0,27.0,29.0,3.0,86.0,51.0,40.0,830.0,405.0,153.0,543.0
1402,0.0,6.0,84.0,16.0,14.0,21.0,12.0,4.0,5.0,1.0,19.0,39.0,70.0,228.0,1411.0,11.0,10.0,61.0,57.0,9.0,96.0,20.0,51.0,17248.0,30.0,59.0,138.0,32.0,41.0,170.0
1451,6.0,29.0,15.0,8.0,0.0,20.0,9.0,3.0,4.0,81.0,49.0,5.0,18.0,37.0,206.0,21.0,2.0,31.0,328.0,13.0,22.0,57.0,7.0,695.0,36.0,41.0,50.0,233.0,10.0,34.0
1500,0.0,1.0,87.0,21.0,20.0,150.0,109.0,11.0,10.0,36.0,29.0,101.0,107.0,338.0,26.0,46.0,175.0,24.0,169.0,125.0,18.0,7.0,2.0,86.0,19.0,25.0,13169.0,53.0,33.0,18288.0
1549,1.0,2.0,3.0,4.0,17.0,23.0,22.0,7.0,6.0,55.0,61.0,30.0,109.0,75.0,5.0,119.0,11.0,16.0,49.0,216.0,33.0,32.0,42.0,10.0,15.0,13.0,955.0,19.0,14.0,739.0
1598,2.0,1.0,1279.0,32.0,20.0,10.0,59.0,28.0,27.0,14.0,91.0,6.0,119.0,7.0,13.0,105.0,35.0,40.0,33.0,97.0,25.0,47.0,3.0,52.0,83.0,60.0,599.0,15.0,29.0,1064.0
1647,3.0,12.0,0.0,5.0,10.0,19.0,14.0,15.0,16.0,51.0,11.0,8.0,9.0,43.0,1.0,40.0,26.0,23.0,20.0,157.0,25.0,30.0,4.0,6.0,158.0,17.0,284.0,136.0,39.0,240.0
1696,2.0,5.0,184.0,0.0,14.0,11.0,161.0,6.0,7.0,40.0,51.0,39.0,264.0,44.0,12.0,193.0,16.0,8.0,36.0,881.0,22.0,226.0,1.0,3.0,76.0,47.0,59.0,133.0,15.0,49.0
1745,3.0,2.0,9.0,0.0,101.0,22.0,5.0,19.0,18.0,13.0,21.0,10.0,20.0,505.0,12.0,11.0,28.0,47.0,27.0,83.0,14.0,29.0,4.0,39.0,32.0,38.0,159.0,91.0,51.0,160.0
1794,1.0,2.0,3.0,0.0,4.0,15.0,41.0,11.0,10.0,14.0,37.0,39.0,21.0,78.0,5.0,72.0,13.0,25.0,26.0,127.0,68.0,49.0,12.0,42.0,27.0,32.0,968.0,24.0,19.0,496.0
1843,3.0,2.0,6.0,1.0,13.0,11.0,5.0,18.0,19.0,12.0,54.0,14.0,25.0,112.0,0.0,9.0,7.0,22.0,32.0,121.0,34.0,26.0,29.0,10.0,28.0,17.0,483.0,66.0,67.0,97.0
1892,1.0,0.0,24.0,6.0,12.0,31.0,4.0,37.0,38.0,20.0,8.0,18.0,19.0,578.0,2.0,10.0,11.0,21.0,14.0,596.0,492.0,17.0,5.0,35.0,59.0,171.0,1146.0,9.0,126.0,825.0
1941,45.0,0.0,5.0,1.0,8.0,16.0,27.0,3.0,4.0,18.0,23.0,17.0,12.0,66.0,7.0,54.0,28.0,40.0,20.0,158.0,31.0,21.0,6.0,2.0,36.0,24.0,3785.0,29.0,10.0,1995.0
1990,19.0,1.0,0.0,95.0,261.0,20.0,3.0,47.0,46.0,6.0,5.0,4.0,48.0,24.0,2.0,11.0,391.0,51.0,39.0,335.0,42.0,7.0,212.0,22.0,36.0,13.0,10.0,17.0,370.0,12.0
2039,29.0,7.0,1.0,78.0,82.0,30.0,4.0,140.0,141.0,3.0,0.0,8.0,9.0,34.0,2.0,27.0,103.0,10.0,44.0,81.0,25.0,15.0,38.0,20.0,51.0,46.0,11.0,22.0,1397.0,12.0
2088,25.0,2.0,3.0,23.0,115.0,8.0,9.0,63.0,62.0,5.0,1.0,4.0,50.0,20.0,0.0,46.0,184.0,13.0,16.0,102.0,136.0,34.0,1643.0,2060.0,157.0,55.0,12.0,45.0,943.0,15.0
2137,141.0,11.0,0.0,21.0,604.0,43.0,4.0,338.0,339.0,14.0,16.0,19.0,86.0,23.0,1.0,10.0,46.0,42.0,90.0,57.0,12.0,13.0,104.0,8.0,276.0,18.0,59.0,88.0,903.0,67.0
2186,0.0,8.0,13.0,16.0,335.0,17.0,4.0,14.0,15.0,2.0,18.0,19.0,210.0,280.0,44.0,10.0,135.0,36.0,22.0,101.0,31.0,3.0,269.0,460.0,57.0,27.0,530.0,98.0,58.0,905.0
2235,109.0,1.0,8.0,10.0,42.0,16.0,17.0,12.0,11.0,0.0,5.0,14.0,18.0,26.0,4.0,25.0,59.0,24.0,76.0,392.0,13.0,7.0,192.0,68.0,41.0,27.0,9.0,155.0,47.0,6.0
2284,19.0,0.0,6.0,20.0,92.0,17.0,1.0,100.0,99.0,4.0,2.0,12.0,9.0,23.0,10.0,3.0,893.0,27.0,14.0,184.0,13.0,5.0,65.0,34.0,155.0,11.0,36.0,39.0,1407.0,55.0
2333,10.0,11.0,4.0,1070.0,198.0,20.0,8.0,103.0,104.0,1.0,0.0,47.0,15.0,7.0,9.0,22.0,85.0,14.0,43.0,89.0,67.0,12.0,17.0,77.0,83.0,23.0,13.0,116.0,1363.0,16.0
2382,5.0,16.0,28.0,12.0,244.0,55.0,18.0,9.0,10.0,3.0,76.0,71.0,179.0,7.0,2.0,8.0,628.0,23.0,139.0,168.0,20.0,6.0,0.0,22.0,114.0,61.0,25.0,1097.0,40.0,24.0
2431,18.0,2.0,4.0,14.0,28.0,20.0,0.0,41.0,42.0,6.0,1.0,13.0,17.0,30.0,3.0,5.0,160.0,26.0,29.0,439.0,15.0,24.0,1072.0,11.0,64.0,8.0,12.0,632.0,458.0,7.0
2480,7.0,14.0,3.0,31.0,10.0,44.0,34.0,0.0,1.0,389.0,95.0,785.0,8.0,804.0,9.0,16.0,47.0,58.0,60.0,115.0,33.0,56.0,135.0,54.0,27.0,4.0,81.0,74.0,5.0,66.0
2529,29.0,3.0,49.0,4.0,2.0,12.0,10.0,1.0,0.0,24.0,22.0,50.0,17.0,90.0,1277.0,18.0,23.0,92.0,68.0,55.0,43.0,52.0,31.0,16.0,106.0,21.0,19.0,26.0,5.0,20.0
2578,4.0,3.0,14.0,6.0,5.0,10.0,9.0,1.0,2.0,22.0,26.0,79.0,72.0,948.0,109.0,20.0,32.0,62.0,48.0,83.0,11.0,54.0,830.0,53.0,29.0,17.0,69.0,8.0,7.0,61.0
2627,16.0,10.0,122.0,66.0,2.0,12.0,5.0,3.0,4.0,4422.0,11.0,47.0,7.0,2027.0,115.0,6.0,15.0,54.0,103.0,34.0,232.0,102.0,275.0,17471.0,26.0,22.0,30.0,14.0,8.0,31.0
2676,4.0,0.0,10.0,103.0,2.0,26.0,33.0,15.0,16.0,59.0,17.0,182.0,7.0,1130.0,13.0,80.0,19.0,67.0,27.0,124.0,130.0,112.0,268.0,78.0,8.0,14.0,35.0,5.0,40.0,42.0
2725,16.0,8.0,57.0,2.0,11.0,7.0,14.0,0.0,1.0,89.0,317.0,48.0,43.0,410.0,34.0,39.0,28.0,105.0,5.0,26.0,107.0,2288.0,8082.0,56.0,60.0,29.0,351.0,6.0,3.0,197.0
2774,7.0,6.0,1.0,42.0,2.0,18.0,11.0,4.0,3.0,309.0,21.0,56.0,9.0,164.0,20.0,22.0,8.0,55.0,17.0,70.0,67.0,162.0,83.0,314.0,51.0,10.0,27.0,5.0,16.0,19.0
2823,12.0,5.0,9.0,19.0,11.0,13.0,2.0,0.0,1.0,45.0,39.0,205.0,10.0,181.0,827.0,4.0,25.0,62.0,138.0,38.0,20.0,16.0,670.0,15555.0,50.0,27.0,21.0,98.0,3.0,24.0
2872,30.0,1.0,4.0,2.0,5.0,20.0,16.0,10.0,11.0,26.0,3.0,417.0,7.0,58.0,27.0,138.0,13.0,101.0,17.0,64.0,29.0,21.0,1117.0,24.0,22.0,15.0,23.0,12.0,77.0,25.0
2921,2.0,7.0,3263.0,18.0,4.0,57.0,6.0,11.0,10.0,316.0,19.0,84.0,5.0,444.0,46.0,9.0,15.0,29.0,14.0,849.0,32.0,107.0,49.0,83.0,327.0,94.0,594.0,8.0,22.0,440.0
2970,0.0,11.0,1.0,54.0,26.0,12.0,46.0,39.0,38.0,6.0,9.0,31.0,2.0,103.0,14.0,68.0,66.0,21.0,3.0,22.0,29.0,45.0,100.0,10.0,69.0,35.0,101.0,16.0,94.0,57.0
3019,19.0,3.0,0.0,11.0,26.0,18.0,204.0,39.0,38.0,10.0,6.0,64.0,2.0,110.0,1.0,2439.0,61.0,9.0,8.0,2957.0,12.0,65.0,118.0,101.0,100.0,5.0,54.0,17.0,153.0,31.0
3068,69.0,1.0,12.0,14.0,8.0,46.0,2.0,93.0,94.0,6.0,28.0,23.0,24.0,104.0,0.0,3.0,113.0,15.0,18.0,5.0,68.0,21.0,20.0,75.0,99.0,45.0,66.0,74.0,330.0,32.0
3117,106.0,6.0,13.0,25.0,12.0,8.0,34.0,71.0,70.0,26.0,11.0,21.0,5.0,14.0,7.0,64.0,27.0,18.0,10.0,30.0,9.0,17.0,0.0,99.0,159.0,119.0,161.0,28.0,142.0,80.0
3166,15.0,1.0,0.0,13.0,2.0,3.0,10.0,42.0,43.0,5.0,12.0,17.0,8.0,68.0,24.0,19.0,93.0,62.0,6.0,16.0,14.0,36.0,80.0,7.0,57.0,98.0,361.0,61.0,277.0,184.0
3215,13.0,5.0,1.0,17.0,39.0,26.0,1154.0,7.0,6.0,11.0,16.0,53.0,10.0,4.0,131.0,1051.0,9.0,28.0,57.0,52.0,30.0,36.0,55.0,8.0,24.0,14.0,600.0,18.0,21.0,427.0
3264,0.0,6.0,1.0,9.0,26.0,12.0,18.0,76.0,75.0,31.0,38.0,20.0,67.0,58.0,4.0,34.0,36.0,28.0,11.0,13.0,19.0,17.0,2.0,108.0,106.0,7.0,1844.0,30.0,171.0,1180.0
3313,5.0,1.0,4.0,2.0,13.0,17.0,18.0,21.0,20.0,10.0,55.0,51.0,27.0,49.0,3.0,28.0,25.0,16.0,0.0,8.0,31.0,19.0,15.0,24.0,38.0,84.0,65.0,35.0,60.0,63.0
3362,34.0,6.0,0.0,32.0,39.0,11.0,24.0,97.0,96.0,17.0,9.0,43.0,3.0,30.0,29.0,51.0,65.0,31.0,4.0,21.0,87.0,19.0,7.0,132.0,76.0,14.0,13.0,103.0,416.0,10.0
3411,85.0,67.0,1.0,29.0,126.0,37.0,57.0,117.0,116.0,55.0,178.0,109.0,179.0,40.0,0.0,58.0,3379.0,25.0,2.0,3.0,7.0,42.0,9.0,5.0,76.0,26.0,49.0,154.0,112.0,30.0
3460,2.0,6.0,18.0,0.0,9.0,15.0,36.0,11.0,10.0,1.0,22.0,19.0,109.0,56.0,65.0,55.0,62.0,42.0,26.0,35.0,2470.0,12.0,34.0,30.0,32.0,69.0,8.0,33.0,21.0,7.0
3509,64.0,9.0,22.0,7.0,6.0,5.0,279.0,61.0,60.0,1.0,49.0,12.0,45.0,13.0,36.0,728.0,37.0,131.0,70.0,19.0,1213.0,41.0,219.0,3.0,28.0,31.0,10.0,25.0,65.0,15.0
3558,4.0,14.0,34.0,2.0,3.0,5.0,450.0,18.0,19.0,1.0,50.0,13.0,35.0,48.0,53.0,1765.0,23.0,77.0,97.0,29.0,1755.0,31.0,301.0,30.0,22.0,69.0,7.0,40.0,56.0,8.0
3607,6.0,1.0,43.0,5.0,2.0,20.0,839.0,9.0,10.0,4.0,34.0,498.0,8.0,30.0,134.0,2588.0,23.0,33.0,130.0,111.0,22664.0,36.0,128.0,22.0,24.0,40.0,13.0,66.0,28.0,12.0
3656,9.0,6.0,27.0,2.0,5.0,19.0,32.0,220.0,219.0,4.0,8.0,28.0,3.0,22.0,36.0,37.0,69.0,38.0,44.0,35.0,844.0,24.0,16.0,20.0,7.0,144.0,14.0,169.0,1425.0,15.0
3705,14.0,12.0,19.0,0.0,6.0,36.0,50.0,37.0,38.0,4.0,28.0,20.0,16.0,10.0,65.0,89.0,34.0,76.0,134.0,24.0,219.0,15.0,21.0,13.0,8.0,32.0,9.0,92.0,93.0,11.0
3754,12.0,14.0,54.0,0.0,4.0,13.0,477.0,180.0,179.0,7.0,15.0,25.0,18.0,2.0,48.0,575.0,63.0,37.0,2106.0,59.0,886.0,6.0,23.0,24.0,56.0,49.0,27.0,183.0,1186.0,21.0
3803,31.0,6.0,12.0,10.0,5.0,14.0,34.0,45.0,46.0,0.0,7.0,24.0,3.0,15.0,57.0,39.0,16.0,64.0,27.0,19.0,598.0,26.0,92.0,37.0,32.0,35.0,13.0,59.0,130.0,11.0
3852,3.0,14.0,21.0,0.0,20.0,40.0,18.0,79.0,78.0,25.0,110.0,100.0,49.0,67.0,6.0,28.0,149.0,29.0,1064.0,11.0,1429.0,19.0,119.0,433.0,8.0,17.0,9.0,881.0,192.0,2.0
3901,45.0,16.0,173.0,10.0,28.0,43.0,3.0,94.0,95.0,13.0,68.0,19.0,26.0,9.0,8.0,2.0,38.0,48.0,411.0,104.0,1129.0,12.0,4.0,34.0,83.0,87.0,5.0,86.0,1169.0,11.0
3950,1.0,3.0,75.0,0.0,2.0,9.0,19.0,4.0,5.0,57.0,15.0,119.0,52.0,36.0,21.0,163.0,13.0,31.0,6.0,39.0,71.0,101.0,41.0,17.0,35.0,63.0,12.0,10.0,8.0,14.0
3999,21.0,5.0,9.0,6.0,3.0,7.0,57.0,183.0,182.0,36.0,13.0,29.0,11.0,10.0,54.0,312.0,26.0,33.0,30.0,24.0,37.0,110.0,205.0,0.0,150.0,400.0,20.0,329.0,352.0,22.0
4048,2.0,0.0,48.0,1.0,11.0,72.0,12.0,4.0,5.0,71.0,51.0,35.0,902.0,3.0,7.0,21.0,1020.0,34.0,24.0,13.0,6.0,20.0,17.0,22.0,45.0,109.0,31.0,657.0,10.0,53.0
4097,10.0,1.0,23.0,2.0,0.0,12.0,7.0,59.0,58.0,15.0,11.0,9.0,24.0,6.0,92.0,70.0,14.0,19.0,39.0,180.0,8.0,68.0,223.0,4.0,42.0,151.0,26.0,67.0,75.0,28.0
4146,0.0,11.0,61.0,23.0,5.0,12.0,96.0,53.0,54.0,302.0,8.0,20.0,28.0,3.0,1289.0,1600.0,240.0,50.0,33.0,15.0,17.0,70.0,6.0,1.0,39.0,263.0,233.0,98.0,89.0,176.0
4195,4.0,5.0,16.0,3.0,20.0,12.0,11.0,41.0,40.0,27.0,17.0,10.0,68.0,1.0,2.0,54.0,22.0,48.0,18.0,47.0,13.0,45.0,39.0,0.0,36.0,146.0,15.0,763.0,64.0,7.0
4244,12.0,14.0,24.0,0.0,3.0,7.0,2.0,29.0,28.0,118.0,15.0,6.0,10.0,4.0,36.0,22.0,75.0,19.0,89.0,18.0,9.0,61.0,8.0,1.0,13.0,1783.0,109.0,33.0,54.0,166.0
4293,2.0,3.0,7.0,5.0,1.0,6.0,4.0,9.0,8.0,148.0,55.0,26.0,119.0,31.0,13.0,16.0,23.0,69.0,36.0,28.0,70.0,40.0,54.0,0.0,141.0,131.0,22.0,67.0,35.0,18.0
4342,9.0,4.0,5.0,21.0,8.0,7.0,11.0,242.0,243.0,167.0,71.0,1.0,246.0,2.0,28.0,55.0,119.0,137.0,6.0,10.0,15.0,1047.0,34.0,0.0,52.0,69.0,14.0,16.0,159.0,17.0
4391,9.0,0.0,1.0,4.0,3.0,15.0,76.0,24.0,23.0,162.0,29.0,7.0,361.0,6.0,524.0,2297.0,348.0,73.0,33.0,8.0,81.0,28.0,98.0,2.0,13.0,360.0,20.0,26.0,58.0,42.0
4440,3.0,11.0,1.0,33.0,34.0,4.0,58.0,8.0,7.0,73.0,6.0,28.0,42.0,2.0,32.0,59.0,16.0,24.0,23.0,12.0,238.0,140.0,47.0,683.0,19.0,21.0,37.0,0.0,18.0,50.0
4489,4.0,59.0,49.0,65.0,99.0,162.0,20.0,1.0,0.0,13.0,55.0,38.0,23.0,9.0,431.0,3.0,158.0,14.0,7406.0,21.0,63.0,16.0,22.0,7260.0,24.0,11.0,27.0,32.0,2.0,53.0
4538,25.0,0.0,8.0,97.0,9.0,10.0,28.0,5.0,6.0,22.0,14.0,35.0,40.0,12.0,20.0,124.0,11.0,19.0,4.0,42.0,24.0,26.0,56.0,30.0,44.0,109.0,2.0,1.0,17.0,3.0
4587,18.0,20.0,23.0,39.0,6.0,17.0,173.0,15.0,16.0,0.0,8.0,9.0,33.0,5.0,12.0,130.0,2.0,24.0,26.0,22.0,193.0,105.0,60.0,21.0,1.0,50.0,11.0,14.0,29.0,10.0
4636,15.0,17.0,9.0,13.0,23.0,1.0,16.0,30.0,29.0,25.0,58.0,7.0,18.0,6.0,73.0,28.0,0.0,35.0,8.0,10.0,37.0,204.0,16938.0,12.0,86.0,110.0,71.0,4.0,31.0,33.0
4685,37.0,2.0,4.0,21.0,14.0,11.0,20.0,5.0,6.0,22.0,1.0,129.0,27.0,41.0,16.0,23.0,19.0,13.0,7.0,227.0,272.0,33.0,605.0,42.0,56.0,36.0,8.0,47.0,32.0,12.0
4734,34.0,0.0,21.0,19.0,11.0,2.0,14.0,5.0,6.0,4.0,8.0,58.0,20.0,15.0,41.0,16.0,18.0,23.0,7.0,42.0,192.0,77.0,139.0,51.0,12.0,31.0,29.0,38.0,24.0,37.0
4783,23.0,6.0,5.0,4.0,78.0,13.0,85.0,2.0,1.0,3.0,18.0,56.0,32.0,11.0,5679.0,89.0,26.0,27.0,43.0,46.0,121.0,37.0,28.0,0.0,79.0,38.0,30.0,9.0,16.0,44.0
4832,77.0,46.0,0.0,65.0,5.0,8.0,85.0,1.0,2.0,47.0,4.0,10.0,19.0,18.0,149.0,111.0,6.0,12.0,15.0,24.0,35.0,311.0,67.0,21.0,17.0,131.0,27.0,36.0,13.0,29.0
4881,21.0,4.0,19.0,3.0,0.0,11.0,82.0,2.0,1.0,8.0,5.0,6.0,17.0,38.0,31.0,130.0,13.0,25.0,22.0,47.0,176.0,37.0,2400.0,250.0,15.0,85.0,16.0,9.0,7.0,29.0
