,NDN,AC026407.1,ANGPTL2,HGF,AC016710.1,POLR2J3,CLDN11,S100A4,GSTT1,MB21D1,MAGEA1,RP11-834C11.4,CAMK1D,ALKBH3,DNAJA4,LUM,SCARA3,HSD17B11,RP3-467L1.4,SPTBN2,AC068134.10,VSTM2L,KLHL3,CTD-3224K15.3,LHX8,LINC00942,TTC31,ZNF334,RP11-318M2.2,SLFN13
1772,146.0,4.0,69.0,36.0,17.0,55.0,1.0,15.0,134.0,22.0,45.0,2.0,19.0,33.0,32.0,121.0,29.0,24.0,65.0,12.0,35.0,149.0,26.0,11.0,18.0,20.0,54.0,40.0,60.0,6.0
1821,21.0,69.0,29.0,63.0,12.0,457.0,3.0,16.0,662.0,97.0,17.0,7.0,397.0,79.0,6759.0,298.0,19.0,8.0,66.0,47.0,456.0,46.0,6.0,15.0,40.0,1713.0,13.0,123.0,51.0,44.0
1870,140.0,9.0,17.0,4.0,51.0,7.0,12.0,42.0,1414.0,8.0,28.0,1.0,1850.0,47.0,96.0,18.0,159.0,13.0,246.0,3.0,133.0,271.0,156.0,15.0,34.0,111.0,29.0,461.0,103.0,14.0
1919,39.0,15.0,24.0,12.0,5.0,167.0,130.0,63.0,20.0,10.0,29.0,4.0,19.0,44.0,310.0,58.0,17.0,8.0,77.0,40.0,74.0,3.0,9.0,6.0,18.0,119.0,16.0,102.0,55.0,7.0
1968,2.0,0.0,6.0,32.0,18.0,78.0,10.0,16.0,5.0,743.0,7.0,1047.0,4.0,63.0,30.0,52.0,3.0,19.0,37.0,86.0,285.0,161.0,14.0,145.0,12.0,17.0,57.0,20.0,72.0,79.0
2017,0.0,1.0,2.0,61.0,235.0,47.0,152.0,3.0,21.0,34.0,31.0,224.0,7.0,161.0,36.0,35.0,39.0,25.0,54.0,412.0,108.0,1462.0,158.0,739.0,74.0,46.0,279.0,5.0,20.0,68.0
2066,0.0,28.0,11.0,147.0,269.0,43.0,9.0,4.0,244.0,16.0,7.0,150.0,15.0,62.0,12.0,10.0,125.0,18.0,23.0,118.0,448.0,67.0,20.0,76.0,476.0,737.0,54.0,3.0,27.0,235.0
2115,1.0,0.0,5.0,139.0,738.0,88.0,8.0,2.0,33.0,7.0,29.0,37.0,34.0,256.0,6.0,24.0,399.0,16.0,49.0,31.0,30.0,77.0,148.0,104.0,80.0,202.0,38.0,3.0,18.0,48.0
2164,1.0,4.0,0.0,33.0,140.0,13.0,5.0,8.0,6.0,12.0,68.0,30.0,2.0,35.0,9.0,15.0,59.0,21.0,16.0,43.0,169.0,1546.0,298.0,535.0,10.0,100.0,230.0,55.0,38.0,22.0
2213,2.0,1.0,0.0,53.0,5282.0,101.0,8.0,3.0,297.0,47.0,12.0,16.0,7.0,733.0,81.0,49.0,33.0,24.0,35.0,322.0,67.0,425.0,21.0,273.0,51.0,6.0,58.0,10.0,29.0,38.0
2262,1.0,7.0,0.0,48.0,216.0,27.0,2.0,3.0,11.0,9.0,8.0,10.0,25.0,159.0,17.0,4.0,70.0,20.0,6.0,64.0,81.0,3371.0,26.0,60.0,56.0,59.0,172.0,24.0,31.0,14.0
2311,2.0,1.0,0.0,59.0,176.0,75.0,8.0,16.0,9.0,30.0,25.0,56.0,4.0,149.0,19.0,21.0,13.0,10.0,14.0,40.0,92.0,596.0,73.0,288.0,11.0,3.0,87.0,18.0,26.0,152.0
2360,0.0,13.0,1.0,97.0,229.0,14.0,21.0,37.0,81.0,2.0,90.0,45.0,4.0,197.0,3.0,38.0,18.0,65.0,25.0,5.0,117.0,305.0,39.0,1002.0,28.0,19.0,145.0,60.0,251.0,113.0
