,MEK1_pS217_S221,Porin,PTEN,SCD1,HER3,p90RSK_pT359_S363,AMPK_pT172,GATA3,Notch1,4E-BP1_pS65,CD31,PREX1,Cyclin_D1,Bax,EGFR,Smac,PDCD4,GAPDH,SF2,14-3-3_beta,MAPK_pT202_Y204,Bcl-2,VAV1,XBP1,ACC1,GSK-3-BETA,eEF2K,MSH6,RSK1-2-3,VHL
1717,1.0,5.0,6.0,0.0,22.0,9.0,2.0,20.0,14.0,10.0,12.0,4.0,7.0,16.0,28.0,26.0,21.0,25.0,15.0,17.0,34.0,3.0,39.0,23.0,29.0,37.0,73.0,19.0,8.0,11.0
1766,10.0,1.0,2.0,0.0,5.0,25.0,3.0,54.0,12.0,22.0,7.0,4.0,27.0,29.0,67.0,8.0,9.0,16.0,35.0,11.0,56.0,6.0,20.0,15.0,31.0,94.0,55.0,44.0,32.0,43.0
1815,1.0,8.0,2.0,0.0,3.0,14.0,11.0,40.0,4.0,24.0,6.0,12.0,13.0,5.0,7.0,10.0,21.0,9.0,70.0,27.0,47.0,16.0,20.0,15.0,19.0,37.0,66.0,26.0,23.0,25.0
1864,1.0,0.0,5.0,2.0,10.0,35.0,3.0,17.0,27.0,26.0,7.0,12.0,20.0,6.0,18.0,38.0,9.0,11.0,22.0,4.0,28.0,14.0,30.0,15.0,23.0,34.0,59.0,21.0,19.0,8.0
1913,3.0,6.0,4.0,1.0,12.0,22.0,0.0,15.0,9.0,25.0,2.0,18.0,8.0,50.0,16.0,10.0,7.0,29.0,32.0,5.0,47.0,19.0,26.0,21.0,13.0,91.0,59.0,17.0,11.0,78.0
1962,0.0,1.0,20.0,32.0,5.0,11.0,3.0,13.0,7.0,17.0,4.0,2.0,27.0,9.0,35.0,6.0,40.0,19.0,18.0,43.0,47.0,52.0,26.0,42.0,24.0,74.0,8.0,23.0,100.0,93.0
2011,1.0,0.0,4.0,20.0,6.0,21.0,2.0,26.0,5.0,10.0,7.0,3.0,8.0,11.0,25.0,16.0,59.0,92.0,19.0,13.0,44.0,23.0,50.0,66.0,14.0,35.0,15.0,29.0,40.0,71.0
2060,0.0,2.0,5.0,20.0,10.0,8.0,6.0,44.0,11.0,17.0,19.0,4.0,1.0,15.0,48.0,18.0,30.0,14.0,22.0,56.0,63.0,21.0,58.0,16.0,12.0,31.0,9.0,40.0,126.0,66.0
2109,0.0,1.0,3.0,10.0,8.0,26.0,9.0,13.0,2.0,20.0,16.0,4.0,6.0,11.0,24.0,7.0,12.0,73.0,19.0,17.0,37.0,21.0,43.0,27.0,5.0,54.0,15.0,46.0,113.0,89.0
2158,0.0,1.0,4.0,9.0,7.0,13.0,5.0,22.0,3.0,24.0,15.0,2.0,18.0,8.0,25.0,6.0,30.0,31.0,10.0,38.0,32.0,16.0,19.0,51.0,11.0,37.0,12.0,26.0,110.0,104.0
2207,0.0,1.0,2.0,10.0,12.0,26.0,7.0,28.0,3.0,14.0,8.0,4.0,23.0,9.0,20.0,19.0,15.0,31.0,34.0,11.0,41.0,17.0,32.0,24.0,6.0,35.0,25.0,13.0,55.0,70.0
2256,0.0,4.0,5.0,7.0,17.0,29.0,26.0,21.0,9.0,10.0,13.0,2.0,1.0,16.0,35.0,11.0,37.0,61.0,38.0,24.0,14.0,18.0,84.0,23.0,3.0,55.0,12.0,45.0,94.0,98.0
2305,0.0,2.0,7.0,6.0,3.0,31.0,13.0,58.0,5.0,25.0,19.0,1.0,16.0,4.0,21.0,9.0,15.0,47.0,14.0,26.0,23.0,18.0,29.0,12.0,11.0,55.0,8.0,28.0,113.0,109.0
2354,1.0,0.0,4.0,5.0,19.0,9.0,10.0,12.0,22.0,18.0,30.0,6.0,21.0,7.0,37.0,8.0,14.0,25.0,35.0,41.0,95.0,15.0,49.0,13.0,3.0,53.0,2.0,24.0,82.0,116.0
2403,3.0,0.0,2.0,9.0,6.0,19.0,8.0,25.0,1.0,11.0,15.0,5.0,4.0,72.0,39.0,10.0,14.0,16.0,26.0,27.0,12.0,18.0,29.0,30.0,13.0,51.0,23.0,43.0,73.0,88.0
2452,14.0,0.0,3.0,1.0,50.0,18.0,2.0,4.0,12.0,30.0,5.0,24.0,35.0,11.0,23.0,13.0,9.0,7.0,21.0,22.0,17.0,55.0,19.0,6.0,46.0,31.0,25.0,41.0,16.0,15.0
2501,5.0,1.0,3.0,0.0,7.0,2.0,8.0,4.0,24.0,13.0,12.0,21.0,22.0,74.0,15.0,30.0,6.0,9.0,44.0,39.0,32.0,84.0,17.0,20.0,50.0,10.0,18.0,11.0,59.0,29.0
2550,1.0,0.0,3.0,5.0,9.0,2.0,6.0,8.0,24.0,12.0,11.0,10.0,7.0,15.0,20.0,41.0,21.0,4.0,45.0,31.0,40.0,85.0,32.0,25.0,49.0,22.0,19.0,56.0,47.0,18.0
2599,6.0,0.0,1.0,7.0,11.0,2.0,5.0,3.0,15.0,4.0,19.0,44.0,28.0,21.0,10.0,17.0,37.0,22.0,57.0,20.0,47.0,85.0,32.0,26.0,31.0,9.0,63.0,69.0,16.0,29.0
2648,4.0,0.0,5.0,3.0,2.0,1.0,10.0,6.0,25.0,13.0,11.0,9.0,15.0,7.0,17.0,12.0,8.0,18.0,23.0,30.0,24.0,75.0,16.0,14.0,28.0,32.0,43.0,20.0,56.0,61.0
2697,4.0,1.0,0.0,2.0,8.0,3.0,5.0,29.0,11.0,22.0,16.0,24.0,12.0,7.0,20.0,30.0,9.0,34.0,14.0,43.0,15.0,52.0,10.0,63.0,38.0,19.0,6.0,64.0,54.0,28.0
2746,0.0,1.0,2.0,6.0,14.0,9.0,7.0,3.0,57.0,4.0,18.0,16.0,24.0,5.0,17.0,32.0,28.0,11.0,21.0,20.0,50.0,83.0,8.0,25.0,43.0,12.0,29.0,68.0,40.0,61.0
2795,1.0,0.0,6.0,4.0,21.0,11.0,3.0,5.0,17.0,12.0,9.0,26.0,14.0,16.0,7.0,46.0,22.0,13.0,38.0,58.0,30.0,90.0,18.0,10.0,47.0,24.0,2.0,35.0,53.0,39.0
2844,1.0,0.0,4.0,2.0,38.0,6.0,8.0,24.0,20.0,5.0,30.0,3.0,36.0,12.0,13.0,27.0,7.0,34.0,23.0,28.0,16.0,45.0,25.0,15.0,42.0,32.0,14.0,9.0,29.0,67.0
2893,3.0,2.0,0.0,5.0,16.0,1.0,6.0,4.0,43.0,8.0,13.0,12.0,11.0,15.0,39.0,30.0,14.0,24.0,25.0,45.0,29.0,86.0,7.0,9.0,66.0,34.0,28.0,50.0,51.0,27.0
2942,1.0,2.0,0.0,4.0,43.0,5.0,34.0,3.0,12.0,21.0,22.0,27.0,10.0,56.0,25.0,6.0,15.0,17.0,9.0,14.0,24.0,54.0,30.0,48.0,60.0,23.0,79.0,20.0,32.0,7.0
2991,1.0,0.0,2.0,5.0,6.0,14.0,38.0,4.0,11.0,10.0,17.0,12.0,7.0,3.0,23.0,16.0,29.0,42.0,18.0,24.0,19.0,60.0,132.0,30.0,28.0,20.0,77.0,33.0,13.0,8.0
3040,0.0,1.0,2.0,4.0,5.0,15.0,16.0,17.0,13.0,60.0,9.0,10.0,7.0,3.0,19.0,27.0,23.0,34.0,8.0,11.0,32.0,47.0,28.0,44.0,14.0,12.0,22.0,43.0,18.0,6.0
3089,3.0,0.0,1.0,2.0,13.0,21.0,9.0,10.0,16.0,32.0,19.0,34.0,11.0,5.0,14.0,40.0,27.0,33.0,23.0,4.0,17.0,75.0,107.0,24.0,8.0,20.0,7.0,38.0,31.0,26.0
3138,1.0,0.0,2.0,10.0,7.0,11.0,30.0,9.0,51.0,24.0,17.0,29.0,32.0,3.0,22.0,21.0,35.0,14.0,8.0,12.0,5.0,44.0,25.0,68.0,28.0,13.0,62.0,65.0,20.0,19.0
3187,1.0,0.0,2.0,3.0,8.0,16.0,24.0,12.0,10.0,15.0,18.0,22.0,23.0,4.0,17.0,50.0,41.0,43.0,5.0,14.0,21.0,42.0,48.0,62.0,19.0,29.0,36.0,20.0,11.0,6.0
3236,1.0,0.0,3.0,13.0,26.0,22.0,58.0,17.0,9.0,6.0,8.0,10.0,57.0,2.0,42.0,34.0,11.0,16.0,4.0,18.0,14.0,27.0,36.0,48.0,19.0,31.0,38.0,32.0,5.0,23.0
3285,1.0,0.0,2.0,3.0,4.0,8.0,67.0,7.0,18.0,35.0,14.0,34.0,29.0,5.0,30.0,15.0,33.0,20.0,11.0,23.0,9.0,86.0,25.0,6.0,36.0,28.0,32.0,37.0,13.0,24.0
3334,1.0,0.0,2.0,3.0,16.0,18.0,22.0,23.0,9.0,45.0,24.0,4.0,21.0,6.0,59.0,10.0,46.0,15.0,7.0,25.0,17.0,54.0,52.0,109.0,11.0,36.0,48.0,79.0,29.0,12.0
3383,2.0,0.0,3.0,1.0,9.0,19.0,10.0,7.0,25.0,31.0,11.0,8.0,36.0,6.0,73.0,24.0,27.0,22.0,12.0,17.0,13.0,20.0,35.0,48.0,33.0,29.0,30.0,45.0,42.0,4.0
3432,0.0,2.0,3.0,1.0,4.0,11.0,23.0,40.0,12.0,7.0,15.0,14.0,28.0,13.0,48.0,8.0,5.0,10.0,18.0,30.0,43.0,38.0,33.0,69.0,50.0,57.0,62.0,32.0,26.0,6.0
3481,0.0,3.0,2.0,1.0,10.0,9.0,21.0,4.0,13.0,6.0,15.0,11.0,12.0,36.0,7.0,22.0,8.0,14.0,35.0,29.0,37.0,16.0,30.0,49.0,46.0,19.0,57.0,39.0,38.0,5.0
3530,0.0,4.0,8.0,1.0,9.0,2.0,10.0,14.0,16.0,3.0,17.0,27.0,15.0,26.0,6.0,36.0,7.0,34.0,11.0,28.0,38.0,50.0,13.0,47.0,39.0,33.0,43.0,23.0,12.0,5.0
3579,2.0,0.0,3.0,1.0,4.0,24.0,27.0,34.0,8.0,7.0,18.0,28.0,17.0,55.0,10.0,32.0,45.0,36.0,12.0,44.0,6.0,53.0,22.0,56.0,40.0,11.0,68.0,23.0,13.0,5.0
3628,1.0,18.0,2.0,0.0,8.0,23.0,19.0,45.0,11.0,14.0,26.0,21.0,3.0,27.0,7.0,15.0,5.0,40.0,31.0,79.0,28.0,9.0,10.0,25.0,53.0,22.0,57.0,36.0,4.0,13.0
3677,0.0,1.0,5.0,3.0,2.0,47.0,29.0,7.0,16.0,6.0,10.0,11.0,17.0,34.0,8.0,19.0,4.0,28.0,63.0,38.0,35.0,31.0,26.0,37.0,44.0,24.0,76.0,14.0,15.0,13.0
3726,1.0,4.0,0.0,7.0,8.0,6.0,11.0,3.0,12.0,10.0,21.0,18.0,13.0,40.0,2.0,43.0,9.0,49.0,19.0,27.0,32.0,22.0,5.0,16.0,58.0,35.0,34.0,24.0,20.0,15.0
3775,0.0,2.0,4.0,3.0,1.0,9.0,24.0,8.0,29.0,23.0,13.0,10.0,14.0,57.0,16.0,19.0,7.0,50.0,12.0,25.0,18.0,30.0,6.0,35.0,38.0,26.0,79.0,33.0,22.0,5.0
3824,3.0,10.0,2.0,11.0,1.0,0.0,56.0,4.0,5.0,6.0,16.0,23.0,29.0,55.0,8.0,17.0,13.0,25.0,14.0,39.0,50.0,42.0,12.0,33.0,66.0,24.0,118.0,95.0,7.0,19.0
3873,0.0,13.0,15.0,1.0,3.0,33.0,65.0,9.0,7.0,2.0,21.0,11.0,18.0,17.0,4.0,37.0,6.0,22.0,5.0,10.0,19.0,8.0,42.0,31.0,32.0,16.0,48.0,44.0,12.0,39.0
3922,13.0,1.0,0.0,2.0,4.0,22.0,16.0,12.0,5.0,17.0,9.0,55.0,25.0,45.0,65.0,10.0,31.0,3.0,36.0,78.0,33.0,15.0,37.0,27.0,20.0,52.0,68.0,50.0,39.0,90.0
3971,4.0,2.0,0.0,1.0,10.0,8.0,19.0,6.0,15.0,5.0,3.0,34.0,9.0,52.0,23.0,27.0,51.0,7.0,45.0,16.0,36.0,20.0,11.0,43.0,39.0,14.0,56.0,38.0,28.0,78.0
4020,3.0,1.0,0.0,8.0,5.0,10.0,68.0,24.0,2.0,7.0,9.0,13.0,6.0,21.0,19.0,29.0,37.0,15.0,35.0,4.0,23.0,16.0,77.0,11.0,34.0,41.0,102.0,84.0,40.0,44.0
4069,14.0,2.0,0.0,1.0,13.0,7.0,12.0,30.0,16.0,6.0,9.0,8.0,5.0,45.0,39.0,26.0,20.0,3.0,43.0,23.0,22.0,27.0,17.0,65.0,41.0,28.0,69.0,11.0,36.0,51.0
4118,5.0,4.0,0.0,1.0,12.0,2.0,7.0,6.0,13.0,11.0,9.0,14.0,10.0,25.0,56.0,22.0,48.0,3.0,31.0,47.0,35.0,34.0,26.0,44.0,72.0,42.0,50.0,52.0,54.0,33.0
4167,15.0,3.0,0.0,2.0,8.0,7.0,10.0,9.0,6.0,4.0,5.0,16.0,13.0,35.0,11.0,26.0,24.0,1.0,75.0,48.0,72.0,43.0,30.0,33.0,22.0,19.0,82.0,70.0,31.0,44.0
4216,2.0,4.0,1.0,0.0,3.0,8.0,13.0,15.0,9.0,21.0,5.0,28.0,7.0,30.0,16.0,12.0,19.0,10.0,37.0,20.0,94.0,24.0,48.0,66.0,27.0,53.0,46.0,39.0,34.0,76.0
4265,4.0,1.0,2.0,0.0,3.0,13.0,9.0,11.0,6.0,8.0,15.0,18.0,7.0,101.0,39.0,16.0,27.0,5.0,33.0,24.0,36.0,14.0,42.0,70.0,32.0,38.0,29.0,40.0,48.0,34.0
4314,5.0,2.0,0.0,1.0,6.0,3.0,15.0,10.0,4.0,11.0,19.0,21.0,8.0,56.0,23.0,38.0,49.0,37.0,24.0,22.0,28.0,9.0,7.0,14.0,64.0,20.0,47.0,50.0,17.0,115.0
4363,16.0,8.0,0.0,1.0,5.0,2.0,9.0,7.0,11.0,6.0,4.0,18.0,14.0,34.0,10.0,26.0,22.0,17.0,30.0,88.0,27.0,12.0,20.0,48.0,69.0,15.0,24.0,84.0,101.0,53.0
4412,2.0,7.0,1.0,3.0,18.0,22.0,10.0,12.0,0.0,14.0,15.0,8.0,56.0,9.0,4.0,33.0,53.0,5.0,13.0,24.0,20.0,29.0,23.0,47.0,34.0,19.0,42.0,38.0,37.0,16.0
4461,1.0,4.0,0.0,3.0,13.0,24.0,10.0,9.0,8.0,26.0,41.0,2.0,42.0,6.0,7.0,35.0,14.0,56.0,5.0,15.0,28.0,27.0,21.0,52.0,17.0,11.0,32.0,40.0,25.0,34.0
4510,2.0,1.0,6.0,0.0,17.0,23.0,5.0,11.0,7.0,29.0,40.0,3.0,88.0,4.0,9.0,13.0,19.0,30.0,10.0,49.0,14.0,34.0,8.0,32.0,15.0,16.0,25.0,43.0,31.0,12.0
4559,0.0,1.0,5.0,2.0,6.0,8.0,18.0,12.0,4.0,28.0,7.0,11.0,64.0,3.0,10.0,17.0,9.0,45.0,25.0,21.0,29.0,26.0,13.0,44.0,33.0,40.0,20.0,60.0,69.0,56.0
4608,1.0,0.0,3.0,4.0,10.0,15.0,2.0,11.0,5.0,52.0,18.0,7.0,39.0,13.0,12.0,38.0,33.0,29.0,19.0,63.0,6.0,27.0,47.0,28.0,25.0,8.0,21.0,48.0,80.0,9.0
4657,7.0,1.0,0.0,2.0,8.0,6.0,33.0,41.0,3.0,44.0,18.0,5.0,36.0,4.0,43.0,16.0,19.0,47.0,10.0,28.0,59.0,13.0,35.0,53.0,32.0,40.0,14.0,21.0,9.0,34.0
4706,0.0,2.0,1.0,6.0,21.0,11.0,16.0,8.0,7.0,20.0,32.0,3.0,35.0,4.0,5.0,10.0,39.0,64.0,14.0,34.0,43.0,25.0,13.0,18.0,19.0,40.0,29.0,17.0,26.0,49.0
4755,1.0,4.0,0.0,6.0,18.0,22.0,27.0,3.0,10.0,42.0,32.0,15.0,35.0,2.0,5.0,8.0,12.0,47.0,17.0,25.0,13.0,11.0,86.0,14.0,21.0,16.0,7.0,92.0,106.0,36.0
4804,1.0,3.0,2.0,0.0,18.0,12.0,13.0,33.0,4.0,32.0,26.0,6.0,72.0,5.0,7.0,19.0,10.0,73.0,9.0,17.0,27.0,24.0,15.0,35.0,8.0,59.0,11.0,61.0,44.0,21.0
4853,1.0,3.0,6.0,0.0,19.0,10.0,7.0,41.0,4.0,25.0,16.0,9.0,28.0,2.0,5.0,14.0,31.0,58.0,13.0,15.0,8.0,11.0,21.0,24.0,30.0,27.0,12.0,102.0,87.0,18.0
