,GAPDH,MSH6,HSP70,Gab2,AR,P-Cadherin,PI3K-p85,Cyclin_D1,Claudin-7,Rb_pS807_S811,Porin,Bcl-2,GSK-3-BETA,C-Raf_pS338,TSC1,FoxM1,ADAR1,MIG-6,Caspase-7_cleavedD198,p90RSK_pT573,CD31,YB-1_pS102,Cyclin_E2,Chk1_pS345,Rb,Bax,PKC-alpha,RAD51,Beclin,CDK1
541,1.0,3.0,2.0,29.0,7.0,4.0,10.0,6.0,0.0,5.0,11.0,21.0,14.0,20.0,9.0,13.0,8.0,22.0,56.0,51.0,15.0,23.0,25.0,42.0,12.0,26.0,16.0,28.0,36.0,30.0
590,9.0,2.0,6.0,7.0,11.0,1.0,13.0,5.0,21.0,3.0,15.0,12.0,32.0,18.0,4.0,19.0,0.0,14.0,89.0,35.0,10.0,36.0,26.0,55.0,17.0,27.0,54.0,23.0,25.0,29.0
639,18.0,2.0,1.0,16.0,0.0,3.0,17.0,4.0,12.0,8.0,10.0,14.0,6.0,7.0,30.0,24.0,5.0,13.0,67.0,35.0,21.0,44.0,11.0,39.0,20.0,32.0,65.0,9.0,49.0,41.0
688,15.0,4.0,0.0,6.0,1.0,12.0,3.0,2.0,5.0,11.0,19.0,8.0,24.0,14.0,17.0,46.0,13.0,18.0,68.0,34.0,16.0,33.0,40.0,27.0,9.0,26.0,28.0,21.0,42.0,29.0
737,5.0,0.0,1.0,13.0,6.0,8.0,4.0,12.0,3.0,2.0,17.0,7.0,26.0,20.0,15.0,11.0,14.0,35.0,90.0,65.0,19.0,32.0,38.0,9.0,18.0,66.0,33.0,10.0,27.0,22.0
786,1.0,0.0,5.0,16.0,2.0,7.0,10.0,11.0,9.0,3.0,28.0,18.0,8.0,17.0,25.0,21.0,4.0,36.0,33.0,70.0,29.0,38.0,40.0,15.0,24.0,19.0,30.0,14.0,65.0,20.0
835,4.0,11.0,7.0,16.0,0.0,14.0,2.0,6.0,18.0,22.0,13.0,5.0,12.0,3.0,25.0,17.0,1.0,30.0,84.0,45.0,10.0,38.0,31.0,33.0,15.0,54.0,20.0,26.0,21.0,24.0
884,5.0,1.0,0.0,13.0,6.0,7.0,3.0,10.0,18.0,16.0,26.0,2.0,20.0,12.0,15.0,33.0,9.0,4.0,42.0,30.0,14.0,28.0,11.0,27.0,37.0,17.0,31.0,36.0,49.0,8.0
933,3.0,2.0,0.0,12.0,7.0,1.0,16.0,10.0,20.0,8.0,9.0,5.0,6.0,13.0,21.0,4.0,19.0,26.0,81.0,39.0,14.0,15.0,37.0,45.0,63.0,40.0,11.0,31.0,27.0,28.0
982,0.0,1.0,7.0,13.0,30.0,3.0,23.0,6.0,9.0,18.0,8.0,35.0,37.0,26.0,44.0,14.0,17.0,22.0,24.0,20.0,15.0,12.0,2.0,27.0,47.0,50.0,39.0,54.0,59.0,11.0
1031,2.0,0.0,5.0,6.0,11.0,44.0,8.0,3.0,13.0,12.0,18.0,28.0,27.0,17.0,9.0,14.0,7.0,21.0,34.0,36.0,25.0,23.0,10.0,64.0,46.0,39.0,15.0,43.0,50.0,16.0
1080,4.0,3.0,1.0,0.0,8.0,2.0,27.0,19.0,38.0,37.0,11.0,46.0,56.0,10.0,21.0,9.0,16.0,28.0,5.0,7.0,25.0,20.0,17.0,39.0,62.0,69.0,33.0,13.0,18.0,23.0
1129,0.0,7.0,2.0,13.0,3.0,12.0,14.0,4.0,6.0,10.0,19.0,26.0,35.0,8.0,57.0,16.0,18.0,20.0,29.0,9.0,24.0,33.0,15.0,36.0,43.0,25.0,22.0,23.0,37.0,11.0
1178,2.0,17.0,6.0,24.0,15.0,27.0,1.0,20.0,33.0,19.0,43.0,30.0,92.0,28.0,32.0,4.0,23.0,8.0,26.0,13.0,21.0,25.0,11.0,47.0,46.0,51.0,7.0,29.0,57.0,12.0
1227,0.0,1.0,8.0,44.0,5.0,7.0,11.0,10.0,17.0,20.0,30.0,14.0,12.0,24.0,18.0,4.0,3.0,50.0,40.0,13.0,15.0,36.0,2.0,41.0,47.0,43.0,62.0,25.0,35.0,6.0
1276,3.0,1.0,0.0,10.0,9.0,4.0,15.0,6.0,28.0,11.0,17.0,29.0,55.0,7.0,41.0,13.0,26.0,5.0,16.0,33.0,14.0,62.0,2.0,35.0,30.0,48.0,34.0,20.0,31.0,22.0
1325,1.0,0.0,21.0,7.0,8.0,9.0,5.0,4.0,12.0,22.0,14.0,26.0,63.0,6.0,19.0,38.0,17.0,2.0,36.0,24.0,16.0,10.0,11.0,68.0,42.0,31.0,37.0,28.0,35.0,25.0
1374,3.0,0.0,10.0,4.0,33.0,1.0,14.0,6.0,26.0,8.0,12.0,40.0,30.0,42.0,45.0,2.0,22.0,18.0,41.0,13.0,16.0,36.0,11.0,27.0,50.0,47.0,7.0,17.0,44.0,25.0
1423,0.0,1.0,7.0,9.0,71.0,4.0,10.0,3.0,12.0,15.0,11.0,22.0,37.0,35.0,21.0,17.0,2.0,8.0,63.0,23.0,13.0,26.0,18.0,24.0,33.0,44.0,31.0,36.0,27.0,16.0
1472,2.0,3.0,4.0,0.0,48.0,8.0,1.0,9.0,16.0,5.0,13.0,14.0,18.0,10.0,15.0,22.0,7.0,49.0,61.0,6.0,35.0,28.0,44.0,42.0,31.0,24.0,32.0,58.0,12.0,17.0
1521,7.0,2.0,1.0,0.0,6.0,12.0,4.0,5.0,19.0,17.0,20.0,21.0,18.0,9.0,55.0,44.0,16.0,24.0,28.0,22.0,15.0,27.0,48.0,68.0,14.0,11.0,49.0,37.0,8.0,46.0
1570,6.0,1.0,11.0,2.0,7.0,26.0,0.0,9.0,5.0,8.0,10.0,24.0,22.0,3.0,15.0,34.0,27.0,13.0,35.0,18.0,23.0,17.0,52.0,45.0,25.0,20.0,40.0,51.0,4.0,31.0
1619,7.0,1.0,3.0,0.0,10.0,12.0,2.0,6.0,8.0,23.0,25.0,34.0,26.0,11.0,13.0,29.0,4.0,38.0,50.0,14.0,41.0,60.0,64.0,36.0,24.0,5.0,15.0,78.0,16.0,42.0
1668,12.0,8.0,2.0,1.0,4.0,9.0,0.0,5.0,34.0,7.0,42.0,10.0,15.0,18.0,19.0,32.0,3.0,23.0,45.0,11.0,44.0,39.0,16.0,31.0,6.0,29.0,17.0,27.0,22.0,13.0
1717,7.0,1.0,2.0,0.0,5.0,3.0,4.0,13.0,34.0,19.0,11.0,16.0,12.0,8.0,29.0,21.0,35.0,15.0,52.0,9.0,26.0,28.0,30.0,49.0,43.0,39.0,10.0,66.0,31.0,14.0
1766,3.0,6.0,5.0,1.0,10.0,8.0,0.0,2.0,34.0,26.0,7.0,32.0,11.0,18.0,22.0,27.0,4.0,9.0,35.0,14.0,20.0,36.0,33.0,48.0,15.0,17.0,16.0,79.0,21.0,23.0
1815,3.0,1.0,5.0,0.0,10.0,8.0,4.0,2.0,7.0,19.0,9.0,14.0,36.0,6.0,21.0,30.0,17.0,43.0,45.0,11.0,33.0,18.0,28.0,42.0,25.0,15.0,32.0,95.0,13.0,31.0
1864,1.0,6.0,2.0,0.0,19.0,5.0,4.0,3.0,12.0,34.0,29.0,15.0,14.0,16.0,11.0,22.0,7.0,17.0,56.0,10.0,37.0,40.0,68.0,36.0,39.0,8.0,21.0,59.0,9.0,23.0
1913,3.0,9.0,2.0,0.0,30.0,6.0,1.0,8.0,52.0,25.0,21.0,10.0,24.0,11.0,15.0,18.0,4.0,20.0,28.0,27.0,31.0,35.0,50.0,38.0,34.0,13.0,40.0,74.0,7.0,14.0
1962,19.0,0.0,1.0,18.0,5.0,8.0,4.0,29.0,17.0,2.0,9.0,16.0,67.0,50.0,28.0,6.0,44.0,7.0,14.0,13.0,22.0,33.0,27.0,3.0,15.0,64.0,10.0,42.0,40.0,25.0
2011,23.0,0.0,7.0,8.0,1.0,2.0,16.0,9.0,17.0,14.0,4.0,3.0,33.0,18.0,28.0,47.0,42.0,21.0,19.0,13.0,15.0,10.0,26.0,22.0,43.0,34.0,27.0,37.0,29.0,38.0
2060,10.0,1.0,2.0,3.0,16.0,0.0,4.0,51.0,19.0,7.0,17.0,12.0,22.0,31.0,61.0,8.0,76.0,36.0,29.0,14.0,18.0,9.0,24.0,6.0,43.0,62.0,5.0,79.0,13.0,38.0
2109,16.0,0.0,2.0,13.0,4.0,14.0,5.0,10.0,19.0,12.0,8.0,1.0,54.0,37.0,42.0,3.0,33.0,6.0,72.0,48.0,31.0,20.0,22.0,15.0,7.0,40.0,17.0,18.0,58.0,23.0
2158,1.0,0.0,5.0,2.0,4.0,3.0,29.0,38.0,17.0,23.0,10.0,6.0,50.0,36.0,60.0,7.0,35.0,32.0,20.0,12.0,27.0,9.0,28.0,11.0,46.0,24.0,8.0,22.0,33.0,34.0
2207,1.0,5.0,4.0,48.0,2.0,3.0,6.0,32.0,15.0,7.0,9.0,14.0,20.0,27.0,29.0,26.0,43.0,19.0,21.0,34.0,23.0,11.0,30.0,10.0,13.0,57.0,0.0,12.0,37.0,40.0
2256,1.0,4.0,7.0,12.0,2.0,14.0,6.0,25.0,11.0,13.0,0.0,8.0,17.0,34.0,23.0,19.0,49.0,41.0,21.0,27.0,16.0,9.0,29.0,3.0,38.0,15.0,5.0,33.0,20.0,28.0
2305,0.0,1.0,2.0,5.0,15.0,12.0,9.0,37.0,7.0,4.0,10.0,18.0,36.0,69.0,33.0,20.0,14.0,25.0,3.0,27.0,28.0,23.0,84.0,8.0,21.0,22.0,6.0,26.0,42.0,41.0
2354,0.0,1.0,9.0,5.0,13.0,3.0,7.0,25.0,35.0,2.0,12.0,4.0,10.0,48.0,32.0,21.0,6.0,11.0,28.0,39.0,30.0,8.0,17.0,24.0,42.0,18.0,16.0,44.0,40.0,29.0
2403,2.0,0.0,13.0,9.0,14.0,4.0,7.0,24.0,5.0,19.0,20.0,6.0,40.0,16.0,57.0,38.0,31.0,1.0,34.0,33.0,23.0,3.0,42.0,10.0,37.0,46.0,11.0,48.0,28.0,18.0
2452,0.0,1.0,5.0,16.0,22.0,15.0,4.0,10.0,6.0,2.0,8.0,26.0,9.0,29.0,32.0,12.0,3.0,42.0,24.0,44.0,25.0,14.0,20.0,28.0,18.0,17.0,37.0,27.0,50.0,36.0
2501,0.0,3.0,1.0,20.0,2.0,9.0,12.0,6.0,5.0,4.0,23.0,30.0,8.0,27.0,22.0,34.0,15.0,16.0,28.0,52.0,25.0,17.0,36.0,61.0,7.0,53.0,18.0,35.0,19.0,37.0
2550,0.0,1.0,9.0,57.0,22.0,37.0,15.0,6.0,3.0,2.0,4.0,45.0,38.0,14.0,7.0,25.0,19.0,11.0,34.0,43.0,29.0,18.0,27.0,21.0,5.0,65.0,31.0,12.0,40.0,13.0
2599,0.0,2.0,1.0,5.0,4.0,26.0,21.0,16.0,3.0,17.0,6.0,7.0,25.0,15.0,29.0,20.0,41.0,33.0,14.0,27.0,19.0,31.0,10.0,34.0,9.0,13.0,11.0,46.0,43.0,32.0
2648,0.0,3.0,8.0,42.0,18.0,5.0,6.0,4.0,10.0,11.0,1.0,7.0,17.0,24.0,39.0,46.0,2.0,19.0,12.0,16.0,20.0,30.0,27.0,47.0,21.0,22.0,14.0,48.0,15.0,31.0
2697,0.0,1.0,3.0,12.0,5.0,15.0,21.0,9.0,4.0,2.0,17.0,23.0,7.0,42.0,19.0,44.0,14.0,35.0,11.0,28.0,22.0,38.0,20.0,25.0,6.0,34.0,8.0,36.0,60.0,24.0
2746,0.0,2.0,1.0,27.0,4.0,12.0,7.0,10.0,8.0,5.0,16.0,34.0,32.0,18.0,9.0,17.0,15.0,11.0,6.0,28.0,13.0,22.0,3.0,44.0,24.0,14.0,33.0,31.0,42.0,25.0
2795,0.0,8.0,1.0,3.0,6.0,4.0,15.0,5.0,2.0,24.0,31.0,39.0,12.0,26.0,7.0,30.0,13.0,48.0,43.0,38.0,27.0,33.0,16.0,14.0,9.0,18.0,29.0,20.0,54.0,32.0
2844,0.0,3.0,1.0,10.0,24.0,2.0,41.0,8.0,7.0,5.0,6.0,21.0,4.0,37.0,12.0,11.0,19.0,42.0,17.0,57.0,32.0,50.0,18.0,31.0,35.0,16.0,23.0,26.0,13.0,60.0
2893,0.0,1.0,3.0,16.0,6.0,15.0,8.0,5.0,4.0,20.0,7.0,56.0,22.0,9.0,2.0,26.0,11.0,46.0,18.0,82.0,25.0,53.0,28.0,33.0,39.0,17.0,14.0,32.0,37.0,19.0
2942,0.0,37.0,1.0,2.0,6.0,12.0,3.0,10.0,14.0,20.0,5.0,13.0,8.0,15.0,7.0,18.0,36.0,32.0,9.0,56.0,4.0,38.0,17.0,24.0,39.0,62.0,50.0,46.0,73.0,25.0
2991,4.0,19.0,3.0,2.0,6.0,0.0,5.0,14.0,15.0,27.0,1.0,32.0,33.0,42.0,10.0,11.0,9.0,18.0,16.0,47.0,13.0,37.0,22.0,20.0,39.0,28.0,52.0,35.0,41.0,31.0
3040,0.0,10.0,2.0,5.0,43.0,7.0,13.0,6.0,12.0,15.0,4.0,9.0,3.0,67.0,8.0,28.0,19.0,22.0,1.0,65.0,37.0,50.0,30.0,29.0,59.0,11.0,14.0,58.0,39.0,51.0
3089,2.0,13.0,1.0,6.0,9.0,42.0,7.0,3.0,47.0,8.0,0.0,11.0,4.0,14.0,5.0,18.0,44.0,17.0,26.0,54.0,19.0,70.0,10.0,43.0,21.0,50.0,36.0,33.0,68.0,41.0
3138,1.0,18.0,0.0,3.0,15.0,16.0,9.0,5.0,14.0,47.0,2.0,8.0,30.0,19.0,4.0,33.0,61.0,21.0,26.0,48.0,6.0,34.0,41.0,56.0,45.0,10.0,70.0,68.0,76.0,40.0
3187,2.0,4.0,3.0,16.0,10.0,9.0,0.0,6.0,11.0,8.0,1.0,15.0,30.0,31.0,7.0,33.0,47.0,12.0,5.0,39.0,13.0,26.0,41.0,28.0,21.0,29.0,40.0,37.0,53.0,42.0
3236,1.0,14.0,0.0,2.0,8.0,12.0,9.0,6.0,18.0,11.0,3.0,7.0,17.0,46.0,21.0,26.0,32.0,39.0,5.0,45.0,16.0,66.0,24.0,15.0,22.0,13.0,25.0,23.0,78.0,33.0
3285,0.0,13.0,6.0,4.0,11.0,8.0,5.0,7.0,3.0,36.0,1.0,10.0,20.0,14.0,22.0,43.0,66.0,2.0,18.0,64.0,12.0,23.0,17.0,38.0,30.0,65.0,28.0,52.0,16.0,34.0
3334,1.0,15.0,2.0,10.0,14.0,6.0,3.0,9.0,44.0,12.0,0.0,16.0,4.0,38.0,5.0,19.0,63.0,45.0,11.0,61.0,17.0,24.0,8.0,31.0,21.0,32.0,52.0,87.0,41.0,20.0
3383,4.0,8.0,1.0,11.0,29.0,3.0,0.0,5.0,32.0,31.0,2.0,15.0,12.0,43.0,16.0,46.0,34.0,22.0,6.0,49.0,21.0,39.0,7.0,14.0,57.0,18.0,23.0,33.0,63.0,47.0
3432,3.0,0.0,1.0,12.0,2.0,8.0,20.0,4.0,15.0,22.0,11.0,7.0,10.0,18.0,31.0,30.0,91.0,26.0,6.0,51.0,47.0,33.0,9.0,13.0,23.0,40.0,27.0,38.0,14.0,35.0
3481,0.0,2.0,8.0,5.0,11.0,14.0,30.0,6.0,17.0,10.0,13.0,9.0,7.0,18.0,35.0,12.0,25.0,23.0,3.0,28.0,29.0,36.0,1.0,19.0,67.0,27.0,15.0,44.0,4.0,55.0
3530,0.0,2.0,11.0,4.0,10.0,14.0,21.0,3.0,9.0,8.0,1.0,5.0,13.0,31.0,16.0,18.0,41.0,36.0,7.0,19.0,38.0,15.0,12.0,20.0,34.0,22.0,43.0,58.0,6.0,51.0
3579,0.0,7.0,2.0,1.0,3.0,18.0,16.0,9.0,6.0,11.0,4.0,20.0,17.0,13.0,19.0,5.0,43.0,38.0,12.0,28.0,40.0,24.0,14.0,21.0,48.0,25.0,67.0,29.0,8.0,23.0
3628,1.0,2.0,6.0,8.0,3.0,13.0,21.0,5.0,4.0,16.0,0.0,18.0,10.0,12.0,44.0,19.0,48.0,36.0,17.0,24.0,35.0,26.0,15.0,14.0,38.0,64.0,37.0,25.0,7.0,62.0
3677,1.0,0.0,5.0,6.0,2.0,8.0,22.0,10.0,11.0,13.0,3.0,20.0,17.0,15.0,12.0,16.0,24.0,29.0,14.0,21.0,39.0,26.0,4.0,35.0,25.0,48.0,42.0,47.0,7.0,59.0
3726,0.0,7.0,6.0,1.0,4.0,17.0,21.0,3.0,2.0,9.0,5.0,12.0,8.0,26.0,14.0,13.0,45.0,27.0,16.0,30.0,39.0,24.0,15.0,32.0,28.0,86.0,23.0,44.0,10.0,51.0
3775,1.0,0.0,5.0,6.0,8.0,21.0,33.0,7.0,2.0,12.0,3.0,22.0,11.0,15.0,17.0,14.0,48.0,57.0,9.0,23.0,39.0,25.0,10.0,18.0,29.0,82.0,49.0,20.0,4.0,42.0
3824,0.0,1.0,20.0,14.0,6.0,24.0,23.0,2.0,3.0,16.0,5.0,13.0,15.0,9.0,11.0,8.0,28.0,29.0,12.0,42.0,40.0,18.0,4.0,22.0,33.0,59.0,56.0,21.0,7.0,46.0
3873,0.0,2.0,11.0,7.0,8.0,3.0,39.0,6.0,4.0,18.0,1.0,5.0,10.0,47.0,14.0,9.0,20.0,17.0,19.0,46.0,31.0,26.0,24.0,23.0,62.0,63.0,52.0,30.0,13.0,33.0
3922,3.0,0.0,1.0,4.0,7.0,11.0,29.0,8.0,18.0,44.0,21.0,9.0,20.0,15.0,39.0,22.0,38.0,6.0,41.0,5.0,12.0,2.0,17.0,27.0,28.0,24.0,35.0,57.0,61.0,37.0
3971,0.0,3.0,2.0,1.0,15.0,13.0,19.0,11.0,9.0,16.0,30.0,8.0,25.0,48.0,28.0,7.0,5.0,12.0,14.0,6.0,23.0,4.0,18.0,41.0,21.0,49.0,31.0,33.0,37.0,46.0
4020,4.0,0.0,10.0,13.0,3.0,1.0,22.0,17.0,6.0,18.0,19.0,9.0,5.0,47.0,15.0,43.0,25.0,31.0,49.0,2.0,14.0,7.0,42.0,24.0,41.0,11.0,34.0,62.0,67.0,30.0
4069,9.0,11.0,4.0,2.0,0.0,1.0,36.0,16.0,3.0,8.0,19.0,7.0,22.0,10.0,41.0,23.0,6.0,14.0,12.0,15.0,17.0,27.0,49.0,29.0,28.0,5.0,123.0,21.0,51.0,26.0
4118,1.0,2.0,28.0,0.0,4.0,5.0,23.0,8.0,6.0,26.0,21.0,12.0,19.0,7.0,17.0,11.0,27.0,16.0,10.0,22.0,20.0,3.0,66.0,25.0,24.0,33.0,76.0,34.0,15.0,48.0
4167,2.0,0.0,4.0,15.0,1.0,3.0,10.0,18.0,17.0,24.0,76.0,7.0,26.0,30.0,8.0,48.0,12.0,9.0,5.0,20.0,11.0,6.0,46.0,25.0,21.0,19.0,59.0,50.0,38.0,32.0
4216,1.0,3.0,2.0,5.0,9.0,0.0,13.0,19.0,6.0,10.0,22.0,4.0,23.0,35.0,20.0,41.0,12.0,21.0,31.0,7.0,17.0,8.0,44.0,48.0,15.0,46.0,66.0,52.0,60.0,25.0
4265,6.0,0.0,17.0,3.0,4.0,5.0,2.0,16.0,19.0,7.0,20.0,8.0,12.0,48.0,10.0,52.0,9.0,54.0,32.0,18.0,27.0,1.0,63.0,33.0,11.0,25.0,89.0,64.0,80.0,29.0
4314,6.0,0.0,1.0,14.0,7.0,2.0,30.0,13.0,3.0,11.0,5.0,9.0,8.0,19.0,26.0,31.0,37.0,34.0,4.0,15.0,18.0,16.0,82.0,45.0,10.0,68.0,74.0,39.0,25.0,48.0
4363,2.0,0.0,1.0,31.0,12.0,8.0,13.0,9.0,17.0,21.0,3.0,10.0,24.0,37.0,14.0,38.0,74.0,49.0,19.0,7.0,20.0,18.0,66.0,54.0,28.0,25.0,48.0,61.0,11.0,32.0
4412,3.0,4.0,1.0,0.0,2.0,8.0,9.0,17.0,11.0,10.0,39.0,20.0,5.0,45.0,18.0,13.0,15.0,41.0,22.0,14.0,69.0,35.0,55.0,7.0,19.0,16.0,6.0,25.0,28.0,64.0
4461,1.0,2.0,5.0,0.0,4.0,15.0,47.0,26.0,6.0,13.0,32.0,19.0,3.0,35.0,17.0,8.0,18.0,27.0,54.0,10.0,28.0,41.0,31.0,9.0,50.0,25.0,12.0,16.0,14.0,53.0
4510,7.0,2.0,0.0,1.0,12.0,11.0,14.0,6.0,3.0,9.0,35.0,18.0,4.0,37.0,13.0,24.0,15.0,21.0,8.0,17.0,40.0,31.0,16.0,43.0,22.0,54.0,5.0,23.0,51.0,19.0
4559,5.0,2.0,0.0,6.0,1.0,13.0,18.0,19.0,20.0,9.0,37.0,14.0,4.0,15.0,26.0,10.0,29.0,8.0,25.0,24.0,35.0,36.0,31.0,23.0,11.0,41.0,7.0,12.0,28.0,47.0
4608,0.0,10.0,3.0,1.0,4.0,21.0,27.0,16.0,19.0,5.0,20.0,14.0,2.0,13.0,9.0,6.0,31.0,59.0,34.0,7.0,39.0,26.0,61.0,8.0,48.0,25.0,17.0,11.0,24.0,83.0
4657,2.0,3.0,5.0,0.0,4.0,7.0,8.0,31.0,12.0,23.0,24.0,20.0,1.0,49.0,14.0,16.0,32.0,26.0,15.0,22.0,33.0,21.0,47.0,10.0,37.0,19.0,6.0,13.0,30.0,41.0
4706,0.0,4.0,3.0,1.0,12.0,9.0,30.0,8.0,2.0,5.0,18.0,24.0,7.0,22.0,31.0,6.0,20.0,41.0,13.0,23.0,35.0,39.0,104.0,14.0,26.0,40.0,10.0,11.0,15.0,86.0
4755,2.0,1.0,6.0,3.0,0.0,9.0,11.0,32.0,4.0,23.0,43.0,19.0,5.0,7.0,26.0,13.0,25.0,12.0,15.0,14.0,44.0,10.0,36.0,18.0,63.0,21.0,20.0,27.0,16.0,53.0
4804,12.0,14.0,15.0,3.0,0.0,16.0,34.0,71.0,8.0,11.0,60.0,13.0,4.0,9.0,10.0,17.0,18.0,74.0,58.0,63.0,27.0,53.0,52.0,1.0,38.0,26.0,5.0,2.0,68.0,33.0
4853,1.0,25.0,8.0,0.0,5.0,4.0,50.0,44.0,17.0,22.0,24.0,15.0,2.0,45.0,33.0,34.0,9.0,32.0,6.0,16.0,21.0,7.0,28.0,11.0,64.0,29.0,46.0,23.0,67.0,54.0
