, JAK-STAT, PI3K_only, TNFa, IL-1, TLR, VEGF, MAPK_only, H2O2, MAPK_PI3K, TGFB, Wnt
1899,0.0,3.0,4.0,2.0,1.0,5.0,6.0,10.0,9.0,7.0,8.0
1948,0.0,1.0,6.0,2.0,4.0,3.0,5.0,7.0,9.0,10.0,8.0
1997,0.0,5.0,6.0,1.0,2.0,4.0,3.0,7.0,8.0,9.0,10.0
2046,0.0,2.0,4.0,1.0,3.0,6.0,5.0,9.0,7.0,8.0,10.0
2095,0.0,2.0,1.0,3.0,4.0,6.0,5.0,8.0,7.0,10.0,9.0
2144,0.0,2.0,1.0,5.0,6.0,4.0,3.0,7.0,8.0,10.0,9.0
2193,0.0,2.0,1.0,3.0,5.0,6.0,4.0,8.0,7.0,9.0,10.0
2242,0.0,4.0,1.0,2.0,3.0,5.0,6.0,9.0,7.0,8.0,10.0
2291,0.0,5.0,2.0,1.0,3.0,4.0,6.0,9.0,8.0,7.0,10.0
2340,0.0,5.0,4.0,2.0,1.0,3.0,6.0,8.0,10.0,7.0,9.0
2389,0.0,5.0,1.0,4.0,3.0,6.0,2.0,9.0,7.0,8.0,10.0
2438,0.0,3.0,1.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0
2487,0.0,6.0,1.0,2.0,3.0,4.0,5.0,9.0,7.0,8.0,10.0
2536,0.0,3.0,2.0,1.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
2585,0.0,2.0,6.0,3.0,1.0,5.0,4.0,7.0,9.0,8.0,10.0
2634,0.0,4.0,1.0,2.0,3.0,5.0,6.0,7.0,9.0,8.0,10.0
2683,0.0,1.0,4.0,3.0,5.0,2.0,6.0,7.0,10.0,9.0,8.0
2732,0.0,3.0,1.0,4.0,2.0,5.0,6.0,7.0,9.0,8.0,10.0
2781,0.0,3.0,2.0,1.0,4.0,5.0,9.0,6.0,8.0,7.0,10.0
2830,0.0,5.0,3.0,2.0,1.0,4.0,6.0,10.0,8.0,7.0,9.0
2879,0.0,3.0,2.0,1.0,4.0,6.0,5.0,7.0,8.0,10.0,9.0
2928,0.0,4.0,2.0,1.0,3.0,6.0,5.0,7.0,10.0,9.0,8.0
2977,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3026,0.0,1.0,4.0,3.0,5.0,2.0,7.0,9.0,8.0,6.0,10.0
3075,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,9.0,7.0,10.0
3124,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,9.0,7.0,10.0
3173,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,10.0,8.0,9.0
3222,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
3271,0.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,8.0,9.0,10.0
3320,0.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,9.0,10.0
3369,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0
3418,0.0,3.0,1.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
3467,0.0,1.0,2.0,4.0,5.0,3.0,6.0,9.0,10.0,8.0,7.0
3516,0.0,2.0,3.0,1.0,5.0,4.0,6.0,8.0,7.0,10.0,9.0
3565,0.0,2.0,1.0,4.0,3.0,6.0,5.0,10.0,8.0,9.0,7.0
3614,0.0,3.0,2.0,1.0,4.0,5.0,6.0,8.0,9.0,10.0,7.0
3663,0.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0,7.0
3712,0.0,2.0,3.0,1.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0
3761,0.0,4.0,2.0,1.0,5.0,3.0,8.0,6.0,7.0,10.0,9.0
3810,0.0,5.0,4.0,2.0,3.0,1.0,6.0,8.0,7.0,10.0,9.0
3859,0.0,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,10.0,9.0
3908,0.0,1.0,2.0,3.0,4.0,5.0,9.0,6.0,10.0,8.0,7.0
3957,0.0,5.0,4.0,1.0,2.0,3.0,7.0,9.0,8.0,6.0,10.0
4006,0.0,3.0,2.0,4.0,1.0,5.0,6.0,9.0,8.0,7.0,10.0
4055,0.0,5.0,1.0,4.0,2.0,3.0,6.0,10.0,8.0,7.0,9.0
4104,0.0,3.0,1.0,5.0,2.0,4.0,6.0,9.0,7.0,8.0,10.0
4153,0.0,4.0,1.0,3.0,5.0,2.0,6.0,10.0,9.0,8.0,7.0
4202,0.0,2.0,3.0,5.0,1.0,4.0,7.0,8.0,6.0,9.0,10.0
4251,0.0,4.0,3.0,1.0,2.0,5.0,6.0,10.0,8.0,7.0,9.0
4300,0.0,4.0,5.0,2.0,1.0,3.0,6.0,8.0,9.0,7.0,10.0
4349,0.0,4.0,3.0,5.0,2.0,1.0,6.0,9.0,8.0,7.0,10.0
4398,0.0,1.0,5.0,3.0,2.0,4.0,8.0,7.0,6.0,9.0,10.0
4447,0.0,2.0,3.0,1.0,4.0,5.0,7.0,8.0,10.0,6.0,9.0
4496,0.0,1.0,3.0,2.0,4.0,8.0,7.0,5.0,9.0,6.0,10.0
4545,0.0,1.0,5.0,3.0,2.0,4.0,7.0,6.0,9.0,8.0,10.0
4594,0.0,1.0,4.0,3.0,5.0,2.0,6.0,7.0,8.0,10.0,9.0
4643,0.0,1.0,4.0,2.0,3.0,5.0,6.0,7.0,9.0,8.0,10.0
4692,0.0,3.0,2.0,1.0,4.0,5.0,6.0,9.0,7.0,8.0,10.0
4741,0.0,2.0,1.0,3.0,4.0,5.0,9.0,7.0,8.0,6.0,10.0
4790,0.0,1.0,2.0,3.0,4.0,5.0,8.0,6.0,9.0,7.0,10.0
4839,0.0,1.0,4.0,2.0,7.0,3.0,6.0,8.0,9.0,10.0,5.0
4888,0.0,1.0,2.0,5.0,4.0,3.0,6.0,8.0,9.0,7.0,10.0
