,hsa-miR-616,hsa-miR-329,hsa-miR-630,hsa-miR-627,hsa-miR-584,hsa-miR-588,hsa-miR-103,ebv-miR-BART7,hsa-miR-339-5p,hsa-miR-196b,hsa-miR-494,hsa-miR-1226,hsa-miR-198,hsa-miR-518d-3p,kshv-miR-K12-11,hsa-miR-1538,hsa-miR-369-5p,hsa-miR-2052,hsa-miR-564,hsa-miR-323-3p,hsa-miR-373,kshv-miR-K12-6-3p,hsa-miR-187,hsa-miR-126,hsa-miR-1197,hsa-miR-137,hsa-miR-548d-5p,hsa-let-7c,hsa-miR-181c,hsa-miR-455-5p
1048,34.0,31.0,102.0,27.0,28.0,48.0,40.0,99.0,180.0,430.0,82.0,170.0,58.0,555.0,289.0,90.0,153.0,420.0,151.0,125.0,44.0,69.0,87.0,161.0,106.0,133.0,35.0,468.0,64.0,52.0
1097,51.0,79.0,126.0,40.0,21.0,97.0,76.0,113.0,3.0,50.0,33.0,444.0,139.0,549.0,67.0,93.0,20.0,29.0,235.0,39.0,92.0,112.0,370.0,66.0,449.0,69.0,23.0,463.0,77.0,136.0
1146,5.0,29.0,61.0,155.0,19.0,49.0,154.0,70.0,14.0,425.0,144.0,47.0,11.0,554.0,283.0,46.0,15.0,416.0,63.0,110.0,78.0,161.0,116.0,149.0,455.0,165.0,373.0,467.0,99.0,522.0
1195,24.0,39.0,330.0,128.0,72.0,97.0,27.0,125.0,56.0,139.0,47.0,131.0,93.0,60.0,280.0,98.0,17.0,73.0,106.0,627.0,603.0,101.0,372.0,79.0,456.0,88.0,197.0,45.0,146.0,81.0
1244,152.0,33.0,111.0,130.0,24.0,115.0,84.0,59.0,90.0,427.0,147.0,138.0,422.0,558.0,332.0,168.0,47.0,177.0,42.0,12.0,32.0,74.0,10.0,121.0,454.0,165.0,194.0,4.0,28.0,523.0
1293,17.0,38.0,109.0,107.0,33.0,42.0,145.0,84.0,34.0,420.0,52.0,32.0,15.0,115.0,266.0,161.0,110.0,65.0,134.0,46.0,35.0,101.0,383.0,97.0,455.0,73.0,236.0,56.0,144.0,76.0
1342,40.0,36.0,148.0,83.0,35.0,18.0,178.0,169.0,118.0,377.0,533.0,458.0,16.0,70.0,266.0,162.0,49.0,172.0,257.0,104.0,20.0,248.0,72.0,153.0,37.0,69.0,376.0,91.0,111.0,48.0
1391,11.0,32.0,175.0,45.0,148.0,68.0,146.0,110.0,2.0,428.0,52.0,49.0,422.0,54.0,74.0,21.0,23.0,136.0,122.0,581.0,13.0,38.0,377.0,82.0,26.0,81.0,198.0,59.0,79.0,173.0
1440,25.0,83.0,101.0,139.0,17.0,13.0,46.0,130.0,129.0,18.0,91.0,455.0,61.0,151.0,7.0,388.0,131.0,108.0,261.0,627.0,51.0,153.0,161.0,165.0,459.0,152.0,115.0,37.0,82.0,137.0
1489,206.0,78.0,39.0,25.0,246.0,14.0,127.0,54.0,62.0,66.0,99.0,177.0,70.0,86.0,50.0,1.0,618.0,407.0,232.0,19.0,614.0,9.0,170.0,18.0,410.0,118.0,72.0,77.0,113.0,46.0
1538,15.0,48.0,168.0,22.0,101.0,21.0,38.0,91.0,111.0,143.0,19.0,52.0,50.0,559.0,96.0,9.0,30.0,131.0,78.0,44.0,82.0,0.0,27.0,98.0,80.0,104.0,46.0,61.0,83.0,103.0
1587,135.0,63.0,32.0,42.0,66.0,187.0,142.0,131.0,165.0,51.0,145.0,141.0,419.0,554.0,106.0,40.0,26.0,176.0,90.0,118.0,115.0,104.0,96.0,67.0,18.0,149.0,372.0,46.0,164.0,177.0
1636,130.0,80.0,27.0,21.0,58.0,24.0,43.0,69.0,34.0,427.0,110.0,85.0,94.0,552.0,37.0,49.0,108.0,7.0,1.0,596.0,607.0,8.0,35.0,99.0,452.0,67.0,181.0,55.0,107.0,59.0
1685,243.0,40.0,59.0,45.0,19.0,30.0,124.0,60.0,125.0,16.0,26.0,203.0,99.0,535.0,300.0,36.0,108.0,104.0,68.0,150.0,164.0,32.0,112.0,48.0,377.0,89.0,541.0,126.0,144.0,123.0
1734,18.0,58.0,35.0,46.0,15.0,109.0,166.0,106.0,85.0,83.0,105.0,47.0,513.0,606.0,17.0,19.0,23.0,130.0,87.0,427.0,449.0,2.0,44.0,161.0,70.0,59.0,545.0,320.0,156.0,99.0
1783,6.0,37.0,82.0,33.0,206.0,74.0,50.0,94.0,132.0,43.0,75.0,69.0,89.0,20.0,57.0,22.0,1.0,99.0,221.0,146.0,4.0,7.0,66.0,67.0,97.0,112.0,190.0,464.0,52.0,126.0
1832,333.0,27.0,90.0,71.0,193.0,114.0,22.0,94.0,621.0,113.0,123.0,83.0,1.0,553.0,46.0,128.0,76.0,11.0,229.0,155.0,604.0,108.0,92.0,102.0,453.0,63.0,214.0,96.0,132.0,23.0
1881,37.0,42.0,12.0,75.0,29.0,244.0,144.0,15.0,27.0,71.0,66.0,99.0,51.0,93.0,0.0,173.0,13.0,503.0,103.0,148.0,592.0,140.0,472.0,34.0,14.0,120.0,558.0,81.0,153.0,112.0
1930,0.0,37.0,67.0,84.0,23.0,15.0,117.0,150.0,80.0,426.0,510.0,92.0,26.0,36.0,121.0,79.0,22.0,10.0,216.0,165.0,108.0,128.0,45.0,130.0,32.0,91.0,180.0,463.0,69.0,120.0
1979,38.0,50.0,51.0,122.0,192.0,123.0,63.0,55.0,56.0,71.0,62.0,7.0,146.0,103.0,37.0,184.0,44.0,84.0,97.0,98.0,125.0,183.0,88.0,109.0,454.0,404.0,4.0,141.0,47.0,128.0
2028,35.0,52.0,99.0,151.0,234.0,1.0,48.0,80.0,141.0,4.0,509.0,44.0,26.0,131.0,203.0,157.0,58.0,168.0,93.0,598.0,607.0,223.0,377.0,103.0,112.0,399.0,47.0,65.0,117.0,150.0
2077,17.0,28.0,51.0,54.0,72.0,93.0,48.0,105.0,50.0,25.0,80.0,453.0,53.0,562.0,33.0,40.0,138.0,425.0,209.0,6.0,629.0,106.0,383.0,178.0,126.0,88.0,94.0,99.0,386.0,58.0
2126,32.0,63.0,76.0,330.0,180.0,13.0,42.0,74.0,616.0,19.0,152.0,59.0,82.0,549.0,69.0,160.0,604.0,29.0,104.0,625.0,124.0,274.0,140.0,150.0,37.0,81.0,53.0,117.0,369.0,178.0
2175,98.0,37.0,28.0,122.0,146.0,235.0,79.0,73.0,612.0,415.0,503.0,101.0,74.0,551.0,280.0,69.0,603.0,125.0,63.0,49.0,42.0,151.0,430.0,64.0,453.0,147.0,21.0,157.0,369.0,117.0
2224,7.0,29.0,86.0,115.0,216.0,221.0,40.0,87.0,100.0,145.0,92.0,57.0,26.0,553.0,45.0,376.0,97.0,54.0,134.0,5.0,169.0,60.0,157.0,82.0,454.0,392.0,185.0,34.0,119.0,518.0
2273,64.0,65.0,4.0,97.0,101.0,244.0,93.0,50.0,143.0,426.0,162.0,14.0,29.0,556.0,220.0,154.0,104.0,418.0,170.0,572.0,123.0,247.0,376.0,90.0,2.0,115.0,60.0,142.0,53.0,137.0
2322,66.0,79.0,3.0,39.0,51.0,133.0,69.0,37.0,620.0,162.0,503.0,448.0,120.0,549.0,40.0,374.0,606.0,130.0,38.0,148.0,602.0,62.0,140.0,65.0,109.0,50.0,23.0,129.0,369.0,98.0
2371,13.0,31.0,27.0,59.0,60.0,55.0,30.0,64.0,6.0,25.0,129.0,140.0,41.0,561.0,114.0,81.0,100.0,98.0,43.0,624.0,602.0,272.0,74.0,105.0,18.0,62.0,199.0,148.0,163.0,511.0
2420,55.0,69.0,190.0,82.0,116.0,114.0,29.0,48.0,413.0,70.0,2.0,84.0,43.0,573.0,42.0,128.0,65.0,23.0,153.0,25.0,438.0,86.0,415.0,72.0,301.0,530.0,85.0,127.0,77.0,584.0
2469,2.0,46.0,61.0,87.0,261.0,12.0,105.0,121.0,99.0,438.0,95.0,38.0,88.0,54.0,106.0,171.0,152.0,429.0,247.0,93.0,107.0,71.0,48.0,182.0,91.0,115.0,112.0,29.0,109.0,30.0
2518,194.0,46.0,70.0,49.0,71.0,14.0,63.0,65.0,614.0,418.0,31.0,12.0,8.0,10.0,281.0,173.0,603.0,407.0,94.0,165.0,164.0,11.0,129.0,141.0,53.0,72.0,193.0,463.0,152.0,147.0
2567,187.0,34.0,23.0,95.0,43.0,63.0,16.0,73.0,88.0,4.0,62.0,78.0,111.0,556.0,71.0,154.0,609.0,50.0,46.0,628.0,127.0,123.0,376.0,147.0,27.0,106.0,87.0,91.0,380.0,161.0
2616,96.0,32.0,20.0,115.0,43.0,56.0,5.0,111.0,179.0,14.0,614.0,107.0,502.0,12.0,35.0,123.0,594.0,26.0,124.0,85.0,101.0,7.0,80.0,88.0,130.0,499.0,92.0,309.0,128.0,149.0
2665,141.0,80.0,47.0,46.0,3.0,97.0,55.0,140.0,169.0,59.0,51.0,130.0,418.0,556.0,67.0,36.0,91.0,16.0,173.0,83.0,607.0,33.0,159.0,496.0,453.0,125.0,70.0,137.0,126.0,152.0
2714,11.0,36.0,29.0,101.0,18.0,14.0,121.0,96.0,74.0,15.0,72.0,20.0,504.0,25.0,321.0,173.0,146.0,499.0,135.0,64.0,111.0,170.0,168.0,157.0,94.0,126.0,399.0,66.0,174.0,78.0
2763,27.0,47.0,24.0,133.0,77.0,41.0,150.0,52.0,180.0,176.0,84.0,120.0,552.0,604.0,26.0,101.0,450.0,44.0,53.0,92.0,151.0,140.0,28.0,148.0,51.0,109.0,545.0,173.0,105.0,87.0
2812,22.0,21.0,51.0,64.0,120.0,23.0,45.0,90.0,170.0,9.0,29.0,74.0,421.0,25.0,284.0,149.0,2.0,153.0,185.0,60.0,76.0,84.0,32.0,156.0,48.0,166.0,55.0,56.0,11.0,75.0
2861,69.0,74.0,61.0,62.0,95.0,39.0,116.0,97.0,46.0,54.0,80.0,50.0,167.0,29.0,7.0,72.0,603.0,413.0,28.0,31.0,135.0,52.0,53.0,468.0,25.0,129.0,182.0,464.0,373.0,121.0
2910,176.0,62.0,128.0,119.0,88.0,86.0,113.0,154.0,3.0,425.0,10.0,169.0,104.0,55.0,0.0,152.0,2.0,65.0,137.0,36.0,16.0,103.0,167.0,141.0,1.0,122.0,238.0,27.0,378.0,90.0
2959,25.0,70.0,59.0,47.0,91.0,215.0,462.0,90.0,623.0,423.0,119.0,77.0,99.0,89.0,159.0,46.0,611.0,27.0,88.0,23.0,147.0,45.0,386.0,105.0,454.0,28.0,191.0,134.0,130.0,123.0
3008,328.0,99.0,34.0,366.0,148.0,101.0,460.0,88.0,108.0,39.0,130.0,74.0,71.0,553.0,57.0,143.0,13.0,154.0,255.0,170.0,61.0,132.0,1.0,103.0,51.0,134.0,49.0,105.0,80.0,35.0
3057,113.0,142.0,27.0,37.0,102.0,24.0,30.0,80.0,156.0,22.0,68.0,52.0,11.0,13.0,29.0,61.0,56.0,114.0,226.0,54.0,82.0,9.0,372.0,97.0,90.0,106.0,55.0,463.0,39.0,99.0
3106,50.0,72.0,23.0,49.0,79.0,76.0,46.0,83.0,33.0,37.0,112.0,47.0,30.0,20.0,279.0,6.0,103.0,110.0,91.0,40.0,126.0,34.0,369.0,123.0,66.0,150.0,5.0,463.0,372.0,78.0
3155,81.0,118.0,149.0,36.0,69.0,74.0,462.0,65.0,129.0,433.0,12.0,45.0,34.0,71.0,261.0,119.0,151.0,35.0,222.0,30.0,14.0,89.0,168.0,111.0,82.0,68.0,8.0,467.0,26.0,58.0
3204,117.0,122.0,11.0,59.0,135.0,15.0,65.0,120.0,41.0,13.0,77.0,1.0,415.0,27.0,274.0,19.0,606.0,29.0,95.0,99.0,72.0,43.0,7.0,152.0,81.0,92.0,176.0,12.0,160.0,69.0
3253,32.0,63.0,12.0,324.0,7.0,118.0,164.0,80.0,75.0,87.0,165.0,77.0,116.0,58.0,219.0,99.0,37.0,38.0,147.0,138.0,103.0,50.0,104.0,133.0,46.0,29.0,17.0,68.0,55.0,69.0
3302,40.0,104.0,172.0,7.0,22.0,29.0,464.0,59.0,148.0,6.0,26.0,116.0,88.0,558.0,54.0,58.0,63.0,35.0,170.0,75.0,64.0,3.0,12.0,109.0,34.0,105.0,373.0,91.0,36.0,106.0
3351,332.0,35.0,55.0,104.0,37.0,129.0,458.0,100.0,60.0,27.0,64.0,112.0,416.0,85.0,40.0,151.0,4.0,81.0,98.0,117.0,605.0,241.0,400.0,49.0,448.0,114.0,16.0,464.0,373.0,131.0
3400,85.0,98.0,45.0,39.0,7.0,71.0,136.0,44.0,70.0,24.0,9.0,103.0,64.0,551.0,162.0,55.0,608.0,53.0,134.0,132.0,606.0,31.0,400.0,89.0,452.0,141.0,82.0,464.0,37.0,118.0
3449,29.0,69.0,67.0,53.0,18.0,45.0,52.0,97.0,75.0,428.0,31.0,466.0,11.0,133.0,117.0,134.0,610.0,417.0,44.0,110.0,81.0,144.0,64.0,188.0,457.0,23.0,326.0,185.0,43.0,84.0
3498,46.0,104.0,173.0,47.0,58.0,27.0,57.0,119.0,56.0,15.0,107.0,75.0,70.0,9.0,154.0,382.0,611.0,41.0,64.0,118.0,48.0,283.0,153.0,171.0,36.0,78.0,13.0,174.0,49.0,99.0
3547,30.0,63.0,98.0,40.0,25.0,23.0,61.0,155.0,45.0,112.0,142.0,54.0,105.0,12.0,221.0,20.0,606.0,53.0,153.0,162.0,75.0,13.0,383.0,116.0,449.0,127.0,8.0,27.0,36.0,99.0
3596,15.0,25.0,88.0,69.0,53.0,122.0,10.0,61.0,42.0,81.0,23.0,140.0,483.0,100.0,50.0,41.0,445.0,14.0,400.0,161.0,125.0,319.0,170.0,91.0,18.0,38.0,79.0,148.0,57.0,587.0
3645,69.0,71.0,143.0,129.0,24.0,52.0,117.0,163.0,172.0,13.0,68.0,72.0,39.0,10.0,329.0,20.0,451.0,12.0,78.0,144.0,132.0,322.0,84.0,150.0,43.0,110.0,544.0,23.0,37.0,139.0
3694,18.0,44.0,89.0,51.0,69.0,101.0,137.0,142.0,78.0,435.0,515.0,128.0,88.0,556.0,86.0,38.0,610.0,133.0,40.0,581.0,60.0,13.0,121.0,151.0,91.0,82.0,373.0,115.0,90.0,187.0
3743,40.0,21.0,75.0,86.0,20.0,214.0,62.0,65.0,6.0,403.0,513.0,116.0,7.0,51.0,12.0,386.0,106.0,90.0,64.0,52.0,149.0,279.0,167.0,101.0,454.0,96.0,82.0,95.0,61.0,523.0
3792,68.0,83.0,27.0,33.0,56.0,222.0,174.0,57.0,49.0,432.0,93.0,102.0,21.0,555.0,14.0,95.0,70.0,25.0,20.0,163.0,134.0,285.0,52.0,128.0,113.0,135.0,199.0,82.0,53.0,143.0
3841,44.0,61.0,40.0,128.0,43.0,114.0,457.0,155.0,52.0,133.0,33.0,132.0,19.0,9.0,169.0,374.0,603.0,47.0,122.0,42.0,41.0,231.0,116.0,106.0,449.0,115.0,13.0,461.0,31.0,105.0
3890,97.0,52.0,17.0,205.0,34.0,125.0,118.0,165.0,33.0,94.0,41.0,347.0,70.0,83.0,157.0,151.0,589.0,133.0,42.0,6.0,37.0,307.0,111.0,153.0,360.0,69.0,555.0,74.0,23.0,108.0
3939,149.0,79.0,12.0,123.0,129.0,17.0,15.0,27.0,151.0,426.0,68.0,9.0,40.0,554.0,281.0,106.0,35.0,136.0,25.0,54.0,109.0,36.0,41.0,77.0,457.0,115.0,29.0,48.0,51.0,112.0
3988,135.0,47.0,17.0,31.0,9.0,30.0,166.0,71.0,103.0,97.0,104.0,36.0,149.0,550.0,282.0,3.0,606.0,417.0,119.0,154.0,65.0,28.0,109.0,153.0,454.0,95.0,70.0,77.0,171.0,98.0
4037,148.0,136.0,14.0,37.0,18.0,43.0,23.0,73.0,118.0,412.0,113.0,22.0,104.0,17.0,335.0,169.0,435.0,507.0,66.0,463.0,127.0,13.0,99.0,74.0,299.0,124.0,75.0,138.0,621.0,178.0
4086,60.0,85.0,43.0,42.0,81.0,205.0,72.0,58.0,67.0,413.0,93.0,1.0,407.0,3.0,106.0,371.0,599.0,401.0,73.0,99.0,562.0,14.0,59.0,126.0,29.0,79.0,70.0,51.0,365.0,121.0
4135,116.0,73.0,157.0,67.0,239.0,247.0,83.0,78.0,55.0,132.0,159.0,150.0,428.0,71.0,95.0,119.0,612.0,423.0,128.0,81.0,608.0,125.0,126.0,131.0,105.0,130.0,24.0,34.0,42.0,151.0
4184,91.0,102.0,75.0,98.0,128.0,254.0,17.0,93.0,586.0,52.0,104.0,50.0,412.0,508.0,144.0,54.0,572.0,116.0,86.0,133.0,131.0,38.0,100.0,155.0,203.0,118.0,112.0,41.0,501.0,142.0
4233,31.0,169.0,56.0,63.0,130.0,200.0,55.0,107.0,66.0,69.0,110.0,18.0,419.0,14.0,286.0,36.0,93.0,21.0,28.0,144.0,99.0,9.0,111.0,112.0,23.0,92.0,29.0,86.0,79.0,133.0
4282,112.0,113.0,22.0,50.0,146.0,73.0,29.0,76.0,58.0,17.0,83.0,33.0,40.0,548.0,280.0,75.0,77.0,98.0,66.0,624.0,62.0,109.0,431.0,162.0,453.0,125.0,80.0,463.0,49.0,132.0
4331,16.0,50.0,52.0,43.0,63.0,196.0,83.0,36.0,615.0,424.0,121.0,67.0,419.0,562.0,94.0,143.0,108.0,41.0,31.0,628.0,24.0,56.0,129.0,73.0,451.0,133.0,69.0,2.0,111.0,51.0
4380,46.0,82.0,36.0,120.0,143.0,22.0,55.0,88.0,35.0,87.0,28.0,142.0,167.0,103.0,288.0,381.0,607.0,3.0,38.0,627.0,86.0,138.0,97.0,74.0,21.0,135.0,40.0,84.0,47.0,122.0
4429,35.0,37.0,34.0,17.0,156.0,120.0,125.0,126.0,58.0,393.0,69.0,131.0,387.0,62.0,29.0,117.0,121.0,138.0,50.0,25.0,622.0,98.0,11.0,108.0,224.0,106.0,59.0,103.0,116.0,601.0
4478,26.0,51.0,57.0,37.0,231.0,181.0,63.0,272.0,157.0,52.0,80.0,444.0,119.0,21.0,53.0,105.0,19.0,42.0,239.0,13.0,124.0,75.0,64.0,39.0,34.0,118.0,203.0,171.0,149.0,165.0
4527,29.0,62.0,89.0,20.0,139.0,52.0,97.0,151.0,90.0,412.0,153.0,132.0,49.0,543.0,34.0,365.0,27.0,12.0,36.0,122.0,156.0,269.0,102.0,137.0,448.0,148.0,177.0,459.0,426.0,508.0
4576,26.0,42.0,31.0,29.0,54.0,95.0,120.0,27.0,150.0,32.0,142.0,136.0,478.0,541.0,325.0,100.0,51.0,472.0,363.0,93.0,436.0,177.0,41.0,132.0,25.0,122.0,568.0,316.0,116.0,2.0
4625,97.0,87.0,78.0,61.0,103.0,45.0,63.0,60.0,52.0,43.0,80.0,446.0,418.0,23.0,281.0,375.0,134.0,413.0,31.0,92.0,135.0,275.0,81.0,53.0,453.0,89.0,225.0,463.0,372.0,148.0
4674,134.0,38.0,53.0,40.0,211.0,89.0,76.0,124.0,12.0,430.0,122.0,82.0,425.0,95.0,288.0,63.0,106.0,17.0,203.0,87.0,83.0,129.0,380.0,115.0,456.0,67.0,183.0,45.0,150.0,519.0
4723,28.0,31.0,109.0,138.0,211.0,239.0,126.0,107.0,573.0,396.0,73.0,213.0,26.0,560.0,39.0,95.0,10.0,383.0,114.0,93.0,16.0,151.0,136.0,92.0,116.0,65.0,143.0,12.0,481.0,532.0
4772,47.0,40.0,28.0,340.0,31.0,204.0,76.0,174.0,6.0,428.0,80.0,1.0,423.0,554.0,290.0,384.0,22.0,0.0,111.0,106.0,33.0,58.0,128.0,138.0,457.0,90.0,373.0,467.0,50.0,35.0
4821,18.0,29.0,111.0,75.0,128.0,80.0,90.0,94.0,66.0,421.0,122.0,443.0,418.0,547.0,7.0,378.0,11.0,36.0,107.0,152.0,99.0,121.0,42.0,101.0,449.0,134.0,203.0,461.0,132.0,20.0
4870,33.0,58.0,102.0,30.0,68.0,75.0,98.0,156.0,616.0,414.0,135.0,86.0,409.0,561.0,29.0,366.0,48.0,405.0,179.0,132.0,55.0,100.0,59.0,60.0,449.0,85.0,112.0,459.0,4.0,512.0
