,1-methylnicotinamide,homocysteine,uridine,serine,palmitoylcarnitine,GABA,C34:4 PC,5-HIAA,alpha-glycerophosphate,putrescine,2-deoxycytidine,creatinine,C18:0 LPC,acetylcholine,C20:4 CE,C34:2 DAG,C36:1 DAG,butyrylcarnitine/isobutyrylcarnitine,C16:0 LPE,alpha-hydroxybutyrate,C56:3 TAG,C22:6 CE,guanosine,C22:6 LPE,dCMP,UMP,serotonin,phosphocreatine,PEP,pyroglutamic acid
1399,0.0,1.0,11.0,24.0,5.0,8.0,31.0,9.0,29.0,35.0,6.0,7.0,41.0,18.0,2.0,28.0,3.0,43.0,22.0,10.0,13.0,34.0,20.0,23.0,14.0,12.0,21.0,50.0,26.0,25.0
1448,2.0,9.0,29.0,0.0,18.0,6.0,30.0,7.0,24.0,14.0,20.0,12.0,40.0,10.0,27.0,34.0,28.0,43.0,4.0,32.0,1.0,25.0,35.0,3.0,17.0,33.0,60.0,53.0,50.0,36.0
1497,2.0,24.0,1.0,10.0,23.0,5.0,3.0,54.0,0.0,9.0,8.0,17.0,11.0,18.0,19.0,13.0,14.0,37.0,36.0,30.0,6.0,20.0,38.0,4.0,32.0,28.0,55.0,58.0,27.0,48.0
1546,6.0,4.0,11.0,3.0,22.0,59.0,1.0,57.0,14.0,32.0,8.0,15.0,2.0,62.0,0.0,25.0,41.0,31.0,37.0,29.0,13.0,42.0,23.0,5.0,17.0,27.0,58.0,51.0,28.0,7.0
1595,1.0,3.0,0.0,7.0,14.0,24.0,2.0,10.0,32.0,6.0,18.0,21.0,9.0,22.0,17.0,13.0,16.0,45.0,15.0,29.0,27.0,19.0,11.0,12.0,35.0,30.0,52.0,60.0,5.0,4.0
1644,8.0,3.0,1.0,23.0,40.0,9.0,2.0,60.0,11.0,21.0,6.0,30.0,10.0,5.0,19.0,41.0,20.0,37.0,31.0,26.0,66.0,12.0,13.0,32.0,17.0,29.0,61.0,55.0,28.0,18.0
1693,0.0,3.0,1.0,8.0,7.0,22.0,10.0,23.0,11.0,24.0,18.0,21.0,14.0,60.0,17.0,42.0,16.0,6.0,9.0,53.0,25.0,20.0,12.0,40.0,31.0,27.0,54.0,30.0,26.0,2.0
1742,0.0,7.0,1.0,12.0,23.0,21.0,4.0,22.0,9.0,56.0,63.0,61.0,3.0,59.0,8.0,19.0,15.0,38.0,24.0,33.0,25.0,45.0,30.0,16.0,29.0,2.0,52.0,53.0,62.0,13.0
1791,9.0,4.0,3.0,10.0,7.0,58.0,5.0,22.0,0.0,42.0,14.0,64.0,6.0,62.0,1.0,30.0,37.0,8.0,23.0,27.0,11.0,34.0,2.0,44.0,20.0,29.0,57.0,52.0,49.0,65.0
1840,3.0,4.0,2.0,7.0,10.0,18.0,20.0,15.0,29.0,47.0,62.0,23.0,11.0,25.0,0.0,13.0,17.0,8.0,21.0,1.0,27.0,44.0,12.0,40.0,28.0,6.0,16.0,52.0,59.0,64.0
1889,9.0,4.0,2.0,31.0,8.0,21.0,10.0,5.0,0.0,49.0,6.0,17.0,3.0,19.0,11.0,22.0,39.0,12.0,23.0,1.0,25.0,43.0,30.0,16.0,32.0,29.0,54.0,53.0,28.0,7.0
1938,10.0,23.0,5.0,0.0,12.0,55.0,19.0,4.0,1.0,46.0,9.0,7.0,13.0,6.0,2.0,20.0,22.0,11.0,3.0,14.0,24.0,44.0,26.0,38.0,39.0,63.0,54.0,53.0,25.0,15.0
1987,0.0,13.0,1.0,15.0,18.0,7.0,21.0,2.0,3.0,16.0,22.0,11.0,19.0,10.0,42.0,37.0,5.0,17.0,20.0,25.0,24.0,4.0,26.0,38.0,31.0,8.0,53.0,34.0,28.0,48.0
2036,0.0,26.0,5.0,1.0,33.0,54.0,2.0,13.0,28.0,25.0,18.0,17.0,12.0,16.0,14.0,11.0,10.0,7.0,22.0,3.0,8.0,9.0,37.0,41.0,31.0,30.0,53.0,4.0,6.0,63.0
2085,0.0,1.0,29.0,6.0,16.0,17.0,5.0,19.0,37.0,11.0,10.0,12.0,45.0,14.0,4.0,32.0,30.0,2.0,23.0,55.0,8.0,28.0,15.0,26.0,59.0,31.0,18.0,54.0,7.0,24.0
2134,1.0,3.0,9.0,2.0,5.0,18.0,4.0,20.0,31.0,0.0,7.0,14.0,19.0,62.0,32.0,43.0,33.0,6.0,23.0,27.0,11.0,30.0,24.0,41.0,25.0,10.0,57.0,28.0,49.0,55.0
2183,1.0,12.0,25.0,3.0,7.0,15.0,6.0,10.0,13.0,20.0,8.0,9.0,36.0,61.0,5.0,23.0,26.0,18.0,14.0,29.0,0.0,41.0,2.0,39.0,65.0,11.0,16.0,49.0,46.0,38.0
2232,0.0,3.0,31.0,1.0,5.0,17.0,2.0,19.0,11.0,15.0,8.0,12.0,23.0,64.0,39.0,7.0,25.0,37.0,29.0,24.0,66.0,42.0,22.0,30.0,9.0,53.0,18.0,33.0,52.0,13.0
2281,4.0,2.0,32.0,0.0,7.0,21.0,1.0,23.0,16.0,5.0,12.0,14.0,27.0,3.0,18.0,35.0,20.0,6.0,10.0,9.0,66.0,42.0,29.0,36.0,24.0,33.0,22.0,11.0,30.0,39.0
2330,0.0,25.0,31.0,3.0,22.0,4.0,9.0,52.0,35.0,7.0,23.0,61.0,10.0,15.0,8.0,18.0,17.0,21.0,6.0,49.0,26.0,11.0,29.0,37.0,30.0,28.0,53.0,50.0,27.0,64.0
2379,7.0,9.0,2.0,0.0,14.0,3.0,10.0,53.0,1.0,8.0,64.0,4.0,23.0,60.0,11.0,20.0,43.0,24.0,46.0,30.0,25.0,45.0,26.0,16.0,41.0,6.0,54.0,28.0,27.0,49.0
2428,1.0,2.0,23.0,7.0,42.0,12.0,3.0,57.0,30.0,20.0,6.0,18.0,37.0,11.0,0.0,26.0,29.0,15.0,35.0,22.0,9.0,31.0,28.0,4.0,39.0,49.0,58.0,51.0,27.0,43.0
2477,0.0,40.0,3.0,13.0,22.0,17.0,1.0,59.0,42.0,19.0,5.0,10.0,25.0,41.0,11.0,29.0,26.0,6.0,9.0,7.0,66.0,14.0,45.0,39.0,12.0,2.0,60.0,54.0,8.0,37.0
2526,1.0,25.0,5.0,7.0,2.0,0.0,3.0,20.0,8.0,19.0,23.0,61.0,12.0,59.0,17.0,42.0,10.0,4.0,11.0,30.0,26.0,15.0,33.0,40.0,32.0,6.0,13.0,53.0,64.0,18.0
2575,4.0,2.0,30.0,8.0,3.0,19.0,0.0,58.0,37.0,45.0,12.0,6.0,16.0,66.0,27.0,32.0,36.0,14.0,21.0,33.0,10.0,44.0,23.0,42.0,64.0,25.0,20.0,52.0,28.0,22.0
2624,3.0,2.0,11.0,0.0,4.0,5.0,1.0,18.0,41.0,21.0,15.0,9.0,26.0,52.0,19.0,28.0,20.0,22.0,14.0,55.0,66.0,17.0,46.0,30.0,12.0,24.0,6.0,54.0,10.0,32.0
2673,0.0,13.0,11.0,9.0,22.0,7.0,16.0,8.0,44.0,5.0,24.0,6.0,20.0,57.0,3.0,15.0,4.0,23.0,18.0,30.0,14.0,45.0,50.0,17.0,28.0,12.0,51.0,34.0,42.0,64.0
2722,0.0,66.0,2.0,16.0,14.0,10.0,1.0,59.0,24.0,18.0,39.0,7.0,22.0,19.0,25.0,30.0,27.0,40.0,4.0,28.0,21.0,37.0,48.0,32.0,11.0,5.0,20.0,23.0,6.0,36.0
2771,2.0,8.0,1.0,0.0,7.0,3.0,10.0,12.0,27.0,9.0,18.0,59.0,24.0,65.0,11.0,25.0,45.0,48.0,20.0,29.0,26.0,14.0,33.0,40.0,31.0,30.0,13.0,53.0,5.0,63.0
2820,1.0,15.0,0.0,2.0,3.0,11.0,42.0,8.0,26.0,7.0,9.0,23.0,18.0,14.0,22.0,43.0,4.0,16.0,45.0,29.0,25.0,44.0,28.0,20.0,32.0,6.0,10.0,53.0,33.0,24.0
2869,0.0,19.0,1.0,3.0,4.0,7.0,27.0,18.0,23.0,12.0,17.0,8.0,21.0,64.0,29.0,39.0,9.0,6.0,25.0,5.0,66.0,31.0,30.0,35.0,10.0,2.0,59.0,13.0,22.0,32.0
2918,1.0,0.0,3.0,16.0,8.0,12.0,20.0,6.0,4.0,49.0,9.0,5.0,17.0,14.0,21.0,42.0,10.0,47.0,37.0,2.0,23.0,45.0,7.0,19.0,39.0,29.0,11.0,24.0,30.0,22.0
2967,0.0,4.0,13.0,9.0,1.0,16.0,2.0,7.0,42.0,19.0,5.0,24.0,12.0,41.0,33.0,18.0,17.0,11.0,28.0,10.0,66.0,15.0,25.0,29.0,46.0,3.0,6.0,57.0,53.0,34.0
3016,2.0,11.0,0.0,6.0,3.0,12.0,41.0,14.0,1.0,17.0,26.0,60.0,10.0,9.0,45.0,43.0,7.0,20.0,22.0,30.0,28.0,25.0,32.0,40.0,42.0,31.0,13.0,4.0,29.0,18.0
3065,0.0,15.0,8.0,1.0,11.0,2.0,28.0,13.0,4.0,17.0,19.0,29.0,24.0,18.0,33.0,31.0,9.0,37.0,39.0,16.0,66.0,6.0,32.0,12.0,27.0,26.0,20.0,3.0,52.0,35.0
3114,2.0,21.0,5.0,18.0,1.0,14.0,0.0,3.0,24.0,31.0,28.0,4.0,6.0,12.0,26.0,10.0,35.0,15.0,29.0,9.0,66.0,25.0,23.0,32.0,27.0,7.0,20.0,56.0,53.0,37.0
3163,0.0,1.0,4.0,8.0,23.0,5.0,39.0,20.0,28.0,65.0,24.0,15.0,9.0,57.0,45.0,17.0,19.0,41.0,12.0,27.0,25.0,21.0,32.0,40.0,10.0,6.0,18.0,29.0,53.0,64.0
3212,2.0,23.0,29.0,8.0,1.0,3.0,0.0,20.0,24.0,65.0,15.0,59.0,7.0,5.0,18.0,9.0,16.0,41.0,21.0,50.0,66.0,10.0,30.0,43.0,28.0,32.0,19.0,25.0,33.0,14.0
3261,0.0,19.0,18.0,9.0,2.0,13.0,27.0,3.0,21.0,10.0,16.0,5.0,30.0,64.0,22.0,24.0,23.0,31.0,35.0,1.0,66.0,36.0,20.0,4.0,46.0,6.0,7.0,11.0,54.0,37.0
3310,0.0,27.0,6.0,3.0,18.0,1.0,11.0,10.0,29.0,25.0,20.0,59.0,19.0,5.0,15.0,44.0,45.0,9.0,2.0,4.0,28.0,13.0,32.0,21.0,42.0,7.0,24.0,65.0,8.0,23.0
3359,3.0,0.0,1.0,13.0,9.0,6.0,2.0,5.0,26.0,45.0,16.0,17.0,14.0,7.0,20.0,18.0,12.0,10.0,11.0,4.0,24.0,22.0,36.0,40.0,41.0,30.0,21.0,52.0,59.0,46.0
3408,0.0,4.0,1.0,22.0,8.0,2.0,40.0,6.0,11.0,9.0,61.0,58.0,3.0,17.0,44.0,42.0,43.0,13.0,14.0,7.0,66.0,21.0,34.0,18.0,39.0,50.0,31.0,25.0,56.0,15.0
3457,0.0,8.0,30.0,24.0,10.0,21.0,18.0,23.0,28.0,7.0,15.0,5.0,13.0,59.0,1.0,20.0,9.0,11.0,17.0,3.0,25.0,45.0,2.0,41.0,40.0,33.0,22.0,52.0,31.0,64.0
3506,9.0,12.0,28.0,2.0,10.0,1.0,5.0,18.0,14.0,20.0,33.0,0.0,35.0,6.0,19.0,3.0,38.0,40.0,13.0,11.0,66.0,17.0,4.0,37.0,44.0,24.0,62.0,55.0,26.0,8.0
3555,0.0,5.0,1.0,14.0,6.0,62.0,28.0,60.0,43.0,18.0,19.0,8.0,36.0,27.0,39.0,3.0,32.0,12.0,25.0,4.0,66.0,2.0,9.0,38.0,16.0,22.0,61.0,17.0,23.0,30.0
3604,3.0,5.0,4.0,1.0,20.0,12.0,7.0,13.0,26.0,2.0,14.0,21.0,23.0,19.0,9.0,11.0,8.0,16.0,38.0,0.0,66.0,31.0,47.0,6.0,32.0,52.0,62.0,56.0,25.0,34.0
3653,0.0,4.0,6.0,7.0,2.0,57.0,1.0,54.0,43.0,9.0,8.0,62.0,10.0,61.0,13.0,18.0,12.0,14.0,37.0,29.0,23.0,44.0,25.0,39.0,26.0,28.0,55.0,3.0,27.0,47.0
3702,17.0,1.0,34.0,33.0,14.0,4.0,24.0,5.0,11.0,3.0,10.0,2.0,26.0,64.0,0.0,13.0,21.0,39.0,30.0,6.0,66.0,42.0,12.0,43.0,22.0,32.0,61.0,25.0,8.0,16.0
3751,0.0,22.0,34.0,3.0,1.0,18.0,9.0,19.0,46.0,7.0,55.0,58.0,13.0,15.0,12.0,10.0,11.0,21.0,39.0,8.0,23.0,47.0,27.0,14.0,48.0,31.0,64.0,24.0,30.0,2.0
3800,7.0,0.0,9.0,2.0,5.0,63.0,30.0,61.0,43.0,15.0,18.0,1.0,37.0,12.0,31.0,10.0,32.0,16.0,34.0,8.0,66.0,33.0,3.0,29.0,22.0,23.0,62.0,20.0,52.0,14.0
3849,0.0,5.0,4.0,8.0,7.0,18.0,28.0,58.0,33.0,16.0,24.0,13.0,42.0,12.0,1.0,6.0,30.0,36.0,23.0,9.0,10.0,25.0,11.0,32.0,14.0,48.0,19.0,26.0,31.0,34.0
3898,0.0,1.0,6.0,24.0,8.0,5.0,9.0,4.0,45.0,16.0,17.0,7.0,36.0,19.0,22.0,18.0,21.0,38.0,13.0,2.0,25.0,23.0,11.0,12.0,3.0,30.0,53.0,29.0,28.0,64.0
3947,1.0,15.0,32.0,0.0,8.0,12.0,5.0,11.0,3.0,2.0,9.0,57.0,19.0,59.0,23.0,22.0,38.0,16.0,44.0,4.0,27.0,24.0,46.0,21.0,33.0,31.0,6.0,64.0,30.0,25.0
3996,1.0,26.0,28.0,5.0,10.0,14.0,6.0,4.0,0.0,25.0,12.0,59.0,34.0,15.0,23.0,2.0,42.0,38.0,19.0,3.0,66.0,44.0,8.0,21.0,39.0,61.0,9.0,7.0,62.0,11.0
4045,0.0,9.0,2.0,1.0,14.0,19.0,4.0,65.0,26.0,49.0,7.0,58.0,8.0,18.0,11.0,10.0,17.0,47.0,13.0,5.0,30.0,21.0,28.0,46.0,3.0,61.0,20.0,6.0,66.0,16.0
4094,0.0,1.0,5.0,10.0,42.0,60.0,3.0,20.0,2.0,29.0,7.0,23.0,16.0,64.0,41.0,39.0,40.0,30.0,18.0,11.0,12.0,27.0,57.0,4.0,28.0,25.0,8.0,50.0,26.0,34.0
4143,0.0,2.0,4.0,3.0,13.0,18.0,1.0,9.0,43.0,56.0,10.0,5.0,14.0,60.0,11.0,41.0,21.0,37.0,46.0,24.0,22.0,44.0,26.0,16.0,30.0,31.0,19.0,25.0,28.0,12.0
4192,5.0,8.0,4.0,0.0,21.0,2.0,10.0,1.0,9.0,6.0,18.0,60.0,22.0,58.0,11.0,20.0,19.0,47.0,7.0,30.0,26.0,15.0,12.0,23.0,31.0,29.0,14.0,56.0,48.0,64.0
4241,0.0,11.0,23.0,9.0,31.0,8.0,24.0,1.0,12.0,19.0,5.0,64.0,36.0,62.0,39.0,26.0,27.0,17.0,4.0,21.0,66.0,29.0,2.0,22.0,18.0,47.0,20.0,10.0,46.0,28.0
4290,4.0,0.0,31.0,22.0,16.0,58.0,33.0,18.0,1.0,43.0,2.0,14.0,35.0,66.0,3.0,29.0,28.0,41.0,23.0,7.0,9.0,26.0,10.0,39.0,13.0,51.0,57.0,32.0,30.0,34.0
4339,0.0,2.0,8.0,19.0,3.0,15.0,1.0,17.0,10.0,18.0,12.0,65.0,28.0,64.0,33.0,37.0,11.0,34.0,29.0,21.0,66.0,22.0,5.0,24.0,9.0,50.0,16.0,53.0,49.0,35.0
4388,2.0,5.0,26.0,3.0,8.0,9.0,4.0,0.0,6.0,36.0,19.0,43.0,30.0,17.0,23.0,33.0,41.0,35.0,29.0,1.0,66.0,38.0,27.0,10.0,24.0,54.0,15.0,14.0,53.0,39.0
4437,6.0,16.0,26.0,7.0,11.0,3.0,40.0,13.0,8.0,5.0,63.0,17.0,2.0,21.0,9.0,1.0,0.0,18.0,10.0,49.0,23.0,20.0,36.0,19.0,42.0,58.0,54.0,4.0,30.0,47.0
4486,1.0,25.0,4.0,9.0,7.0,0.0,41.0,23.0,11.0,3.0,63.0,19.0,8.0,58.0,16.0,2.0,14.0,33.0,10.0,53.0,26.0,20.0,31.0,13.0,29.0,64.0,52.0,27.0,5.0,15.0
4535,8.0,24.0,6.0,1.0,10.0,0.0,40.0,5.0,2.0,4.0,63.0,60.0,12.0,58.0,21.0,41.0,20.0,31.0,15.0,27.0,25.0,23.0,11.0,17.0,29.0,48.0,51.0,50.0,47.0,7.0
4584,0.0,28.0,5.0,3.0,6.0,4.0,26.0,51.0,35.0,8.0,19.0,27.0,7.0,15.0,11.0,17.0,12.0,48.0,23.0,65.0,2.0,46.0,10.0,21.0,32.0,31.0,52.0,33.0,64.0,20.0
4633,1.0,20.0,0.0,2.0,5.0,3.0,7.0,19.0,22.0,9.0,11.0,21.0,8.0,12.0,29.0,13.0,39.0,16.0,4.0,55.0,66.0,27.0,46.0,34.0,28.0,25.0,60.0,65.0,51.0,31.0
4682,2.0,24.0,3.0,0.0,14.0,1.0,15.0,19.0,11.0,22.0,16.0,61.0,12.0,17.0,18.0,8.0,9.0,43.0,21.0,32.0,7.0,10.0,26.0,36.0,33.0,53.0,52.0,6.0,5.0,66.0
4731,1.0,12.0,28.0,10.0,3.0,9.0,16.0,21.0,15.0,17.0,18.0,19.0,7.0,59.0,4.0,0.0,5.0,8.0,6.0,50.0,2.0,43.0,65.0,38.0,13.0,11.0,52.0,27.0,39.0,66.0
4780,3.0,14.0,4.0,0.0,9.0,11.0,39.0,58.0,15.0,10.0,16.0,44.0,8.0,22.0,6.0,7.0,41.0,17.0,2.0,12.0,1.0,5.0,30.0,38.0,34.0,46.0,59.0,13.0,32.0,33.0
4829,5.0,66.0,6.0,4.0,1.0,0.0,25.0,16.0,3.0,2.0,30.0,39.0,7.0,17.0,22.0,38.0,31.0,35.0,9.0,56.0,18.0,21.0,46.0,24.0,8.0,53.0,13.0,11.0,52.0,12.0
4878,6.0,8.0,5.0,1.0,24.0,0.0,11.0,15.0,28.0,7.0,20.0,59.0,9.0,19.0,14.0,2.0,44.0,40.0,17.0,50.0,26.0,10.0,34.0,41.0,46.0,55.0,16.0,4.0,31.0,25.0
