,MEK1_pS217_S221,Caveolin-1,CDK1,RAD51,Chk2,Gab2,GAPDH,Collagen_VI,PRAS40_pT246,A-Raf_pS299,Akt_pS473,TFRC,Bcl-2,XBP1,p21,VAV1,ACC_pS79,Src_pY416,Annexin_VII,IGFBP2,NF2,MDM2_pS166,p90RSK_pT359_S363,PDK1,PI3K-p110-alpha,Notch1,PDK1_pS241,PEA15,Paxillin,PEA15_pS116
790,4.0,13.0,16.0,14.0,19.0,18.0,147.0,5.0,20.0,35.0,122.0,30.0,29.0,1.0,49.0,36.0,117.0,2.0,32.0,136.0,40.0,143.0,55.0,45.0,28.0,47.0,44.0,58.0,51.0,92.0
839,34.0,16.0,3.0,22.0,2.0,20.0,12.0,32.0,7.0,28.0,30.0,1.0,17.0,10.0,23.0,36.0,37.0,61.0,25.0,19.0,11.0,142.0,4.0,21.0,39.0,54.0,38.0,15.0,43.0,40.0
888,34.0,5.0,14.0,84.0,17.0,0.0,16.0,19.0,21.0,29.0,6.0,37.0,110.0,2.0,57.0,4.0,30.0,23.0,40.0,140.0,86.0,36.0,55.0,54.0,44.0,27.0,52.0,18.0,58.0,46.0
937,1.0,18.0,11.0,13.0,35.0,20.0,148.0,37.0,78.0,117.0,9.0,33.0,5.0,3.0,51.0,70.0,118.0,66.0,4.0,36.0,55.0,142.0,21.0,42.0,7.0,54.0,56.0,24.0,41.0,38.0
986,27.0,7.0,9.0,11.0,129.0,162.0,20.0,13.0,16.0,35.0,44.0,2.0,46.0,0.0,26.0,51.0,36.0,43.0,40.0,24.0,65.0,1.0,49.0,21.0,88.0,28.0,91.0,90.0,67.0,89.0
1035,27.0,129.0,6.0,5.0,8.0,162.0,19.0,151.0,2.0,33.0,34.0,0.0,35.0,41.0,28.0,37.0,122.0,83.0,4.0,1.0,31.0,25.0,22.0,3.0,80.0,63.0,47.0,18.0,48.0,65.0
1084,3.0,6.0,14.0,20.0,7.0,0.0,1.0,36.0,25.0,29.0,121.0,35.0,10.0,26.0,5.0,2.0,117.0,9.0,37.0,23.0,28.0,31.0,13.0,19.0,42.0,54.0,56.0,41.0,16.0,43.0
1133,38.0,6.0,17.0,0.0,146.0,21.0,137.0,150.0,3.0,4.0,122.0,68.0,95.0,40.0,52.0,64.0,118.0,74.0,126.0,42.0,43.0,142.0,14.0,44.0,91.0,58.0,1.0,57.0,47.0,59.0
1182,3.0,7.0,18.0,26.0,150.0,5.0,25.0,22.0,1.0,2.0,123.0,29.0,0.0,28.0,47.0,31.0,117.0,37.0,34.0,38.0,44.0,4.0,11.0,57.0,56.0,35.0,19.0,43.0,15.0,45.0
1231,25.0,9.0,7.0,30.0,0.0,4.0,17.0,11.0,5.0,37.0,1.0,82.0,109.0,34.0,22.0,56.0,117.0,40.0,2.0,19.0,61.0,24.0,3.0,63.0,91.0,27.0,78.0,65.0,47.0,64.0
1280,4.0,0.0,11.0,16.0,8.0,17.0,3.0,151.0,86.0,6.0,36.0,47.0,33.0,39.0,55.0,34.0,119.0,79.0,1.0,22.0,15.0,27.0,44.0,42.0,64.0,59.0,50.0,62.0,40.0,63.0
1329,29.0,1.0,35.0,14.0,18.0,21.0,162.0,146.0,7.0,30.0,121.0,37.0,101.0,64.0,38.0,4.0,31.0,23.0,39.0,136.0,28.0,33.0,16.0,6.0,42.0,58.0,43.0,44.0,47.0,45.0
1378,143.0,0.0,27.0,11.0,4.0,162.0,147.0,5.0,84.0,115.0,35.0,6.0,93.0,38.0,56.0,32.0,116.0,39.0,33.0,137.0,22.0,24.0,19.0,43.0,89.0,51.0,14.0,13.0,45.0,59.0
1427,0.0,15.0,119.0,89.0,17.0,161.0,162.0,20.0,1.0,30.0,34.0,70.0,25.0,29.0,35.0,31.0,117.0,27.0,4.0,2.0,43.0,6.0,49.0,5.0,51.0,46.0,59.0,54.0,10.0,52.0
1476,2.0,11.0,14.0,22.0,16.0,158.0,159.0,18.0,94.0,37.0,31.0,1.0,128.0,0.0,32.0,29.0,35.0,76.0,119.0,6.0,155.0,138.0,50.0,52.0,49.0,4.0,13.0,15.0,55.0,61.0
1525,2.0,10.0,3.0,25.0,125.0,1.0,162.0,128.0,11.0,37.0,27.0,31.0,98.0,17.0,6.0,8.0,26.0,5.0,121.0,135.0,50.0,142.0,18.0,55.0,9.0,7.0,39.0,38.0,43.0,41.0
1574,24.0,4.0,6.0,14.0,7.0,16.0,18.0,13.0,90.0,34.0,9.0,32.0,1.0,2.0,5.0,38.0,36.0,35.0,37.0,135.0,92.0,23.0,50.0,19.0,52.0,26.0,42.0,43.0,40.0,46.0
1623,29.0,1.0,0.0,24.0,18.0,161.0,162.0,128.0,23.0,34.0,120.0,31.0,94.0,10.0,4.0,26.0,11.0,3.0,123.0,32.0,43.0,36.0,51.0,17.0,21.0,6.0,58.0,39.0,48.0,38.0
1672,141.0,8.0,0.0,88.0,7.0,17.0,16.0,128.0,34.0,4.0,127.0,3.0,22.0,2.0,28.0,65.0,27.0,12.0,37.0,134.0,39.0,25.0,13.0,9.0,44.0,26.0,51.0,50.0,55.0,58.0
1721,26.0,1.0,16.0,77.0,9.0,162.0,18.0,10.0,13.0,3.0,38.0,31.0,94.0,33.0,4.0,56.0,40.0,81.0,37.0,135.0,59.0,25.0,20.0,29.0,6.0,24.0,47.0,51.0,44.0,90.0
1770,29.0,17.0,0.0,23.0,22.0,2.0,161.0,21.0,37.0,8.0,122.0,36.0,96.0,7.0,3.0,31.0,30.0,72.0,35.0,136.0,44.0,4.0,26.0,53.0,18.0,5.0,48.0,54.0,47.0,51.0
1819,24.0,2.0,3.0,13.0,129.0,6.0,148.0,15.0,87.0,116.0,35.0,29.0,101.0,8.0,4.0,55.0,32.0,34.0,39.0,138.0,58.0,25.0,21.0,41.0,18.0,5.0,44.0,47.0,20.0,51.0
1868,33.0,7.0,15.0,3.0,18.0,13.0,160.0,5.0,26.0,4.0,41.0,34.0,16.0,2.0,28.0,35.0,40.0,0.0,30.0,135.0,43.0,141.0,54.0,9.0,25.0,38.0,48.0,10.0,51.0,47.0
1917,9.0,105.0,18.0,15.0,7.0,1.0,144.0,150.0,85.0,28.0,33.0,30.0,3.0,4.0,32.0,8.0,34.0,22.0,120.0,27.0,29.0,143.0,48.0,40.0,0.0,36.0,20.0,43.0,45.0,54.0
1966,3.0,9.0,1.0,7.0,17.0,22.0,5.0,18.0,87.0,31.0,10.0,11.0,23.0,33.0,46.0,4.0,116.0,32.0,27.0,137.0,56.0,6.0,50.0,41.0,55.0,30.0,39.0,37.0,14.0,38.0
2015,2.0,4.0,30.0,0.0,12.0,145.0,1.0,151.0,14.0,117.0,6.0,32.0,39.0,38.0,24.0,57.0,35.0,79.0,33.0,138.0,58.0,143.0,46.0,90.0,28.0,3.0,91.0,89.0,42.0,88.0
2064,4.0,108.0,16.0,13.0,11.0,19.0,148.0,151.0,12.0,5.0,38.0,36.0,95.0,35.0,27.0,32.0,42.0,78.0,40.0,25.0,61.0,142.0,21.0,47.0,64.0,60.0,52.0,63.0,48.0,91.0
2113,3.0,40.0,129.0,2.0,21.0,16.0,20.0,151.0,1.0,5.0,39.0,34.0,94.0,26.0,52.0,6.0,116.0,74.0,4.0,37.0,55.0,141.0,44.0,42.0,61.0,32.0,49.0,59.0,35.0,75.0
2162,1.0,13.0,128.0,7.0,12.0,20.0,21.0,151.0,79.0,33.0,11.0,2.0,92.0,5.0,47.0,0.0,114.0,73.0,31.0,138.0,51.0,27.0,38.0,16.0,85.0,24.0,61.0,87.0,28.0,86.0
2211,1.0,24.0,17.0,16.0,19.0,15.0,161.0,22.0,23.0,7.0,27.0,8.0,25.0,32.0,47.0,0.0,117.0,73.0,37.0,29.0,44.0,140.0,59.0,48.0,41.0,6.0,45.0,38.0,51.0,40.0
2260,0.0,9.0,10.0,6.0,11.0,19.0,20.0,151.0,14.0,117.0,31.0,1.0,36.0,38.0,24.0,5.0,118.0,76.0,32.0,136.0,50.0,25.0,51.0,41.0,92.0,26.0,55.0,91.0,46.0,65.0
2309,0.0,9.0,11.0,56.0,16.0,12.0,155.0,18.0,2.0,33.0,6.0,4.0,13.0,35.0,26.0,1.0,117.0,59.0,3.0,23.0,40.0,7.0,20.0,10.0,8.0,28.0,45.0,54.0,5.0,43.0
2358,0.0,32.0,12.0,86.0,16.0,10.0,41.0,9.0,90.0,29.0,34.0,1.0,108.0,26.0,54.0,31.0,30.0,73.0,38.0,8.0,57.0,141.0,49.0,58.0,42.0,27.0,5.0,17.0,46.0,43.0
2407,8.0,6.0,127.0,14.0,10.0,22.0,4.0,151.0,15.0,115.0,2.0,3.0,93.0,36.0,26.0,7.0,116.0,78.0,5.0,137.0,55.0,29.0,44.0,19.0,83.0,27.0,86.0,85.0,88.0,84.0
2456,141.0,106.0,6.0,7.0,12.0,1.0,0.0,130.0,8.0,5.0,9.0,22.0,4.0,24.0,2.0,31.0,27.0,71.0,122.0,134.0,3.0,35.0,48.0,57.0,41.0,25.0,16.0,40.0,45.0,39.0
2505,3.0,17.0,19.0,21.0,22.0,0.0,6.0,149.0,8.0,5.0,1.0,64.0,95.0,29.0,55.0,69.0,118.0,59.0,7.0,135.0,38.0,33.0,37.0,11.0,4.0,30.0,48.0,47.0,54.0,43.0
2554,36.0,13.0,0.0,19.0,18.0,1.0,20.0,149.0,23.0,2.0,31.0,34.0,108.0,64.0,29.0,32.0,3.0,75.0,126.0,43.0,14.0,30.0,15.0,51.0,27.0,17.0,49.0,47.0,57.0,48.0
2603,142.0,106.0,2.0,1.0,128.0,8.0,6.0,148.0,5.0,30.0,27.0,33.0,100.0,70.0,29.0,28.0,31.0,58.0,123.0,134.0,26.0,140.0,50.0,45.0,7.0,24.0,11.0,54.0,47.0,42.0
2652,140.0,99.0,4.0,2.0,17.0,0.0,3.0,130.0,1.0,117.0,39.0,36.0,110.0,62.0,48.0,31.0,32.0,75.0,43.0,132.0,16.0,145.0,57.0,49.0,15.0,29.0,8.0,56.0,27.0,10.0
2701,33.0,8.0,0.0,19.0,18.0,3.0,17.0,129.0,1.0,4.0,25.0,2.0,15.0,35.0,31.0,6.0,27.0,74.0,122.0,135.0,36.0,26.0,53.0,13.0,20.0,44.0,48.0,57.0,50.0,39.0
2750,33.0,5.0,17.0,13.0,1.0,12.0,11.0,3.0,21.0,0.0,35.0,67.0,25.0,28.0,27.0,72.0,4.0,40.0,112.0,39.0,42.0,34.0,26.0,15.0,22.0,31.0,18.0,48.0,56.0,47.0
2799,2.0,23.0,5.0,4.0,3.0,7.0,147.0,149.0,22.0,31.0,8.0,64.0,111.0,72.0,28.0,0.0,29.0,65.0,30.0,35.0,42.0,1.0,11.0,18.0,20.0,33.0,41.0,40.0,47.0,43.0
2848,27.0,5.0,0.0,2.0,6.0,15.0,16.0,131.0,11.0,35.0,3.0,34.0,36.0,42.0,28.0,57.0,38.0,81.0,126.0,23.0,1.0,26.0,22.0,18.0,66.0,29.0,48.0,93.0,51.0,67.0
2897,9.0,2.0,0.0,17.0,20.0,3.0,12.0,23.0,75.0,116.0,31.0,32.0,94.0,13.0,28.0,68.0,117.0,37.0,124.0,135.0,1.0,141.0,16.0,15.0,43.0,42.0,46.0,45.0,52.0,53.0
2946,8.0,2.0,23.0,6.0,0.0,146.0,11.0,9.0,86.0,28.0,121.0,32.0,20.0,60.0,4.0,29.0,115.0,24.0,35.0,33.0,52.0,142.0,44.0,39.0,45.0,51.0,1.0,38.0,55.0,40.0
2995,0.0,6.0,14.0,24.0,18.0,1.0,161.0,4.0,23.0,39.0,7.0,27.0,28.0,61.0,42.0,63.0,116.0,72.0,125.0,31.0,36.0,140.0,57.0,49.0,17.0,34.0,47.0,46.0,10.0,56.0
3044,3.0,6.0,1.0,84.0,20.0,23.0,162.0,2.0,77.0,28.0,121.0,64.0,24.0,71.0,33.0,4.0,117.0,59.0,5.0,136.0,42.0,31.0,55.0,13.0,41.0,43.0,17.0,48.0,52.0,44.0
3093,30.0,5.0,21.0,0.0,149.0,22.0,148.0,24.0,80.0,29.0,121.0,4.0,19.0,62.0,56.0,31.0,116.0,73.0,35.0,138.0,44.0,7.0,54.0,20.0,40.0,45.0,6.0,42.0,55.0,41.0
3142,28.0,13.0,2.0,16.0,4.0,161.0,162.0,17.0,20.0,29.0,35.0,1.0,118.0,27.0,39.0,65.0,115.0,3.0,0.0,6.0,31.0,140.0,57.0,47.0,43.0,49.0,19.0,45.0,51.0,44.0
3191,0.0,2.0,14.0,80.0,11.0,162.0,147.0,12.0,1.0,31.0,119.0,3.0,40.0,29.0,55.0,28.0,32.0,42.0,34.0,22.0,23.0,24.0,47.0,18.0,64.0,58.0,48.0,17.0,19.0,90.0
3240,1.0,21.0,6.0,3.0,22.0,18.0,136.0,25.0,12.0,117.0,121.0,36.0,96.0,63.0,37.0,2.0,30.0,73.0,4.0,39.0,5.0,31.0,58.0,9.0,89.0,55.0,59.0,75.0,27.0,61.0
3289,1.0,5.0,0.0,15.0,19.0,14.0,162.0,21.0,23.0,35.0,119.0,6.0,29.0,62.0,7.0,63.0,32.0,41.0,124.0,134.0,30.0,141.0,55.0,47.0,26.0,46.0,16.0,44.0,53.0,42.0
3338,142.0,7.0,8.0,12.0,18.0,11.0,10.0,4.0,17.0,5.0,120.0,27.0,95.0,60.0,32.0,29.0,30.0,35.0,34.0,28.0,6.0,33.0,52.0,44.0,73.0,41.0,20.0,22.0,13.0,53.0
3387,1.0,0.0,7.0,83.0,6.0,162.0,29.0,3.0,28.0,115.0,32.0,5.0,99.0,40.0,38.0,24.0,116.0,14.0,36.0,8.0,30.0,142.0,15.0,41.0,11.0,54.0,12.0,42.0,58.0,43.0
3436,2.0,105.0,109.0,23.0,17.0,161.0,162.0,129.0,35.0,116.0,7.0,3.0,9.0,26.0,38.0,28.0,29.0,72.0,122.0,15.0,33.0,140.0,50.0,20.0,43.0,56.0,24.0,57.0,5.0,42.0
3485,28.0,99.0,21.0,19.0,155.0,162.0,31.0,10.0,27.0,2.0,5.0,71.0,112.0,64.0,25.0,67.0,26.0,7.0,37.0,0.0,58.0,135.0,11.0,20.0,46.0,33.0,45.0,44.0,3.0,36.0
3534,33.0,24.0,18.0,2.0,20.0,19.0,162.0,21.0,61.0,3.0,7.0,36.0,35.0,1.0,48.0,73.0,123.0,6.0,37.0,25.0,95.0,38.0,53.0,14.0,22.0,85.0,17.0,52.0,13.0,49.0
3583,9.0,13.0,30.0,3.0,27.0,8.0,6.0,28.0,84.0,33.0,34.0,35.0,1.0,42.0,62.0,55.0,32.0,37.0,4.0,135.0,12.0,142.0,50.0,58.0,89.0,54.0,26.0,90.0,17.0,25.0
3632,37.0,100.0,18.0,24.0,20.0,160.0,19.0,155.0,1.0,36.0,4.0,35.0,112.0,63.0,30.0,42.0,31.0,32.0,28.0,0.0,86.0,136.0,56.0,25.0,7.0,47.0,49.0,58.0,10.0,22.0
3681,32.0,16.0,18.0,83.0,128.0,160.0,161.0,149.0,2.0,30.0,37.0,6.0,111.0,28.0,53.0,62.0,31.0,17.0,42.0,4.0,86.0,140.0,10.0,15.0,57.0,46.0,5.0,50.0,24.0,49.0
3730,1.0,98.0,10.0,28.0,11.0,3.0,160.0,14.0,88.0,30.0,0.0,38.0,40.0,32.0,59.0,34.0,118.0,35.0,126.0,23.0,93.0,136.0,63.0,43.0,52.0,62.0,20.0,45.0,21.0,46.0
3779,26.0,7.0,113.0,83.0,1.0,30.0,16.0,132.0,13.0,37.0,4.0,65.0,112.0,61.0,29.0,55.0,36.0,81.0,5.0,20.0,32.0,25.0,49.0,45.0,67.0,130.0,47.0,50.0,18.0,0.0
3828,31.0,14.0,17.0,5.0,18.0,161.0,12.0,130.0,77.0,4.0,8.0,37.0,25.0,61.0,46.0,64.0,39.0,28.0,36.0,33.0,35.0,142.0,9.0,50.0,42.0,41.0,16.0,47.0,0.0,45.0
3877,1.0,98.0,3.0,2.0,129.0,162.0,148.0,150.0,89.0,30.0,6.0,69.0,5.0,63.0,50.0,31.0,116.0,7.0,37.0,8.0,45.0,36.0,14.0,51.0,9.0,46.0,48.0,47.0,23.0,43.0
3926,1.0,10.0,163.0,11.0,14.0,25.0,8.0,3.0,17.0,5.0,0.0,36.0,4.0,29.0,52.0,42.0,37.0,89.0,122.0,137.0,21.0,142.0,38.0,22.0,19.0,55.0,48.0,75.0,23.0,61.0
3975,4.0,12.0,15.0,14.0,149.0,11.0,162.0,19.0,23.0,41.0,29.0,5.0,30.0,39.0,6.0,64.0,117.0,75.0,126.0,136.0,40.0,42.0,26.0,52.0,44.0,38.0,49.0,43.0,25.0,46.0
4024,144.0,9.0,1.0,7.0,0.0,13.0,148.0,19.0,84.0,30.0,8.0,34.0,24.0,4.0,26.0,64.0,5.0,75.0,125.0,138.0,32.0,33.0,43.0,56.0,6.0,48.0,55.0,14.0,3.0,51.0
4073,13.0,18.0,11.0,1.0,15.0,7.0,16.0,116.0,22.0,41.0,36.0,2.0,35.0,31.0,135.0,76.0,91.0,27.0,38.0,152.0,4.0,12.0,64.0,19.0,56.0,138.0,59.0,20.0,17.0,55.0
4122,6.0,5.0,16.0,83.0,130.0,162.0,15.0,20.0,60.0,30.0,128.0,41.0,23.0,27.0,39.0,72.0,118.0,62.0,126.0,139.0,29.0,35.0,52.0,0.0,44.0,51.0,50.0,57.0,11.0,45.0
4171,7.0,8.0,3.0,10.0,128.0,28.0,17.0,11.0,12.0,4.0,2.0,32.0,41.0,58.0,23.0,55.0,31.0,35.0,124.0,138.0,26.0,143.0,21.0,5.0,1.0,56.0,9.0,63.0,20.0,78.0
4220,25.0,16.0,129.0,83.0,149.0,145.0,22.0,2.0,20.0,33.0,120.0,7.0,1.0,60.0,28.0,62.0,115.0,0.0,36.0,138.0,46.0,27.0,14.0,17.0,21.0,31.0,44.0,42.0,48.0,43.0
4269,28.0,5.0,0.0,9.0,17.0,21.0,161.0,129.0,1.0,6.0,3.0,37.0,38.0,60.0,54.0,63.0,118.0,8.0,125.0,136.0,27.0,143.0,24.0,40.0,20.0,57.0,48.0,64.0,22.0,78.0
4318,30.0,3.0,24.0,86.0,130.0,20.0,19.0,2.0,22.0,45.0,31.0,36.0,25.0,0.0,27.0,66.0,34.0,14.0,116.0,141.0,47.0,134.0,1.0,51.0,49.0,39.0,16.0,60.0,9.0,48.0
4367,21.0,0.0,17.0,28.0,15.0,10.0,132.0,14.0,27.0,4.0,37.0,30.0,2.0,33.0,3.0,32.0,39.0,86.0,6.0,8.0,136.0,146.0,61.0,1.0,52.0,135.0,55.0,54.0,58.0,53.0
4416,32.0,14.0,128.0,15.0,0.0,18.0,1.0,19.0,90.0,3.0,6.0,37.0,108.0,30.0,33.0,31.0,117.0,73.0,40.0,16.0,28.0,4.0,11.0,24.0,41.0,44.0,53.0,48.0,49.0,47.0
4465,29.0,106.0,163.0,9.0,0.0,18.0,17.0,4.0,22.0,6.0,1.0,34.0,19.0,5.0,33.0,61.0,114.0,28.0,10.0,135.0,31.0,7.0,48.0,43.0,20.0,36.0,44.0,42.0,23.0,38.0
4514,5.0,13.0,16.0,94.0,1.0,17.0,14.0,149.0,61.0,117.0,0.0,27.0,25.0,34.0,28.0,65.0,118.0,38.0,113.0,29.0,3.0,32.0,2.0,52.0,41.0,42.0,51.0,46.0,55.0,43.0
4563,2.0,9.0,12.0,10.0,15.0,17.0,0.0,18.0,23.0,43.0,1.0,37.0,30.0,29.0,3.0,66.0,44.0,36.0,125.0,40.0,48.0,140.0,59.0,8.0,47.0,49.0,11.0,22.0,55.0,46.0
4612,5.0,16.0,6.0,81.0,21.0,27.0,7.0,24.0,29.0,117.0,2.0,71.0,31.0,63.0,4.0,0.0,30.0,34.0,127.0,141.0,9.0,3.0,57.0,10.0,48.0,20.0,52.0,8.0,56.0,18.0
4661,4.0,13.0,1.0,6.0,3.0,160.0,0.0,17.0,21.0,116.0,34.0,37.0,8.0,26.0,35.0,29.0,117.0,11.0,38.0,134.0,27.0,141.0,50.0,18.0,5.0,28.0,59.0,44.0,47.0,42.0
4710,4.0,127.0,5.0,83.0,22.0,14.0,11.0,19.0,87.0,113.0,1.0,29.0,18.0,32.0,2.0,28.0,114.0,37.0,123.0,135.0,3.0,142.0,52.0,57.0,39.0,30.0,17.0,42.0,23.0,44.0
4759,2.0,98.0,11.0,6.0,13.0,21.0,4.0,5.0,87.0,37.0,33.0,31.0,40.0,1.0,24.0,50.0,117.0,36.0,43.0,142.0,12.0,136.0,64.0,22.0,20.0,63.0,44.0,51.0,48.0,46.0
4808,7.0,24.0,15.0,83.0,150.0,14.0,8.0,22.0,2.0,31.0,1.0,67.0,32.0,36.0,38.0,71.0,117.0,61.0,126.0,4.0,42.0,29.0,25.0,50.0,43.0,39.0,49.0,45.0,52.0,56.0
4857,5.0,106.0,2.0,1.0,4.0,24.0,17.0,130.0,9.0,30.0,37.0,69.0,0.0,29.0,52.0,31.0,116.0,18.0,123.0,134.0,45.0,141.0,11.0,47.0,7.0,32.0,14.0,51.0,55.0,46.0
