,PXDN,CDC20P1,ZNF853,SPIN3,GLB1L2,MAGEA1,EPSTI1,FUZ,PNMAL1,AC016683.6,H2AFY2,LINC00942,SPON2,ACKR3,GPX3,VAMP5,HIC1,C1orf233,XAGE1E,AGAP4,SYCP2L,EMR1,SLC7A2,PKD1P5,CLDN11,H3F3B,RPS2P7,MXRA8,RHOU,MXD1
743,0.0,15.0,31.0,4.0,7.0,3.0,22.0,25.0,13.0,9.0,20.0,6.0,38.0,55.0,16.0,82.0,26.0,1.0,24.0,2.0,14.0,143.0,47.0,12.0,8.0,72.0,18.0,43.0,32.0,71.0
792,0.0,4.0,18.0,16.0,24.0,25.0,20.0,30.0,233.0,27.0,37.0,3.0,17.0,41.0,214.0,71.0,5.0,2.0,122.0,38.0,47.0,44.0,6.0,68.0,39.0,76.0,140.0,54.0,49.0,244.0
841,0.0,2.0,11.0,14.0,25.0,3.0,27.0,62.0,41.0,4.0,31.0,148.0,21.0,35.0,508.0,17.0,7.0,1.0,990.0,132.0,18.0,20.0,8.0,51.0,86.0,39.0,47.0,76.0,43.0,81.0
890,0.0,1.0,14.0,4.0,11.0,17.0,5.0,8.0,18.0,33.0,20.0,3.0,15.0,29.0,351.0,113.0,46.0,2.0,43.0,12.0,23.0,19.0,9.0,83.0,32.0,59.0,13.0,34.0,44.0,90.0
939,1.0,5.0,25.0,13.0,123.0,6.0,26.0,15.0,7.0,14.0,28.0,4.0,23.0,9.0,93.0,241.0,45.0,3.0,422.0,8.0,37.0,10.0,2.0,30.0,21.0,61.0,22.0,780.0,20.0,40.0
988,1.0,16.0,5.0,59.0,3.0,0.0,86.0,88.0,196.0,48.0,23.0,626.0,94.0,10.0,13.0,4.0,117.0,50.0,2.0,67.0,77.0,55.0,39.0,2044.0,31.0,60.0,25.0,228.0,21.0,38.0
1037,0.0,7.0,21.0,5.0,29.0,2.0,42.0,27.0,328.0,288.0,15.0,254.0,145.0,13.0,6.0,1.0,431.0,12.0,22.0,35.0,31.0,223.0,330.0,396.0,24.0,37.0,197.0,62.0,39.0,56.0
1086,3.0,7.0,1.0,14.0,8.0,0.0,65.0,28.0,289.0,45.0,40.0,168.0,510.0,57.0,49.0,9.0,242.0,16.0,10.0,4.0,77.0,58.0,233.0,2047.0,35.0,19.0,20.0,293.0,78.0,30.0
1135,13.0,16.0,2.0,9.0,15.0,0.0,35.0,17.0,460.0,10.0,46.0,170.0,473.0,33.0,11.0,4.0,226.0,1.0,31.0,19.0,122.0,127.0,45.0,99.0,57.0,48.0,1097.0,25.0,41.0,90.0
1184,6.0,760.0,2.0,11.0,16.0,1.0,191.0,181.0,291.0,154.0,69.0,319.0,308.0,73.0,45.0,30.0,158.0,0.0,3.0,15.0,114.0,635.0,20.0,290.0,37.0,10.0,39.0,3224.0,53.0,61.0
1233,2.0,0.0,5.0,15.0,1.0,6.0,10.0,94.0,17.0,1093.0,191.0,176.0,411.0,129.0,99.0,11.0,187.0,57.0,3.0,7.0,32.0,66.0,136.0,2156.0,77.0,381.0,50.0,85.0,55.0,212.0
1282,4.0,15.0,0.0,11.0,13.0,5.0,35.0,38.0,152.0,124.0,68.0,86.0,170.0,22.0,10.0,2.0,178.0,9.0,8.0,3.0,109.0,49.0,83.0,4141.0,42.0,26.0,543.0,176.0,72.0,32.0
1331,4.0,7.0,11.0,12.0,0.0,10.0,33.0,21.0,45.0,247.0,79.0,1428.0,1404.0,97.0,178.0,13.0,296.0,48.0,1.0,15.0,55.0,32.0,70.0,720.0,176.0,38.0,161.0,41.0,73.0,122.0
1380,0.0,19.0,5.0,23.0,1.0,4.0,50.0,389.0,111.0,61.0,75.0,590.0,328.0,14.0,64.0,6.0,221.0,16.0,33.0,27.0,38.0,281.0,94.0,4037.0,15.0,21.0,26.0,1052.0,17.0,12.0
1429,0.0,4.0,1.0,2.0,5.0,3.0,37.0,14.0,111.0,20.0,123.0,128.0,290.0,34.0,6.0,9.0,505.0,13.0,7.0,38.0,18.0,212.0,41.0,929.0,107.0,40.0,48.0,289.0,43.0,23.0
1478,1.0,10.0,2.0,39.0,13.0,4.0,161.0,114.0,6.0,40.0,16.0,14.0,8.0,109.0,0.0,54.0,32.0,134.0,3.0,41.0,36.0,106.0,21.0,76.0,48.0,338.0,9.0,98.0,72.0,85.0
1527,3.0,13.0,402.0,5.0,79.0,2.0,128.0,34.0,35.0,0.0,7.0,51.0,9.0,275.0,32.0,19.0,17.0,11.0,1.0,99.0,58.0,29.0,24.0,193.0,22.0,16.0,41.0,61.0,76.0,28.0
1576,0.0,8.0,19.0,4.0,53.0,2.0,89.0,14.0,7.0,1.0,48.0,12.0,25.0,892.0,30.0,18.0,22.0,10.0,5.0,31.0,49.0,81.0,15.0,798.0,6.0,27.0,80.0,38.0,94.0,45.0
1625,0.0,31.0,45.0,5.0,2.0,9.0,28.0,23.0,40.0,1.0,50.0,30.0,26.0,70.0,10.0,222.0,20.0,11.0,6.0,102.0,63.0,228.0,7.0,41.0,4.0,61.0,24.0,60.0,73.0,13.0
1674,0.0,42.0,9.0,27.0,26.0,15.0,132.0,7.0,8.0,18.0,64.0,3.0,5.0,1723.0,6.0,35.0,31.0,13.0,1.0,236.0,16.0,201.0,24.0,1473.0,22.0,17.0,247.0,159.0,79.0,96.0
1723,0.0,15.0,10.0,5.0,20.0,79.0,166.0,3.0,4.0,7.0,43.0,11.0,2.0,35.0,1.0,8.0,17.0,39.0,40.0,22.0,84.0,320.0,19.0,1227.0,18.0,36.0,74.0,120.0,49.0,9.0
1772,0.0,14.0,27.0,4.0,11.0,16.0,328.0,175.0,54.0,43.0,12.0,15.0,5.0,289.0,7.0,95.0,6.0,22.0,1.0,19.0,35.0,266.0,3.0,97.0,18.0,90.0,8.0,122.0,127.0,21.0
1821,3.0,118.0,2.0,10.0,1.0,8.0,24.0,47.0,53.0,19.0,33.0,94.0,106.0,242.0,4.0,16.0,21.0,23.0,0.0,14.0,11.0,1579.0,31.0,332.0,7.0,61.0,289.0,1824.0,41.0,34.0
1870,0.0,7.0,74.0,12.0,9.0,4.0,79.0,18.0,28.0,1.0,89.0,46.0,70.0,20.0,3.0,66.0,35.0,11.0,25.0,6.0,75.0,214.0,41.0,1176.0,64.0,54.0,117.0,15.0,108.0,10.0
1919,0.0,24.0,22.0,7.0,13.0,2.0,123.0,19.0,21.0,10.0,49.0,4.0,8.0,338.0,3.0,29.0,42.0,5.0,1.0,64.0,59.0,14.0,15.0,233.0,17.0,32.0,72.0,201.0,55.0,75.0
1968,1.0,0.0,53.0,232.0,12.0,4.0,3.0,25.0,8.0,16.0,6.0,14.0,21.0,18.0,94.0,19.0,20.0,254.0,27.0,10.0,28.0,52.0,122.0,31.0,113.0,174.0,17.0,5.0,51.0,115.0
2017,1.0,8.0,3.0,47.0,5.0,475.0,102.0,40.0,0.0,23.0,7.0,11.0,15.0,17.0,10.0,9.0,39.0,147.0,13.0,6.0,36.0,14.0,42.0,52.0,82.0,309.0,50.0,38.0,122.0,77.0
2066,0.0,1.0,14.0,183.0,16.0,3.0,2.0,6.0,8.0,4.0,10.0,9.0,12.0,33.0,94.0,30.0,61.0,122.0,27.0,22.0,11.0,43.0,80.0,29.0,1145.0,292.0,83.0,57.0,93.0,50.0
2115,1.0,0.0,4.0,604.0,6.0,10.0,17.0,11.0,3.0,2.0,16.0,28.0,31.0,24.0,52.0,309.0,18.0,388.0,131.0,5.0,61.0,106.0,222.0,29.0,104.0,260.0,74.0,67.0,51.0,120.0
2164,0.0,1.0,2.0,118.0,140.0,10.0,124.0,29.0,9.0,30.0,6.0,4.0,3.0,223.0,12.0,8.0,21.0,500.0,66.0,22.0,143.0,155.0,435.0,17.0,150.0,74.0,104.0,32.0,62.0,38.0
2213,14.0,0.0,7.0,59.0,18.0,53.0,25.0,16.0,1.0,13.0,4.0,2.0,3.0,17.0,47.0,129.0,24.0,85.0,6.0,21.0,34.0,11.0,30.0,5.0,67.0,155.0,71.0,45.0,89.0,723.0
2262,0.0,21.0,33.0,129.0,12.0,27.0,39.0,31.0,38.0,1.0,18.0,109.0,4.0,3.0,9.0,20.0,34.0,124.0,521.0,22.0,56.0,13.0,37.0,8.0,114.0,315.0,97.0,10.0,59.0,46.0
2311,0.0,3.0,2.0,232.0,16.0,152.0,50.0,9.0,5.0,7.0,22.0,31.0,4.0,27.0,78.0,19.0,21.0,206.0,6.0,1.0,28.0,43.0,161.0,748.0,207.0,195.0,32.0,10.0,35.0,159.0
2360,0.0,8.0,1.0,101.0,7.0,6.0,17.0,9.0,20.0,92.0,90.0,14.0,360.0,40.0,375.0,42.0,72.0,541.0,12.0,2.0,60.0,154.0,174.0,130.0,2077.0,105.0,70.0,49.0,170.0,80.0
2409,3.0,0.0,6.0,799.0,2.0,123.0,19.0,4.0,23.0,52.0,62.0,13.0,17.0,293.0,18.0,10.0,135.0,59.0,29.0,61.0,8.0,12.0,94.0,42.0,665.0,260.0,326.0,24.0,82.0,1219.0
2458,4.0,3.0,14.0,12.0,5.0,6.0,8.0,2.0,29.0,1.0,107.0,7.0,34.0,33.0,22.0,192.0,62.0,63.0,40.0,600.0,39.0,42.0,91.0,136.0,285.0,27.0,70.0,9.0,163.0,105.0
2507,7.0,0.0,13.0,11.0,2.0,86.0,16.0,43.0,50.0,4.0,79.0,254.0,28.0,5.0,45.0,9.0,14.0,8.0,42.0,145.0,15.0,90.0,92.0,51.0,3.0,41.0,99.0,23.0,88.0,54.0
2556,2.0,23.0,1.0,0.0,18.0,250.0,31.0,6.0,19.0,37.0,15.0,5.0,10.0,22.0,16.0,64.0,43.0,3.0,81.0,617.0,86.0,77.0,7.0,11.0,4.0,40.0,144.0,30.0,90.0,47.0
2605,1.0,0.0,12.0,24.0,18.0,29.0,7.0,4.0,19.0,6.0,26.0,5.0,20.0,87.0,10.0,21.0,14.0,37.0,25.0,43.0,17.0,53.0,173.0,16.0,3.0,68.0,22.0,2.0,70.0,750.0
2654,0.0,6.0,3.0,13.0,20.0,10.0,5.0,8.0,691.0,2.0,52.0,1.0,148.0,7.0,11.0,37.0,946.0,18.0,26.0,31.0,54.0,67.0,82.0,94.0,999.0,9.0,32.0,44.0,123.0,253.0
2703,7.0,0.0,1.0,13.0,2.0,6.0,3.0,16.0,37.0,56.0,11.0,26.0,118.0,106.0,17.0,25.0,22.0,4.0,152.0,164.0,38.0,40.0,30.0,8.0,27.0,51.0,55.0,10.0,46.0,262.0
2752,4.0,9.0,1.0,20.0,28.0,40.0,47.0,77.0,18.0,3.0,19.0,10.0,11.0,43.0,6.0,92.0,24.0,5.0,142.0,1388.0,49.0,13.0,26.0,203.0,12.0,27.0,52.0,7.0,97.0,146.0
2801,5.0,0.0,15.0,18.0,14.0,24.0,17.0,27.0,25.0,7.0,8.0,1.0,42.0,3.0,4.0,130.0,13.0,125.0,2623.0,306.0,126.0,49.0,10.0,2.0,35.0,26.0,19.0,29.0,129.0,155.0
2850,2.0,5.0,3.0,1.0,15.0,179.0,20.0,0.0,23.0,4.0,26.0,25.0,44.0,16.0,70.0,10.0,17.0,21.0,77.0,28.0,8.0,104.0,7.0,291.0,42.0,14.0,149.0,11.0,59.0,67.0
2899,57.0,0.0,5.0,11.0,1.0,297.0,9.0,4.0,10.0,7.0,771.0,20.0,22.0,71.0,427.0,3.0,13.0,340.0,70.0,314.0,104.0,15.0,21.0,25.0,19.0,24.0,130.0,28.0,111.0,95.0
2948,0.0,46.0,12.0,118.0,1.0,88.0,2.0,22.0,98.0,5.0,51.0,1455.0,6.0,67.0,7.0,87.0,29.0,59.0,17.0,70.0,11.0,24.0,53.0,3.0,340.0,180.0,190.0,61.0,134.0,43.0
2997,1.0,52.0,7.0,185.0,25.0,619.0,0.0,30.0,1607.0,931.0,130.0,182.0,11.0,253.0,21.0,157.0,86.0,28.0,4.0,1054.0,105.0,67.0,58.0,29.0,350.0,95.0,1210.0,84.0,119.0,216.0
3046,2.0,1.0,11.0,209.0,3.0,34.0,0.0,48.0,15.0,52.0,21.0,339.0,136.0,103.0,13.0,72.0,23.0,434.0,112.0,4.0,14.0,32.0,2438.0,9.0,3178.0,585.0,1217.0,12.0,269.0,238.0
3095,0.0,96.0,226.0,127.0,2.0,24.0,1.0,103.0,78.0,21.0,9.0,438.0,85.0,50.0,8.0,1435.0,33.0,62.0,3.0,15.0,23.0,25.0,29.0,84.0,434.0,108.0,356.0,134.0,395.0,328.0
3144,0.0,70.0,648.0,27.0,12.0,7.0,3.0,14.0,11.0,275.0,116.0,1738.0,224.0,128.0,147.0,48.0,104.0,91.0,4.0,105.0,39.0,78.0,96.0,2.0,140.0,134.0,1210.0,45.0,159.0,295.0
3193,0.0,53.0,54.0,145.0,1.0,5.0,2.0,24.0,135.0,74.0,17.0,1388.0,13.0,148.0,15.0,342.0,133.0,6.0,7.0,210.0,91.0,9.0,136.0,132.0,2294.0,166.0,433.0,22.0,211.0,203.0
3242,1.0,102.0,7.0,59.0,3.0,46.0,2.0,48.0,167.0,238.0,6.0,2101.0,95.0,19.0,32.0,347.0,76.0,10.0,4.0,65.0,13.0,199.0,26.0,0.0,292.0,131.0,204.0,1316.0,73.0,27.0
3291,0.0,7.0,31.0,54.0,1.0,111.0,2.0,22.0,237.0,20.0,45.0,546.0,12.0,142.0,34.0,15.0,29.0,99.0,3.0,125.0,72.0,46.0,154.0,9.0,63.0,182.0,329.0,84.0,185.0,133.0
3340,2.0,6.0,16.0,419.0,1.0,81.0,0.0,15.0,356.0,35.0,84.0,420.0,54.0,52.0,28.0,148.0,57.0,65.0,20.0,43.0,25.0,21.0,110.0,3.0,319.0,48.0,127.0,45.0,115.0,195.0
3389,2.0,40.0,56.0,185.0,6.0,190.0,0.0,249.0,13.0,1766.0,15.0,331.0,10.0,422.0,115.0,279.0,14.0,158.0,8.0,62.0,36.0,11.0,461.0,52.0,607.0,152.0,194.0,50.0,223.0,201.0
3438,1.0,0.0,33.0,179.0,9.0,55.0,3.0,50.0,11.0,34.0,5.0,15.0,173.0,8.0,64.0,409.0,41.0,144.0,16.0,13.0,212.0,7.0,107.0,63.0,470.0,72.0,82.0,24.0,54.0,68.0
3487,3.0,0.0,40.0,12.0,140.0,6.0,105.0,42.0,13.0,30.0,8.0,32.0,232.0,18.0,922.0,344.0,17.0,9.0,16.0,4.0,298.0,5.0,118.0,100.0,33.0,102.0,247.0,41.0,60.0,348.0
3536,19.0,0.0,4.0,8.0,55.0,421.0,37.0,47.0,83.0,1943.0,12.0,29.0,148.0,1.0,25.0,32.0,182.0,16.0,42.0,151.0,56.0,6.0,5.0,412.0,35.0,33.0,101.0,31.0,36.0,14.0
3585,4.0,0.0,76.0,41.0,24.0,37.0,15.0,215.0,7.0,1401.0,2.0,11.0,64.0,9.0,28.0,65.0,106.0,16.0,39.0,55.0,335.0,3.0,462.0,35.0,53.0,54.0,122.0,68.0,17.0,99.0
3634,4.0,0.0,122.0,44.0,20.0,1047.0,30.0,25.0,5.0,172.0,6.0,8.0,76.0,1.0,11.0,714.0,34.0,46.0,282.0,112.0,372.0,13.0,19.0,14.0,131.0,39.0,416.0,29.0,90.0,123.0
3683,83.0,0.0,5.0,12.0,4.0,350.0,7.0,67.0,29.0,48.0,40.0,2.0,1671.0,3.0,6.0,444.0,403.0,86.0,92.0,11.0,123.0,10.0,79.0,172.0,1607.0,47.0,16.0,36.0,61.0,15.0
3732,11.0,0.0,82.0,44.0,15.0,876.0,5.0,93.0,13.0,1754.0,4.0,37.0,97.0,14.0,6.0,69.0,70.0,134.0,18.0,2.0,72.0,26.0,12.0,41.0,46.0,43.0,766.0,21.0,42.0,222.0
3781,2.0,0.0,153.0,15.0,36.0,588.0,10.0,128.0,85.0,5.0,6.0,8.0,60.0,7.0,31.0,232.0,41.0,82.0,229.0,88.0,183.0,4.0,47.0,19.0,137.0,12.0,193.0,14.0,154.0,54.0
3830,1.0,0.0,10.0,39.0,72.0,179.0,11.0,50.0,142.0,69.0,24.0,9.0,97.0,7.0,6.0,40.0,20.0,15.0,700.0,629.0,289.0,3.0,105.0,88.0,161.0,82.0,180.0,12.0,129.0,206.0
3879,11.0,0.0,39.0,7.0,24.0,947.0,9.0,93.0,3.0,16.0,22.0,2.0,351.0,17.0,5.0,115.0,14.0,64.0,80.0,90.0,204.0,4.0,38.0,23.0,69.0,33.0,439.0,18.0,453.0,335.0
3928,11.0,10.0,41.0,3.0,152.0,18.0,46.0,7.0,15.0,2.0,16.0,102.0,14.0,6.0,4901.0,0.0,23.0,17.0,38.0,242.0,39.0,28.0,178.0,53.0,77.0,59.0,69.0,27.0,22.0,55.0
3977,12.0,5.0,115.0,6.0,30.0,319.0,60.0,17.0,103.0,0.0,48.0,31.0,2.0,4.0,54.0,3.0,18.0,44.0,26.0,57.0,81.0,21.0,373.0,265.0,258.0,15.0,8.0,53.0,37.0,13.0
4026,3.0,9.0,117.0,4.0,47.0,68.0,15.0,51.0,18.0,1.0,25.0,114.0,5.0,0.0,36.0,8.0,12.0,17.0,40.0,134.0,34.0,6.0,42.0,26.0,109.0,39.0,7.0,77.0,49.0,11.0
4075,4.0,2.0,1027.0,6.0,259.0,30.0,26.0,42.0,60.0,0.0,45.0,1194.0,9.0,1.0,128.0,3.0,18.0,59.0,31.0,1158.0,53.0,89.0,126.0,19.0,7.0,62.0,14.0,52.0,122.0,16.0
4124,12.0,15.0,33.0,1.0,29.0,210.0,31.0,25.0,242.0,85.0,36.0,14.0,71.0,0.0,79.0,3.0,172.0,30.0,138.0,745.0,92.0,228.0,105.0,7.0,81.0,19.0,48.0,3285.0,189.0,28.0
4173,2.0,1.0,97.0,3.0,346.0,177.0,62.0,5.0,7.0,10.0,20.0,73.0,8.0,0.0,74.0,9.0,12.0,25.0,22.0,85.0,29.0,103.0,23.0,41.0,36.0,45.0,4.0,218.0,58.0,11.0
4222,44.0,0.0,55.0,3.0,64.0,3599.0,19.0,9.0,4.0,2.0,404.0,434.0,7.0,5.0,77.0,1.0,11.0,52.0,192.0,223.0,41.0,27.0,17.0,8.0,126.0,78.0,167.0,70.0,61.0,244.0
4271,4.0,5.0,93.0,8.0,35.0,55.0,145.0,16.0,29.0,0.0,60.0,87.0,9.0,2.0,28.0,7.0,6.0,23.0,136.0,798.0,58.0,232.0,17.0,3.0,15.0,36.0,10.0,100.0,65.0,11.0
4320,1.0,2.0,19.0,8.0,57.0,77.0,39.0,17.0,13.0,4.0,230.0,74.0,5.0,0.0,250.0,7.0,51.0,73.0,35.0,1747.0,32.0,95.0,67.0,30.0,10.0,63.0,16.0,62.0,50.0,15.0
4369,2.0,1.0,77.0,9.0,91.0,2090.0,5.0,4.0,8.0,0.0,6.0,391.0,23.0,3.0,49.0,38.0,47.0,53.0,258.0,26.0,271.0,13.0,106.0,25.0,120.0,63.0,14.0,51.0,60.0,7.0
4418,0.0,3.0,14.0,2.0,1.0,18.0,4.0,17.0,164.0,66.0,32.0,60.0,685.0,11.0,146.0,38.0,388.0,202.0,190.0,128.0,19.0,905.0,90.0,7.0,82.0,22.0,34.0,1728.0,21.0,53.0
4467,12.0,2.0,9.0,31.0,11.0,1.0,5.0,10.0,526.0,37.0,733.0,19.0,61.0,65.0,179.0,0.0,140.0,86.0,50.0,476.0,6.0,367.0,270.0,169.0,8.0,43.0,22.0,387.0,14.0,59.0
4516,2.0,0.0,7.0,1.0,15.0,128.0,6.0,5.0,87.0,107.0,34.0,3.0,63.0,38.0,94.0,37.0,44.0,110.0,98.0,109.0,26.0,168.0,122.0,40.0,4.0,25.0,11.0,250.0,31.0,24.0
4565,5.0,0.0,20.0,4.0,3.0,297.0,2.0,10.0,15.0,2243.0,159.0,1.0,28.0,128.0,21.0,181.0,140.0,94.0,244.0,39.0,8.0,164.0,42.0,50.0,55.0,53.0,16.0,120.0,25.0,176.0
4614,0.0,51.0,35.0,14.0,62.0,65.0,18.0,9.0,112.0,7.0,3.0,1.0,34.0,59.0,8.0,33.0,101.0,24.0,140.0,26.0,30.0,826.0,195.0,834.0,2.0,13.0,495.0,248.0,25.0,55.0
4663,0.0,2.0,11.0,7.0,10.0,13.0,1.0,3.0,63.0,521.0,12.0,4.0,25.0,18.0,47.0,19.0,196.0,145.0,34.0,17.0,14.0,338.0,72.0,65.0,15.0,29.0,23.0,241.0,75.0,88.0
4712,1.0,4.0,0.0,22.0,8.0,5.0,42.0,2.0,135.0,23.0,12.0,11.0,55.0,53.0,31.0,16.0,138.0,215.0,397.0,97.0,33.0,185.0,587.0,164.0,80.0,123.0,7.0,99.0,17.0,79.0
4761,7.0,0.0,2.0,3.0,393.0,24.0,31.0,5.0,11.0,238.0,45.0,1.0,1168.0,211.0,12.0,57.0,239.0,37.0,3788.0,94.0,626.0,214.0,137.0,41.0,8.0,16.0,132.0,467.0,307.0,39.0
4810,5.0,12.0,1.0,7.0,37.0,44.0,9.0,8.0,27.0,513.0,45.0,3.0,47.0,110.0,55.0,34.0,80.0,6.0,143.0,20.0,21.0,289.0,93.0,73.0,11.0,17.0,13.0,223.0,53.0,29.0
4859,1.0,0.0,17.0,6.0,30.0,105.0,7.0,4.0,16.0,62.0,18.0,44.0,10.0,29.0,43.0,64.0,136.0,21.0,55.0,37.0,51.0,125.0,226.0,47.0,9.0,42.0,13.0,40.0,20.0,56.0
