,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,BONE,SKIN,SOFT_TISSUE,THYROID,BREAST,PROSTATE,BILIARY,SALIVARY,ENDOMETRIUM,OVARY,PLEURA,AERODIGESTIVE,LIVER,KIDNEY,PANCREAS,URINARY,NERVOUS,OESOPHAGUS,LUNG
1170,3.0,0.0,9.0,1.0,5.0,2.0,4.0,7.0,6.0,8.0,12.0,13.0,11.0,14.0,15.0,10.0,21.0,16.0,17.0,19.0,18.0,20.0,22.0
1219,0.0,5.0,7.0,2.0,3.0,6.0,4.0,8.0,15.0,9.0,10.0,11.0,14.0,1.0,13.0,22.0,12.0,21.0,16.0,18.0,17.0,19.0,20.0
1268,0.0,1.0,6.0,2.0,3.0,4.0,5.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,20.0,21.0,18.0,19.0,14.0,22.0,15.0,16.0,17.0
1317,0.0,1.0,8.0,2.0,5.0,3.0,4.0,6.0,10.0,7.0,12.0,13.0,11.0,14.0,16.0,9.0,21.0,17.0,18.0,20.0,19.0,15.0,22.0
1366,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,19.0,15.0,17.0,18.0,14.0,21.0,20.0,16.0,22.0
1415,0.0,1.0,9.0,2.0,4.0,3.0,7.0,6.0,10.0,8.0,11.0,12.0,13.0,5.0,16.0,18.0,21.0,17.0,14.0,20.0,19.0,15.0,22.0
1464,0.0,1.0,7.0,2.0,3.0,11.0,4.0,5.0,8.0,6.0,10.0,9.0,15.0,16.0,14.0,18.0,12.0,13.0,17.0,20.0,19.0,21.0,22.0
1513,0.0,1.0,5.0,6.0,4.0,2.0,3.0,7.0,8.0,14.0,9.0,11.0,19.0,16.0,21.0,10.0,15.0,22.0,13.0,18.0,17.0,12.0,20.0
1562,0.0,1.0,2.0,3.0,5.0,6.0,4.0,13.0,9.0,7.0,11.0,12.0,10.0,14.0,16.0,8.0,22.0,17.0,18.0,20.0,19.0,21.0,15.0
1611,0.0,1.0,5.0,6.0,4.0,2.0,3.0,7.0,8.0,14.0,9.0,11.0,19.0,16.0,21.0,10.0,15.0,22.0,13.0,18.0,17.0,12.0,20.0
1660,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,11.0,13.0,8.0,10.0,17.0,14.0,22.0,9.0,18.0,20.0,19.0,21.0,15.0,12.0,16.0
1709,0.0,1.0,3.0,2.0,8.0,5.0,6.0,4.0,9.0,15.0,10.0,12.0,21.0,19.0,16.0,7.0,17.0,18.0,14.0,11.0,20.0,13.0,22.0
1758,0.0,1.0,2.0,4.0,9.0,6.0,7.0,5.0,8.0,14.0,10.0,12.0,13.0,3.0,21.0,11.0,17.0,15.0,18.0,16.0,19.0,20.0,22.0
1807,0.0,1.0,2.0,4.0,6.0,5.0,10.0,7.0,3.0,13.0,8.0,11.0,9.0,14.0,12.0,19.0,22.0,17.0,18.0,20.0,15.0,21.0,16.0
1856,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,11.0,14.0,8.0,10.0,13.0,15.0,22.0,9.0,18.0,20.0,19.0,21.0,16.0,12.0,17.0
1905,0.0,2.0,6.0,1.0,7.0,4.0,5.0,3.0,8.0,16.0,9.0,12.0,21.0,11.0,17.0,13.0,18.0,19.0,15.0,10.0,20.0,14.0,22.0
1954,0.0,1.0,2.0,5.0,4.0,3.0,6.0,7.0,8.0,14.0,9.0,11.0,13.0,17.0,22.0,10.0,15.0,16.0,12.0,19.0,18.0,21.0,20.0
2003,1.0,3.0,6.0,5.0,9.0,7.0,0.0,15.0,8.0,10.0,13.0,14.0,12.0,4.0,18.0,11.0,20.0,16.0,21.0,2.0,22.0,17.0,19.0
2052,0.0,2.0,3.0,4.0,7.0,5.0,6.0,13.0,9.0,8.0,11.0,12.0,10.0,14.0,15.0,18.0,21.0,16.0,17.0,1.0,19.0,20.0,22.0
2101,0.0,2.0,3.0,4.0,8.0,6.0,7.0,13.0,10.0,9.0,11.0,12.0,5.0,18.0,14.0,17.0,21.0,15.0,16.0,1.0,19.0,20.0,22.0
2150,0.0,3.0,1.0,2.0,6.0,5.0,13.0,11.0,4.0,9.0,10.0,12.0,8.0,19.0,15.0,18.0,14.0,16.0,17.0,7.0,20.0,21.0,22.0
2199,5.0,0.0,1.0,6.0,3.0,2.0,8.0,10.0,4.0,15.0,9.0,11.0,19.0,17.0,21.0,13.0,16.0,22.0,14.0,7.0,18.0,12.0,20.0
2248,0.0,2.0,3.0,4.0,9.0,7.0,8.0,13.0,5.0,10.0,11.0,12.0,6.0,16.0,14.0,15.0,21.0,17.0,18.0,1.0,19.0,20.0,22.0
2297,0.0,1.0,2.0,3.0,4.0,5.0,6.0,12.0,8.0,7.0,10.0,9.0,16.0,17.0,15.0,19.0,13.0,14.0,18.0,11.0,20.0,21.0,22.0
2346,1.0,3.0,4.0,5.0,9.0,7.0,8.0,13.0,6.0,0.0,11.0,12.0,10.0,16.0,17.0,14.0,21.0,15.0,18.0,2.0,19.0,20.0,22.0
2395,4.0,1.0,5.0,6.0,3.0,2.0,7.0,14.0,10.0,8.0,12.0,13.0,11.0,15.0,16.0,9.0,21.0,18.0,17.0,0.0,19.0,20.0,22.0
2444,0.0,2.0,3.0,4.0,8.0,6.0,7.0,13.0,5.0,9.0,11.0,12.0,10.0,18.0,14.0,17.0,21.0,15.0,16.0,1.0,19.0,20.0,22.0
2493,0.0,1.0,2.0,5.0,6.0,3.0,4.0,8.0,15.0,9.0,10.0,11.0,7.0,14.0,13.0,17.0,12.0,21.0,16.0,22.0,18.0,19.0,20.0
