,NQO1,MB21D1,SLC16A3,MAGEA6,FAM109B,AC074389.9,LY6G5C,WWP2,CTD-2639E6.9,AC093627.9,ERMP1,CCDC8,RP11-613F22.6,PCDHB2,MAGEA1,TNFSF9,RP11-259P15.1,FOXD1,SMN2,GOLGA8B,SNORA5B,LTBP2,HS3ST3A1,PARP8,HOXC10,HSBP1P2,COL9A2,SNHG5,WNT5A,ALPK3
841,0.0,2.0,15.0,664.0,1.0,8.0,33.0,77.0,5.0,18.0,10.0,4.0,9.0,49.0,23.0,6.0,39.0,16.0,24.0,14.0,30.0,13.0,112.0,194.0,17.0,277.0,44.0,46.0,78.0,27.0
890,0.0,3.0,10.0,42.0,1.0,4.0,9.0,66.0,6.0,31.0,27.0,2.0,32.0,30.0,62.0,127.0,8.0,23.0,5.0,22.0,37.0,155.0,7.0,49.0,138.0,107.0,123.0,48.0,72.0,53.0
939,0.0,3.0,36.0,21.0,4.0,12.0,10.0,47.0,2.0,6.0,27.0,1.0,38.0,16.0,28.0,19.0,5.0,7.0,13.0,9.0,107.0,76.0,11.0,90.0,17.0,33.0,44.0,23.0,128.0,178.0
988,0.0,4.0,19.0,1.0,3.0,27.0,9.0,29.0,68.0,67.0,21.0,5.0,31.0,22.0,12.0,69.0,80.0,291.0,36.0,34.0,204.0,28.0,23.0,16.0,24.0,42.0,104.0,61.0,49.0,58.0
1037,0.0,9.0,14.0,3.0,1.0,10.0,25.0,39.0,19.0,11.0,26.0,12.0,59.0,58.0,7.0,8.0,152.0,23.0,116.0,18.0,102.0,31.0,63.0,5.0,62.0,2.0,93.0,4.0,45.0,48.0
1086,0.0,1.0,40.0,9.0,2.0,4.0,80.0,42.0,131.0,43.0,98.0,6.0,18.0,28.0,16.0,35.0,20.0,60.0,67.0,38.0,486.0,12.0,92.0,57.0,89.0,73.0,113.0,19.0,257.0,69.0
1135,0.0,2.0,33.0,1.0,3.0,10.0,11.0,27.0,43.0,7.0,28.0,6.0,46.0,24.0,55.0,13.0,57.0,40.0,414.0,54.0,95.0,20.0,48.0,9.0,16.0,12.0,53.0,5.0,113.0,202.0
1184,0.0,3.0,10.0,1.0,2.0,12.0,5.0,38.0,62.0,20.0,50.0,7.0,35.0,322.0,6.0,27.0,131.0,29.0,24.0,16.0,70.0,47.0,44.0,4.0,126.0,13.0,58.0,60.0,46.0,22.0
1233,0.0,3.0,19.0,1.0,2.0,102.0,12.0,67.0,23.0,21.0,22.0,25.0,42.0,76.0,9.0,8.0,474.0,80.0,789.0,11.0,20.0,6.0,299.0,15.0,125.0,5.0,39.0,52.0,38.0,31.0
1282,0.0,4.0,38.0,2.0,1.0,57.0,15.0,68.0,25.0,14.0,49.0,46.0,27.0,108.0,18.0,7.0,86.0,31.0,34.0,82.0,33.0,10.0,8.0,80.0,93.0,30.0,51.0,23.0,67.0,216.0
1331,0.0,16.0,12.0,1.0,10.0,4.0,44.0,49.0,25.0,3.0,220.0,2.0,33.0,123.0,128.0,57.0,66.0,6.0,2232.0,135.0,76.0,71.0,68.0,28.0,21.0,11.0,63.0,27.0,199.0,15.0
1380,0.0,3.0,24.0,1.0,2.0,5.0,23.0,14.0,16.0,48.0,10.0,29.0,66.0,44.0,69.0,11.0,35.0,8.0,60.0,4.0,55.0,12.0,32.0,17.0,33.0,7.0,20.0,47.0,78.0,185.0
1429,0.0,3.0,12.0,2.0,4.0,25.0,56.0,27.0,112.0,7.0,48.0,29.0,105.0,79.0,1.0,16.0,17.0,14.0,73.0,123.0,664.0,19.0,34.0,30.0,54.0,50.0,53.0,6.0,2689.0,26.0
1478,0.0,10.0,5.0,65.0,495.0,53.0,29.0,4.0,133.0,33.0,3.0,16.0,12.0,1.0,218.0,214.0,6.0,106.0,398.0,286.0,19.0,46.0,54.0,78.0,241.0,8.0,32.0,61.0,18.0,44.0
1527,0.0,5.0,1.0,2.0,47.0,34.0,10.0,18.0,226.0,3.0,24.0,26.0,19.0,16.0,292.0,72.0,15.0,12.0,679.0,21.0,124.0,210.0,141.0,7.0,50.0,196.0,20.0,68.0,22.0,30.0
1576,0.0,63.0,9.0,2.0,3.0,12.0,21.0,13.0,31.0,30.0,4.0,40.0,65.0,7.0,183.0,57.0,19.0,33.0,102.0,37.0,224.0,111.0,48.0,382.0,11.0,5.0,154.0,106.0,1.0,56.0
1625,0.0,1.0,3.0,19.0,2.0,27.0,30.0,40.0,37.0,16.0,8.0,89.0,18.0,14.0,608.0,31.0,5.0,54.0,70.0,13.0,53.0,136.0,6.0,11.0,35.0,52.0,445.0,195.0,504.0,528.0
1674,0.0,10.0,3.0,118.0,1.0,5.0,46.0,19.0,60.0,52.0,2.0,14.0,28.0,6.0,38.0,41.0,21.0,26.0,22.0,8.0,33.0,54.0,25.0,34.0,31.0,13.0,88.0,50.0,51.0,86.0
1723,0.0,8.0,3.0,49.0,1.0,64.0,6.0,23.0,59.0,15.0,13.0,46.0,5.0,27.0,201.0,44.0,4.0,52.0,22.0,2.0,26.0,100.0,18.0,41.0,263.0,68.0,169.0,11.0,21.0,257.0
1772,0.0,38.0,2.0,44.0,1.0,68.0,58.0,11.0,45.0,16.0,15.0,46.0,6.0,7.0,33.0,12.0,8.0,89.0,22.0,61.0,379.0,24.0,23.0,3.0,28.0,49.0,35.0,27.0,70.0,158.0
1821,0.0,15.0,1.0,14.0,2.0,226.0,25.0,51.0,60.0,11.0,12.0,13.0,4.0,9.0,37.0,7.0,21.0,27.0,608.0,10.0,104.0,26.0,32.0,55.0,121.0,173.0,52.0,5.0,237.0,58.0
1870,0.0,39.0,1.0,4.0,2.0,17.0,96.0,18.0,291.0,22.0,8.0,52.0,5.0,135.0,2299.0,358.0,7.0,167.0,32.0,23.0,34.0,722.0,21.0,38.0,25.0,114.0,47.0,164.0,80.0,518.0
1919,0.0,6.0,2.0,129.0,1.0,139.0,23.0,36.0,55.0,27.0,3.0,31.0,32.0,5.0,356.0,10.0,19.0,37.0,68.0,26.0,25.0,568.0,80.0,44.0,14.0,126.0,351.0,113.0,15.0,633.0
1968,0.0,5.0,29.0,33.0,4.0,54.0,18.0,23.0,2.0,20.0,40.0,69.0,60.0,19.0,13.0,1.0,86.0,35.0,51.0,28.0,77.0,10.0,88.0,76.0,130.0,15.0,106.0,3.0,53.0,254.0
2017,0.0,1.0,24.0,166.0,3.0,55.0,2.0,5.0,4.0,102.0,67.0,87.0,74.0,7.0,46.0,17.0,29.0,16.0,19.0,110.0,30.0,11.0,8.0,47.0,174.0,6.0,33.0,12.0,282.0,405.0
2066,0.0,5.0,4.0,103.0,2.0,174.0,7.0,11.0,8.0,35.0,36.0,22.0,68.0,34.0,51.0,10.0,326.0,19.0,14.0,94.0,31.0,13.0,12.0,15.0,335.0,18.0,59.0,1.0,80.0,661.0
2115,0.0,5.0,4.0,83.0,1.0,308.0,3.0,18.0,10.0,33.0,41.0,9.0,29.0,172.0,42.0,7.0,32.0,71.0,6.0,21.0,38.0,14.0,25.0,36.0,359.0,15.0,137.0,2.0,111.0,294.0
2164,0.0,18.0,5.0,11.0,38.0,396.0,10.0,12.0,7.0,40.0,87.0,377.0,320.0,37.0,111.0,16.0,119.0,3.0,531.0,2495.0,1368.0,6.0,32.0,168.0,49.0,1.0,125.0,2.0,103.0,80.0
2213,0.0,3.0,22.0,144.0,1.0,21.0,2.0,8.0,32.0,13.0,39.0,196.0,42.0,28.0,10.0,9.0,56.0,15.0,33.0,57.0,64.0,11.0,6.0,74.0,877.0,7.0,62.0,4.0,434.0,361.0
2262,0.0,24.0,9.0,242.0,62.0,70.0,5.0,6.0,3.0,38.0,102.0,29.0,57.0,42.0,32.0,18.0,56.0,11.0,1.0,36.0,107.0,21.0,4.0,47.0,78.0,54.0,53.0,8.0,522.0,230.0
2311,0.0,1.0,9.0,127.0,2.0,24.0,25.0,17.0,5.0,34.0,23.0,15.0,28.0,12.0,30.0,18.0,31.0,16.0,3.0,67.0,63.0,10.0,36.0,61.0,72.0,50.0,80.0,26.0,209.0,258.0
2360,0.0,1.0,5.0,36.0,4.0,53.0,2.0,8.0,7.0,25.0,27.0,264.0,193.0,23.0,26.0,15.0,29.0,9.0,11.0,92.0,59.0,14.0,33.0,24.0,229.0,3.0,37.0,6.0,149.0,361.0
2409,0.0,3.0,2.0,14.0,1.0,24.0,42.0,7.0,9.0,29.0,169.0,93.0,6.0,103.0,10.0,16.0,45.0,17.0,83.0,88.0,15.0,13.0,25.0,38.0,74.0,8.0,66.0,4.0,1173.0,777.0
2458,0.0,1.0,45.0,17.0,91.0,3.0,42.0,23.0,2.0,7.0,26.0,168.0,19.0,10.0,8.0,5.0,420.0,46.0,31.0,24.0,76.0,20.0,280.0,957.0,39.0,97.0,66.0,1507.0,9.0,28.0
2507,0.0,1.0,6.0,22.0,8.0,2.0,9.0,48.0,11.0,13.0,28.0,727.0,26.0,135.0,45.0,3.0,189.0,15.0,4.0,7.0,40.0,34.0,94.0,91.0,428.0,718.0,36.0,636.0,18.0,71.0
2556,0.0,1.0,8.0,3.0,294.0,5.0,172.0,21.0,10.0,4.0,50.0,529.0,53.0,191.0,2.0,6.0,229.0,38.0,13.0,19.0,74.0,23.0,80.0,193.0,215.0,1202.0,12.0,926.0,7.0,26.0
2605,0.0,3.0,4.0,8.0,71.0,5.0,32.0,36.0,23.0,18.0,26.0,64.0,13.0,6.0,1.0,2.0,296.0,29.0,33.0,68.0,294.0,115.0,498.0,242.0,55.0,183.0,56.0,133.0,14.0,222.0
2654,0.0,7.0,5.0,4.0,19.0,1.0,133.0,8.0,15.0,9.0,13.0,489.0,63.0,1752.0,23.0,10.0,221.0,68.0,6.0,16.0,340.0,22.0,49.0,223.0,29.0,377.0,47.0,118.0,3.0,53.0
2703,0.0,1.0,2.0,5.0,54.0,3.0,135.0,10.0,32.0,6.0,47.0,111.0,7.0,14.0,8.0,25.0,317.0,34.0,107.0,38.0,490.0,39.0,15.0,86.0,51.0,637.0,19.0,62.0,4.0,29.0
2752,0.0,1.0,15.0,2.0,14.0,3.0,58.0,31.0,13.0,19.0,64.0,688.0,10.0,18.0,4.0,5.0,1325.0,27.0,16.0,21.0,477.0,97.0,80.0,54.0,42.0,93.0,8.0,532.0,29.0,55.0
2801,0.0,2.0,7.0,1.0,68.0,4.0,16.0,23.0,24.0,43.0,37.0,265.0,30.0,12.0,3.0,5.0,88.0,44.0,15.0,21.0,1109.0,98.0,9.0,1007.0,48.0,536.0,22.0,175.0,32.0,96.0
2850,0.0,1.0,4.0,5.0,22.0,2.0,53.0,47.0,41.0,18.0,19.0,318.0,11.0,55.0,3.0,16.0,542.0,48.0,42.0,43.0,305.0,21.0,179.0,250.0,365.0,82.0,24.0,448.0,12.0,66.0
2899,0.0,1.0,7.0,5.0,48.0,15.0,4.0,19.0,83.0,29.0,148.0,105.0,54.0,61.0,11.0,6.0,5934.0,37.0,14.0,26.0,27.0,55.0,80.0,128.0,241.0,130.0,12.0,819.0,9.0,60.0
2948,0.0,56.0,8.0,2.0,3.0,1.0,57.0,19.0,210.0,31.0,30.0,9.0,119.0,16.0,26.0,148.0,6.0,23.0,10.0,556.0,25.0,47.0,12.0,11.0,77.0,137.0,20.0,39.0,1644.0,60.0
2997,0.0,1.0,9.0,4.0,474.0,2.0,63.0,24.0,72.0,26.0,62.0,25.0,40.0,3.0,29.0,79.0,5.0,12.0,6.0,402.0,35.0,70.0,11.0,18.0,167.0,2921.0,10.0,88.0,673.0,61.0
3046,0.0,2.0,6.0,7.0,124.0,1.0,14.0,13.0,96.0,5.0,53.0,22.0,33.0,4.0,32.0,86.0,10.0,43.0,16.0,804.0,38.0,19.0,8.0,11.0,12.0,225.0,17.0,48.0,1308.0,45.0
3095,0.0,3.0,7.0,1.0,65.0,4.0,31.0,25.0,279.0,10.0,51.0,40.0,145.0,2.0,50.0,77.0,74.0,23.0,19.0,102.0,320.0,53.0,5.0,6.0,105.0,30.0,8.0,13.0,497.0,37.0
3144,0.0,1.0,2.0,3.0,41.0,12.0,8.0,19.0,74.0,33.0,62.0,81.0,53.0,7.0,18.0,156.0,10.0,54.0,9.0,110.0,77.0,64.0,5.0,28.0,48.0,183.0,13.0,225.0,76.0,72.0
3193,0.0,4.0,6.0,1.0,39.0,3.0,82.0,18.0,45.0,28.0,69.0,108.0,7.0,10.0,20.0,33.0,8.0,35.0,57.0,88.0,191.0,143.0,14.0,11.0,43.0,179.0,83.0,60.0,947.0,218.0
3242,0.0,6.0,18.0,1.0,17.0,5.0,23.0,7.0,121.0,37.0,33.0,10.0,185.0,48.0,2.0,118.0,8.0,239.0,9.0,65.0,41.0,73.0,16.0,3.0,94.0,63.0,21.0,56.0,1155.0,29.0
3291,0.0,10.0,3.0,1.0,12.0,4.0,60.0,13.0,54.0,9.0,40.0,30.0,14.0,19.0,16.0,114.0,7.0,71.0,24.0,57.0,32.0,87.0,22.0,6.0,101.0,302.0,126.0,102.0,1963.0,204.0
3340,0.0,3.0,23.0,2.0,163.0,1.0,88.0,19.0,156.0,18.0,70.0,135.0,52.0,25.0,177.0,103.0,22.0,15.0,4.0,196.0,17.0,33.0,5.0,34.0,35.0,65.0,26.0,46.0,919.0,96.0
3389,0.0,17.0,3.0,2.0,8.0,1.0,82.0,22.0,166.0,33.0,46.0,19.0,10.0,43.0,45.0,59.0,28.0,5.0,30.0,42.0,44.0,36.0,7.0,9.0,134.0,128.0,86.0,31.0,669.0,196.0
3438,0.0,1.0,3.0,17.0,7.0,8.0,19.0,12.0,13.0,61.0,50.0,83.0,43.0,143.0,75.0,115.0,6.0,112.0,5.0,98.0,4.0,611.0,202.0,22.0,10.0,225.0,48.0,449.0,64.0,32.0
3487,1.0,0.0,8.0,19.0,35.0,90.0,68.0,80.0,9.0,175.0,279.0,10.0,29.0,52.0,2.0,18.0,42.0,425.0,199.0,101.0,23.0,411.0,2664.0,31.0,51.0,74.0,33.0,2178.0,75.0,26.0
3536,0.0,1.0,8.0,32.0,7.0,15.0,28.0,12.0,40.0,90.0,63.0,30.0,20.0,36.0,2.0,46.0,24.0,244.0,13.0,27.0,5.0,260.0,47.0,22.0,18.0,137.0,92.0,586.0,526.0,29.0
3585,0.0,1.0,15.0,4.0,5.0,3.0,23.0,10.0,19.0,338.0,62.0,104.0,31.0,8.0,2.0,55.0,6.0,475.0,83.0,145.0,12.0,99.0,599.0,85.0,45.0,191.0,21.0,184.0,32.0,11.0
3634,0.0,2.0,64.0,24.0,51.0,10.0,8.0,17.0,20.0,263.0,19.0,16.0,209.0,4.0,3.0,333.0,13.0,844.0,137.0,222.0,12.0,389.0,742.0,141.0,29.0,81.0,28.0,59.0,65.0,40.0
3683,0.0,1.0,70.0,7.0,2.0,108.0,19.0,57.0,95.0,17.0,79.0,27.0,46.0,3.0,5.0,43.0,12.0,270.0,183.0,9.0,14.0,169.0,368.0,51.0,11.0,129.0,50.0,236.0,398.0,20.0
3732,0.0,1.0,87.0,52.0,7.0,14.0,5.0,8.0,38.0,101.0,264.0,60.0,32.0,10.0,13.0,166.0,27.0,280.0,16.0,185.0,2.0,136.0,262.0,43.0,49.0,22.0,35.0,383.0,76.0,21.0
3781,0.0,1.0,2.0,7.0,39.0,29.0,9.0,27.0,21.0,104.0,107.0,176.0,41.0,11.0,4.0,45.0,16.0,453.0,47.0,22.0,13.0,235.0,257.0,84.0,56.0,80.0,32.0,759.0,117.0,15.0
3830,0.0,1.0,7.0,58.0,2.0,20.0,17.0,13.0,19.0,109.0,156.0,18.0,30.0,16.0,5.0,46.0,21.0,540.0,105.0,41.0,3.0,83.0,185.0,32.0,10.0,25.0,23.0,397.0,11.0,86.0
3879,0.0,1.0,80.0,96.0,5.0,11.0,7.0,12.0,53.0,66.0,50.0,317.0,108.0,10.0,2.0,73.0,102.0,685.0,42.0,49.0,15.0,484.0,72.0,9.0,20.0,56.0,35.0,40.0,140.0,506.0
3928,0.0,13.0,14.0,10.0,5.0,359.0,1.0,40.0,39.0,139.0,22.0,6.0,41.0,36.0,98.0,34.0,48.0,33.0,7.0,24.0,2.0,18.0,8.0,104.0,19.0,15.0,27.0,20.0,29.0,4.0
3977,0.0,1.0,2.0,4.0,3.0,203.0,27.0,16.0,50.0,7.0,22.0,38.0,11.0,105.0,64.0,15.0,332.0,41.0,84.0,5.0,10.0,25.0,23.0,13.0,20.0,70.0,26.0,14.0,6.0,49.0
4026,0.0,5.0,9.0,1.0,6.0,97.0,8.0,52.0,17.0,38.0,19.0,2.0,10.0,429.0,136.0,18.0,388.0,11.0,22.0,3.0,13.0,47.0,55.0,46.0,34.0,32.0,64.0,56.0,4.0,7.0
4075,0.0,1.0,5.0,84.0,8.0,120.0,72.0,23.0,13.0,17.0,21.0,2.0,69.0,131.0,171.0,42.0,100.0,24.0,25.0,169.0,27.0,14.0,6.0,166.0,3.0,26.0,65.0,47.0,7.0,16.0
4124,0.0,1.0,5.0,122.0,2.0,367.0,15.0,26.0,20.0,58.0,42.0,8.0,14.0,500.0,302.0,50.0,39.0,22.0,7.0,25.0,9.0,10.0,17.0,89.0,107.0,11.0,108.0,12.0,4.0,21.0
4173,0.0,3.0,15.0,143.0,13.0,98.0,42.0,50.0,19.0,82.0,29.0,8.0,22.0,443.0,2.0,53.0,43.0,33.0,4.0,11.0,14.0,88.0,10.0,26.0,41.0,69.0,248.0,9.0,17.0,40.0
4222,0.0,14.0,2.0,1.0,6.0,54.0,11.0,29.0,28.0,154.0,25.0,30.0,27.0,373.0,47.0,34.0,74.0,107.0,62.0,48.0,4.0,73.0,7.0,20.0,272.0,18.0,58.0,46.0,16.0,17.0
4271,0.0,3.0,13.0,17.0,1.0,24.0,20.0,6.0,34.0,18.0,8.0,4.0,42.0,4990.0,202.0,58.0,7.0,92.0,16.0,11.0,15.0,28.0,21.0,71.0,27.0,29.0,99.0,10.0,2.0,19.0
4320,0.0,1.0,11.0,130.0,298.0,4185.0,22.0,16.0,13.0,78.0,6.0,3.0,10.0,326.0,128.0,20.0,115.0,52.0,2.0,5.0,4.0,9.0,42.0,29.0,39.0,23.0,195.0,155.0,15.0,12.0
4369,0.0,3.0,28.0,12.0,21.0,58.0,34.0,60.0,11.0,83.0,36.0,30.0,23.0,1566.0,71.0,32.0,79.0,39.0,5.0,22.0,1.0,16.0,13.0,70.0,46.0,386.0,55.0,160.0,8.0,50.0
4418,0.0,8.0,2.0,18.0,3061.0,6.0,10.0,41.0,227.0,12.0,106.0,109.0,34.0,22.0,85.0,801.0,16.0,51.0,58.0,99.0,1.0,76.0,49.0,3.0,125.0,101.0,104.0,157.0,204.0,63.0
4467,0.0,1.0,3.0,2.0,298.0,8.0,15.0,150.0,18.0,25.0,149.0,30.0,4.0,5.0,153.0,100.0,46.0,9.0,155.0,11.0,6.0,147.0,88.0,40.0,19.0,81.0,70.0,51.0,10.0,61.0
4516,0.0,3.0,2.0,1.0,996.0,41.0,18.0,81.0,71.0,14.0,76.0,54.0,5.0,10.0,13.0,225.0,31.0,8.0,384.0,11.0,4.0,153.0,33.0,6.0,17.0,430.0,36.0,329.0,131.0,12.0
4565,0.0,2.0,1.0,4.0,297.0,185.0,9.0,15.0,47.0,16.0,21.0,10.0,12.0,17.0,1240.0,62.0,11.0,13.0,82.0,3.0,7.0,20.0,30.0,28.0,37.0,323.0,49.0,44.0,5.0,19.0
4614,0.0,2.0,1.0,3.0,43.0,14.0,17.0,41.0,20.0,53.0,66.0,38.0,11.0,219.0,5.0,403.0,126.0,422.0,633.0,8.0,4.0,240.0,161.0,23.0,96.0,91.0,44.0,182.0,27.0,12.0
4663,0.0,2.0,1.0,3.0,2235.0,15.0,81.0,31.0,95.0,20.0,32.0,6.0,5.0,17.0,29.0,545.0,4.0,23.0,34.0,692.0,66.0,106.0,41.0,93.0,24.0,1682.0,27.0,177.0,83.0,26.0
4712,0.0,6.0,2.0,1.0,7.0,551.0,13.0,88.0,49.0,45.0,79.0,4.0,15.0,20.0,292.0,214.0,34.0,33.0,1169.0,3.0,25.0,18.0,48.0,176.0,12.0,46.0,287.0,59.0,21.0,16.0
4761,0.0,2.0,1.0,4.0,124.0,67.0,5.0,22.0,42.0,35.0,43.0,7.0,50.0,6.0,104.0,132.0,11.0,15.0,110.0,17.0,3.0,32.0,28.0,34.0,41.0,606.0,63.0,363.0,842.0,25.0
4810,0.0,1.0,2.0,3.0,790.0,11.0,34.0,26.0,39.0,6.0,59.0,319.0,10.0,5.0,82.0,332.0,19.0,20.0,64.0,38.0,4.0,140.0,29.0,130.0,45.0,148.0,22.0,62.0,31.0,119.0
4859,0.0,3.0,1.0,2.0,181.0,9.0,22.0,20.0,17.0,29.0,59.0,418.0,5.0,166.0,13.0,89.0,48.0,21.0,266.0,36.0,12.0,28.0,324.0,49.0,43.0,522.0,44.0,41.0,4.0,80.0
