,hsa-miR-30a,hsa-miR-766,hsa-miR-1206,hsa-miR-1246,hsa-miR-513b,hsa-miR-124,hsa-miR-675,hsa-miR-378,hsa-miR-1251,hsa-let-7e,hsa-miR-22,hsa-miR-30e,hsa-miR-199b-5p,hcmv-miR-US5-2,hsa-miR-643,hsa-miR-92a,hsa-miR-30d,hsa-miR-34a,hsa-miR-613,hsa-miR-610,hsa-miR-302d,hsa-miR-548a-3p,hsa-miR-190b,hsa-miR-488,hsa-miR-187,hsa-miR-1308,hsa-miR-499-5p,hcmv-miR-US5-1,hsa-miR-578,hsa-miR-220b
656,3.0,24.0,4.0,20.0,35.0,427.0,246.0,45.0,446.0,32.0,64.0,79.0,392.0,23.0,8.0,21.0,43.0,18.0,29.0,318.0,96.0,44.0,414.0,496.0,409.0,382.0,545.0,76.0,138.0,53.0
705,4.0,26.0,439.0,66.0,31.0,40.0,48.0,12.0,427.0,21.0,85.0,67.0,397.0,42.0,15.0,277.0,32.0,9.0,71.0,49.0,125.0,52.0,136.0,11.0,3.0,386.0,548.0,174.0,102.0,594.0
754,5.0,7.0,15.0,50.0,10.0,133.0,43.0,8.0,441.0,455.0,26.0,63.0,401.0,280.0,73.0,90.0,11.0,36.0,79.0,156.0,28.0,177.0,85.0,20.0,48.0,51.0,544.0,113.0,203.0,582.0
803,5.0,13.0,16.0,8.0,15.0,125.0,336.0,37.0,424.0,51.0,55.0,67.0,78.0,92.0,4.0,61.0,53.0,18.0,66.0,14.0,57.0,85.0,94.0,35.0,412.0,380.0,546.0,60.0,89.0,30.0
852,5.0,9.0,10.0,25.0,20.0,132.0,322.0,15.0,428.0,58.0,102.0,113.0,403.0,2.0,36.0,325.0,34.0,65.0,69.0,33.0,95.0,64.0,86.0,110.0,101.0,35.0,544.0,107.0,204.0,32.0
901,7.0,0.0,4.0,20.0,75.0,14.0,341.0,26.0,13.0,65.0,50.0,79.0,402.0,15.0,35.0,98.0,41.0,40.0,48.0,83.0,21.0,139.0,117.0,103.0,18.0,424.0,547.0,278.0,32.0,54.0
950,3.0,14.0,57.0,427.0,29.0,430.0,25.0,52.0,16.0,54.0,59.0,96.0,101.0,26.0,9.0,88.0,619.0,27.0,80.0,62.0,112.0,198.0,84.0,46.0,420.0,379.0,546.0,91.0,72.0,39.0
999,4.0,13.0,353.0,24.0,38.0,42.0,137.0,72.0,45.0,76.0,33.0,151.0,47.0,18.0,108.0,377.0,8.0,99.0,50.0,263.0,80.0,74.0,0.0,81.0,474.0,588.0,32.0,322.0,114.0,479.0
1048,4.0,12.0,343.0,51.0,18.0,81.0,64.0,54.0,56.0,32.0,448.0,68.0,36.0,13.0,15.0,7.0,416.0,95.0,108.0,89.0,31.0,38.0,466.0,86.0,472.0,43.0,607.0,117.0,46.0,135.0
1097,3.0,12.0,441.0,37.0,64.0,61.0,297.0,88.0,52.0,460.0,21.0,70.0,407.0,13.0,85.0,332.0,143.0,135.0,108.0,77.0,31.0,9.0,424.0,76.0,428.0,79.0,90.0,67.0,65.0,93.0
1146,10.0,15.0,441.0,54.0,19.0,433.0,137.0,11.0,478.0,24.0,59.0,73.0,6.0,4.0,132.0,69.0,565.0,610.0,60.0,216.0,81.0,23.0,25.0,99.0,425.0,390.0,498.0,127.0,115.0,586.0
1195,10.0,8.0,445.0,50.0,554.0,437.0,82.0,96.0,34.0,23.0,56.0,35.0,52.0,36.0,69.0,12.0,43.0,65.0,86.0,3.0,81.0,38.0,7.0,124.0,54.0,83.0,501.0,68.0,131.0,584.0
1244,7.0,14.0,446.0,28.0,12.0,10.0,69.0,4.0,46.0,51.0,16.0,73.0,67.0,9.0,81.0,63.0,15.0,118.0,68.0,166.0,27.0,72.0,53.0,83.0,144.0,392.0,562.0,102.0,49.0,582.0
1293,5.0,11.0,447.0,33.0,556.0,25.0,299.0,74.0,12.0,39.0,105.0,57.0,26.0,31.0,124.0,0.0,569.0,612.0,10.0,2.0,100.0,58.0,21.0,68.0,129.0,466.0,119.0,78.0,217.0,497.0
1342,3.0,13.0,444.0,29.0,25.0,2.0,21.0,563.0,22.0,23.0,71.0,92.0,17.0,50.0,36.0,210.0,63.0,76.0,98.0,245.0,42.0,27.0,421.0,88.0,424.0,61.0,511.0,94.0,75.0,586.0
1391,4.0,2.0,435.0,9.0,28.0,7.0,26.0,101.0,439.0,47.0,49.0,72.0,15.0,17.0,32.0,321.0,81.0,603.0,108.0,151.0,36.0,41.0,416.0,78.0,82.0,381.0,547.0,106.0,188.0,577.0
1440,6.0,12.0,377.0,39.0,105.0,18.0,191.0,112.0,192.0,20.0,44.0,54.0,471.0,21.0,68.0,9.0,58.0,84.0,51.0,87.0,79.0,117.0,481.0,96.0,501.0,626.0,618.0,86.0,106.0,499.0
1489,6.0,27.0,444.0,31.0,17.0,8.0,11.0,57.0,461.0,146.0,58.0,64.0,62.0,130.0,63.0,1.0,627.0,55.0,14.0,77.0,138.0,56.0,103.0,104.0,83.0,36.0,29.0,72.0,207.0,583.0
1538,12.0,21.0,1.0,26.0,37.0,11.0,70.0,80.0,14.0,101.0,25.0,45.0,9.0,111.0,35.0,0.0,43.0,69.0,23.0,60.0,143.0,83.0,105.0,84.0,41.0,98.0,87.0,82.0,119.0,74.0
1587,6.0,47.0,3.0,27.0,39.0,68.0,38.0,142.0,431.0,128.0,33.0,50.0,397.0,151.0,43.0,0.0,45.0,48.0,17.0,83.0,131.0,29.0,78.0,79.0,72.0,91.0,34.0,134.0,101.0,579.0
1636,8.0,35.0,1.0,34.0,27.0,28.0,292.0,63.0,432.0,45.0,58.0,73.0,16.0,86.0,52.0,0.0,26.0,69.0,20.0,72.0,104.0,67.0,32.0,99.0,424.0,390.0,19.0,88.0,60.0,584.0
1685,6.0,22.0,19.0,25.0,27.0,15.0,49.0,48.0,29.0,42.0,30.0,67.0,395.0,135.0,69.0,13.0,20.0,63.0,43.0,91.0,40.0,199.0,413.0,71.0,128.0,386.0,92.0,103.0,211.0,578.0
1734,4.0,41.0,447.0,18.0,15.0,7.0,39.0,93.0,83.0,53.0,57.0,89.0,16.0,119.0,21.0,1.0,628.0,44.0,25.0,254.0,127.0,98.0,19.0,63.0,85.0,393.0,52.0,103.0,125.0,107.0
1783,10.0,12.0,6.0,76.0,15.0,7.0,91.0,37.0,32.0,69.0,42.0,115.0,401.0,63.0,30.0,17.0,14.0,109.0,67.0,92.0,34.0,39.0,59.0,110.0,3.0,55.0,50.0,114.0,74.0,85.0
1832,9.0,21.0,436.0,68.0,558.0,428.0,84.0,96.0,29.0,82.0,34.0,39.0,28.0,92.0,32.0,0.0,65.0,64.0,17.0,99.0,59.0,111.0,22.0,67.0,415.0,104.0,36.0,66.0,202.0,576.0
1881,5.0,41.0,12.0,11.0,8.0,4.0,299.0,130.0,29.0,65.0,36.0,7.0,21.0,143.0,34.0,0.0,595.0,63.0,3.0,91.0,64.0,155.0,57.0,103.0,22.0,54.0,44.0,89.0,129.0,58.0
1930,3.0,32.0,8.0,24.0,22.0,432.0,42.0,12.0,427.0,45.0,135.0,56.0,401.0,49.0,29.0,1.0,113.0,114.0,13.0,78.0,102.0,93.0,64.0,501.0,25.0,482.0,36.0,104.0,60.0,584.0
1979,6.0,17.0,439.0,43.0,18.0,33.0,20.0,42.0,441.0,34.0,125.0,67.0,56.0,103.0,107.0,113.0,45.0,83.0,70.0,124.0,44.0,106.0,119.0,112.0,25.0,19.0,529.0,148.0,121.0,579.0
2028,1.0,12.0,2.0,30.0,552.0,86.0,0.0,25.0,51.0,37.0,129.0,33.0,48.0,23.0,41.0,326.0,95.0,115.0,80.0,154.0,13.0,38.0,418.0,46.0,124.0,24.0,500.0,99.0,168.0,36.0
2077,7.0,16.0,1.0,17.0,38.0,438.0,295.0,74.0,41.0,93.0,111.0,61.0,81.0,127.0,32.0,330.0,48.0,92.0,125.0,90.0,47.0,57.0,120.0,65.0,26.0,35.0,53.0,78.0,195.0,73.0
2126,3.0,9.0,438.0,19.0,11.0,5.0,81.0,66.0,427.0,25.0,118.0,54.0,13.0,4.0,94.0,0.0,106.0,17.0,10.0,154.0,51.0,69.0,76.0,98.0,60.0,23.0,34.0,73.0,61.0,47.0
2175,6.0,10.0,338.0,21.0,59.0,4.0,27.0,102.0,225.0,41.0,63.0,52.0,30.0,111.0,73.0,366.0,75.0,77.0,94.0,138.0,33.0,543.0,101.0,87.0,82.0,42.0,532.0,89.0,85.0,395.0
2224,7.0,12.0,9.0,39.0,22.0,54.0,43.0,65.0,56.0,79.0,121.0,37.0,26.0,93.0,11.0,330.0,48.0,87.0,114.0,33.0,40.0,155.0,98.0,60.0,19.0,27.0,502.0,123.0,91.0,584.0
2273,3.0,31.0,0.0,33.0,77.0,17.0,7.0,24.0,61.0,88.0,81.0,39.0,10.0,34.0,99.0,12.0,68.0,134.0,70.0,301.0,87.0,35.0,22.0,120.0,67.0,30.0,38.0,100.0,162.0,581.0
2322,9.0,17.0,3.0,26.0,16.0,22.0,21.0,70.0,47.0,66.0,586.0,27.0,31.0,14.0,311.0,324.0,80.0,607.0,153.0,181.0,59.0,29.0,125.0,97.0,40.0,39.0,509.0,115.0,65.0,73.0
2371,5.0,13.0,437.0,35.0,2.0,1.0,4.0,97.0,41.0,27.0,98.0,45.0,40.0,57.0,311.0,321.0,33.0,114.0,56.0,147.0,105.0,169.0,71.0,109.0,405.0,30.0,81.0,55.0,50.0,577.0
2420,4.0,15.0,442.0,22.0,24.0,12.0,9.0,13.0,88.0,59.0,64.0,48.0,402.0,39.0,35.0,72.0,615.0,604.0,104.0,142.0,25.0,176.0,420.0,502.0,87.0,29.0,79.0,77.0,203.0,581.0
2469,4.0,54.0,448.0,28.0,55.0,96.0,49.0,3.0,102.0,109.0,84.0,43.0,77.0,107.0,30.0,60.0,103.0,20.0,83.0,153.0,597.0,195.0,123.0,131.0,53.0,36.0,47.0,59.0,93.0,48.0
2518,6.0,20.0,14.0,26.0,556.0,33.0,0.0,8.0,37.0,56.0,74.0,108.0,4.0,99.0,78.0,72.0,617.0,11.0,110.0,150.0,597.0,91.0,412.0,105.0,111.0,61.0,545.0,64.0,50.0,593.0
2567,4.0,24.0,438.0,20.0,17.0,430.0,10.0,14.0,42.0,47.0,120.0,39.0,77.0,48.0,65.0,146.0,64.0,78.0,118.0,210.0,615.0,191.0,61.0,498.0,19.0,59.0,545.0,79.0,35.0,590.0
2616,4.0,20.0,442.0,31.0,56.0,115.0,33.0,8.0,429.0,58.0,585.0,46.0,400.0,55.0,69.0,67.0,619.0,92.0,159.0,24.0,2.0,181.0,25.0,68.0,29.0,62.0,43.0,332.0,93.0,583.0
2665,6.0,16.0,11.0,23.0,18.0,101.0,3.0,20.0,437.0,40.0,89.0,59.0,408.0,84.0,91.0,15.0,38.0,34.0,125.0,14.0,579.0,35.0,51.0,110.0,137.0,99.0,499.0,58.0,10.0,93.0
2714,8.0,50.0,12.0,42.0,555.0,23.0,53.0,20.0,30.0,49.0,110.0,97.0,428.0,78.0,67.0,24.0,34.0,90.0,66.0,38.0,595.0,118.0,88.0,104.0,107.0,10.0,26.0,89.0,48.0,83.0
2763,3.0,20.0,21.0,14.0,558.0,62.0,5.0,23.0,32.0,71.0,110.0,69.0,401.0,285.0,11.0,51.0,616.0,79.0,87.0,25.0,17.0,42.0,422.0,97.0,28.0,35.0,527.0,129.0,68.0,580.0
2812,5.0,45.0,113.0,24.0,33.0,80.0,21.0,10.0,16.0,36.0,58.0,82.0,400.0,39.0,94.0,12.0,617.0,603.0,106.0,17.0,78.0,25.0,99.0,66.0,68.0,41.0,89.0,131.0,115.0,48.0
2861,7.0,22.0,435.0,32.0,70.0,428.0,36.0,13.0,457.0,114.0,80.0,40.0,397.0,125.0,27.0,15.0,619.0,59.0,103.0,23.0,615.0,69.0,0.0,495.0,135.0,104.0,547.0,307.0,90.0,590.0
2910,2.0,38.0,12.0,24.0,554.0,438.0,63.0,19.0,39.0,45.0,75.0,103.0,409.0,102.0,108.0,28.0,73.0,3.0,117.0,43.0,579.0,211.0,20.0,119.0,135.0,30.0,1.0,120.0,51.0,587.0
2959,3.0,14.0,12.0,19.0,560.0,28.0,304.0,83.0,451.0,51.0,17.0,40.0,420.0,1.0,59.0,335.0,33.0,61.0,105.0,180.0,68.0,161.0,84.0,63.0,18.0,481.0,41.0,94.0,98.0,499.0
3008,8.0,10.0,80.0,22.0,4.0,441.0,315.0,12.0,20.0,73.0,36.0,23.0,47.0,57.0,39.0,338.0,67.0,100.0,55.0,9.0,32.0,168.0,45.0,87.0,14.0,395.0,69.0,133.0,52.0,588.0
3057,5.0,17.0,444.0,13.0,24.0,1.0,91.0,67.0,430.0,16.0,115.0,26.0,401.0,39.0,71.0,329.0,52.0,57.0,120.0,135.0,35.0,156.0,22.0,54.0,124.0,389.0,63.0,108.0,113.0,62.0
3106,6.0,7.0,5.0,25.0,50.0,101.0,296.0,83.0,136.0,43.0,28.0,24.0,29.0,19.0,66.0,331.0,99.0,78.0,112.0,146.0,10.0,184.0,60.0,77.0,20.0,102.0,34.0,94.0,81.0,93.0
3155,4.0,8.0,22.0,26.0,11.0,427.0,61.0,87.0,445.0,21.0,115.0,47.0,391.0,15.0,39.0,19.0,56.0,73.0,52.0,316.0,14.0,185.0,41.0,74.0,418.0,7.0,30.0,90.0,132.0,37.0
3204,4.0,1.0,10.0,12.0,120.0,125.0,73.0,97.0,476.0,59.0,41.0,16.0,42.0,8.0,32.0,0.0,100.0,603.0,157.0,153.0,39.0,217.0,36.0,44.0,53.0,382.0,52.0,57.0,72.0,65.0
3253,3.0,12.0,459.0,4.0,35.0,1.0,73.0,139.0,432.0,39.0,18.0,30.0,52.0,57.0,60.0,291.0,97.0,106.0,76.0,165.0,13.0,80.0,29.0,102.0,418.0,390.0,529.0,115.0,42.0,63.0
3302,6.0,14.0,439.0,5.0,0.0,431.0,337.0,22.0,29.0,15.0,31.0,12.0,398.0,37.0,47.0,287.0,618.0,63.0,59.0,150.0,94.0,65.0,54.0,57.0,28.0,109.0,45.0,79.0,86.0,21.0
3351,8.0,14.0,445.0,20.0,26.0,4.0,125.0,55.0,34.0,56.0,33.0,36.0,101.0,46.0,118.0,67.0,114.0,54.0,157.0,165.0,105.0,85.0,98.0,65.0,16.0,70.0,24.0,86.0,106.0,78.0
3400,4.0,8.0,14.0,52.0,38.0,5.0,319.0,50.0,504.0,22.0,9.0,43.0,16.0,136.0,49.0,96.0,69.0,97.0,58.0,139.0,113.0,17.0,131.0,87.0,478.0,456.0,514.0,46.0,229.0,28.0
3449,9.0,10.0,18.0,28.0,26.0,180.0,0.0,24.0,56.0,97.0,57.0,86.0,15.0,91.0,93.0,23.0,41.0,52.0,115.0,45.0,107.0,60.0,504.0,59.0,104.0,80.0,536.0,143.0,29.0,22.0
3498,7.0,30.0,48.0,23.0,47.0,31.0,26.0,68.0,461.0,71.0,109.0,82.0,405.0,137.0,20.0,8.0,59.0,85.0,21.0,222.0,99.0,33.0,420.0,96.0,0.0,392.0,105.0,145.0,173.0,585.0
3547,14.0,53.0,441.0,32.0,69.0,22.0,103.0,28.0,34.0,77.0,35.0,73.0,403.0,57.0,68.0,1.0,82.0,83.0,25.0,29.0,52.0,113.0,118.0,131.0,109.0,62.0,93.0,91.0,31.0,106.0
3596,8.0,3.0,440.0,26.0,21.0,15.0,4.0,27.0,6.0,457.0,94.0,43.0,1.0,133.0,75.0,11.0,56.0,65.0,42.0,31.0,62.0,200.0,417.0,76.0,45.0,387.0,528.0,116.0,111.0,36.0
3645,15.0,25.0,81.0,51.0,31.0,41.0,36.0,18.0,45.0,67.0,13.0,54.0,24.0,86.0,48.0,2.0,16.0,71.0,124.0,94.0,60.0,63.0,412.0,112.0,415.0,388.0,92.0,121.0,6.0,58.0
3694,8.0,16.0,143.0,57.0,32.0,22.0,101.0,17.0,430.0,70.0,31.0,90.0,404.0,111.0,41.0,3.0,68.0,4.0,9.0,49.0,38.0,212.0,71.0,29.0,39.0,409.0,10.0,65.0,59.0,15.0
3743,5.0,355.0,22.0,35.0,14.0,434.0,15.0,43.0,33.0,105.0,47.0,64.0,6.0,90.0,20.0,65.0,9.0,37.0,97.0,8.0,12.0,95.0,78.0,138.0,26.0,110.0,500.0,103.0,129.0,41.0
3792,7.0,75.0,8.0,31.0,50.0,16.0,17.0,40.0,126.0,65.0,77.0,25.0,52.0,62.0,70.0,0.0,43.0,38.0,1.0,172.0,127.0,66.0,98.0,112.0,395.0,429.0,68.0,71.0,100.0,78.0
3841,13.0,79.0,438.0,24.0,25.0,63.0,53.0,46.0,457.0,54.0,37.0,64.0,17.0,56.0,87.0,7.0,23.0,131.0,16.0,88.0,564.0,58.0,57.0,50.0,412.0,103.0,527.0,130.0,10.0,9.0
3890,8.0,7.0,441.0,25.0,24.0,10.0,0.0,125.0,14.0,73.0,31.0,96.0,35.0,68.0,75.0,339.0,29.0,107.0,126.0,66.0,54.0,151.0,416.0,11.0,420.0,387.0,527.0,284.0,41.0,63.0
3939,9.0,19.0,14.0,20.0,64.0,433.0,355.0,60.0,442.0,84.0,36.0,70.0,1.0,118.0,18.0,94.0,33.0,91.0,114.0,24.0,596.0,113.0,15.0,72.0,17.0,384.0,32.0,38.0,43.0,54.0
3988,7.0,4.0,10.0,9.0,55.0,109.0,22.0,78.0,64.0,117.0,94.0,104.0,24.0,41.0,138.0,44.0,89.0,102.0,70.0,48.0,105.0,179.0,107.0,59.0,423.0,47.0,51.0,288.0,18.0,60.0
4037,14.0,13.0,8.0,36.0,29.0,3.0,60.0,71.0,56.0,51.0,30.0,126.0,68.0,280.0,85.0,325.0,39.0,72.0,52.0,76.0,43.0,33.0,1.0,95.0,93.0,83.0,64.0,54.0,50.0,587.0
4086,9.0,10.0,13.0,39.0,117.0,103.0,136.0,122.0,110.0,459.0,83.0,73.0,43.0,133.0,63.0,114.0,624.0,89.0,119.0,45.0,91.0,54.0,145.0,98.0,424.0,391.0,50.0,29.0,34.0,33.0
4135,14.0,64.0,47.0,41.0,23.0,32.0,31.0,133.0,33.0,40.0,36.0,39.0,92.0,283.0,52.0,139.0,597.0,30.0,91.0,68.0,75.0,114.0,13.0,62.0,408.0,60.0,85.0,80.0,16.0,103.0
4184,15.0,25.0,17.0,18.0,34.0,13.0,120.0,44.0,49.0,88.0,76.0,31.0,83.0,104.0,48.0,14.0,597.0,117.0,92.0,40.0,86.0,121.0,43.0,107.0,54.0,84.0,500.0,129.0,46.0,588.0
4233,5.0,14.0,1.0,33.0,45.0,436.0,15.0,93.0,31.0,116.0,68.0,96.0,79.0,44.0,87.0,83.0,81.0,65.0,141.0,24.0,137.0,167.0,423.0,505.0,101.0,40.0,74.0,55.0,129.0,23.0
4282,11.0,16.0,25.0,30.0,28.0,429.0,31.0,108.0,458.0,39.0,60.0,110.0,396.0,134.0,41.0,27.0,86.0,45.0,90.0,19.0,57.0,173.0,93.0,79.0,414.0,48.0,50.0,118.0,20.0,92.0
4331,10.0,21.0,70.0,59.0,17.0,90.0,2.0,595.0,428.0,441.0,66.0,20.0,64.0,102.0,306.0,285.0,25.0,74.0,96.0,43.0,23.0,192.0,113.0,85.0,409.0,382.0,545.0,50.0,101.0,83.0
4380,9.0,30.0,437.0,50.0,38.0,25.0,32.0,10.0,26.0,120.0,24.0,36.0,392.0,76.0,46.0,44.0,42.0,33.0,94.0,146.0,40.0,29.0,69.0,54.0,16.0,53.0,551.0,88.0,95.0,48.0
4429,11.0,53.0,2.0,50.0,550.0,36.0,23.0,31.0,33.0,18.0,87.0,30.0,0.0,105.0,109.0,10.0,613.0,606.0,3.0,68.0,108.0,56.0,28.0,64.0,394.0,89.0,27.0,84.0,100.0,79.0
4478,10.0,36.0,7.0,56.0,555.0,117.0,0.0,22.0,46.0,34.0,42.0,96.0,26.0,49.0,114.0,5.0,51.0,37.0,2.0,74.0,109.0,171.0,57.0,91.0,394.0,409.0,40.0,69.0,183.0,591.0
4527,9.0,16.0,11.0,29.0,552.0,84.0,5.0,17.0,36.0,32.0,94.0,154.0,405.0,110.0,100.0,152.0,2.0,607.0,102.0,35.0,147.0,28.0,24.0,114.0,396.0,430.0,500.0,65.0,133.0,41.0
4576,6.0,18.0,440.0,37.0,547.0,432.0,2.0,28.0,20.0,30.0,39.0,23.0,400.0,112.0,85.0,12.0,22.0,46.0,4.0,154.0,93.0,181.0,89.0,501.0,419.0,51.0,529.0,108.0,202.0,581.0
4625,10.0,36.0,0.0,20.0,560.0,76.0,12.0,23.0,18.0,456.0,29.0,21.0,394.0,41.0,312.0,1.0,35.0,122.0,7.0,19.0,80.0,177.0,409.0,93.0,413.0,385.0,74.0,120.0,192.0,575.0
4674,6.0,19.0,445.0,13.0,553.0,436.0,8.0,23.0,431.0,12.0,51.0,565.0,24.0,284.0,112.0,333.0,566.0,610.0,58.0,14.0,45.0,84.0,422.0,508.0,106.0,428.0,48.0,33.0,212.0,64.0
4723,5.0,21.0,15.0,49.0,50.0,119.0,24.0,45.0,458.0,46.0,578.0,622.0,41.0,108.0,25.0,248.0,60.0,59.0,79.0,32.0,121.0,152.0,63.0,105.0,17.0,55.0,547.0,107.0,38.0,576.0
4772,2.0,5.0,193.0,32.0,18.0,622.0,11.0,12.0,24.0,51.0,21.0,582.0,40.0,64.0,114.0,341.0,583.0,58.0,109.0,65.0,79.0,367.0,8.0,77.0,433.0,436.0,78.0,14.0,226.0,104.0
4821,7.0,14.0,3.0,26.0,60.0,129.0,1.0,37.0,40.0,42.0,41.0,58.0,406.0,119.0,118.0,331.0,597.0,609.0,126.0,9.0,53.0,189.0,20.0,63.0,71.0,107.0,74.0,98.0,217.0,78.0
4870,5.0,47.0,30.0,22.0,32.0,437.0,101.0,16.0,431.0,25.0,48.0,81.0,23.0,79.0,89.0,2.0,566.0,612.0,0.0,49.0,124.0,35.0,134.0,128.0,85.0,44.0,72.0,142.0,158.0,19.0
