,MEK1_pS217_S221,Caveolin-1,GAPDH,Bcl-2,p90RSK_pT359_S363,Gab2,CDK1,HER3,IGFBP2,CD31,Collagen_VI,FoxM1,Cyclin_E2,VAV1,N-Cadherin,p38_MAPK,14-3-3_zeta,RAD51,G6PD,RSK1-2-3,PREX1,MIG-6,XBP1,Transglutaminase,IRS1,Cyclin_B1,Beclin,YAP_pS127,SCD1,beta Actin
689,0.0,8.0,1.0,15.0,6.0,13.0,10.0,16.0,2.0,3.0,25.0,118.0,11.0,27.0,20.0,9.0,19.0,28.0,12.0,7.0,62.0,5.0,45.0,51.0,21.0,125.0,17.0,48.0,78.0,4.0
738,0.0,7.0,1.0,3.0,2.0,6.0,12.0,17.0,15.0,8.0,22.0,11.0,10.0,25.0,23.0,9.0,18.0,16.0,20.0,5.0,21.0,4.0,31.0,53.0,36.0,120.0,14.0,35.0,66.0,13.0
787,0.0,5.0,1.0,3.0,10.0,9.0,12.0,20.0,14.0,6.0,17.0,19.0,8.0,27.0,4.0,16.0,15.0,11.0,22.0,7.0,60.0,2.0,50.0,18.0,80.0,84.0,13.0,52.0,65.0,28.0
836,0.0,5.0,1.0,4.0,2.0,17.0,9.0,12.0,8.0,16.0,85.0,24.0,11.0,52.0,14.0,20.0,15.0,18.0,6.0,7.0,79.0,3.0,51.0,55.0,28.0,84.0,29.0,50.0,69.0,10.0
885,0.0,1.0,2.0,4.0,8.0,3.0,15.0,7.0,9.0,10.0,18.0,22.0,12.0,51.0,26.0,13.0,19.0,62.0,17.0,5.0,28.0,6.0,21.0,45.0,25.0,107.0,16.0,52.0,56.0,11.0
934,0.0,3.0,2.0,1.0,4.0,6.0,14.0,20.0,11.0,23.0,111.0,13.0,17.0,25.0,22.0,12.0,71.0,15.0,10.0,5.0,19.0,8.0,79.0,56.0,18.0,88.0,102.0,34.0,69.0,7.0
983,1.0,0.0,8.0,3.0,4.0,6.0,5.0,9.0,2.0,10.0,7.0,25.0,22.0,24.0,45.0,37.0,23.0,28.0,20.0,13.0,14.0,17.0,12.0,18.0,35.0,15.0,90.0,48.0,63.0,89.0
1032,4.0,1.0,0.0,6.0,2.0,5.0,7.0,8.0,3.0,12.0,11.0,14.0,23.0,33.0,10.0,32.0,15.0,19.0,21.0,16.0,9.0,42.0,13.0,17.0,39.0,28.0,89.0,51.0,18.0,29.0
1081,1.0,0.0,2.0,3.0,5.0,4.0,10.0,14.0,6.0,23.0,8.0,22.0,28.0,13.0,56.0,15.0,16.0,45.0,18.0,12.0,9.0,17.0,11.0,7.0,31.0,88.0,91.0,61.0,19.0,120.0
1130,1.0,0.0,3.0,4.0,2.0,6.0,5.0,8.0,7.0,14.0,12.0,9.0,16.0,45.0,10.0,20.0,23.0,22.0,17.0,13.0,15.0,25.0,11.0,48.0,30.0,27.0,87.0,24.0,60.0,85.0
1179,5.0,0.0,1.0,3.0,4.0,2.0,6.0,20.0,10.0,17.0,18.0,9.0,14.0,52.0,8.0,13.0,21.0,26.0,15.0,54.0,7.0,22.0,12.0,28.0,49.0,34.0,90.0,32.0,25.0,88.0
1228,1.0,0.0,2.0,4.0,5.0,3.0,8.0,6.0,7.0,9.0,10.0,11.0,17.0,30.0,46.0,26.0,106.0,21.0,24.0,22.0,14.0,19.0,28.0,12.0,37.0,16.0,20.0,49.0,77.0,32.0
1277,1.0,0.0,4.0,2.0,3.0,9.0,8.0,12.0,10.0,5.0,7.0,29.0,105.0,14.0,21.0,18.0,37.0,30.0,11.0,25.0,6.0,15.0,27.0,19.0,35.0,17.0,104.0,66.0,13.0,119.0
1326,2.0,4.0,0.0,5.0,3.0,1.0,12.0,18.0,7.0,10.0,6.0,11.0,21.0,23.0,32.0,8.0,24.0,22.0,25.0,20.0,9.0,13.0,31.0,16.0,37.0,28.0,96.0,49.0,14.0,94.0
1375,8.0,0.0,2.0,4.0,3.0,7.0,1.0,6.0,13.0,10.0,12.0,18.0,112.0,15.0,17.0,21.0,24.0,25.0,14.0,11.0,5.0,30.0,33.0,51.0,42.0,116.0,87.0,47.0,16.0,86.0
1424,4.0,2.0,3.0,0.0,1.0,5.0,9.0,12.0,7.0,10.0,6.0,19.0,16.0,50.0,13.0,34.0,17.0,20.0,14.0,15.0,8.0,33.0,22.0,26.0,36.0,24.0,88.0,43.0,29.0,21.0
1473,0.0,2.0,8.0,4.0,1.0,13.0,10.0,5.0,20.0,3.0,31.0,25.0,7.0,15.0,19.0,18.0,6.0,71.0,11.0,17.0,30.0,32.0,52.0,24.0,22.0,109.0,96.0,51.0,21.0,94.0
1522,0.0,1.0,7.0,2.0,4.0,6.0,5.0,21.0,9.0,94.0,12.0,24.0,10.0,8.0,41.0,17.0,3.0,71.0,16.0,19.0,18.0,43.0,23.0,11.0,97.0,85.0,26.0,51.0,27.0,30.0
1571,0.0,3.0,4.0,1.0,7.0,8.0,2.0,6.0,23.0,18.0,20.0,26.0,32.0,13.0,34.0,11.0,5.0,55.0,10.0,12.0,14.0,47.0,16.0,24.0,9.0,106.0,91.0,52.0,74.0,17.0
1620,0.0,1.0,5.0,2.0,3.0,9.0,4.0,13.0,6.0,8.0,30.0,32.0,38.0,12.0,22.0,15.0,11.0,61.0,7.0,14.0,24.0,51.0,18.0,26.0,16.0,102.0,100.0,41.0,23.0,35.0
1669,6.0,1.0,2.0,3.0,0.0,8.0,4.0,5.0,20.0,13.0,18.0,26.0,29.0,9.0,15.0,22.0,7.0,55.0,11.0,14.0,12.0,48.0,10.0,31.0,34.0,118.0,89.0,25.0,35.0,30.0
1718,2.0,0.0,4.0,3.0,1.0,10.0,5.0,8.0,9.0,14.0,40.0,36.0,15.0,19.0,22.0,24.0,6.0,44.0,11.0,30.0,16.0,124.0,7.0,27.0,12.0,111.0,21.0,67.0,23.0,114.0
1767,4.0,0.0,9.0,1.0,5.0,14.0,6.0,13.0,23.0,15.0,111.0,7.0,17.0,11.0,29.0,3.0,2.0,61.0,10.0,8.0,24.0,48.0,12.0,37.0,80.0,32.0,26.0,47.0,18.0,92.0
1816,0.0,1.0,6.0,3.0,2.0,8.0,7.0,4.0,14.0,18.0,30.0,11.0,20.0,9.0,61.0,19.0,5.0,43.0,21.0,10.0,27.0,88.0,25.0,15.0,13.0,38.0,41.0,35.0,84.0,12.0
1865,1.0,2.0,8.0,3.0,0.0,23.0,7.0,15.0,13.0,9.0,4.0,29.0,5.0,14.0,57.0,12.0,10.0,36.0,6.0,11.0,22.0,27.0,19.0,18.0,118.0,109.0,55.0,24.0,34.0,32.0
1914,0.0,1.0,8.0,2.0,4.0,7.0,3.0,6.0,83.0,14.0,16.0,12.0,30.0,13.0,36.0,15.0,5.0,63.0,25.0,9.0,19.0,22.0,31.0,47.0,11.0,85.0,27.0,54.0,32.0,95.0
1963,0.0,4.0,1.0,8.0,2.0,7.0,10.0,14.0,12.0,6.0,11.0,16.0,18.0,21.0,28.0,9.0,5.0,15.0,22.0,3.0,27.0,19.0,52.0,26.0,13.0,20.0,24.0,34.0,58.0,101.0
2012,0.0,2.0,3.0,4.0,1.0,22.0,21.0,8.0,18.0,20.0,15.0,23.0,26.0,12.0,32.0,17.0,6.0,33.0,11.0,16.0,24.0,9.0,35.0,7.0,5.0,10.0,37.0,13.0,39.0,94.0
2061,0.0,3.0,2.0,8.0,1.0,18.0,20.0,11.0,6.0,14.0,16.0,28.0,25.0,9.0,19.0,15.0,5.0,12.0,32.0,13.0,24.0,4.0,23.0,17.0,30.0,10.0,34.0,27.0,68.0,92.0
2110,2.0,1.0,0.0,6.0,3.0,4.0,17.0,19.0,13.0,9.0,15.0,12.0,7.0,118.0,39.0,23.0,5.0,26.0,33.0,32.0,8.0,16.0,10.0,14.0,11.0,25.0,85.0,24.0,76.0,89.0
2159,0.0,6.0,1.0,7.0,3.0,15.0,8.0,27.0,14.0,12.0,107.0,10.0,2.0,5.0,11.0,19.0,4.0,24.0,22.0,17.0,9.0,13.0,20.0,18.0,30.0,16.0,29.0,25.0,66.0,89.0
2208,0.0,3.0,1.0,2.0,6.0,4.0,26.0,5.0,15.0,8.0,9.0,22.0,18.0,24.0,49.0,10.0,14.0,19.0,13.0,7.0,28.0,12.0,16.0,23.0,11.0,21.0,34.0,29.0,57.0,102.0
2257,0.0,11.0,1.0,5.0,2.0,10.0,6.0,19.0,8.0,9.0,17.0,34.0,16.0,20.0,35.0,12.0,7.0,24.0,128.0,26.0,22.0,3.0,46.0,15.0,4.0,14.0,31.0,21.0,27.0,92.0
2306,0.0,1.0,2.0,3.0,6.0,10.0,7.0,15.0,17.0,5.0,29.0,11.0,20.0,18.0,34.0,8.0,4.0,14.0,22.0,16.0,26.0,28.0,23.0,30.0,21.0,12.0,32.0,25.0,66.0,27.0
2355,0.0,1.0,2.0,3.0,4.0,21.0,15.0,10.0,11.0,90.0,17.0,115.0,16.0,7.0,32.0,8.0,5.0,31.0,113.0,27.0,6.0,13.0,30.0,42.0,18.0,22.0,9.0,12.0,26.0,14.0
2404,0.0,2.0,1.0,4.0,3.0,8.0,16.0,10.0,12.0,17.0,110.0,21.0,5.0,49.0,47.0,13.0,15.0,9.0,35.0,22.0,20.0,26.0,27.0,7.0,11.0,18.0,25.0,19.0,43.0,34.0
2453,6.0,4.0,0.0,5.0,1.0,2.0,9.0,7.0,15.0,82.0,113.0,11.0,10.0,49.0,22.0,20.0,35.0,17.0,23.0,3.0,16.0,14.0,26.0,52.0,18.0,116.0,32.0,12.0,30.0,29.0
2502,0.0,3.0,2.0,14.0,4.0,1.0,6.0,12.0,22.0,19.0,86.0,8.0,31.0,17.0,46.0,41.0,111.0,77.0,13.0,11.0,7.0,30.0,10.0,20.0,9.0,24.0,97.0,32.0,37.0,34.0
2551,0.0,5.0,2.0,4.0,3.0,1.0,11.0,13.0,17.0,37.0,35.0,15.0,118.0,20.0,32.0,28.0,108.0,8.0,16.0,10.0,19.0,46.0,6.0,53.0,7.0,14.0,91.0,23.0,9.0,12.0
2600,1.0,4.0,0.0,6.0,3.0,2.0,5.0,7.0,17.0,35.0,124.0,12.0,118.0,11.0,40.0,14.0,25.0,26.0,8.0,18.0,15.0,33.0,23.0,22.0,30.0,20.0,89.0,10.0,9.0,88.0
2649,3.0,2.0,0.0,12.0,6.0,1.0,5.0,4.0,11.0,21.0,86.0,7.0,14.0,16.0,29.0,17.0,22.0,15.0,8.0,33.0,9.0,47.0,23.0,56.0,26.0,10.0,107.0,31.0,19.0,30.0
2698,4.0,1.0,0.0,7.0,3.0,2.0,6.0,5.0,11.0,25.0,10.0,15.0,29.0,16.0,12.0,19.0,20.0,9.0,30.0,13.0,14.0,27.0,8.0,47.0,23.0,28.0,33.0,18.0,21.0,26.0
2747,3.0,2.0,4.0,7.0,0.0,1.0,5.0,8.0,21.0,99.0,14.0,11.0,18.0,24.0,25.0,36.0,105.0,23.0,9.0,10.0,20.0,12.0,22.0,55.0,80.0,89.0,26.0,6.0,16.0,17.0
2796,1.0,2.0,3.0,7.0,4.0,0.0,10.0,8.0,9.0,84.0,11.0,30.0,12.0,16.0,38.0,14.0,17.0,13.0,29.0,5.0,23.0,22.0,6.0,53.0,33.0,21.0,94.0,18.0,32.0,91.0
2845,3.0,4.0,2.0,5.0,0.0,1.0,6.0,7.0,82.0,32.0,37.0,11.0,18.0,58.0,23.0,10.0,20.0,8.0,13.0,16.0,21.0,15.0,14.0,35.0,40.0,17.0,91.0,9.0,12.0,19.0
2894,2.0,4.0,0.0,7.0,1.0,3.0,8.0,9.0,82.0,85.0,37.0,22.0,10.0,31.0,26.0,18.0,108.0,24.0,125.0,5.0,19.0,11.0,23.0,54.0,80.0,121.0,30.0,6.0,15.0,13.0
2943,0.0,1.0,3.0,4.0,9.0,8.0,2.0,6.0,10.0,20.0,5.0,11.0,14.0,7.0,19.0,16.0,105.0,17.0,110.0,29.0,31.0,12.0,51.0,44.0,87.0,23.0,90.0,25.0,21.0,30.0
2992,0.0,1.0,7.0,4.0,8.0,2.0,3.0,13.0,10.0,34.0,14.0,6.0,27.0,5.0,19.0,28.0,12.0,9.0,119.0,36.0,26.0,20.0,48.0,22.0,24.0,18.0,17.0,11.0,29.0,15.0
3041,0.0,1.0,9.0,5.0,6.0,8.0,3.0,7.0,4.0,21.0,13.0,10.0,16.0,2.0,14.0,17.0,20.0,19.0,34.0,63.0,12.0,29.0,30.0,55.0,48.0,35.0,33.0,11.0,22.0,27.0
3090,0.0,2.0,4.0,1.0,10.0,3.0,11.0,17.0,23.0,25.0,6.0,9.0,12.0,7.0,22.0,18.0,103.0,29.0,109.0,59.0,13.0,14.0,47.0,31.0,8.0,28.0,90.0,5.0,15.0,19.0
3139,0.0,2.0,5.0,7.0,3.0,6.0,1.0,11.0,18.0,24.0,17.0,16.0,20.0,4.0,15.0,12.0,34.0,22.0,117.0,30.0,64.0,14.0,53.0,43.0,94.0,13.0,100.0,10.0,9.0,8.0
3188,0.0,1.0,7.0,2.0,5.0,4.0,11.0,20.0,12.0,16.0,23.0,6.0,18.0,3.0,9.0,30.0,21.0,15.0,32.0,24.0,59.0,8.0,51.0,44.0,49.0,28.0,31.0,26.0,17.0,14.0
3237,0.0,2.0,7.0,3.0,8.0,6.0,4.0,5.0,11.0,16.0,9.0,21.0,108.0,1.0,10.0,27.0,104.0,13.0,105.0,23.0,19.0,15.0,50.0,44.0,20.0,18.0,26.0,12.0,67.0,22.0
3286,0.0,2.0,6.0,1.0,7.0,4.0,5.0,12.0,15.0,19.0,22.0,17.0,8.0,3.0,10.0,24.0,104.0,16.0,18.0,62.0,11.0,14.0,49.0,31.0,21.0,116.0,86.0,13.0,20.0,9.0
3335,1.0,0.0,6.0,2.0,8.0,4.0,3.0,11.0,15.0,13.0,9.0,10.0,12.0,7.0,14.0,32.0,101.0,19.0,107.0,20.0,16.0,22.0,49.0,51.0,21.0,120.0,28.0,17.0,24.0,5.0
3384,0.0,2.0,6.0,10.0,3.0,9.0,5.0,29.0,15.0,28.0,14.0,16.0,4.0,1.0,8.0,25.0,101.0,12.0,23.0,59.0,11.0,33.0,46.0,24.0,42.0,108.0,83.0,13.0,27.0,81.0
3433,0.0,4.0,1.0,7.0,10.0,8.0,2.0,3.0,5.0,11.0,23.0,27.0,13.0,28.0,14.0,16.0,20.0,15.0,25.0,40.0,61.0,22.0,6.0,50.0,18.0,17.0,21.0,12.0,30.0,94.0
3482,0.0,4.0,1.0,7.0,11.0,6.0,2.0,8.0,3.0,5.0,18.0,9.0,22.0,13.0,10.0,24.0,34.0,28.0,39.0,30.0,64.0,56.0,14.0,17.0,36.0,26.0,35.0,16.0,20.0,102.0
3531,0.0,2.0,3.0,4.0,7.0,8.0,1.0,17.0,5.0,9.0,12.0,15.0,6.0,46.0,14.0,10.0,19.0,21.0,18.0,48.0,11.0,31.0,53.0,22.0,13.0,34.0,95.0,27.0,62.0,32.0
3580,0.0,4.0,1.0,8.0,6.0,2.0,7.0,12.0,5.0,16.0,15.0,13.0,9.0,10.0,3.0,14.0,32.0,59.0,117.0,70.0,62.0,48.0,23.0,19.0,27.0,21.0,94.0,20.0,24.0,92.0
3629,0.0,1.0,6.0,4.0,13.0,3.0,7.0,10.0,5.0,19.0,21.0,14.0,28.0,9.0,20.0,22.0,24.0,15.0,113.0,27.0,67.0,41.0,25.0,39.0,120.0,11.0,38.0,16.0,30.0,96.0
3678,0.0,3.0,8.0,7.0,2.0,1.0,5.0,9.0,13.0,17.0,21.0,10.0,22.0,15.0,18.0,12.0,19.0,72.0,34.0,29.0,36.0,42.0,14.0,58.0,6.0,86.0,11.0,20.0,38.0,32.0
3727,0.0,8.0,2.0,7.0,23.0,1.0,3.0,4.0,9.0,37.0,13.0,21.0,18.0,15.0,5.0,6.0,27.0,16.0,122.0,75.0,20.0,46.0,10.0,22.0,14.0,36.0,28.0,58.0,26.0,96.0
3776,0.0,1.0,5.0,7.0,12.0,2.0,3.0,13.0,8.0,9.0,28.0,10.0,16.0,4.0,6.0,17.0,14.0,15.0,113.0,37.0,19.0,49.0,25.0,71.0,18.0,35.0,38.0,54.0,32.0,89.0
3825,0.0,4.0,6.0,14.0,34.0,2.0,3.0,9.0,1.0,7.0,109.0,17.0,8.0,22.0,11.0,10.0,16.0,13.0,21.0,30.0,29.0,43.0,35.0,23.0,20.0,18.0,36.0,15.0,69.0,95.0
3874,0.0,5.0,6.0,1.0,15.0,8.0,2.0,24.0,3.0,34.0,16.0,7.0,14.0,18.0,23.0,20.0,28.0,17.0,113.0,25.0,33.0,46.0,54.0,4.0,22.0,111.0,98.0,19.0,10.0,94.0
3923,0.0,4.0,2.0,1.0,6.0,3.0,7.0,10.0,11.0,8.0,5.0,32.0,23.0,40.0,13.0,33.0,18.0,9.0,16.0,60.0,67.0,28.0,25.0,27.0,14.0,29.0,22.0,42.0,59.0,91.0
3972,2.0,3.0,0.0,1.0,4.0,7.0,9.0,8.0,13.0,5.0,10.0,11.0,19.0,22.0,18.0,43.0,15.0,14.0,6.0,68.0,28.0,20.0,16.0,23.0,108.0,25.0,33.0,51.0,67.0,95.0
4021,4.0,3.0,0.0,1.0,2.0,5.0,7.0,10.0,23.0,6.0,24.0,17.0,11.0,12.0,8.0,34.0,22.0,14.0,16.0,80.0,33.0,13.0,30.0,15.0,32.0,118.0,21.0,55.0,77.0,95.0
4070,1.0,3.0,0.0,2.0,5.0,4.0,6.0,13.0,31.0,8.0,17.0,25.0,94.0,14.0,9.0,44.0,26.0,12.0,34.0,69.0,18.0,10.0,24.0,27.0,23.0,33.0,19.0,52.0,68.0,32.0
4119,2.0,3.0,0.0,1.0,4.0,6.0,7.0,9.0,23.0,5.0,12.0,31.0,22.0,10.0,11.0,42.0,26.0,14.0,8.0,67.0,33.0,15.0,24.0,19.0,29.0,25.0,99.0,35.0,32.0,18.0
4168,3.0,0.0,2.0,1.0,4.0,6.0,10.0,17.0,124.0,5.0,18.0,31.0,122.0,19.0,11.0,22.0,7.0,8.0,25.0,66.0,13.0,9.0,20.0,23.0,87.0,15.0,14.0,29.0,64.0,93.0
4217,1.0,4.0,0.0,2.0,3.0,5.0,8.0,17.0,78.0,6.0,7.0,114.0,30.0,16.0,10.0,29.0,9.0,12.0,23.0,64.0,18.0,13.0,11.0,28.0,21.0,121.0,90.0,48.0,63.0,89.0
4266,4.0,2.0,0.0,1.0,3.0,14.0,5.0,6.0,10.0,16.0,9.0,25.0,33.0,19.0,7.0,24.0,26.0,11.0,12.0,67.0,22.0,17.0,28.0,15.0,32.0,35.0,23.0,50.0,36.0,88.0
4315,1.0,2.0,0.0,3.0,5.0,6.0,8.0,7.0,15.0,4.0,9.0,16.0,29.0,12.0,21.0,78.0,118.0,58.0,111.0,68.0,30.0,20.0,17.0,35.0,33.0,18.0,28.0,54.0,23.0,97.0
4364,1.0,2.0,4.0,0.0,6.0,5.0,15.0,35.0,13.0,7.0,3.0,31.0,30.0,14.0,11.0,36.0,8.0,9.0,26.0,66.0,28.0,17.0,52.0,10.0,113.0,16.0,25.0,24.0,64.0,130.0
4413,2.0,0.0,3.0,1.0,5.0,7.0,12.0,4.0,16.0,8.0,10.0,15.0,119.0,53.0,9.0,17.0,20.0,71.0,113.0,13.0,74.0,37.0,31.0,56.0,80.0,11.0,6.0,28.0,23.0,89.0
4462,3.0,0.0,2.0,7.0,4.0,18.0,5.0,1.0,20.0,9.0,15.0,16.0,21.0,19.0,6.0,75.0,8.0,24.0,38.0,13.0,17.0,25.0,49.0,45.0,53.0,10.0,12.0,50.0,70.0,14.0
4511,1.0,4.0,0.0,3.0,5.0,9.0,12.0,2.0,18.0,11.0,83.0,7.0,121.0,26.0,8.0,46.0,107.0,32.0,14.0,16.0,23.0,17.0,15.0,30.0,88.0,10.0,6.0,52.0,13.0,24.0
4560,1.0,3.0,0.0,5.0,4.0,10.0,12.0,2.0,22.0,6.0,18.0,20.0,21.0,16.0,8.0,24.0,11.0,15.0,19.0,13.0,28.0,26.0,30.0,54.0,35.0,31.0,17.0,50.0,23.0,32.0
4609,0.0,1.0,2.0,3.0,6.0,5.0,16.0,7.0,17.0,10.0,15.0,11.0,24.0,9.0,35.0,18.0,4.0,14.0,32.0,12.0,62.0,50.0,23.0,44.0,26.0,20.0,8.0,54.0,28.0,94.0
4658,1.0,3.0,0.0,5.0,6.0,25.0,4.0,2.0,14.0,8.0,13.0,7.0,112.0,17.0,18.0,21.0,27.0,26.0,30.0,19.0,28.0,50.0,22.0,46.0,32.0,9.0,11.0,55.0,33.0,34.0
4707,0.0,4.0,2.0,1.0,3.0,15.0,5.0,7.0,34.0,11.0,25.0,18.0,28.0,21.0,14.0,47.0,8.0,10.0,19.0,9.0,17.0,36.0,32.0,37.0,100.0,13.0,16.0,30.0,20.0,94.0
4756,2.0,4.0,0.0,3.0,6.0,1.0,9.0,5.0,18.0,8.0,38.0,7.0,14.0,20.0,15.0,13.0,19.0,10.0,28.0,35.0,16.0,26.0,24.0,58.0,87.0,11.0,25.0,36.0,67.0,23.0
4805,0.0,3.0,1.0,9.0,2.0,7.0,8.0,4.0,5.0,17.0,15.0,6.0,82.0,14.0,19.0,33.0,30.0,12.0,13.0,25.0,70.0,41.0,31.0,22.0,45.0,10.0,11.0,26.0,62.0,27.0
4854,0.0,4.0,1.0,2.0,3.0,6.0,9.0,8.0,18.0,7.0,28.0,13.0,31.0,45.0,33.0,48.0,108.0,22.0,125.0,30.0,27.0,16.0,12.0,47.0,80.0,10.0,11.0,40.0,58.0,90.0
