,Shc_pY317,RAD51,Smac,SF2,eEF2,MIG-6,PAI-1,NDRG1_pT346,Paxillin,C-Raf_pS338,MYH11,PKC-pan_BetaII_pS660,eEF2K,HER2_pY1248,Bid,Bap1 c-4,ACC1,JNK_pT183_Y185,4E-BP1,p70S6K_pT389,PRDX1,PTEN,PREX1,p38_MAPK,p62 Lck ligand,p21,p53,p38_pT180_Y182,p90RSK_pT573,p90RSK_pT359_S363
2603,28.0,1.0,29.0,27.0,14.0,8.0,0.0,11.0,2.0,19.0,3.0,43.0,108.0,12.0,36.0,145.0,38.0,33.0,89.0,18.0,22.0,23.0,46.0,31.0,62.0,132.0,63.0,64.0,59.0,60.0
2652,5.0,26.0,29.0,28.0,7.0,1.0,22.0,6.0,3.0,20.0,34.0,43.0,9.0,18.0,38.0,37.0,97.0,164.0,80.0,2.0,24.0,25.0,47.0,21.0,65.0,35.0,66.0,100.0,62.0,63.0
2701,4.0,22.0,3.0,25.0,1.0,2.0,18.0,8.0,31.0,32.0,141.0,20.0,13.0,16.0,43.0,35.0,91.0,10.0,36.0,0.0,44.0,50.0,48.0,67.0,64.0,132.0,6.0,66.0,61.0,62.0
2750,9.0,71.0,61.0,6.0,5.0,127.0,18.0,14.0,7.0,126.0,1.0,79.0,20.0,133.0,107.0,3.0,12.0,164.0,31.0,22.0,28.0,74.0,76.0,59.0,36.0,49.0,11.0,46.0,39.0,45.0
2799,34.0,1.0,0.0,30.0,6.0,28.0,22.0,32.0,21.0,107.0,11.0,15.0,157.0,134.0,31.0,2.0,117.0,7.0,40.0,3.0,5.0,77.0,13.0,52.0,48.0,54.0,43.0,62.0,50.0,46.0
2848,25.0,11.0,1.0,0.0,18.0,28.0,9.0,2.0,14.0,129.0,163.0,20.0,21.0,5.0,13.0,27.0,6.0,92.0,113.0,41.0,56.0,80.0,10.0,36.0,38.0,49.0,48.0,42.0,47.0,44.0
2897,4.0,15.0,7.0,11.0,0.0,27.0,23.0,8.0,5.0,104.0,9.0,3.0,157.0,135.0,12.0,29.0,34.0,164.0,110.0,6.0,1.0,75.0,76.0,25.0,38.0,45.0,17.0,37.0,40.0,43.0
2946,12.0,0.0,1.0,13.0,24.0,7.0,5.0,26.0,46.0,99.0,11.0,14.0,16.0,4.0,10.0,3.0,29.0,94.0,38.0,45.0,86.0,84.0,85.0,21.0,41.0,53.0,61.0,48.0,43.0,44.0
2995,40.0,13.0,1.0,5.0,159.0,6.0,29.0,7.0,52.0,2.0,14.0,16.0,17.0,136.0,3.0,36.0,4.0,164.0,39.0,22.0,80.0,30.0,78.0,49.0,47.0,50.0,23.0,44.0,43.0,46.0
3044,28.0,27.0,0.0,87.0,10.0,15.0,21.0,2.0,22.0,3.0,138.0,25.0,105.0,154.0,38.0,132.0,34.0,16.0,37.0,58.0,4.0,26.0,40.0,62.0,59.0,20.0,60.0,61.0,56.0,57.0
3093,4.0,33.0,0.0,16.0,23.0,25.0,9.0,29.0,21.0,7.0,163.0,76.0,30.0,132.0,6.0,13.0,31.0,92.0,26.0,14.0,79.0,11.0,20.0,48.0,56.0,36.0,47.0,22.0,45.0,46.0
3142,4.0,0.0,15.0,8.0,163.0,5.0,47.0,7.0,14.0,22.0,19.0,77.0,24.0,136.0,102.0,1.0,9.0,93.0,34.0,11.0,80.0,6.0,81.0,44.0,10.0,50.0,52.0,54.0,48.0,49.0
3191,3.0,28.0,2.0,31.0,14.0,19.0,4.0,20.0,5.0,128.0,6.0,26.0,111.0,158.0,1.0,39.0,38.0,36.0,42.0,23.0,27.0,45.0,46.0,71.0,65.0,164.0,66.0,67.0,62.0,63.0
