,LOC391322_AMP,GSTT1_AMP,MIR1207_AMP,LOC727677_AMP,GSTTP2_AMP,WNK1_MUT,CHD1_MUT,LOC388692_AMP,OR2T35_AMP,POU5F1B_AMP,TP53_MUT,GALNT13_DEL,LOC727924_DEL,PIK3R4_MUT,MIR1204_AMP,OR2T2_AMP,UNC13C_DEL,KLHL38_AMP,MIR1206_AMP,CNTNAP3B_AMP,PRB1_AMP,CDKAL1_DEL,EYS_DEL,ESPNP_DEL,MIR4735_AMP,RPTOR_AMP,FAM91A1_AMP,SCAPER_DEL,MYC_AMP,CHEK2P2_DEL
518,7.0,13.0,164.0,80.0,806.0,4.0,16655.0,55.0,0.0,554.0,770.0,20030.0,147.0,16473.0,60.0,15486.0,3.0,162.0,457.0,453.0,173.0,10197.0,2515.0,6165.0,16358.0,67.0,17712.0,10943.0,17.0,12137.0
567,1540.0,7.0,21.0,27.0,119.0,6.0,2530.0,110.0,0.0,22299.0,1305.0,22.0,1694.0,16451.0,67.0,15514.0,78.0,32.0,16003.0,1.0,22551.0,15.0,4029.0,61.0,194.0,2.0,288.0,546.0,5.0,815.0
616,359.0,2651.0,1099.0,0.0,22722.0,4.0,37.0,3.0,830.0,631.0,29.0,21109.0,93.0,8866.0,7.0,13540.0,1.0,14184.0,104.0,55.0,15820.0,42.0,217.0,7137.0,21455.0,2730.0,18.0,147.0,13.0,2813.0
665,2738.0,31.0,13.0,24091.0,575.0,0.0,99.0,476.0,774.0,138.0,2368.0,32.0,3.0,411.0,11.0,15488.0,6.0,762.0,126.0,24086.0,20.0,24.0,160.0,210.0,16369.0,21625.0,12.0,194.0,14439.0,203.0
714,2041.0,18.0,23.0,0.0,436.0,5.0,6.0,56.0,54.0,703.0,2.0,81.0,237.0,549.0,36.0,15344.0,19.0,540.0,9.0,24126.0,546.0,1695.0,3987.0,1.0,1642.0,288.0,88.0,10932.0,25.0,1364.0
763,9.0,104.0,75.0,102.0,23745.0,481.0,1.0,35.0,209.0,22298.0,386.0,405.0,345.0,16467.0,0.0,460.0,3388.0,390.0,854.0,161.0,547.0,10206.0,578.0,101.0,16388.0,174.0,618.0,10952.0,42.0,8.0
812,0.0,1.0,15943.0,4.0,21.0,181.0,16.0,15528.0,2.0,44.0,169.0,20495.0,1491.0,67.0,7.0,15476.0,458.0,238.0,204.0,1295.0,55.0,8.0,2689.0,340.0,859.0,911.0,146.0,2684.0,17.0,123.0
861,0.0,13.0,24.0,1000.0,97.0,336.0,1.0,344.0,325.0,19.0,66.0,20037.0,769.0,240.0,36.0,43.0,6.0,9.0,23.0,1200.0,2597.0,873.0,339.0,548.0,16337.0,3.0,22.0,675.0,5.0,12121.0
910,3.0,7.0,126.0,15.0,173.0,16917.0,1486.0,186.0,132.0,22352.0,17055.0,250.0,52.0,116.0,8.0,2.0,16.0,0.0,107.0,31.0,1133.0,10155.0,3999.0,74.0,16310.0,21658.0,13.0,10904.0,6.0,32.0
959,52.0,13495.0,311.0,24112.0,735.0,22.0,87.0,103.0,26.0,433.0,113.0,20021.0,8.0,11.0,2769.0,1.0,54.0,2.0,32.0,24065.0,1702.0,224.0,4359.0,6376.0,28.0,71.0,2011.0,36.0,247.0,12151.0
1008,0.0,21.0,44.0,223.0,11.0,6.0,292.0,15511.0,33.0,415.0,14.0,8.0,29.0,283.0,334.0,343.0,380.0,780.0,26.0,46.0,156.0,1600.0,242.0,54.0,1161.0,437.0,37.0,1346.0,14290.0,122.0
1057,6.0,235.0,2.0,2113.0,22.0,0.0,16661.0,15594.0,695.0,132.0,472.0,112.0,24.0,148.0,16031.0,242.0,4186.0,54.0,4.0,24091.0,110.0,735.0,2973.0,6354.0,1227.0,21636.0,17645.0,10885.0,744.0,2730.0
1106,0.0,1454.0,6.0,649.0,23635.0,10.0,16659.0,2329.0,135.0,22333.0,137.0,9.0,93.0,3.0,1517.0,15493.0,10958.0,283.0,257.0,5.0,22616.0,224.0,3992.0,3769.0,227.0,75.0,496.0,2776.0,783.0,8639.0
1155,2.0,93.0,1.0,250.0,126.0,16955.0,740.0,338.0,1120.0,1014.0,798.0,969.0,21.0,172.0,62.0,11.0,192.0,56.0,185.0,0.0,679.0,18.0,5140.0,125.0,16304.0,294.0,1031.0,503.0,100.0,371.0
1204,1.0,1165.0,27.0,3.0,173.0,28.0,6.0,798.0,5.0,22300.0,37.0,20261.0,500.0,12.0,939.0,9.0,590.0,448.0,134.0,50.0,179.0,352.0,3896.0,20.0,16362.0,497.0,111.0,526.0,1017.0,12088.0
1253,1.0,13527.0,35.0,0.0,10.0,16930.0,16651.0,737.0,15446.0,20.0,115.0,1807.0,236.0,57.0,15970.0,107.0,3118.0,15202.0,141.0,9.0,27.0,10688.0,1352.0,6403.0,16326.0,1117.0,1823.0,984.0,75.0,2853.0
1302,25.0,202.0,3.0,6.0,107.0,434.0,16646.0,1183.0,43.0,17.0,51.0,20497.0,387.0,313.0,57.0,33.0,1891.0,31.0,1.0,5.0,807.0,20.0,5070.0,3616.0,678.0,9.0,17659.0,2769.0,1770.0,239.0
1351,17.0,13531.0,0.0,24047.0,23647.0,26.0,16651.0,15536.0,1418.0,10.0,2521.0,166.0,127.0,1163.0,53.0,5.0,4176.0,1.0,65.0,24132.0,955.0,153.0,2591.0,7093.0,16377.0,2465.0,24.0,57.0,2404.0,12172.0
1400,7.0,403.0,19.0,24123.0,2777.0,5.0,1220.0,15606.0,32.0,11.0,2799.0,20036.0,20.0,100.0,8.0,6.0,2683.0,4.0,15984.0,1.0,2223.0,34.0,783.0,3.0,16391.0,21675.0,1409.0,10943.0,649.0,13.0
1449,288.0,4.0,1.0,710.0,24.0,16959.0,16654.0,469.0,11.0,1435.0,17098.0,20035.0,10115.0,18.0,5.0,43.0,1046.0,87.0,15997.0,44.0,1394.0,1669.0,83.0,10.0,455.0,21637.0,17660.0,1995.0,768.0,1447.0
1498,1923.0,1791.0,1.0,2.0,172.0,1704.0,16650.0,15546.0,6.0,22297.0,62.0,25.0,8653.0,132.0,90.0,99.0,1633.0,75.0,16025.0,403.0,70.0,10643.0,8.0,6394.0,20.0,44.0,0.0,65.0,1410.0,11.0
1547,5.0,166.0,188.0,1.0,18.0,16917.0,16635.0,133.0,20.0,92.0,17053.0,676.0,8620.0,16461.0,15955.0,15454.0,38.0,251.0,15981.0,24063.0,1047.0,272.0,117.0,30.0,16310.0,1199.0,321.0,10900.0,108.0,15.0
1596,0.0,596.0,15998.0,6.0,55.0,2.0,1597.0,78.0,4.0,112.0,3.0,1102.0,2004.0,16439.0,148.0,38.0,839.0,164.0,451.0,24090.0,54.0,88.0,1307.0,20.0,42.0,21647.0,17668.0,10863.0,681.0,10.0
1645,2.0,13532.0,16034.0,5.0,265.0,53.0,280.0,15593.0,46.0,22339.0,16953.0,524.0,2554.0,1027.0,99.0,41.0,24.0,333.0,87.0,192.0,28.0,10425.0,13.0,118.0,23.0,21520.0,472.0,0.0,14285.0,37.0
1694,56.0,1524.0,191.0,38.0,14.0,17004.0,10.0,598.0,1424.0,1026.0,1836.0,1114.0,8666.0,20.0,16051.0,29.0,809.0,17.0,16045.0,0.0,22150.0,10676.0,502.0,96.0,5.0,2261.0,989.0,60.0,88.0,12180.0
1743,31.0,1213.0,259.0,159.0,23632.0,2231.0,53.0,291.0,270.0,8.0,35.0,20489.0,8621.0,636.0,414.0,50.0,241.0,40.0,16017.0,2504.0,160.0,61.0,81.0,525.0,1137.0,143.0,518.0,153.0,14271.0,613.0
1792,15633.0,573.0,641.0,19.0,1468.0,17002.0,187.0,73.0,631.0,2058.0,31.0,122.0,745.0,123.0,80.0,15499.0,52.0,132.0,196.0,18.0,1434.0,183.0,2.0,191.0,442.0,659.0,5.0,1702.0,174.0,262.0
1841,0.0,25.0,681.0,228.0,539.0,1143.0,21.0,1686.0,1637.0,593.0,93.0,629.0,23.0,36.0,16047.0,378.0,18.0,15244.0,16031.0,657.0,1981.0,65.0,34.0,357.0,195.0,21649.0,291.0,2385.0,870.0,11924.0
1890,1.0,29.0,14.0,3.0,2.0,34.0,22.0,582.0,15454.0,95.0,17051.0,20508.0,2180.0,27.0,15956.0,947.0,118.0,0.0,30.0,24056.0,373.0,132.0,206.0,1726.0,48.0,93.0,418.0,10845.0,60.0,426.0
1939,41.0,327.0,16004.0,55.0,11.0,376.0,4.0,39.0,98.0,22357.0,13.0,119.0,40.0,10.0,375.0,15486.0,306.0,57.0,16005.0,373.0,461.0,38.0,8.0,6411.0,162.0,130.0,235.0,10872.0,268.0,188.0
1988,1465.0,72.0,0.0,24094.0,23757.0,16928.0,166.0,4.0,1539.0,17.0,39.0,1428.0,416.0,59.0,15961.0,1052.0,355.0,1405.0,14.0,2.0,22603.0,10650.0,496.0,179.0,161.0,125.0,31.0,2469.0,7.0,1214.0
2037,9.0,189.0,54.0,56.0,2707.0,3.0,93.0,22.0,15483.0,63.0,32.0,1370.0,1547.0,16476.0,15969.0,2.0,2368.0,15186.0,15972.0,30.0,139.0,598.0,1.0,145.0,134.0,1511.0,90.0,10882.0,27.0,12102.0
2086,34.0,74.0,18.0,0.0,23744.0,14.0,417.0,15522.0,1180.0,1900.0,31.0,337.0,212.0,16446.0,40.0,232.0,8.0,149.0,600.0,216.0,263.0,10696.0,13.0,155.0,16381.0,21666.0,239.0,174.0,1.0,12136.0
2135,11.0,2.0,4.0,0.0,1387.0,2614.0,548.0,298.0,99.0,1006.0,401.0,280.0,63.0,81.0,18.0,444.0,86.0,1736.0,48.0,38.0,273.0,749.0,10.0,359.0,501.0,180.0,1070.0,966.0,189.0,165.0
2184,2.0,1.0,23.0,37.0,42.0,0.0,16661.0,30.0,208.0,423.0,111.0,20046.0,1051.0,51.0,270.0,1572.0,8.0,15255.0,212.0,171.0,22150.0,152.0,2458.0,20.0,16394.0,21632.0,14.0,10892.0,445.0,6.0
2233,970.0,3.0,79.0,8.0,5.0,261.0,14.0,15570.0,2818.0,33.0,148.0,20030.0,72.0,1.0,111.0,47.0,70.0,0.0,16043.0,25.0,134.0,590.0,341.0,6385.0,481.0,21532.0,17680.0,632.0,620.0,6.0
2282,1706.0,870.0,16015.0,39.0,3.0,55.0,686.0,363.0,1478.0,22342.0,287.0,1365.0,480.0,1162.0,4.0,7.0,11475.0,85.0,485.0,371.0,22114.0,66.0,1383.0,774.0,16377.0,21636.0,1.0,231.0,1071.0,7838.0
2331,53.0,1.0,16023.0,235.0,12.0,2.0,16639.0,168.0,452.0,970.0,0.0,152.0,1578.0,25.0,1554.0,3.0,64.0,30.0,26.0,69.0,868.0,923.0,596.0,49.0,629.0,21648.0,43.0,83.0,14353.0,23.0
2380,69.0,780.0,55.0,23.0,16.0,89.0,147.0,1526.0,1622.0,40.0,86.0,395.0,2770.0,16469.0,35.0,6.0,0.0,1.0,16029.0,410.0,865.0,2.0,4046.0,6381.0,156.0,21604.0,292.0,10893.0,138.0,12107.0
2429,15607.0,1795.0,16026.0,24127.0,32.0,1589.0,1098.0,581.0,251.0,669.0,1.0,152.0,1074.0,639.0,196.0,48.0,690.0,206.0,16027.0,1262.0,149.0,2753.0,655.0,154.0,262.0,21645.0,550.0,2672.0,14297.0,24.0
2478,2.0,5.0,15.0,250.0,0.0,17023.0,16674.0,80.0,2189.0,22348.0,2396.0,44.0,66.0,605.0,16028.0,1136.0,51.0,518.0,16039.0,2727.0,18.0,750.0,351.0,6279.0,13.0,230.0,17725.0,20.0,529.0,12188.0
2527,369.0,2.0,886.0,16.0,753.0,1.0,192.0,31.0,36.0,22361.0,2513.0,65.0,174.0,16478.0,52.0,15513.0,1348.0,15265.0,361.0,6.0,0.0,570.0,53.0,25.0,641.0,144.0,2520.0,783.0,59.0,281.0
2576,0.0,9.0,12.0,24113.0,4.0,196.0,81.0,406.0,91.0,22358.0,2557.0,597.0,353.0,210.0,14.0,26.0,657.0,15227.0,368.0,1108.0,8.0,10409.0,1181.0,691.0,2059.0,21633.0,232.0,2.0,577.0,52.0
2625,2.0,0.0,2254.0,24110.0,77.0,114.0,5.0,278.0,1.0,1341.0,498.0,59.0,81.0,396.0,38.0,192.0,430.0,15252.0,425.0,24126.0,535.0,1664.0,20.0,2499.0,94.0,905.0,17708.0,74.0,14297.0,12141.0
2674,506.0,24.0,895.0,106.0,23620.0,265.0,5.0,19.0,21.0,22339.0,2642.0,33.0,1600.0,16456.0,16041.0,54.0,141.0,760.0,185.0,24104.0,189.0,187.0,34.0,223.0,16373.0,21533.0,272.0,4.0,14307.0,0.0
2723,13500.0,1.0,1149.0,11.0,17.0,0.0,9321.0,14295.0,22.0,314.0,4119.0,74.0,156.0,708.0,119.0,13534.0,4049.0,14030.0,247.0,21531.0,195.0,152.0,1049.0,7105.0,24.0,3.0,910.0,76.0,59.0,659.0
2772,32.0,3.0,932.0,21780.0,1.0,609.0,7.0,13211.0,5.0,14722.0,2683.0,20234.0,1348.0,572.0,277.0,260.0,302.0,14484.0,374.0,12.0,323.0,46.0,385.0,6725.0,35.0,22335.0,16344.0,0.0,15556.0,11812.0
2821,4.0,7.0,3.0,1.0,13.0,191.0,440.0,15372.0,1149.0,0.0,2533.0,85.0,41.0,45.0,16068.0,132.0,2619.0,604.0,449.0,65.0,511.0,1082.0,16.0,6328.0,39.0,21528.0,195.0,117.0,14390.0,37.0
2870,13.0,0.0,77.0,42.0,160.0,15.0,67.0,1671.0,38.0,152.0,17025.0,1198.0,8666.0,218.0,290.0,50.0,103.0,15201.0,2883.0,24115.0,22148.0,303.0,300.0,515.0,352.0,2.0,39.0,14.0,8.0,130.0
2919,0.0,1.0,310.0,115.0,60.0,16937.0,2.0,13.0,34.0,54.0,103.0,239.0,113.0,190.0,15970.0,15366.0,36.0,15179.0,3.0,176.0,22126.0,204.0,475.0,21.0,16385.0,25.0,40.0,342.0,7.0,87.0
2968,114.0,2762.0,66.0,22.0,163.0,4.0,1037.0,2.0,15414.0,1093.0,2779.0,153.0,8491.0,92.0,15948.0,15449.0,138.0,33.0,141.0,68.0,22618.0,10154.0,3706.0,222.0,36.0,10.0,2427.0,29.0,843.0,12120.0
3017,15.0,527.0,15996.0,281.0,1524.0,13.0,16646.0,40.0,15471.0,45.0,862.0,407.0,66.0,729.0,2662.0,71.0,358.0,15162.0,15997.0,24060.0,60.0,0.0,987.0,630.0,264.0,9.0,160.0,2774.0,820.0,2670.0
3066,1.0,2751.0,576.0,6.0,19.0,118.0,755.0,66.0,663.0,22313.0,17052.0,2.0,1579.0,1135.0,15952.0,15421.0,1041.0,15166.0,15998.0,24085.0,0.0,111.0,3829.0,6348.0,977.0,1610.0,1044.0,2776.0,456.0,12123.0
3115,2491.0,101.0,99.0,9.0,87.0,106.0,1573.0,1.0,2704.0,285.0,319.0,302.0,1062.0,557.0,68.0,35.0,126.0,316.0,214.0,32.0,2832.0,222.0,539.0,6620.0,11.0,19.0,513.0,399.0,14441.0,338.0
3164,962.0,534.0,16001.0,24129.0,248.0,0.0,2.0,240.0,825.0,15.0,6.0,20264.0,61.0,129.0,3.0,178.0,2647.0,15168.0,2380.0,523.0,803.0,245.0,355.0,89.0,16393.0,21600.0,2671.0,38.0,14425.0,12162.0
3213,2753.0,7.0,15999.0,24116.0,9.0,8.0,189.0,77.0,2613.0,18.0,43.0,20259.0,8618.0,1234.0,990.0,36.0,3659.0,15196.0,154.0,24078.0,12.0,41.0,579.0,6380.0,61.0,21653.0,17690.0,96.0,398.0,12143.0
3262,155.0,13499.0,16022.0,24119.0,269.0,687.0,16648.0,21.0,15484.0,22361.0,407.0,20489.0,364.0,3.0,16020.0,8.0,930.0,1197.0,16023.0,182.0,88.0,81.0,3066.0,216.0,304.0,21654.0,1417.0,1528.0,14311.0,12150.0
3311,86.0,2434.0,1221.0,35.0,164.0,17.0,53.0,0.0,691.0,1384.0,652.0,20.0,94.0,3.0,1171.0,241.0,4144.0,8.0,140.0,12.0,24.0,2659.0,3541.0,167.0,30.0,16.0,17692.0,75.0,1.0,12133.0
3360,722.0,1.0,16005.0,24118.0,23776.0,4.0,298.0,7.0,15448.0,214.0,16929.0,430.0,15.0,91.0,692.0,301.0,2632.0,15179.0,216.0,48.0,127.0,10646.0,43.0,14.0,681.0,44.0,17682.0,2064.0,14396.0,215.0
3409,4.0,34.0,16030.0,349.0,2628.0,16996.0,180.0,275.0,3.0,522.0,23.0,94.0,481.0,483.0,1022.0,74.0,2888.0,929.0,37.0,33.0,12.0,10174.0,9.0,70.0,16.0,1220.0,265.0,231.0,649.0,12171.0
3458,0.0,1320.0,123.0,23967.0,3.0,47.0,517.0,7.0,168.0,22240.0,2410.0,25.0,1258.0,2559.0,778.0,52.0,3424.0,1.0,199.0,23984.0,43.0,10242.0,548.0,6305.0,115.0,2782.0,17709.0,1434.0,1489.0,35.0
3507,0.0,18.0,2197.0,24098.0,158.0,73.0,8.0,162.0,153.0,7.0,67.0,9.0,21.0,135.0,297.0,15499.0,44.0,15194.0,16062.0,178.0,568.0,85.0,3074.0,129.0,605.0,21644.0,17662.0,2814.0,14398.0,11.0
3556,1.0,61.0,16001.0,886.0,162.0,832.0,128.0,2682.0,0.0,22373.0,289.0,1964.0,485.0,1098.0,15999.0,15538.0,2776.0,669.0,6.0,413.0,22142.0,115.0,2402.0,608.0,16403.0,2372.0,149.0,244.0,24.0,229.0
3605,1.0,537.0,6.0,24119.0,23747.0,16928.0,16632.0,15582.0,71.0,22295.0,17069.0,20479.0,9.0,268.0,15961.0,58.0,648.0,237.0,10.0,357.0,560.0,16.0,3653.0,7.0,281.0,21648.0,23.0,10904.0,153.0,95.0
3654,1.0,61.0,14.0,24094.0,23757.0,73.0,3.0,83.0,6.0,1419.0,16956.0,20039.0,13.0,16453.0,16032.0,15490.0,59.0,15173.0,16035.0,837.0,22.0,5.0,45.0,650.0,4.0,432.0,17650.0,1260.0,84.0,56.0
3703,11.0,1494.0,6.0,2.0,31.0,748.0,184.0,441.0,17.0,304.0,241.0,332.0,3.0,16448.0,16007.0,15503.0,3711.0,13.0,128.0,24127.0,22616.0,356.0,15.0,1195.0,550.0,149.0,8.0,10910.0,90.0,40.0
3752,149.0,13275.0,48.0,40.0,7.0,71.0,97.0,24.0,2700.0,116.0,135.0,641.0,535.0,452.0,16536.0,2082.0,298.0,5.0,1.0,289.0,2379.0,278.0,1014.0,6465.0,341.0,22714.0,18296.0,151.0,15502.0,12213.0
3801,8.0,123.0,151.0,553.0,464.0,431.0,31.0,450.0,97.0,76.0,12.0,2819.0,249.0,16459.0,16007.0,205.0,214.0,58.0,210.0,2337.0,1.0,1404.0,541.0,6401.0,16368.0,5.0,81.0,101.0,2559.0,12100.0
3850,1.0,33.0,17.0,452.0,2.0,181.0,16656.0,5.0,61.0,27.0,10.0,632.0,152.0,639.0,38.0,15514.0,1365.0,18.0,634.0,2274.0,2196.0,275.0,2701.0,6343.0,6.0,21659.0,87.0,50.0,202.0,2562.0
3899,15680.0,15.0,59.0,24111.0,2759.0,17011.0,161.0,6.0,15433.0,22340.0,22.0,20004.0,0.0,16457.0,16016.0,15377.0,1348.0,5.0,7.0,24120.0,22132.0,908.0,131.0,19.0,105.0,31.0,1084.0,88.0,14300.0,103.0
3948,40.0,14.0,15988.0,21.0,522.0,16951.0,90.0,196.0,122.0,59.0,2.0,557.0,438.0,836.0,15986.0,15509.0,115.0,15256.0,445.0,134.0,6.0,10691.0,42.0,6376.0,1.0,399.0,17726.0,1375.0,315.0,64.0
3997,79.0,3.0,779.0,24001.0,769.0,682.0,1.0,87.0,154.0,4.0,16.0,34.0,75.0,16468.0,245.0,8.0,287.0,509.0,16001.0,26.0,643.0,158.0,3930.0,1849.0,16388.0,73.0,17638.0,2464.0,64.0,145.0
4046,6.0,4.0,1476.0,100.0,15.0,16934.0,625.0,0.0,465.0,27.0,1.0,28.0,8.0,1156.0,491.0,304.0,7.0,1449.0,92.0,916.0,1023.0,291.0,4522.0,14.0,36.0,1051.0,292.0,10874.0,5.0,12130.0
4095,1.0,14.0,15936.0,24058.0,72.0,16911.0,200.0,5.0,226.0,3.0,483.0,102.0,8572.0,20.0,105.0,60.0,6.0,1646.0,199.0,24077.0,101.0,22.0,12.0,171.0,722.0,21590.0,9.0,241.0,23.0,12135.0
4144,454.0,5.0,48.0,763.0,2667.0,16966.0,67.0,0.0,2757.0,1.0,407.0,20025.0,714.0,16446.0,16026.0,1653.0,3377.0,15186.0,16029.0,23.0,22597.0,2.0,3880.0,13.0,16383.0,21601.0,145.0,550.0,14453.0,12154.0
4193,1293.0,2.0,15968.0,1231.0,7.0,1312.0,1.0,31.0,762.0,0.0,257.0,58.0,10148.0,989.0,46.0,17.0,8.0,694.0,1321.0,24002.0,68.0,76.0,4928.0,230.0,13.0,164.0,106.0,409.0,2770.0,7713.0
4242,1.0,22.0,55.0,6.0,464.0,21.0,5.0,4.0,71.0,2.0,2073.0,283.0,239.0,16470.0,265.0,598.0,100.0,30.0,15970.0,1853.0,1580.0,18.0,28.0,51.0,219.0,36.0,54.0,0.0,681.0,1133.0
4291,11.0,12.0,197.0,9.0,2562.0,32.0,14.0,1.0,1644.0,22368.0,0.0,59.0,9841.0,16445.0,53.0,21.0,110.0,2773.0,3.0,20.0,133.0,12299.0,588.0,3677.0,16395.0,21648.0,189.0,365.0,22.0,7823.0
4340,1.0,0.0,13.0,25.0,3.0,16948.0,12.0,34.0,2678.0,27.0,56.0,51.0,8637.0,8.0,44.0,135.0,9.0,124.0,221.0,484.0,346.0,136.0,340.0,772.0,820.0,21671.0,17670.0,770.0,2.0,12181.0
4389,6.0,70.0,36.0,67.0,23705.0,35.0,805.0,0.0,505.0,179.0,2619.0,20505.0,60.0,286.0,2382.0,124.0,10862.0,275.0,1818.0,23838.0,9.0,1396.0,674.0,3539.0,23.0,21486.0,148.0,1164.0,103.0,58.0
4438,149.0,249.0,131.0,8.0,536.0,819.0,64.0,3.0,107.0,2.0,0.0,1630.0,96.0,80.0,67.0,483.0,53.0,515.0,212.0,374.0,7.0,36.0,223.0,3482.0,813.0,21599.0,17691.0,1825.0,14414.0,18.0
4487,7.0,4.0,762.0,167.0,11.0,16911.0,16633.0,709.0,15418.0,227.0,1209.0,225.0,2157.0,16461.0,1822.0,17.0,3661.0,15288.0,15945.0,1055.0,551.0,1730.0,255.0,1955.0,43.0,127.0,17761.0,33.0,1320.0,44.0
4536,13.0,2259.0,4.0,291.0,2697.0,1123.0,16612.0,5.0,6.0,22311.0,84.0,45.0,105.0,16433.0,126.0,538.0,4028.0,15258.0,37.0,276.0,21.0,1152.0,24.0,6109.0,83.0,98.0,17619.0,10837.0,2.0,362.0
4585,2640.0,38.0,12.0,200.0,453.0,16903.0,1966.0,815.0,241.0,18.0,1551.0,16.0,2696.0,502.0,15927.0,15411.0,68.0,95.0,15929.0,24082.0,17.0,10607.0,3893.0,6280.0,414.0,0.0,149.0,2432.0,440.0,8.0
4634,116.0,2.0,3.0,50.0,1450.0,1645.0,215.0,15504.0,2123.0,23.0,15.0,16.0,35.0,73.0,957.0,28.0,1112.0,15147.0,323.0,632.0,34.0,2474.0,3007.0,6316.0,1857.0,4.0,87.0,999.0,14401.0,12128.0
4683,430.0,104.0,11.0,24064.0,23768.0,66.0,320.0,15510.0,299.0,22077.0,27.0,42.0,7.0,21.0,3.0,432.0,326.0,28.0,15997.0,75.0,0.0,1066.0,252.0,14.0,218.0,2551.0,760.0,54.0,438.0,12111.0
4732,2.0,13224.0,6.0,66.0,2630.0,56.0,16613.0,107.0,41.0,15.0,2404.0,29.0,100.0,1329.0,15930.0,15452.0,11296.0,13.0,15955.0,24070.0,0.0,98.0,11.0,132.0,1945.0,183.0,2655.0,78.0,14407.0,364.0
4781,21.0,11.0,15924.0,167.0,2679.0,134.0,297.0,15495.0,179.0,67.0,729.0,61.0,18.0,16417.0,767.0,1019.0,583.0,1314.0,19.0,9.0,0.0,10573.0,1.0,2397.0,514.0,21480.0,17624.0,102.0,433.0,1630.0
4830,217.0,943.0,4.0,124.0,23778.0,88.0,28.0,15487.0,7.0,8.0,14.0,87.0,623.0,11.0,362.0,15470.0,179.0,1235.0,15959.0,195.0,0.0,10122.0,6.0,6281.0,16339.0,2418.0,17611.0,16.0,743.0,155.0
4879,49.0,7.0,15957.0,2746.0,23753.0,129.0,16643.0,15512.0,3.0,36.0,6.0,4.0,8650.0,970.0,0.0,329.0,3342.0,159.0,2335.0,2051.0,9.0,548.0,90.0,6375.0,16344.0,243.0,68.0,437.0,1347.0,1356.0
