,S100A4,CMTM7,TRPV2,ETV4,HOXB7,SPRY2,SPRY4,HMGA2,SNX18P16,ABO,C15ORF31,KHDRBS3,ETV5,TOR4A,SH3TC2,MYEOV,TMEM101,EVPL,RP11-49K24.4,SLC17A9,EMP1,STRA6,SLC16A3,LINC00707,LIN28B,TMTC2,SOX9,SPRY1,DCP1B,RPL21P39
4320,3.0,1.0,0.0,5.0,2.0,4.0,32.0,66.0,8.0,26.0,9.0,65.0,90.0,21.0,74.0,81.0,38.0,34.0,14.0,39.0,265.0,23.0,111.0,46.0,218.0,63.0,69.0,36.0,13.0,71.0
4369,8.0,2.0,0.0,9.0,1.0,26.0,43.0,49.0,3.0,39.0,21.0,81.0,130.0,104.0,166.0,14.0,203.0,74.0,28.0,502.0,149.0,85.0,302.0,131.0,142.0,132.0,417.0,137.0,15.0,508.0
4418,0.0,1.0,2.0,3.0,8.0,4.0,20.0,153.0,7.0,24.0,10.0,41.0,50.0,18.0,12.0,25.0,32.0,39.0,13.0,14.0,19.0,42.0,16.0,48.0,266.0,30.0,189.0,71.0,11.0,21.0
4467,1.0,0.0,15.0,3.0,16.0,2.0,7.0,26.0,10.0,40.0,14.0,11.0,36.0,187.0,22.0,6.0,117.0,27.0,23.0,4.0,17.0,104.0,81.0,25.0,210.0,105.0,32.0,29.0,45.0,46.0
4516,0.0,1.0,6.0,2.0,61.0,3.0,13.0,24.0,4.0,11.0,8.0,47.0,28.0,134.0,5.0,17.0,64.0,35.0,34.0,10.0,14.0,109.0,95.0,18.0,208.0,54.0,125.0,53.0,57.0,76.0
4565,0.0,1.0,8.0,3.0,207.0,4.0,10.0,25.0,24.0,5.0,6.0,12.0,86.0,18.0,2.0,33.0,31.0,69.0,26.0,11.0,28.0,482.0,20.0,49.0,1612.0,43.0,44.0,16.0,34.0,35.0
4614,0.0,2.0,9.0,1.0,5.0,4.0,21.0,15.0,6.0,29.0,10.0,40.0,27.0,13.0,12.0,3.0,57.0,20.0,30.0,35.0,7.0,228.0,23.0,26.0,208.0,105.0,31.0,25.0,16.0,33.0
4663,0.0,2.0,3.0,1.0,7.0,4.0,12.0,18.0,5.0,14.0,25.0,115.0,44.0,11.0,26.0,36.0,57.0,78.0,22.0,27.0,28.0,29.0,32.0,46.0,168.0,24.0,53.0,9.0,15.0,43.0
4712,1.0,2.0,3.0,4.0,0.0,15.0,21.0,28.0,6.0,9.0,5.0,26.0,112.0,36.0,24.0,11.0,63.0,162.0,12.0,119.0,37.0,996.0,33.0,16.0,406.0,19.0,204.0,61.0,17.0,130.0
4761,0.0,1.0,10.0,3.0,2.0,4.0,9.0,46.0,39.0,20.0,5.0,31.0,78.0,45.0,6.0,7.0,44.0,23.0,12.0,11.0,30.0,71.0,24.0,15.0,431.0,55.0,83.0,22.0,41.0,29.0
4810,0.0,1.0,7.0,2.0,12.0,3.0,17.0,37.0,33.0,9.0,38.0,57.0,50.0,134.0,27.0,44.0,91.0,5.0,32.0,30.0,8.0,71.0,18.0,339.0,193.0,14.0,109.0,25.0,20.0,26.0
4859,2.0,0.0,8.0,1.0,22.0,3.0,7.0,5.0,9.0,4.0,16.0,27.0,40.0,96.0,25.0,37.0,12.0,69.0,14.0,31.0,26.0,33.0,81.0,10.0,205.0,56.0,43.0,21.0,20.0,23.0
