,BRAF_MUT,ZNF705G_AMP,LOC728875_DEL,BRAF.V600E_MUT,ADAMTSL3_DEL,TTN_MUT,TTTY22_DEL,LOC100287534_AMP,USP17L4_AMP,USP17L1P_AMP,CADM2_DEL,HLA-DQB1_DEL,PCDH9_DEL,BTNL3_DEL,DPP6_DEL,BTNL8_DEL,ZNF490_DEL,LOC729737_DEL,LOC390705_DEL,SORL1_MUT,TMEM236_DEL,KIAA0125_AMP,MAML3_MUT,EEF1DP3_DEL,RBFOX1_DEL,MIR511-1_DEL,MIR511-2_DEL,SIGLEC14_DEL,CES1P1_DEL,FASN_MUT
569,0.0,1.0,6.0,2.0,9.0,14.0,4.0,18.0,20.0,21.0,8.0,7.0,5.0,3.0,265.0,22.0,32.0,23.0,354.0,54.0,19.0,26.0,11.0,35.0,10.0,24.0,25.0,136.0,12.0,53.0
618,0.0,14.0,29.0,1.0,3.0,2.0,7.0,11.0,68.0,67.0,8.0,25.0,5.0,18.0,1150.0,17.0,28.0,32.0,76.0,40.0,104.0,12.0,10.0,19.0,27.0,184.0,183.0,49.0,24.0,210.0
667,7.0,4.0,8.0,14.0,10.0,26.0,3.0,42.0,20.0,19.0,12.0,15.0,5.0,6.0,239.0,1.0,176.0,27.0,80.0,32.0,63.0,0.0,33.0,36.0,11.0,96.0,97.0,28.0,34.0,183.0
716,0.0,7.0,2.0,10.0,4.0,16.0,1.0,3.0,29.0,30.0,5.0,13.0,18.0,17.0,170.0,34.0,9.0,27.0,5133.0,223.0,63.0,15.0,31.0,44.0,6.0,107.0,106.0,19.0,201.0,46.0
765,0.0,3.0,10.0,6.0,9.0,4.0,8.0,14.0,25.0,26.0,7.0,12.0,11.0,2.0,89.0,1.0,34.0,22.0,119.0,38.0,48.0,29.0,13.0,27.0,5.0,73.0,74.0,17.0,20.0,32.0
814,0.0,1.0,11.0,7.0,4.0,10.0,6.0,9.0,17.0,16.0,31.0,39.0,2.0,5.0,23.0,3.0,38.0,135.0,229.0,26.0,45.0,19.0,30.0,24.0,67.0,105.0,106.0,69.0,15.0,18.0
863,1.0,3.0,18.0,2.0,4.0,7.0,0.0,20.0,24.0,25.0,21.0,46.0,12.0,14.0,23.0,10.0,49.0,11.0,314.0,35.0,29.0,15.0,8.0,17.0,5.0,43.0,42.0,60.0,22.0,40.0
912,0.0,6.0,4.0,5.0,2.0,3.0,1.0,17.0,20.0,19.0,25.0,42.0,7.0,12.0,86.0,18.0,30.0,11.0,1540.0,92.0,33.0,57.0,10.0,26.0,24.0,49.0,48.0,13.0,15.0,61.0
961,1.0,4.0,7.0,3.0,5.0,32.0,15.0,2.0,19.0,20.0,16.0,13.0,10.0,6.0,8.0,12.0,174.0,48.0,33.0,24.0,45.0,146.0,11.0,53.0,9.0,44.0,43.0,69.0,0.0,49.0
1010,0.0,5.0,7.0,2.0,9.0,6.0,4.0,3.0,10.0,11.0,23.0,15.0,21.0,56.0,1.0,24.0,16.0,73.0,30.0,28.0,37.0,116.0,20.0,34.0,40.0,50.0,51.0,36.0,19.0,33.0
1059,0.0,1.0,5.0,2.0,14.0,24.0,16.0,19.0,4.0,3.0,18.0,11.0,30.0,9.0,15.0,7.0,43.0,94.0,406.0,33.0,81.0,8.0,23.0,47.0,29.0,129.0,130.0,77.0,31.0,21.0
1108,0.0,3.0,1.0,4.0,11.0,15.0,6.0,10.0,7.0,8.0,37.0,12.0,28.0,5.0,21.0,2.0,14.0,18.0,13.0,35.0,26.0,33.0,9.0,17.0,43.0,45.0,46.0,64.0,23.0,31.0
1157,0.0,7.0,1.0,3.0,6.0,11.0,8.0,14.0,15.0,16.0,13.0,5.0,2.0,4.0,10.0,9.0,17.0,19.0,41.0,26.0,29.0,111.0,23.0,38.0,53.0,31.0,30.0,50.0,72.0,21.0
1206,10.0,0.0,4.0,30.0,15.0,7.0,12.0,8.0,2.0,1.0,9.0,20.0,3.0,6.0,18.0,5.0,26.0,19.0,11.0,36.0,54.0,13.0,23.0,153.0,40.0,78.0,79.0,14.0,46.0,32.0
1255,1.0,6.0,5.0,2.0,9.0,0.0,25.0,7.0,16.0,15.0,19.0,8.0,10.0,3.0,27.0,4.0,35.0,39.0,11.0,31.0,28.0,12.0,22.0,57.0,14.0,32.0,33.0,21.0,274.0,44.0
1304,3.0,0.0,1.0,12.0,9.0,21.0,15.0,29.0,5.0,6.0,8.0,4.0,10.0,2.0,14.0,7.0,18.0,51.0,36.0,115.0,13.0,48.0,32.0,28.0,22.0,17.0,16.0,11.0,37.0,31.0
1353,0.0,1.0,7.0,2.0,15.0,11.0,19.0,8.0,3.0,4.0,9.0,6.0,5.0,12.0,17.0,10.0,13.0,24.0,22.0,18.0,26.0,41.0,16.0,100.0,21.0,31.0,32.0,160.0,14.0,40.0
1402,0.0,10.0,3.0,4.0,7.0,8.0,11.0,13.0,17.0,18.0,6.0,9.0,5.0,2.0,16.0,1.0,26.0,15.0,75.0,19.0,25.0,24.0,12.0,91.0,36.0,32.0,33.0,22.0,152.0,47.0
1451,0.0,5.0,9.0,1.0,25.0,325.0,285.0,2.0,6.0,7.0,17.0,115.0,10.0,36.0,11.0,38.0,4.0,24.0,69.0,16.0,21.0,1990.0,27.0,15.0,160.0,31.0,30.0,33.0,18.0,13.0
1500,1.0,0.0,2.0,4.0,7.0,3.0,6.0,35.0,11.0,10.0,8.0,14.0,41.0,16.0,40.0,13.0,12.0,28.0,17.0,29.0,34.0,82.0,15.0,5.0,63.0,32.0,33.0,74.0,19.0,53.0
1549,0.0,3.0,1.0,2.0,11.0,10.0,26.0,14.0,9.0,8.0,15.0,40.0,39.0,5.0,7.0,4.0,38.0,166.0,81.0,18.0,6.0,16.0,49.0,21.0,56.0,12.0,13.0,17.0,211.0,66.0
1598,2.0,0.0,1.0,8.0,9.0,13.0,5.0,11.0,7.0,6.0,32.0,25.0,306.0,12.0,15.0,3.0,58.0,39.0,10.0,35.0,14.0,42.0,18.0,4.0,26.0,20.0,21.0,23.0,166.0,24.0
1647,5.0,0.0,1.0,7.0,15.0,34.0,22.0,21.0,4.0,3.0,31.0,8.0,51.0,28.0,11.0,12.0,25.0,29.0,2.0,19.0,13.0,18.0,37.0,14.0,46.0,16.0,17.0,70.0,69.0,57.0
1696,3.0,1.0,2.0,9.0,20.0,5.0,8.0,27.0,10.0,11.0,36.0,35.0,77.0,6.0,31.0,0.0,30.0,29.0,18.0,25.0,12.0,24.0,23.0,13.0,62.0,16.0,15.0,17.0,43.0,51.0
1745,5.0,0.0,3.0,21.0,4.0,6.0,12.0,2.0,14.0,13.0,41.0,33.0,151.0,29.0,43.0,16.0,23.0,32.0,9.0,28.0,22.0,64.0,24.0,17.0,20.0,25.0,26.0,27.0,55.0,42.0
1794,18.0,2.0,5.0,41.0,14.0,57.0,6.0,39.0,4.0,3.0,56.0,15.0,108.0,50.0,55.0,21.0,16.0,19.0,40.0,88.0,22.0,10.0,64.0,9.0,28.0,38.0,37.0,13.0,54.0,31.0
1843,5.0,0.0,21.0,9.0,16.0,17.0,50.0,1.0,7.0,8.0,35.0,12.0,111.0,28.0,159.0,15.0,25.0,151.0,11.0,14.0,45.0,10.0,20.0,4.0,29.0,62.0,63.0,39.0,106.0,56.0
1892,3.0,2.0,4.0,7.0,14.0,11.0,8.0,35.0,5.0,6.0,15.0,53.0,31.0,48.0,66.0,25.0,17.0,20.0,10.0,122.0,19.0,41.0,36.0,18.0,37.0,23.0,24.0,50.0,77.0,42.0
1941,2.0,1.0,4.0,21.0,22.0,89.0,18.0,83.0,13.0,12.0,62.0,30.0,646.0,24.0,248.0,9.0,6.0,8.0,11.0,33.0,10.0,3727.0,43.0,7.0,50.0,16.0,15.0,31.0,5.0,46.0
1990,0.0,12.0,6.0,2.0,5.0,17.0,10.0,3.0,15.0,16.0,42.0,89.0,23.0,66.0,4.0,26.0,31.0,8.0,1.0,20.0,44.0,14.0,32.0,43.0,87.0,72.0,73.0,71.0,189.0,40.0
2039,0.0,16.0,5.0,1.0,6.0,20.0,11.0,17.0,32.0,33.0,9.0,22.0,8.0,41.0,44.0,28.0,3.0,14.0,31.0,15.0,87.0,10.0,34.0,35.0,191.0,143.0,144.0,805.0,78.0,211.0
2088,0.0,5.0,8.0,1.0,29.0,47.0,45.0,30.0,15.0,14.0,7.0,39.0,13.0,193.0,17.0,42.0,16.0,27.0,24.0,28.0,26.0,63.0,31.0,51.0,37.0,35.0,34.0,68.0,10.0,99.0
2137,0.0,5.0,2.0,3.0,9.0,6.0,8.0,1.0,18.0,17.0,4.0,10.0,13.0,65.0,20.0,51.0,15.0,24.0,266.0,23.0,37.0,45.0,77.0,53.0,155.0,69.0,68.0,111.0,42.0,43.0
2186,0.0,5.0,26.0,6.0,8.0,25.0,11.0,16.0,44.0,45.0,14.0,12.0,57.0,4.0,15.0,17.0,9.0,10.0,3.0,34.0,28.0,1.0,32.0,55.0,39.0,36.0,35.0,310.0,300.0,147.0
2235,2.0,6.0,13.0,12.0,20.0,19.0,30.0,9.0,25.0,26.0,11.0,36.0,37.0,5.0,27.0,1.0,39.0,4.0,44.0,8.0,124.0,7.0,31.0,17.0,91.0,201.0,200.0,24.0,160.0,174.0
2284,1.0,8.0,0.0,2.0,41.0,13.0,28.0,3.0,22.0,23.0,6.0,16.0,11.0,17.0,10.0,25.0,9.0,21.0,5.0,14.0,29.0,18.0,38.0,205.0,42.0,30.0,31.0,229.0,40.0,129.0
2333,4.0,1.0,3.0,6.0,11.0,36.0,29.0,0.0,14.0,13.0,16.0,26.0,35.0,71.0,15.0,60.0,7.0,25.0,12.0,48.0,22.0,33.0,197.0,65.0,163.0,30.0,31.0,40.0,447.0,127.0
2382,0.0,4.0,2.0,1.0,6.0,10.0,19.0,3.0,21.0,22.0,12.0,41.0,11.0,30.0,8.0,45.0,25.0,16.0,13.0,20.0,24.0,7.0,29.0,81.0,38.0,32.0,31.0,243.0,1561.0,125.0
2431,0.0,2.0,1.0,3.0,7.0,8.0,29.0,21.0,12.0,11.0,5.0,17.0,9.0,31.0,13.0,28.0,23.0,142.0,25.0,6.0,43.0,10.0,167.0,114.0,381.0,65.0,64.0,63.0,360.0,50.0
2480,10.0,2.0,3.0,26.0,7.0,0.0,48.0,1.0,5.0,6.0,23.0,28.0,68.0,15.0,14.0,21.0,12.0,20.0,11.0,1087.0,84.0,4.0,33.0,63.0,9.0,114.0,113.0,60.0,27.0,50.0
2529,7.0,0.0,10.0,17.0,2.0,8.0,35.0,1.0,5.0,4.0,26.0,14.0,268.0,13.0,40.0,15.0,9.0,24.0,22.0,173.0,25.0,12.0,38.0,28.0,47.0,33.0,32.0,27.0,82.0,48.0
2578,4.0,6.0,18.0,10.0,2.0,3.0,14.0,13.0,8.0,9.0,61.0,40.0,60.0,16.0,11.0,12.0,7.0,20.0,1.0,156.0,34.0,17.0,49.0,39.0,52.0,47.0,46.0,41.0,62.0,71.0
2627,1.0,3.0,22.0,6.0,5.0,11.0,15.0,24.0,8.0,9.0,29.0,12.0,81.0,16.0,78.0,13.0,10.0,39.0,0.0,258.0,34.0,4.0,30.0,52.0,43.0,51.0,50.0,41.0,153.0,42.0
2676,2.0,1.0,12.0,8.0,3.0,17.0,40.0,0.0,5.0,4.0,27.0,13.0,47.0,42.0,10.0,26.0,11.0,72.0,9.0,184.0,133.0,16.0,35.0,15.0,34.0,202.0,203.0,23.0,83.0,43.0
2725,10.0,1.0,17.0,31.0,0.0,8.0,12.0,18.0,3.0,2.0,23.0,42.0,65.0,28.0,44.0,40.0,4.0,19.0,9.0,523.0,26.0,6.0,176.0,58.0,101.0,33.0,34.0,20.0,745.0,70.0
2774,5.0,0.0,8.0,7.0,3.0,9.0,12.0,15.0,1.0,2.0,18.0,10.0,46.0,33.0,13.0,17.0,6.0,19.0,24.0,250.0,23.0,14.0,40.0,25.0,47.0,38.0,39.0,37.0,50.0,145.0
2823,9.0,0.0,1.0,28.0,12.0,5.0,15.0,18.0,2.0,3.0,7.0,11.0,147.0,4.0,1149.0,17.0,33.0,10.0,68.0,531.0,190.0,16.0,50.0,20.0,13.0,192.0,191.0,30.0,36.0,38.0
2872,13.0,0.0,4.0,17.0,6.0,30.0,15.0,24.0,7.0,8.0,88.0,21.0,41.0,3.0,23.0,5.0,22.0,14.0,2.0,256.0,48.0,11.0,34.0,36.0,26.0,69.0,70.0,44.0,38.0,43.0
2921,5.0,1.0,11.0,21.0,0.0,211.0,387.0,2.0,7.0,6.0,22.0,46.0,591.0,24.0,151.0,51.0,10.0,31.0,12.0,383.0,9.0,115.0,39.0,91.0,28.0,16.0,15.0,85.0,48.0,50.0
2970,1.0,0.0,6.0,10.0,5.0,2.0,3.0,133.0,14.0,13.0,29.0,8.0,4.0,35.0,15.0,11.0,22.0,99.0,17.0,9.0,30.0,44.0,32.0,33.0,45.0,40.0,39.0,7.0,47.0,43.0
3019,12.0,0.0,6.0,36.0,76.0,37.0,30.0,150.0,5.0,4.0,8.0,1.0,24.0,32.0,283.0,45.0,20.0,52.0,22.0,29.0,18.0,17.0,100.0,35.0,53.0,27.0,26.0,78.0,96.0,21.0
3068,2.0,0.0,6.0,16.0,13.0,8.0,44.0,14.0,4.0,3.0,19.0,12.0,33.0,24.0,62.0,29.0,47.0,71.0,23.0,18.0,95.0,7.0,21.0,9.0,41.0,170.0,169.0,5.0,27.0,20.0
3117,5.0,3.0,8.0,29.0,23.0,43.0,91.0,78.0,10.0,11.0,28.0,4.0,19.0,2.0,35.0,1.0,14.0,20.0,27.0,6.0,24.0,90.0,30.0,31.0,17.0,37.0,36.0,12.0,16.0,46.0
3166,2.0,0.0,32.0,12.0,7.0,27.0,21.0,22.0,16.0,17.0,20.0,8.0,33.0,4.0,44.0,9.0,14.0,19.0,3.0,10.0,34.0,6.0,53.0,5.0,28.0,40.0,39.0,31.0,196.0,38.0
3215,2.0,0.0,1.0,19.0,18.0,31.0,29.0,189.0,4.0,3.0,13.0,7.0,5.0,14.0,23.0,12.0,22.0,56.0,82.0,6.0,8.0,96.0,80.0,53.0,136.0,21.0,20.0,10.0,24.0,38.0
3264,2.0,0.0,1.0,13.0,17.0,4.0,28.0,48.0,10.0,9.0,3.0,6.0,12.0,7.0,100.0,24.0,33.0,11.0,25.0,5.0,19.0,47.0,26.0,23.0,36.0,18.0,20.0,99.0,108.0,42.0
3313,10.0,4.0,38.0,28.0,3.0,12.0,15.0,81.0,40.0,41.0,5.0,90.0,6.0,100.0,16.0,50.0,26.0,36.0,0.0,31.0,14.0,536.0,84.0,29.0,11.0,25.0,24.0,2.0,146.0,147.0
3362,4.0,0.0,36.0,23.0,10.0,13.0,12.0,38.0,7.0,8.0,20.0,19.0,15.0,2.0,22.0,1.0,31.0,32.0,6.0,16.0,18.0,9.0,29.0,26.0,57.0,33.0,34.0,21.0,94.0,39.0
3411,2.0,9.0,0.0,14.0,4.0,46.0,11.0,167.0,30.0,29.0,12.0,31.0,36.0,7.0,413.0,1.0,22.0,13.0,6.0,3.0,37.0,61.0,50.0,39.0,260.0,53.0,52.0,8.0,524.0,33.0
3460,1.0,6.0,11.0,2.0,3.0,9.0,0.0,24.0,32.0,33.0,30.0,7.0,16.0,31.0,93.0,20.0,36.0,5.0,339.0,8.0,25.0,13.0,23.0,49.0,95.0,38.0,39.0,4.0,56.0,55.0
3509,0.0,1.0,7.0,4.0,8.0,9.0,2.0,50.0,12.0,11.0,46.0,47.0,17.0,72.0,105.0,20.0,59.0,10.0,43.0,31.0,61.0,6.0,19.0,3.0,23.0,91.0,92.0,5.0,24.0,26.0
3558,1.0,0.0,9.0,2.0,4.0,22.0,8.0,6.0,21.0,20.0,40.0,12.0,34.0,27.0,26.0,3.0,23.0,13.0,64.0,17.0,50.0,14.0,7.0,16.0,31.0,82.0,83.0,5.0,29.0,25.0
3607,0.0,7.0,3.0,1.0,8.0,6.0,2.0,16.0,12.0,11.0,64.0,10.0,22.0,340.0,150.0,26.0,18.0,4.0,54.0,20.0,28.0,5.0,15.0,19.0,38.0,48.0,49.0,14.0,63.0,114.0
3656,0.0,9.0,25.0,1.0,3.0,204.0,24.0,7.0,45.0,44.0,73.0,38.0,52.0,708.0,5.0,35.0,13.0,15.0,20.0,10.0,120.0,553.0,16.0,8.0,41.0,119.0,118.0,2.0,19.0,32.0
3705,2.0,6.0,0.0,4.0,5.0,1.0,9.0,13.0,31.0,32.0,38.0,18.0,14.0,300.0,7.0,15.0,26.0,21.0,98.0,17.0,62.0,40.0,41.0,37.0,19.0,101.0,100.0,3.0,387.0,44.0
3754,2.0,13.0,7.0,6.0,1.0,3.0,4.0,8.0,28.0,27.0,77.0,11.0,80.0,63.0,32.0,9.0,24.0,5.0,17.0,29.0,12.0,34.0,21.0,10.0,23.0,15.0,16.0,0.0,64.0,48.0
3803,7.0,1.0,6.0,3.0,4.0,33.0,8.0,0.0,12.0,11.0,77.0,10.0,13.0,205.0,22.0,34.0,23.0,66.0,2.0,84.0,25.0,16.0,38.0,21.0,46.0,40.0,39.0,9.0,503.0,36.0
3852,2.0,22.0,5.0,6.0,1.0,3.0,12.0,0.0,38.0,37.0,27.0,36.0,19.0,25.0,9.0,4.0,11.0,13.0,33.0,15.0,20.0,29.0,21.0,8.0,17.0,30.0,31.0,7.0,10.0,125.0
3901,1.0,8.0,3.0,2.0,6.0,18.0,5.0,15.0,12.0,11.0,35.0,47.0,13.0,158.0,4.0,16.0,33.0,19.0,70.0,17.0,25.0,22.0,21.0,9.0,185.0,39.0,38.0,0.0,124.0,78.0
3950,1.0,4.0,0.0,7.0,3.0,24.0,14.0,2.0,16.0,17.0,8.0,34.0,11.0,19.0,12.0,26.0,48.0,23.0,35.0,30.0,18.0,44.0,134.0,231.0,25.0,22.0,21.0,140.0,41.0,29.0
3999,3.0,0.0,6.0,20.0,1.0,1004.0,136.0,13.0,16.0,17.0,4.0,19.0,63.0,53.0,119.0,127.0,27.0,21.0,211.0,89.0,36.0,189.0,134.0,68.0,31.0,49.0,48.0,78.0,44.0,40.0
4048,1.0,13.0,0.0,7.0,2.0,18.0,21.0,4.0,33.0,32.0,3.0,88.0,29.0,37.0,15.0,59.0,12.0,23.0,9.0,20.0,31.0,127.0,86.0,40.0,11.0,45.0,44.0,161.0,291.0,46.0
4097,0.0,4.0,2.0,5.0,3.0,16.0,7.0,11.0,22.0,23.0,15.0,19.0,17.0,66.0,29.0,65.0,9.0,57.0,59.0,10.0,30.0,90.0,135.0,61.0,37.0,40.0,39.0,850.0,6.0,26.0
4146,1.0,19.0,0.0,8.0,4.0,93.0,6.0,3.0,15.0,14.0,9.0,24.0,98.0,21.0,2.0,39.0,18.0,33.0,10.0,44.0,27.0,70.0,75.0,55.0,11.0,42.0,43.0,12.0,20.0,37.0
4195,1.0,5.0,0.0,13.0,2.0,44.0,33.0,6.0,8.0,7.0,4.0,23.0,17.0,11.0,3.0,30.0,15.0,22.0,117.0,25.0,46.0,31.0,48.0,186.0,91.0,82.0,83.0,107.0,12.0,28.0
4244,0.0,6.0,1.0,4.0,7.0,84.0,23.0,5.0,36.0,37.0,2.0,9.0,45.0,11.0,3.0,20.0,32.0,79.0,57.0,19.0,52.0,18.0,43.0,35.0,22.0,78.0,77.0,1028.0,14.0,42.0
4293,0.0,8.0,2.0,4.0,5.0,9.0,10.0,1.0,31.0,30.0,3.0,17.0,24.0,16.0,36.0,37.0,23.0,19.0,82.0,20.0,12.0,33.0,62.0,83.0,25.0,14.0,15.0,32.0,131.0,41.0
4342,1.0,12.0,0.0,9.0,2.0,43.0,13.0,18.0,53.0,54.0,3.0,11.0,5.0,34.0,159.0,35.0,474.0,42.0,10.0,20.0,249.0,19.0,30.0,93.0,25.0,310.0,309.0,62.0,4.0,90.0
4391,0.0,7.0,2.0,1.0,5.0,43.0,8.0,3.0,45.0,46.0,4.0,22.0,11.0,50.0,34.0,135.0,25.0,44.0,152.0,12.0,13.0,9.0,85.0,77.0,16.0,14.0,15.0,73.0,89.0,251.0
4440,7.0,2.0,1.0,26.0,8.0,0.0,11.0,9.0,3.0,4.0,66.0,112.0,41.0,5.0,85.0,19.0,37.0,10.0,1440.0,58.0,23.0,15.0,21.0,35.0,6.0,24.0,25.0,33.0,79.0,59.0
4489,3.0,8.0,2.0,10.0,4.0,0.0,35.0,1.0,21.0,20.0,15.0,11.0,29.0,19.0,13.0,41.0,38.0,18.0,84.0,49.0,7.0,303.0,28.0,54.0,34.0,6.0,5.0,39.0,33.0,275.0
4538,1.0,9.0,2.0,3.0,5.0,0.0,11.0,23.0,20.0,19.0,30.0,18.0,15.0,16.0,10.0,34.0,14.0,29.0,163.0,22.0,8.0,159.0,24.0,140.0,21.0,6.0,7.0,99.0,12.0,68.0
4587,1.0,10.0,17.0,3.0,2.0,0.0,21.0,9.0,28.0,27.0,32.0,19.0,52.0,11.0,8.0,30.0,22.0,24.0,50.0,14.0,7.0,43.0,29.0,26.0,16.0,5.0,6.0,12.0,49.0,146.0
4636,7.0,1.0,2.0,12.0,3.0,0.0,15.0,23.0,9.0,8.0,39.0,44.0,18.0,13.0,11.0,34.0,37.0,16.0,80.0,52.0,6.0,69.0,22.0,61.0,17.0,5.0,4.0,51.0,31.0,72.0
4685,1.0,3.0,2.0,7.0,9.0,0.0,13.0,28.0,10.0,11.0,61.0,23.0,22.0,6.0,82.0,8.0,32.0,20.0,5901.0,35.0,16.0,130.0,29.0,26.0,21.0,15.0,17.0,65.0,5.0,42.0
4734,0.0,3.0,4.0,5.0,11.0,2.0,16.0,18.0,13.0,12.0,32.0,33.0,25.0,19.0,9.0,35.0,26.0,37.0,100.0,14.0,7.0,339.0,34.0,195.0,20.0,8.0,6.0,296.0,15.0,94.0
4783,20.0,7.0,8.0,24.0,9.0,0.0,22.0,12.0,34.0,35.0,48.0,10.0,16.0,2.0,112.0,13.0,15.0,17.0,11.0,23.0,5.0,49.0,47.0,362.0,14.0,3.0,4.0,40.0,19.0,109.0
4832,10.0,2.0,0.0,16.0,8.0,1.0,426.0,9.0,29.0,30.0,12.0,19.0,11.0,48.0,20.0,163.0,13.0,44.0,20583.0,116.0,7.0,12742.0,43.0,46.0,17.0,5.0,6.0,34.0,4.0,113.0
4881,0.0,2.0,4.0,5.0,9.0,1.0,25.0,35.0,8.0,7.0,29.0,22.0,50.0,3.0,53.0,10.0,17.0,48.0,818.0,19.0,13.0,36.0,21.0,42.0,55.0,12.0,11.0,175.0,110.0,144.0
