,HAEMATOPOIETIC,ENDOMETRIUM,PANCREAS,URINARY,LUNG,OVARY,BREAST,SKIN,LIVER,NERVOUS,OESOPHAGUS,LARGE_INTESTINE,SOFT_TISSUE,GANGLIA,AERODIGESTIVE,BONE,PROSTATE,SALIVARY,THYROID,KIDNEY,STOMACH,PLEURA,BILIARY
1321,0.0,1.0,3.0,4.0,5.0,11.0,6.0,7.0,9.0,12.0,14.0,13.0,2.0,15.0,16.0,8.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
1370,0.0,2.0,3.0,6.0,5.0,4.0,7.0,8.0,9.0,10.0,11.0,14.0,1.0,15.0,16.0,12.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
1419,4.0,2.0,3.0,9.0,8.0,13.0,5.0,6.0,7.0,12.0,11.0,10.0,18.0,14.0,15.0,0.0,16.0,17.0,19.0,20.0,1.0,21.0,22.0
1468,2.0,21.0,1.0,4.0,12.0,6.0,7.0,3.0,5.0,11.0,10.0,8.0,0.0,13.0,14.0,9.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
1517,2.0,1.0,3.0,7.0,6.0,12.0,5.0,4.0,8.0,11.0,10.0,13.0,9.0,14.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,2.0,0.0,1.0,3.0,7.0,5.0,6.0,8.0,9.0,11.0,12.0,10.0,4.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1615,1.0,0.0,2.0,3.0,8.0,11.0,7.0,5.0,4.0,6.0,9.0,10.0,13.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1664,1.0,0.0,2.0,3.0,5.0,8.0,4.0,9.0,6.0,10.0,7.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,1.0,0.0,2.0,4.0,8.0,3.0,6.0,7.0,10.0,11.0,13.0,9.0,12.0,14.0,15.0,5.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,0.0,1.0,2.0,6.0,5.0,10.0,4.0,3.0,7.0,8.0,11.0,13.0,9.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1811,1.0,0.0,2.0,3.0,7.0,11.0,4.0,6.0,8.0,12.0,9.0,13.0,10.0,14.0,15.0,5.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,2.0,1.0,3.0,0.0,6.0,10.0,4.0,5.0,7.0,11.0,9.0,12.0,17.0,13.0,14.0,8.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1909,1.0,0.0,2.0,3.0,9.0,5.0,4.0,8.0,6.0,10.0,7.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,2.0,1.0,3.0,6.0,8.0,5.0,7.0,4.0,10.0,12.0,13.0,11.0,9.0,14.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2007,1.0,2.0,3.0,4.0,6.0,12.0,5.0,11.0,7.0,9.0,8.0,10.0,17.0,13.0,14.0,0.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2056,2.0,0.0,3.0,5.0,7.0,9.0,4.0,13.0,8.0,11.0,6.0,10.0,12.0,14.0,15.0,1.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,2.0,1.0,4.0,5.0,7.0,10.0,8.0,9.0,3.0,6.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,0.0,21.0,22.0
2154,0.0,21.0,1.0,2.0,4.0,11.0,3.0,9.0,6.0,10.0,7.0,8.0,12.0,13.0,14.0,17.0,15.0,18.0,19.0,20.0,5.0,16.0,22.0
2203,1.0,0.0,15.0,2.0,3.0,8.0,5.0,10.0,6.0,12.0,9.0,11.0,7.0,13.0,14.0,17.0,16.0,18.0,19.0,20.0,4.0,21.0,22.0
2252,0.0,2.0,3.0,5.0,6.0,20.0,4.0,10.0,7.0,11.0,8.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0,18.0,19.0,9.0,21.0,22.0
2301,3.0,0.0,4.0,2.0,5.0,11.0,6.0,12.0,10.0,13.0,8.0,14.0,9.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,7.0,21.0,22.0
2350,3.0,0.0,1.0,20.0,8.0,10.0,4.0,11.0,5.0,6.0,12.0,9.0,13.0,14.0,15.0,2.0,16.0,17.0,18.0,19.0,7.0,21.0,22.0
2399,3.0,1.0,4.0,5.0,8.0,13.0,7.0,12.0,9.0,6.0,14.0,11.0,10.0,15.0,2.0,0.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2448,3.0,2.0,4.0,0.0,6.0,11.0,5.0,12.0,7.0,10.0,9.0,13.0,8.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
2497,3.0,2.0,4.0,1.0,7.0,9.0,6.0,10.0,8.0,5.0,13.0,12.0,11.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,0.0,21.0,22.0
2546,1.0,2.0,4.0,0.0,6.0,3.0,7.0,5.0,9.0,8.0,10.0,11.0,17.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
2595,0.0,2.0,3.0,1.0,8.0,4.0,5.0,6.0,9.0,12.0,10.0,11.0,18.0,13.0,14.0,16.0,15.0,17.0,19.0,20.0,7.0,21.0,22.0
2644,2.0,1.0,4.0,0.0,10.0,6.0,5.0,7.0,9.0,12.0,13.0,11.0,18.0,14.0,15.0,3.0,16.0,17.0,19.0,20.0,8.0,21.0,22.0
2693,1.0,2.0,4.0,0.0,8.0,6.0,5.0,7.0,3.0,12.0,11.0,9.0,18.0,13.0,14.0,16.0,15.0,17.0,19.0,20.0,10.0,21.0,22.0
2742,0.0,2.0,3.0,1.0,7.0,4.0,9.0,6.0,10.0,5.0,13.0,11.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,8.0,21.0,22.0
2791,2.0,0.0,3.0,1.0,5.0,4.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2840,0.0,1.0,2.0,20.0,9.0,3.0,6.0,8.0,10.0,4.0,12.0,7.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,5.0,21.0,22.0
2889,0.0,1.0,3.0,2.0,9.0,4.0,5.0,8.0,11.0,6.0,13.0,10.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,7.0,21.0,22.0
2938,1.0,21.0,0.0,2.0,7.0,4.0,3.0,8.0,6.0,5.0,9.0,11.0,10.0,12.0,13.0,16.0,14.0,17.0,18.0,19.0,20.0,15.0,22.0
2987,3.0,2.0,4.0,1.0,8.0,5.0,7.0,10.0,9.0,6.0,12.0,11.0,17.0,13.0,14.0,0.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3036,1.0,2.0,0.0,3.0,5.0,4.0,8.0,7.0,14.0,6.0,12.0,13.0,11.0,15.0,16.0,9.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
3085,0.0,2.0,3.0,1.0,9.0,4.0,5.0,12.0,8.0,11.0,13.0,10.0,18.0,14.0,15.0,6.0,16.0,17.0,19.0,20.0,7.0,21.0,22.0
3134,3.0,0.0,4.0,2.0,9.0,8.0,6.0,7.0,11.0,5.0,13.0,10.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
3183,1.0,2.0,3.0,0.0,10.0,8.0,6.0,11.0,7.0,4.0,12.0,9.0,18.0,13.0,14.0,16.0,15.0,17.0,19.0,20.0,5.0,21.0,22.0
3232,0.0,1.0,2.0,19.0,7.0,8.0,5.0,6.0,3.0,4.0,9.0,10.0,16.0,11.0,12.0,14.0,13.0,15.0,17.0,18.0,20.0,21.0,22.0
3281,2.0,1.0,3.0,0.0,7.0,4.0,5.0,10.0,13.0,6.0,11.0,12.0,18.0,14.0,15.0,9.0,16.0,17.0,19.0,20.0,8.0,21.0,22.0
3330,2.0,1.0,3.0,0.0,12.0,4.0,9.0,11.0,8.0,10.0,14.0,7.0,13.0,15.0,16.0,6.0,17.0,18.0,19.0,20.0,5.0,21.0,22.0
3379,0.0,2.0,3.0,1.0,8.0,4.0,7.0,11.0,9.0,6.0,12.0,13.0,10.0,14.0,15.0,5.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3428,2.0,1.0,3.0,0.0,7.0,4.0,5.0,13.0,9.0,10.0,8.0,11.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,6.0,21.0,22.0
3477,2.0,21.0,3.0,6.0,4.0,8.0,10.0,5.0,0.0,7.0,9.0,13.0,11.0,14.0,1.0,17.0,15.0,18.0,19.0,20.0,12.0,16.0,22.0
3526,0.0,1.0,3.0,2.0,6.0,5.0,7.0,11.0,4.0,10.0,8.0,9.0,17.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
3575,2.0,0.0,3.0,5.0,6.0,4.0,7.0,8.0,1.0,10.0,13.0,9.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,11.0,21.0,22.0
3624,3.0,2.0,1.0,5.0,11.0,4.0,8.0,12.0,0.0,9.0,7.0,10.0,13.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,6.0,21.0,22.0
3673,1.0,2.0,5.0,6.0,9.0,7.0,8.0,12.0,4.0,10.0,13.0,11.0,14.0,15.0,3.0,17.0,16.0,18.0,19.0,20.0,0.0,21.0,22.0
3722,0.0,21.0,2.0,4.0,3.0,11.0,5.0,6.0,1.0,8.0,10.0,12.0,7.0,13.0,14.0,17.0,15.0,18.0,19.0,20.0,9.0,16.0,22.0
3771,0.0,1.0,5.0,3.0,6.0,2.0,8.0,7.0,4.0,9.0,11.0,10.0,17.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
3820,3.0,2.0,0.0,6.0,8.0,4.0,5.0,9.0,17.0,7.0,10.0,12.0,11.0,13.0,14.0,16.0,15.0,18.0,19.0,20.0,1.0,21.0,22.0
3869,0.0,1.0,3.0,2.0,6.0,5.0,8.0,9.0,4.0,7.0,10.0,12.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,1.0,0.0,15.0,9.0,5.0,3.0,4.0,6.0,2.0,10.0,7.0,12.0,11.0,13.0,14.0,17.0,16.0,18.0,19.0,20.0,8.0,21.0,22.0
3967,1.0,2.0,0.0,3.0,7.0,12.0,6.0,8.0,10.0,5.0,11.0,4.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,2.0,1.0,0.0,4.0,3.0,7.0,6.0,10.0,8.0,5.0,11.0,12.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,2.0,1.0,0.0,3.0,5.0,7.0,9.0,8.0,6.0,4.0,11.0,10.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,2.0,1.0,0.0,3.0,10.0,4.0,9.0,8.0,7.0,6.0,11.0,12.0,5.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,2.0,1.0,0.0,3.0,7.0,5.0,9.0,8.0,6.0,4.0,11.0,12.0,10.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,1.0,2.0,0.0,5.0,9.0,3.0,12.0,8.0,6.0,4.0,7.0,11.0,10.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,2.0,1.0,0.0,3.0,7.0,4.0,6.0,8.0,9.0,5.0,10.0,12.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,3.0,0.0,1.0,2.0,7.0,6.0,8.0,11.0,5.0,4.0,9.0,12.0,10.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,1.0,2.0,0.0,3.0,6.0,5.0,10.0,12.0,4.0,7.0,8.0,9.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,3.0,1.0,0.0,2.0,5.0,8.0,9.0,11.0,7.0,4.0,10.0,6.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,0.0,2.0,3.0,1.0,5.0,8.0,6.0,7.0,9.0,10.0,11.0,12.0,17.0,13.0,14.0,4.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4506,3.0,0.0,2.0,19.0,4.0,1.0,5.0,7.0,11.0,6.0,9.0,10.0,16.0,12.0,13.0,8.0,14.0,15.0,17.0,18.0,20.0,21.0,22.0
4555,0.0,13.0,1.0,6.0,5.0,9.0,4.0,3.0,16.0,2.0,8.0,7.0,10.0,11.0,12.0,15.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,0.0,1.0,2.0,19.0,3.0,6.0,4.0,5.0,8.0,10.0,11.0,12.0,9.0,13.0,14.0,7.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4653,1.0,2.0,3.0,5.0,6.0,4.0,10.0,7.0,11.0,9.0,12.0,8.0,0.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4702,0.0,3.0,1.0,2.0,4.0,6.0,7.0,5.0,11.0,8.0,12.0,10.0,17.0,13.0,14.0,9.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4751,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,9.0,12.0,11.0,10.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4800,0.0,3.0,2.0,7.0,6.0,5.0,4.0,12.0,13.0,8.0,1.0,11.0,10.0,14.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,1.0,2.0,0.0,7.0,3.0,6.0,4.0,5.0,9.0,10.0,12.0,11.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,1.0,0.0,2.0,3.0,7.0,4.0,6.0,5.0,12.0,9.0,11.0,10.0,17.0,13.0,14.0,8.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
