,STOMACH,GANGLIA,HAEMATOPOIETIC,THYROID,KIDNEY,SOFT_TISSUE,BONE,ENDOMETRIUM,BILIARY,OESOPHAGUS,LARGE_INTESTINE,SALIVARY,PLEURA,AERODIGESTIVE,BREAST,LIVER,PROSTATE,PANCREAS,SKIN,OVARY,NERVOUS,URINARY,LUNG
778,3.0,0.0,1.0,4.0,2.0,5.0,7.0,11.0,12.0,9.0,10.0,13.0,6.0,18.0,15.0,17.0,8.0,16.0,14.0,19.0,20.0,21.0,22.0
827,5.0,0.0,1.0,10.0,2.0,3.0,4.0,6.0,8.0,9.0,16.0,11.0,7.0,13.0,15.0,12.0,17.0,21.0,18.0,19.0,14.0,20.0,22.0
876,3.0,0.0,1.0,4.0,2.0,5.0,12.0,7.0,8.0,9.0,10.0,11.0,6.0,13.0,14.0,19.0,22.0,20.0,21.0,16.0,17.0,18.0,15.0
925,20.0,0.0,1.0,4.0,2.0,3.0,5.0,6.0,7.0,8.0,13.0,9.0,11.0,12.0,21.0,10.0,15.0,14.0,16.0,17.0,18.0,19.0,22.0
974,9.0,0.0,1.0,5.0,4.0,2.0,11.0,7.0,8.0,3.0,20.0,10.0,6.0,12.0,14.0,17.0,15.0,13.0,18.0,19.0,21.0,16.0,22.0
1023,5.0,1.0,2.0,3.0,11.0,4.0,7.0,6.0,10.0,12.0,0.0,13.0,8.0,16.0,14.0,9.0,17.0,21.0,18.0,19.0,15.0,20.0,22.0
1072,0.0,1.0,3.0,4.0,11.0,5.0,7.0,8.0,9.0,10.0,2.0,12.0,13.0,14.0,21.0,6.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
1121,7.0,8.0,9.0,1.0,12.0,2.0,4.0,6.0,10.0,11.0,0.0,13.0,5.0,14.0,20.0,3.0,15.0,16.0,22.0,17.0,18.0,19.0,21.0
1170,0.0,1.0,3.0,4.0,11.0,5.0,7.0,8.0,9.0,10.0,2.0,12.0,13.0,14.0,21.0,6.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
1219,5.0,0.0,2.0,3.0,9.0,4.0,7.0,11.0,8.0,12.0,1.0,10.0,16.0,13.0,21.0,6.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
1268,3.0,0.0,1.0,8.0,17.0,2.0,5.0,12.0,6.0,7.0,4.0,9.0,11.0,14.0,13.0,10.0,16.0,15.0,21.0,18.0,19.0,20.0,22.0
1317,0.0,2.0,4.0,5.0,14.0,7.0,8.0,6.0,12.0,1.0,3.0,13.0,11.0,10.0,17.0,15.0,9.0,18.0,16.0,19.0,20.0,21.0,22.0
1366,8.0,0.0,2.0,3.0,9.0,5.0,16.0,6.0,7.0,12.0,1.0,10.0,11.0,13.0,21.0,4.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
1415,7.0,9.0,1.0,2.0,11.0,3.0,5.0,6.0,10.0,8.0,0.0,12.0,13.0,14.0,20.0,4.0,15.0,16.0,17.0,22.0,18.0,19.0,21.0
1464,9.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,8.0,10.0,4.0,11.0,13.0,14.0,18.0,12.0,15.0,20.0,21.0,16.0,17.0,22.0,19.0
1513,3.0,0.0,1.0,2.0,4.0,5.0,19.0,10.0,6.0,7.0,11.0,8.0,9.0,12.0,14.0,16.0,22.0,13.0,20.0,17.0,18.0,21.0,15.0
1562,5.0,0.0,1.0,2.0,6.0,3.0,10.0,4.0,7.0,8.0,12.0,9.0,11.0,13.0,21.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
1611,3.0,4.0,0.0,1.0,5.0,2.0,10.0,6.0,7.0,8.0,19.0,9.0,11.0,12.0,13.0,21.0,22.0,18.0,17.0,15.0,16.0,20.0,14.0
1660,1.0,0.0,2.0,6.0,5.0,7.0,9.0,3.0,10.0,4.0,17.0,11.0,8.0,21.0,16.0,12.0,18.0,13.0,19.0,14.0,20.0,15.0,22.0
1709,0.0,1.0,2.0,5.0,4.0,3.0,8.0,10.0,6.0,11.0,12.0,7.0,9.0,13.0,21.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
1758,0.0,1.0,2.0,3.0,5.0,4.0,10.0,6.0,7.0,8.0,12.0,9.0,11.0,13.0,21.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
1807,3.0,2.0,0.0,1.0,5.0,6.0,9.0,4.0,7.0,10.0,17.0,11.0,8.0,16.0,15.0,19.0,18.0,21.0,20.0,12.0,13.0,14.0,22.0
1856,0.0,1.0,2.0,3.0,11.0,4.0,6.0,5.0,10.0,8.0,18.0,9.0,13.0,17.0,15.0,12.0,7.0,16.0,21.0,14.0,19.0,20.0,22.0
1905,0.0,1.0,2.0,3.0,7.0,4.0,9.0,5.0,8.0,11.0,10.0,12.0,6.0,16.0,14.0,13.0,17.0,21.0,18.0,19.0,15.0,20.0,22.0
1954,0.0,2.0,3.0,5.0,4.0,6.0,12.0,7.0,9.0,1.0,14.0,11.0,13.0,10.0,8.0,21.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
2003,5.0,0.0,1.0,2.0,7.0,3.0,8.0,6.0,10.0,15.0,4.0,12.0,9.0,16.0,11.0,13.0,17.0,21.0,18.0,19.0,20.0,14.0,22.0
2052,4.0,0.0,1.0,2.0,6.0,3.0,21.0,7.0,8.0,20.0,5.0,10.0,12.0,17.0,9.0,11.0,22.0,13.0,15.0,16.0,18.0,19.0,14.0
2101,0.0,1.0,2.0,3.0,8.0,4.0,11.0,5.0,6.0,7.0,13.0,10.0,12.0,19.0,9.0,16.0,22.0,18.0,17.0,20.0,15.0,21.0,14.0
2150,0.0,1.0,2.0,6.0,3.0,4.0,5.0,11.0,7.0,8.0,9.0,10.0,20.0,22.0,13.0,15.0,14.0,12.0,16.0,17.0,18.0,19.0,21.0
2199,0.0,7.0,8.0,3.0,2.0,9.0,4.0,6.0,10.0,14.0,1.0,12.0,5.0,11.0,13.0,20.0,15.0,16.0,22.0,17.0,18.0,19.0,21.0
2248,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,21.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
2297,0.0,1.0,3.0,5.0,13.0,6.0,7.0,4.0,11.0,20.0,9.0,12.0,10.0,17.0,2.0,21.0,8.0,16.0,15.0,14.0,18.0,19.0,22.0
2346,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,8.0,20.0,9.0,11.0,12.0,18.0,10.0,21.0,22.0,13.0,16.0,17.0,15.0,19.0,14.0
2395,8.0,0.0,1.0,5.0,4.0,2.0,6.0,9.0,7.0,21.0,12.0,10.0,11.0,20.0,3.0,16.0,22.0,19.0,17.0,18.0,14.0,15.0,13.0
2444,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,14.0,9.0,11.0,13.0,21.0,10.0,12.0,15.0,20.0,18.0,16.0,17.0,22.0,19.0
2493,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,15.0,14.0,12.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
2542,4.0,2.0,0.0,3.0,5.0,7.0,1.0,6.0,8.0,9.0,19.0,11.0,12.0,18.0,10.0,14.0,22.0,17.0,15.0,16.0,20.0,21.0,13.0
2591,1.0,2.0,4.0,0.0,14.0,7.0,8.0,6.0,12.0,10.0,3.0,13.0,11.0,17.0,5.0,15.0,19.0,16.0,20.0,18.0,21.0,22.0,9.0
2640,2.0,0.0,4.0,6.0,5.0,7.0,1.0,8.0,14.0,3.0,10.0,13.0,15.0,16.0,11.0,18.0,9.0,19.0,20.0,17.0,21.0,22.0,12.0
2689,0.0,1.0,2.0,4.0,3.0,5.0,7.0,8.0,9.0,6.0,13.0,10.0,11.0,14.0,12.0,21.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
2738,8.0,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,9.0,10.0,11.0,13.0,15.0,14.0,12.0,22.0,21.0,17.0,18.0,20.0,19.0,16.0
2787,5.0,3.0,2.0,1.0,4.0,0.0,6.0,7.0,13.0,15.0,8.0,9.0,10.0,18.0,11.0,17.0,20.0,12.0,16.0,14.0,19.0,21.0,22.0
2836,5.0,0.0,7.0,2.0,1.0,8.0,4.0,3.0,13.0,10.0,6.0,14.0,12.0,15.0,11.0,22.0,16.0,18.0,17.0,19.0,20.0,21.0,9.0
2885,0.0,3.0,1.0,2.0,11.0,4.0,6.0,8.0,10.0,12.0,14.0,9.0,5.0,13.0,7.0,15.0,19.0,18.0,21.0,20.0,16.0,17.0,22.0
2934,4.0,0.0,1.0,2.0,5.0,6.0,3.0,7.0,8.0,21.0,9.0,10.0,11.0,12.0,14.0,19.0,22.0,13.0,16.0,20.0,17.0,18.0,15.0
2983,0.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,13.0,14.0,21.0,12.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
3032,0.0,1.0,2.0,3.0,7.0,5.0,6.0,4.0,8.0,12.0,9.0,10.0,11.0,20.0,18.0,21.0,22.0,19.0,17.0,14.0,15.0,16.0,13.0
3081,2.0,3.0,0.0,4.0,5.0,6.0,1.0,13.0,7.0,8.0,9.0,10.0,12.0,17.0,14.0,11.0,22.0,16.0,21.0,18.0,19.0,20.0,15.0
3130,0.0,2.0,7.0,8.0,4.0,6.0,9.0,3.0,11.0,1.0,15.0,12.0,5.0,14.0,22.0,13.0,10.0,18.0,16.0,17.0,19.0,20.0,21.0
3179,0.0,5.0,1.0,2.0,7.0,3.0,4.0,9.0,10.0,12.0,6.0,11.0,16.0,13.0,21.0,8.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
3228,22.0,0.0,1.0,2.0,9.0,3.0,4.0,6.0,7.0,8.0,5.0,10.0,12.0,21.0,13.0,11.0,14.0,20.0,18.0,15.0,16.0,17.0,19.0
3277,0.0,2.0,3.0,5.0,4.0,6.0,8.0,9.0,10.0,1.0,11.0,13.0,14.0,12.0,15.0,7.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3326,0.0,1.0,2.0,4.0,3.0,5.0,6.0,11.0,7.0,8.0,12.0,9.0,10.0,13.0,21.0,16.0,22.0,14.0,17.0,18.0,19.0,20.0,15.0
3375,0.0,1.0,2.0,3.0,10.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,21.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0
3424,0.0,1.0,2.0,6.0,5.0,3.0,7.0,8.0,9.0,13.0,4.0,10.0,12.0,15.0,14.0,11.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3473,3.0,1.0,2.0,4.0,8.0,0.0,5.0,11.0,6.0,7.0,12.0,9.0,10.0,13.0,19.0,16.0,15.0,14.0,21.0,22.0,17.0,18.0,20.0
3522,20.0,0.0,1.0,2.0,7.0,3.0,9.0,11.0,6.0,5.0,12.0,8.0,10.0,13.0,4.0,21.0,15.0,14.0,16.0,17.0,18.0,19.0,22.0
3571,5.0,1.0,7.0,2.0,10.0,3.0,4.0,13.0,9.0,0.0,6.0,11.0,12.0,15.0,14.0,8.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3620,5.0,1.0,2.0,3.0,10.0,4.0,7.0,8.0,9.0,0.0,6.0,11.0,21.0,12.0,14.0,16.0,15.0,13.0,17.0,18.0,19.0,20.0,22.0
3669,7.0,0.0,1.0,2.0,9.0,3.0,11.0,13.0,6.0,5.0,8.0,10.0,12.0,20.0,4.0,19.0,22.0,14.0,16.0,21.0,17.0,18.0,15.0
3718,0.0,1.0,2.0,3.0,9.0,4.0,6.0,14.0,7.0,5.0,8.0,11.0,13.0,10.0,12.0,19.0,22.0,20.0,16.0,21.0,17.0,18.0,15.0
3767,0.0,1.0,2.0,3.0,6.0,4.0,7.0,12.0,8.0,5.0,9.0,11.0,13.0,18.0,10.0,15.0,14.0,17.0,16.0,19.0,20.0,21.0,22.0
3816,8.0,0.0,1.0,2.0,17.0,5.0,6.0,11.0,7.0,3.0,4.0,9.0,10.0,14.0,12.0,13.0,16.0,15.0,21.0,18.0,19.0,20.0,22.0
3865,3.0,0.0,1.0,4.0,9.0,5.0,2.0,12.0,6.0,7.0,8.0,10.0,11.0,14.0,13.0,21.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
3914,0.0,1.0,2.0,3.0,11.0,4.0,7.0,14.0,10.0,5.0,18.0,9.0,6.0,17.0,15.0,12.0,8.0,16.0,21.0,13.0,19.0,20.0,22.0
3963,4.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,21.0,12.0,14.0,16.0,22.0,13.0,17.0,18.0,19.0,20.0,15.0
4012,1.0,2.0,3.0,5.0,4.0,6.0,7.0,12.0,13.0,8.0,9.0,14.0,21.0,10.0,11.0,15.0,22.0,16.0,17.0,18.0,19.0,20.0,0.0
4061,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,20.0,13.0,19.0,11.0,22.0,14.0,16.0,17.0,18.0,21.0,15.0
4110,0.0,1.0,2.0,6.0,5.0,3.0,11.0,7.0,8.0,20.0,4.0,9.0,21.0,12.0,14.0,10.0,22.0,13.0,16.0,17.0,18.0,19.0,15.0
4159,5.0,0.0,1.0,2.0,7.0,4.0,10.0,3.0,11.0,9.0,6.0,12.0,16.0,19.0,17.0,22.0,8.0,18.0,13.0,20.0,14.0,21.0,15.0
4208,0.0,2.0,4.0,6.0,5.0,8.0,9.0,3.0,10.0,1.0,12.0,13.0,11.0,16.0,7.0,15.0,17.0,19.0,18.0,14.0,21.0,22.0,20.0
4257,0.0,1.0,2.0,3.0,6.0,4.0,7.0,8.0,9.0,10.0,5.0,11.0,21.0,12.0,14.0,16.0,15.0,13.0,17.0,18.0,19.0,20.0,22.0
4306,3.0,0.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,13.0,9.0,10.0,19.0,14.0,12.0,11.0,22.0,20.0,16.0,21.0,17.0,18.0,15.0
4355,0.0,2.0,5.0,3.0,11.0,4.0,6.0,8.0,10.0,1.0,17.0,9.0,13.0,21.0,15.0,12.0,22.0,16.0,20.0,14.0,18.0,19.0,7.0
4404,0.0,1.0,2.0,3.0,9.0,4.0,5.0,11.0,6.0,7.0,8.0,10.0,21.0,12.0,14.0,16.0,15.0,13.0,17.0,18.0,19.0,20.0,22.0
4453,2.0,0.0,1.0,4.0,3.0,6.0,5.0,9.0,10.0,21.0,19.0,11.0,12.0,18.0,8.0,13.0,7.0,17.0,14.0,15.0,16.0,20.0,22.0
4502,0.0,1.0,6.0,3.0,2.0,4.0,11.0,7.0,15.0,17.0,9.0,13.0,8.0,16.0,10.0,14.0,12.0,20.0,18.0,19.0,21.0,22.0,5.0
4551,1.0,2.0,5.0,7.0,6.0,8.0,10.0,4.0,13.0,21.0,3.0,12.0,9.0,18.0,16.0,22.0,11.0,17.0,14.0,15.0,19.0,20.0,0.0
4600,2.0,0.0,1.0,5.0,4.0,6.0,14.0,3.0,12.0,22.0,20.0,11.0,9.0,19.0,8.0,13.0,7.0,18.0,15.0,16.0,17.0,21.0,10.0
4649,0.0,1.0,2.0,4.0,10.0,11.0,7.0,3.0,9.0,19.0,17.0,8.0,6.0,22.0,15.0,12.0,5.0,16.0,21.0,13.0,14.0,18.0,20.0
4698,0.0,1.0,4.0,6.0,5.0,8.0,11.0,7.0,12.0,20.0,2.0,13.0,10.0,17.0,15.0,21.0,9.0,16.0,14.0,3.0,18.0,19.0,22.0
4747,0.0,1.0,2.0,5.0,4.0,6.0,10.0,3.0,11.0,8.0,19.0,12.0,9.0,18.0,16.0,22.0,7.0,17.0,14.0,15.0,20.0,21.0,13.0
4796,0.0,1.0,2.0,5.0,4.0,7.0,11.0,6.0,12.0,21.0,3.0,13.0,10.0,19.0,9.0,22.0,8.0,18.0,14.0,15.0,20.0,16.0,17.0
4845,0.0,1.0,2.0,11.0,4.0,12.0,8.0,3.0,10.0,20.0,18.0,9.0,7.0,6.0,15.0,22.0,5.0,16.0,13.0,14.0,17.0,19.0,21.0
4894,3.0,0.0,1.0,7.0,6.0,2.0,10.0,5.0,11.0,17.0,4.0,12.0,9.0,21.0,14.0,18.0,8.0,15.0,13.0,20.0,16.0,22.0,19.0
