,guanosine,2-deoxycytidine,inosine,uridine,C18:0 LPC,C22:6 CE,GABA,N-carbamoyl-beta-alanine,butyrylcarnitine/isobutyrylcarnitine,glutamine,inositol,C16:0 LPE,cis/trans-hydroxyproline,C22:6 LPE,leucine,1-methylnicotinamide,pantothenate,hypoxanthine,creatine,sarcosine,serine,dCMP,PEP,valerylcarnitine,carnitine,cytidine,taurodeoxycholate,C34:4 PC,cystathionine,3-phosphoglycerate
956,0.0,2.0,1.0,23.0,26.0,5.0,6.0,33.0,4.0,7.0,18.0,15.0,10.0,51.0,8.0,38.0,30.0,41.0,3.0,21.0,9.0,29.0,42.0,28.0,50.0,46.0,37.0,31.0,12.0,40.0
1005,0.0,2.0,1.0,9.0,39.0,32.0,17.0,19.0,29.0,3.0,53.0,35.0,5.0,21.0,18.0,10.0,13.0,15.0,50.0,22.0,14.0,23.0,7.0,12.0,31.0,61.0,8.0,4.0,42.0,6.0
1054,0.0,1.0,2.0,28.0,4.0,17.0,22.0,12.0,13.0,16.0,29.0,31.0,15.0,10.0,21.0,24.0,48.0,26.0,34.0,47.0,6.0,33.0,32.0,45.0,20.0,38.0,14.0,18.0,25.0,5.0
1103,1.0,0.0,3.0,5.0,7.0,11.0,17.0,9.0,23.0,34.0,13.0,10.0,2.0,46.0,50.0,21.0,37.0,56.0,32.0,16.0,30.0,20.0,12.0,43.0,24.0,27.0,19.0,48.0,31.0,6.0
1152,2.0,1.0,0.0,8.0,9.0,14.0,10.0,3.0,37.0,17.0,22.0,27.0,4.0,12.0,62.0,23.0,49.0,24.0,47.0,46.0,18.0,16.0,11.0,48.0,19.0,55.0,31.0,25.0,7.0,5.0
1201,1.0,0.0,2.0,29.0,21.0,37.0,15.0,25.0,11.0,14.0,4.0,38.0,12.0,28.0,32.0,34.0,5.0,6.0,24.0,47.0,16.0,3.0,30.0,9.0,13.0,22.0,18.0,19.0,26.0,7.0
1250,2.0,0.0,1.0,7.0,5.0,17.0,3.0,9.0,20.0,8.0,21.0,15.0,6.0,18.0,14.0,25.0,30.0,40.0,54.0,47.0,13.0,22.0,28.0,42.0,24.0,49.0,38.0,52.0,57.0,16.0
1299,1.0,0.0,4.0,2.0,5.0,15.0,57.0,12.0,58.0,8.0,34.0,35.0,3.0,26.0,19.0,30.0,21.0,18.0,10.0,54.0,50.0,27.0,22.0,59.0,41.0,17.0,6.0,46.0,11.0,29.0
1348,1.0,0.0,3.0,9.0,15.0,49.0,8.0,55.0,13.0,35.0,54.0,36.0,28.0,21.0,10.0,4.0,26.0,29.0,30.0,20.0,43.0,11.0,5.0,18.0,6.0,27.0,19.0,41.0,17.0,2.0
1397,1.0,0.0,2.0,26.0,14.0,24.0,3.0,8.0,25.0,4.0,41.0,13.0,30.0,11.0,19.0,17.0,12.0,51.0,37.0,18.0,15.0,6.0,55.0,40.0,7.0,54.0,5.0,16.0,21.0,20.0
1446,1.0,0.0,2.0,12.0,6.0,30.0,19.0,5.0,7.0,18.0,36.0,20.0,31.0,29.0,15.0,33.0,24.0,26.0,35.0,16.0,10.0,9.0,8.0,23.0,4.0,21.0,11.0,40.0,28.0,3.0
1495,0.0,2.0,3.0,1.0,31.0,4.0,12.0,5.0,8.0,10.0,17.0,14.0,25.0,18.0,24.0,30.0,53.0,13.0,42.0,22.0,20.0,9.0,62.0,55.0,16.0,38.0,32.0,11.0,40.0,6.0
1544,0.0,2.0,1.0,6.0,7.0,3.0,19.0,10.0,5.0,8.0,24.0,21.0,56.0,4.0,64.0,11.0,60.0,63.0,35.0,36.0,18.0,15.0,26.0,22.0,32.0,20.0,28.0,41.0,48.0,38.0
1593,0.0,1.0,4.0,19.0,12.0,5.0,21.0,2.0,6.0,8.0,15.0,3.0,17.0,38.0,28.0,40.0,26.0,34.0,16.0,46.0,7.0,13.0,37.0,27.0,52.0,18.0,10.0,44.0,9.0,50.0
1642,0.0,4.0,3.0,43.0,9.0,5.0,21.0,1.0,20.0,8.0,28.0,10.0,16.0,6.0,13.0,27.0,7.0,59.0,23.0,29.0,18.0,2.0,57.0,49.0,17.0,41.0,38.0,36.0,32.0,25.0
1691,0.0,4.0,2.0,7.0,40.0,3.0,13.0,5.0,10.0,24.0,17.0,15.0,46.0,31.0,6.0,19.0,30.0,25.0,1.0,49.0,21.0,11.0,27.0,29.0,23.0,64.0,56.0,26.0,43.0,20.0
1740,0.0,4.0,3.0,23.0,13.0,8.0,46.0,1.0,6.0,19.0,49.0,27.0,50.0,5.0,48.0,24.0,42.0,20.0,22.0,16.0,12.0,17.0,25.0,32.0,28.0,40.0,34.0,58.0,14.0,29.0
1789,0.0,1.0,2.0,12.0,16.0,4.0,15.0,6.0,3.0,11.0,48.0,8.0,38.0,10.0,42.0,18.0,56.0,14.0,39.0,29.0,37.0,17.0,58.0,44.0,21.0,36.0,31.0,19.0,7.0,25.0
1838,0.0,1.0,2.0,7.0,6.0,3.0,8.0,17.0,12.0,4.0,19.0,10.0,52.0,5.0,16.0,56.0,15.0,55.0,9.0,18.0,48.0,32.0,13.0,25.0,23.0,14.0,64.0,43.0,22.0,42.0
1887,0.0,4.0,1.0,2.0,5.0,3.0,13.0,9.0,6.0,11.0,8.0,16.0,37.0,24.0,26.0,23.0,28.0,7.0,17.0,12.0,57.0,30.0,34.0,15.0,22.0,35.0,19.0,21.0,20.0,40.0
1936,0.0,1.0,2.0,3.0,5.0,10.0,20.0,13.0,12.0,9.0,27.0,8.0,49.0,4.0,52.0,66.0,53.0,18.0,24.0,28.0,32.0,56.0,11.0,45.0,42.0,35.0,7.0,21.0,58.0,34.0
1985,0.0,2.0,1.0,6.0,5.0,14.0,21.0,7.0,8.0,13.0,4.0,9.0,42.0,46.0,60.0,22.0,15.0,3.0,11.0,38.0,34.0,61.0,28.0,12.0,32.0,40.0,44.0,19.0,31.0,27.0
2034,0.0,1.0,2.0,14.0,3.0,28.0,10.0,22.0,29.0,36.0,8.0,6.0,12.0,7.0,19.0,9.0,11.0,32.0,61.0,24.0,15.0,63.0,18.0,35.0,16.0,23.0,38.0,25.0,4.0,59.0
2083,0.0,4.0,1.0,21.0,7.0,2.0,9.0,12.0,10.0,8.0,13.0,14.0,15.0,3.0,54.0,5.0,24.0,6.0,23.0,32.0,34.0,46.0,28.0,43.0,30.0,22.0,20.0,17.0,26.0,18.0
2132,0.0,1.0,2.0,10.0,18.0,11.0,37.0,5.0,32.0,39.0,15.0,22.0,4.0,9.0,24.0,20.0,21.0,6.0,25.0,31.0,16.0,36.0,23.0,19.0,42.0,7.0,17.0,33.0,3.0,14.0
2181,0.0,2.0,4.0,9.0,7.0,10.0,14.0,33.0,45.0,5.0,1.0,13.0,15.0,16.0,28.0,51.0,39.0,21.0,40.0,12.0,46.0,59.0,20.0,31.0,43.0,3.0,56.0,29.0,26.0,6.0
2230,0.0,1.0,2.0,22.0,6.0,4.0,11.0,25.0,9.0,7.0,27.0,5.0,35.0,8.0,44.0,21.0,18.0,3.0,17.0,37.0,32.0,39.0,19.0,26.0,28.0,12.0,15.0,41.0,13.0,14.0
2279,0.0,1.0,2.0,23.0,3.0,9.0,53.0,14.0,25.0,10.0,8.0,4.0,40.0,13.0,7.0,38.0,27.0,11.0,20.0,6.0,18.0,47.0,36.0,12.0,17.0,22.0,42.0,34.0,31.0,55.0
2328,0.0,2.0,1.0,30.0,7.0,5.0,4.0,6.0,48.0,22.0,14.0,8.0,32.0,3.0,25.0,9.0,21.0,12.0,44.0,16.0,37.0,33.0,24.0,13.0,28.0,18.0,19.0,46.0,10.0,23.0
2377,0.0,8.0,1.0,15.0,11.0,4.0,14.0,22.0,38.0,17.0,2.0,20.0,34.0,7.0,58.0,12.0,31.0,9.0,16.0,10.0,24.0,65.0,3.0,25.0,32.0,19.0,6.0,36.0,29.0,5.0
2426,0.0,1.0,2.0,18.0,11.0,30.0,28.0,6.0,48.0,17.0,8.0,5.0,16.0,7.0,50.0,21.0,26.0,13.0,34.0,3.0,14.0,53.0,20.0,24.0,9.0,10.0,25.0,37.0,44.0,27.0
2475,0.0,1.0,2.0,30.0,16.0,7.0,4.0,3.0,11.0,21.0,12.0,8.0,6.0,15.0,5.0,26.0,36.0,13.0,44.0,9.0,38.0,62.0,19.0,37.0,54.0,39.0,32.0,55.0,10.0,17.0
2524,0.0,1.0,2.0,5.0,18.0,3.0,8.0,32.0,4.0,11.0,10.0,14.0,7.0,42.0,12.0,6.0,24.0,37.0,25.0,15.0,9.0,34.0,23.0,13.0,16.0,27.0,52.0,47.0,38.0,30.0
2573,0.0,1.0,2.0,15.0,31.0,3.0,4.0,13.0,14.0,26.0,6.0,12.0,8.0,43.0,9.0,5.0,33.0,54.0,38.0,51.0,16.0,63.0,52.0,29.0,55.0,7.0,30.0,22.0,17.0,27.0
2622,0.0,1.0,2.0,9.0,20.0,5.0,4.0,62.0,10.0,22.0,6.0,27.0,3.0,60.0,15.0,8.0,19.0,21.0,32.0,13.0,12.0,24.0,26.0,29.0,43.0,40.0,63.0,54.0,11.0,7.0
2671,0.0,1.0,2.0,9.0,12.0,3.0,13.0,7.0,48.0,21.0,6.0,39.0,4.0,29.0,38.0,45.0,25.0,10.0,46.0,43.0,17.0,14.0,36.0,23.0,33.0,31.0,20.0,44.0,40.0,8.0
2720,0.0,2.0,1.0,6.0,5.0,3.0,18.0,7.0,27.0,14.0,36.0,8.0,9.0,25.0,15.0,19.0,17.0,10.0,38.0,12.0,26.0,56.0,43.0,4.0,50.0,44.0,49.0,62.0,16.0,23.0
2769,0.0,1.0,2.0,5.0,21.0,8.0,7.0,39.0,9.0,32.0,3.0,42.0,19.0,25.0,4.0,29.0,27.0,55.0,10.0,13.0,30.0,51.0,16.0,12.0,37.0,20.0,14.0,26.0,15.0,11.0
2818,0.0,1.0,2.0,19.0,20.0,3.0,7.0,27.0,5.0,9.0,25.0,38.0,4.0,42.0,23.0,14.0,13.0,61.0,54.0,12.0,22.0,63.0,8.0,17.0,29.0,18.0,44.0,50.0,6.0,21.0
2867,0.0,1.0,2.0,23.0,36.0,9.0,5.0,8.0,14.0,21.0,4.0,19.0,7.0,43.0,10.0,16.0,15.0,34.0,41.0,55.0,13.0,64.0,26.0,17.0,24.0,50.0,28.0,57.0,46.0,3.0
2916,0.0,1.0,2.0,17.0,21.0,7.0,8.0,15.0,25.0,23.0,9.0,16.0,4.0,11.0,10.0,5.0,13.0,6.0,34.0,22.0,50.0,37.0,55.0,42.0,20.0,32.0,43.0,24.0,3.0,36.0
2965,0.0,6.0,2.0,5.0,9.0,4.0,1.0,17.0,16.0,15.0,3.0,37.0,31.0,35.0,8.0,7.0,34.0,13.0,33.0,11.0,25.0,10.0,20.0,12.0,14.0,40.0,22.0,23.0,30.0,21.0
3014,0.0,1.0,5.0,16.0,7.0,3.0,2.0,10.0,18.0,27.0,12.0,13.0,15.0,4.0,6.0,8.0,48.0,9.0,36.0,17.0,34.0,20.0,19.0,11.0,46.0,26.0,32.0,38.0,40.0,51.0
3063,0.0,1.0,2.0,6.0,5.0,13.0,3.0,7.0,32.0,39.0,4.0,11.0,14.0,33.0,19.0,18.0,21.0,22.0,51.0,15.0,17.0,9.0,35.0,31.0,16.0,34.0,57.0,49.0,8.0,48.0
3112,0.0,1.0,3.0,7.0,28.0,15.0,2.0,13.0,18.0,12.0,17.0,11.0,16.0,5.0,35.0,4.0,20.0,6.0,50.0,10.0,29.0,19.0,40.0,47.0,8.0,9.0,27.0,21.0,42.0,59.0
3161,0.0,1.0,3.0,4.0,8.0,16.0,2.0,11.0,26.0,13.0,5.0,15.0,52.0,18.0,9.0,12.0,39.0,44.0,50.0,29.0,34.0,6.0,14.0,10.0,7.0,27.0,24.0,19.0,47.0,55.0
3210,0.0,2.0,8.0,3.0,14.0,20.0,1.0,30.0,6.0,21.0,16.0,23.0,10.0,17.0,11.0,25.0,39.0,4.0,12.0,27.0,15.0,7.0,13.0,5.0,29.0,19.0,28.0,22.0,46.0,58.0
3259,0.0,3.0,1.0,17.0,8.0,11.0,2.0,22.0,39.0,15.0,4.0,7.0,20.0,9.0,24.0,10.0,12.0,5.0,30.0,6.0,29.0,19.0,38.0,14.0,16.0,18.0,28.0,13.0,31.0,64.0
3308,0.0,1.0,2.0,12.0,16.0,28.0,4.0,5.0,9.0,35.0,3.0,30.0,56.0,21.0,6.0,8.0,15.0,31.0,60.0,11.0,19.0,29.0,10.0,7.0,14.0,20.0,54.0,13.0,34.0,45.0
3357,1.0,0.0,3.0,4.0,9.0,15.0,2.0,28.0,36.0,50.0,6.0,25.0,26.0,5.0,18.0,16.0,7.0,10.0,21.0,8.0,29.0,17.0,11.0,32.0,12.0,34.0,20.0,52.0,39.0,45.0
3406,0.0,1.0,2.0,11.0,16.0,6.0,3.0,14.0,57.0,47.0,5.0,45.0,21.0,15.0,50.0,10.0,25.0,12.0,44.0,18.0,13.0,4.0,22.0,26.0,28.0,20.0,23.0,38.0,34.0,31.0
3455,0.0,5.0,1.0,3.0,17.0,28.0,11.0,6.0,9.0,22.0,14.0,30.0,2.0,53.0,13.0,32.0,7.0,38.0,46.0,20.0,42.0,4.0,26.0,8.0,36.0,16.0,18.0,29.0,37.0,23.0
3504,0.0,9.0,1.0,32.0,19.0,24.0,11.0,35.0,2.0,21.0,4.0,53.0,10.0,14.0,7.0,6.0,20.0,37.0,51.0,5.0,26.0,43.0,44.0,22.0,27.0,12.0,29.0,16.0,58.0,34.0
3553,0.0,2.0,1.0,9.0,3.0,14.0,5.0,33.0,6.0,20.0,16.0,28.0,29.0,47.0,22.0,4.0,8.0,12.0,19.0,42.0,25.0,44.0,13.0,7.0,10.0,24.0,17.0,36.0,38.0,40.0
3602,0.0,2.0,1.0,9.0,4.0,41.0,8.0,13.0,3.0,29.0,16.0,14.0,15.0,7.0,33.0,30.0,44.0,49.0,18.0,22.0,23.0,6.0,11.0,37.0,51.0,60.0,32.0,34.0,54.0,19.0
3651,0.0,4.0,1.0,6.0,2.0,14.0,5.0,12.0,3.0,9.0,16.0,17.0,33.0,11.0,18.0,21.0,34.0,60.0,35.0,36.0,30.0,22.0,40.0,29.0,19.0,38.0,28.0,13.0,54.0,7.0
3700,0.0,1.0,2.0,4.0,16.0,13.0,18.0,9.0,3.0,47.0,20.0,6.0,11.0,42.0,27.0,46.0,19.0,51.0,25.0,7.0,8.0,31.0,24.0,33.0,5.0,41.0,26.0,12.0,10.0,14.0
3749,0.0,3.0,1.0,5.0,9.0,11.0,42.0,28.0,2.0,45.0,10.0,36.0,17.0,22.0,24.0,4.0,26.0,6.0,18.0,20.0,12.0,32.0,33.0,30.0,8.0,35.0,25.0,15.0,29.0,7.0
3798,0.0,2.0,1.0,9.0,4.0,41.0,14.0,3.0,16.0,29.0,5.0,42.0,17.0,19.0,10.0,6.0,44.0,18.0,26.0,22.0,24.0,52.0,46.0,25.0,13.0,30.0,11.0,33.0,20.0,7.0
3847,0.0,3.0,1.0,27.0,2.0,33.0,6.0,10.0,4.0,7.0,35.0,49.0,39.0,13.0,45.0,8.0,34.0,40.0,23.0,5.0,9.0,16.0,29.0,36.0,20.0,30.0,15.0,17.0,31.0,48.0
3896,0.0,2.0,1.0,7.0,13.0,8.0,3.0,31.0,6.0,17.0,28.0,30.0,16.0,11.0,15.0,10.0,29.0,18.0,12.0,4.0,52.0,60.0,26.0,14.0,19.0,24.0,9.0,33.0,38.0,5.0
3945,3.0,1.0,0.0,13.0,5.0,17.0,14.0,10.0,20.0,22.0,12.0,6.0,4.0,9.0,19.0,7.0,2.0,33.0,47.0,52.0,18.0,21.0,35.0,30.0,29.0,45.0,37.0,23.0,26.0,44.0
3994,0.0,1.0,2.0,6.0,14.0,38.0,3.0,17.0,7.0,9.0,42.0,4.0,10.0,22.0,12.0,8.0,5.0,30.0,31.0,41.0,15.0,37.0,24.0,16.0,49.0,25.0,34.0,54.0,20.0,44.0
4043,2.0,1.0,0.0,3.0,22.0,19.0,41.0,4.0,8.0,6.0,58.0,5.0,16.0,31.0,26.0,10.0,11.0,65.0,18.0,21.0,27.0,15.0,32.0,17.0,42.0,47.0,7.0,12.0,14.0,46.0
4092,0.0,6.0,1.0,7.0,12.0,19.0,10.0,17.0,30.0,4.0,8.0,5.0,15.0,23.0,32.0,37.0,3.0,39.0,16.0,2.0,33.0,11.0,50.0,22.0,35.0,27.0,14.0,29.0,43.0,64.0
4141,1.0,2.0,0.0,9.0,4.0,7.0,21.0,23.0,34.0,17.0,20.0,13.0,6.0,27.0,8.0,35.0,14.0,45.0,11.0,10.0,3.0,16.0,15.0,18.0,22.0,47.0,12.0,24.0,5.0,66.0
4190,1.0,0.0,2.0,4.0,7.0,19.0,12.0,15.0,16.0,10.0,11.0,5.0,3.0,18.0,9.0,6.0,22.0,56.0,33.0,24.0,13.0,47.0,45.0,53.0,27.0,29.0,8.0,61.0,23.0,60.0
4239,1.0,0.0,2.0,3.0,14.0,27.0,11.0,8.0,12.0,7.0,32.0,6.0,21.0,23.0,61.0,15.0,4.0,20.0,34.0,19.0,31.0,10.0,17.0,28.0,36.0,13.0,22.0,25.0,5.0,46.0
4288,1.0,0.0,17.0,3.0,2.0,11.0,4.0,33.0,6.0,15.0,24.0,5.0,10.0,8.0,19.0,7.0,13.0,54.0,53.0,36.0,41.0,21.0,29.0,18.0,14.0,28.0,32.0,64.0,25.0,55.0
4337,0.0,3.0,1.0,2.0,14.0,6.0,7.0,40.0,16.0,10.0,34.0,4.0,25.0,26.0,47.0,15.0,12.0,23.0,11.0,8.0,5.0,32.0,55.0,35.0,48.0,27.0,21.0,28.0,17.0,61.0
4386,0.0,2.0,1.0,16.0,7.0,14.0,3.0,27.0,4.0,11.0,13.0,21.0,6.0,9.0,10.0,5.0,22.0,31.0,55.0,24.0,50.0,12.0,63.0,48.0,43.0,46.0,17.0,15.0,33.0,19.0
4435,0.0,2.0,1.0,8.0,17.0,12.0,5.0,7.0,3.0,11.0,58.0,14.0,23.0,15.0,47.0,55.0,16.0,6.0,13.0,26.0,21.0,59.0,18.0,25.0,35.0,10.0,50.0,4.0,19.0,63.0
4484,1.0,0.0,2.0,3.0,4.0,17.0,40.0,7.0,23.0,12.0,39.0,34.0,14.0,5.0,6.0,27.0,8.0,13.0,10.0,16.0,18.0,63.0,31.0,57.0,38.0,29.0,15.0,9.0,30.0,60.0
4533,0.0,4.0,1.0,6.0,3.0,11.0,5.0,7.0,8.0,36.0,25.0,15.0,26.0,2.0,44.0,21.0,24.0,14.0,23.0,18.0,34.0,9.0,31.0,12.0,30.0,27.0,55.0,19.0,52.0,33.0
4582,1.0,0.0,2.0,5.0,11.0,3.0,6.0,14.0,4.0,10.0,43.0,32.0,30.0,19.0,7.0,42.0,23.0,49.0,26.0,24.0,13.0,21.0,59.0,12.0,28.0,8.0,29.0,16.0,20.0,54.0
4631,0.0,1.0,2.0,5.0,3.0,6.0,4.0,11.0,7.0,16.0,14.0,39.0,59.0,9.0,10.0,27.0,32.0,22.0,18.0,36.0,46.0,23.0,40.0,25.0,8.0,12.0,13.0,15.0,47.0,56.0
4680,0.0,1.0,2.0,12.0,5.0,6.0,14.0,8.0,11.0,21.0,64.0,15.0,28.0,13.0,10.0,50.0,18.0,34.0,16.0,57.0,20.0,40.0,46.0,36.0,19.0,7.0,37.0,25.0,23.0,63.0
4729,0.0,1.0,2.0,3.0,5.0,16.0,9.0,15.0,25.0,17.0,8.0,19.0,44.0,6.0,27.0,35.0,12.0,22.0,4.0,41.0,50.0,32.0,13.0,11.0,23.0,28.0,52.0,7.0,46.0,42.0
4778,0.0,1.0,2.0,3.0,7.0,14.0,13.0,11.0,5.0,27.0,62.0,35.0,42.0,9.0,18.0,58.0,10.0,33.0,17.0,39.0,4.0,63.0,8.0,6.0,52.0,25.0,37.0,21.0,32.0,15.0
4827,0.0,5.0,1.0,2.0,3.0,9.0,12.0,4.0,8.0,15.0,28.0,27.0,29.0,14.0,19.0,57.0,6.0,52.0,7.0,26.0,48.0,56.0,18.0,10.0,44.0,37.0,54.0,11.0,38.0,49.0
4876,1.0,0.0,2.0,6.0,3.0,5.0,13.0,10.0,4.0,14.0,58.0,12.0,48.0,9.0,11.0,32.0,7.0,50.0,20.0,37.0,19.0,40.0,18.0,23.0,51.0,8.0,38.0,29.0,28.0,60.0
