,YAP_pS127,alpha-Catenin,Caveolin-1,beta-Catenin,VEGFR2,PAI-1,VAV1,Bcl-2,Fibronectin,Chk1_pS345,CD49b,p62 Lck ligand,C-Raf(MP05-739),EGFR,Chk2,Porin,Paxillin,Cyclin_E2,C-Raf(BD610151),Annexin 1,TAZ,Rb_pS807_S811,Collagen_VI,MSH6,FoxM1,IRS1,RAD51,Cyclin_D1,c-Myc,Caspase-7_cleavedD198
886,3.0,5.0,12.0,6.0,0.0,7.0,32.0,1.0,26.0,27.0,2.0,4.0,16.0,10.0,25.0,14.0,55.0,9.0,30.0,35.0,22.0,34.0,8.0,19.0,15.0,49.0,37.0,20.0,17.0,65.0
935,1.0,3.0,2.0,13.0,5.0,0.0,11.0,4.0,6.0,40.0,16.0,19.0,10.0,7.0,9.0,60.0,27.0,49.0,38.0,17.0,86.0,20.0,42.0,12.0,22.0,34.0,44.0,32.0,100.0,18.0
984,2.0,3.0,0.0,14.0,1.0,30.0,38.0,21.0,23.0,5.0,7.0,9.0,4.0,11.0,12.0,19.0,6.0,8.0,34.0,25.0,46.0,51.0,10.0,31.0,47.0,50.0,20.0,58.0,15.0,22.0
1033,1.0,0.0,4.0,13.0,12.0,8.0,2.0,6.0,3.0,15.0,14.0,30.0,37.0,18.0,28.0,32.0,68.0,39.0,49.0,55.0,16.0,25.0,5.0,61.0,24.0,21.0,35.0,33.0,38.0,91.0
1082,3.0,1.0,22.0,2.0,6.0,7.0,0.0,13.0,4.0,8.0,16.0,27.0,31.0,53.0,94.0,56.0,87.0,40.0,65.0,46.0,29.0,57.0,24.0,15.0,14.0,21.0,5.0,106.0,10.0,52.0
1131,0.0,4.0,10.0,3.0,5.0,30.0,1.0,12.0,6.0,2.0,15.0,19.0,24.0,32.0,53.0,17.0,138.0,27.0,13.0,67.0,8.0,47.0,21.0,137.0,31.0,59.0,11.0,79.0,49.0,34.0
1180,0.0,1.0,5.0,7.0,2.0,3.0,8.0,10.0,4.0,11.0,15.0,23.0,43.0,9.0,28.0,22.0,36.0,53.0,14.0,35.0,6.0,27.0,21.0,115.0,24.0,41.0,26.0,136.0,65.0,67.0
1229,2.0,4.0,0.0,12.0,13.0,9.0,1.0,7.0,5.0,10.0,19.0,17.0,14.0,6.0,8.0,51.0,23.0,3.0,24.0,31.0,11.0,36.0,27.0,87.0,41.0,32.0,22.0,125.0,61.0,105.0
1278,1.0,0.0,6.0,11.0,3.0,9.0,2.0,10.0,8.0,4.0,42.0,7.0,12.0,16.0,18.0,81.0,47.0,23.0,27.0,19.0,20.0,36.0,65.0,35.0,13.0,85.0,5.0,41.0,144.0,63.0
1327,0.0,8.0,1.0,5.0,2.0,4.0,6.0,12.0,11.0,38.0,25.0,27.0,16.0,56.0,10.0,64.0,9.0,3.0,60.0,13.0,19.0,17.0,7.0,26.0,95.0,92.0,14.0,36.0,39.0,33.0
1376,0.0,5.0,10.0,34.0,4.0,11.0,35.0,2.0,9.0,12.0,14.0,1.0,37.0,22.0,26.0,52.0,83.0,8.0,28.0,59.0,15.0,27.0,17.0,20.0,7.0,16.0,3.0,97.0,33.0,94.0
1425,2.0,3.0,0.0,14.0,1.0,6.0,4.0,25.0,7.0,8.0,30.0,5.0,50.0,99.0,10.0,44.0,46.0,21.0,24.0,23.0,16.0,12.0,38.0,70.0,13.0,51.0,26.0,55.0,19.0,146.0
1474,2.0,0.0,1.0,5.0,3.0,4.0,16.0,6.0,7.0,9.0,26.0,11.0,10.0,19.0,23.0,42.0,13.0,24.0,28.0,138.0,112.0,29.0,41.0,51.0,79.0,15.0,149.0,40.0,30.0,53.0
1523,0.0,4.0,3.0,1.0,2.0,9.0,6.0,10.0,7.0,50.0,11.0,5.0,8.0,14.0,15.0,22.0,12.0,42.0,21.0,31.0,19.0,93.0,32.0,17.0,146.0,37.0,100.0,27.0,94.0,62.0
1572,0.0,3.0,6.0,1.0,2.0,5.0,4.0,13.0,8.0,15.0,7.0,19.0,9.0,138.0,28.0,23.0,14.0,52.0,16.0,50.0,61.0,82.0,60.0,79.0,10.0,11.0,46.0,31.0,66.0,27.0
1621,1.0,7.0,3.0,2.0,4.0,5.0,0.0,11.0,6.0,9.0,19.0,14.0,21.0,29.0,10.0,18.0,23.0,55.0,46.0,151.0,25.0,41.0,42.0,17.0,72.0,15.0,149.0,93.0,50.0,118.0
1670,0.0,7.0,1.0,5.0,3.0,2.0,8.0,13.0,14.0,4.0,12.0,6.0,9.0,15.0,11.0,35.0,21.0,20.0,23.0,37.0,140.0,16.0,66.0,25.0,118.0,52.0,69.0,30.0,46.0,50.0
1719,0.0,3.0,2.0,4.0,1.0,7.0,11.0,9.0,5.0,16.0,61.0,12.0,6.0,54.0,71.0,85.0,14.0,25.0,28.0,33.0,10.0,23.0,70.0,13.0,30.0,21.0,76.0,79.0,44.0,124.0
1768,4.0,0.0,5.0,3.0,1.0,6.0,8.0,9.0,7.0,28.0,12.0,14.0,26.0,49.0,56.0,13.0,2.0,19.0,30.0,108.0,29.0,31.0,70.0,41.0,35.0,10.0,93.0,27.0,23.0,107.0
1817,4.0,0.0,1.0,2.0,3.0,5.0,10.0,13.0,7.0,12.0,9.0,8.0,6.0,16.0,56.0,21.0,20.0,28.0,14.0,27.0,38.0,51.0,24.0,63.0,35.0,17.0,140.0,11.0,23.0,84.0
1866,4.0,5.0,1.0,0.0,9.0,6.0,7.0,3.0,2.0,15.0,8.0,11.0,27.0,34.0,70.0,33.0,14.0,64.0,10.0,20.0,106.0,101.0,63.0,107.0,19.0,13.0,79.0,24.0,45.0,139.0
1915,0.0,5.0,1.0,2.0,4.0,7.0,6.0,9.0,3.0,16.0,17.0,8.0,10.0,59.0,25.0,13.0,11.0,41.0,19.0,32.0,71.0,34.0,22.0,148.0,21.0,15.0,100.0,107.0,40.0,90.0
1964,7.0,5.0,1.0,8.0,3.0,2.0,11.0,4.0,6.0,0.0,17.0,21.0,13.0,19.0,10.0,20.0,25.0,22.0,15.0,9.0,16.0,14.0,43.0,12.0,70.0,32.0,33.0,42.0,71.0,29.0
2013,6.0,1.0,0.0,2.0,11.0,5.0,16.0,7.0,14.0,4.0,12.0,13.0,8.0,10.0,17.0,9.0,40.0,26.0,61.0,25.0,47.0,18.0,76.0,30.0,37.0,54.0,3.0,88.0,52.0,15.0
2062,9.0,7.0,0.0,4.0,6.0,2.0,14.0,15.0,5.0,1.0,3.0,41.0,16.0,8.0,17.0,38.0,21.0,73.0,10.0,13.0,58.0,11.0,126.0,118.0,37.0,45.0,19.0,12.0,94.0,104.0
2111,7.0,1.0,0.0,4.0,2.0,8.0,6.0,5.0,28.0,3.0,9.0,24.0,10.0,15.0,21.0,19.0,29.0,11.0,14.0,17.0,26.0,12.0,39.0,41.0,25.0,52.0,40.0,38.0,30.0,34.0
2160,9.0,5.0,6.0,3.0,4.0,0.0,20.0,2.0,13.0,1.0,16.0,15.0,24.0,8.0,85.0,12.0,127.0,39.0,7.0,93.0,115.0,26.0,58.0,36.0,18.0,32.0,10.0,31.0,44.0,22.0
2209,6.0,1.0,2.0,4.0,14.0,10.0,19.0,5.0,45.0,0.0,33.0,25.0,3.0,50.0,22.0,31.0,12.0,30.0,8.0,29.0,75.0,9.0,74.0,46.0,39.0,26.0,7.0,143.0,102.0,27.0
2258,6.0,3.0,0.0,4.0,7.0,2.0,27.0,5.0,14.0,1.0,35.0,16.0,9.0,12.0,21.0,10.0,11.0,71.0,8.0,41.0,32.0,17.0,24.0,124.0,89.0,37.0,40.0,23.0,108.0,54.0
2307,6.0,1.0,10.0,0.0,8.0,2.0,18.0,5.0,13.0,4.0,22.0,30.0,7.0,11.0,3.0,46.0,9.0,31.0,26.0,81.0,43.0,12.0,41.0,55.0,52.0,27.0,34.0,19.0,85.0,14.0
2356,8.0,3.0,0.0,9.0,7.0,1.0,15.0,2.0,4.0,5.0,21.0,6.0,18.0,10.0,17.0,67.0,23.0,37.0,24.0,50.0,58.0,11.0,13.0,16.0,56.0,19.0,86.0,30.0,82.0,39.0
2405,17.0,2.0,4.0,8.0,10.0,7.0,11.0,6.0,18.0,0.0,1.0,12.0,5.0,59.0,3.0,39.0,34.0,26.0,9.0,25.0,38.0,13.0,16.0,14.0,21.0,106.0,33.0,24.0,22.0,54.0
2454,1.0,6.0,12.0,7.0,0.0,5.0,26.0,2.0,35.0,15.0,4.0,8.0,16.0,23.0,20.0,17.0,10.0,3.0,32.0,90.0,9.0,52.0,18.0,19.0,56.0,28.0,11.0,47.0,46.0,34.0
2503,2.0,5.0,9.0,8.0,6.0,40.0,29.0,3.0,1.0,37.0,0.0,13.0,16.0,49.0,26.0,12.0,7.0,24.0,15.0,61.0,53.0,11.0,14.0,4.0,52.0,92.0,74.0,25.0,19.0,156.0
2552,6.0,9.0,0.0,2.0,11.0,3.0,25.0,5.0,21.0,10.0,7.0,16.0,68.0,13.0,4.0,30.0,1.0,75.0,19.0,18.0,8.0,12.0,47.0,32.0,33.0,26.0,24.0,86.0,94.0,52.0
2601,0.0,6.0,1.0,10.0,5.0,11.0,7.0,3.0,8.0,2.0,9.0,12.0,20.0,14.0,37.0,59.0,15.0,24.0,17.0,42.0,16.0,86.0,4.0,58.0,22.0,100.0,30.0,27.0,71.0,38.0
2650,2.0,14.0,3.0,4.0,1.0,5.0,40.0,10.0,24.0,49.0,0.0,12.0,20.0,47.0,18.0,11.0,6.0,100.0,44.0,60.0,30.0,53.0,46.0,59.0,87.0,19.0,45.0,9.0,31.0,75.0
2699,5.0,4.0,9.0,0.0,16.0,2.0,1.0,27.0,23.0,22.0,3.0,7.0,48.0,11.0,14.0,24.0,20.0,40.0,31.0,52.0,97.0,6.0,12.0,73.0,154.0,68.0,85.0,47.0,58.0,55.0
2748,4.0,3.0,0.0,9.0,12.0,8.0,21.0,5.0,6.0,10.0,2.0,18.0,67.0,19.0,11.0,38.0,1.0,39.0,63.0,43.0,14.0,122.0,20.0,51.0,94.0,23.0,32.0,45.0,34.0,17.0
2797,5.0,4.0,0.0,2.0,10.0,7.0,46.0,11.0,9.0,12.0,1.0,29.0,25.0,24.0,27.0,51.0,3.0,19.0,15.0,21.0,8.0,67.0,6.0,40.0,62.0,16.0,38.0,59.0,17.0,125.0
2846,0.0,17.0,6.0,8.0,4.0,9.0,3.0,11.0,5.0,14.0,7.0,21.0,2.0,56.0,23.0,22.0,1.0,38.0,20.0,81.0,16.0,13.0,28.0,27.0,10.0,24.0,15.0,57.0,12.0,65.0
2895,0.0,7.0,6.0,3.0,103.0,22.0,2.0,24.0,4.0,9.0,1.0,18.0,45.0,12.0,21.0,15.0,13.0,48.0,28.0,14.0,35.0,101.0,31.0,5.0,8.0,16.0,50.0,34.0,11.0,29.0
2944,1.0,3.0,14.0,2.0,5.0,6.0,0.0,4.0,17.0,19.0,13.0,23.0,34.0,21.0,33.0,7.0,54.0,30.0,11.0,85.0,29.0,127.0,28.0,74.0,22.0,8.0,140.0,36.0,32.0,15.0
2993,2.0,0.0,1.0,5.0,3.0,10.0,13.0,7.0,8.0,12.0,6.0,11.0,33.0,9.0,27.0,4.0,45.0,23.0,48.0,18.0,49.0,93.0,26.0,47.0,17.0,43.0,37.0,39.0,36.0,15.0
3042,1.0,2.0,0.0,3.0,9.0,8.0,5.0,4.0,7.0,12.0,6.0,13.0,16.0,10.0,54.0,14.0,21.0,15.0,17.0,11.0,27.0,20.0,22.0,59.0,24.0,52.0,61.0,36.0,39.0,19.0
3091,4.0,0.0,2.0,1.0,11.0,6.0,3.0,8.0,9.0,26.0,13.0,10.0,18.0,22.0,42.0,7.0,62.0,33.0,47.0,5.0,43.0,12.0,35.0,45.0,28.0,23.0,128.0,32.0,29.0,16.0
3140,0.0,1.0,7.0,5.0,41.0,6.0,2.0,4.0,9.0,15.0,3.0,10.0,18.0,16.0,26.0,14.0,24.0,12.0,21.0,8.0,22.0,155.0,23.0,27.0,11.0,32.0,46.0,28.0,25.0,54.0
3189,1.0,0.0,2.0,3.0,4.0,20.0,6.0,14.0,17.0,5.0,12.0,8.0,7.0,13.0,30.0,10.0,41.0,22.0,9.0,76.0,11.0,72.0,42.0,21.0,16.0,24.0,31.0,94.0,47.0,37.0
3238,0.0,1.0,4.0,8.0,58.0,10.0,3.0,6.0,13.0,7.0,52.0,11.0,16.0,24.0,41.0,2.0,12.0,27.0,18.0,37.0,15.0,74.0,9.0,23.0,118.0,141.0,19.0,21.0,25.0,5.0
3287,2.0,1.0,3.0,4.0,6.0,16.0,0.0,7.0,8.0,5.0,15.0,11.0,34.0,18.0,35.0,14.0,86.0,13.0,45.0,89.0,36.0,30.0,12.0,39.0,32.0,126.0,48.0,31.0,123.0,37.0
3336,14.0,2.0,0.0,9.0,7.0,15.0,8.0,5.0,19.0,11.0,3.0,28.0,29.0,17.0,69.0,1.0,26.0,16.0,27.0,12.0,24.0,23.0,6.0,66.0,47.0,38.0,93.0,35.0,156.0,40.0
3385,0.0,3.0,1.0,4.0,6.0,5.0,9.0,17.0,8.0,2.0,12.0,13.0,29.0,18.0,22.0,11.0,25.0,14.0,41.0,27.0,10.0,62.0,24.0,20.0,34.0,44.0,85.0,28.0,60.0,7.0
3434,1.0,4.0,3.0,5.0,0.0,11.0,2.0,8.0,7.0,6.0,29.0,14.0,13.0,12.0,62.0,20.0,43.0,36.0,58.0,23.0,45.0,10.0,47.0,9.0,28.0,18.0,46.0,15.0,32.0,16.0
3483,3.0,4.0,1.0,8.0,0.0,12.0,7.0,5.0,15.0,6.0,22.0,42.0,14.0,47.0,59.0,72.0,44.0,2.0,32.0,30.0,61.0,13.0,45.0,29.0,17.0,27.0,54.0,51.0,10.0,9.0
3532,2.0,0.0,1.0,7.0,3.0,6.0,5.0,9.0,4.0,8.0,15.0,44.0,29.0,24.0,22.0,11.0,23.0,38.0,30.0,12.0,48.0,16.0,17.0,21.0,40.0,13.0,62.0,51.0,37.0,10.0
3581,3.0,0.0,7.0,4.0,5.0,11.0,2.0,10.0,20.0,6.0,26.0,70.0,14.0,27.0,50.0,23.0,12.0,48.0,19.0,24.0,49.0,9.0,37.0,75.0,1.0,21.0,16.0,88.0,98.0,13.0
3630,12.0,4.0,2.0,6.0,0.0,1.0,7.0,11.0,25.0,5.0,82.0,9.0,10.0,29.0,38.0,3.0,8.0,16.0,17.0,18.0,22.0,78.0,34.0,50.0,28.0,96.0,27.0,30.0,13.0,37.0
3679,0.0,10.0,5.0,4.0,2.0,1.0,6.0,7.0,3.0,20.0,98.0,16.0,33.0,12.0,14.0,8.0,22.0,9.0,15.0,49.0,37.0,30.0,18.0,11.0,68.0,34.0,25.0,26.0,73.0,17.0
3728,0.0,1.0,5.0,6.0,8.0,16.0,2.0,4.0,3.0,19.0,41.0,18.0,25.0,47.0,35.0,86.0,110.0,51.0,7.0,13.0,11.0,23.0,37.0,27.0,34.0,22.0,52.0,38.0,17.0,10.0
3777,2.0,0.0,4.0,6.0,1.0,3.0,10.0,19.0,12.0,5.0,45.0,8.0,7.0,37.0,13.0,20.0,84.0,24.0,27.0,16.0,21.0,14.0,30.0,18.0,77.0,57.0,15.0,54.0,36.0,38.0
3826,0.0,2.0,4.0,1.0,6.0,9.0,7.0,3.0,12.0,5.0,20.0,31.0,26.0,19.0,15.0,23.0,88.0,14.0,8.0,16.0,36.0,13.0,22.0,21.0,10.0,148.0,45.0,61.0,32.0,18.0
3875,0.0,2.0,11.0,10.0,1.0,12.0,9.0,4.0,3.0,8.0,122.0,28.0,18.0,6.0,22.0,5.0,97.0,19.0,29.0,14.0,142.0,85.0,13.0,7.0,42.0,80.0,21.0,50.0,44.0,35.0
3924,0.0,1.0,13.0,12.0,2.0,10.0,20.0,5.0,11.0,16.0,9.0,15.0,18.0,14.0,4.0,97.0,21.0,17.0,24.0,8.0,23.0,82.0,45.0,6.0,114.0,33.0,68.0,76.0,27.0,26.0
3973,0.0,1.0,16.0,3.0,7.0,2.0,11.0,4.0,5.0,24.0,6.0,23.0,47.0,15.0,64.0,153.0,68.0,10.0,130.0,14.0,22.0,52.0,20.0,13.0,66.0,8.0,100.0,89.0,29.0,18.0
4022,3.0,2.0,4.0,21.0,18.0,0.0,12.0,1.0,6.0,10.0,5.0,23.0,13.0,54.0,15.0,17.0,11.0,28.0,106.0,16.0,48.0,68.0,30.0,40.0,78.0,7.0,47.0,27.0,57.0,42.0
4071,0.0,4.0,3.0,1.0,9.0,11.0,37.0,12.0,2.0,5.0,6.0,42.0,22.0,7.0,8.0,33.0,93.0,88.0,31.0,18.0,25.0,23.0,13.0,62.0,48.0,15.0,14.0,52.0,17.0,29.0
4120,1.0,0.0,9.0,2.0,19.0,8.0,20.0,5.0,4.0,6.0,3.0,46.0,11.0,15.0,14.0,48.0,97.0,16.0,17.0,7.0,41.0,56.0,51.0,23.0,13.0,63.0,28.0,52.0,54.0,26.0
4169,0.0,3.0,21.0,13.0,8.0,5.0,19.0,1.0,4.0,12.0,6.0,54.0,27.0,49.0,9.0,33.0,24.0,64.0,43.0,7.0,41.0,42.0,18.0,32.0,144.0,11.0,47.0,28.0,10.0,16.0
4218,3.0,4.0,8.0,2.0,12.0,6.0,1.0,0.0,5.0,9.0,7.0,14.0,31.0,70.0,32.0,13.0,76.0,35.0,26.0,97.0,46.0,75.0,11.0,54.0,27.0,42.0,36.0,23.0,21.0,15.0
4267,1.0,6.0,4.0,2.0,18.0,0.0,8.0,3.0,7.0,14.0,5.0,19.0,16.0,29.0,9.0,73.0,22.0,15.0,41.0,13.0,21.0,23.0,111.0,11.0,55.0,151.0,75.0,31.0,34.0,17.0
4316,1.0,12.0,20.0,11.0,7.0,3.0,4.0,16.0,0.0,23.0,8.0,18.0,9.0,22.0,39.0,24.0,93.0,99.0,30.0,2.0,25.0,43.0,32.0,6.0,19.0,65.0,10.0,17.0,51.0,28.0
4365,1.0,11.0,13.0,9.0,23.0,7.0,10.0,4.0,2.0,48.0,0.0,18.0,27.0,8.0,3.0,38.0,31.0,30.0,54.0,22.0,98.0,135.0,17.0,6.0,77.0,5.0,100.0,20.0,21.0,19.0
4414,4.0,1.0,3.0,0.0,22.0,7.0,2.0,9.0,74.0,5.0,8.0,11.0,6.0,70.0,19.0,127.0,43.0,14.0,12.0,10.0,16.0,13.0,99.0,28.0,48.0,18.0,58.0,136.0,29.0,82.0
4463,2.0,0.0,1.0,3.0,7.0,4.0,11.0,9.0,5.0,6.0,15.0,8.0,10.0,22.0,26.0,39.0,61.0,47.0,57.0,13.0,20.0,21.0,77.0,32.0,62.0,36.0,18.0,72.0,91.0,87.0
4512,1.0,0.0,6.0,3.0,11.0,2.0,5.0,8.0,4.0,13.0,71.0,9.0,7.0,73.0,65.0,125.0,98.0,25.0,53.0,15.0,20.0,78.0,12.0,21.0,19.0,76.0,26.0,46.0,16.0,41.0
4561,0.0,4.0,6.0,5.0,11.0,2.0,3.0,12.0,8.0,1.0,19.0,13.0,7.0,51.0,66.0,80.0,57.0,18.0,28.0,15.0,30.0,35.0,89.0,22.0,20.0,61.0,14.0,33.0,42.0,16.0
4610,2.0,0.0,4.0,3.0,20.0,5.0,1.0,10.0,8.0,25.0,12.0,6.0,13.0,31.0,27.0,107.0,82.0,65.0,9.0,11.0,7.0,45.0,44.0,23.0,35.0,15.0,33.0,68.0,26.0,42.0
4659,1.0,0.0,3.0,12.0,10.0,4.0,2.0,9.0,11.0,13.0,21.0,7.0,6.0,17.0,5.0,121.0,94.0,19.0,20.0,15.0,8.0,49.0,90.0,31.0,92.0,16.0,14.0,47.0,65.0,39.0
4708,1.0,0.0,10.0,2.0,14.0,3.0,5.0,8.0,25.0,11.0,4.0,7.0,6.0,35.0,12.0,136.0,31.0,47.0,21.0,26.0,22.0,93.0,142.0,33.0,13.0,17.0,15.0,45.0,20.0,46.0
4757,0.0,1.0,13.0,2.0,5.0,3.0,21.0,4.0,9.0,11.0,7.0,6.0,12.0,48.0,8.0,63.0,14.0,10.0,28.0,34.0,18.0,52.0,70.0,35.0,15.0,31.0,37.0,76.0,24.0,23.0
4806,1.0,2.0,5.0,0.0,7.0,4.0,3.0,13.0,11.0,8.0,17.0,9.0,6.0,19.0,29.0,91.0,16.0,27.0,14.0,12.0,10.0,24.0,103.0,66.0,100.0,50.0,18.0,161.0,28.0,90.0
4855,1.0,0.0,2.0,4.0,6.0,3.0,5.0,14.0,21.0,9.0,7.0,17.0,11.0,8.0,13.0,41.0,43.0,19.0,20.0,10.0,53.0,63.0,111.0,45.0,116.0,36.0,27.0,107.0,79.0,15.0
