,LEPREL2,RCOR2,SLFN11,LYPD6B,SEMA3F,RPUSD2,FAM98B,MAGEA6,ZNF215,SPANXD,RCN3,CORO2A,PDLIM4,EVC2,RP11-305M3.2,LIPE,ANPEP,CCZ1B,AP000783.1,ZYG11A,SSRP1,SLC38A5,P2RX5,RTF1,KRT13,TUSC3,CALHM2,LGALS9,FBLN1,ARHGAP4
500,1.0,18.0,11.0,5.0,61.0,8.0,15.0,26.0,130.0,2.0,0.0,123.0,87.0,13.0,21.0,16.0,4.0,56.0,54.0,48.0,66.0,19.0,14.0,65.0,9.0,92.0,50.0,24.0,43.0,241.0
549,2.0,18.0,11.0,0.0,43.0,3.0,9.0,116.0,10.0,16.0,76.0,21.0,120.0,42.0,45.0,32.0,4.0,39.0,17.0,85.0,40.0,28.0,14.0,58.0,7.0,190.0,8.0,6.0,5.0,51.0
598,2.0,23.0,41.0,46.0,19.0,9.0,8.0,5.0,30.0,1.0,12.0,39.0,115.0,31.0,51.0,62.0,4.0,15.0,34.0,63.0,36.0,0.0,33.0,18.0,6.0,53.0,38.0,13.0,22.0,113.0
647,0.0,4.0,10.0,3.0,13.0,18.0,9.0,98.0,22.0,274.0,8.0,73.0,20030.0,15.0,20.0,16.0,66.0,11.0,31.0,92.0,17.0,1.0,58.0,35.0,21.0,78.0,6.0,30.0,5.0,36.0
696,0.0,5.0,106.0,4.0,3.0,30.0,28.0,23.0,50.0,19.0,2.0,45.0,126.0,16.0,53.0,57.0,1.0,83.0,26.0,55.0,69.0,18.0,38.0,9.0,13.0,58.0,24.0,14.0,6.0,109.0
745,0.0,18.0,4.0,2.0,33.0,17.0,14.0,158.0,62.0,15.0,22.0,44.0,410.0,7.0,74.0,10.0,38.0,80.0,13.0,55.0,65.0,6.0,29.0,19.0,8.0,61.0,58.0,23.0,5.0,254.0
794,2.0,12.0,122.0,0.0,41.0,15.0,16.0,11.0,80.0,5.0,23.0,87.0,276.0,18.0,24.0,31.0,1.0,14.0,37.0,82.0,68.0,7.0,6.0,54.0,21.0,44.0,10.0,36.0,13.0,9.0
843,2.0,16.0,55.0,0.0,21.0,7.0,5.0,17.0,35.0,3.0,79.0,39.0,1197.0,9.0,23.0,25.0,32.0,13.0,12.0,30.0,33.0,34.0,15.0,11.0,14.0,36.0,27.0,22.0,4.0,202.0
892,0.0,10.0,2.0,1.0,59.0,29.0,25.0,4.0,28.0,9.0,76.0,12.0,21.0,57.0,37.0,5.0,3.0,73.0,16.0,72.0,49.0,6.0,48.0,26.0,56.0,36.0,8.0,18.0,17.0,34.0
941,0.0,9.0,63.0,1.0,30.0,18.0,4.0,2.0,5.0,52.0,19.0,436.0,120.0,44.0,16.0,129.0,3.0,10.0,23.0,387.0,43.0,24.0,11.0,7.0,61.0,136.0,14.0,13.0,42.0,49.0
990,1.0,3.0,5.0,2.0,11.0,14.0,16.0,54.0,10.0,55.0,31.0,9.0,271.0,43.0,4.0,19.0,92.0,191.0,139.0,86.0,20.0,0.0,30.0,13.0,101.0,17.0,157.0,15.0,420.0,80.0
1039,0.0,2.0,35.0,6.0,79.0,20.0,28.0,10.0,55.0,17.0,7.0,5.0,3.0,39.0,15.0,14.0,37.0,89.0,46.0,4.0,53.0,21.0,36.0,31.0,22.0,42.0,237.0,18.0,90.0,25.0
1088,1.0,0.0,712.0,5.0,42.0,17.0,8.0,82.0,180.0,28.0,104.0,4.0,26.0,29.0,20.0,6.0,18.0,52.0,130.0,7.0,31.0,3.0,35.0,11.0,24.0,2.0,75.0,30.0,80.0,9.0
1137,3.0,0.0,91.0,6.0,110.0,21.0,47.0,20.0,76.0,11.0,1.0,5.0,125.0,41.0,10.0,42.0,50.0,64.0,38.0,9.0,29.0,2.0,18.0,13.0,36.0,45.0,99.0,17.0,78.0,30.0
1186,0.0,1.0,62.0,5.0,69.0,12.0,14.0,60.0,49.0,36.0,10.0,3.0,9.0,46.0,11.0,19.0,6.0,42.0,67.0,8.0,28.0,2.0,16.0,20.0,17.0,34.0,39.0,4.0,92.0,15.0
1235,0.0,2.0,10.0,11.0,12.0,4.0,7.0,18.0,16.0,8.0,1.0,3.0,22.0,171.0,39.0,35.0,13.0,93.0,19.0,38.0,57.0,24.0,72.0,6.0,53.0,56.0,77.0,28.0,85.0,32.0
1284,0.0,1.0,50.0,6.0,46.0,11.0,26.0,4.0,77.0,31.0,64.0,2.0,12.0,62.0,18.0,15.0,27.0,24.0,63.0,71.0,30.0,22.0,10.0,32.0,14.0,3.0,353.0,8.0,208.0,33.0
1333,0.0,2.0,20.0,1.0,42.0,25.0,38.0,14.0,5.0,7.0,32.0,3.0,30.0,18.0,15.0,8.0,36.0,73.0,29.0,34.0,49.0,12.0,54.0,24.0,39.0,35.0,429.0,4.0,53.0,27.0
1382,1.0,0.0,52.0,47.0,9.0,19.0,54.0,58.0,50.0,33.0,31.0,3.0,18.0,15.0,29.0,7.0,14.0,142.0,71.0,8.0,12.0,28.0,51.0,56.0,11.0,27.0,75.0,25.0,41.0,139.0
1431,0.0,1.0,73.0,2.0,19.0,17.0,18.0,4.0,232.0,14.0,24.0,5.0,16.0,37.0,7.0,52.0,9.0,64.0,63.0,8.0,20.0,13.0,27.0,23.0,12.0,36.0,56.0,21.0,25.0,22.0
1480,2.0,4.0,0.0,6.0,5.0,10.0,25.0,1.0,31.0,8.0,37.0,21.0,15.0,23.0,16.0,22.0,11.0,13.0,40.0,44.0,46.0,109.0,3.0,32.0,35.0,27.0,28.0,42.0,47.0,67.0
1529,2.0,3.0,0.0,9.0,8.0,20.0,18.0,6.0,12.0,65.0,59.0,35.0,1.0,16.0,11.0,70.0,5.0,7.0,23.0,400.0,21.0,115.0,37.0,43.0,25.0,15.0,4.0,24.0,46.0,19.0
1578,0.0,1.0,15.0,12.0,58.0,29.0,11.0,16.0,23.0,4.0,3.0,30.0,21.0,17.0,57.0,37.0,35.0,9.0,10.0,54.0,41.0,148.0,20.0,26.0,25.0,7.0,2.0,96.0,67.0,6.0
1627,0.0,4.0,6.0,8.0,16.0,33.0,23.0,65.0,7.0,20.0,53.0,2.0,3.0,21.0,17.0,19.0,5.0,1.0,89.0,70.0,11.0,72.0,12.0,85.0,35.0,27.0,46.0,26.0,41.0,50.0
1676,4.0,1.0,0.0,6.0,3.0,12.0,15.0,28.0,5.0,21.0,36.0,2.0,20.0,30.0,10.0,14.0,18.0,44.0,23.0,32.0,13.0,63.0,8.0,26.0,22.0,54.0,65.0,42.0,37.0,120.0
1725,7.0,3.0,0.0,20.0,31.0,15.0,22.0,2.0,9.0,5.0,39.0,8.0,1.0,24.0,61.0,32.0,74.0,4.0,23.0,127.0,11.0,89.0,14.0,52.0,10.0,85.0,12.0,6.0,151.0,40.0
1774,0.0,2.0,4.0,3.0,16.0,23.0,41.0,1.0,33.0,11.0,31.0,10.0,8.0,27.0,20.0,22.0,9.0,45.0,18.0,82.0,52.0,316.0,72.0,143.0,28.0,17.0,76.0,37.0,6.0,58.0
1823,0.0,1.0,27.0,7.0,22.0,16.0,18.0,46.0,44.0,58.0,17.0,9.0,19.0,5.0,43.0,20.0,2.0,8.0,93.0,39.0,36.0,63.0,4.0,40.0,10.0,32.0,14.0,34.0,33.0,6.0
1872,10.0,2.0,4.0,54.0,68.0,22.0,18.0,8.0,6.0,13.0,336.0,168.0,0.0,5.0,107.0,25.0,9.0,3.0,59.0,28.0,15.0,115.0,60.0,24.0,12.0,53.0,36.0,43.0,111.0,1.0
1921,0.0,2.0,55.0,11.0,28.0,21.0,29.0,6.0,18.0,23.0,34.0,14.0,19.0,49.0,68.0,15.0,1.0,5.0,133.0,17.0,9.0,7.0,4.0,16.0,22.0,43.0,10.0,50.0,211.0,36.0
1970,0.0,18.0,6.0,7.0,25.0,34.0,26.0,1.0,186.0,9.0,2.0,13.0,32.0,42.0,27.0,23.0,68.0,45.0,14.0,110.0,106.0,44.0,50.0,53.0,41.0,4.0,258.0,5.0,17.0,153.0
2019,0.0,3.0,4.0,9.0,18.0,1.0,5.0,2.0,22.0,8.0,6.0,7.0,23.0,33.0,13.0,16.0,89.0,82.0,12.0,95.0,29.0,35.0,31.0,54.0,52.0,11.0,147.0,38.0,131.0,238.0
2068,2.0,17.0,0.0,7.0,10.0,13.0,16.0,1.0,14.0,12.0,3.0,15.0,5.0,24.0,75.0,8.0,53.0,142.0,6.0,86.0,28.0,21.0,27.0,22.0,38.0,20.0,351.0,19.0,40.0,227.0
2117,9.0,2.0,0.0,47.0,6.0,15.0,11.0,30.0,23.0,25.0,38.0,34.0,1.0,4.0,3.0,35.0,93.0,67.0,12.0,28.0,20.0,70.0,14.0,94.0,21.0,8.0,75.0,42.0,45.0,65.0
2166,1.0,13.0,0.0,11.0,3.0,24.0,16.0,8.0,50.0,18.0,5.0,84.0,23.0,30.0,19.0,53.0,45.0,36.0,15.0,2.0,29.0,141.0,12.0,101.0,229.0,7.0,754.0,52.0,57.0,103.0
2215,0.0,5.0,12.0,11.0,2.0,17.0,18.0,1.0,96.0,6.0,3.0,24.0,7.0,10.0,22.0,13.0,76.0,52.0,14.0,36.0,61.0,9.0,32.0,15.0,74.0,4.0,962.0,28.0,54.0,305.0
2264,0.0,12.0,14.0,18.0,20.0,1.0,7.0,26.0,75.0,4.0,11.0,43.0,35.0,10.0,49.0,9.0,41.0,37.0,29.0,5.0,22.0,13.0,23.0,16.0,36.0,24.0,517.0,25.0,126.0,51.0
2313,2.0,8.0,17.0,83.0,64.0,9.0,16.0,0.0,57.0,5.0,27.0,18.0,1.0,78.0,60.0,29.0,10.0,20.0,33.0,6.0,24.0,4.0,32.0,46.0,30.0,3.0,113.0,35.0,112.0,105.0
2362,1.0,3.0,2.0,41.0,58.0,14.0,21.0,0.0,104.0,7.0,9.0,31.0,11.0,43.0,36.0,24.0,206.0,26.0,19.0,23.0,15.0,8.0,25.0,56.0,68.0,5.0,1037.0,29.0,211.0,220.0
2411,1.0,9.0,2.0,29.0,25.0,10.0,13.0,0.0,166.0,3.0,8.0,39.0,21.0,18.0,47.0,33.0,61.0,42.0,5.0,17.0,24.0,122.0,6.0,23.0,50.0,4.0,84.0,31.0,135.0,780.0
2460,0.0,10.0,12.0,1.0,6.0,7.0,28.0,16.0,4.0,24.0,23.0,3.0,2.0,21.0,50.0,20.0,41.0,693.0,100.0,42.0,22.0,43.0,11.0,5.0,51.0,8.0,35.0,57.0,40.0,124.0
2509,1.0,8.0,2.0,11.0,25.0,9.0,26.0,157.0,5.0,30.0,0.0,37.0,7.0,16.0,19.0,48.0,4.0,137.0,13.0,6.0,24.0,29.0,3.0,10.0,47.0,43.0,12.0,91.0,20.0,174.0
2558,3.0,4.0,0.0,23.0,56.0,2.0,18.0,1.0,14.0,42.0,10.0,21.0,13.0,11.0,34.0,91.0,5.0,319.0,15.0,8.0,47.0,6.0,7.0,19.0,37.0,16.0,9.0,43.0,89.0,28.0
2607,2.0,28.0,0.0,16.0,5.0,7.0,27.0,1.0,53.0,91.0,11.0,8.0,64.0,9.0,34.0,141.0,94.0,477.0,3.0,14.0,35.0,4.0,17.0,18.0,30.0,106.0,20.0,62.0,25.0,60.0
2656,1.0,4.0,0.0,10.0,8.0,16.0,15.0,5.0,3.0,57.0,11.0,36.0,20.0,9.0,31.0,83.0,7.0,138.0,35.0,29.0,33.0,25.0,22.0,24.0,45.0,23.0,13.0,82.0,12.0,34.0
2705,4.0,9.0,3.0,7.0,10.0,25.0,44.0,49.0,149.0,72.0,27.0,50.0,1.0,5.0,16.0,97.0,8.0,144.0,13.0,0.0,21.0,22.0,2.0,135.0,18.0,19.0,6.0,73.0,24.0,15.0
2754,0.0,5.0,2.0,11.0,16.0,3.0,10.0,7.0,87.0,23.0,9.0,150.0,39.0,14.0,36.0,26.0,1.0,350.0,29.0,6.0,27.0,4.0,17.0,18.0,12.0,20.0,38.0,92.0,31.0,37.0
2803,0.0,5.0,3.0,9.0,4.0,17.0,15.0,7.0,14.0,277.0,48.0,90.0,8.0,6.0,20.0,217.0,10.0,43.0,42.0,36.0,25.0,24.0,12.0,57.0,19.0,2.0,1.0,61.0,72.0,21.0
2852,3.0,5.0,2.0,9.0,15.0,14.0,13.0,62.0,18.0,128.0,4.0,52.0,11.0,16.0,22.0,81.0,0.0,48.0,21.0,17.0,35.0,43.0,7.0,32.0,8.0,10.0,1.0,24.0,27.0,33.0
2901,5.0,3.0,0.0,17.0,2.0,4.0,11.0,24.0,10.0,12.0,16.0,76.0,29.0,6.0,23.0,349.0,26.0,97.0,8.0,1.0,14.0,134.0,9.0,32.0,43.0,30.0,99.0,89.0,31.0,20.0
2950,0.0,7.0,80.0,2.0,3.0,12.0,20.0,435.0,6.0,8.0,9.0,1.0,136.0,89.0,10.0,29.0,45.0,24.0,28.0,4.0,31.0,62.0,42.0,32.0,125.0,265.0,163.0,68.0,23.0,51.0
2999,0.0,6.0,2.0,7.0,1.0,17.0,5.0,1792.0,8.0,52.0,3.0,9.0,104.0,123.0,20.0,31.0,4.0,26.0,61.0,22.0,23.0,29.0,161.0,16.0,93.0,47.0,13.0,21.0,15.0,30.0
3048,1.0,18.0,0.0,8.0,2.0,7.0,4.0,33.0,20.0,10.0,3.0,6.0,96.0,152.0,14.0,36.0,68.0,49.0,46.0,9.0,35.0,40.0,211.0,11.0,86.0,57.0,55.0,41.0,29.0,16.0
3097,0.0,2.0,55.0,4.0,6.0,5.0,1.0,846.0,41.0,42.0,27.0,54.0,115.0,13.0,3.0,25.0,29.0,11.0,512.0,9.0,40.0,8.0,93.0,7.0,71.0,65.0,63.0,31.0,28.0,16.0
3146,3.0,5.0,10.0,12.0,6.0,4.0,2.0,42.0,17.0,7.0,9.0,203.0,831.0,21.0,51.0,30.0,60.0,20.0,227.0,0.0,15.0,1.0,38.0,14.0,48.0,50.0,221.0,74.0,22.0,56.0
3195,1.0,4.0,5.0,18.0,3.0,14.0,10.0,421.0,0.0,37.0,13.0,57.0,221.0,8.0,2.0,105.0,175.0,68.0,156.0,11.0,30.0,15.0,302.0,60.0,109.0,80.0,40.0,123.0,64.0,31.0
3244,0.0,10.0,1.0,50.0,3.0,20.0,11.0,102.0,17.0,13.0,7.0,4.0,168.0,74.0,9.0,198.0,36.0,6.0,69.0,2.0,24.0,5.0,197.0,15.0,84.0,68.0,70.0,29.0,43.0,42.0
3293,0.0,7.0,21.0,26.0,1.0,8.0,18.0,485.0,14.0,5.0,2.0,10.0,89.0,44.0,4.0,13.0,64.0,6.0,428.0,3.0,79.0,36.0,45.0,23.0,244.0,248.0,38.0,58.0,60.0,25.0
3342,1.0,17.0,2.0,14.0,0.0,10.0,20.0,635.0,43.0,28.0,16.0,26.0,53.0,22.0,4.0,138.0,6.0,156.0,65.0,3.0,41.0,5.0,34.0,38.0,99.0,87.0,85.0,63.0,61.0,21.0
3391,0.0,10.0,4.0,12.0,2.0,6.0,15.0,7.0,166.0,90.0,9.0,11.0,385.0,97.0,40.0,42.0,5.0,8.0,185.0,3.0,37.0,1.0,103.0,17.0,18.0,802.0,121.0,35.0,51.0,29.0
3440,1.0,17.0,0.0,59.0,35.0,11.0,5.0,136.0,2.0,19.0,3.0,81.0,26.0,95.0,16.0,7.0,6.0,24.0,46.0,60.0,9.0,488.0,28.0,33.0,36.0,80.0,4.0,100.0,177.0,31.0
3489,3.0,15.0,11.0,36.0,1.0,7.0,12.0,46.0,5.0,2.0,29.0,17.0,6.0,89.0,30.0,0.0,10.0,67.0,21.0,25.0,13.0,7913.0,39.0,33.0,28.0,42.0,9.0,90.0,19.0,106.0
3538,0.0,1.0,15.0,31.0,11.0,19.0,27.0,6.0,5.0,14.0,18.0,53.0,16.0,41.0,10.0,12.0,3.0,43.0,29.0,28.0,4.0,336.0,33.0,47.0,55.0,9.0,8.0,88.0,121.0,103.0
3587,0.0,10.0,7.0,27.0,16.0,5.0,14.0,17.0,15.0,3.0,4.0,1.0,105.0,91.0,9.0,8.0,2.0,11.0,13.0,23.0,18.0,1083.0,52.0,39.0,46.0,168.0,22.0,49.0,55.0,196.0
3636,1.0,26.0,18.0,81.0,79.0,5.0,20.0,84.0,4.0,7.0,16.0,66.0,3.0,74.0,19.0,8.0,12.0,10.0,25.0,68.0,43.0,48.0,56.0,40.0,46.0,157.0,0.0,42.0,901.0,166.0
3685,4.0,6.0,2.0,38.0,12.0,13.0,28.0,151.0,0.0,7.0,48.0,76.0,3.0,31.0,25.0,42.0,5.0,29.0,21.0,20.0,23.0,499.0,14.0,143.0,90.0,61.0,1.0,62.0,77.0,67.0
3734,0.0,25.0,198.0,32.0,57.0,3.0,2.0,154.0,15.0,12.0,17.0,38.0,155.0,150.0,18.0,6.0,1.0,8.0,58.0,16.0,35.0,260.0,47.0,24.0,45.0,5.0,4.0,90.0,55.0,111.0
3783,0.0,15.0,6.0,14.0,20.0,5.0,27.0,63.0,2.0,29.0,1.0,113.0,58.0,43.0,12.0,4.0,22.0,57.0,10.0,25.0,21.0,414.0,9.0,52.0,81.0,41.0,3.0,201.0,247.0,117.0
3832,3.0,13.0,0.0,75.0,40.0,7.0,10.0,12.0,1.0,4.0,2.0,86.0,23.0,24.0,41.0,20.0,8.0,29.0,14.0,21.0,16.0,107.0,84.0,31.0,27.0,26.0,42.0,56.0,193.0,148.0
3881,2.0,18.0,16.0,65.0,13.0,21.0,32.0,9.0,15.0,4.0,1.0,6.0,14.0,124.0,30.0,86.0,0.0,20.0,8.0,57.0,28.0,398.0,56.0,27.0,610.0,135.0,22.0,49.0,547.0,308.0
3930,4.0,1.0,37.0,15.0,19.0,105.0,34.0,2.0,7.0,35.0,50.0,10.0,0.0,5.0,12.0,69.0,17.0,14.0,40.0,18.0,23.0,26.0,28.0,42.0,29.0,53.0,27.0,38.0,89.0,31.0
3979,13.0,4.0,8.0,18.0,10.0,11.0,6.0,33.0,2.0,9.0,20.0,5.0,0.0,1.0,7.0,21.0,40.0,3.0,29.0,16.0,15.0,19.0,47.0,24.0,25.0,12.0,22.0,44.0,28.0,54.0
4028,3.0,1.0,8.0,7.0,10.0,22.0,20.0,41.0,11.0,35.0,25.0,2.0,4.0,14.0,6.0,36.0,0.0,5.0,38.0,9.0,45.0,16.0,29.0,23.0,61.0,28.0,33.0,39.0,59.0,21.0
4077,1.0,2.0,83.0,29.0,13.0,23.0,7.0,0.0,39.0,65.0,66.0,10.0,4.0,12.0,100.0,21.0,5.0,3.0,18.0,105.0,9.0,54.0,40.0,19.0,27.0,8.0,128.0,33.0,36.0,64.0
4126,1.0,5.0,28.0,46.0,11.0,51.0,48.0,18.0,85.0,7.0,15.0,4.0,0.0,14.0,10.0,12.0,2.0,3.0,49.0,25.0,55.0,122.0,81.0,127.0,32.0,20.0,43.0,22.0,192.0,34.0
4175,0.0,4.0,14.0,12.0,13.0,88.0,21.0,9.0,28.0,10.0,18.0,2.0,1.0,8.0,16.0,7.0,15.0,19.0,11.0,6.0,27.0,33.0,17.0,31.0,25.0,3.0,22.0,53.0,106.0,42.0
4224,0.0,2.0,11.0,27.0,7.0,40.0,8.0,38.0,29.0,51.0,22.0,4.0,39.0,1.0,21.0,6.0,5.0,20.0,45.0,9.0,57.0,61.0,67.0,19.0,43.0,49.0,3.0,94.0,25.0,74.0
4273,4.0,3.0,28.0,26.0,5.0,22.0,27.0,1.0,16.0,10.0,43.0,0.0,2.0,7.0,29.0,15.0,9.0,11.0,12.0,30.0,60.0,75.0,39.0,37.0,35.0,51.0,6.0,46.0,31.0,13.0
4322,5.0,3.0,8.0,34.0,11.0,14.0,10.0,54.0,25.0,12.0,30.0,33.0,4.0,2.0,16.0,9.0,1.0,19.0,28.0,6.0,29.0,0.0,22.0,20.0,37.0,15.0,18.0,56.0,40.0,31.0
4371,4.0,13.0,0.0,2.0,6.0,40.0,35.0,5.0,10.0,16.0,80.0,1.0,3.0,38.0,7.0,43.0,52.0,8.0,27.0,22.0,55.0,9.0,549.0,20.0,49.0,87.0,251.0,29.0,14.0,46.0
4420,2.0,14.0,47.0,165.0,12.0,0.0,1.0,41.0,19.0,8.0,21.0,49.0,23.0,6.0,287.0,4.0,25.0,7.0,10.0,39.0,42.0,32.0,31.0,15.0,43.0,78.0,9.0,129.0,22.0,5.0
4469,3.0,11.0,135.0,162.0,13.0,5.0,9.0,15.0,186.0,21.0,167.0,49.0,0.0,63.0,23.0,10.0,278.0,4.0,2.0,669.0,16.0,28.0,1.0,31.0,24.0,94.0,8.0,370.0,43.0,57.0
4518,0.0,5.0,700.0,45.0,11.0,4.0,21.0,3.0,48.0,6.0,14.0,97.0,9.0,18.0,20.0,1.0,223.0,47.0,2.0,165.0,49.0,176.0,29.0,59.0,26.0,94.0,79.0,273.0,16.0,74.0
4567,15.0,5.0,2.0,87.0,20.0,3.0,8.0,0.0,39.0,14.0,27.0,228.0,7.0,1.0,59.0,11.0,366.0,30.0,4.0,628.0,33.0,291.0,24.0,25.0,17.0,13.0,114.0,48.0,29.0,47.0
4616,7.0,10.0,12.0,38.0,5.0,4.0,6.0,46.0,25.0,48.0,16.0,49.0,26.0,0.0,77.0,2.0,376.0,13.0,1.0,69.0,32.0,233.0,31.0,24.0,23.0,43.0,8.0,42.0,103.0,36.0
4665,4.0,14.0,7.0,51.0,25.0,1.0,3.0,22.0,126.0,21.0,77.0,45.0,6.0,5.0,47.0,15.0,158.0,38.0,0.0,9.0,33.0,1419.0,11.0,37.0,31.0,109.0,12.0,75.0,18.0,8.0
4714,4.0,6.0,26.0,99.0,0.0,1.0,9.0,15.0,12.0,17.0,52.0,74.0,137.0,10.0,27.0,2.0,206.0,7.0,5.0,64.0,11.0,48.0,16.0,44.0,32.0,28.0,30.0,46.0,18.0,105.0
4763,7.0,10.0,111.0,118.0,9.0,3.0,4.0,15.0,14.0,65.0,19.0,49.0,11.0,5.0,22.0,47.0,33.0,8.0,1.0,39.0,35.0,40.0,2.0,45.0,36.0,141.0,12.0,102.0,84.0,24.0
4812,7.0,94.0,5.0,145.0,3.0,1.0,11.0,46.0,9.0,6.0,8.0,27.0,18.0,15.0,66.0,4.0,1075.0,48.0,0.0,32.0,70.0,183.0,34.0,14.0,49.0,26.0,65.0,88.0,24.0,69.0
4861,0.0,17.0,74.0,119.0,22.0,2.0,8.0,9.0,16.0,10.0,18.0,23.0,1.0,13.0,37.0,6.0,48.0,4.0,7.0,148.0,26.0,206.0,3.0,20.0,42.0,30.0,5.0,95.0,88.0,72.0
