,hsa-miR-205,hsa-miR-216a,hsa-miR-9,hsv1-miR-H8,hsa-miR-934,hsa-miR-1266,hsa-miR-99a,hsa-miR-200a,hsa-miR-10a,hsa-miR-1469,hsa-miR-214,hsa-miR-148a,hsa-miR-140-5p,hsa-miR-136,hsa-miR-329,hsa-miR-24,hsa-miR-409-3p,hsa-miR-604,hsa-miR-154,hsa-miR-30e,hsa-miR-137,hsa-miR-508-5p,hsa-miR-10b,hsa-miR-29c,hsa-miR-199b-5p,hsa-miR-631,hsa-miR-518d-3p,hsa-miR-299-5p,hsa-miR-296-5p,hsa-miR-671-3p
1631,1.0,0.0,4.0,2.0,49.0,8.0,13.0,66.0,199.0,24.0,28.0,26.0,9.0,23.0,111.0,50.0,204.0,133.0,11.0,46.0,101.0,10.0,105.0,54.0,74.0,231.0,47.0,357.0,17.0,30.0
1680,1.0,0.0,15.0,6.0,2.0,4.0,22.0,5.0,7.0,396.0,19.0,9.0,336.0,43.0,46.0,30.0,262.0,8.0,228.0,21.0,177.0,12.0,20.0,39.0,188.0,411.0,153.0,16.0,55.0,42.0
1729,1.0,0.0,13.0,14.0,18.0,4.0,6.0,49.0,89.0,456.0,2.0,36.0,24.0,9.0,15.0,30.0,286.0,141.0,292.0,33.0,97.0,3.0,26.0,20.0,398.0,450.0,424.0,22.0,12.0,29.0
1778,0.0,1.0,2.0,4.0,20.0,8.0,7.0,12.0,71.0,156.0,15.0,6.0,39.0,262.0,36.0,235.0,242.0,42.0,31.0,92.0,24.0,3.0,132.0,109.0,240.0,55.0,457.0,9.0,43.0,5.0
1827,1.0,0.0,2.0,3.0,5.0,7.0,10.0,171.0,39.0,368.0,4.0,8.0,15.0,292.0,225.0,52.0,44.0,205.0,50.0,13.0,14.0,29.0,12.0,315.0,447.0,89.0,103.0,121.0,218.0,6.0
1876,1.0,0.0,13.0,6.0,86.0,53.0,5.0,3.0,20.0,132.0,8.0,4.0,131.0,139.0,100.0,191.0,23.0,18.0,264.0,246.0,42.0,28.0,24.0,414.0,26.0,7.0,236.0,278.0,438.0,2.0
1925,1.0,0.0,23.0,2.0,22.0,3.0,17.0,42.0,514.0,104.0,6.0,5.0,87.0,486.0,34.0,444.0,129.0,9.0,95.0,200.0,88.0,54.0,8.0,27.0,26.0,110.0,437.0,73.0,103.0,20.0
1974,5.0,0.0,2.0,9.0,32.0,1.0,109.0,6.0,8.0,29.0,83.0,47.0,53.0,189.0,12.0,7.0,22.0,98.0,67.0,13.0,31.0,48.0,19.0,61.0,132.0,176.0,424.0,44.0,58.0,24.0
2023,3.0,0.0,5.0,80.0,25.0,20.0,1.0,2.0,4.0,6.0,390.0,512.0,66.0,112.0,104.0,8.0,21.0,39.0,27.0,30.0,79.0,54.0,35.0,518.0,77.0,415.0,105.0,14.0,70.0,16.0
2072,1.0,0.0,4.0,76.0,188.0,8.0,10.0,25.0,2.0,3.0,288.0,22.0,131.0,19.0,84.0,55.0,32.0,153.0,7.0,5.0,132.0,23.0,12.0,460.0,18.0,311.0,573.0,197.0,286.0,209.0
2121,1.0,0.0,61.0,4.0,35.0,28.0,43.0,24.0,2.0,21.0,123.0,8.0,106.0,125.0,18.0,6.0,215.0,51.0,120.0,32.0,12.0,17.0,19.0,11.0,144.0,430.0,41.0,89.0,456.0,31.0
2170,1.0,0.0,10.0,3.0,503.0,60.0,6.0,331.0,4.0,86.0,106.0,407.0,90.0,22.0,11.0,28.0,2.0,56.0,59.0,5.0,17.0,181.0,198.0,71.0,163.0,491.0,112.0,15.0,44.0,234.0
2219,1.0,0.0,12.0,4.0,28.0,166.0,6.0,2.0,11.0,25.0,20.0,78.0,232.0,95.0,76.0,27.0,10.0,58.0,13.0,3.0,64.0,149.0,14.0,56.0,161.0,445.0,39.0,36.0,231.0,83.0
2268,1.0,0.0,15.0,3.0,117.0,27.0,24.0,4.0,153.0,444.0,491.0,95.0,240.0,33.0,26.0,18.0,2.0,16.0,7.0,5.0,25.0,43.0,175.0,54.0,98.0,241.0,50.0,39.0,74.0,71.0
2317,1.0,0.0,9.0,42.0,111.0,182.0,65.0,4.0,15.0,30.0,87.0,116.0,60.0,90.0,7.0,29.0,5.0,21.0,20.0,2.0,17.0,131.0,18.0,73.0,19.0,153.0,226.0,45.0,563.0,46.0
2366,1.0,0.0,23.0,21.0,113.0,154.0,12.0,37.0,6.0,181.0,28.0,402.0,14.0,217.0,38.0,4.0,13.0,9.0,243.0,2.0,20.0,264.0,111.0,55.0,64.0,143.0,174.0,80.0,40.0,59.0
2415,1.0,0.0,21.0,29.0,203.0,9.0,30.0,11.0,4.0,10.0,86.0,18.0,19.0,298.0,13.0,2.0,108.0,20.0,27.0,6.0,371.0,198.0,122.0,50.0,82.0,537.0,205.0,217.0,43.0,470.0
2464,1.0,0.0,8.0,7.0,2.0,5.0,156.0,19.0,87.0,3.0,35.0,280.0,10.0,12.0,34.0,50.0,366.0,13.0,618.0,62.0,41.0,74.0,270.0,160.0,40.0,132.0,32.0,96.0,45.0,224.0
2513,0.0,1.0,208.0,4.0,12.0,2.0,16.0,22.0,17.0,3.0,10.0,14.0,24.0,9.0,8.0,21.0,188.0,28.0,389.0,47.0,11.0,197.0,186.0,7.0,27.0,111.0,5.0,126.0,123.0,216.0
2562,0.0,1.0,12.0,5.0,2.0,10.0,43.0,4.0,11.0,16.0,14.0,62.0,19.0,61.0,9.0,20.0,100.0,6.0,73.0,54.0,396.0,416.0,74.0,33.0,84.0,177.0,15.0,52.0,17.0,45.0
2611,0.0,1.0,203.0,36.0,5.0,2.0,3.0,25.0,6.0,4.0,14.0,10.0,22.0,19.0,23.0,42.0,388.0,12.0,93.0,24.0,123.0,98.0,311.0,375.0,119.0,9.0,13.0,148.0,92.0,73.0
2660,0.0,2.0,289.0,44.0,11.0,13.0,201.0,42.0,8.0,19.0,1.0,9.0,47.0,14.0,21.0,51.0,130.0,62.0,155.0,58.0,33.0,135.0,3.0,140.0,24.0,15.0,6.0,469.0,575.0,86.0
2709,1.0,0.0,17.0,33.0,4.0,9.0,7.0,23.0,21.0,3.0,2.0,11.0,16.0,63.0,37.0,205.0,90.0,27.0,57.0,42.0,444.0,215.0,39.0,40.0,15.0,6.0,10.0,92.0,18.0,451.0
2758,0.0,1.0,8.0,20.0,3.0,2.0,125.0,67.0,53.0,4.0,27.0,6.0,36.0,9.0,32.0,181.0,315.0,592.0,568.0,11.0,45.0,542.0,204.0,138.0,10.0,7.0,13.0,99.0,422.0,51.0
2807,1.0,0.0,6.0,19.0,8.0,7.0,5.0,17.0,21.0,3.0,45.0,12.0,50.0,332.0,99.0,51.0,426.0,10.0,25.0,26.0,103.0,374.0,85.0,147.0,492.0,189.0,31.0,225.0,73.0,249.0
2856,1.0,0.0,2.0,3.0,7.0,4.0,6.0,19.0,8.0,15.0,5.0,18.0,406.0,10.0,20.0,107.0,622.0,170.0,30.0,9.0,339.0,100.0,35.0,229.0,268.0,34.0,83.0,206.0,12.0,132.0
2905,1.0,0.0,3.0,36.0,33.0,48.0,10.0,9.0,74.0,16.0,41.0,44.0,54.0,8.0,14.0,40.0,205.0,6.0,98.0,2.0,135.0,59.0,89.0,47.0,73.0,5.0,22.0,20.0,53.0,12.0
2954,0.0,1.0,3.0,4.0,17.0,22.0,62.0,25.0,489.0,65.0,6.0,69.0,2.0,27.0,47.0,103.0,11.0,18.0,10.0,300.0,5.0,12.0,19.0,68.0,453.0,302.0,272.0,15.0,46.0,58.0
3003,0.0,1.0,2.0,3.0,6.0,30.0,24.0,12.0,89.0,7.0,47.0,8.0,4.0,98.0,422.0,94.0,23.0,14.0,157.0,40.0,11.0,38.0,31.0,66.0,43.0,16.0,147.0,9.0,42.0,58.0
3052,0.0,1.0,2.0,3.0,8.0,39.0,6.0,133.0,170.0,85.0,279.0,184.0,17.0,280.0,250.0,413.0,50.0,4.0,151.0,51.0,23.0,73.0,393.0,18.0,191.0,5.0,111.0,58.0,410.0,11.0
3101,1.0,0.0,28.0,2.0,3.0,145.0,152.0,12.0,33.0,8.0,6.0,10.0,21.0,46.0,41.0,164.0,172.0,216.0,31.0,119.0,15.0,210.0,17.0,45.0,255.0,130.0,407.0,198.0,227.0,37.0
3150,1.0,0.0,2.0,18.0,3.0,12.0,5.0,9.0,426.0,69.0,32.0,8.0,21.0,341.0,228.0,45.0,33.0,112.0,7.0,216.0,6.0,281.0,107.0,43.0,51.0,11.0,147.0,13.0,15.0,269.0
3199,0.0,1.0,6.0,2.0,5.0,3.0,51.0,40.0,41.0,44.0,45.0,4.0,21.0,91.0,327.0,95.0,20.0,13.0,7.0,35.0,28.0,42.0,46.0,71.0,15.0,8.0,539.0,17.0,62.0,188.0
3248,1.0,0.0,2.0,9.0,3.0,28.0,5.0,12.0,131.0,134.0,581.0,10.0,13.0,194.0,288.0,49.0,174.0,186.0,30.0,23.0,17.0,38.0,189.0,328.0,418.0,113.0,165.0,77.0,33.0,56.0
3297,1.0,0.0,2.0,8.0,76.0,127.0,50.0,11.0,30.0,5.0,389.0,266.0,12.0,3.0,52.0,14.0,20.0,66.0,19.0,9.0,4.0,152.0,88.0,59.0,583.0,255.0,575.0,314.0,144.0,191.0
3346,1.0,0.0,3.0,2.0,9.0,8.0,5.0,39.0,432.0,30.0,25.0,29.0,16.0,148.0,134.0,21.0,19.0,34.0,440.0,32.0,27.0,18.0,317.0,135.0,450.0,17.0,312.0,76.0,13.0,96.0
3395,0.0,1.0,7.0,22.0,2.0,3.0,4.0,19.0,6.0,25.0,268.0,354.0,5.0,10.0,156.0,305.0,186.0,310.0,38.0,8.0,24.0,27.0,26.0,318.0,95.0,11.0,101.0,14.0,45.0,263.0
3444,0.0,1.0,2.0,17.0,14.0,6.0,4.0,31.0,24.0,422.0,12.0,92.0,8.0,60.0,27.0,429.0,3.0,21.0,19.0,23.0,77.0,32.0,29.0,20.0,5.0,48.0,30.0,191.0,42.0,56.0
3493,1.0,0.0,2.0,6.0,7.0,9.0,5.0,67.0,3.0,82.0,97.0,425.0,46.0,249.0,4.0,79.0,41.0,96.0,70.0,19.0,84.0,63.0,60.0,11.0,45.0,33.0,8.0,26.0,25.0,14.0
3542,0.0,2.0,1.0,8.0,3.0,10.0,5.0,32.0,83.0,157.0,92.0,210.0,16.0,54.0,6.0,242.0,13.0,29.0,33.0,31.0,63.0,40.0,9.0,68.0,12.0,17.0,4.0,80.0,11.0,7.0
3591,1.0,0.0,3.0,24.0,72.0,28.0,23.0,320.0,18.0,38.0,7.0,256.0,203.0,562.0,37.0,10.0,75.0,8.0,2.0,19.0,151.0,96.0,52.0,60.0,11.0,17.0,22.0,12.0,40.0,53.0
3640,1.0,0.0,2.0,24.0,3.0,17.0,10.0,26.0,5.0,11.0,64.0,31.0,36.0,132.0,12.0,14.0,8.0,4.0,79.0,221.0,52.0,116.0,23.0,41.0,15.0,384.0,6.0,106.0,19.0,55.0
3689,3.0,0.0,1.0,42.0,4.0,5.0,7.0,331.0,26.0,93.0,14.0,22.0,36.0,585.0,10.0,17.0,432.0,16.0,12.0,8.0,34.0,40.0,60.0,52.0,53.0,6.0,2.0,48.0,58.0,167.0
3738,1.0,0.0,2.0,3.0,13.0,7.0,4.0,20.0,12.0,11.0,21.0,6.0,25.0,398.0,14.0,39.0,117.0,29.0,8.0,143.0,10.0,257.0,15.0,141.0,67.0,413.0,5.0,57.0,114.0,87.0
3787,1.0,0.0,4.0,3.0,7.0,6.0,2.0,67.0,16.0,26.0,24.0,35.0,27.0,192.0,217.0,12.0,41.0,127.0,9.0,23.0,11.0,170.0,52.0,17.0,55.0,193.0,5.0,63.0,20.0,141.0
3836,1.0,0.0,21.0,3.0,2.0,8.0,4.0,55.0,7.0,39.0,9.0,10.0,58.0,69.0,42.0,30.0,63.0,5.0,12.0,44.0,26.0,62.0,6.0,34.0,611.0,29.0,11.0,18.0,20.0,37.0
3885,0.0,1.0,26.0,7.0,34.0,61.0,23.0,154.0,16.0,65.0,10.0,301.0,46.0,66.0,12.0,4.0,605.0,130.0,2.0,235.0,9.0,25.0,27.0,227.0,39.0,14.0,3.0,77.0,49.0,6.0
3934,0.0,1.0,4.0,3.0,2.0,6.0,5.0,10.0,45.0,39.0,8.0,270.0,33.0,21.0,186.0,31.0,599.0,22.0,170.0,89.0,320.0,26.0,111.0,213.0,555.0,13.0,7.0,44.0,113.0,292.0
3983,0.0,1.0,2.0,4.0,3.0,5.0,51.0,44.0,17.0,61.0,6.0,14.0,7.0,58.0,74.0,10.0,111.0,612.0,9.0,30.0,229.0,13.0,89.0,202.0,204.0,8.0,12.0,47.0,75.0,81.0
4032,0.0,1.0,3.0,6.0,5.0,16.0,7.0,60.0,15.0,9.0,2.0,4.0,22.0,67.0,90.0,12.0,21.0,98.0,72.0,68.0,39.0,14.0,73.0,419.0,267.0,97.0,61.0,240.0,28.0,30.0
4081,0.0,1.0,4.0,15.0,2.0,13.0,33.0,3.0,37.0,23.0,88.0,10.0,82.0,233.0,344.0,146.0,169.0,493.0,36.0,85.0,78.0,20.0,54.0,468.0,42.0,55.0,11.0,156.0,22.0,65.0
4130,1.0,0.0,6.0,4.0,2.0,10.0,11.0,3.0,27.0,8.0,174.0,15.0,28.0,180.0,33.0,14.0,46.0,225.0,96.0,239.0,22.0,16.0,251.0,340.0,277.0,5.0,7.0,35.0,18.0,42.0
4179,1.0,0.0,3.0,10.0,2.0,47.0,24.0,5.0,202.0,6.0,8.0,7.0,11.0,157.0,234.0,62.0,290.0,137.0,4.0,489.0,26.0,46.0,552.0,343.0,30.0,9.0,13.0,15.0,33.0,288.0
4228,0.0,1.0,4.0,20.0,3.0,6.0,105.0,15.0,56.0,2.0,69.0,49.0,87.0,66.0,7.0,30.0,10.0,130.0,9.0,37.0,57.0,16.0,143.0,39.0,35.0,19.0,14.0,394.0,94.0,109.0
4277,0.0,1.0,3.0,13.0,4.0,7.0,16.0,2.0,462.0,6.0,22.0,28.0,8.0,63.0,56.0,12.0,39.0,328.0,364.0,84.0,9.0,14.0,226.0,91.0,219.0,5.0,45.0,423.0,27.0,123.0
4326,0.0,1.0,2.0,4.0,10.0,121.0,18.0,6.0,30.0,3.0,53.0,46.0,12.0,221.0,77.0,81.0,11.0,378.0,29.0,9.0,25.0,20.0,440.0,51.0,263.0,132.0,15.0,13.0,86.0,83.0
4375,0.0,1.0,5.0,3.0,9.0,18.0,41.0,19.0,192.0,8.0,16.0,24.0,4.0,7.0,62.0,550.0,44.0,251.0,2.0,241.0,84.0,194.0,398.0,413.0,146.0,11.0,45.0,34.0,261.0,61.0
4424,0.0,2.0,1.0,5.0,3.0,22.0,40.0,4.0,306.0,202.0,6.0,20.0,145.0,8.0,406.0,293.0,21.0,198.0,95.0,254.0,314.0,12.0,367.0,7.0,84.0,121.0,175.0,39.0,148.0,213.0
4473,0.0,1.0,2.0,30.0,10.0,20.0,27.0,157.0,89.0,31.0,5.0,6.0,99.0,7.0,169.0,60.0,114.0,382.0,58.0,477.0,35.0,33.0,28.0,431.0,3.0,42.0,160.0,22.0,238.0,368.0
4522,0.0,1.0,2.0,17.0,42.0,20.0,296.0,7.0,263.0,139.0,11.0,30.0,237.0,6.0,100.0,184.0,8.0,78.0,108.0,26.0,220.0,10.0,22.0,77.0,12.0,41.0,92.0,39.0,435.0,86.0
4571,0.0,1.0,2.0,6.0,172.0,7.0,14.0,58.0,381.0,335.0,118.0,10.0,99.0,3.0,274.0,248.0,63.0,293.0,48.0,160.0,503.0,114.0,74.0,5.0,39.0,127.0,69.0,225.0,446.0,13.0
4620,0.0,1.0,4.0,6.0,29.0,5.0,23.0,2.0,353.0,161.0,38.0,56.0,30.0,3.0,83.0,355.0,482.0,238.0,31.0,573.0,294.0,92.0,386.0,57.0,172.0,244.0,89.0,149.0,346.0,52.0
4669,0.0,1.0,3.0,15.0,22.0,4.0,40.0,8.0,14.0,209.0,9.0,78.0,216.0,2.0,317.0,7.0,20.0,260.0,115.0,49.0,51.0,200.0,25.0,95.0,86.0,119.0,160.0,170.0,168.0,448.0
4718,0.0,1.0,2.0,13.0,7.0,5.0,8.0,12.0,279.0,37.0,14.0,21.0,11.0,4.0,100.0,38.0,75.0,32.0,27.0,63.0,189.0,183.0,110.0,516.0,9.0,26.0,163.0,165.0,297.0,132.0
4767,0.0,2.0,1.0,7.0,20.0,8.0,4.0,22.0,219.0,338.0,25.0,346.0,26.0,6.0,581.0,118.0,14.0,39.0,58.0,525.0,61.0,29.0,264.0,30.0,32.0,99.0,320.0,127.0,233.0,180.0
4816,0.0,1.0,5.0,11.0,4.0,3.0,46.0,56.0,490.0,19.0,183.0,26.0,177.0,6.0,575.0,69.0,79.0,68.0,37.0,18.0,337.0,42.0,284.0,17.0,13.0,233.0,30.0,373.0,226.0,51.0
4865,0.0,1.0,2.0,7.0,5.0,9.0,3.0,26.0,25.0,12.0,11.0,20.0,61.0,8.0,117.0,148.0,15.0,54.0,18.0,10.0,376.0,334.0,384.0,57.0,91.0,503.0,348.0,30.0,195.0,88.0
