,hsa-miR-222,hsa-miR-34a,hsa-miR-582-5p,hsa-miR-483-3p,hsa-miR-1197,hsa-miR-1307,hsa-miR-671-5p,hsa-miR-10a,hsa-miR-770-5p,hsa-miR-219-2-3p,hsa-miR-877,hsa-miR-581,hsa-miR-591,hsa-miR-425,hsa-miR-574-5p,hsa-miR-135b,hsa-miR-302f,hsa-miR-876-3p,hsa-miR-620,ebv-miR-BART20-5p,hsa-miR-492,hsa-miR-628-5p,hsa-miR-1276,hsa-miR-132,hsa-miR-1256,hsa-miR-133a,hsa-miR-616,hsa-miR-711,hsa-miR-657,hsa-miR-675
505,0.0,1.0,3.0,2.0,46.0,13.0,7.0,16.0,5.0,26.0,6.0,18.0,36.0,25.0,20.0,28.0,4.0,45.0,90.0,33.0,17.0,10.0,49.0,19.0,50.0,27.0,57.0,261.0,8.0,52.0
554,2.0,0.0,1.0,11.0,8.0,3.0,7.0,28.0,37.0,15.0,50.0,21.0,4.0,30.0,35.0,41.0,26.0,34.0,84.0,46.0,36.0,73.0,61.0,20.0,104.0,49.0,9.0,200.0,59.0,13.0
603,1.0,0.0,2.0,4.0,9.0,15.0,8.0,42.0,3.0,11.0,16.0,10.0,5.0,54.0,49.0,25.0,6.0,7.0,55.0,124.0,51.0,26.0,44.0,22.0,46.0,100.0,40.0,154.0,41.0,20.0
652,0.0,1.0,4.0,2.0,34.0,10.0,7.0,12.0,5.0,15.0,9.0,11.0,19.0,27.0,42.0,13.0,3.0,32.0,91.0,67.0,47.0,56.0,31.0,51.0,71.0,8.0,24.0,260.0,48.0,107.0
701,0.0,1.0,2.0,3.0,7.0,6.0,5.0,18.0,4.0,15.0,20.0,8.0,26.0,16.0,14.0,49.0,44.0,9.0,51.0,97.0,11.0,24.0,85.0,25.0,10.0,72.0,21.0,178.0,42.0,19.0
750,0.0,1.0,2.0,4.0,7.0,9.0,6.0,15.0,18.0,22.0,21.0,82.0,28.0,35.0,30.0,40.0,8.0,27.0,85.0,20.0,39.0,56.0,16.0,47.0,46.0,23.0,11.0,119.0,12.0,67.0
799,1.0,0.0,3.0,5.0,7.0,2.0,17.0,50.0,6.0,9.0,28.0,15.0,44.0,32.0,39.0,14.0,12.0,13.0,48.0,45.0,33.0,16.0,77.0,25.0,4.0,46.0,55.0,101.0,35.0,27.0
848,0.0,1.0,5.0,4.0,23.0,3.0,10.0,26.0,13.0,6.0,24.0,2.0,44.0,33.0,55.0,15.0,59.0,77.0,127.0,54.0,29.0,12.0,58.0,35.0,31.0,89.0,25.0,78.0,9.0,307.0
897,0.0,1.0,6.0,2.0,5.0,3.0,10.0,8.0,4.0,18.0,9.0,19.0,24.0,26.0,21.0,11.0,7.0,37.0,75.0,65.0,39.0,29.0,78.0,16.0,25.0,56.0,22.0,72.0,54.0,107.0
946,1.0,0.0,9.0,4.0,17.0,2.0,20.0,8.0,3.0,39.0,7.0,12.0,30.0,79.0,28.0,32.0,10.0,16.0,132.0,38.0,81.0,49.0,29.0,14.0,50.0,15.0,54.0,85.0,13.0,67.0
995,0.0,1.0,4.0,6.0,3.0,14.0,32.0,22.0,7.0,56.0,54.0,9.0,8.0,43.0,10.0,2.0,44.0,23.0,5.0,35.0,11.0,15.0,38.0,66.0,165.0,52.0,50.0,12.0,61.0,20.0
1044,0.0,1.0,6.0,2.0,4.0,13.0,18.0,11.0,9.0,31.0,27.0,45.0,7.0,12.0,21.0,3.0,20.0,33.0,16.0,8.0,10.0,14.0,24.0,34.0,168.0,36.0,25.0,59.0,30.0,5.0
1093,0.0,1.0,2.0,13.0,27.0,4.0,26.0,10.0,9.0,18.0,11.0,6.0,14.0,50.0,51.0,7.0,25.0,73.0,74.0,17.0,16.0,34.0,8.0,29.0,213.0,47.0,30.0,3.0,41.0,21.0
1142,1.0,0.0,3.0,2.0,4.0,12.0,8.0,24.0,71.0,37.0,45.0,18.0,14.0,7.0,25.0,6.0,48.0,30.0,23.0,63.0,11.0,13.0,32.0,17.0,90.0,57.0,19.0,36.0,47.0,5.0
1191,0.0,1.0,12.0,3.0,2.0,5.0,31.0,22.0,14.0,49.0,65.0,80.0,16.0,23.0,34.0,6.0,56.0,10.0,30.0,122.0,33.0,4.0,21.0,25.0,40.0,29.0,17.0,8.0,13.0,7.0
1240,1.0,0.0,7.0,2.0,6.0,9.0,26.0,5.0,11.0,42.0,46.0,37.0,10.0,18.0,12.0,3.0,20.0,35.0,13.0,50.0,19.0,32.0,8.0,16.0,84.0,40.0,21.0,27.0,17.0,4.0
1289,0.0,1.0,2.0,4.0,3.0,6.0,31.0,28.0,83.0,22.0,55.0,12.0,14.0,34.0,5.0,8.0,19.0,52.0,57.0,80.0,51.0,97.0,27.0,56.0,143.0,45.0,36.0,21.0,46.0,7.0
1338,0.0,1.0,4.0,3.0,2.0,9.0,63.0,45.0,16.0,53.0,51.0,128.0,20.0,31.0,21.0,15.0,47.0,55.0,32.0,19.0,13.0,14.0,10.0,34.0,113.0,95.0,6.0,18.0,123.0,5.0
1387,1.0,0.0,3.0,6.0,4.0,9.0,56.0,24.0,10.0,53.0,12.0,15.0,18.0,21.0,43.0,2.0,14.0,22.0,44.0,47.0,28.0,29.0,5.0,23.0,224.0,8.0,11.0,30.0,37.0,7.0
1436,1.0,0.0,4.0,3.0,6.0,5.0,44.0,9.0,17.0,32.0,12.0,25.0,52.0,19.0,56.0,2.0,29.0,14.0,11.0,80.0,30.0,22.0,15.0,45.0,58.0,57.0,54.0,55.0,8.0,10.0
1485,0.0,1.0,3.0,4.0,31.0,8.0,6.0,2.0,5.0,11.0,9.0,7.0,60.0,106.0,54.0,128.0,27.0,73.0,36.0,14.0,12.0,28.0,44.0,104.0,47.0,80.0,63.0,20.0,53.0,83.0
1534,0.0,1.0,11.0,4.0,29.0,2.0,28.0,3.0,20.0,14.0,18.0,182.0,33.0,51.0,24.0,232.0,84.0,89.0,13.0,5.0,12.0,35.0,7.0,90.0,17.0,121.0,26.0,8.0,9.0,85.0
1583,1.0,0.0,10.0,3.0,14.0,4.0,25.0,2.0,5.0,8.0,6.0,16.0,41.0,52.0,72.0,38.0,22.0,43.0,48.0,20.0,17.0,30.0,12.0,59.0,31.0,49.0,26.0,34.0,11.0,63.0
1632,0.0,1.0,23.0,4.0,2.0,10.0,3.0,6.0,5.0,11.0,7.0,15.0,41.0,39.0,26.0,43.0,24.0,30.0,49.0,22.0,45.0,61.0,32.0,107.0,27.0,111.0,36.0,16.0,14.0,66.0
1681,0.0,1.0,3.0,5.0,10.0,2.0,9.0,7.0,4.0,8.0,13.0,17.0,35.0,34.0,55.0,84.0,45.0,16.0,22.0,12.0,26.0,20.0,24.0,50.0,21.0,108.0,11.0,18.0,6.0,43.0
1730,1.0,0.0,21.0,5.0,3.0,2.0,18.0,7.0,10.0,6.0,9.0,31.0,67.0,96.0,108.0,161.0,87.0,20.0,28.0,29.0,22.0,16.0,42.0,63.0,15.0,106.0,23.0,14.0,4.0,90.0
1779,1.0,0.0,9.0,2.0,10.0,4.0,5.0,11.0,6.0,3.0,15.0,14.0,57.0,61.0,37.0,32.0,19.0,33.0,44.0,17.0,8.0,42.0,12.0,168.0,22.0,117.0,39.0,26.0,24.0,23.0
1828,0.0,1.0,13.0,4.0,26.0,2.0,12.0,3.0,5.0,15.0,10.0,35.0,8.0,71.0,23.0,87.0,34.0,41.0,30.0,9.0,11.0,31.0,7.0,37.0,40.0,86.0,66.0,25.0,42.0,28.0
1877,1.0,0.0,9.0,5.0,14.0,3.0,43.0,6.0,2.0,12.0,10.0,19.0,64.0,126.0,44.0,50.0,40.0,11.0,25.0,7.0,22.0,57.0,33.0,84.0,16.0,46.0,151.0,32.0,15.0,112.0
1926,1.0,0.0,10.0,6.0,22.0,4.0,8.0,9.0,5.0,3.0,17.0,12.0,46.0,37.0,56.0,41.0,63.0,24.0,43.0,2.0,23.0,19.0,28.0,40.0,7.0,153.0,49.0,21.0,14.0,58.0
1975,0.0,1.0,2.0,5.0,9.0,54.0,7.0,32.0,22.0,18.0,35.0,8.0,60.0,184.0,13.0,4.0,31.0,45.0,19.0,26.0,24.0,82.0,46.0,37.0,42.0,94.0,56.0,6.0,166.0,78.0
2024,1.0,0.0,2.0,3.0,8.0,6.0,24.0,22.0,16.0,47.0,28.0,11.0,50.0,9.0,5.0,7.0,18.0,32.0,13.0,43.0,4.0,21.0,17.0,10.0,27.0,33.0,69.0,121.0,40.0,82.0
2073,0.0,1.0,6.0,17.0,36.0,26.0,51.0,7.0,130.0,49.0,48.0,18.0,31.0,37.0,74.0,3.0,40.0,16.0,20.0,43.0,10.0,32.0,2.0,5.0,41.0,72.0,103.0,14.0,158.0,148.0
2122,0.0,1.0,2.0,14.0,19.0,77.0,16.0,15.0,25.0,27.0,11.0,32.0,44.0,21.0,82.0,3.0,9.0,13.0,17.0,4.0,6.0,22.0,48.0,5.0,8.0,37.0,191.0,78.0,92.0,64.0
2171,0.0,1.0,2.0,13.0,4.0,10.0,15.0,37.0,38.0,14.0,66.0,24.0,93.0,63.0,16.0,3.0,28.0,80.0,30.0,6.0,5.0,72.0,11.0,18.0,8.0,20.0,68.0,90.0,110.0,50.0
2220,0.0,1.0,2.0,5.0,9.0,33.0,8.0,26.0,15.0,31.0,12.0,3.0,53.0,48.0,20.0,11.0,18.0,16.0,13.0,23.0,6.0,56.0,19.0,17.0,42.0,24.0,81.0,99.0,133.0,30.0
2269,0.0,1.0,2.0,6.0,3.0,10.0,7.0,15.0,22.0,35.0,24.0,14.0,36.0,16.0,9.0,5.0,29.0,26.0,8.0,20.0,4.0,52.0,30.0,25.0,31.0,106.0,51.0,137.0,97.0,43.0
2318,1.0,0.0,4.0,3.0,16.0,28.0,50.0,98.0,27.0,38.0,85.0,21.0,12.0,47.0,36.0,2.0,32.0,22.0,7.0,14.0,20.0,121.0,67.0,6.0,46.0,101.0,24.0,80.0,8.0,89.0
2367,0.0,1.0,5.0,7.0,6.0,21.0,9.0,15.0,22.0,19.0,27.0,17.0,32.0,14.0,28.0,2.0,11.0,26.0,13.0,3.0,10.0,52.0,25.0,8.0,31.0,46.0,37.0,99.0,68.0,51.0
2416,1.0,0.0,2.0,5.0,9.0,15.0,10.0,4.0,22.0,29.0,42.0,6.0,11.0,13.0,14.0,7.0,19.0,47.0,21.0,40.0,17.0,51.0,3.0,12.0,178.0,26.0,37.0,81.0,132.0,54.0
2465,0.0,1.0,2.0,3.0,16.0,20.0,8.0,9.0,6.0,4.0,13.0,14.0,5.0,27.0,17.0,35.0,23.0,30.0,116.0,42.0,19.0,12.0,31.0,7.0,24.0,63.0,62.0,15.0,11.0,22.0
2514,2.0,0.0,1.0,8.0,3.0,10.0,6.0,15.0,13.0,7.0,25.0,4.0,32.0,23.0,18.0,55.0,52.0,35.0,71.0,79.0,190.0,51.0,19.0,33.0,76.0,78.0,16.0,17.0,46.0,68.0
2563,1.0,0.0,2.0,11.0,5.0,7.0,4.0,8.0,3.0,6.0,26.0,10.0,49.0,52.0,36.0,38.0,20.0,106.0,65.0,19.0,41.0,9.0,34.0,15.0,28.0,16.0,67.0,17.0,72.0,60.0
2612,0.0,1.0,8.0,10.0,13.0,20.0,3.0,4.0,5.0,14.0,2.0,6.0,12.0,18.0,17.0,104.0,47.0,34.0,58.0,19.0,30.0,11.0,15.0,9.0,44.0,28.0,54.0,37.0,7.0,134.0
2661,1.0,0.0,4.0,9.0,16.0,18.0,5.0,3.0,12.0,10.0,8.0,19.0,23.0,60.0,11.0,41.0,38.0,77.0,170.0,48.0,67.0,13.0,7.0,17.0,63.0,21.0,29.0,2.0,20.0,82.0
2710,1.0,0.0,2.0,21.0,17.0,36.0,5.0,11.0,7.0,8.0,3.0,13.0,39.0,80.0,26.0,58.0,6.0,184.0,113.0,4.0,35.0,19.0,9.0,41.0,27.0,12.0,44.0,15.0,214.0,198.0
2759,0.0,1.0,2.0,12.0,119.0,8.0,14.0,10.0,29.0,15.0,6.0,21.0,11.0,20.0,27.0,175.0,23.0,74.0,140.0,5.0,54.0,65.0,16.0,7.0,105.0,121.0,17.0,42.0,90.0,68.0
2808,0.0,1.0,2.0,5.0,6.0,10.0,4.0,3.0,12.0,13.0,11.0,20.0,9.0,38.0,25.0,31.0,16.0,65.0,43.0,18.0,36.0,22.0,8.0,7.0,52.0,26.0,24.0,32.0,27.0,37.0
2857,0.0,1.0,3.0,7.0,16.0,12.0,37.0,11.0,2.0,9.0,15.0,5.0,31.0,20.0,18.0,6.0,57.0,61.0,25.0,30.0,10.0,77.0,27.0,4.0,53.0,26.0,66.0,23.0,102.0,166.0
2906,1.0,0.0,2.0,4.0,15.0,9.0,5.0,3.0,7.0,24.0,17.0,16.0,8.0,26.0,10.0,50.0,23.0,28.0,45.0,95.0,38.0,48.0,6.0,21.0,177.0,32.0,18.0,65.0,86.0,19.0
2955,0.0,1.0,4.0,2.0,3.0,8.0,35.0,10.0,9.0,13.0,23.0,85.0,97.0,99.0,27.0,7.0,5.0,50.0,178.0,37.0,68.0,17.0,61.0,22.0,15.0,6.0,143.0,26.0,195.0,30.0
3004,0.0,1.0,12.0,2.0,3.0,17.0,18.0,46.0,8.0,11.0,25.0,193.0,79.0,48.0,30.0,14.0,41.0,58.0,15.0,7.0,57.0,39.0,66.0,19.0,4.0,13.0,104.0,6.0,74.0,16.0
3053,0.0,1.0,3.0,6.0,5.0,44.0,23.0,8.0,10.0,16.0,15.0,46.0,29.0,13.0,182.0,12.0,21.0,18.0,149.0,53.0,48.0,9.0,61.0,11.0,2.0,30.0,263.0,7.0,38.0,71.0
3102,0.0,1.0,3.0,5.0,2.0,7.0,9.0,29.0,6.0,14.0,10.0,75.0,33.0,17.0,62.0,11.0,26.0,12.0,59.0,24.0,47.0,23.0,80.0,20.0,8.0,34.0,91.0,4.0,37.0,19.0
3151,0.0,1.0,5.0,2.0,7.0,3.0,26.0,22.0,4.0,16.0,17.0,73.0,66.0,18.0,51.0,53.0,41.0,65.0,264.0,9.0,90.0,45.0,61.0,11.0,10.0,24.0,116.0,6.0,13.0,50.0
3200,0.0,1.0,6.0,2.0,3.0,37.0,9.0,15.0,7.0,31.0,21.0,63.0,20.0,23.0,14.0,42.0,8.0,32.0,108.0,16.0,40.0,12.0,55.0,10.0,4.0,30.0,180.0,36.0,48.0,13.0
3249,0.0,1.0,2.0,10.0,5.0,6.0,79.0,163.0,16.0,53.0,52.0,62.0,34.0,15.0,23.0,4.0,38.0,41.0,40.0,8.0,28.0,27.0,57.0,31.0,9.0,14.0,160.0,24.0,30.0,44.0
3298,0.0,1.0,4.0,3.0,2.0,24.0,15.0,66.0,5.0,19.0,20.0,50.0,17.0,11.0,31.0,6.0,13.0,37.0,88.0,34.0,32.0,21.0,89.0,30.0,12.0,14.0,70.0,38.0,77.0,8.0
3347,0.0,1.0,11.0,2.0,3.0,21.0,23.0,79.0,17.0,13.0,80.0,9.0,7.0,18.0,35.0,4.0,28.0,24.0,179.0,96.0,97.0,6.0,63.0,34.0,58.0,48.0,91.0,5.0,127.0,8.0
3396,1.0,0.0,2.0,7.0,3.0,4.0,40.0,51.0,6.0,8.0,48.0,46.0,88.0,101.0,26.0,33.0,112.0,23.0,82.0,149.0,66.0,21.0,81.0,5.0,16.0,27.0,71.0,37.0,53.0,20.0
3445,0.0,1.0,2.0,3.0,7.0,4.0,6.0,28.0,17.0,11.0,25.0,20.0,8.0,16.0,30.0,43.0,27.0,5.0,13.0,55.0,37.0,66.0,91.0,12.0,54.0,103.0,29.0,22.0,19.0,9.0
3494,0.0,1.0,5.0,4.0,29.0,3.0,8.0,6.0,18.0,15.0,13.0,20.0,23.0,27.0,57.0,28.0,42.0,21.0,9.0,19.0,39.0,35.0,41.0,22.0,82.0,51.0,38.0,2.0,31.0,10.0
3543,1.0,0.0,2.0,3.0,20.0,4.0,6.0,33.0,12.0,18.0,17.0,60.0,19.0,23.0,36.0,28.0,5.0,24.0,7.0,8.0,66.0,65.0,53.0,21.0,45.0,15.0,14.0,63.0,35.0,31.0
3592,1.0,0.0,2.0,6.0,7.0,4.0,12.0,95.0,11.0,17.0,14.0,61.0,21.0,72.0,33.0,45.0,9.0,31.0,10.0,5.0,22.0,28.0,41.0,74.0,58.0,54.0,35.0,20.0,141.0,3.0
3641,0.0,1.0,3.0,4.0,7.0,2.0,8.0,6.0,32.0,21.0,31.0,9.0,16.0,14.0,18.0,12.0,64.0,13.0,10.0,38.0,43.0,23.0,51.0,61.0,27.0,19.0,33.0,91.0,25.0,29.0
3690,1.0,0.0,2.0,11.0,18.0,5.0,3.0,80.0,15.0,10.0,24.0,8.0,12.0,63.0,34.0,9.0,69.0,30.0,20.0,4.0,37.0,29.0,68.0,45.0,16.0,83.0,7.0,31.0,25.0,35.0
3739,1.0,0.0,2.0,20.0,3.0,8.0,4.0,22.0,29.0,9.0,5.0,16.0,13.0,11.0,41.0,6.0,35.0,17.0,30.0,14.0,72.0,53.0,34.0,38.0,47.0,44.0,7.0,15.0,21.0,10.0
3788,1.0,0.0,14.0,7.0,6.0,12.0,2.0,20.0,17.0,29.0,10.0,13.0,11.0,22.0,24.0,23.0,19.0,9.0,18.0,30.0,98.0,35.0,73.0,32.0,60.0,37.0,8.0,57.0,25.0,26.0
3837,1.0,0.0,2.0,3.0,15.0,6.0,56.0,22.0,7.0,67.0,50.0,106.0,4.0,41.0,27.0,9.0,18.0,14.0,8.0,25.0,118.0,23.0,48.0,36.0,108.0,92.0,19.0,97.0,12.0,5.0
3886,0.0,2.0,1.0,13.0,36.0,10.0,52.0,23.0,12.0,8.0,3.0,24.0,53.0,11.0,21.0,19.0,15.0,6.0,5.0,7.0,26.0,77.0,71.0,25.0,98.0,33.0,14.0,51.0,44.0,20.0
3935,1.0,0.0,10.0,11.0,2.0,7.0,3.0,9.0,4.0,22.0,6.0,32.0,12.0,15.0,39.0,35.0,24.0,5.0,21.0,101.0,51.0,23.0,45.0,38.0,34.0,84.0,13.0,70.0,14.0,31.0
3984,1.0,0.0,3.0,38.0,13.0,16.0,11.0,31.0,14.0,70.0,12.0,15.0,18.0,64.0,48.0,43.0,19.0,6.0,91.0,5.0,27.0,17.0,24.0,74.0,60.0,79.0,21.0,237.0,154.0,9.0
4033,1.0,0.0,2.0,19.0,17.0,7.0,12.0,3.0,5.0,24.0,14.0,6.0,18.0,9.0,22.0,4.0,31.0,13.0,11.0,16.0,15.0,59.0,28.0,21.0,40.0,114.0,153.0,136.0,30.0,101.0
4082,0.0,1.0,4.0,20.0,7.0,19.0,2.0,6.0,11.0,15.0,13.0,3.0,16.0,18.0,24.0,125.0,55.0,5.0,49.0,10.0,12.0,14.0,34.0,120.0,32.0,61.0,38.0,115.0,54.0,39.0
4131,1.0,0.0,4.0,5.0,3.0,7.0,18.0,2.0,10.0,27.0,6.0,16.0,8.0,9.0,22.0,15.0,38.0,11.0,29.0,111.0,47.0,13.0,87.0,59.0,40.0,26.0,17.0,353.0,12.0,21.0
4180,0.0,1.0,4.0,20.0,3.0,16.0,7.0,5.0,13.0,24.0,2.0,19.0,15.0,6.0,28.0,11.0,34.0,10.0,49.0,68.0,17.0,14.0,30.0,21.0,44.0,91.0,64.0,70.0,51.0,77.0
4229,0.0,1.0,24.0,6.0,3.0,2.0,4.0,5.0,7.0,39.0,8.0,61.0,21.0,17.0,27.0,79.0,13.0,53.0,33.0,9.0,50.0,19.0,11.0,81.0,51.0,12.0,75.0,34.0,14.0,36.0
4278,0.0,1.0,6.0,4.0,5.0,7.0,3.0,9.0,29.0,10.0,14.0,12.0,2.0,22.0,60.0,53.0,26.0,16.0,42.0,31.0,37.0,44.0,17.0,46.0,62.0,57.0,21.0,136.0,36.0,8.0
4327,0.0,1.0,3.0,21.0,27.0,45.0,2.0,6.0,5.0,9.0,11.0,23.0,17.0,26.0,55.0,37.0,29.0,7.0,18.0,30.0,19.0,4.0,24.0,46.0,22.0,33.0,91.0,103.0,32.0,90.0
4376,1.0,0.0,5.0,10.0,6.0,9.0,2.0,4.0,14.0,24.0,17.0,8.0,18.0,15.0,29.0,28.0,66.0,3.0,23.0,34.0,49.0,39.0,52.0,63.0,54.0,32.0,30.0,142.0,12.0,31.0
4425,0.0,1.0,27.0,2.0,5.0,46.0,26.0,11.0,14.0,13.0,112.0,241.0,6.0,16.0,4.0,7.0,8.0,30.0,55.0,64.0,47.0,32.0,73.0,39.0,3.0,19.0,76.0,28.0,52.0,36.0
4474,1.0,0.0,14.0,17.0,2.0,34.0,15.0,5.0,23.0,13.0,9.0,28.0,29.0,11.0,26.0,32.0,67.0,10.0,27.0,123.0,20.0,44.0,8.0,83.0,38.0,46.0,41.0,4.0,52.0,87.0
4523,0.0,1.0,26.0,2.0,11.0,4.0,95.0,16.0,107.0,15.0,40.0,146.0,3.0,14.0,37.0,18.0,17.0,42.0,10.0,65.0,21.0,182.0,27.0,33.0,30.0,5.0,7.0,49.0,46.0,47.0
4572,1.0,0.0,4.0,3.0,2.0,19.0,14.0,20.0,22.0,9.0,30.0,57.0,10.0,38.0,5.0,44.0,15.0,27.0,37.0,79.0,77.0,65.0,13.0,110.0,11.0,21.0,17.0,26.0,52.0,90.0
4621,1.0,0.0,23.0,2.0,9.0,19.0,33.0,6.0,14.0,3.0,18.0,76.0,26.0,34.0,13.0,15.0,40.0,4.0,7.0,78.0,49.0,131.0,35.0,28.0,5.0,52.0,8.0,74.0,11.0,77.0
4670,1.0,0.0,22.0,7.0,16.0,48.0,34.0,9.0,20.0,11.0,161.0,104.0,42.0,28.0,29.0,3.0,10.0,71.0,15.0,23.0,13.0,47.0,60.0,63.0,21.0,4.0,68.0,181.0,81.0,126.0
4719,0.0,1.0,8.0,2.0,17.0,4.0,23.0,6.0,14.0,5.0,12.0,62.0,36.0,30.0,7.0,24.0,16.0,32.0,19.0,111.0,28.0,29.0,60.0,73.0,15.0,3.0,40.0,98.0,25.0,69.0
4768,1.0,0.0,6.0,2.0,3.0,19.0,14.0,4.0,24.0,5.0,49.0,94.0,48.0,7.0,26.0,27.0,16.0,44.0,12.0,110.0,111.0,39.0,53.0,41.0,9.0,10.0,21.0,57.0,28.0,87.0
4817,1.0,0.0,35.0,2.0,7.0,3.0,12.0,4.0,51.0,5.0,29.0,44.0,26.0,24.0,16.0,113.0,40.0,55.0,31.0,90.0,42.0,59.0,54.0,65.0,41.0,8.0,57.0,23.0,32.0,78.0
4866,1.0,0.0,34.0,3.0,2.0,12.0,59.0,4.0,16.0,9.0,19.0,132.0,60.0,15.0,5.0,38.0,30.0,33.0,17.0,143.0,91.0,85.0,55.0,63.0,6.0,14.0,11.0,26.0,8.0,80.0
