,ZNF625,ZSCAN18,NDN,PDE10A,HS3ST3A1,BHLHE41,SNHG18,ZNF502,DACH1,CCND2,GREM1,LPHN2,ZNF334,TSPYL5,CCDC8,ALDH2,UBA6-AS1,AC073052.1,RPL39P6,UBA6,ZNF462,GRIN2A,EPB41L3,MDFI,HOXA11,CXADR,C17orf97,TESK2,SPRY1,XAF1
1675,3.0,7.0,1.0,15.0,0.0,6.0,8.0,142.0,2.0,10.0,112.0,5.0,39.0,16.0,2494.0,23.0,37.0,521.0,49.0,9.0,58.0,301.0,4.0,50.0,88.0,73.0,24.0,215.0,17.0,61.0
1724,11.0,6.0,13.0,1.0,0.0,32.0,7.0,97.0,2.0,24.0,261.0,12.0,8.0,14.0,1016.0,9.0,4.0,58.0,219.0,29.0,137.0,136.0,5.0,162.0,50.0,325.0,34.0,247.0,26.0,381.0
1773,6.0,2.0,0.0,5.0,1.0,12.0,8.0,146.0,3.0,7.0,52.0,19.0,17.0,64.0,867.0,9.0,31.0,116.0,353.0,55.0,367.0,123.0,4.0,107.0,62.0,95.0,36.0,99.0,11.0,214.0
1822,5.0,2.0,0.0,75.0,6.0,7.0,13.0,267.0,3.0,21.0,17.0,1.0,269.0,77.0,339.0,33.0,72.0,348.0,58.0,464.0,2867.0,156.0,10.0,4.0,16.0,357.0,20.0,54.0,12.0,843.0
1871,4.0,5.0,0.0,2.0,7.0,23.0,37.0,117.0,1.0,28.0,29.0,6.0,16.0,61.0,674.0,3.0,13.0,91.0,102.0,18.0,454.0,2190.0,11.0,36.0,10.0,187.0,120.0,113.0,15.0,80.0
1920,0.0,14.0,1.0,5.0,16.0,7.0,410.0,164.0,2.0,4.0,50.0,29.0,32.0,70.0,304.0,25.0,55.0,47.0,22.0,217.0,89.0,116.0,60.0,13.0,15.0,128.0,11.0,48.0,21.0,6.0
1969,12.0,20.0,1.0,0.0,48.0,5.0,4.0,92.0,59.0,64.0,11.0,98.0,185.0,13.0,53.0,87.0,45.0,157.0,36.0,65.0,49.0,6.0,23.0,130.0,7.0,83.0,2.0,653.0,88.0,242.0
2018,1.0,9.0,3.0,5.0,11.0,2.0,0.0,165.0,17.0,7.0,174.0,13.0,98.0,133.0,162.0,71.0,38.0,10.0,51.0,41.0,4.0,32.0,148.0,69.0,295.0,16.0,6.0,137.0,25.0,12.0
2067,2.0,6.0,8.0,0.0,12.0,3.0,7.0,5.0,10.0,9.0,50.0,4.0,47.0,119.0,40.0,51.0,42.0,25.0,21.0,97.0,1.0,32.0,11.0,45.0,65.0,20.0,22.0,79.0,27.0,59.0
2116,9.0,40.0,1.0,20.0,14.0,5.0,0.0,213.0,10.0,4.0,998.0,2.0,25.0,6.0,38.0,306.0,128.0,72.0,700.0,541.0,82.0,42.0,259.0,8.0,52.0,607.0,12.0,118.0,81.0,189.0
2165,5.0,14.0,4.0,0.0,16.0,11.0,1.0,8.0,41.0,3.0,223.0,48.0,114.0,28.0,120.0,25.0,39.0,98.0,13.0,29.0,9.0,10.0,20.0,43.0,27.0,19.0,49.0,350.0,56.0,12.0
2214,4.0,35.0,2.0,1.0,7.0,3.0,0.0,20.0,15.0,6.0,113.0,13.0,10.0,17.0,27.0,36.0,28.0,43.0,5.0,58.0,9.0,106.0,57.0,21.0,45.0,51.0,18.0,19.0,160.0,138.0
2263,2.0,5.0,17.0,3.0,4.0,1.0,0.0,63.0,8.0,11.0,106.0,32.0,113.0,69.0,182.0,43.0,61.0,78.0,12.0,59.0,25.0,7.0,39.0,19.0,174.0,26.0,9.0,217.0,30.0,21.0
2312,2.0,12.0,13.0,0.0,6.0,3.0,1.0,4.0,9.0,8.0,189.0,22.0,143.0,28.0,31.0,24.0,38.0,94.0,39.0,44.0,35.0,37.0,17.0,5.0,15.0,51.0,11.0,187.0,32.0,36.0
2361,3.0,5.0,2.0,0.0,13.0,6.0,1.0,7.0,9.0,4.0,180.0,83.0,17.0,35.0,23.0,269.0,15.0,199.0,62.0,10.0,20.0,36.0,14.0,212.0,16.0,8.0,90.0,291.0,92.0,44.0
2410,5.0,1.0,2.0,6.0,20.0,21.0,0.0,7.0,78.0,3.0,89.0,120.0,188.0,50.0,482.0,4.0,10.0,24.0,23.0,41.0,13.0,27.0,52.0,76.0,143.0,32.0,14.0,251.0,99.0,15.0
2459,4.0,3.0,0.0,7.0,2.0,5.0,334.0,1.0,45.0,16.0,6.0,15.0,52.0,30.0,110.0,13.0,28.0,83.0,12.0,14.0,94.0,63.0,80.0,105.0,49.0,32.0,71.0,92.0,27.0,299.0
2508,3.0,0.0,1.0,4.0,110.0,5.0,133.0,2.0,7.0,28.0,8.0,76.0,69.0,70.0,125.0,41.0,79.0,25.0,21.0,152.0,277.0,65.0,23.0,19.0,36.0,10.0,174.0,15.0,6.0,78.0
2557,0.0,4.0,2.0,3.0,10.0,6.0,9.0,1.0,18.0,33.0,5.0,14.0,82.0,64.0,20.0,68.0,368.0,80.0,16.0,231.0,52.0,15.0,51.0,31.0,155.0,11.0,17.0,41.0,32.0,162.0
2606,0.0,1.0,15.0,2.0,4.0,3.0,33.0,10.0,7.0,9.0,6.0,17.0,139.0,8.0,14.0,100.0,107.0,49.0,5.0,91.0,140.0,45.0,13.0,16.0,47.0,79.0,69.0,41.0,198.0,122.0
2655,1.0,0.0,2.0,15.0,4.0,5.0,6.0,3.0,7.0,12.0,13.0,8.0,34.0,61.0,18.0,39.0,118.0,98.0,38.0,80.0,16.0,81.0,21.0,42.0,29.0,31.0,51.0,14.0,22.0,25.0
2704,2.0,3.0,0.0,6.0,15.0,4.0,12.0,1.0,20.0,34.0,8.0,62.0,11.0,46.0,65.0,55.0,76.0,42.0,39.0,30.0,106.0,52.0,9.0,28.0,91.0,16.0,64.0,37.0,24.0,31.0
2753,2.0,1.0,0.0,4.0,6.0,8.0,24.0,3.0,12.0,163.0,7.0,19.0,84.0,150.0,20.0,9.0,80.0,119.0,60.0,47.0,374.0,32.0,5.0,15.0,21.0,16.0,67.0,13.0,17.0,22.0
2802,2.0,1.0,0.0,36.0,6.0,4.0,18.0,12.0,9.0,141.0,64.0,23.0,13.0,10.0,24.0,20.0,112.0,83.0,157.0,27.0,72.0,377.0,35.0,92.0,21.0,149.0,135.0,28.0,162.0,59.0
2851,4.0,0.0,17.0,10.0,27.0,18.0,51.0,1.0,23.0,7.0,3.0,38.0,5.0,41.0,198.0,35.0,208.0,34.0,16.0,431.0,12.0,82.0,6.0,32.0,244.0,13.0,2308.0,165.0,48.0,69.0
2900,0.0,12.0,34.0,10.0,8.0,5.0,23.0,4.0,1.0,24.0,15.0,16.0,29.0,2.0,39.0,57.0,152.0,64.0,17.0,33.0,268.0,1035.0,72.0,7.0,311.0,109.0,75.0,6.0,43.0,47.0
2949,0.0,3.0,1.0,2.0,4.0,11.0,10.0,230.0,50.0,249.0,34.0,45.0,876.0,243.0,55.0,13.0,26.0,31.0,14.0,48.0,30.0,32.0,110.0,39.0,44.0,164.0,74.0,61.0,147.0,289.0
2998,0.0,2.0,5.0,57.0,3.0,7.0,4.0,594.0,66.0,145.0,129.0,26.0,120.0,1.0,33.0,6.0,124.0,90.0,219.0,84.0,164.0,149.0,578.0,9.0,125.0,108.0,44.0,32.0,8.0,153.0
3047,1.0,4.0,3.0,2.0,34.0,9.0,0.0,8.0,49.0,27.0,30.0,65.0,7.0,1214.0,80.0,5.0,20.0,16.0,102.0,19.0,62.0,48.0,24.0,106.0,51.0,31.0,514.0,109.0,194.0,25.0
3096,1.0,30.0,0.0,10.0,2.0,3.0,13.0,578.0,51.0,421.0,17.0,27.0,73.0,5.0,18.0,6.0,25.0,119.0,100.0,19.0,196.0,252.0,34.0,65.0,9.0,191.0,144.0,53.0,28.0,966.0
3145,0.0,2.0,1.0,16.0,17.0,12.0,3.0,88.0,31.0,30.0,14.0,29.0,37.0,76.0,5.0,24.0,40.0,55.0,63.0,28.0,181.0,10.0,102.0,49.0,36.0,246.0,1383.0,56.0,7.0,178.0
3194,1.0,4.0,0.0,6.0,11.0,8.0,3.0,106.0,19.0,67.0,15.0,45.0,96.0,5.0,7.0,21.0,73.0,20.0,54.0,214.0,49.0,9.0,123.0,40.0,136.0,10.0,193.0,29.0,109.0,282.0
3243,4.0,3.0,2.0,10.0,0.0,34.0,18.0,294.0,27.0,15.0,63.0,29.0,189.0,16.0,11.0,5.0,19.0,82.0,25.0,37.0,9.0,24.0,85.0,7.0,33.0,175.0,1150.0,26.0,120.0,6.0
3292,3.0,1.0,0.0,13.0,2.0,10.0,12.0,61.0,27.0,29.0,48.0,37.0,88.0,5.0,44.0,4.0,11.0,78.0,24.0,8.0,45.0,19.0,157.0,6.0,1269.0,192.0,147.0,76.0,202.0,94.0
3341,1.0,4.0,2.0,6.0,0.0,14.0,3.0,147.0,35.0,26.0,7.0,113.0,95.0,29.0,11.0,40.0,25.0,33.0,12.0,58.0,9.0,18.0,119.0,17.0,43.0,8.0,1028.0,32.0,146.0,352.0
3390,3.0,53.0,1.0,2.0,13.0,6.0,0.0,98.0,138.0,14.0,126.0,10.0,48.0,134.0,7.0,17.0,25.0,19.0,75.0,9.0,12.0,285.0,51.0,4.0,15.0,54.0,628.0,69.0,205.0,46.0
3439,2.0,30.0,7.0,3.0,11.0,1.0,119.0,8.0,40.0,21.0,55.0,384.0,127.0,4.0,849.0,1236.0,157.0,105.0,9.0,445.0,181.0,158.0,380.0,13.0,136.0,135.0,1149.0,45.0,78.0,217.0
3488,0.0,10.0,13.0,3.0,2.0,1.0,41.0,8.0,111.0,7.0,4.0,11.0,369.0,9.0,286.0,524.0,231.0,91.0,45.0,298.0,81.0,320.0,35.0,62.0,450.0,18.0,383.0,23.0,52.0,122.0
3537,0.0,33.0,10.0,26.0,2.0,3.0,9.0,11.0,86.0,15.0,8.0,52.0,236.0,264.0,192.0,157.0,44.0,48.0,6.0,37.0,1.0,335.0,25.0,258.0,21.0,4.0,1904.0,84.0,117.0,127.0
3586,0.0,9.0,8.0,28.0,4.0,2.0,18.0,13.0,104.0,5.0,1.0,140.0,2432.0,172.0,32.0,363.0,324.0,78.0,6.0,828.0,333.0,109.0,256.0,21.0,20.0,41.0,76.0,12.0,161.0,369.0
3635,4.0,16.0,5.0,20.0,6.0,15.0,78.0,9.0,140.0,163.0,0.0,25.0,1692.0,2.0,109.0,101.0,216.0,52.0,3.0,674.0,134.0,157.0,641.0,195.0,247.0,317.0,323.0,23.0,39.0,205.0
3684,7.0,84.0,192.0,39.0,15.0,3.0,62.0,2.0,72.0,1.0,0.0,24.0,496.0,6.0,830.0,108.0,66.0,110.0,5.0,282.0,73.0,306.0,58.0,50.0,401.0,60.0,654.0,20.0,68.0,97.0
3733,1.0,23.0,20.0,3.0,2.0,7.0,83.0,11.0,151.0,5.0,0.0,206.0,1837.0,35.0,241.0,282.0,56.0,157.0,6.0,126.0,144.0,265.0,406.0,24.0,18.0,64.0,1041.0,16.0,84.0,404.0
3782,3.0,11.0,4.0,6.0,31.0,7.0,821.0,2.0,74.0,22.0,1.0,201.0,305.0,41.0,220.0,334.0,678.0,14.0,13.0,2475.0,19.0,69.0,150.0,17.0,378.0,224.0,148.0,38.0,418.0,292.0
3831,1.0,3.0,36.0,300.0,14.0,4.0,9.0,0.0,41.0,15.0,6.0,125.0,251.0,11.0,285.0,227.0,119.0,68.0,10.0,247.0,176.0,82.0,320.0,28.0,170.0,89.0,818.0,8.0,22.0,45.0
3880,3.0,46.0,2.0,40.0,497.0,0.0,26.0,9.0,169.0,5.0,11.0,70.0,142.0,121.0,29.0,523.0,187.0,126.0,7.0,505.0,20.0,4315.0,473.0,55.0,52.0,3324.0,202.0,4.0,73.0,77.0
