,CDC73_DEL,LPA_AMP,TTTY22_DEL,SMARCA2_DEL,USP32P1_AMP,FAM106CP_AMP,CCDC144A_AMP,MRGPRX1_DEL,ASAH2_DEL,PCCB_DEL,KRT16P2_AMP,LOC649352_DEL,SLC25A37_AMP,LGALS9C_DEL,CCDC144B_DEL,UGT2B17_DEL,LRRC37A2_AMP,SETMAR_DEL,USP32P2_DEL,BRAF_MUT,NSF_AMP,ARL17B_AMP,TMEM132D_DEL,LAMA1_MUT,GALNTL6_DEL,POLR2J3_DEL,ARHGAP22_DEL,TTTY16_DEL,TTTY12_DEL,ACOT1_AMP
2579,0.0,4.0,1.0,9.0,6.0,31.0,30.0,3.0,60.0,104.0,260.0,16.0,11.0,36.0,34.0,7111.0,5.0,171.0,56.0,29.0,10.0,8.0,58.0,55.0,38.0,74.0,199.0,138.0,139.0,57.0
2628,1.0,0.0,4.0,2.0,38.0,36.0,37.0,10.0,98.0,112.0,523.0,7.0,11.0,54.0,12.0,22.0,5.0,9.0,128.0,111.0,3.0,23.0,439.0,219.0,6.0,53.0,1871.0,73.0,74.0,84.0
2677,0.0,1.0,9.0,2.0,12.0,34.0,35.0,6.0,40.0,71.0,166.0,17.0,3.0,4.0,10.0,174.0,49.0,20.0,23.0,30.0,94.0,277.0,1955.0,26.0,22.0,223.0,7488.0,61.0,62.0,65.0
2726,0.0,15.0,5.0,2.0,10.0,24.0,23.0,14.0,153.0,84.0,32.0,13.0,28.0,38.0,219.0,36.0,16.0,12.0,530.0,1723.0,19.0,35.0,528.0,64.0,30.0,335.0,295.0,132.0,131.0,11.0
2775,0.0,14.0,17.0,4.0,33.0,98.0,97.0,1.0,665.0,129.0,36.0,27.0,8.0,2.0,3.0,109.0,12.0,13.0,9.0,30.0,23.0,161.0,274.0,43.0,5.0,172.0,2350.0,329.0,320.0,28.0
2824,1.0,34.0,5.0,0.0,4.0,12.0,11.0,36.0,46.0,1653.0,13.0,65.0,98.0,3.0,41.0,819.0,6.0,23.0,8.0,123.0,17.0,40.0,33.0,21.0,2.0,162.0,158.0,205.0,204.0,14.0
2873,0.0,55.0,1.0,9.0,11.0,33.0,32.0,31.0,2.0,75.0,48.0,17.0,18.0,8.0,14.0,7.0,73.0,23.0,22.0,54.0,100.0,70.0,1775.0,173.0,12.0,72.0,2377.0,68.0,66.0,50.0
2922,1.0,2.0,11.0,4.0,36.0,96.0,95.0,9.0,20.0,120.0,114.0,43.0,10.0,12.0,14.0,385.0,3.0,32.0,35.0,27.0,7.0,17.0,116.0,33.0,16.0,168.0,10917.0,121.0,122.0,18.0
2971,1.0,26.0,0.0,4.0,7.0,6.0,8.0,34.0,185.0,78.0,12.0,10.0,87.0,51.0,15.0,66.0,37.0,11.0,62.0,29.0,45.0,280.0,56.0,179.0,60.0,27.0,95.0,24.0,23.0,129.0
3020,1.0,0.0,3.0,2.0,9.0,15.0,16.0,8.0,5.0,25.0,308.0,20.0,4.0,1762.0,55.0,6.0,72.0,18.0,6540.0,230.0,66.0,43.0,89.0,111.0,62.0,33.0,2514.0,30.0,29.0,127.0
3069,0.0,1.0,4.0,14.0,6.0,15.0,16.0,18.0,23.0,8.0,21.0,10.0,125.0,1885.0,1834.0,3.0,9.0,7.0,6404.0,42.0,13.0,69.0,715.0,28.0,12.0,85.0,173.0,63.0,62.0,261.0
3118,0.0,9.0,1.0,2.0,8.0,19.0,20.0,5.0,4.0,98.0,47.0,111.0,163.0,248.0,88.0,268.0,18.0,48.0,209.0,53.0,26.0,74.0,78.0,13.0,39.0,167.0,259.0,43.0,44.0,186.0
3167,3.0,11.0,0.0,2.0,4.0,6.0,7.0,12.0,5.0,52.0,23.0,20.0,37.0,269.0,136.0,26.0,29.0,15.0,622.0,21.0,43.0,27.0,13.0,22.0,38.0,40.0,127.0,48.0,47.0,709.0
3216,0.0,3.0,4.0,1.0,9.0,17.0,16.0,14.0,11655.0,77.0,35.0,13.0,5.0,806.0,125.0,8.0,39.0,42.0,1738.0,90.0,46.0,36.0,170.0,179.0,44.0,30.0,100.0,49.0,47.0,340.0
3265,0.0,1.0,12.0,2.0,4.0,8.0,9.0,10.0,490.0,227.0,41.0,3.0,14.0,5.0,18.0,6.0,30.0,21.0,16.0,57.0,34.0,40.0,144.0,31.0,1538.0,22.0,93.0,25.0,24.0,263.0
3314,0.0,6.0,3.0,1.0,5.0,8.0,9.0,2.0,29.0,31.0,19.0,4.0,35.0,263.0,950.0,42.0,18.0,14.0,528.0,215.0,21.0,39.0,157.0,16.0,65.0,186.0,28.0,23.0,22.0,128.0
3363,4.0,2.0,0.0,1.0,6.0,13.0,12.0,7.0,15.0,5.0,22.0,8.0,176.0,166.0,82.0,68.0,27.0,28.0,286.0,31.0,35.0,47.0,245.0,57.0,3.0,11435.0,1842.0,60.0,62.0,58.0
3412,2.0,0.0,3.0,1.0,6.0,19.0,18.0,38.0,7.0,10.0,24.0,12.0,59.0,28.0,5.0,26.0,48.0,11.0,17.0,37.0,31.0,134.0,91.0,71.0,16.0,152.0,188.0,109.0,110.0,20178.0
3461,8.0,3.0,5.0,4.0,0.0,2.0,1.0,11.0,18.0,9.0,10.0,101.0,21.0,32.0,14.0,56.0,52.0,97.0,28.0,169.0,44.0,12.0,1331.0,91.0,48.0,49.0,111.0,25.0,24.0,83.0
3510,5.0,0.0,8.0,4.0,1.0,2.0,3.0,6.0,7.0,24.0,9.0,148.0,16.0,67.0,21.0,14.0,1560.0,57.0,224.0,546.0,2282.0,40.0,749.0,65.0,92.0,133.0,33.0,31.0,29.0,12.0
3559,11.0,0.0,10.0,4.0,1.0,2.0,3.0,6.0,41.0,8.0,9.0,54.0,35.0,269.0,31.0,27.0,90.0,337.0,634.0,12.0,102.0,57.0,13.0,24.0,52.0,53.0,79.0,29.0,30.0,222.0
3608,6.0,5.0,7.0,2.0,0.0,3.0,4.0,22.0,1.0,12.0,13.0,91.0,34.0,67.0,15.0,30.0,509.0,174.0,304.0,48.0,686.0,57.0,45.0,33.0,14.0,101.0,119.0,17.0,18.0,118.0
3657,6.0,0.0,5.0,1.0,4.0,2.0,3.0,14.0,28.0,7.0,18.0,221.0,255.0,246.0,10.0,11.0,50.0,160.0,402.0,24.0,63.0,156.0,153.0,16.0,61.0,267.0,13.0,19.0,21.0,38.0
3706,4.0,1.0,6.0,5.0,0.0,3.0,2.0,7.0,14.0,8.0,11.0,490.0,82.0,70.0,16.0,28.0,45.0,79.0,65.0,131.0,61.0,30.0,15.0,22.0,58.0,80.0,40.0,47.0,46.0,50.0
3755,11.0,0.0,10.0,4.0,1.0,3.0,2.0,32.0,21.0,7.0,19.0,1860.0,17.0,41.0,5.0,6.0,59.0,473.0,131.0,35.0,91.0,13.0,31.0,58.0,44.0,71.0,268.0,87.0,89.0,324.0
3804,4.0,0.0,7.0,6.0,1.0,2.0,3.0,5.0,13.0,11.0,9.0,2063.0,105.0,17.0,22.0,135.0,84.0,101.0,39.0,29.0,118.0,314.0,21.0,28.0,8.0,151.0,49.0,27.0,25.0,32.0
3853,3.0,2.0,10.0,0.0,1.0,5.0,4.0,15.0,8.0,12.0,23.0,153.0,56.0,18.0,7.0,22.0,60.0,100.0,25.0,24.0,73.0,43.0,19.0,16.0,32.0,47.0,21.0,37.0,39.0,122.0
3902,1.0,0.0,5.0,4.0,2.0,6.0,7.0,13.0,9.0,27.0,23.0,472.0,247.0,37.0,3.0,74.0,16.0,158.0,65.0,62.0,25.0,8.0,50.0,155.0,115.0,1728.0,20.0,43.0,42.0,512.0
3951,7.0,8.0,12.0,3.0,0.0,4.0,5.0,35.0,1.0,23.0,9.0,366.0,70.0,18.0,13.0,130.0,34.0,14.0,21.0,198.0,40.0,268.0,469.0,26.0,2.0,132.0,19.0,172.0,171.0,6.0
4000,1.0,4.0,17.0,2.0,7.0,8.0,9.0,157.0,0.0,3.0,90.0,45.0,21.0,55.0,60.0,11.0,13.0,44.0,74.0,65.0,16.0,123.0,573.0,14.0,6.0,22.0,18.0,407.0,406.0,20.0
4049,14.0,0.0,26.0,6.0,2.0,4.0,3.0,49.0,1.0,5.0,22.0,99.0,60.0,42.0,10.0,71.0,62.0,20.0,46.0,84.0,98.0,81.0,1480.0,24.0,8.0,128.0,15.0,251.0,250.0,18.0
4098,1.0,2.0,18.0,3.0,7.0,17.0,16.0,37.0,0.0,10.0,33.0,114.0,11.0,41.0,97.0,4.0,13.0,34.0,626.0,145.0,19.0,35.0,165.0,164.0,5.0,108.0,21.0,208.0,209.0,23.0
4147,4.0,5.0,7.0,12.0,2.0,11.0,10.0,32.0,1.0,9.0,14.0,206.0,0.0,15.0,8.0,134.0,114.0,53.0,24.0,33.0,131.0,14572.0,316.0,20.0,13.0,62.0,6.0,357.0,358.0,19.0
4196,0.0,1.0,8.0,4.0,3.0,6.0,5.0,60.0,13.0,20.0,7.0,52.0,10.0,21.0,40.0,133.0,17.0,25.0,22.0,134.0,24.0,63.0,81.0,35.0,2.0,29.0,12.0,110.0,112.0,15.0
4245,21.0,0.0,13.0,19.0,1.0,3.0,2.0,14.0,8.0,12.0,20.0,167.0,27.0,25.0,83.0,26.0,31.0,37.0,22.0,151.0,23.0,69.0,3055.0,38.0,18.0,7.0,5.0,375.0,374.0,17.0
4294,7.0,3.0,10.0,4.0,1.0,5.0,6.0,32.0,0.0,12.0,28.0,131.0,13.0,11.0,15.0,24.0,43.0,33.0,17.0,527.0,55.0,98.0,702.0,126.0,2.0,31.0,22.0,202.0,200.0,19.0
4343,9.0,0.0,18.0,15.0,4.0,8.0,7.0,11.0,1.0,3.0,19.0,90.0,66.0,37.0,21.0,5.0,60.0,49.0,30.0,26.0,85.0,95.0,326.0,84.0,6.0,23.0,33.0,2331.0,2335.0,94.0
4392,8.0,15.0,12.0,1.0,2.0,7.0,6.0,59.0,9.0,14.0,17.0,51.0,11.0,592.0,277.0,3.0,28.0,164.0,652.0,1795.0,40.0,56.0,1222.0,19.0,13.0,35.0,20.0,347.0,345.0,55.0
4441,9.0,343.0,1.0,8.0,5.0,17.0,16.0,6.0,0.0,70.0,22.0,21.0,1645.0,103.0,45.0,11.0,37.0,14.0,6449.0,344.0,39.0,3.0,20.0,10.0,9976.0,634.0,41.0,87.0,86.0,152.0
4490,9.0,32.0,0.0,3.0,16.0,41.0,42.0,8.0,2.0,147.0,110.0,56.0,34.0,69.0,962.0,14.0,23.0,15.0,1073.0,40.0,31.0,19.0,17.0,7.0,10454.0,20.0,200.0,47.0,45.0,124.0
4539,2.0,30.0,0.0,4.0,5.0,6.0,7.0,14.0,1.0,25.0,19.0,202.0,2202.0,16.0,81.0,416.0,163.0,56.0,103.0,10.0,94.0,119.0,9.0,32.0,10643.0,27.0,847.0,37.0,35.0,520.0
4588,2.0,1.0,3.0,5.0,4.0,8.0,9.0,19.0,0.0,370.0,20.0,50.0,480.0,13.0,10.0,23.0,723.0,21.0,37.0,112.0,1244.0,44.0,132.0,56.0,1044.0,43.0,714.0,33.0,35.0,82.0
4637,1.0,63.0,0.0,6.0,5.0,16.0,17.0,14.0,2.0,150.0,3.0,106.0,52.0,4.0,61.0,38.0,39.0,12.0,77.0,25.0,49.0,8.0,829.0,21.0,163.0,46.0,248.0,43.0,41.0,419.0
4686,4.0,31.0,0.0,19.0,2.0,11.0,12.0,52.0,3.0,765.0,5.0,1480.0,41.0,1.0,26.0,75.0,18.0,14.0,42.0,32.0,20.0,13.0,71.0,278.0,10578.0,30.0,834.0,56.0,55.0,40.0
4735,7.0,6.0,4.0,10.0,8.0,14.0,13.0,20.0,3.0,248.0,9.0,42.0,33.0,28.0,147.0,1.0,598.0,15.0,120.0,134.0,801.0,104.0,334.0,64.0,10726.0,51.0,153.0,188.0,186.0,121.0
4784,4.0,135.0,0.0,1.0,7.0,18.0,17.0,6.0,37.0,356.0,38.0,24.0,2.0,33.0,70.0,46.0,66.0,136.0,1015.0,8.0,94.0,11.0,34.0,10.0,22176.0,101.0,219.0,86.0,84.0,50.0
4833,3.0,7.0,0.0,4.0,6.0,13.0,12.0,5.0,2.0,908.0,8.0,35.0,111.0,1.0,29.0,132.0,14273.0,16.0,14.0,127.0,14387.0,173.0,24.0,211.0,10755.0,56.0,987.0,26.0,28.0,22.0
4882,1.0,16.0,0.0,10.0,2.0,7.0,8.0,32.0,4.0,114.0,11.0,108.0,38.0,5.0,98.0,6.0,46.0,18.0,33.0,43.0,99.0,15.0,26.0,76.0,10575.0,27.0,104.0,37.0,36.0,355.0
