,hsa-miR-205,hsa-miR-216a,hsa-miR-99a,hsa-miR-200a,hsa-miR-934,hsa-miR-140-5p,hsa-miR-409-3p,hsa-miR-1266,hsa-miR-9,hsa-miR-299-5p,hsa-miR-136,hsa-let-7e,hsa-miR-329,hsa-miR-199b-5p,hsa-miR-296-5p,hsa-miR-137,hsa-miR-214,hsa-miR-29c,hsv1-miR-H8,hsa-miR-1469,hsa-miR-10a,hsa-miR-24,hsa-miR-148a,hsa-miR-654-3p,hsa-miR-340,hsa-miR-223,hsa-miR-30e,hsa-miR-154,hsa-miR-219-2-3p,hsa-miR-1302
508,0.0,1.0,5.0,3.0,16.0,6.0,11.0,27.0,50.0,92.0,2.0,7.0,13.0,48.0,24.0,4.0,108.0,9.0,10.0,18.0,30.0,143.0,246.0,32.0,612.0,25.0,125.0,298.0,37.0,226.0
557,0.0,1.0,2.0,4.0,9.0,7.0,14.0,16.0,26.0,17.0,3.0,13.0,21.0,24.0,39.0,8.0,11.0,10.0,18.0,5.0,23.0,22.0,6.0,33.0,35.0,12.0,207.0,70.0,205.0,153.0
606,0.0,1.0,3.0,4.0,5.0,2.0,13.0,7.0,62.0,6.0,10.0,11.0,12.0,14.0,147.0,8.0,16.0,9.0,256.0,23.0,22.0,145.0,50.0,353.0,388.0,162.0,168.0,15.0,118.0,97.0
655,0.0,1.0,2.0,3.0,6.0,5.0,16.0,17.0,50.0,10.0,7.0,18.0,85.0,20.0,114.0,4.0,12.0,15.0,19.0,14.0,29.0,134.0,8.0,24.0,35.0,87.0,145.0,23.0,95.0,27.0
704,1.0,0.0,2.0,7.0,24.0,4.0,8.0,42.0,18.0,12.0,3.0,64.0,9.0,23.0,83.0,6.0,5.0,11.0,21.0,17.0,136.0,148.0,130.0,437.0,53.0,149.0,261.0,43.0,47.0,365.0
753,0.0,1.0,6.0,2.0,15.0,4.0,13.0,7.0,28.0,14.0,3.0,18.0,81.0,12.0,21.0,17.0,5.0,26.0,31.0,8.0,25.0,225.0,40.0,37.0,120.0,352.0,294.0,45.0,16.0,259.0
802,0.0,1.0,2.0,6.0,31.0,3.0,7.0,9.0,44.0,28.0,4.0,40.0,29.0,14.0,34.0,5.0,17.0,65.0,11.0,27.0,24.0,55.0,22.0,20.0,127.0,237.0,471.0,13.0,335.0,43.0
851,0.0,1.0,2.0,4.0,129.0,8.0,14.0,9.0,371.0,18.0,5.0,6.0,16.0,13.0,68.0,3.0,22.0,7.0,35.0,25.0,24.0,38.0,47.0,191.0,45.0,37.0,291.0,52.0,104.0,34.0
900,0.0,1.0,4.0,3.0,8.0,2.0,13.0,16.0,92.0,12.0,10.0,18.0,6.0,42.0,281.0,66.0,5.0,7.0,54.0,11.0,105.0,67.0,204.0,19.0,119.0,23.0,56.0,35.0,223.0,170.0
949,0.0,1.0,3.0,11.0,17.0,7.0,8.0,14.0,433.0,9.0,12.0,31.0,22.0,5.0,19.0,21.0,20.0,10.0,2.0,87.0,6.0,369.0,4.0,139.0,89.0,48.0,60.0,119.0,24.0,32.0
998,0.0,1.0,18.0,14.0,7.0,30.0,3.0,10.0,12.0,6.0,44.0,234.0,4.0,2.0,20.0,157.0,5.0,19.0,21.0,102.0,23.0,286.0,147.0,81.0,192.0,439.0,50.0,238.0,56.0,52.0
1047,0.0,1.0,9.0,10.0,2.0,6.0,4.0,41.0,7.0,3.0,28.0,14.0,39.0,5.0,54.0,78.0,23.0,19.0,224.0,8.0,210.0,15.0,12.0,16.0,60.0,63.0,92.0,366.0,35.0,387.0
1096,0.0,1.0,2.0,5.0,18.0,13.0,7.0,33.0,3.0,11.0,392.0,122.0,221.0,4.0,34.0,6.0,69.0,77.0,15.0,9.0,346.0,83.0,16.0,340.0,26.0,52.0,223.0,148.0,27.0,254.0
1145,0.0,1.0,2.0,18.0,13.0,109.0,7.0,17.0,22.0,9.0,195.0,52.0,5.0,4.0,136.0,50.0,16.0,8.0,62.0,14.0,20.0,37.0,27.0,26.0,3.0,33.0,85.0,12.0,82.0,485.0
1194,0.0,1.0,2.0,3.0,163.0,11.0,35.0,19.0,14.0,37.0,78.0,5.0,8.0,7.0,20.0,6.0,124.0,30.0,86.0,72.0,36.0,321.0,114.0,151.0,39.0,412.0,90.0,29.0,24.0,284.0
1243,0.0,1.0,51.0,8.0,193.0,3.0,13.0,11.0,15.0,19.0,28.0,6.0,5.0,2.0,300.0,89.0,36.0,107.0,29.0,12.0,21.0,4.0,16.0,7.0,10.0,43.0,79.0,172.0,45.0,143.0
1292,0.0,1.0,4.0,63.0,23.0,3.0,5.0,9.0,10.0,7.0,12.0,201.0,16.0,11.0,6.0,127.0,82.0,91.0,417.0,2.0,25.0,31.0,146.0,47.0,33.0,175.0,164.0,21.0,18.0,19.0
1341,0.0,1.0,2.0,4.0,10.0,3.0,11.0,8.0,55.0,45.0,317.0,62.0,5.0,9.0,16.0,104.0,96.0,256.0,42.0,14.0,44.0,73.0,154.0,91.0,23.0,6.0,39.0,56.0,29.0,432.0
1390,0.0,1.0,4.0,3.0,12.0,5.0,19.0,70.0,14.0,15.0,11.0,60.0,2.0,9.0,10.0,8.0,139.0,13.0,199.0,157.0,17.0,110.0,140.0,6.0,187.0,25.0,142.0,236.0,64.0,386.0
1439,0.0,1.0,4.0,6.0,7.0,20.0,5.0,19.0,21.0,3.0,10.0,81.0,9.0,16.0,25.0,27.0,2.0,67.0,168.0,43.0,29.0,15.0,32.0,47.0,41.0,68.0,48.0,14.0,22.0,254.0
1488,0.0,1.0,6.0,5.0,2.0,10.0,14.0,28.0,95.0,12.0,33.0,263.0,48.0,59.0,8.0,31.0,4.0,22.0,17.0,286.0,16.0,43.0,20.0,538.0,229.0,3.0,15.0,7.0,26.0,19.0
1537,0.0,1.0,3.0,6.0,17.0,4.0,447.0,11.0,27.0,15.0,8.0,7.0,128.0,22.0,46.0,79.0,10.0,127.0,317.0,167.0,38.0,9.0,16.0,29.0,147.0,2.0,75.0,171.0,20.0,211.0
1586,0.0,1.0,8.0,4.0,16.0,10.0,30.0,9.0,7.0,5.0,76.0,13.0,6.0,276.0,2.0,20.0,158.0,27.0,19.0,133.0,18.0,213.0,308.0,23.0,63.0,3.0,434.0,32.0,17.0,88.0
1635,0.0,1.0,2.0,3.0,18.0,12.0,53.0,22.0,4.0,8.0,6.0,74.0,109.0,76.0,7.0,142.0,11.0,25.0,13.0,94.0,70.0,28.0,45.0,198.0,23.0,5.0,254.0,96.0,44.0,102.0
1684,0.0,1.0,3.0,5.0,14.0,72.0,55.0,4.0,11.0,18.0,8.0,6.0,57.0,149.0,19.0,339.0,29.0,22.0,68.0,169.0,16.0,9.0,23.0,10.0,35.0,2.0,190.0,70.0,7.0,30.0
1733,0.0,1.0,2.0,3.0,5.0,15.0,9.0,7.0,16.0,14.0,13.0,20.0,25.0,46.0,6.0,12.0,4.0,398.0,51.0,111.0,38.0,302.0,88.0,21.0,8.0,10.0,44.0,370.0,43.0,177.0
1782,0.0,1.0,2.0,3.0,25.0,9.0,21.0,6.0,15.0,5.0,142.0,14.0,17.0,29.0,13.0,104.0,4.0,95.0,18.0,99.0,26.0,159.0,12.0,87.0,20.0,7.0,93.0,10.0,16.0,11.0
1831,0.0,1.0,2.0,5.0,69.0,4.0,23.0,19.0,31.0,6.0,20.0,45.0,101.0,104.0,21.0,17.0,16.0,263.0,9.0,449.0,72.0,63.0,15.0,12.0,18.0,3.0,10.0,76.0,7.0,57.0
1880,0.0,1.0,2.0,4.0,12.0,9.0,8.0,5.0,10.0,3.0,51.0,63.0,23.0,15.0,35.0,30.0,19.0,48.0,14.0,16.0,33.0,229.0,7.0,112.0,13.0,17.0,213.0,6.0,76.0,62.0
1929,0.0,1.0,3.0,2.0,16.0,20.0,21.0,10.0,23.0,4.0,9.0,8.0,31.0,12.0,88.0,5.0,27.0,26.0,14.0,157.0,129.0,92.0,19.0,147.0,11.0,15.0,314.0,58.0,68.0,253.0
1978,1.0,0.0,60.0,4.0,6.0,17.0,10.0,16.0,21.0,25.0,127.0,5.0,33.0,53.0,81.0,3.0,222.0,9.0,7.0,15.0,8.0,24.0,66.0,295.0,63.0,168.0,94.0,96.0,226.0,12.0
2027,1.0,0.0,5.0,2.0,6.0,20.0,3.0,22.0,9.0,4.0,132.0,11.0,72.0,14.0,17.0,35.0,150.0,23.0,42.0,7.0,13.0,10.0,32.0,220.0,173.0,21.0,50.0,8.0,402.0,91.0
2076,1.0,0.0,2.0,13.0,60.0,82.0,11.0,6.0,3.0,8.0,100.0,49.0,25.0,14.0,121.0,4.0,36.0,72.0,53.0,5.0,55.0,70.0,15.0,308.0,18.0,31.0,10.0,24.0,32.0,189.0
2125,1.0,0.0,3.0,2.0,6.0,7.0,75.0,109.0,71.0,10.0,79.0,5.0,114.0,29.0,343.0,8.0,63.0,4.0,20.0,38.0,9.0,24.0,12.0,64.0,155.0,55.0,52.0,202.0,51.0,14.0
2174,1.0,0.0,3.0,6.0,18.0,352.0,13.0,8.0,12.0,2.0,30.0,4.0,14.0,164.0,163.0,17.0,47.0,201.0,58.0,65.0,20.0,7.0,85.0,29.0,178.0,84.0,5.0,37.0,337.0,57.0
2223,0.0,1.0,3.0,2.0,34.0,26.0,5.0,36.0,11.0,8.0,40.0,43.0,64.0,56.0,13.0,7.0,365.0,90.0,58.0,25.0,6.0,4.0,24.0,23.0,41.0,22.0,10.0,16.0,67.0,21.0
2272,1.0,0.0,2.0,4.0,39.0,50.0,10.0,3.0,11.0,6.0,15.0,7.0,63.0,13.0,20.0,5.0,281.0,16.0,8.0,21.0,12.0,38.0,25.0,47.0,143.0,79.0,27.0,51.0,186.0,118.0
2321,1.0,0.0,2.0,15.0,62.0,5.0,14.0,18.0,68.0,4.0,66.0,12.0,142.0,11.0,56.0,7.0,153.0,10.0,71.0,24.0,19.0,172.0,16.0,21.0,50.0,48.0,6.0,97.0,183.0,106.0
2370,0.0,1.0,5.0,2.0,10.0,17.0,8.0,6.0,47.0,7.0,182.0,27.0,26.0,41.0,9.0,3.0,64.0,147.0,168.0,46.0,70.0,37.0,134.0,20.0,72.0,22.0,4.0,100.0,52.0,79.0
2419,1.0,0.0,6.0,9.0,28.0,2.0,46.0,15.0,25.0,4.0,128.0,3.0,7.0,14.0,24.0,18.0,124.0,65.0,50.0,16.0,70.0,5.0,8.0,86.0,59.0,166.0,13.0,47.0,515.0,27.0
2468,0.0,1.0,9.0,4.0,2.0,8.0,57.0,3.0,29.0,23.0,7.0,10.0,5.0,39.0,25.0,196.0,36.0,70.0,307.0,183.0,12.0,34.0,30.0,16.0,6.0,21.0,28.0,273.0,313.0,99.0
2517,0.0,1.0,4.0,6.0,3.0,7.0,21.0,2.0,60.0,86.0,19.0,12.0,8.0,18.0,17.0,16.0,69.0,14.0,37.0,15.0,35.0,28.0,5.0,167.0,10.0,199.0,9.0,82.0,56.0,100.0
2566,0.0,1.0,4.0,23.0,2.0,11.0,14.0,3.0,10.0,31.0,213.0,9.0,8.0,15.0,6.0,37.0,17.0,188.0,18.0,7.0,81.0,13.0,12.0,25.0,21.0,16.0,19.0,200.0,136.0,51.0
2615,0.0,1.0,2.0,11.0,4.0,21.0,22.0,5.0,3.0,12.0,32.0,7.0,10.0,359.0,86.0,56.0,41.0,18.0,121.0,19.0,14.0,9.0,8.0,55.0,16.0,352.0,59.0,64.0,70.0,40.0
2664,0.0,1.0,17.0,9.0,369.0,162.0,31.0,18.0,5.0,62.0,2.0,45.0,21.0,199.0,6.0,61.0,48.0,104.0,263.0,536.0,8.0,38.0,27.0,99.0,3.0,133.0,11.0,439.0,166.0,35.0
2713,0.0,1.0,7.0,2.0,3.0,30.0,5.0,22.0,4.0,23.0,10.0,63.0,8.0,38.0,15.0,178.0,21.0,11.0,139.0,41.0,48.0,24.0,90.0,52.0,71.0,18.0,12.0,487.0,285.0,138.0
2762,0.0,1.0,29.0,4.0,8.0,10.0,26.0,3.0,30.0,76.0,24.0,20.0,5.0,371.0,64.0,93.0,17.0,14.0,108.0,82.0,15.0,2.0,11.0,18.0,7.0,66.0,19.0,237.0,53.0,45.0
2811,0.0,1.0,3.0,8.0,26.0,114.0,25.0,13.0,2.0,7.0,27.0,36.0,11.0,106.0,23.0,146.0,65.0,280.0,101.0,138.0,121.0,12.0,17.0,9.0,4.0,5.0,18.0,129.0,545.0,264.0
2860,0.0,1.0,56.0,5.0,6.0,22.0,17.0,2.0,7.0,27.0,30.0,10.0,11.0,125.0,15.0,81.0,24.0,101.0,224.0,253.0,3.0,4.0,18.0,12.0,21.0,16.0,61.0,556.0,170.0,58.0
2909,0.0,1.0,31.0,3.0,2.0,6.0,35.0,16.0,12.0,14.0,4.0,17.0,5.0,75.0,47.0,205.0,88.0,7.0,65.0,43.0,13.0,112.0,15.0,19.0,9.0,32.0,56.0,37.0,125.0,11.0
2958,1.0,0.0,6.0,2.0,3.0,5.0,4.0,19.0,61.0,9.0,35.0,56.0,22.0,11.0,10.0,16.0,26.0,70.0,32.0,23.0,93.0,17.0,190.0,126.0,184.0,196.0,27.0,83.0,33.0,20.0
3007,0.0,1.0,7.0,9.0,4.0,3.0,12.0,40.0,11.0,32.0,60.0,146.0,24.0,375.0,19.0,2.0,607.0,42.0,29.0,33.0,302.0,68.0,18.0,343.0,225.0,74.0,16.0,75.0,13.0,31.0
3056,0.0,1.0,2.0,24.0,3.0,6.0,5.0,11.0,4.0,9.0,18.0,21.0,180.0,43.0,10.0,8.0,40.0,168.0,48.0,14.0,29.0,37.0,58.0,397.0,101.0,86.0,23.0,74.0,150.0,22.0
3105,0.0,1.0,20.0,2.0,3.0,19.0,7.0,6.0,11.0,8.0,44.0,41.0,29.0,21.0,210.0,10.0,12.0,66.0,39.0,4.0,14.0,86.0,46.0,45.0,84.0,5.0,23.0,24.0,151.0,52.0
3154,0.0,1.0,3.0,4.0,2.0,9.0,8.0,5.0,7.0,23.0,64.0,6.0,15.0,328.0,21.0,12.0,18.0,67.0,66.0,376.0,74.0,28.0,89.0,10.0,208.0,50.0,342.0,19.0,17.0,20.0
3203,0.0,1.0,8.0,58.0,4.0,2.0,5.0,88.0,13.0,7.0,10.0,90.0,45.0,42.0,19.0,3.0,23.0,43.0,17.0,37.0,40.0,217.0,9.0,21.0,203.0,27.0,31.0,28.0,14.0,11.0
3252,1.0,0.0,21.0,18.0,2.0,5.0,7.0,143.0,8.0,4.0,105.0,13.0,52.0,48.0,32.0,33.0,90.0,49.0,22.0,24.0,70.0,41.0,17.0,19.0,103.0,16.0,6.0,176.0,56.0,9.0
3301,1.0,0.0,18.0,3.0,9.0,25.0,5.0,11.0,48.0,32.0,20.0,14.0,6.0,269.0,15.0,4.0,386.0,69.0,29.0,36.0,2.0,10.0,124.0,35.0,7.0,247.0,19.0,23.0,27.0,16.0
3350,1.0,0.0,3.0,9.0,11.0,10.0,2.0,13.0,4.0,7.0,62.0,15.0,54.0,170.0,22.0,210.0,21.0,20.0,261.0,382.0,16.0,256.0,53.0,56.0,105.0,5.0,42.0,28.0,19.0,8.0
3399,0.0,1.0,13.0,58.0,2.0,6.0,4.0,5.0,3.0,14.0,15.0,459.0,241.0,238.0,11.0,32.0,194.0,40.0,63.0,338.0,18.0,43.0,8.0,29.0,297.0,17.0,19.0,20.0,91.0,7.0
3448,0.0,1.0,2.0,43.0,24.0,41.0,6.0,9.0,47.0,10.0,45.0,71.0,11.0,3.0,13.0,271.0,8.0,291.0,72.0,243.0,66.0,20.0,105.0,61.0,59.0,50.0,7.0,51.0,38.0,17.0
3497,1.0,0.0,2.0,52.0,11.0,17.0,6.0,8.0,10.0,7.0,72.0,267.0,4.0,26.0,15.0,129.0,201.0,13.0,25.0,226.0,19.0,45.0,565.0,77.0,3.0,47.0,5.0,574.0,18.0,42.0
3546,0.0,1.0,2.0,9.0,7.0,11.0,14.0,5.0,4.0,17.0,26.0,27.0,38.0,48.0,10.0,34.0,37.0,59.0,3.0,349.0,42.0,113.0,18.0,268.0,6.0,438.0,20.0,63.0,32.0,57.0
3595,1.0,0.0,4.0,43.0,2.0,13.0,21.0,55.0,10.0,14.0,44.0,109.0,9.0,3.0,288.0,17.0,8.0,35.0,32.0,50.0,337.0,472.0,173.0,204.0,12.0,107.0,48.0,6.0,63.0,30.0
3644,1.0,0.0,2.0,31.0,4.0,13.0,15.0,16.0,5.0,17.0,49.0,10.0,22.0,8.0,3.0,46.0,28.0,163.0,18.0,73.0,27.0,19.0,172.0,176.0,6.0,72.0,164.0,25.0,34.0,191.0
3693,0.0,1.0,3.0,38.0,7.0,33.0,26.0,18.0,2.0,16.0,21.0,49.0,13.0,8.0,25.0,546.0,9.0,15.0,424.0,273.0,30.0,45.0,128.0,103.0,119.0,117.0,6.0,108.0,11.0,81.0
3742,0.0,1.0,2.0,9.0,3.0,6.0,4.0,40.0,41.0,10.0,137.0,8.0,144.0,13.0,29.0,11.0,22.0,126.0,60.0,12.0,63.0,17.0,201.0,15.0,14.0,7.0,18.0,20.0,42.0,32.0
3791,1.0,0.0,2.0,3.0,7.0,8.0,12.0,137.0,6.0,30.0,20.0,9.0,18.0,16.0,19.0,21.0,70.0,4.0,5.0,11.0,367.0,146.0,100.0,304.0,15.0,185.0,29.0,89.0,45.0,92.0
3840,0.0,1.0,3.0,2.0,4.0,14.0,12.0,7.0,5.0,6.0,96.0,61.0,30.0,18.0,152.0,8.0,99.0,21.0,81.0,11.0,52.0,39.0,35.0,43.0,46.0,198.0,9.0,42.0,66.0,16.0
3889,1.0,0.0,2.0,36.0,31.0,4.0,5.0,11.0,28.0,24.0,30.0,37.0,3.0,6.0,38.0,43.0,8.0,10.0,157.0,87.0,19.0,22.0,39.0,278.0,40.0,75.0,71.0,14.0,13.0,158.0
3938,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,11.0,16.0,7.0,15.0,35.0,26.0,60.0,385.0,25.0,249.0,13.0,17.0,40.0,31.0,211.0,39.0,23.0,37.0,19.0,64.0,125.0,29.0
3987,0.0,1.0,14.0,2.0,9.0,4.0,7.0,8.0,3.0,5.0,6.0,286.0,17.0,57.0,16.0,82.0,15.0,34.0,32.0,10.0,23.0,11.0,404.0,159.0,54.0,27.0,129.0,26.0,162.0,42.0
4036,0.0,1.0,9.0,5.0,2.0,60.0,15.0,4.0,3.0,19.0,10.0,41.0,7.0,6.0,35.0,106.0,43.0,388.0,22.0,16.0,171.0,8.0,24.0,18.0,17.0,131.0,100.0,12.0,48.0,11.0
4085,0.0,1.0,3.0,2.0,6.0,21.0,4.0,28.0,5.0,51.0,23.0,22.0,128.0,50.0,26.0,265.0,267.0,135.0,24.0,11.0,103.0,303.0,293.0,34.0,49.0,123.0,19.0,10.0,9.0,18.0
4134,0.0,1.0,4.0,2.0,3.0,93.0,6.0,41.0,8.0,52.0,15.0,180.0,5.0,26.0,16.0,34.0,416.0,37.0,24.0,11.0,194.0,12.0,21.0,33.0,25.0,139.0,20.0,42.0,244.0,7.0
4183,0.0,1.0,5.0,9.0,4.0,3.0,6.0,7.0,2.0,10.0,12.0,436.0,16.0,25.0,28.0,562.0,194.0,432.0,85.0,13.0,86.0,45.0,32.0,14.0,17.0,46.0,35.0,8.0,38.0,37.0
4232,0.0,1.0,9.0,2.0,58.0,10.0,3.0,36.0,4.0,5.0,14.0,35.0,18.0,74.0,6.0,456.0,65.0,20.0,69.0,11.0,50.0,21.0,19.0,244.0,28.0,26.0,446.0,24.0,116.0,16.0
4281,0.0,1.0,14.0,2.0,3.0,17.0,6.0,5.0,25.0,15.0,4.0,238.0,26.0,19.0,28.0,321.0,27.0,78.0,50.0,12.0,64.0,20.0,91.0,172.0,7.0,200.0,9.0,56.0,18.0,23.0
4330,0.0,1.0,3.0,6.0,22.0,28.0,4.0,38.0,2.0,5.0,34.0,71.0,11.0,91.0,16.0,339.0,47.0,29.0,7.0,8.0,60.0,12.0,88.0,112.0,81.0,84.0,18.0,27.0,412.0,24.0
4379,0.0,1.0,12.0,5.0,2.0,4.0,9.0,6.0,13.0,21.0,3.0,14.0,15.0,25.0,28.0,71.0,39.0,65.0,100.0,8.0,10.0,88.0,77.0,68.0,103.0,7.0,288.0,11.0,228.0,72.0
4428,0.0,1.0,3.0,2.0,7.0,22.0,13.0,16.0,5.0,6.0,4.0,44.0,90.0,184.0,93.0,140.0,10.0,8.0,11.0,127.0,91.0,152.0,46.0,235.0,108.0,9.0,69.0,48.0,111.0,19.0
4477,0.0,1.0,2.0,9.0,7.0,14.0,5.0,10.0,8.0,3.0,4.0,24.0,52.0,13.0,25.0,22.0,17.0,349.0,16.0,86.0,78.0,11.0,191.0,230.0,81.0,84.0,495.0,126.0,57.0,271.0
4526,0.0,1.0,5.0,3.0,33.0,20.0,10.0,9.0,2.0,46.0,14.0,17.0,166.0,12.0,11.0,79.0,6.0,7.0,225.0,98.0,48.0,152.0,84.0,71.0,13.0,30.0,19.0,252.0,159.0,314.0
4575,0.0,1.0,3.0,10.0,13.0,7.0,27.0,15.0,2.0,14.0,4.0,12.0,44.0,22.0,202.0,294.0,59.0,29.0,41.0,494.0,455.0,52.0,8.0,466.0,16.0,9.0,222.0,98.0,20.0,112.0
4624,0.0,1.0,7.0,4.0,152.0,11.0,54.0,8.0,2.0,6.0,3.0,132.0,26.0,245.0,330.0,25.0,9.0,584.0,18.0,30.0,169.0,63.0,19.0,38.0,416.0,5.0,82.0,39.0,35.0,340.0
4673,0.0,1.0,3.0,6.0,14.0,32.0,2.0,7.0,4.0,8.0,9.0,5.0,52.0,19.0,25.0,20.0,70.0,44.0,85.0,90.0,142.0,31.0,369.0,40.0,50.0,46.0,48.0,66.0,174.0,205.0
4722,0.0,1.0,10.0,8.0,3.0,12.0,4.0,5.0,18.0,15.0,2.0,20.0,19.0,13.0,127.0,203.0,14.0,16.0,44.0,142.0,172.0,28.0,51.0,26.0,271.0,90.0,40.0,45.0,74.0,262.0
4771,0.0,1.0,2.0,14.0,4.0,25.0,10.0,13.0,3.0,58.0,7.0,8.0,28.0,47.0,65.0,41.0,5.0,20.0,6.0,26.0,314.0,57.0,23.0,22.0,261.0,15.0,184.0,33.0,17.0,88.0
4820,0.0,1.0,3.0,2.0,11.0,59.0,30.0,4.0,6.0,17.0,7.0,8.0,187.0,25.0,186.0,5.0,32.0,15.0,19.0,60.0,100.0,289.0,78.0,41.0,233.0,16.0,24.0,130.0,9.0,151.0
4869,0.0,1.0,7.0,3.0,12.0,9.0,11.0,5.0,6.0,2.0,10.0,15.0,33.0,13.0,164.0,54.0,4.0,14.0,8.0,16.0,49.0,17.0,84.0,384.0,106.0,48.0,97.0,18.0,20.0,22.0
