,E-Cadherin,Shc_pY317,Rab25,Claudin-7,HER2_pY1248,ADAR1,EGFR_pY1068,4E-BP1_pS65,VHL,Akt,Syk,4E-BP1_pT70,P-Cadherin,alpha-Catenin,PAI-1,PRAS40_pT246,Bim(EP1036),EGFR,4E-BP1_pT37_T46,MIG-6,Paxillin,NF-kB-p65_pS536,C-Raf(BD610151),HER3,PKC-alpha,RSK1-2-3,N-Cadherin,HER2,GATA3,B-Raf
637,0.0,4.0,1.0,11.0,6.0,5.0,3.0,2.0,10.0,7.0,8.0,13.0,23.0,9.0,17.0,14.0,38.0,15.0,22.0,39.0,35.0,80.0,41.0,16.0,34.0,29.0,12.0,18.0,62.0,113.0
686,0.0,1.0,2.0,3.0,4.0,5.0,12.0,6.0,10.0,23.0,8.0,14.0,21.0,17.0,16.0,18.0,26.0,9.0,24.0,31.0,7.0,72.0,41.0,20.0,19.0,66.0,28.0,22.0,96.0,15.0
735,1.0,3.0,0.0,2.0,5.0,6.0,18.0,4.0,16.0,9.0,7.0,21.0,39.0,8.0,15.0,40.0,91.0,11.0,12.0,57.0,22.0,37.0,14.0,10.0,52.0,49.0,17.0,32.0,51.0,42.0
784,0.0,3.0,2.0,1.0,4.0,6.0,10.0,7.0,9.0,17.0,5.0,14.0,12.0,8.0,19.0,11.0,22.0,38.0,13.0,91.0,23.0,25.0,48.0,16.0,30.0,21.0,20.0,15.0,118.0,31.0
833,1.0,2.0,0.0,3.0,4.0,8.0,29.0,5.0,7.0,14.0,19.0,10.0,49.0,18.0,6.0,13.0,30.0,22.0,21.0,32.0,12.0,23.0,54.0,11.0,20.0,25.0,17.0,9.0,76.0,91.0
882,0.0,1.0,2.0,5.0,3.0,4.0,6.0,14.0,12.0,8.0,17.0,27.0,21.0,13.0,11.0,20.0,9.0,41.0,38.0,32.0,15.0,44.0,31.0,16.0,19.0,18.0,33.0,7.0,53.0,34.0
931,2.0,1.0,0.0,4.0,5.0,3.0,8.0,10.0,18.0,11.0,9.0,37.0,7.0,6.0,12.0,15.0,21.0,41.0,43.0,14.0,22.0,17.0,26.0,30.0,23.0,20.0,36.0,13.0,50.0,31.0
980,0.0,4.0,3.0,15.0,5.0,10.0,1.0,13.0,2.0,9.0,16.0,12.0,8.0,40.0,14.0,18.0,17.0,7.0,6.0,19.0,20.0,37.0,35.0,11.0,27.0,23.0,95.0,26.0,29.0,76.0
1029,0.0,2.0,1.0,9.0,6.0,5.0,4.0,3.0,7.0,8.0,15.0,17.0,12.0,29.0,26.0,22.0,11.0,10.0,73.0,34.0,41.0,98.0,19.0,13.0,86.0,18.0,31.0,33.0,83.0,16.0
1078,1.0,0.0,3.0,25.0,2.0,5.0,7.0,6.0,4.0,10.0,12.0,28.0,16.0,112.0,35.0,8.0,26.0,17.0,18.0,11.0,40.0,23.0,38.0,9.0,30.0,14.0,33.0,44.0,67.0,45.0
1127,1.0,0.0,4.0,18.0,11.0,5.0,2.0,3.0,12.0,7.0,15.0,10.0,14.0,116.0,32.0,20.0,13.0,8.0,9.0,17.0,60.0,36.0,48.0,6.0,19.0,27.0,24.0,29.0,25.0,62.0
1176,0.0,1.0,3.0,13.0,2.0,5.0,10.0,6.0,12.0,9.0,15.0,28.0,11.0,60.0,8.0,14.0,18.0,4.0,23.0,7.0,25.0,34.0,33.0,24.0,16.0,22.0,36.0,20.0,26.0,19.0
1225,2.0,1.0,5.0,8.0,4.0,0.0,3.0,10.0,15.0,9.0,12.0,11.0,23.0,13.0,26.0,22.0,17.0,6.0,7.0,41.0,20.0,24.0,118.0,30.0,18.0,87.0,33.0,16.0,25.0,19.0
1274,1.0,0.0,5.0,7.0,6.0,10.0,9.0,3.0,4.0,2.0,16.0,22.0,11.0,34.0,35.0,18.0,13.0,8.0,46.0,29.0,19.0,38.0,43.0,24.0,17.0,14.0,62.0,20.0,89.0,15.0
1323,0.0,3.0,1.0,4.0,21.0,5.0,16.0,9.0,10.0,2.0,8.0,23.0,6.0,19.0,26.0,11.0,7.0,25.0,15.0,47.0,41.0,12.0,68.0,17.0,28.0,33.0,36.0,39.0,14.0,13.0
1372,0.0,2.0,1.0,3.0,5.0,8.0,4.0,21.0,7.0,6.0,14.0,22.0,10.0,23.0,83.0,9.0,32.0,12.0,30.0,24.0,29.0,18.0,26.0,27.0,11.0,15.0,68.0,16.0,17.0,19.0
1421,0.0,2.0,1.0,4.0,10.0,3.0,8.0,6.0,5.0,9.0,12.0,7.0,28.0,17.0,37.0,14.0,24.0,11.0,13.0,16.0,45.0,29.0,26.0,35.0,19.0,39.0,31.0,15.0,23.0,18.0
1470,1.0,0.0,4.0,6.0,7.0,10.0,2.0,21.0,5.0,8.0,17.0,14.0,9.0,34.0,11.0,3.0,22.0,13.0,27.0,53.0,12.0,23.0,24.0,49.0,28.0,25.0,20.0,18.0,29.0,85.0
1519,1.0,0.0,10.0,3.0,19.0,8.0,6.0,4.0,5.0,9.0,11.0,18.0,14.0,13.0,20.0,2.0,31.0,15.0,26.0,68.0,17.0,7.0,27.0,36.0,21.0,24.0,25.0,22.0,143.0,96.0
1568,1.0,0.0,2.0,3.0,9.0,8.0,6.0,12.0,4.0,10.0,5.0,36.0,11.0,15.0,16.0,7.0,14.0,23.0,28.0,19.0,25.0,22.0,13.0,17.0,35.0,53.0,26.0,77.0,38.0,24.0
1617,1.0,0.0,2.0,3.0,4.0,5.0,15.0,12.0,6.0,11.0,9.0,31.0,8.0,14.0,10.0,7.0,43.0,17.0,19.0,21.0,36.0,20.0,16.0,18.0,26.0,78.0,13.0,64.0,66.0,40.0
1666,1.0,0.0,3.0,2.0,4.0,14.0,12.0,6.0,9.0,5.0,8.0,26.0,7.0,16.0,11.0,10.0,22.0,17.0,42.0,28.0,20.0,88.0,23.0,21.0,49.0,146.0,33.0,69.0,15.0,25.0
1715,1.0,0.0,3.0,2.0,6.0,15.0,4.0,12.0,8.0,16.0,9.0,41.0,5.0,13.0,17.0,7.0,27.0,25.0,24.0,88.0,26.0,21.0,10.0,23.0,28.0,18.0,31.0,29.0,38.0,14.0
1764,0.0,3.0,1.0,2.0,6.0,11.0,17.0,4.0,9.0,10.0,8.0,12.0,5.0,14.0,16.0,15.0,18.0,7.0,29.0,19.0,70.0,37.0,48.0,23.0,26.0,51.0,28.0,24.0,36.0,42.0
1813,0.0,1.0,4.0,2.0,14.0,8.0,17.0,3.0,6.0,5.0,11.0,12.0,7.0,19.0,31.0,9.0,10.0,20.0,16.0,28.0,27.0,21.0,13.0,49.0,34.0,82.0,50.0,136.0,48.0,33.0
1862,0.0,4.0,2.0,3.0,1.0,11.0,7.0,9.0,10.0,5.0,8.0,47.0,12.0,13.0,23.0,6.0,16.0,32.0,21.0,17.0,19.0,15.0,61.0,37.0,18.0,34.0,14.0,38.0,123.0,45.0
1911,0.0,2.0,1.0,6.0,3.0,14.0,9.0,12.0,5.0,10.0,4.0,65.0,8.0,11.0,24.0,19.0,44.0,21.0,26.0,17.0,16.0,7.0,35.0,15.0,23.0,20.0,49.0,29.0,69.0,50.0
1960,0.0,1.0,2.0,7.0,5.0,6.0,8.0,17.0,3.0,4.0,14.0,21.0,10.0,32.0,34.0,22.0,42.0,28.0,25.0,9.0,24.0,11.0,38.0,16.0,29.0,40.0,55.0,66.0,18.0,60.0
2009,2.0,1.0,0.0,14.0,5.0,7.0,4.0,12.0,6.0,3.0,10.0,27.0,8.0,19.0,17.0,13.0,76.0,35.0,49.0,16.0,33.0,25.0,41.0,26.0,98.0,37.0,11.0,48.0,15.0,105.0
2058,0.0,1.0,2.0,10.0,8.0,9.0,4.0,12.0,5.0,3.0,7.0,60.0,11.0,43.0,14.0,6.0,22.0,18.0,39.0,54.0,20.0,101.0,45.0,17.0,16.0,15.0,30.0,50.0,26.0,47.0
2107,1.0,3.0,0.0,9.0,8.0,4.0,7.0,12.0,6.0,2.0,14.0,107.0,5.0,28.0,18.0,46.0,24.0,36.0,48.0,20.0,11.0,16.0,153.0,22.0,71.0,31.0,17.0,25.0,13.0,32.0
2156,1.0,2.0,0.0,9.0,5.0,3.0,7.0,15.0,6.0,4.0,10.0,25.0,8.0,20.0,22.0,12.0,43.0,19.0,70.0,13.0,11.0,57.0,42.0,47.0,32.0,17.0,26.0,56.0,18.0,21.0
2205,0.0,3.0,2.0,15.0,5.0,7.0,4.0,9.0,6.0,1.0,8.0,10.0,13.0,22.0,20.0,11.0,31.0,47.0,14.0,17.0,16.0,104.0,147.0,21.0,27.0,42.0,25.0,29.0,19.0,39.0
2254,0.0,1.0,3.0,10.0,12.0,5.0,4.0,24.0,6.0,2.0,15.0,21.0,11.0,39.0,9.0,37.0,36.0,25.0,75.0,31.0,8.0,19.0,100.0,23.0,49.0,65.0,22.0,55.0,16.0,40.0
2303,0.0,2.0,3.0,8.0,9.0,4.0,6.0,12.0,16.0,1.0,10.0,19.0,7.0,35.0,14.0,5.0,25.0,17.0,18.0,57.0,32.0,33.0,11.0,13.0,28.0,20.0,96.0,83.0,101.0,23.0
2352,0.0,3.0,2.0,8.0,4.0,7.0,5.0,30.0,10.0,1.0,18.0,33.0,6.0,37.0,19.0,11.0,65.0,15.0,100.0,16.0,32.0,22.0,31.0,57.0,34.0,24.0,26.0,13.0,14.0,61.0
2401,0.0,4.0,3.0,6.0,5.0,1.0,7.0,20.0,8.0,2.0,10.0,11.0,9.0,43.0,25.0,12.0,16.0,67.0,31.0,14.0,28.0,53.0,29.0,117.0,77.0,23.0,41.0,22.0,21.0,57.0
2450,0.0,1.0,2.0,9.0,3.0,5.0,6.0,4.0,16.0,20.0,22.0,8.0,14.0,10.0,19.0,18.0,21.0,25.0,24.0,7.0,11.0,15.0,13.0,17.0,57.0,32.0,29.0,49.0,12.0,27.0
2499,2.0,0.0,1.0,5.0,12.0,8.0,7.0,4.0,15.0,14.0,21.0,3.0,13.0,6.0,23.0,52.0,9.0,36.0,41.0,11.0,18.0,10.0,24.0,44.0,17.0,25.0,22.0,64.0,20.0,29.0
2548,1.0,0.0,7.0,15.0,3.0,11.0,2.0,4.0,6.0,14.0,12.0,16.0,25.0,18.0,19.0,46.0,26.0,13.0,8.0,10.0,9.0,5.0,24.0,34.0,27.0,44.0,22.0,36.0,17.0,20.0
2597,1.0,0.0,2.0,10.0,4.0,6.0,5.0,3.0,14.0,18.0,17.0,7.0,28.0,8.0,12.0,46.0,15.0,32.0,9.0,20.0,11.0,33.0,44.0,41.0,69.0,16.0,48.0,19.0,13.0,132.0
2646,2.0,0.0,1.0,8.0,7.0,6.0,15.0,3.0,13.0,9.0,23.0,4.0,14.0,12.0,16.0,11.0,36.0,35.0,5.0,99.0,10.0,21.0,17.0,41.0,38.0,18.0,95.0,20.0,48.0,46.0
2695,0.0,2.0,1.0,7.0,6.0,9.0,12.0,3.0,14.0,10.0,24.0,11.0,17.0,8.0,28.0,22.0,52.0,13.0,5.0,4.0,32.0,58.0,30.0,20.0,26.0,21.0,41.0,27.0,23.0,18.0
2744,1.0,2.0,0.0,14.0,4.0,3.0,10.0,5.0,17.0,11.0,16.0,7.0,21.0,8.0,9.0,13.0,57.0,58.0,6.0,35.0,12.0,20.0,46.0,115.0,15.0,28.0,22.0,30.0,18.0,31.0
2793,2.0,1.0,0.0,9.0,8.0,4.0,3.0,5.0,11.0,21.0,26.0,10.0,14.0,16.0,7.0,32.0,42.0,15.0,13.0,19.0,6.0,31.0,61.0,90.0,36.0,63.0,43.0,153.0,28.0,17.0
2842,1.0,0.0,2.0,7.0,3.0,14.0,8.0,5.0,20.0,6.0,17.0,13.0,21.0,81.0,4.0,39.0,28.0,11.0,9.0,25.0,23.0,18.0,12.0,29.0,31.0,15.0,60.0,40.0,16.0,48.0
2891,1.0,2.0,0.0,5.0,7.0,6.0,9.0,4.0,15.0,14.0,36.0,3.0,42.0,10.0,13.0,24.0,35.0,11.0,8.0,19.0,34.0,21.0,18.0,25.0,57.0,41.0,56.0,20.0,12.0,28.0
2940,2.0,1.0,0.0,4.0,5.0,3.0,15.0,6.0,8.0,10.0,16.0,12.0,29.0,22.0,7.0,11.0,14.0,24.0,18.0,80.0,58.0,50.0,13.0,17.0,19.0,9.0,20.0,28.0,43.0,87.0
2989,1.0,4.0,0.0,6.0,7.0,2.0,11.0,9.0,5.0,3.0,14.0,12.0,87.0,21.0,10.0,33.0,19.0,15.0,28.0,39.0,23.0,17.0,24.0,16.0,8.0,18.0,71.0,13.0,43.0,62.0
3038,2.0,0.0,1.0,8.0,4.0,3.0,10.0,6.0,5.0,7.0,18.0,13.0,90.0,47.0,31.0,11.0,12.0,16.0,30.0,42.0,17.0,15.0,24.0,22.0,9.0,14.0,57.0,32.0,72.0,28.0
3087,2.0,1.0,0.0,4.0,7.0,3.0,17.0,9.0,8.0,5.0,10.0,13.0,70.0,24.0,18.0,11.0,6.0,20.0,16.0,36.0,12.0,14.0,21.0,15.0,19.0,22.0,90.0,39.0,35.0,71.0
3136,1.0,3.0,0.0,2.0,5.0,4.0,11.0,6.0,10.0,20.0,8.0,7.0,17.0,24.0,21.0,16.0,12.0,86.0,13.0,36.0,65.0,14.0,15.0,29.0,9.0,22.0,18.0,19.0,25.0,130.0
3185,1.0,0.0,2.0,6.0,4.0,3.0,17.0,5.0,11.0,7.0,35.0,10.0,43.0,27.0,13.0,12.0,18.0,14.0,19.0,20.0,21.0,8.0,16.0,9.0,25.0,34.0,88.0,23.0,29.0,28.0
3234,1.0,0.0,3.0,10.0,2.0,8.0,6.0,9.0,20.0,4.0,30.0,12.0,18.0,34.0,11.0,16.0,17.0,23.0,13.0,5.0,40.0,7.0,44.0,22.0,19.0,28.0,15.0,26.0,46.0,61.0
3283,1.0,4.0,0.0,3.0,2.0,6.0,7.0,16.0,8.0,5.0,14.0,11.0,26.0,25.0,10.0,31.0,15.0,30.0,21.0,17.0,34.0,9.0,18.0,13.0,24.0,29.0,27.0,33.0,40.0,50.0
3332,0.0,2.0,3.0,4.0,1.0,5.0,10.0,9.0,16.0,6.0,24.0,26.0,18.0,31.0,11.0,7.0,80.0,28.0,19.0,8.0,40.0,38.0,12.0,29.0,13.0,15.0,54.0,44.0,23.0,22.0
3381,2.0,1.0,0.0,4.0,3.0,7.0,10.0,8.0,22.0,5.0,21.0,20.0,30.0,41.0,11.0,19.0,15.0,32.0,16.0,9.0,29.0,43.0,23.0,26.0,13.0,6.0,12.0,18.0,14.0,25.0
3430,2.0,0.0,1.0,4.0,3.0,6.0,13.0,5.0,12.0,14.0,19.0,48.0,11.0,10.0,44.0,17.0,30.0,7.0,36.0,42.0,8.0,33.0,9.0,81.0,35.0,18.0,16.0,32.0,74.0,29.0
3479,0.0,1.0,4.0,7.0,2.0,12.0,3.0,11.0,5.0,19.0,14.0,36.0,10.0,9.0,8.0,59.0,145.0,15.0,41.0,6.0,21.0,47.0,16.0,81.0,39.0,17.0,13.0,31.0,20.0,54.0
3528,0.0,1.0,3.0,6.0,4.0,10.0,2.0,12.0,5.0,14.0,7.0,23.0,9.0,17.0,11.0,116.0,19.0,8.0,35.0,18.0,29.0,47.0,21.0,129.0,15.0,32.0,13.0,24.0,16.0,52.0
3577,0.0,1.0,2.0,5.0,10.0,7.0,3.0,4.0,9.0,14.0,16.0,63.0,22.0,15.0,17.0,12.0,8.0,11.0,35.0,25.0,20.0,45.0,27.0,85.0,26.0,6.0,13.0,18.0,23.0,31.0
3626,1.0,0.0,2.0,6.0,5.0,10.0,4.0,7.0,8.0,9.0,13.0,18.0,35.0,11.0,12.0,46.0,16.0,115.0,25.0,20.0,39.0,67.0,14.0,55.0,47.0,15.0,3.0,23.0,17.0,116.0
3675,2.0,0.0,5.0,4.0,1.0,6.0,3.0,17.0,7.0,10.0,14.0,35.0,18.0,13.0,29.0,61.0,16.0,19.0,32.0,43.0,21.0,12.0,11.0,34.0,28.0,36.0,8.0,9.0,15.0,65.0
3724,0.0,1.0,2.0,3.0,7.0,5.0,4.0,6.0,8.0,12.0,10.0,18.0,14.0,9.0,24.0,21.0,11.0,79.0,19.0,15.0,29.0,26.0,78.0,44.0,13.0,23.0,16.0,30.0,34.0,102.0
3773,1.0,0.0,4.0,6.0,3.0,9.0,2.0,5.0,19.0,18.0,10.0,15.0,26.0,12.0,16.0,7.0,23.0,36.0,11.0,32.0,38.0,28.0,21.0,24.0,14.0,30.0,8.0,25.0,27.0,47.0
3822,0.0,1.0,2.0,3.0,6.0,8.0,12.0,13.0,5.0,4.0,27.0,28.0,7.0,11.0,26.0,71.0,9.0,78.0,20.0,14.0,25.0,19.0,38.0,51.0,10.0,72.0,16.0,17.0,50.0,31.0
3871,1.0,0.0,4.0,3.0,2.0,26.0,5.0,13.0,9.0,10.0,24.0,7.0,6.0,22.0,25.0,11.0,32.0,58.0,16.0,35.0,23.0,18.0,33.0,69.0,37.0,27.0,15.0,14.0,8.0,46.0
3920,1.0,0.0,5.0,4.0,2.0,25.0,16.0,3.0,8.0,14.0,6.0,7.0,11.0,15.0,39.0,36.0,20.0,72.0,9.0,80.0,17.0,29.0,18.0,10.0,12.0,34.0,27.0,22.0,31.0,26.0
3969,3.0,1.0,0.0,2.0,4.0,17.0,44.0,11.0,9.0,20.0,7.0,6.0,14.0,13.0,25.0,10.0,27.0,12.0,16.0,19.0,8.0,48.0,5.0,21.0,32.0,53.0,85.0,36.0,18.0,34.0
4018,3.0,0.0,2.0,1.0,5.0,4.0,7.0,6.0,13.0,18.0,14.0,9.0,11.0,19.0,25.0,16.0,27.0,32.0,17.0,15.0,22.0,38.0,24.0,10.0,37.0,57.0,36.0,107.0,12.0,8.0
4067,0.0,3.0,2.0,1.0,4.0,35.0,7.0,5.0,18.0,20.0,12.0,10.0,11.0,13.0,49.0,8.0,6.0,17.0,21.0,19.0,23.0,60.0,9.0,55.0,16.0,32.0,27.0,41.0,34.0,14.0
4116,1.0,0.0,2.0,3.0,4.0,20.0,7.0,5.0,22.0,6.0,15.0,9.0,12.0,11.0,38.0,17.0,41.0,25.0,28.0,10.0,37.0,21.0,14.0,47.0,16.0,23.0,80.0,106.0,8.0,13.0
4165,2.0,0.0,5.0,6.0,1.0,3.0,11.0,4.0,10.0,9.0,14.0,8.0,12.0,7.0,20.0,31.0,18.0,16.0,13.0,80.0,22.0,49.0,73.0,28.0,33.0,35.0,93.0,102.0,37.0,15.0
4214,0.0,1.0,3.0,2.0,4.0,14.0,17.0,8.0,5.0,7.0,6.0,12.0,10.0,46.0,26.0,28.0,9.0,15.0,57.0,16.0,64.0,20.0,13.0,38.0,21.0,50.0,34.0,22.0,11.0,18.0
4263,3.0,0.0,1.0,2.0,6.0,5.0,11.0,8.0,18.0,4.0,7.0,12.0,14.0,9.0,13.0,50.0,10.0,15.0,21.0,22.0,19.0,63.0,17.0,51.0,16.0,35.0,53.0,30.0,41.0,28.0
4312,3.0,0.0,1.0,2.0,6.0,12.0,7.0,10.0,13.0,4.0,5.0,14.0,9.0,17.0,19.0,8.0,15.0,20.0,11.0,16.0,26.0,18.0,33.0,22.0,21.0,48.0,99.0,36.0,34.0,38.0
4361,1.0,2.0,0.0,4.0,8.0,10.0,5.0,15.0,11.0,13.0,3.0,9.0,7.0,21.0,19.0,17.0,22.0,14.0,6.0,27.0,25.0,18.0,12.0,87.0,16.0,30.0,28.0,20.0,32.0,24.0
4410,0.0,3.0,1.0,2.0,4.0,5.0,11.0,10.0,6.0,17.0,15.0,14.0,13.0,8.0,25.0,35.0,24.0,22.0,51.0,41.0,33.0,9.0,7.0,16.0,23.0,18.0,27.0,26.0,12.0,43.0
4459,0.0,1.0,2.0,3.0,5.0,4.0,6.0,35.0,9.0,7.0,10.0,31.0,26.0,8.0,14.0,80.0,51.0,15.0,37.0,29.0,21.0,13.0,19.0,54.0,47.0,32.0,11.0,128.0,28.0,34.0
4508,1.0,0.0,3.0,2.0,20.0,5.0,4.0,6.0,8.0,7.0,9.0,30.0,16.0,11.0,13.0,36.0,19.0,15.0,10.0,18.0,29.0,22.0,27.0,33.0,37.0,43.0,25.0,113.0,12.0,77.0
4557,0.0,1.0,2.0,4.0,6.0,5.0,3.0,13.0,7.0,8.0,9.0,23.0,19.0,17.0,11.0,20.0,10.0,31.0,134.0,25.0,42.0,15.0,14.0,24.0,37.0,46.0,43.0,124.0,143.0,36.0
4606,1.0,3.0,0.0,2.0,4.0,8.0,9.0,13.0,5.0,7.0,6.0,16.0,26.0,10.0,12.0,28.0,24.0,21.0,15.0,14.0,20.0,11.0,36.0,19.0,35.0,22.0,53.0,74.0,80.0,52.0
4655,1.0,0.0,2.0,6.0,5.0,4.0,3.0,12.0,9.0,7.0,39.0,11.0,20.0,14.0,10.0,46.0,21.0,48.0,27.0,25.0,15.0,18.0,13.0,16.0,64.0,32.0,24.0,23.0,117.0,41.0
4704,0.0,3.0,1.0,2.0,8.0,6.0,13.0,9.0,5.0,11.0,18.0,4.0,22.0,10.0,14.0,16.0,15.0,40.0,12.0,26.0,21.0,7.0,17.0,45.0,56.0,19.0,23.0,31.0,35.0,28.0
4753,0.0,2.0,1.0,4.0,3.0,11.0,5.0,8.0,7.0,9.0,10.0,6.0,15.0,17.0,14.0,13.0,18.0,12.0,24.0,16.0,19.0,21.0,22.0,36.0,38.0,30.0,35.0,76.0,78.0,39.0
4802,2.0,3.0,0.0,1.0,10.0,7.0,5.0,9.0,8.0,4.0,11.0,12.0,27.0,6.0,13.0,25.0,18.0,20.0,19.0,15.0,23.0,14.0,16.0,21.0,28.0,17.0,70.0,33.0,58.0,76.0
4851,0.0,1.0,3.0,2.0,7.0,8.0,5.0,9.0,6.0,15.0,10.0,4.0,19.0,11.0,14.0,31.0,16.0,49.0,56.0,12.0,18.0,17.0,20.0,27.0,30.0,13.0,122.0,34.0,21.0,22.0
