, H2O2, MAPK_only, JAK-STAT, VEGF, IL-1, MAPK_PI3K, TLR, TGFB, Wnt, PI3K_only, TNFa
2050,0.0,2.0,5.0,4.0,1.0,6.0,7.0,8.0,9.0,3.0,10.0
2099,0.0,1.0,4.0,3.0,8.0,5.0,2.0,6.0,7.0,9.0,10.0
2148,0.0,3.0,6.0,9.0,5.0,7.0,1.0,8.0,2.0,4.0,10.0
2197,0.0,2.0,3.0,9.0,1.0,6.0,7.0,4.0,10.0,8.0,5.0
2246,1.0,2.0,6.0,0.0,4.0,5.0,7.0,8.0,9.0,3.0,10.0
2295,3.0,1.0,7.0,6.0,4.0,5.0,8.0,0.0,2.0,9.0,10.0
2344,1.0,0.0,2.0,5.0,8.0,9.0,7.0,10.0,6.0,3.0,4.0
2393,0.0,1.0,2.0,3.0,7.0,5.0,6.0,4.0,10.0,8.0,9.0
2442,1.0,0.0,7.0,6.0,9.0,8.0,2.0,10.0,3.0,5.0,4.0
2491,1.0,5.0,4.0,0.0,2.0,6.0,9.0,3.0,8.0,7.0,10.0
2540,1.0,0.0,3.0,5.0,2.0,9.0,4.0,7.0,10.0,6.0,8.0
2589,0.0,8.0,2.0,5.0,4.0,6.0,3.0,1.0,9.0,7.0,10.0
2638,0.0,2.0,5.0,7.0,8.0,6.0,3.0,1.0,9.0,4.0,10.0
2687,7.0,5.0,3.0,0.0,8.0,4.0,2.0,6.0,10.0,1.0,9.0
2736,0.0,2.0,6.0,8.0,3.0,7.0,4.0,1.0,10.0,5.0,9.0
2785,8.0,0.0,3.0,7.0,6.0,2.0,1.0,4.0,5.0,9.0,10.0
2834,2.0,8.0,5.0,7.0,4.0,0.0,3.0,1.0,6.0,9.0,10.0
2883,0.0,6.0,4.0,3.0,1.0,10.0,9.0,2.0,8.0,7.0,5.0
2932,0.0,4.0,3.0,1.0,2.0,7.0,5.0,9.0,10.0,8.0,6.0
2981,3.0,1.0,4.0,6.0,7.0,0.0,8.0,9.0,2.0,5.0,10.0
3030,0.0,6.0,7.0,3.0,4.0,1.0,5.0,2.0,9.0,10.0,8.0
3079,4.0,2.0,7.0,8.0,5.0,0.0,6.0,3.0,1.0,9.0,10.0
3128,0.0,5.0,8.0,6.0,7.0,3.0,4.0,1.0,2.0,9.0,10.0
3177,6.0,7.0,10.0,5.0,4.0,1.0,3.0,0.0,2.0,8.0,9.0
3226,0.0,5.0,4.0,3.0,2.0,1.0,8.0,6.0,7.0,9.0,10.0
3275,0.0,3.0,6.0,1.0,2.0,7.0,9.0,8.0,5.0,10.0,4.0
3324,0.0,3.0,8.0,4.0,1.0,5.0,7.0,6.0,2.0,10.0,9.0
3373,0.0,1.0,7.0,2.0,3.0,4.0,9.0,5.0,6.0,10.0,8.0
3422,0.0,4.0,2.0,3.0,1.0,9.0,5.0,8.0,10.0,6.0,7.0
3471,0.0,3.0,8.0,1.0,2.0,4.0,5.0,9.0,10.0,7.0,6.0
3520,2.0,4.0,0.0,1.0,10.0,7.0,5.0,3.0,9.0,8.0,6.0
3569,2.0,0.0,4.0,8.0,3.0,5.0,6.0,7.0,10.0,1.0,9.0
3618,1.0,4.0,3.0,5.0,6.0,7.0,0.0,8.0,10.0,2.0,9.0
3667,0.0,2.0,1.0,3.0,6.0,10.0,4.0,5.0,9.0,7.0,8.0
3716,2.0,0.0,3.0,1.0,8.0,4.0,9.0,6.0,7.0,5.0,10.0
3765,6.0,2.0,1.0,4.0,9.0,3.0,0.0,8.0,5.0,7.0,10.0
3814,0.0,1.0,4.0,3.0,6.0,10.0,2.0,7.0,9.0,5.0,8.0
3863,0.0,1.0,3.0,5.0,6.0,2.0,7.0,8.0,10.0,4.0,9.0
3912,2.0,0.0,3.0,8.0,10.0,6.0,1.0,4.0,9.0,5.0,7.0
3961,3.0,5.0,7.0,0.0,4.0,10.0,6.0,1.0,2.0,9.0,8.0
4010,3.0,7.0,6.0,0.0,2.0,9.0,4.0,1.0,10.0,5.0,8.0
4059,2.0,1.0,3.0,0.0,4.0,7.0,8.0,5.0,6.0,10.0,9.0
4108,2.0,1.0,9.0,0.0,5.0,3.0,4.0,6.0,10.0,7.0,8.0
4157,1.0,0.0,5.0,3.0,4.0,10.0,2.0,6.0,9.0,7.0,8.0
4206,0.0,1.0,7.0,3.0,4.0,8.0,5.0,2.0,6.0,9.0,10.0
4255,3.0,10.0,4.0,2.0,0.0,8.0,5.0,1.0,7.0,9.0,6.0
4304,4.0,1.0,9.0,0.0,5.0,6.0,7.0,2.0,3.0,10.0,8.0
4353,7.0,2.0,0.0,4.0,5.0,8.0,3.0,6.0,1.0,10.0,9.0
4402,2.0,0.0,8.0,6.0,7.0,3.0,4.0,10.0,1.0,9.0,5.0
4451,4.0,3.0,8.0,0.0,1.0,5.0,2.0,7.0,9.0,10.0,6.0
4500,6.0,0.0,5.0,9.0,2.0,3.0,7.0,4.0,1.0,10.0,8.0
4549,0.0,1.0,4.0,3.0,7.0,2.0,5.0,6.0,10.0,8.0,9.0
4598,0.0,5.0,7.0,3.0,1.0,4.0,8.0,2.0,6.0,9.0,10.0
4647,4.0,2.0,5.0,0.0,1.0,6.0,7.0,9.0,10.0,8.0,3.0
4696,5.0,0.0,3.0,1.0,6.0,2.0,4.0,9.0,7.0,8.0,10.0
4745,1.0,0.0,7.0,5.0,2.0,8.0,3.0,4.0,6.0,9.0,10.0
4794,6.0,4.0,3.0,7.0,2.0,0.0,5.0,8.0,1.0,9.0,10.0
4843,2.0,3.0,1.0,0.0,5.0,8.0,4.0,7.0,9.0,6.0,10.0
4892,1.0,4.0,2.0,0.0,3.0,8.0,5.0,6.0,7.0,9.0,10.0
