,LPA_AMP,OR2T11_AMP,CDC73_AMP,ZNF705G_AMP,LOC100506776_DEL,MUC20_AMP,MSTO2P_AMP,DAP3_AMP,HLA-H_DEL,OR2T10_AMP,SIRPB1_AMP,GALNTL6_DEL,HLA-DQB1_DEL,HCG4B_DEL,MLIP_DEL,HERC2P2_AMP,CES1P1_DEL,LCE3C_DEL,PCCB_DEL,CES1_AMP,KIAA1217_DEL,TAG_DEL,SMARCA2_DEL,ARL17A_DEL,USP17L1P_AMP,MIR570_AMP,LOC348120_AMP,NBEAP1_AMP,HEATR4_AMP,FAM106CP_AMP
3999,3.0,6.0,5.0,15.0,18.0,4.0,1.0,2.0,0.0,16.0,8.0,27.0,38.0,9.0,11.0,28.0,14.0,56.0,26.0,51.0,7.0,39.0,30.0,33.0,10.0,13.0,75.0,25.0,34.0,37.0
4048,0.0,5.0,3.0,2.0,12.0,41.0,15.0,14.0,8.0,27.0,59.0,17.0,61.0,45.0,18.0,71.0,24.0,89.0,21.0,29.0,1.0,118.0,39.0,6.0,25.0,1036.0,13.0,122.0,7.0,325.0
4097,4.0,0.0,6.0,11.0,5.0,17.0,2.0,3.0,1.0,14.0,16.0,13.0,21.0,7.0,18.0,15.0,8.0,19.0,9.0,42.0,26.0,126.0,23.0,65.0,22.0,71.0,38.0,31.0,66.0,40.0
4146,2.0,5.0,4.0,11.0,8.0,10.0,1.0,0.0,6.0,19.0,25.0,38.0,12.0,7.0,99.0,41.0,3.0,21.0,13.0,29.0,31.0,9.0,36.0,18.0,133.0,40.0,30.0,20.0,24.0,33.0
4195,12.0,2.0,1.0,8.0,0.0,13.0,9.0,10.0,3.0,14.0,6.0,18.0,29.0,28.0,36.0,4.0,5.0,154.0,17.0,34.0,16.0,21.0,27.0,72.0,32.0,85.0,33.0,52.0,26.0,19.0
4244,5.0,2.0,9.0,6.0,3.0,13.0,8.0,7.0,0.0,18.0,1.0,10.0,12.0,11.0,21.0,4.0,15.0,16.0,19.0,121.0,14.0,110.0,34.0,36.0,23.0,86.0,68.0,24.0,20.0,62.0
4293,1.0,0.0,10.0,5.0,7.0,2.0,9.0,8.0,4.0,16.0,47.0,3.0,20.0,11.0,23.0,6.0,18.0,60.0,13.0,74.0,12.0,29.0,48.0,27.0,21.0,32.0,17.0,19.0,49.0,61.0
4342,8.0,1.0,10.0,6.0,0.0,2.0,3.0,4.0,5.0,18.0,7.0,13.0,17.0,15.0,31.0,21.0,22.0,141.0,14.0,26.0,29.0,32.0,35.0,38.0,25.0,24.0,33.0,53.0,64.0,20.0
4391,14.0,11.0,17.0,1.0,8.0,2.0,6.0,5.0,0.0,33.0,99.0,3.0,28.0,12.0,9.0,68.0,125.0,492.0,120.0,36.0,47.0,109.0,88.0,67.0,7.0,10.0,18.0,30.0,23.0,19.0
4440,0.0,1.0,21.0,2.0,8.0,20.0,28.0,27.0,51.0,7.0,19.0,34.0,145.0,76.0,11.0,45.0,36.0,10.0,59.0,40.0,35.0,33.0,17.0,12.0,6.0,154.0,92.0,52.0,130.0,25.0
4489,9.0,0.0,6.0,1.0,10.0,23.0,43.0,42.0,24.0,2.0,12.0,33.0,27.0,19.0,31.0,37.0,36.0,14.0,97.0,109.0,29.0,40.0,51.0,4.0,11.0,80.0,50.0,81.0,65.0,45.0
4538,8.0,0.0,32.0,2.0,5.0,25.0,27.0,28.0,30.0,1.0,3.0,162.0,13.0,6.0,41.0,51.0,7.0,4.0,38.0,66.0,146.0,81.0,46.0,16.0,31.0,33.0,273.0,54.0,11.0,18.0
4587,4.0,0.0,13.0,1.0,6.0,74.0,15.0,14.0,36.0,2.0,3.0,7.0,94.0,187.0,19.0,26.0,5.0,20.0,209.0,46.0,25.0,21.0,22.0,10.0,23.0,760.0,52.0,63.0,81.0,48.0
4636,1.0,0.0,13.0,4.0,8.0,40.0,48.0,49.0,141.0,5.0,21.0,91.0,11.0,16.0,54.0,18.0,2.0,7.0,97.0,24.0,129.0,25.0,20.0,10.0,58.0,214.0,15.0,17.0,37.0,34.0
4685,3.0,0.0,7.0,10.0,2.0,13.0,16.0,17.0,12.0,1.0,5.0,31.0,141.0,15.0,19.0,14.0,21.0,8.0,48.0,23.0,1330.0,295.0,56.0,4.0,63.0,65.0,67.0,39.0,51.0,25.0
4734,3.0,0.0,42.0,4.0,1.0,5.0,19.0,20.0,12.0,6.0,2.0,11.0,14.0,30.0,190.0,91.0,35.0,31.0,86.0,82.0,906.0,26.0,16.0,17.0,44.0,41.0,68.0,36.0,100.0,8.0
4783,14.0,0.0,6.0,8.0,3.0,13.0,9.0,10.0,32.0,1.0,4.0,34.0,28.0,48.0,46.0,15.0,24.0,2.0,56.0,38.0,60.0,37.0,30.0,5.0,31.0,77.0,17.0,42.0,71.0,23.0
4832,3.0,0.0,15.0,1.0,2.0,27.0,6.0,7.0,18.0,4.0,126.0,143.0,109.0,16.0,33.0,5.0,11.0,12.0,78.0,9.0,108.0,54.0,23.0,8.0,40.0,142.0,17.0,32.0,38.0,120.0
4881,6.0,0.0,120.0,15.0,2.0,17.0,20.0,19.0,69.0,1.0,13.0,116.0,66.0,96.0,85.0,4.0,93.0,33.0,132.0,16.0,117.0,80.0,82.0,9.0,59.0,204.0,63.0,21.0,50.0,42.0
